Unnamed: 0,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
13495,1997-98,1998,Tyrone Corbin,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,35.0,ATL,NBA,SF,79.0,79.0,34.2,4.2,9.5,0.439,0.6,1.8,0.348,3.5,7.7,0.46,0.472,1.3,1.6,0.789,1.0,3.6,4.6,2.2,1.3,0.1,1.1,2.5,10.2,2699.0,6.7,15.2,0.439,1.0,2.9,0.348,5.7,12.3,0.46,2.0,2.6,0.789,1.6,5.8,7.3,3.5,2.1,0.1,1.7,4.0,16.4,108.0,105.0,2699.0,12.0,0.502,0.189,0.171,3.5,12.0,7.9,10.6,2.1,0.2,9.7,15.3,2.9,2.7,5.5,0.098,-0.9,0.5,-0.4,1.1,82.0,19880.0,2887.0,6352.0,0.455,337.0,1016.0,0.332,2550.0,5336.0,0.478,1749.0,2314.0,0.756,1106.0,2417.0,3523.0,1569.0,653.0,491.0,1214.0,1671.0,7860.0,82.0,19880.0,2961.0,6698.0,0.442,348.0,1017.0,0.342,2613.0,5681.0,0.46,1302.0,1772.0,0.735,1081.0,2152.0,3233.0,1753.0,617.0,372.0,1118.0,1892.0,7572.0,50.0,32.0,51.0,31.0,3.51,0.34,3.85,108.2,104.3,87.7,0.364,0.16,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,610615.0,79.0,34.2,-1.59,1.18,-0.41,4.38,5187.0,2812.0,-0.053460477,0.654456036,0.600995559,4.796602651,4.727024458,0.069578193,-0.008824282,0.912368454,0.903544172,-0.125137652,79.0,49.0,30.0,34.1,99.4,3.6,10.5,17.1,1.3,24.0,0.1,1.9,11.2,9.2,9.3,25.5,0.131,0.0
13496,1997-98,1998,Rusty LaRue,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,24.0,CHI,NBA,PG,14.0,0.0,10.0,1.4,3.5,0.408,0.3,1.1,0.25,1.1,2.4,0.485,0.449,0.4,0.6,0.625,0.1,0.5,0.6,0.4,0.2,0.1,0.4,0.9,3.5,140.0,7.7,18.9,0.408,1.5,6.2,0.25,6.2,12.7,0.485,1.9,3.1,0.625,0.4,2.7,3.1,1.9,1.2,0.4,2.3,4.6,18.9,95.0,105.0,140.0,7.3,0.466,0.327,0.163,0.8,5.7,3.3,5.7,1.2,0.5,10.3,18.7,0.0,0.1,0.1,0.04,-3.7,0.2,-3.6,-0.1,82.0,19855.0,3064.0,6801.0,0.451,311.0,962.0,0.323,2753.0,5839.0,0.471,1492.0,2009.0,0.743,1243.0,2438.0,3681.0,1952.0,696.0,353.0,1178.0,1691.0,7931.0,82.0,19855.0,2797.0,6483.0,0.431,329.0,1022.0,0.322,2468.0,5461.0,0.452,1425.0,1956.0,0.729,1016.0,2239.0,3255.0,1595.0,657.0,356.0,1268.0,1774.0,7348.0,62.0,20.0,61.0,21.0,7.11,0.13,7.24,107.7,99.8,89.0,0.295,0.141,0.473,13.3,35.7,0.219,0.457,14.7,70.6,0.22,United Center,983444.0,14,10.0,-0.87,-0.82,-1.7,0.11,263.0,140.0,-3.673893267,-1.35725328,-5.031146547,-0.164043828,-0.164043828,0.0,-3.54495527,-2.063938877,-5.608894147,0.620159588,14.0,10.0,4.0,9.9,96.3,0.5,4.8,8.1,0.2,15.8,0.1,14.3,3.0,4.1,2.0,6.1,0.05,0.0
13497,1997-98,1998,Terry Davis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30.0,WAS,NBA,PF,74.0,66.0,23.0,1.7,3.5,0.496,0.0,0.0,0.0,1.7,3.4,0.498,0.496,0.9,1.6,0.58,2.8,3.7,6.5,0.4,0.6,0.3,0.8,2.6,4.4,1705.0,3.9,7.8,0.496,0.0,0.0,0.0,3.9,7.8,0.498,2.1,3.6,0.58,6.4,8.3,14.7,0.9,1.3,0.7,1.7,5.9,9.9,112.0,104.0,1705.0,10.5,0.524,0.004,0.465,13.5,18.7,16.0,2.5,1.3,1.0,15.4,9.5,1.8,1.9,3.6,0.103,-2.2,-0.5,-2.7,-0.3,82.0,19805.0,3080.0,6811.0,0.452,320.0,944.0,0.339,2760.0,5867.0,0.47,1489.0,2156.0,0.691,1121.0,2341.0,3462.0,1900.0,689.0,379.0,1156.0,1839.0,7969.0,82.0,19805.0,2975.0,6540.0,0.455,348.0,977.0,0.356,2627.0,5563.0,0.472,1623.0,2172.0,0.747,1029.0,2468.0,3497.0,1725.0,632.0,372.0,1328.0,1924.0,7921.0,42.0,40.0,43.0,39.0,0.59,0.53,1.11,105.2,104.5,91.8,0.317,0.139,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240.0,74,23.0,-2.27,1.84,-0.43,2.79,3298.0,1705.0,-1.160664734,-0.406932278,-1.567597012,1.024936797,1.024936797,0.0,-1.50990164,-0.464980526,-1.974882166,-0.321959888,74.0,39.0,35.0,23.1,102.5,3.7,16.9,27.2,0.6,14.4,0.3,17.1,7.7,6.6,6.8,20.8,0.065,0.0
13498,1997-98,1998,Samaki Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21.0,DAL,NBA,PF,41.0,19.0,25.0,3.8,7.8,0.486,0.0,0.0,0.0,3.8,7.8,0.488,0.486,1.3,2.4,0.546,2.3,5.0,7.4,0.6,0.7,1.0,1.5,3.1,8.9,1027.0,8.1,16.7,0.486,0.0,0.1,0.0,8.1,16.6,0.488,2.8,5.0,0.546,5.0,10.7,15.7,1.2,1.6,2.1,3.2,6.6,19.0,98.0,103.0,1027.0,14.4,0.502,0.003,0.302,10.2,22.8,16.4,4.1,1.6,2.7,14.4,18.9,0.1,1.3,1.4,0.067,-2.8,-0.6,-3.4,-0.4,82.0,19905.0,2882.0,6754.0,0.427,422.0,1183.0,0.357,2460.0,5571.0,0.442,1308.0,1738.0,0.753,1008.0,2280.0,3288.0,1535.0,646.0,466.0,1182.0,1643.0,7494.0,82.0,19905.0,3138.0,6819.0,0.46,386.0,1130.0,0.342,2752.0,5689.0,0.484,1333.0,1868.0,0.714,1223.0,2644.0,3867.0,1882.0,658.0,374.0,1240.0,1608.0,7995.0,20.0,62.0,24.0,58.0,-6.11,-0.22,-6.33,100.5,107.2,89.9,0.257,0.175,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936.0,41,25.0,-2.22,-1.03,-3.24,-0.24,1946.0,1027.0,-2.502627199,0.190786542,-2.311840657,0.229896864,0.229896864,0.0,-2.518608564,0.34363058,-2.174977985,0.124207978,41.0,8.0,33.0,25.1,104.3,5.0,20.3,35.2,0.7,18.5,1.0,40.4,9.1,8.8,7.9,22.7,0.057,0.0
13499,1997-98,1998,Žan Tabak,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27.0,BOS,NBA,C,18.0,5.0,12.9,1.4,3.1,0.473,0.0,0.0,,1.4,3.1,0.473,0.473,0.4,0.7,0.538,1.4,1.8,3.2,0.7,0.3,0.6,0.9,2.6,3.3,232.0,5.8,12.2,0.473,0.0,0.0,,5.8,12.2,0.473,1.6,2.9,0.538,5.5,7.3,12.9,2.7,1.1,2.4,3.8,10.2,13.1,94.0,105.0,232.0,9.2,0.486,0.0,0.236,11.7,18.3,14.7,7.9,1.1,3.7,21.9,14.5,-0.1,0.2,0.2,0.036,-5.1,0.3,-4.7,-0.2,82.0,19730.0,3012.0,6934.0,0.434,415.0,1249.0,0.332,2597.0,5685.0,0.457,1425.0,1964.0,0.726,1196.0,2044.0,3240.0,1816.0,987.0,366.0,1330.0,2203.0,7864.0,82.0,19730.0,2864.0,5981.0,0.479,299.0,940.0,0.318,2565.0,5041.0,0.509,2052.0,2756.0,0.745,1015.0,2446.0,3461.0,1826.0,696.0,406.0,1688.0,1719.0,8079.0,36.0,46.0,33.0,49.0,-2.62,0.66,-1.96,102.6,105.4,93.3,0.283,0.18,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422.0,0,0,0.0,0.0,0.0,0.0,1923.0,984.0,-4.286377894,-3.176965169,-7.463343063,-2.385770957,-2.385770957,0.0,-4.294509672,-2.641635348,-6.93614502,0.734269821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13500,1997-98,1998,Monty Williams,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26.0,SAS,NBA,SF,72.0,16.0,18.3,2.3,5.1,0.448,0.0,0.0,0.5,2.3,5.1,0.448,0.45,1.7,2.5,0.67,0.9,1.6,2.5,1.2,0.5,0.3,1.1,1.8,6.3,1314.0,6.8,15.2,0.448,0.0,0.1,0.5,6.8,15.1,0.448,5.0,7.5,0.67,2.8,4.6,7.4,3.7,1.4,1.0,3.4,5.5,18.7,100.0,102.0,1314.0,11.3,0.505,0.005,0.495,6.3,9.2,7.9,11.2,1.4,1.3,15.5,18.9,0.5,1.9,2.3,0.086,-2.4,0.6,-1.8,0.1,82.0,19830.0,2898.0,6187.0,0.468,302.0,863.0,0.35,2596.0,5324.0,0.488,1489.0,2164.0,0.688,984.0,2638.0,3622.0,1839.0,516.0,568.0,1318.0,1731.0,7587.0,82.0,19830.0,2737.0,6656.0,0.411,338.0,1029.0,0.328,2399.0,5627.0,0.426,1448.0,1956.0,0.74,1017.0,2236.0,3253.0,1556.0,730.0,378.0,1045.0,1845.0,7260.0,56.0,26.0,53.0,29.0,3.99,-0.69,3.3,103.8,99.4,88.4,0.35,0.139,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,783455.0,72,18.3,-2.51,-0.98,-3.49,-0.51,2499.0,1342.0,-2.150542529,-0.008769815,-2.159312344,0.401818099,0.453159833,-0.051341734,-2.464246469,-0.551449438,-3.015695907,0.0063532,72.0,49.0,23.0,18.3,98.3,1.6,8.0,12.7,0.5,18.1,0.3,11.9,7.0,5.7,4.7,13.2,0.079,0.0
13501,1997-98,1998,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26.0,WAS,NBA,SF,82.0,12.0,27.2,5.5,12.3,0.446,1.9,4.9,0.392,3.5,7.4,0.482,0.524,2.2,2.5,0.871,0.9,2.5,3.4,1.0,0.8,0.3,1.2,2.0,15.1,2227.0,10.5,23.6,0.446,3.7,9.5,0.392,6.8,14.2,0.482,4.3,4.9,0.871,1.8,4.7,6.5,2.0,1.6,0.6,2.4,3.9,29.1,112.0,107.0,2227.0,17.3,0.563,0.4,0.208,3.7,10.7,7.1,6.5,1.6,0.8,8.5,24.0,4.6,1.9,6.5,0.139,2.8,-0.8,2.0,2.3,82.0,19805.0,3080.0,6811.0,0.452,320.0,944.0,0.339,2760.0,5867.0,0.47,1489.0,2156.0,0.691,1121.0,2341.0,3462.0,1900.0,689.0,379.0,1156.0,1839.0,7969.0,82.0,19805.0,2975.0,6540.0,0.455,348.0,977.0,0.356,2627.0,5563.0,0.472,1623.0,2172.0,0.747,1029.0,2468.0,3497.0,1725.0,632.0,372.0,1328.0,1924.0,7921.0,42.0,40.0,43.0,39.0,0.59,0.53,1.11,105.2,104.5,91.8,0.317,0.139,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240.0,82,27.2,3.25,-3.07,0.18,4.8,4308.0,2227.0,2.418311369,-0.538451009,1.87986036,5.263132923,5.263132923,0.0,2.459716692,-0.966798065,1.492918627,0.045400172,82.0,42.0,40.0,27.2,103.1,2.5,9.3,15.5,0.8,18.1,0.3,12.1,8.6,8.2,7.8,25.1,0.074,0.0
13502,1997-98,1998,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,18.0,TOR,NBA,SF,64.0,17.0,18.4,2.8,6.2,0.45,0.2,0.6,0.341,2.6,5.6,0.462,0.467,1.2,1.7,0.712,1.6,2.6,4.2,1.5,0.8,1.0,1.0,1.3,7.0,1179.0,7.9,17.5,0.45,0.6,1.8,0.341,7.3,15.7,0.462,3.5,4.9,0.712,4.6,7.2,11.8,4.3,2.2,2.7,2.9,3.8,19.8,106.0,109.0,1179.0,17.4,0.505,0.103,0.279,9.6,16.2,12.8,14.0,2.2,3.6,12.9,19.1,1.3,0.7,2.0,0.081,1.3,-0.7,0.6,0.8,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16.0,66.0,17.0,65.0,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685.0,64,18.4,0.7,-1.83,-1.13,1.42,2301.0,1179.0,0.298435226,-0.152468607,0.145966619,1.729019184,1.729019184,0.0,-0.237184784,-1.071848051,-1.309032836,-0.680678682,64.0,13.0,51.0,18.4,107.0,2.6,13.7,24.8,0.8,21.9,1.0,28.0,6.9,7.3,8.5,18.0,0.028,0.0
13503,1997-98,1998,Sean Rooks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28.0,LAL,NBA,C,41.0,1.0,10.4,1.1,2.5,0.455,0.0,0.0,,1.1,2.5,0.455,0.455,1.1,1.9,0.595,1.1,1.8,2.9,0.6,0.0,0.6,0.5,1.7,3.4,425.0,5.6,12.2,0.455,0.0,0.0,,5.6,12.2,0.455,5.7,9.5,0.595,5.6,8.7,14.2,2.9,0.2,2.8,2.3,8.2,16.8,112.0,104.0,425.0,13.4,0.512,0.0,0.782,12.6,18.7,15.7,8.2,0.2,3.7,12.3,16.0,0.7,0.5,1.1,0.13,-2.3,-0.7,-3.0,-0.1,82.0,19830.0,3146.0,6536.0,0.481,497.0,1415.0,0.351,2649.0,5121.0,0.517,1863.0,2743.0,0.679,1079.0,2471.0,3550.0,2009.0,734.0,556.0,1256.0,1859.0,8652.0,82.0,19830.0,2984.0,6800.0,0.439,380.0,1071.0,0.355,2604.0,5729.0,0.455,1669.0,2281.0,0.732,1123.0,2339.0,3462.0,1841.0,660.0,423.0,1281.0,2151.0,8017.0,61.0,21.0,61.0,21.0,7.74,-0.87,6.88,111.9,103.7,93.6,0.42,0.216,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,Great Western Forum,676101.0,41,10.4,0.07,-0.91,-0.84,0.6,858.0,436.0,-2.751285828,-0.538209161,-3.289494989,-0.120547904,-0.11407942,-0.006468483,-2.930176103,-1.104951884,-4.035127987,0.099509108,41.0,33.0,8.0,10.4,101.1,1.8,15.1,27.8,0.0,2.3,0.6,45.1,4.0,4.1,3.0,9.8,0.036,0.0
13504,1997-98,1998,Žan Tabak,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27.0,TOR,NBA,C,39.0,29.0,19.3,3.0,6.4,0.466,0.0,0.0,0.0,3.0,6.4,0.468,0.466,0.4,1.2,0.333,1.5,2.4,3.9,0.9,0.4,0.7,1.1,3.0,6.4,752.0,8.0,17.2,0.466,0.0,0.1,0.0,8.0,17.1,0.468,1.1,3.3,0.333,4.1,6.5,10.6,2.5,1.0,1.9,3.0,8.1,17.1,92.0,112.0,752.0,9.9,0.459,0.004,0.193,8.5,14.7,11.5,8.1,1.0,2.5,14.0,18.3,-0.4,0.1,-0.2,-0.013,-4.5,-1.8,-6.3,-0.8,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16.0,66.0,17.0,65.0,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685.0,0,0,0.0,0.0,0.0,0.0,1923.0,984.0,-4.286377894,-3.176965169,-7.463343063,-2.385770957,-2.385770957,0.0,-4.294509672,-2.641635348,-6.93614502,0.734269821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
