,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Shaquille O'Neal, C",LAL,79,40.0,5.73,1.66,7.39,21.20
1,2,"Gary Payton, PG",SEA,82,41.8,5.44,1.79,7.23,22.47
2,3,"David Robinson, C",SA,80,32.0,1.16,4.50,5.66,13.49
3,4,"Rodney Rogers, SF",PHX,82,27.9,2.04,3.40,5.44,12.47
4,5,"John Stockton, G",UTAH,82,29.7,3.12,2.12,5.23,12.35
5,6,"Eddie Jones, SG",CHA,72,39.0,1.97,3.18,5.15,14.08
6,7,"Tim Duncan, C",SA,74,38.9,1.44,3.31,4.75,13.64
7,8,"Kevin Garnett, PF",MIN,81,40.0,1.40,3.05,4.45,14.92
8,9,"Vince Carter, G",TOR,82,38.1,3.88,0.24,4.12,13.97
9,10,"Bo Outlaw, PF",ORL,82,28.4,-0.16,4.25,4.09,10.58
10,11,"Dikembe Mutombo, C",ATL,82,36.4,-1.16,4.71,3.55,11.87
11,12,"Terry Porter, G",SA,68,23.7,1.51,2.02,3.53,6.38
12,13,"Jeff Foster, PF",IND,19,4.5,3.00,0.51,3.52,0.34
13,14,"Anfernee Hardaway, SF",PHX,60,37.6,0.81,2.64,3.45,9.07
14,15,"Bryon Russell, SF",UTAH,82,35.4,-0.11,3.54,3.43,11.09
15,16,"Shawn Bradley, C",DAL,77,24.7,-1.86,5.28,3.43,7.49
16,17,"Terrell Brandon, PG",MIN,71,36.4,2.84,0.40,3.24,9.94
17,18,"Karl Malone, PF",UTAH,82,35.9,2.62,0.61,3.23,11.04
18,19,"Sam Perkins, C",IND,81,20.0,-0.76,3.96,3.20,5.93
19,20,"Derek Fisher, PG",LAL,78,23.1,-1.23,4.10,2.87,6.50
20,21,"Paul Pierce, SF",BOS,73,35.4,2.55,0.31,2.86,9.77
21,22,"Mikki Moore, C",DET,29,16.8,1.81,1.01,2.82,1.74
22,23,"Alonzo Mourning, C",MIA,79,34.8,1.10,1.70,2.80,9.50
23,24,"Chuck Person, F",SEA,37,9.2,2.29,0.43,2.72,1.14
24,25,"Andre Miller, PG",CLE,82,25.5,2.00,0.71,2.70,7.35
25,26,"Tracy McGrady, SG",TOR,79,31.2,0.48,2.21,2.70,8.46
26,27,"Charles Barkley, F",HOU,20,31.0,2.46,0.23,2.69,2.21
27,28,"Dell Curry, G",TOR,67,16.3,2.70,-0.05,2.65,3.66
28,29,"Toni Kukoc, SF",CHI/PHI,56,31.9,1.80,0.85,2.64,6.03
29,30,"Tony Delk, PG",SAC,46,14.8,1.10,1.50,2.60,2.36
30,31,"Arvydas Sabonis, C",POR,66,25.6,-0.35,2.94,2.60,5.50
31,32,"Todd Day, G",PHX,58,16.2,1.73,0.87,2.60,3.26
32,33,"Peja Stojakovic, SF",SAC,74,23.6,1.85,0.65,2.50,6.09
33,34,"Kobe Bryant, SF",LAL,66,38.2,2.62,-0.12,2.49,8.58
34,35,"Darvin Ham, SF",MIL,35,22.6,-0.70,3.15,2.45,2.64
35,36,"Chris Webber, C",SAC,75,38.4,2.81,-0.42,2.39,9.98
36,37,"Jerome Williams, PF",DET,82,25.6,0.36,1.98,2.34,7.21
37,38,"Rasheed Wallace, PF",POR,81,35.1,-0.58,2.91,2.33,8.91
38,39,"Grant Hill, SF",DET,74,37.5,3.83,-1.53,2.30,9.49
39,40,"Robert Horry, PF",LAL,76,22.2,-0.58,2.85,2.27,5.53
40,41,"Steve Smith, SG",POR,82,32.8,1.14,1.14,2.27,8.31
41,42,"Darrel Armstrong, PG",ORL,82,31.6,3.72,-1.48,2.24,8.67
42,43,"Kenny Anderson, PG",BOS,82,31.6,2.63,-0.4,2.23,8.61
43,44,"Travis Best, PG",IND,82,20.6,0.85,1.31,2.16,5.14
44,45,"Brad Miller, C",CHA,55,17.5,1.26,0.88,2.13,2.95
45,46,"Scott Burrell, G",NJ,74,18.1,1.31,0.82,2.13,4.16
46,47,"Allen Iverson, SG",PHI,70,40.8,3.6,-1.49,2.12,8.99
47,48,"Dale Davis, PF",IND,74,28.7,-0.2,2.25,2.05,6.48
48,49,"Scot Pollard, C",SAC,76,17.6,0.1,1.92,2.02,4.0
49,50,"Greg Anthony, G",POR,82,18.9,0.37,1.64,2.0,4.44
50,51,"Jon Barry, SG",SAC,62,20.7,0.85,1.14,1.99,3.93
51,52,"Metta World Peace, SF",CHI,72,31.1,-1.91,3.89,1.99,6.39
52,53,"Jamal Mashburn, SF",MIA,76,37.2,0.93,1.05,1.98,8.24
