,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Michael Porter Jr.,DEN,24,9,5,4,29.4,94.7,5.6,17.2,23.6,1.1,23.8,0.2,8.7,10.3,6.3,7.2,31.6,0.223
1,Sekou Doumbouya,LAL,21,2,0,2,8.2,40.5,2.0,18.2,20.0,1.5,60.0,1.0,66.7,1.0,1.0,0.0,3.0,0.206
2,Derrick Walton Jr.,DET,27,3,1,2,36.1,103.0,2.7,6.8,10.0,2.3,25.0,1.3,33.3,11.0,9.3,8.0,37.3,0.192
3,Jayson Tatum,BOS,24,76,49,27,35.9,103.4,6.9,18.0,25.9,1.0,17.9,0.6,14.6,10.5,9.1,8.5,30.8,0.179
4,Ricky Rubio,IND,31,34,20,14,28.5,99.5,3.7,12.2,17.8,1.4,30.1,0.2,8.6,10.3,6.8,7.2,27.9,0.177
5,Stephen Curry,GSW,34,64,45,19,34.5,103.4,4.7,12.6,18.4,1.3,19.2,0.4,9.9,12.4,9.2,9.1,32.3,0.174
6,Paul George,LAC,32,31,18,13,34.8,103.9,6.5,17.1,25.8,2.2,36.2,0.4,12.9,11.6,10.2,8.8,33.8,0.169
7,Jaylen Brown,BOS,25,66,43,23,33.6,103.8,5.3,14.5,21.1,1.1,20.6,0.3,6.6,10.0,8.5,7.8,28.4,0.165
8,Draymond Green,GSW,32,46,34,12,28.9,102.8,6.3,20.4,28.5,1.3,25.0,1.1,35.7,10.4,6.7,6.6,25.1,0.152
9,Rudy Gobert,UTA,30,66,42,24,32.1,104.5,11.0,31.2,44.9,0.7,14.8,2.1,66.8,10.7,7.8,7.9,28.0,0.151
10,Frank Kaminsky,PHX,29,9,8,1,20.1,96.0,3.3,14.4,21.9,0.9,18.6,0.8,31.8,5.9,6.4,5.0,22.2,0.150
11,Bam Adebayo,MIA,24,56,36,20,32.6,104.9,7.6,23.4,32.4,1.4,27.0,0.8,41.5,10.4,7.5,7.9,28.0,0.147
12,Robert Williams III,BOS,24,61,40,21,29.6,103.4,5.7,17.8,26.1,0.9,19.9,2.2,57.0,9.2,7.7,7.7,25.2,0.146
13,Marcus Smart,BOS,28,71,47,24,32.3,105.2,3.2,9.3,13.3,1.7,33.1,0.3,6.6,9.8,8.0,7.9,27.5,0.145
14,Al Horford,BOS,36,69,46,23,29.1,103.4,6.1,20.1,28.5,0.7,17.0,1.3,39.3,8.1,6.8,6.4,23.8,0.144
