,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2001-02,2002,Malik Allen,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,MIA,NBA,PF,12,2,13.4,1.8,4.3,0.431,0.0,0.1,0.0,1.8,4.2,0.44,0.431,0.7,0.8,0.8,1.3,1.9,3.2,0.4,0.3,0.7,0.2,1.3,4.3,161,7.5,17.4,0.431,0.0,0.3,0.0,7.5,17.1,0.44,2.7,3.4,0.8,5.1,7.8,13.0,1.7,1.0,2.7,0.7,5.5,17.7,108,99,161,15.0,0.469,0.02,0.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.2,0.3,0.5,0.141,-1.4,0.3,-1.1,0.0,82.0,19930,2801,6382,0.439,312,899,0.347,2489,5483,0.454,1236,1708,0.724,902,2544,3446,1664,547,448,1217,1846,7150,82.0,19930,2666,6279,0.425,379,1109,0.342,2287,5170,0.442,1565,2127,0.736,894,2484,3378,1461,620,353,1134,1709,7276,36,46,36,46,-1.54,-0.31,-1.84,98.5,100.2,87.4,0.268,0.141,0.463,14.6,26.6,0.194,0.455,13.6,74.0,0.249,AmericanAirlines Arena,655549
1,2002-03,2003,Malik Allen,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,MIA,NBA,PF,80,73,29.0,4.2,9.9,0.424,0.0,0.1,0.0,4.2,9.8,0.426,0.424,1.2,1.5,0.802,1.7,3.6,5.3,0.7,0.5,1.0,1.6,2.9,9.6,2318,7.9,18.6,0.424,0.0,0.1,0.0,7.9,18.5,0.426,2.3,2.9,0.802,3.2,6.9,10.0,1.3,0.9,1.8,3.0,5.5,18.1,89,103,2318,9.9,0.455,0.005,0.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,-1.7,2.6,0.9,0.018,-3.9,-0.4,-4.4,-1.4,82.0,19830,2688,6517,0.412,348,1100,0.316,2340,5417,0.432,1292,1689,0.765,948,2464,3412,1501,592,324,1167,1856,7016,82.0,19830,2713,6208,0.437,406,1149,0.353,2307,5059,0.456,1598,2129,0.751,872,2587,3459,1482,626,436,1173,1671,7430,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,0.259,0.169,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242
2,2003-04,2004,Malik Allen,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,MIA,NBA,PF,45,6,13.7,1.8,4.4,0.419,0.0,0.0,,1.8,4.4,0.419,0.419,0.6,0.7,0.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,616,7.4,17.5,0.419,0.0,0.0,,7.4,17.5,0.419,2.2,2.9,0.758,3.7,6.8,10.5,1.4,1.1,2.5,2.4,7.2,16.9,93,101,616,10.5,0.449,0.0,0.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,-0.1,0.8,0.7,0.051,-3.7,-0.1,-3.8,-0.3,82.0,19755,2729,6417,0.425,485,1357,0.357,2244,5060,0.443,1459,1915,0.762,940,2459,3399,1565,590,313,1137,1812,7402,82.0,19755,2658,6205,0.428,431,1256,0.343,2227,4949,0.45,1612,2100,0.768,892,2486,3378,1526,578,439,1207,1729,7359,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,88.0,0.298,0.211,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,AmericanAirlines Arena,624809
3,2004-05,2005,Malik Allen,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,26,MIA,NBA,PF,14,0,17.7,2.5,5.4,0.461,0.0,0.0,,2.5,5.4,0.461,0.461,0.9,1.0,0.929,1.7,2.0,3.7,0.8,0.3,0.8,0.8,2.1,5.9,248,7.5,16.2,0.461,0.0,0.0,,7.5,16.2,0.461,2.8,3.0,0.929,5.1,6.0,11.1,2.3,0.9,2.3,2.3,6.2,17.7,107,104,248,13.6,0.505,0.0,0.184,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,0.3,0.3,0.6,0.113,-1.3,-0.3,-1.6,0.0,82.0,19980,3097,6368,0.486,475,1260,0.377,2622,5108,0.513,1658,2466,0.672,887,2639,3526,1790,528,474,1127,1814,8327,82.0,19980,2865,6705,0.427,441,1269,0.348,2424,5436,0.446,1621,2134,0.76,922,2397,3319,1620,611,264,1085,2020,7792,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,90.8,0.387,0.198,0.524,13.1,27.0,0.26,0.46,12.4,74.1,0.242,AmericanAirlines Arena,815143
4,2004-05,2005,Malik Allen,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,CHA,NBA,PF,22,1,12.3,2.2,4.6,0.485,0.0,0.0,,2.2,4.6,0.485,0.485,0.6,0.6,0.929,0.7,1.4,2.1,0.3,0.2,0.5,0.3,1.1,5.0,271,9.4,19.4,0.485,0.0,0.0,,9.4,19.4,0.485,2.5,2.7,0.929,3.1,6.0,9.0,1.3,1.0,2.1,1.3,4.6,21.3,108,109,271,14.8,0.518,0.0,0.139,6.4,13.8,9.9,4.6,1.0,3.1,6.1,18.7,0.3,0.2,0.5,0.088,-0.8,-1.2,-2.0,0.0,82.0,19880.0,2961.0,6859.0,0.432,320.0,881.0,0.363,2641.0,5978.0,0.442,1487.0,2096.0,0.709,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1192.0,1894.0,7729.0,82.0,19880.0,3015.0,6507.0,0.463,442.0,1224.0,0.361,2573.0,5283.0,0.487,1748.0,2279.0,0.767,959.0,2586.0,3545.0,1768.0,624.0,446.0,1297.0,1858.0,8220.0,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,591701
5,2005-06,2006,Malik Allen,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,CHI,NBA,PF,54,20,13.0,2.2,4.6,0.49,0.0,0.0,1.0,2.2,4.6,0.488,0.492,0.4,0.7,0.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7,4.9,701,8.9,18.2,0.49,0.1,0.1,1.0,8.8,18.1,0.488,1.7,2.8,0.605,3.2,7.1,10.3,1.5,1.0,1.2,2.5,6.8,19.6,98,104,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,0.0,1.0,1.0,0.068,-3.0,0.3,-2.7,-0.1,82.0,19905,3004,6737,0.446,560,1477,0.379,2444,5260,0.465,1452,1967,0.738,906,2602,3508,1804,508,345,1224,2038,8020,82.0,19905,2773,6515,0.426,501,1428,0.351,2272,5087,0.447,1921,2472,0.777,881,2541,3422,1652,611,420,1228,1883,7968,41,41,43,39,0.63,-0.12,0.51,104.0,103.4,92.9,0.292,0.219,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,United Center,868720
6,2006-07,2007,Malik Allen,-1.0,0.0,0.0,0.0,false,3.0,0.0,500.0,28,CHI,NBA,PF,60,1,10.6,1.8,4.3,0.415,0.0,0.0,0.0,1.8,4.3,0.416,0.415,0.5,0.6,0.824,0.7,1.3,2.0,0.3,0.3,0.3,0.4,1.4,4.0,638,8.6,20.7,0.415,0.0,0.1,0.0,8.6,20.6,0.416,2.2,2.7,0.824,3.4,6.2,9.6,1.3,1.4,1.3,1.7,6.8,19.4,96,100,638,10.4,0.443,0.004,0.132,7.6,13.7,10.6,4.2,1.4,2.0,7.1,20.5,-0.2,1.1,1.0,0.073,-3.9,0.5,-3.4,-0.2,82.0,19780,3046,6663,0.457,480,1237,0.388,2566,5426,0.473,1528,2083,0.734,984,2597,3581,1832,639,445,1310,1908,8100,82.0,19780,2793,6416,0.435,484,1387,0.349,2309,5029,0.459,1619,2219,0.73,897,2456,3353,1675,614,433,1429,1900,7689,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,93.6,0.313,0.186,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,United Center,912364
7,2007-08,2008,Malik Allen,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,NJN,NBA,PF,48,12,15.9,2.6,5.4,0.475,0.0,0.0,0.5,2.6,5.4,0.475,0.477,0.3,0.3,0.923,0.9,1.8,2.7,0.6,0.3,0.4,0.7,1.9,5.4,763,8.5,17.9,0.475,0.1,0.1,0.5,8.5,17.8,0.475,0.8,0.9,0.923,2.9,5.9,8.8,2.0,1.0,1.4,2.2,6.1,17.9,97,110,763,10.1,0.489,0.008,0.05,6.4,13.1,9.7,6.8,1.0,2.1,10.7,17.9,-0.2,0.5,0.4,0.023,-3.3,-0.3,-3.6,-0.3,82.0,19830,2856,6450,0.443,498,1430,0.348,2358,5020,0.47,1647,2237,0.736,913,2520,3433,1925,521,390,1229,1855,7857,82.0,19830,2982,6543,0.456,534,1448,0.369,2448,5095,0.48,1774,2311,0.768,896,2517,3413,1810,662,362,1098,1836,8272,34,48,27,55,-5.06,-0.09,-5.15,104.0,109.4,91.5,0.347,0.222,0.481,14.2,26.6,0.255,0.497,12.7,73.8,0.271,Izod Center,641921
8,2007-08,2008,Malik Allen,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,DAL,NBA,PF,25,4,13.3,1.3,2.6,0.5,0.0,0.0,,1.3,2.6,0.5,0.5,0.4,0.5,0.917,1.0,1.8,2.7,0.6,0.2,0.4,0.5,2.4,3.1,333,5.3,10.6,0.5,0.0,0.0,,5.3,10.6,0.5,1.8,1.9,0.917,3.8,7.0,10.9,2.4,0.6,1.6,2.1,9.6,12.3,110,107,333,9.1,0.54,0.0,0.182,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,0.3,0.4,0.7,0.096,-3.8,0.5,-3.3,-0.1,82.0,19730,3025,6515,0.464,494,1403,0.352,2531,5112,0.495,1690,2075,0.814,883,2643,3526,1720,490,402,1037,1786,8234,82.0,19730,2903,6551,0.443,408,1168,0.349,2495,5383,0.463,1648,2168,0.76,882,2419,3301,1547,536,357,999,1739,7862,51,31,54,28,4.54,0.16,4.7,111.1,106.1,90.2,0.318,0.215,0.502,12.3,26.7,0.259,0.474,11.7,75.0,0.252,American Airlines Center,831738
9,2008-09,2009,Malik Allen,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,MIL,NBA,PF,49,3,11.8,1.5,3.5,0.429,0.0,0.0,0.0,1.5,3.4,0.432,0.429,0.2,0.4,0.476,0.7,1.4,2.1,0.7,0.1,0.2,0.4,1.8,3.2,579,6.5,15.2,0.429,0.0,0.1,0.0,6.5,15.1,0.432,0.9,1.9,0.476,3.1,6.1,9.2,3.1,0.6,1.1,1.8,8.0,14.0,96,110,579,7.3,0.435,0.006,0.124,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,-0.2,0.5,0.3,0.024,-4.2,-0.2,-4.5,-0.4,82.0,19780,3009,6755,0.445,511,1408,0.363,2498,5347,0.467,1613,2067,0.78,973,2367,3340,1802,609,308,1154,1986,8142,82.0,19780,2854,6233,0.458,562,1486,0.378,2292,4747,0.483,1961,2480,0.791,831,2527,3358,1730,616,376,1350,1842,8231,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,92.6,0.306,0.208,0.483,13.1,27.8,0.239,0.503,15.6,74.0,0.315,Bradley Center,630976
