,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Nick Anderson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,ORL,NBA,SG,79,76,37.0,7.5,16.8,0.449,1.1,3.2,0.353,6.4,13.6,0.471,0.482,3.8,5.1,0.741,1.5,4.5,6.0,3.4,1.6,0.7,2.1,2.5,19.9,2920,10.1,22.6,0.449,1.5,4.3,0.353,8.6,18.4,0.471,5.1,6.9,0.741,2.1,6.1,8.1,4.5,2.2,1.0,2.8,3.4,26.9,109,106,2920,17.3,0.524,0.188,0.304,5.0,13.0,9.2,14.7,2.2,1.2,9.9,24.5,4.0,3.7,7.7,0.126,2.0,0.8,2.8,3.5,82.0,19880,3257,6708,0.486,317,889,0.357,2940,5819,0.505,1821,2495,0.73,1040,2566,3606,1952,542,467,1429,1925,8652,82.0,19880,3307,7255,0.456,248,754,0.329,3059,6501,0.471,1682,2306,0.729,1166,2271,3437,2091,715,401,1119,1975,8544,41,41,45,37,1.32,0.03,1.35,108.5,107.1,96.3,0.372,0.133,0.509,15.5,31.4,0.271,0.473,11.9,68.8,0.232,Orlando Arena,621191
1,1993-94,1994,Nick Anderson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,ORL,NBA,SG,81,81,34.7,6.2,13.0,0.478,1.2,3.9,0.322,5.0,9.1,0.545,0.526,2.1,3.1,0.672,1.4,4.5,5.9,3.6,1.7,0.4,2.0,1.8,15.8,2811,9.0,18.9,0.478,1.8,5.6,0.322,7.2,13.3,0.545,3.0,4.5,0.672,2.0,6.5,8.5,5.3,2.4,0.6,3.0,2.7,22.9,111,106,2811,16.9,0.549,0.298,0.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,4.6,3.0,7.6,0.129,2.0,0.6,2.5,3.2,82.0,19730,3341,6883,0.485,394,1137,0.347,2947,5746,0.513,1590,2346,0.678,1177,2356,3533,2070,683,456,1327,1713,8666,82.0,19730,3263,7125,0.458,296,847,0.349,2967,6278,0.473,1525,2047,0.745,1197,2305,3502,2103,756,442,1228,1844,8347,50,32,52,30,3.89,-0.21,3.68,110.8,106.7,95.2,0.341,0.165,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.214,Orlando Arena,626931
2,1994-95,1995,Nick Anderson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,ORL,NBA,SG,76,76,34.1,5.8,12.1,0.476,2.4,5.7,0.415,3.4,6.5,0.528,0.573,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8,2588,8.6,18.0,0.476,3.5,8.4,0.415,5.1,9.6,0.528,2.8,4.0,0.704,1.7,4.9,6.5,6.1,2.4,0.4,2.7,2.4,23.4,119,108,2588,17.5,0.593,0.467,0.22,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,5.7,2.6,8.3,0.154,3.4,0.7,4.0,3.9,82.0,19930,3460,6899,0.502,523,1412,0.37,2937,5487,0.535,1648,2465,0.669,1149,2457,3606,2281,672,488,1297,1726,9091,82.0,19930,3242,7093,0.457,468,1239,0.378,2774,5854,0.474,1560,2106,0.741,1136,2226,3362,1986,700,367,1234,1954,8512,57,25,59,23,7.06,-0.62,6.44,115.1,107.8,95.1,0.357,0.205,0.539,14.0,34.0,0.239,0.49,13.3,68.4,0.22,Orlando Arena,656410
3,1995-96,1996,Nick Anderson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,ORL,NBA,SG,77,77,35.3,5.2,11.7,0.442,2.2,5.6,0.391,3.0,6.2,0.489,0.535,2.2,3.1,0.692,1.2,4.2,5.4,3.6,1.6,0.6,1.8,1.8,14.7,2717,7.7,17.4,0.442,3.2,8.3,0.391,4.5,9.1,0.489,3.2,4.6,0.692,1.8,6.2,8.0,5.4,2.3,0.9,2.7,2.6,21.8,112,106,2717,16.5,0.562,0.476,0.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,4.2,3.3,7.4,0.131,2.3,0.6,2.9,3.4,82.0,19855,3203,6640,0.482,622,1645,0.378,2581,4995,0.517,1543,2232,0.691,966,2401,3367,2080,663,406,1160,1709,8571,82.0,19855,3060,6736,0.454,496,1357,0.366,2564,5379,0.477,1499,2037,0.736,1087,2365,3452,1869,644,324,1238,1827,8115,60,22,56,26,5.56,-0.16,5.4,112.9,106.9,91.8,0.336,0.248,0.529,13.2,29.0,0.232,0.491,14.0,68.8,0.223,Orlando Arena,707168
4,1996-97,1997,Nick Anderson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,29,ORL,NBA,SG,63,61,34.3,4.6,11.5,0.397,2.3,6.4,0.353,2.3,5.1,0.453,0.496,0.6,1.5,0.404,1.0,3.8,4.8,2.9,1.9,0.5,1.4,2.5,12.0,2163,7.2,18.2,0.397,3.6,10.2,0.353,3.6,8.0,0.453,1.0,2.4,0.404,1.7,6.0,7.6,4.6,3.0,0.8,2.2,4.0,19.0,104,104,2163,13.8,0.494,0.559,0.13,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,1.3,2.9,4.2,0.093,0.2,1.6,1.8,2.1,82.0,19855,2839,6497,0.437,567,1662,0.341,2272,4835,0.47,1474,1975,0.746,1071,2221,3292,1689,694,363,1250,1643,7719,82.0,19855,2966,6450,0.46,455,1327,0.343,2511,5123,0.49,1361,1860,0.732,1080,2398,3478,1798,704,417,1314,1769,7748,45,37,40,42,-0.35,0.28,-0.07,105.6,106.0,88.3,0.304,0.256,0.481,14.5,30.9,0.227,0.495,15.3,67.3,0.211,Orlando Arena,711311
5,1997-98,1998,Nick Anderson,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,30,ORL,NBA,SF,58,44,29.3,5.9,13.0,0.455,1.3,3.7,0.36,4.6,9.3,0.493,0.506,2.2,3.4,0.638,1.7,3.4,5.1,2.1,1.2,0.4,1.5,1.7,15.3,1701,11.1,24.4,0.455,2.5,6.9,0.36,8.6,17.5,0.493,4.1,6.4,0.638,3.2,6.4,9.6,3.9,2.3,0.7,2.8,3.2,28.8,109,103,1701,19.6,0.529,0.284,0.264,6.6,14.1,10.3,14.1,2.3,1.0,9.2,25.0,3.1,2.1,5.3,0.149,4.0,0.7,4.8,2.9,82.0,19830,2771,6455,0.429,293,907,0.323,2478,5548,0.447,1552,2138,0.726,1178,2203,3381,1694,649,441,1258,1617,7387,82.0,19830,2930,6460,0.454,313,967,0.324,2617,5493,0.476,1302,1769,0.736,1089,2268,3357,1740,747,388,1259,1866,7475,41,41,38,44,-1.07,0.54,-0.53,102.6,103.8,87.1,0.331,0.141,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,667322
6,1998-99,1999,Nick Anderson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,ORL,NBA,SF,47,39,33.6,5.4,13.6,0.395,2.0,5.9,0.347,3.3,7.7,0.433,0.47,2.1,3.4,0.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9,1581,8.6,21.9,0.395,3.3,9.5,0.347,5.4,12.4,0.433,3.4,5.5,0.611,1.7,7.7,9.5,3.1,2.2,0.5,2.8,2.5,24.0,100,97,1581,15.3,0.493,0.433,0.253,3.7,16.9,10.2,10.7,2.2,0.7,10.4,22.8,1.3,2.6,3.9,0.118,1.5,0.6,2.1,1.7,50.0,12050,1687,3943,0.428,223,675,0.33,1464,3268,0.448,876,1252,0.7,688,1445,2133,1067,496,213,819,935,4473,50.0,12050,1708,3856,0.443,230,667,0.345,1478,3189,0.463,697,986,0.707,595,1424,2019,1039,468,239,863,1111,4343,33,17,30,20,2.6,0.51,3.11,100.3,97.4,88.8,0.318,0.171,0.456,15.4,32.6,0.222,0.473,16.7,70.8,0.181,Orlando Arena,411091
7,1999-00,2000,Nick Anderson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,SAC,NBA,SG,72,72,29.1,4.3,10.9,0.391,1.8,5.5,0.332,2.4,5.3,0.452,0.476,0.5,1.1,0.487,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8,2094,7.1,18.1,0.391,3.0,9.2,0.332,4.0,8.9,0.452,0.9,1.8,0.487,1.9,5.9,7.8,2.8,2.2,0.4,2.2,2.7,18.0,97,103,2094,11.8,0.479,0.508,0.097,4.1,12.8,8.4,8.6,2.2,0.5,10.4,18.1,0.3,2.5,2.8,0.064,-0.6,0.3,-0.3,0.9,82.0,19805,3276,7288,0.45,534,1656,0.322,2742,5632,0.487,1521,2016,0.754,1056,2635,3691,1953,787,381,1325,1729,8607,82.0,19805,3269,7239,0.452,396,1123,0.353,2873,6116,0.47,1434,1910,0.751,1143,2761,3904,1950,753,404,1437,1943,8368,44,38,49,33,2.91,0.12,3.04,105.0,102.1,99.3,0.277,0.227,0.486,13.9,27.7,0.209,0.479,15.1,69.7,0.198,ARCO Arena (II),720033
8,2000-01,2001,Nick Anderson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,33,SAC,NBA,SG,21,0,8.0,0.7,2.7,0.246,0.5,1.9,0.256,0.2,0.9,0.222,0.333,0.0,0.0,,0.1,1.0,1.2,0.6,0.5,0.2,0.3,0.6,1.8,169,4.2,17.2,0.246,3.0,11.7,0.256,1.2,5.4,0.222,0.0,0.0,,0.9,6.6,7.5,3.9,3.0,1.2,2.1,3.9,11.4,76,98,169,6.4,0.333,0.684,0.0,2.0,13.7,8.0,11.0,3.0,1.6,10.9,16.7,-0.3,0.3,0.0,-0.011,-4.6,1.4,-3.2,-0.1,82.0,20080,3132,6969,0.449,479,1353,0.354,2653,5616,0.472,1600,2075,0.771,987,2705,3692,1852,793,432,1221,1596,8343,82.0,20080,3087,7139,0.432,401,1131,0.355,2686,6008,0.447,1291,1724,0.749,1121,2643,3764,1816,666,476,1334,1766,7866,55,27,57,25,5.82,0.25,6.07,105.6,99.6,94.4,0.298,0.194,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,ARCO Arena (II),709997
9,2001-02,2002,Nick Anderson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,34,MEM,NBA,SG,15,0,14.6,1.4,5.1,0.276,0.9,3.2,0.271,0.5,1.9,0.286,0.362,0.3,0.6,0.556,0.1,2.1,2.2,0.9,0.4,0.4,0.9,1.1,4.0,219,5.1,18.3,0.276,3.1,11.5,0.271,1.9,6.7,0.286,1.2,2.2,0.556,0.2,7.7,7.9,3.4,1.4,1.4,3.4,4.1,14.4,74,106,219,4.9,0.375,0.632,0.118,0.5,16.3,8.4,10.2,1.4,1.9,14.9,19.5,-0.6,0.2,-0.4,-0.08,-5.2,-0.6,-5.9,-0.2,82.0,19780,2851,6535,0.436,336,1096,0.307,2515,5439,0.462,1334,1883,0.708,984,2413,3397,1785,646,488,1344,1571,7372,82.0,19780,3119,6829,0.457,398,1112,0.358,2721,5717,0.476,1346,1788,0.753,1135,2560,3695,1961,781,457,1207,1784,7982,23,59,20,62,-7.44,0.7,-6.74,98.2,106.3,91.1,0.288,0.168,0.462,15.4,27.8,0.204,0.486,13.7,68.0,0.197,Pyramid Arena,591030
