,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2010-11,2011,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,LAC,NBA,PG,81,25,22.7,2.5,6.0,0.424,0.4,1.4,0.276,2.1,4.6,0.47,0.457,1.2,1.6,0.744,0.8,1.9,2.8,3.6,1.1,0.3,2.4,1.6,6.7,1841,5.8,13.6,0.424,0.9,3.3,0.276,4.9,10.4,0.47,2.8,3.7,0.744,1.9,4.4,6.3,8.1,2.6,0.7,5.4,3.7,15.2,93,108,1841,10.8,0.499,0.239,0.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,-1.3,1.6,0.3,0.008,-2.4,0.2,-2.2,-0.1,82.0,19855,3015,6594,0.457,513,1519,0.338,2502,5075,0.493,1546,2187,0.707,955,2501,3456,1813,585,402,1343,1733,8089,82.0,19855,3046,6688,0.455,584,1598,0.365,2462,5090,0.484,1670,2167,0.771,914,2410,3324,1827,659,404,1125,1811,8346,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,92.8,0.332,0.23,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,STAPLES Center,727462
1,2011-12,2012,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,22,LAC,NBA,PG,40,1,11.6,1.2,3.2,0.389,0.2,0.8,0.2,1.1,2.4,0.448,0.413,0.7,1.1,0.636,0.6,1.1,1.6,1.7,0.8,0.4,1.2,1.5,3.3,464,5.7,14.6,0.389,0.7,3.5,0.2,5.0,11.1,0.448,3.2,5.1,0.636,2.6,5.0,7.5,7.7,3.6,1.6,5.5,6.7,15.3,90,102,464,11.2,0.454,0.238,0.349,5.6,11.1,8.3,21.6,3.6,2.5,24.4,19.1,-0.4,0.6,0.2,0.022,-3.4,1.8,-1.6,0.0,66.0,15965,2439,5366,0.455,514,1441,0.357,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438,66.0,15965,2279,5098,0.447,460,1261,0.365,1819,3837,0.474,1251,1678,0.746,712,1914,2626,1368,396,296,966,1401,6269,40,26,39,27,2.56,0.26,2.82,108.5,105.7,89.2,0.287,0.269,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,STAPLES Center,634237
2,2012-13,2013,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,LAC,NBA,PG,76,12,20.4,3.3,7.5,0.445,0.4,1.0,0.397,2.9,6.4,0.453,0.473,1.4,1.8,0.791,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5,1553,8.6,19.3,0.445,1.1,2.6,0.397,7.5,16.6,0.453,3.6,4.5,0.791,2.6,5.0,7.6,7.9,3.7,1.9,4.6,3.8,21.8,102,101,1553,17.5,0.513,0.137,0.236,6.1,11.1,8.6,23.5,3.7,3.0,17.9,22.5,1.1,2.6,3.7,0.115,1.3,2.2,3.5,2.2,82.0,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289,82.0,19730,2834,6397,0.443,627,1682,0.373,2207,4715,0.468,1465,1956,0.749,891,2315,3206,1812,606,335,1319,1712,7760,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,0.286,0.265,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,STAPLES Center,788293
3,2013-14,2014,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,24,PHO,NBA,PG,43,40,32.9,6.2,12.9,0.477,1.2,3.3,0.357,5.0,9.7,0.517,0.522,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7,1416,9.4,19.7,0.477,1.8,5.0,0.357,7.6,14.7,0.517,6.5,8.4,0.772,1.0,6.2,7.2,8.3,2.4,0.5,5.1,3.5,27.0,110,106,1416,19.6,0.578,0.252,0.426,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,2.6,1.6,4.1,0.14,2.3,0.7,3.1,1.8,82.0,19755,3172,6845,0.463,765,2055,0.372,2407,4790,0.503,1520,2004,0.758,928,2601,3529,1563,688,374,1258,1798,8629,82.0,19755,3118,6840,0.456,556,1632,0.341,2562,5208,0.492,1621,2115,0.766,926,2586,3512,1664,613,332,1258,1749,8413,48,34,48,34,2.63,0.39,3.02,109.5,106.7,95.8,0.293,0.3,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,US Airways Center,650739
4,2014-15,2015,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,PHO,NBA,PG,81,81,34.6,5.8,12.9,0.447,1.1,3.4,0.324,4.7,9.6,0.491,0.489,4.4,5.4,0.8,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17.0,2800,8.3,18.6,0.447,1.6,4.8,0.324,6.8,13.8,0.491,6.3,7.9,0.8,1.3,6.2,7.5,8.8,2.3,0.8,4.9,3.4,24.5,107,106,2800,18.4,0.555,0.26,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,4.1,2.9,7.0,0.119,1.6,0.5,2.1,2.9,82.0,19880,3178,7038,0.452,698,2048,0.341,2480,4990,0.497,1343,1767,0.76,896,2643,3539,1659,700,385,1238,1744,8397,82.0,19880,3149,6972,0.452,633,1798,0.352,2516,5174,0.486,1540,2030,0.759,951,2766,3717,1734,651,337,1276,1664,8471,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221,US Airways Center,693862
5,2015-16,2016,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,PHO,NBA,PG,31,31,34.2,7.2,15.9,0.453,1.5,4.2,0.372,5.6,11.7,0.482,0.502,4.5,5.5,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4,1059,10.3,22.6,0.453,2.2,5.9,0.372,8.1,16.7,0.482,6.3,7.9,0.802,0.8,4.9,5.8,8.7,2.9,0.9,5.1,3.5,29.1,107,107,1059,20.0,0.557,0.262,0.35,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,1.6,1.0,2.5,0.116,2.5,0.8,3.3,1.4,82.0,19705,3051,7018,0.435,738,2118,0.348,2313,4900,0.472,1431,1905,0.751,943,2733,3676,1701,632,313,1410,1858,8271,82.0,19705,3208,6870,0.467,770,2041,0.377,2438,4829,0.505,1631,2177,0.749,813,2770,3583,1837,782,449,1224,1770,8817,23,59,24,58,-6.66,0.34,-6.32,102.2,109.0,98.5,0.271,0.302,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,Talking Stick Resort Arena,701405
6,2016-17,2017,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,PHO,NBA,PG,66,66,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,2176,9.9,22.7,0.434,2.3,6.8,0.335,7.6,15.9,0.477,8.5,10.1,0.847,1.1,5.9,7.0,9.2,2.0,0.7,4.9,3.6,30.6,111,112,2176,20.5,0.563,0.3,0.443,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,4.0,1.4,5.3,0.118,3.7,-0.1,3.6,3.1,82.0,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,976,2712,3688,1604,673,399,1265,2030,8831,82.0,19830,3300,7070,0.467,825,2159,0.382,2475,4911,0.504,1868,2387,0.783,840,2772,3612,1818,663,435,1222,1822,9293,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.493,13.4,26.0,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,708639
7,2017-18,2018,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,PHO,NBA,PG,3,3,27.7,5.3,13.3,0.4,1.3,4.3,0.308,4.0,9.0,0.444,0.45,3.7,4.7,0.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7,83,9.2,23.1,0.4,2.3,7.5,0.308,6.9,15.6,0.444,6.3,8.1,0.786,1.7,2.3,4.0,5.2,2.3,1.2,5.8,3.5,27.1,94,113,83,13.0,0.509,0.325,0.35,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,-0.1,0.0,0.0,-0.028,-0.7,-2.4,-3.2,0.0,82.0,19705,3153,7141,0.442,763,2286,0.334,2390,4855,0.492,1453,1962,0.741,842,2776,3618,1743,569,370,1289,1807,8522,82.0,19705,3426,7274,0.471,895,2398,0.373,2531,4876,0.519,1543,2014,0.766,855,2906,3761,1910,712,488,1099,1715,9290,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,100.3,0.275,0.32,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,690576
8,2017-18,2018,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,MIL,NBA,PG,71,71,31.5,6.4,13.4,0.476,1.7,4.9,0.349,4.7,8.5,0.55,0.54,3.4,4.3,0.795,0.7,3.2,3.9,5.1,2.0,0.6,2.9,2.5,17.8,2239,10.1,21.1,0.476,2.7,7.7,0.349,7.4,13.4,0.55,5.4,6.7,0.795,1.1,5.1,6.2,8.0,3.2,0.9,4.6,4.0,28.2,109,108,2239,20.0,0.585,0.366,0.319,2.5,11.9,7.2,26.0,3.2,1.5,16.0,26.0,3.2,2.4,5.7,0.121,2.4,0.4,2.8,2.7,82.0,19830,3257,6807,0.478,718,2024,0.355,2539,4783,0.531,1499,1915,0.783,688,2579,3267,1905,722,443,1134,1752,8731,82.0,19830,3209,6864,0.468,829,2226,0.372,2380,4638,0.513,1509,1926,0.783,817,2686,3503,1939,585,366,1279,1633,8756,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,96.2,0.281,0.297,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,685303
9,2018-19,2019,Eric Bledsoe,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,29,MIL,NBA,PG,78,78,29.1,6.0,12.4,0.484,1.6,4.8,0.329,4.4,7.6,0.582,0.548,2.3,3.0,0.75,1.1,3.6,4.6,5.5,1.5,0.4,2.1,2.0,15.9,2272,9.6,19.9,0.484,2.5,7.7,0.329,7.1,12.2,0.582,3.6,4.8,0.75,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,116,105,2272,19.3,0.577,0.388,0.243,3.9,11.8,8.1,27.4,2.4,1.1,13.3,22.9,4.4,3.7,8.2,0.173,1.9,1.2,3.1,2.9,82.0,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,82.0,19780,3322,7669,0.433,1073,2976,0.361,2249,4693,0.479,1242,1694,0.733,813,2902,3715,2031,557,395,1096,1653,8959,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,103.3,0.255,0.419,0.55,12.0,20.8,0.197,0.503,11.5,80.3,0.162,Fiserv Forum,721692
