,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2000-01,2001,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,BOS,NBA,C,64,50,17.2,1.6,3.1,0.505,0.0,0.0,,1.6,3.1,0.505,0.505,0.7,1.0,0.697,1.5,2.1,3.6,0.5,0.6,1.2,1.0,2.9,3.9,1098,4.8,9.4,0.505,0.0,0.0,,4.8,9.4,0.505,2.2,3.1,0.697,4.6,6.3,10.9,1.5,1.8,3.6,2.9,8.6,11.7,101,101,1098,11.1,0.541,0.0,0.33,9.9,14.9,12.3,4.8,1.8,5.3,21.3,12.0,0.5,1.4,1.9,0.084,-4.2,1.1,-3.1,-0.3,82.0,19830,2773,6485,0.428,592,1633,0.363,2181,4852,0.45,1621,2190,0.74,897,2367,3264,1708,769,336,1285,1952,7759,82.0,19830,2935,6392,0.459,430,1170,0.368,2505,5222,0.48,1634,2178,0.75,888,2650,3538,1885,650,440,1402,1903,7934,36,46,35,47,-2.13,-0.26,-2.4,101.4,103.7,92.6,0.338,0.252,0.473,14.7,25.3,0.25,0.493,16.0,72.7,0.256,FleetCenter,629201
1,2001-02,2002,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,BOS,NBA,C,44,0,9.4,0.7,1.7,0.421,0.0,0.0,,0.7,1.7,0.421,0.421,0.7,0.8,0.811,0.6,1.3,1.9,0.2,0.4,0.4,0.5,1.3,2.1,415,4.0,9.5,0.421,0.0,0.0,,4.0,9.5,0.421,3.8,4.6,0.811,3.3,7.4,10.6,1.3,2.0,2.4,2.9,7.4,11.8,96,99,415,9.3,0.509,0.0,0.487,6.7,16.0,11.2,3.8,2.0,3.6,20.0,12.7,0.0,0.7,0.7,0.081,-5.4,1.3,-4.1,-0.2,82.0,19830,2852,6731,0.424,699,1946,0.359,2153,4785,0.45,1498,1960,0.764,891,2570,3461,1722,793,292,1114,1776,7901,82.0,19830,2797,6579,0.425,514,1511,0.34,2283,5068,0.45,1612,2091,0.771,954,2807,3761,1802,623,476,1335,1734,7720,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,92.5,0.291,0.289,0.476,12.8,24.1,0.223,0.464,15.1,72.9,0.245,FleetCenter,659751
2,2002-03,2003,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,DEN,NBA,C,54,24,16.4,1.9,4.9,0.393,0.0,0.0,,1.9,4.9,0.393,0.393,1.3,1.8,0.717,1.1,2.2,3.4,0.6,0.4,0.9,1.3,2.1,5.2,885,6.3,15.9,0.393,0.0,0.0,,6.3,15.9,0.393,4.2,5.9,0.717,3.7,7.2,10.9,2.1,1.3,3.0,4.2,6.7,16.7,86,100,885,9.6,0.452,0.0,0.371,7.8,16.7,12.0,7.0,1.3,4.6,18.4,19.1,-0.9,1.3,0.4,0.02,-4.7,1.0,-3.7,-0.4,82.0,19730,2689,6544,0.411,229,824,0.278,2460,5720,0.43,1294,1850,0.699,1112,2363,3475,1737,712,422,1514,2056,6901,82.0,19730,2696,6087,0.443,420,1134,0.37,2276,4953,0.46,1768,2337,0.757,861,2443,3304,1764,742,538,1405,1789,7580,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,91.0,0.283,0.126,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,607813
3,2002-03,2003,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,BOS,NBA,C,27,7,19.2,1.7,3.0,0.563,0.0,0.0,,1.7,3.0,0.563,0.563,1.1,1.5,0.75,1.8,2.8,4.6,0.8,0.7,0.6,1.2,2.8,4.4,518,4.6,8.2,0.563,0.0,0.0,,4.6,8.2,0.563,3.1,4.1,0.75,5.0,7.7,12.7,2.1,2.0,1.7,3.4,7.6,12.2,109,100,518,12.2,0.615,0.0,0.5,10.4,17.1,13.7,6.8,2.0,2.6,25.3,11.7,0.6,0.8,1.4,0.126,-3.4,1.6,-1.8,0.0,82.0,19830,2700,6509,0.415,719,2155,0.334,1981,4354,0.455,1480,1994,0.742,849,2471,3320,1575,720,303,1147,1758,7599,82.0,19830,2804,6450,0.435,463,1400,0.331,2341,5050,0.464,1560,2084,0.749,937,2750,3687,1824,617,367,1315,1798,7631,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,90.9,0.306,0.331,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,709049
4,2003-04,2004,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,BOS,NBA,C,82,73,29.3,4.2,7.4,0.566,0.0,0.0,,4.2,7.4,0.566,0.566,1.9,2.7,0.719,2.5,4.7,7.2,0.9,1.0,1.3,1.8,3.1,10.3,2402,7.3,13.0,0.566,0.0,0.0,,7.3,13.0,0.566,3.4,4.7,0.719,4.4,8.2,12.6,1.6,1.7,2.3,3.2,5.4,18.1,110,102,2402,16.0,0.601,0.0,0.366,10.1,17.9,14.0,5.4,1.7,3.4,17.6,16.1,3.7,2.9,6.5,0.131,-0.6,0.1,-0.5,0.9,82.0,19705,2843,6415,0.443,553,1599,0.346,2290,4816,0.475,1572,2095,0.75,851,2440,3291,1683,770,331,1332,1837,7811,82.0,19705,2894,6626,0.437,555,1534,0.362,2339,5092,0.459,1587,2157,0.736,1069,2524,3593,1882,719,408,1406,1819,7930,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,93.2,0.327,0.249,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,FleetCenter,664248
5,2004-05,2005,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,BOS,NBA,C,82,57,26.0,4.0,7.5,0.529,0.0,0.0,0.0,4.0,7.5,0.53,0.529,1.4,2.0,0.713,1.7,3.1,4.8,1.6,0.4,0.8,1.9,2.8,9.4,2130,7.9,14.9,0.529,0.0,0.0,0.0,7.9,14.9,0.53,2.8,4.0,0.713,3.5,6.1,9.6,3.1,0.8,1.5,3.8,5.5,18.6,103,108,2130,12.5,0.559,0.002,0.265,8.0,13.6,10.9,9.9,0.8,2.3,18.6,17.9,1.2,1.6,2.8,0.063,-1.4,-0.6,-2.1,0.0,82.0,19880,3046,6511,0.468,437,1252,0.349,2609,5259,0.496,1775,2323,0.764,909,2438,3347,1810,667,423,1297,2000,8304,82.0,19880,2960,6664,0.444,488,1370,0.356,2472,5294,0.467,1825,2423,0.753,1039,2427,3466,1859,714,402,1277,1937,8233,45,37,43,39,0.87,-0.52,0.35,107.5,106.6,93.3,0.357,0.192,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,FleetCenter,656081
6,2005-06,2006,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,BOS,NBA,C,39,25,27.8,5.0,9.7,0.511,0.0,0.0,,5.0,9.7,0.511,0.511,2.5,3.3,0.764,0.9,3.2,4.2,1.7,0.4,0.9,3.1,2.7,12.4,1083,9.3,18.3,0.511,0.0,0.0,,9.3,18.3,0.511,4.7,6.1,0.764,1.7,6.1,7.8,3.2,0.7,1.7,5.8,5.1,23.3,94,108,1083,12.0,0.556,0.0,0.334,4.2,13.8,9.1,10.8,0.7,2.5,21.6,23.6,-0.6,0.9,0.2,0.01,-2.7,-1.1,-3.7,-0.5,82.0,19880,2951,6322,0.467,467,1290,0.362,2484,5032,0.494,1664,2204,0.755,813,2432,3245,1716,578,422,1359,2033,8033,82.0,19880,2944,6462,0.456,446,1265,0.353,2498,5197,0.481,1825,2457,0.743,910,2369,3279,1763,688,404,1210,1837,8159,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,TD Banknorth Garden,692873
7,2005-06,2006,Mark Blount,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,30,MIN,NBA,C,42,30,27.5,4.3,8.4,0.506,0.0,0.0,,4.3,8.4,0.506,0.506,1.7,2.3,0.747,1.4,3.4,4.8,0.8,0.6,1.0,1.8,3.5,10.2,1157,8.4,16.5,0.506,0.0,0.0,,8.4,16.5,0.506,3.3,4.4,0.747,2.8,6.7,9.5,1.5,1.2,1.9,3.5,6.9,20.0,99,105,1157,12.1,0.542,0.0,0.268,6.4,14.5,10.5,5.0,1.2,2.6,15.8,19.3,0.1,1.4,1.5,0.063,-3.0,-0.1,-3.1,-0.3,82.0,19855,2888,6340,0.456,310,942,0.329,2578,5398,0.478,1436,1895,0.758,811,2422,3233,1716,559,471,1189,1889,7522,82.0,19855,2852,6474,0.441,447,1229,0.364,2405,5245,0.459,1525,2072,0.736,974,2411,3385,1554,539,374,1139,1736,7676,33,49,35,47,-1.88,0.13,-1.75,102.4,104.5,88.8,0.299,0.149,0.48,14.2,25.2,0.226,0.475,13.4,71.3,0.236,Target Center,662167
8,2006-07,2007,Mark Blount,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,31,MIN,NBA,C,82,81,31.0,5.2,10.2,0.509,0.1,0.4,0.29,5.1,9.9,0.517,0.514,1.8,2.4,0.754,1.7,4.5,6.2,0.8,0.5,0.7,1.9,2.9,12.3,2544,8.9,17.4,0.509,0.2,0.6,0.29,8.7,16.8,0.517,3.0,4.0,0.754,2.8,7.7,10.5,1.4,0.9,1.2,3.3,5.0,21.0,100,108,2544,12.7,0.546,0.037,0.232,6.6,16.9,11.9,4.5,0.9,1.8,14.7,19.8,0.6,2.2,2.8,0.052,-2.2,-0.9,-3.1,-0.7,82.0,20005,2997,6503,0.461,384,1089,0.353,2613,5414,0.483,1499,1892,0.792,819,2474,3293,1848,532,325,1278,1758,7877,82.0,20005,3075,6689,0.46,518,1488,0.348,2557,5201,0.492,1510,1987,0.76,957,2438,3395,1782,583,360,1163,1679,8178,32,50,30,52,-3.67,0.51,-3.16,103.9,107.9,91.0,0.291,0.167,0.49,14.8,25.1,0.231,0.498,13.3,72.1,0.226,Target Center,655947
9,2007-08,2008,Mark Blount,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,MIA,NBA,C,69,46,22.3,3.4,7.5,0.462,0.2,0.6,0.386,3.2,6.8,0.469,0.479,1.3,2.0,0.638,1.0,2.8,3.8,0.6,0.5,0.5,1.0,1.9,8.4,1542,8.2,17.8,0.462,0.6,1.5,0.386,7.6,16.2,0.469,3.0,4.8,0.638,2.4,6.7,9.1,1.4,1.1,1.2,2.4,4.6,20.0,97,111,1542,11.4,0.505,0.085,0.268,5.3,15.3,10.2,4.8,1.1,1.8,10.8,19.8,-0.3,1.0,0.7,0.021,-2.9,-1.2,-4.0,-0.8,82.0,19830,2808,6336,0.443,491,1373,0.358,2317,4963,0.467,1384,1903,0.727,743,2342,3085,1644,589,355,1202,1670,7491,82.0,19830,3029,6477,0.468,552,1497,0.369,2477,4980,0.497,1590,2105,0.755,916,2617,3533,1817,631,341,1166,1650,8200,15,67,18,64,-8.65,0.11,-8.53,100.5,110.0,90.2,0.3,0.217,0.482,14.4,22.1,0.218,0.51,13.6,71.9,0.245,AmericanAirlines Arena,798004
