,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1996-97,1997,Kobe Bryant,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,18,LAL,NBA,SF,71,6,15.5,2.5,5.9,0.417,0.7,1.9,0.375,1.8,4.0,0.437,0.477,1.9,2.3,0.819,0.7,1.2,1.9,1.3,0.7,0.3,1.6,1.4,7.6,1103,8.4,20.2,0.417,2.4,6.5,0.375,6.0,13.7,0.437,6.5,7.9,0.819,2.2,4.1,6.3,4.3,2.3,1.1,5.3,4.9,25.7,101,105,1103,14.4,0.544,0.322,0.393,4.9,8.7,6.8,13.8,2.3,1.6,18.5,24.7,0.5,1.3,1.8,0.079,-0.2,0.1,-0.1,0.5,82.0,19930,3018,6642,0.454,551,1500,0.367,2467,5142,0.48,1613,2330,0.692,1092,2414,3506,1845,740,575,1222,1818,8200,82.0,19930,2922,6619,0.441,479,1379,0.347,2443,5240,0.466,1527,2126,0.718,1110,2368,3478,1880,620,388,1341,1934,7850,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,91.1,0.351,0.226,0.496,13.7,31.6,0.243,0.478,15.1,68.5,0.231,Great Western Forum,697159
1,1997-98,1998,Kobe Bryant,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,19,LAL,NBA,SF,79,1,26.0,4.9,11.6,0.428,0.9,2.8,0.341,4.0,8.8,0.456,0.469,4.6,5.8,0.794,1.0,2.1,3.1,2.5,0.9,0.5,2.0,2.3,15.4,2056,9.8,22.8,0.428,1.9,5.5,0.341,7.9,17.3,0.456,9.1,11.4,0.794,2.0,4.1,6.0,5.0,1.8,1.0,3.9,4.5,30.4,110,106,2056,18.5,0.548,0.241,0.501,4.5,8.7,6.7,16.0,1.8,1.3,12.4,27.2,4.5,1.8,6.3,0.147,2.2,-0.8,1.4,1.8,82.0,19830,3146,6536,0.481,497,1415,0.351,2649,5121,0.517,1863,2743,0.679,1079,2471,3550,2009,734,556,1256,1859,8652,82.0,19830,2984,6800,0.439,380,1071,0.355,2604,5729,0.455,1669,2281,0.732,1123,2339,3462,1841,660,423,1281,2151,8017,61,21,61,21,7.74,-0.87,6.88,111.9,103.7,93.6,0.42,0.216,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,Great Western Forum,676101
2,1998-99,1999,Kobe Bryant,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,20,LAL,NBA,SG,50,50,37.9,7.2,15.6,0.465,0.5,2.0,0.267,6.7,13.6,0.494,0.482,4.9,5.8,0.839,1.1,4.2,5.3,3.8,1.4,1.0,3.1,3.1,19.9,1896,10.0,21.5,0.465,0.7,2.8,0.267,9.3,18.7,0.494,6.8,8.1,0.839,1.5,5.8,7.3,5.2,2.0,1.4,4.3,4.2,27.5,106,104,1896,18.9,0.549,0.13,0.375,3.3,12.7,8.1,17.5,2.0,1.9,14.7,25.3,3.7,1.5,5.2,0.13,2.1,-0.1,2.1,1.9,50.0,12050,1841,3935,0.468,241,685,0.352,1600,3250,0.492,1027,1503,0.683,619,1482,2101,1095,389,287,754,1231,4950,50.0,12050,1759,3992,0.441,217,653,0.332,1542,3339,0.462,1064,1501,0.709,628,1403,2031,1062,408,196,716,1271,4799,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,91.6,0.382,0.174,0.498,14.1,30.6,0.261,0.468,13.3,70.2,0.267,Great Western Forum,430007
3,1999-00,2000,Kobe Bryant,5T,0.0,1.0,4.0,false,1.0,4.0,500.0,21,LAL,NBA,SG,66,62,38.2,8.4,17.9,0.468,0.7,2.2,0.319,7.7,15.7,0.489,0.488,5.0,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,2524,11.3,24.1,0.468,0.9,2.9,0.319,10.3,21.2,0.489,6.7,8.2,0.821,2.2,6.3,8.5,6.6,2.2,1.3,3.7,4.5,30.3,110,98,2524,21.7,0.546,0.122,0.341,4.6,12.9,8.8,22.4,2.2,1.7,11.8,26.8,6.1,4.5,10.6,0.202,3.5,1.6,5.1,4.5,82.0,19805,3137,6836,0.459,344,1047,0.329,2793,5789,0.482,1649,2368,0.696,1117,2738,3855,1921,613,534,1143,1841,8267,82.0,19805,2838,6824,0.416,372,1142,0.326,2466,5682,0.434,1518,2045,0.742,1007,2531,3538,1597,627,345,1196,2099,7566,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,93.3,0.346,0.153,0.484,12.7,30.6,0.241,0.443,13.4,73.1,0.222,STAPLES Center,771420
4,2000-01,2001,Kobe Bryant,11T,0.0,2.0,1.0,false,1.0,1.0,500.0,22,LAL,NBA,SG,68,68,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7.0,8.2,0.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,2783,13.2,28.4,0.464,1.1,3.8,0.305,12.0,24.6,0.489,8.9,10.5,0.853,2.0,5.5,7.5,6.4,2.1,0.8,4.1,4.2,36.4,112,105,2783,24.5,0.552,0.132,0.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,9.2,2.2,11.3,0.196,5.1,-0.3,4.8,4.7,82.0,19905,3109,6685,0.465,439,1275,0.344,2670,5410,0.494,1594,2333,0.683,1085,2583,3668,1888,564,490,1184,1872,8251,82.0,19905,2983,6815,0.438,413,1168,0.354,2570,5647,0.455,1595,2114,0.754,981,2407,3388,1659,619,324,1073,2002,7974,56,26,51,31,3.38,0.37,3.74,108.4,104.8,91.7,0.349,0.191,0.498,13.3,31.1,0.238,0.468,12.2,72.5,0.234,STAPLES Center,776336
5,2001-02,2002,Kobe Bryant,3T,0.0,3.0,1.0,false,0.0,1.0,500.0,23,LAL,NBA,SG,80,80,38.3,9.4,20.0,0.469,0.4,1.7,0.25,9.0,18.3,0.489,0.479,6.1,7.4,0.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,3063,12.7,27.2,0.469,0.6,2.2,0.25,12.2,24.9,0.489,8.3,10.0,0.829,1.9,5.6,7.5,7.5,2.0,0.6,3.8,3.9,34.4,112,103,3063,23.2,0.544,0.083,0.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,8.9,3.8,12.7,0.199,4.3,0.3,4.6,5.2,82.0,19780,3150,6840,0.461,510,1439,0.354,2640,5401,0.489,1494,2138,0.699,1022,2607,3629,1882,625,478,1040,1823,8304,82.0,19780,2872,6777,0.424,399,1259,0.317,2473,5518,0.448,1577,2072,0.761,1016,2526,3542,1643,587,354,1148,1890,7720,58,24,60,22,7.12,0.03,7.15,109.4,101.7,92.1,0.313,0.21,0.498,11.8,28.8,0.218,0.453,13.0,72.0,0.233,STAPLES Center,778777
6,2002-03,2003,Kobe Bryant,8,0.0,4.0,0.0,false,1.0,16.0,500.0,24,LAL,NBA,SG,82,82,41.5,10.6,23.5,0.451,1.5,4.0,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,3401,13.2,29.4,0.451,1.9,4.9,0.383,11.4,24.4,0.465,9.2,10.9,0.843,1.6,7.0,8.6,7.3,2.8,1.0,4.4,3.3,37.6,111,103,3401,26.2,0.55,0.168,0.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,11.0,4.0,14.9,0.21,6.3,0.7,7.1,7.7,82.0,19930,3091,6856,0.451,486,1367,0.356,2605,5489,0.475,1562,2129,0.734,1078,2554,3632,1909,639,470,1192,1874,8230,82.0,19930,2976,6725,0.443,465,1223,0.38,2511,5502,0.456,1622,2133,0.76,957,2495,3452,1753,644,311,1190,1916,8039,50,32,48,34,2.33,0.38,2.71,107.2,104.7,92.5,0.311,0.199,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,STAPLES Center,777888
7,2003-04,2004,Kobe Bryant,10T,0.0,5.0,0.0,false,1.0,1.0,500.0,25,LAL,NBA,SG,65,64,37.6,7.9,18.1,0.438,1.1,3.3,0.327,6.8,14.8,0.463,0.468,7.0,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24.0,2447,11.0,25.0,0.438,1.5,4.6,0.327,9.5,20.4,0.463,9.7,11.3,0.852,2.2,5.4,7.6,7.0,2.4,0.6,3.6,3.7,33.1,112,102,2447,23.7,0.551,0.184,0.452,4.7,12.0,8.3,24.4,2.4,0.8,10.8,29.1,7.8,3.0,10.7,0.21,5.1,0.5,5.6,4.7,82.0,19855,3028,6676,0.454,365,1115,0.327,2663,5561,0.479,1631,2352,0.693,1001,2535,3536,1948,682,379,1132,1732,8052,82.0,19855,2920,6640,0.44,420,1247,0.337,2500,5393,0.464,1472,1964,0.749,922,2558,3480,1708,616,308,1254,2024,7732,56,26,52,30,3.9,0.45,4.35,105.5,101.3,92.3,0.352,0.167,0.481,12.8,28.1,0.244,0.471,14.3,73.3,0.222,STAPLES Center,777757
8,2004-05,2005,Kobe Bryant,-1,0.0,5.0,0.0,false,0.0,0.0,500.0,26,LAL,NBA,SG,66,66,40.7,8.7,20.1,0.433,2.0,5.9,0.339,6.7,14.2,0.472,0.482,8.2,10.1,0.816,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,27.6,2689,11.3,26.0,0.433,2.6,7.6,0.339,8.7,18.4,0.472,10.7,13.0,0.816,1.9,5.8,7.7,7.8,1.7,1.0,5.3,3.4,35.7,111,111,2689,23.3,0.563,0.292,0.502,4.0,12.4,8.2,28.5,1.7,1.4,14.3,31.7,7.1,1.0,8.1,0.145,5.7,-0.8,5.0,4.7,82.0,19780,2895,6629,0.437,644,1813,0.355,2251,4816,0.467,1661,2137,0.777,1028,2511,3539,1672,508,344,1176,1794,8095,82.0,19780,3141,6928,0.453,549,1522,0.361,2592,5406,0.479,1507,1931,0.78,1023,2453,3476,2001,627,420,965,1814,8338,34,48,33,49,-2.96,0.64,-2.32,108.1,111.4,90.8,0.322,0.273,0.485,13.4,29.5,0.251,0.493,11.0,71.1,0.218,STAPLES Center,770494
9,2005-06,2006,Kobe Bryant,-1,0.0,5.0,0.0,false,0.0,0.0,500.0,27,LAL,NBA,SG,80,80,41.0,12.2,27.2,0.45,2.3,6.5,0.347,10.0,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,3277,15.8,35.0,0.45,2.9,8.3,0.347,12.9,26.7,0.482,11.2,13.2,0.85,1.1,5.7,6.8,5.8,2.4,0.5,4.0,3.8,45.6,114,105,3277,28.0,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,11.6,3.7,15.3,0.224,7.4,0.2,7.6,8.0,82.0,19855,2992,6607,0.453,552,1583,0.349,2440,5024,0.486,1618,2172,0.745,970,2488,3458,1734,628,350,1143,1894,8154,82.0,19855,2945,6547,0.45,474,1342,0.353,2471,5205,0.475,1585,2123,0.747,893,2399,3292,1730,536,354,1158,1925,7949,45,37,48,34,2.5,0.03,2.53,108.4,105.7,90.9,0.329,0.24,0.495,13.1,28.8,0.245,0.486,13.4,73.6,0.242,STAPLES Center,774189
