,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,LAL,NBA,PF,79,13,19.6,3.0,6.6,0.458,0.0,0.0,0.0,3.0,6.5,0.46,0.458,1.6,2.6,0.637,1.6,2.6,4.2,0.6,0.7,1.3,0.9,2.1,7.7,1551,7.7,16.7,0.458,0.0,0.1,0.0,7.7,16.6,0.46,4.2,6.6,0.637,4.1,6.6,10.7,1.5,1.9,3.2,2.2,5.3,19.5,104,107,1551,14.2,0.497,0.006,0.392,9.2,15.2,12.2,4.5,1.9,4.0,10.2,18.7,0.8,1.9,2.6,0.082,-1.7,0.1,-1.5,0.2,82.0,19830,3309,6994,0.473,187,626,0.299,3122,6368,0.49,1741,2304,0.756,1103,2288,3391,2013,782,431,1266,1778,8546,82.0,19830,3438,7116,0.483,245,726,0.337,3193,6390,0.5,1529,2050,0.746,1158,2411,3569,2130,686,384,1334,1872,8650,39,43,38,44,-1.27,0.06,-1.2,107.6,108.9,96.2,0.329,0.09,0.486,13.7,31.4,0.249,0.5,14.3,66.4,0.215,Great Western Forum,633655
1,1993-94,1994,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,LAL,NBA,PF,76,74,29.6,4.9,10.6,0.462,0.0,0.0,0.0,4.9,10.6,0.463,0.462,2.5,3.6,0.689,2.2,4.6,6.8,1.1,0.8,1.9,1.3,3.2,12.3,2253,8.3,18.0,0.462,0.0,0.0,0.0,8.3,18.0,0.463,4.2,6.1,0.689,3.7,7.9,11.6,1.9,1.4,3.3,2.2,5.4,20.8,106,107,2253,15.2,0.503,0.002,0.338,7.7,17.7,12.5,5.7,1.4,4.1,9.6,19.2,2.0,2.2,4.2,0.089,-1.1,-0.1,-1.2,0.5,82.0,19755,3291,7316,0.45,241,803,0.3,3050,6513,0.468,1410,1967,0.717,1260,2204,3464,1983,751,461,1197,1877,8233,82.0,19755,3337,7008,0.476,228,723,0.315,3109,6285,0.495,1683,2346,0.717,1284,2533,3817,2163,664,427,1344,1659,8585,33,49,29,53,-4.29,0.36,-3.93,104.8,109.3,95.5,0.269,0.11,0.466,12.8,33.2,0.193,0.492,14.3,63.2,0.24,Great Western Forum,545915
2,1994-95,1995,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,LAL,NBA,PF,73,59,28.4,4.9,10.8,0.459,0.0,0.0,0.0,4.9,10.7,0.459,0.459,2.6,4.0,0.666,2.3,3.8,6.1,1.3,0.9,1.8,1.3,3.4,12.5,2076,8.7,19.1,0.459,0.0,0.0,0.0,8.7,19.0,0.459,4.7,7.0,0.666,4.1,6.7,10.8,2.2,1.7,3.2,2.4,6.0,22.2,105,108,2076,15.4,0.5,0.001,0.369,8.9,14.8,11.9,6.8,1.7,4.4,9.7,21.0,1.5,2.3,3.8,0.087,-1.6,0.0,-1.6,0.2,82.0,19905,3284,7088,0.463,525,1492,0.352,2759,5596,0.493,1523,2072,0.735,1126,2316,3442,2078,750,563,1243,1933,8616,82.0,19905,3299,7050,0.468,456,1294,0.352,2843,5756,0.494,1580,2233,0.708,1283,2474,3757,2203,644,489,1390,1807,8634,48,34,40,42,-0.22,0.21,-0.01,109.1,109.4,95.2,0.292,0.21,0.5,13.4,31.3,0.215,0.5,14.8,64.4,0.224,Great Western Forum,591125
3,1995-96,1996,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,LAL,NBA,PF,82,82,32.9,5.5,10.8,0.503,0.0,0.1,0.0,5.5,10.8,0.506,0.503,3.0,4.3,0.713,2.0,5.6,7.6,2.2,1.1,2.6,1.7,3.7,13.9,2699,8.6,17.1,0.503,0.0,0.1,0.0,8.6,17.0,0.506,4.8,6.7,0.713,3.1,8.9,12.0,3.5,1.7,4.1,2.6,5.8,22.0,111,103,2699,18.0,0.549,0.006,0.393,7.1,19.5,13.4,10.3,1.7,5.5,11.6,19.6,3.8,4.4,8.2,0.147,-0.2,1.9,1.7,2.6,82.0,19680,3216,6706,0.48,477,1359,0.351,2739,5347,0.512,1529,2049,0.746,995,2303,3298,2080,722,516,1163,1702,8438,82.0,19680,3118,6806,0.458,442,1203,0.367,2676,5603,0.478,1395,1891,0.738,1146,2316,3462,2006,588,483,1334,1806,8073,53,29,53,29,4.45,-0.24,4.21,111.4,106.6,92.4,0.306,0.203,0.515,13.3,30.1,0.228,0.491,14.9,66.8,0.205,Great Western Forum,649634
4,1996-97,1997,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,LAL,NBA,PF,77,77,32.7,5.7,12.2,0.469,0.0,0.1,0.25,5.7,12.2,0.47,0.47,3.4,4.8,0.711,2.7,5.3,8.0,1.6,0.6,1.5,1.7,3.6,14.9,2516,9.3,19.7,0.469,0.0,0.1,0.25,9.2,19.6,0.47,5.5,7.7,0.711,4.3,8.5,12.9,2.6,1.0,2.4,2.7,5.8,24.0,108,103,2516,16.8,0.52,0.004,0.393,9.5,18.3,14.0,8.6,1.0,3.5,10.5,22.0,3.4,3.6,7.0,0.134,-0.6,0.0,-0.6,0.8,82.0,19930,3018,6642,0.454,551,1500,0.367,2467,5142,0.48,1613,2330,0.692,1092,2414,3506,1845,740,575,1222,1818,8200,82.0,19930,2922,6619,0.441,479,1379,0.347,2443,5240,0.466,1527,2126,0.718,1110,2368,3478,1880,620,388,1341,1934,7850,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,91.1,0.351,0.226,0.496,13.7,31.6,0.243,0.478,15.1,68.5,0.231,Great Western Forum,697159
5,1997-98,1998,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,LAL,NBA,PF,81,28,22.0,3.6,7.7,0.463,0.0,0.0,0.5,3.6,7.7,0.463,0.464,2.9,4.2,0.693,1.8,3.9,5.6,1.0,0.4,1.3,1.4,2.6,10.1,1784,8.3,17.9,0.463,0.0,0.1,0.5,8.3,17.9,0.463,6.8,9.8,0.693,4.1,9.0,13.1,2.2,1.0,2.9,3.3,6.0,23.5,106,102,1784,16.4,0.527,0.003,0.548,9.3,19.3,14.4,6.9,1.0,4.0,12.9,22.0,2.3,2.4,4.7,0.126,-1.0,-0.3,-1.4,0.3,82.0,19830,3146,6536,0.481,497,1415,0.351,2649,5121,0.517,1863,2743,0.679,1079,2471,3550,2009,734,556,1256,1859,8652,82.0,19830,2984,6800,0.439,380,1071,0.355,2604,5729,0.455,1669,2281,0.732,1123,2339,3462,1841,660,423,1281,2151,8017,61,21,61,21,7.74,-0.87,6.88,111.9,103.7,93.6,0.42,0.216,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,Great Western Forum,676101
6,1998-99,1999,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,LAL,NBA,C,17,1,19.1,2.6,5.9,0.436,0.0,0.0,,2.6,5.9,0.436,0.436,2.2,3.6,0.613,2.2,3.4,5.6,0.5,0.1,0.9,1.3,3.0,7.4,325,7.1,16.3,0.436,0.0,0.0,,7.1,16.3,0.436,6.1,10.0,0.613,6.1,9.3,15.5,1.3,0.2,2.6,3.5,8.2,20.3,100,104,325,13.4,0.491,0.0,0.614,13.9,20.4,17.2,3.9,0.2,3.6,14.6,20.8,0.3,0.3,0.5,0.078,-2.6,-2.1,-4.7,-0.2,50.0,12050,1841,3935,0.468,241,685,0.352,1600,3250,0.492,1027,1503,0.683,619,1482,2101,1095,389,287,754,1231,4950,50.0,12050,1759,3992,0.441,217,653,0.332,1542,3339,0.462,1064,1501,0.709,628,1403,2031,1062,408,196,716,1271,4799,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,91.6,0.382,0.174,0.498,14.1,30.6,0.261,0.468,13.3,70.2,0.267,Great Western Forum,430007
7,1998-99,1999,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,CHH,NBA,C,32,32,35.4,5.6,11.4,0.489,0.0,0.0,0.0,5.6,11.3,0.49,0.489,4.2,6.5,0.647,2.8,6.7,9.4,1.9,1.2,1.8,1.8,3.4,15.3,1134,8.4,17.2,0.489,0.0,0.0,0.0,8.4,17.1,0.49,6.3,9.8,0.647,4.2,10.1,14.2,2.9,1.8,2.7,2.7,5.1,23.1,108,99,1134,19.4,0.538,0.003,0.569,9.6,21.2,15.7,10.1,1.8,3.6,11.3,21.5,2.1,1.7,3.7,0.158,1.0,0.2,1.2,0.9,50.0,12150,1671,3718,0.449,268,735,0.365,1403,2983,0.47,1034,1384,0.747,480,1493,1973,1110,443,247,796,1101,4644,50.0,12150,1739,4003,0.434,212,637,0.333,1527,3366,0.454,959,1306,0.734,655,1491,2146,1092,443,232,762,1151,4649,26,24,25,25,-0.1,0.73,0.63,102.3,102.4,89.7,0.372,0.198,0.485,15.5,24.4,0.278,0.461,14.3,69.5,0.24,Charlotte Coliseum,480807
8,1999-00,2000,Elden Campbell,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,31,CHH,NBA,C,78,77,32.5,4.7,10.6,0.446,0.0,0.1,0.0,4.7,10.6,0.45,0.446,3.2,4.6,0.69,2.2,5.4,7.6,1.7,0.7,1.9,1.6,3.4,12.7,2538,7.5,16.7,0.446,0.0,0.1,0.0,7.5,16.6,0.45,5.0,7.2,0.69,3.4,8.5,11.9,2.6,1.1,3.0,2.6,5.4,19.9,101,100,2538,14.6,0.5,0.007,0.432,7.6,18.3,13.1,8.5,1.1,4.1,11.4,19.7,1.7,3.9,5.5,0.105,-1.5,0.6,-0.9,0.7,82.0,19780,2935,6533,0.449,339,1001,0.339,2596,5532,0.469,1863,2458,0.758,884,2635,3519,2023,732,480,1206,1670,8072,82.0,19780,3048,6811,0.448,410,1086,0.378,2638,5725,0.461,1347,1807,0.745,966,2550,3516,1903,604,421,1297,2076,7853,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,93.9,0.376,0.153,0.475,13.7,25.7,0.285,0.478,14.6,73.2,0.198,Charlotte Coliseum,732827
9,2000-01,2001,Elden Campbell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,CHH,NBA,PF,78,78,30.0,4.7,10.7,0.44,0.0,0.1,0.0,4.7,10.6,0.443,0.44,3.7,5.2,0.709,2.0,5.8,7.8,1.3,0.8,1.8,1.8,3.6,13.1,2337,8.4,19.2,0.44,0.0,0.1,0.0,8.4,19.0,0.443,6.6,9.3,0.709,3.6,10.4,14.0,2.4,1.4,3.2,3.3,6.4,23.5,101,96,2337,16.4,0.505,0.007,0.487,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,1.9,4.5,6.4,0.131,-1.5,1.1,-0.4,1.0,82.0,19880,2800,6501,0.431,340,984,0.346,2460,5517,0.446,1599,2146,0.745,1033,2608,3641,1900,665,455,1183,1753,7539,82.0,19880,2767,6501,0.426,389,1081,0.36,2378,5420,0.439,1444,1910,0.756,892,2436,3328,1748,616,375,1204,1768,7367,46,36,48,34,2.1,-0.65,1.45,101.8,99.5,89.4,0.33,0.151,0.457,13.7,29.8,0.246,0.456,14.1,74.5,0.222,Charlotte Coliseum,615424
