,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2009-10,2010,Stephen Curry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,GSW,NBA,PG,80,77,36.2,6.6,14.3,0.462,2.1,4.8,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,2896,8.7,18.9,0.462,2.7,6.3,0.437,6.0,12.6,0.474,2.9,3.3,0.885,0.8,5.1,5.9,7.8,2.5,0.3,4.0,4.2,23.1,107,111,2896,16.3,0.568,0.332,0.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,3.0,1.6,4.7,0.077,1.1,-0.5,0.7,2.0,82.0,19730,3329,7094,0.469,633,1687,0.375,2696,5407,0.499,1631,2085,0.782,753,2397,3150,1839,761,340,1204,1886,8922,82.0,19730,3409,7033,0.485,567,1514,0.375,2842,5519,0.515,1832,2390,0.767,1100,2842,3942,1979,645,407,1442,1757,9217,26,56,32,50,-3.6,0.32,-3.28,108.1,111.7,100.4,0.294,0.238,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,Oracle Arena,739120
1,2010-11,2011,Stephen Curry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,GSW,NBA,PG,74,74,33.6,6.8,14.2,0.48,2.0,4.6,0.442,4.8,9.6,0.498,0.551,2.9,3.1,0.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,2489,10.3,21.4,0.48,3.1,7.0,0.442,7.2,14.5,0.498,4.3,4.6,0.934,1.1,4.8,5.8,8.8,2.2,0.4,4.6,4.7,27.9,113,112,2489,19.4,0.595,0.325,0.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,5.4,1.3,6.6,0.128,3.0,-0.7,2.3,2.7,82.0,19830,3251,7047,0.461,685,1749,0.392,2566,5298,0.484,1290,1695,0.761,955,2370,3325,1847,737,406,1198,1806,8477,82.0,19830,3173,6788,0.467,567,1586,0.358,2606,5202,0.501,1755,2262,0.776,1051,2623,3674,2029,672,352,1324,1512,8668,36,46,35,47,-2.33,0.33,-2.0,108.2,110.7,94.8,0.241,0.248,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,Oracle Arena,766398
2,2011-12,2012,Stephen Curry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,GSW,NBA,PG,26,23,28.2,5.6,11.4,0.49,2.1,4.7,0.455,3.5,6.7,0.514,0.583,1.5,1.8,0.809,0.6,2.8,3.4,5.3,1.5,0.3,2.5,2.4,14.7,732,10.3,21.0,0.49,3.9,8.6,0.455,6.4,12.4,0.514,2.7,3.3,0.809,1.1,5.2,6.2,9.8,2.8,0.6,4.6,4.4,27.2,112,108,732,21.2,0.605,0.409,0.159,2.3,11.3,6.8,32.3,2.8,0.8,17.0,24.0,1.8,0.4,2.2,0.144,4.1,0.3,4.3,1.2,66.0,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453,66.0,15915,2461,5431,0.453,468,1281,0.365,1993,4150,0.48,1288,1725,0.747,869,2157,3026,1527,499,328,978,1095,6678,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,92.3,0.227,0.248,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,Oracle Arena,622311
3,2012-13,2013,Stephen Curry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,GSW,NBA,PG,78,78,38.2,8.0,17.8,0.451,3.5,7.7,0.453,4.5,10.1,0.449,0.549,3.4,3.7,0.9,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9,2983,10.7,23.6,0.451,4.6,10.2,0.453,6.0,13.4,0.449,4.5,5.0,0.9,1.0,4.3,5.3,9.2,2.1,0.2,4.1,3.4,30.4,115,107,2983,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,8.4,2.8,11.2,0.18,5.3,0.1,5.4,5.6,82.0,19805,3130,6840,0.458,658,1632,0.403,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296,82.0,19805,3051,6954,0.439,657,1896,0.347,2394,5058,0.473,1464,1958,0.748,907,2596,3503,1931,670,399,1110,1571,8223,47,35,44,38,0.89,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211,Oracle Arena,794320
4,2013-14,2014,Stephen Curry,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,25,GSW,NBA,PG,78,78,36.5,8.4,17.7,0.471,3.3,7.9,0.424,5.0,9.8,0.509,0.566,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,2846,11.4,24.2,0.471,4.6,10.8,0.424,6.9,13.5,0.509,5.4,6.1,0.885,0.8,5.0,5.9,11.7,2.2,0.2,5.2,3.4,32.8,117,104,2846,24.1,0.61,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4.0,13.4,0.225,6.3,1.1,7.4,6.7,82.0,19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549,82.0,19830,3019,6920,0.436,569,1656,0.344,2450,5264,0.465,1548,2023,0.765,878,2671,3549,1683,649,342,1232,1584,8155,51,31,54,28,4.8,0.34,5.15,107.5,102.6,96.2,0.247,0.291,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,Oracle Arena,803436
5,2014-15,2015,Stephen Curry,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,26,GSW,NBA,PG,80,80,32.7,8.2,16.8,0.487,3.6,8.1,0.443,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,2613,12.2,25.1,0.487,5.3,12.1,0.443,6.9,13.0,0.528,5.8,6.3,0.914,1.0,5.3,6.4,11.6,3.0,0.3,4.7,3.0,35.5,122,101,2613,28.0,0.638,0.482,0.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,11.5,4.1,15.7,0.288,8.2,1.7,9.9,7.9,82.0,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,82.0,19730,3031,7084,0.428,592,1757,0.337,2439,5327,0.458,1534,2011,0.763,963,2690,3653,1718,680,293,1329,1541,8188,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,803436
6,2015-16,2016,Stephen Curry,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,GSW,NBA,PG,79,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,5.1,9.0,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,2700,14.4,28.6,0.504,7.2,15.9,0.454,7.2,12.7,0.566,6.5,7.2,0.908,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,125,103,2700,31.5,0.669,0.554,0.25,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,13.8,4.1,17.9,0.318,10.3,1.6,11.9,9.5,82.0,19880,3489,7159,0.487,1077,2592,0.416,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421,82.0,19880,3188,7330,0.435,640,1928,0.332,2548,5402,0.472,1523,2013,0.757,937,2662,3599,1823,710,336,1185,1627,8539,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,99.3,0.25,0.362,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,Oracle Arena,803436
7,2016-17,2017,Stephen Curry,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,GSW,NBA,PG,79,79,33.4,8.5,18.3,0.468,4.1,10.0,0.411,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,2638,12.3,26.3,0.468,5.9,14.4,0.411,6.4,11.9,0.537,5.9,6.6,0.898,1.1,5.3,6.4,9.6,2.6,0.3,4.4,3.3,36.5,119,105,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13.0,30.1,8.7,3.9,12.6,0.229,6.7,0.3,6.9,5.9,82.0,19780,3532,7140,0.495,982,2562,0.383,2550,4578,0.557,1457,1850,0.788,770,2873,3643,2491,785,555,1211,1585,9503,82.0,19780,3181,7311,0.435,737,2277,0.324,2444,5034,0.485,1450,1905,0.761,963,2604,3567,1862,705,313,1272,1588,8549,67,15,67,15,11.63,-0.28,11.35,115.6,104.0,99.8,0.259,0.359,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,803436
8,2017-18,2018,Stephen Curry,-1.0,0.0,0.0,0.0,false,3.0,0.0,500.0,29,GSW,NBA,PG,51,51,32.0,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,1631,12.6,25.5,0.495,6.3,14.8,0.423,6.4,10.7,0.595,8.2,8.9,0.921,1.1,6.6,7.7,9.2,2.4,0.2,4.5,3.4,39.8,125,108,1631,28.2,0.675,0.58,0.35,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,7.2,1.9,9.1,0.267,7.8,0.0,7.7,4.0,82.0,19730,3509,6981,0.503,926,2370,0.391,2583,4611,0.56,1360,1668,0.815,691,2877,3568,2402,656,612,1267,1607,9304,82.0,19730,3296,7380,0.447,853,2392,0.357,2443,4988,0.49,1369,1807,0.758,893,2592,3485,1934,717,301,1175,1516,8814,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,99.6,0.239,0.339,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.186,Oracle Arena,803436
9,2018-19,2019,Stephen Curry,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,30,GSW,NBA,PG,69,69,33.8,9.2,19.4,0.472,5.1,11.7,0.437,4.0,7.7,0.525,0.604,3.8,4.2,0.916,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3,2331,12.9,27.3,0.472,7.2,16.5,0.437,5.7,10.8,0.525,5.4,5.9,0.916,0.9,6.6,7.5,7.4,1.9,0.5,3.9,3.4,38.4,120,110,2331,24.4,0.641,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,7.2,2.5,9.7,0.199,7.1,-0.5,6.6,5.1,82.0,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,82.0,19805,3315,7471,0.444,955,2753,0.347,2360,4718,0.5,1535,1987,0.773,886,2750,3636,1989,630,295,1105,1601,9120,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,100.9,0.227,0.384,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,803436
