,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2001-02,2002,Samuel Dalembert,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,20,PHI,NBA,C,34,0,5.2,0.6,1.5,.440,0.0,0.0,,0.6,1.5,.440,.440,0.2,0.5,.389,0.7,1.3,2.0,0.1,0.2,0.4,0.4,0.9,1.5,177,6.7,15.3,0.44,0.0,0.0,,6.7,15.3,0.44,2.1,5.5,0.389,7.6,13.1,20.7,1.5,1.8,4.0,4.3,9.2,15.6,88,93,177,13.2,0.44,0.0,0.36,16.2,27.3,21.8,4.8,1.8,5.6,19.5,18.6,-0.2,0.4,0.3,0.072,-4.4,0.8,-3.6,-0.1,82.0,19730,2804,6436,0.436,214,715,0.299,2590,5721,0.453,1639,2104,0.779,1092,2534,3626,1638,705,363,1256,1645,7461,82.0,19730,2771,6500,0.426,438,1322,0.331,2333,5178,0.451,1350,1798,0.751,981,2348,3329,1768,654,458,1208,1827,7330,43,39,46,36,1.6,-0.33,1.27,102.1,100.3,88.9,0.327,0.111,0.452,14.6,31.7,0.255,0.46,14.2,72.1,0.208,First Union Center,842976
1,2003-04,2004,Samuel Dalembert,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,PHI,NBA,C,82,53,26.8,3.3,6.1,.541,0.0,0.0,.000,3.3,6.1,.542,.541,1.4,2.1,.644,2.4,5.3,7.6,0.3,0.5,2.3,1.0,3.3,8.0,2197,6.7,12.4,0.541,0.0,0.0,0.0,6.7,12.4,0.542,2.8,4.3,0.644,4.8,10.7,15.5,0.5,1.1,4.7,2.1,6.8,16.2,110,97,2197,16.1,0.566,0.002,0.349,10.5,22.9,16.8,1.7,1.1,6.8,13.0,14.1,3.0,4.0,6.9,0.151,-1.3,1.7,0.3,1.3,82.0,19855,2682,6260,0.428,339,992,0.342,2343,5268,0.445,1512,2009,0.753,941,2408,3349,1640,654,358,1307,1701,7215,82.0,19855,2751,6369,0.432,443,1329,0.333,2308,5040,0.458,1474,1982,0.744,996,2398,3394,1747,678,463,1245,1757,7419,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,88.0,0.321,0.158,0.456,15.5,28.2,0.242,0.467,14.7,70.7,0.231,Wachovia Center,788128
2,2004-05,2005,Samuel Dalembert,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,23,PHI,NBA,C,72,60,24.8,3.5,6.6,.524,0.0,0.0,,3.5,6.6,.524,.524,1.2,2.1,.601,2.6,4.9,7.5,0.5,0.6,1.7,1.6,3.3,8.2,1785,7.1,13.5,0.524,0.0,0.0,,7.1,13.5,0.524,2.5,4.2,0.601,5.3,10.1,15.4,1.0,1.3,3.4,3.2,6.8,16.7,102,100,1785,14.4,0.543,0.0,0.31,11.6,22.6,17.1,3.3,1.3,5.3,17.4,16.3,0.8,3.1,3.9,0.104,-2.8,0.6,-2.2,-0.1,82.0,19855,2946,6736,0.437,505,1453,0.348,2441,5283,0.462,1731,2194,0.789,909,2536,3445,1710,756,321,1274,1878,8128,82.0,19855,2930,6618,0.443,565,1560,0.362,2365,5058,0.468,1764,2299,0.767,952,2663,3615,1878,681,383,1394,1929,8189,43,39,39,43,-0.74,-0.33,-1.07,103.5,104.3,94.9,0.326,0.216,0.475,14.2,25.4,0.257,0.485,15.4,72.7,0.267,Wachovia Center,732686
3,2005-06,2006,Samuel Dalembert,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,24,PHI,NBA,C,66,52,26.7,3.0,5.6,.531,0.0,0.0,.000,3.0,5.6,.533,.531,1.4,2.0,.705,2.4,5.8,8.2,0.4,0.5,2.4,1.6,3.7,7.3,1761,5.8,10.9,0.531,0.0,0.0,0.0,5.8,10.8,0.533,2.7,3.9,0.705,4.7,11.2,15.9,0.7,1.0,4.7,3.1,7.2,14.3,104,102,1761,14.2,0.568,0.003,0.358,10.6,25.4,18.0,2.2,1.0,6.9,20.0,13.8,0.9,2.6,3.6,0.097,-2.9,1.2,-1.8,0.1,82.0,19905,3001,6546,0.458,375,1031,0.364,2626,5515,0.476,1770,2330,0.76,873,2425,3298,1653,651,404,1159,1712,8147,82.0,19905,3100,6699,0.463,498,1420,0.351,2602,5279,0.493,1609,2111,0.762,974,2533,3507,1882,630,386,1269,1898,8307,38,44,35,47,-1.95,-0.15,-2.1,106.0,108.1,92.7,0.356,0.158,0.487,13.3,25.6,0.27,0.5,14.3,71.3,0.24,Wachovia Center,677278
4,2006-07,2007,Samuel Dalembert,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,PHI,NBA,C,82,82,30.9,4.3,8.0,.541,0.0,0.0,.000,4.3,8.0,.543,.541,2.0,2.7,.746,2.9,6.0,8.9,0.8,0.6,1.9,2.0,3.5,10.7,2535,7.4,13.7,0.541,0.0,0.0,0.0,7.4,13.7,0.543,3.5,4.7,0.746,5.0,10.3,15.3,1.3,1.0,3.3,3.4,6.0,18.4,108,103,2535,16.1,0.581,0.003,0.34,11.3,23.3,17.4,4.2,1.0,4.8,17.5,16.7,2.5,3.6,6.2,0.117,-1.2,0.7,-0.5,0.9,82.0,19880,2932,6408,0.458,284,823,0.345,2648,5585,0.474,1637,2135,0.767,899,2353,3252,1669,590,390,1258,1671,7785,82.0,19880,3039,6570,0.463,503,1424,0.353,2536,5146,0.493,1452,1926,0.754,969,2404,3373,1825,606,320,1280,1801,8033,35,47,32,50,-3.02,-0.23,-3.26,103.6,106.9,90.7,0.333,0.128,0.48,14.6,27.2,0.255,0.501,14.7,70.8,0.221,Wachovia Center,608603
5,2007-08,2008,Samuel Dalembert,13T,0.0,1.0,0.0,false,0.0,3.0,500.0,26,PHI,NBA,C,82,82,33.2,4.1,8.1,.513,0.0,0.0,.000,4.1,8.0,.514,.513,2.3,3.2,.707,3.7,6.6,10.4,0.5,0.5,2.3,1.9,3.3,10.5,2724,6.6,12.9,0.513,0.0,0.0,0.0,6.6,12.9,0.514,3.6,5.1,0.707,5.9,10.6,16.5,0.9,0.8,3.7,3.0,5.2,16.8,109,103,2724,15.6,0.556,0.002,0.398,13.1,24.0,18.5,2.5,0.8,5.6,16.6,15.4,2.6,4.3,6.9,0.121,-1.5,0.5,-1.0,0.7,82.0,19755,3056,6648,0.46,302,952,0.317,2754,5696,0.483,1509,2137,0.706,1067,2370,3437,1673,712,400,1172,1620,7923,82.0,19755,3000,6504,0.461,557,1549,0.36,2443,4955,0.493,1332,1726,0.772,923,2293,3216,1903,550,420,1289,1708,7889,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,90.4,0.321,0.143,0.482,13.4,31.8,0.227,0.504,15.1,72.0,0.205,Wachovia Center,609675
6,2008-09,2009,Samuel Dalembert,-1,0.0,1.0,0.0,false,1.0,0.0,500.0,27,PHI,NBA,C,82,82,24.8,2.6,5.3,.498,0.0,0.0,.000,2.6,5.3,.500,.498,1.1,1.5,.734,2.6,5.9,8.5,0.2,0.4,1.8,1.4,3.0,6.4,2036,5.7,11.4,0.498,0.0,0.1,0.0,5.7,11.3,0.5,2.4,3.2,0.734,5.6,12.8,18.4,0.5,0.9,3.8,3.1,6.5,13.7,103,103,2036,13.2,0.535,0.005,0.286,12.5,28.9,20.6,1.4,0.9,5.8,19.3,13.6,0.5,3.5,4.0,0.095,-2.9,0.8,-2.1,0.0,82.0,19755,2997,6532,0.459,341,1072,0.318,2656,5460,0.486,1652,2216,0.745,1039,2336,3375,1647,658,415,1157,1650,7987,82.0,19755,2997,6489,0.462,585,1595,0.367,2412,4894,0.493,1402,1792,0.782,935,2285,3220,1799,575,400,1278,1786,7981,41,41,41,41,0.07,0.09,0.16,107.9,107.8,90.0,0.339,0.164,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,Wachovia Center,647898
7,2009-10,2010,Samuel Dalembert,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,28,PHI,NBA,C,82,80,25.9,3.5,6.4,.545,0.0,0.0,,3.5,6.4,.545,.545,1.2,1.6,.729,2.9,6.6,9.6,0.8,0.5,1.8,1.5,3.1,8.1,2124,7.0,12.9,0.545,0.0,0.0,,7.0,12.9,0.545,2.4,3.3,0.729,5.9,13.5,19.3,1.6,1.0,3.7,3.0,6.2,16.5,110,105,2124,16.8,0.573,0.0,0.254,13.1,30.7,21.8,4.7,1.0,5.6,17.5,15.1,2.3,3.0,5.2,0.118,-1.2,0.3,-0.9,0.6,82.0,19805,3087,6706,0.46,474,1381,0.343,2613,5325,0.491,1366,1808,0.756,941,2421,3362,1723,667,439,1192,1677,8014,82.0,19805,3105,6573,0.472,606,1542,0.393,2499,5031,0.497,1518,1983,0.766,888,2470,3358,1810,621,332,1189,1534,8334,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,91.6,0.27,0.206,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,Wachovia Center,583219
8,2010-11,2011,Samuel Dalembert,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,29,SAC,NBA,C,80,46,24.2,3.4,7.1,.473,0.0,0.0,.000,3.4,7.1,.474,.473,1.4,1.9,.730,2.7,5.6,8.2,0.8,0.5,1.5,1.7,2.8,8.1,1938,7.0,14.8,0.473,0.0,0.1,0.0,7.0,14.7,0.474,2.8,3.9,0.73,5.5,11.6,17.1,1.7,0.9,3.0,3.4,5.9,16.8,100,105,1938,14.1,0.509,0.004,0.261,12.1,26.9,19.3,5.3,0.9,4.3,17.3,17.1,0.4,2.5,2.9,0.072,-2.3,0.2,-2.2,-0.1,82.0,19855,3134,6979,0.449,428,1277,0.335,2706,5702,0.475,1455,1981,0.734,1071,2526,3597,1675,608,391,1324,1805,8151,82.0,19855,3260,6826,0.478,480,1353,0.355,2780,5473,0.508,1589,2085,0.762,868,2508,3376,1779,666,464,1204,1723,8589,24,58,27,55,-5.34,0.54,-4.8,103.5,109.0,95.2,0.284,0.183,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,Power Balance Pavilion,569496
9,2011-12,2012,Samuel Dalembert,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,30,HOU,NBA,C,65,45,22.2,3.1,6.1,.506,0.0,0.0,.000,3.1,6.1,.508,.506,1.4,1.7,.796,2.4,4.6,7.0,0.5,0.6,1.7,1.3,2.5,7.5,1446,7.2,14.3,0.506,0.0,0.0,0.0,7.2,14.3,0.508,3.3,4.1,0.796,5.7,10.8,16.5,1.2,1.3,4.0,3.0,5.9,17.7,108,100,1446,16.9,0.551,0.003,0.286,12.6,24.1,18.3,3.6,1.3,5.7,15.6,16.6,1.8,2.3,4.1,0.137,-1.1,1.1,0.1,0.7,66.0,16065,2489,5543,0.449,478,1330,0.359,2011,4213,0.477,1018,1301,0.782,769,2014,2783,1404,496,319,955,1347,6474,66.0,16065,2474,5427,0.456,369,1136,0.325,2105,4291,0.491,1142,1490,0.766,729,2027,2756,1321,495,340,972,1215,6459,34,32,34,32,0.23,0.35,0.57,105.5,105.2,91.7,0.235,0.24,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,Toyota Center,506994
