,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2013-14,2014,Troy Daniels,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,22,HOU,NBA,SG,5,1,15.0,3.0,6.2,0.484,2.4,5.0,0.48,0.6,1.2,0.5,0.677,0.0,0.0,,0.0,0.8,0.8,1.0,0.0,0.0,0.6,1.2,8.4,75,10.0,20.6,0.484,8.0,16.6,0.48,2.0,4.0,0.5,0.0,0.0,,0.0,2.7,2.7,3.3,0.0,0.0,2.0,4.0,27.9,126,114,75,16.0,0.677,0.806,0.0,0.0,5.6,3.0,11.4,0.0,0.0,8.8,19.9,0.2,0.0,0.2,0.15,3.7,-3.3,0.4,0.0,82.0,19830,3118,6603,0.472,779,2179,0.358,2339,4424,0.529,1814,2549,0.712,920,2797,3717,1755,621,461,1323,1676,8829,82.0,19830,3197,7218,0.443,666,1889,0.353,2531,5329,0.475,1395,1844,0.757,977,2439,3416,1821,704,460,1149,1993,8455,54,28,53,29,4.56,0.5,5.06,111.0,106.3,96.3,0.386,0.33,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,Toyota Center,743082
1,2014-15,2015,Troy Daniels,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,23,HOU,NBA,SG,17,0,6.4,0.9,2.8,0.319,0.8,2.5,0.302,0.1,0.2,0.5,0.457,0.2,0.2,0.75,0.0,0.4,0.4,0.2,0.0,0.0,0.3,0.8,2.7,108,6.9,21.6,0.319,6.0,19.8,0.302,0.9,1.8,0.5,1.4,1.8,0.75,0.0,2.8,2.8,1.8,0.0,0.0,2.3,6.4,21.2,92,111,108,4.5,0.472,0.915,0.085,0.0,6.1,3.1,5.9,0.0,0.0,9.3,21.6,-0.1,0.0,0.0,-0.013,-3.3,-3.1,-6.4,-0.1,82.0,19805,3032,6832,0.444,933,2680,0.348,2099,4152,0.506,1525,2133,0.715,958,2624,3582,1820,777,407,1366,1803,8522,82.0,19805,3092,6983,0.443,605,1881,0.322,2487,5102,0.487,1451,1932,0.751,973,2621,3594,1752,726,437,1342,1730,8240,56,26,50,32,3.44,0.38,3.82,107.0,103.4,96.5,0.312,0.392,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208,Toyota Center,747412
2,2014-15,2015,Troy Daniels,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,MIN,NBA,SG,19,0,8.1,1.0,3.1,0.322,0.7,2.1,0.333,0.3,1.1,0.3,0.432,0.1,0.1,1.0,0.3,0.7,1.0,0.7,0.2,0.0,0.4,0.7,2.8,154,6.3,19.5,0.322,4.3,12.9,0.333,2.0,6.6,0.3,0.7,0.7,1.0,2.0,4.3,6.3,4.3,1.0,0.0,2.6,4.6,17.5,92,116,154,7.4,0.443,0.661,0.034,4.3,10.0,7.1,13.4,1.0,0.0,11.8,19.4,-0.1,0.0,-0.1,-0.038,-2.6,-3.2,-5.8,-0.1,82.0,19805,2986,6820,0.438,406,1223,0.332,2580,5597,0.461,1638,2110,0.776,949,2406,3355,1771,668,327,1231,1571,8016,82.0,19805,3373,6933,0.487,697,1897,0.367,2676,5036,0.531,1294,1704,0.759,953,2619,3572,1933,686,449,1243,1751,8737,16,66,19,63,-8.79,0.79,-8.0,102.9,112.2,94.4,0.309,0.179,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,595652
3,2014-15,2015,Troy Daniels,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,CHO,NBA,SG,11,0,12.3,2.5,5.4,0.458,1.5,3.3,0.472,0.9,2.1,0.435,0.602,0.5,0.6,0.857,0.2,0.5,0.7,0.5,0.3,0.1,0.6,1.1,7.0,135,10.3,22.6,0.458,6.5,13.8,0.472,3.8,8.8,0.435,2.3,2.7,0.857,0.8,2.3,3.1,1.9,1.1,0.4,2.7,4.6,29.5,110,108,135,16.1,0.62,0.61,0.119,1.6,5.0,3.3,7.0,1.1,0.6,10.1,23.3,0.2,0.1,0.3,0.119,3.1,-1.0,2.2,0.1,82.0,19905,2913,6932,0.42,498,1566,0.318,2415,5366,0.45,1397,1867,0.748,820,2793,3613,1654,499,448,976,1494,7721,82.0,19905,3020,6863,0.44,649,1816,0.357,2371,5047,0.47,1292,1673,0.772,728,2890,3618,1815,502,440,1033,1708,7981,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,93.0,0.269,0.226,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,Time Warner Cable Arena,704886
4,2015-16,2016,Troy Daniels,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,CHO,NBA,SG,43,0,11.1,2.1,4.3,0.476,1.4,2.8,0.484,0.7,1.5,0.462,0.634,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6,476,9.4,19.7,0.476,6.2,12.9,0.484,3.2,6.9,0.462,0.5,0.9,0.556,0.7,5.3,6.0,2.2,1.2,0.3,2.5,4.2,25.5,110,107,476,14.9,0.634,0.652,0.048,1.6,11.6,6.5,7.6,1.2,0.5,11.2,20.4,0.6,0.4,1.1,0.11,1.8,-1.0,0.7,0.3,82.0,19855,3036,6922,0.439,873,2410,0.362,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1030,1487,8479,82.0,19855,3098,6971,0.444,726,2081,0.349,2372,4890,0.485,1334,1735,0.769,726,2936,3662,1901,553,448,1103,1670,8256,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894
5,2016-17,2017,Troy Daniels,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,MEM,NBA,SG,67,3,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.796,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,1183,8.1,21.8,0.374,6.1,15.6,0.389,2.1,6.2,0.336,1.9,2.4,0.796,1.0,3.4,4.4,2.0,0.9,0.2,2.0,4.0,24.2,104,112,1183,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8.0,21.7,0.5,0.8,1.3,0.051,0.2,-1.9,-1.8,0.0,82.0,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,886,2621,3507,1744,653,344,1059,1840,8239,82.0,19905,2864,6465,0.443,813,2299,0.354,2051,4166,0.492,1658,2202,0.753,761,2692,3453,1645,574,410,1171,1708,8199,43,39,42,40,0.49,0.47,0.96,107.7,107.1,92.3,0.28,0.316,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,FedEx Forum,677314
6,2017-18,2018,Troy Daniels,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,PHO,NBA,SG,79,15,20.5,2.9,7.3,0.403,2.3,5.8,0.4,0.6,1.5,0.419,0.563,0.7,0.8,0.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9,1622,6.8,17.0,0.403,5.4,13.5,0.4,1.4,3.5,0.419,1.7,1.9,0.875,0.4,3.4,3.7,1.4,0.8,0.1,1.7,4.0,20.7,109,117,1622,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0.0,1.4,0.042,-0.5,-2.1,-2.6,-0.3,82.0,19705,3153,7141,0.442,763,2286,0.334,2390,4855,0.492,1453,1962,0.741,842,2776,3618,1743,569,370,1289,1807,8522,82.0,19705,3426,7274,0.471,895,2398,0.373,2531,4876,0.519,1543,2014,0.766,855,2906,3761,1910,712,488,1099,1715,9290,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,100.3,0.275,0.32,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,690576
7,2018-19,2019,Troy Daniels,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,PHO,NBA,SG,51,1,14.9,2.2,5.4,0.411,1.5,3.8,0.381,0.8,1.6,0.481,0.545,0.4,0.5,0.783,0.3,1.2,1.4,0.5,0.5,0.1,0.5,1.5,6.2,760,7.1,17.3,0.411,4.6,12.2,0.381,2.5,5.1,0.481,1.1,1.4,0.783,0.8,3.8,4.6,1.6,1.6,0.3,1.7,5.0,20.0,104,118,760,9.8,0.558,0.705,0.084,1.9,8.9,5.3,5.0,1.6,0.5,8.7,17.6,0.2,0.1,0.3,0.02,-1.7,-2.0,-3.7,-0.3,82.0,19880,3289,7164,0.459,790,2400,0.329,2499,4764,0.525,1447,1858,0.779,748,2563,3311,1957,735,418,1279,1932,8815,82.0,19880,3482,7230,0.482,912,2454,0.372,2570,4776,0.538,1705,2263,0.753,971,2897,3868,2126,737,411,1285,1694,9581,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,100.5,0.259,0.335,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,Talking Stick Resort Arena,627023
8,2019-20,2020,Troy Daniels,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,LAL,NBA,SG,41,0,11.1,1.5,3.9,0.392,1.0,2.7,0.357,0.5,1.1,0.478,0.519,0.2,0.4,0.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2,456,6.5,16.5,0.392,4.2,11.7,0.357,2.3,4.8,0.478,1.0,1.7,0.625,1.3,3.5,4.8,1.5,0.8,0.3,0.9,3.1,18.1,108,112,456,9.0,0.527,0.709,0.101,2.9,8.1,5.5,4.1,0.8,0.6,5.2,16.1,0.2,0.4,0.7,0.069,-1.2,-1.1,-2.2,0.0,71.0,17090,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,1260,1728,0.729,757,2490,3247,1803,612,468,1077,1471,8054,71.0,17090,2773,6187,0.448,827,2373,0.349,1946,3814,0.51,1270,1626,0.781,668,2333,3001,1662,585,263,1130,1544,7643,52,19,48,23,5.79,0.49,6.28,112.0,106.3,100.9,0.276,0.358,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,STAPLES Center,588907
9,2019-20,2020,Troy Daniels,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,DEN,NBA,SG,6,0,12.7,1.7,4.7,0.357,1.0,3.3,0.3,0.7,1.3,0.5,0.464,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.2,4.3,76,6.5,18.2,0.357,3.9,13.0,0.3,2.6,5.2,0.5,0.0,0.0,,0.0,3.9,3.9,2.0,2.0,0.0,2.0,4.6,16.9,89,113,76,5.3,0.464,0.714,0.0,0.0,8.8,4.4,5.4,2.0,0.0,9.7,17.7,-0.1,0.1,0.0,-0.025,-4.8,-2.4,-7.2,-0.1,73.0,17745,3069,6488,0.473,801,2234,0.359,2268,4254,0.533,1185,1526,0.777,786,2436,3222,1952,586,337,1005,1485,8124,73.0,17745,2919,6311,0.463,885,2473,0.358,2034,3838,0.53,1247,1643,0.759,736,2377,3113,1852,525,324,1041,1494,7970,46,27,41,32,2.11,0.24,2.35,113.1,111.0,97.1,0.235,0.344,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,Pepsi Center,633153
