,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1993-94,1994,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,IND,NBA,PF,81,4,21.4,2.7,5.2,.508,0.0,0.0,.000,2.7,5.2,.509,.508,2.4,3.7,.642,2.3,3.9,6.2,0.7,0.6,1.0,1.3,2.3,7.7,1732,6.4,12.6,0.508,0.0,0.0,0.0,6.4,12.6,0.509,5.8,9.0,0.642,5.6,9.4,15.0,1.6,1.3,2.5,3.2,5.6,18.6,110,102,1732,15.2,0.561,0.002,0.711,13.2,20.3,16.9,4.7,1.3,3.3,16.1,16.8,2.3,2.8,5.0,0.139,-0.2,0.3,0.1,0.9,82.0,19755,3167,6516,0.486,184,500,0.368,2983,6016,0.496,1762,2387,0.738,1130,2409,3539,2055,706,457,1440,1974,8280,82.0,19755,2978,6614,0.45,273,815,0.335,2705,5799,0.466,1768,2422,0.73,1132,2153,3285,1902,826,389,1340,1986,7997,47,35,51,31,3.45,-0.19,3.26,107.8,104.2,93.3,0.366,0.077,0.5,16.0,34.4,0.27,0.471,14.9,68.0,0.267,Market Square Arena,531812
1,1994-95,1995,Antonio Davis,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,IND,NBA,PF,44,1,23.4,2.5,5.6,.445,0.0,0.0,,2.5,5.6,.445,.445,2.7,4.0,.672,2.4,4.0,6.4,0.6,0.4,0.7,1.5,3.0,7.6,1030,5.6,12.7,0.445,0.0,0.0,,5.6,12.7,0.445,6.1,9.0,0.672,5.4,9.1,14.5,1.3,1.0,1.5,3.3,6.9,17.3,105,105,1030,11.9,0.521,0.0,0.71,12.6,20.1,16.4,3.7,1.0,2.2,16.6,17.1,0.5,1.5,2.0,0.095,-2.5,-0.3,-2.8,-0.2,82.0,19780,2983,6248,0.477,374,985,0.38,2609,5263,0.496,1796,2390,0.751,1051,2290,3341,1877,703,363,1340,1939,8136,82.0,19780,2921,6408,0.456,475,1304,0.364,2446,5104,0.479,1516,2089,0.726,1048,2156,3204,1804,691,416,1370,2058,7833,52,30,52,30,3.7,-0.34,3.35,109.6,105.6,90.0,0.383,0.158,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.237,Market Square Arena,654428
2,1995-96,1996,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,IND,NBA,PF,82,14,25.5,2.9,5.9,.490,0.0,0.0,.500,2.9,5.9,.490,.491,3.0,4.2,.713,2.3,3.8,6.1,0.5,0.4,0.8,1.1,3.0,8.8,2092,6.1,12.4,0.49,0.0,0.1,0.5,6.0,12.3,0.49,6.3,8.9,0.713,4.8,8.0,12.9,1.1,0.8,1.7,2.2,6.4,18.5,117,107,2092,13.9,0.567,0.004,0.716,11.6,18.1,15.0,3.2,0.8,2.5,12.1,15.8,3.6,2.4,6.0,0.137,-0.6,-0.4,-1.1,0.5,82.0,19755,2979,6205,0.48,363,973,0.373,2616,5232,0.5,1823,2416,0.755,1010,2262,3272,1917,579,323,1335,2031,8144,82.0,19755,2841,6291,0.452,493,1368,0.36,2348,4923,0.477,1703,2302,0.74,1004,2051,3055,1726,663,420,1259,2041,7878,52,30,50,32,3.24,-0.14,3.11,110.8,107.2,89.3,0.389,0.157,0.509,15.5,33.0,0.294,0.491,14.7,69.3,0.271,Market Square Arena,673967
3,1996-97,1997,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,IND,NBA,PF,82,28,28.5,3.8,7.8,.480,0.0,0.2,.071,3.7,7.6,.490,.481,2.9,4.4,.666,2.3,5.0,7.3,0.8,0.5,1.0,1.7,3.2,10.5,2335,7.1,14.8,0.48,0.0,0.3,0.071,7.1,14.5,0.49,5.6,8.4,0.666,4.4,9.4,13.8,1.5,1.0,1.9,3.3,6.0,19.8,105,103,2335,13.8,0.536,0.022,0.565,9.9,20.5,15.3,4.8,1.0,2.9,15.0,18.6,1.7,3.4,5.2,0.106,-1.4,0.1,-1.3,0.4,82.0,19930,2851,6254,0.456,430,1130,0.381,2421,5124,0.472,1687,2336,0.722,1029,2390,3419,1750,585,394,1338,1977,7819,82.0,19930,2799,6357,0.44,499,1440,0.347,2300,4917,0.468,1642,2182,0.753,1004,2261,3265,1737,693,418,1289,1952,7739,39,43,44,38,0.98,0.52,1.49,105.8,104.7,89.0,0.374,0.181,0.49,15.5,31.3,0.27,0.48,15.0,70.4,0.258,Market Square Arena,636735
4,1997-98,1998,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,IND,NBA,PF,82,12,26.7,3.1,6.4,.481,0.0,0.0,.000,3.1,6.4,.484,.481,3.4,4.9,.696,2.3,4.5,6.8,0.7,0.5,0.9,1.3,2.9,9.6,2191,6.3,13.2,0.481,0.0,0.1,0.0,6.3,13.1,0.484,6.9,9.9,0.696,4.8,9.2,14.0,1.5,1.1,1.8,2.6,5.8,19.6,113,100,2191,15.3,0.558,0.006,0.754,11.1,19.2,15.4,4.5,1.1,2.3,12.8,17.5,3.8,3.6,7.4,0.162,-0.3,0.2,-0.1,1.1,82.0,19830,2921,6223,0.469,401,1029,0.39,2520,5194,0.485,1631,2136,0.764,874,2348,3222,1889,645,368,1168,1859,7874,82.0,19830,2788,6451,0.432,274,867,0.316,2514,5584,0.45,1525,2096,0.728,1114,2254,3368,1591,644,366,1237,1847,7375,58,24,59,23,6.09,0.16,6.25,108.4,101.6,87.9,0.343,0.165,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,Market Square Arena,645302
5,1998-99,1999,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,IND,NBA,PF,49,1,25.9,3.3,7.1,.471,0.0,0.0,,3.3,7.1,.471,.471,2.8,3.9,.703,2.4,4.7,7.0,0.7,0.4,0.9,1.0,2.8,9.4,1271,7.2,15.2,0.471,0.0,0.0,,7.2,15.2,0.471,5.9,8.4,0.703,5.1,10.0,15.0,1.4,1.0,1.8,2.2,5.9,20.2,112,102,1271,16.7,0.535,0.0,0.552,11.0,20.9,16.1,4.4,1.0,2.4,10.4,18.2,2.7,1.3,4.0,0.151,0.7,-0.9,-0.1,0.6,50.0,12100,1731,3866,0.448,294,799,0.368,1437,3067,0.469,977,1228,0.796,574,1452,2026,1005,316,223,649,1082,4733,50.0,12100,1706,3935,0.434,206,634,0.325,1500,3301,0.454,928,1227,0.756,626,1426,2052,955,357,238,652,1127,4546,33,17,32,18,3.74,0.12,3.86,108.7,104.4,86.4,0.318,0.207,0.486,12.8,28.7,0.253,0.46,12.7,69.9,0.236,Market Square Arena,404536
6,1999-00,2000,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,TOR,NBA,C,79,78,31.4,4.0,9.0,.440,0.0,0.0,,4.0,9.0,.440,.440,3.6,4.7,.765,3.0,5.8,8.8,1.3,0.5,1.3,1.5,3.4,11.5,2479,6.6,14.9,0.44,0.0,0.0,,6.6,14.9,0.44,5.9,7.8,0.765,4.9,9.7,14.6,2.2,0.8,2.1,2.5,5.6,19.1,109,104,2479,15.1,0.52,0.0,0.521,10.3,21.5,15.7,6.7,0.8,2.8,12.1,17.8,3.5,2.6,6.1,0.118,-1.0,-1.0,-2.0,0.0,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496
7,2000-01,2001,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,TOR,NBA,C,78,77,35.0,4.8,11.1,.433,0.0,0.0,.000,4.8,11.1,.434,.433,4.1,5.4,.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7,2729,7.3,16.7,0.433,0.0,0.0,0.0,7.3,16.7,0.434,6.2,8.2,0.754,5.3,9.9,15.2,2.1,0.4,2.9,2.6,4.4,20.7,107,102,2729,16.5,0.508,0.001,0.488,11.0,21.7,16.2,6.2,0.4,3.9,11.4,19.5,4.2,3.1,7.2,0.127,-0.3,-0.8,-1.1,0.6,82.0,19955.0,3048.0,6972.0,0.437,429.0,1164.0,0.369,2619.0,5808.0,0.451,1482.0,1984.0,0.747,1118.0,2529.0,3647.0,2004.0,599.0,519.0,1080.0,1745.0,8007.0,82.0,19955.0,3009.0,6725.0,0.447,379.0,1045.0,0.363,2630.0,5680.0,0.463,1425.0,1890.0,0.754,926.0,2511.0,3437.0,1696.0,561.0,439.0,1156.0,1792.0,7822.0,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,90.9,0.285,0.167,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,Air Canada Centre,793256
8,2001-02,2002,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,33,TOR,NBA,PF,77,77,38.7,5.3,12.5,.426,0.0,0.0,.000,5.3,12.5,.426,.426,3.8,4.6,.818,3.3,6.3,9.6,2.0,0.7,1.1,2.1,2.9,14.5,2978,7.4,17.5,0.426,0.0,0.0,0.0,7.4,17.5,0.426,5.3,6.5,0.818,4.6,8.8,13.4,2.8,1.0,1.5,2.9,4.1,20.2,104,103,2978,14.8,0.497,0.001,0.372,9.5,19.4,14.3,8.7,1.0,2.1,12.4,19.6,3.0,3.6,6.5,0.105,-0.5,-0.4,-0.9,0.8,82.0,19755.0,2919.0,6727.0,0.434,387.0,1109.0,0.349,2532.0,5618.0,0.451,1269.0,1717.0,0.739,1114.0,2336.0,3450.0,1779.0,688.0,454.0,1174.0,1771.0,7494.0,82.0,19755.0,2820.0,6390.0,0.441,377.0,1089.0,0.346,2443.0,5301.0,0.461,1513.0,2011.0,0.752,995.0,2436.0,3431.0,1629.0,628.0,393.0,1250.0,1612.0,7530.0,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,88.8,0.255,0.165,0.463,13.6,31.4,0.189,0.471,14.7,70.1,0.237,Air Canada Centre,810160
9,2002-03,2003,Antonio Davis,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,34,TOR,NBA,C,53,52,35.7,4.9,12.1,.407,0.0,0.0,,4.9,12.1,.407,.407,4.1,5.3,.771,2.5,5.8,8.2,2.5,0.4,1.2,2.2,2.8,13.9,1894,7.4,18.1,0.407,0.0,0.0,,7.4,18.1,0.407,6.1,7.9,0.771,3.7,8.7,12.3,3.7,0.6,1.7,3.3,4.2,20.8,99,107,1894,14.5,0.483,0.0,0.437,7.5,19.3,13.1,11.9,0.6,2.3,13.4,21.3,1.0,1.1,2.2,0.055,-0.9,-1.0,-1.9,0.1,82.0,19805.0,2847.0,6664.0,0.427,409.0,1193.0,0.343,2438.0,5471.0,0.446,1350.0,1879.0,0.718,1023.0,2355.0,3378.0,1583.0,609.0,392.0,1181.0,1761.0,7453.0,82.0,19805.0,3037.0,6592.0,0.461,370.0,986.0,0.375,2667.0,5606.0,0.476,1490.0,1964.0,0.759,976.0,2601.0,3577.0,1729.0,604.0,406.0,1125.0,1702.0,7934.0,24,58,24,58,-5.87,-0.23,-6.1,100.5,107.0,89.9,0.282,0.179,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,777507
