,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2002-03,2003,Melvin Ely,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,LAC,NBA,C,52,7,15.4,1.8,3.6,.495,0.0,0.0,,1.8,3.6,.495,.495,1.0,1.4,.703,1.2,2.1,3.3,0.3,0.2,0.6,1.0,1.8,4.5,802,6.0,12.2,0.495,0.0,0.0,,6.0,12.2,0.495,3.4,4.8,0.703,4.2,7.2,11.4,1.0,0.7,2.1,3.3,6.2,15.5,100,107,802,10.8,0.54,0.0,0.398,9.1,15.4,12.3,3.1,0.7,2.8,18.6,15.1,0.4,0.4,0.8,0.048,-3.1,-1.1,-4.2,-0.4,82.0,19755,2835,6490,0.437,390,1178,0.331,2445,5312,0.46,1633,2177,0.75,1008,2462,3470,1605,574,461,1291,1784,7693,82.0,19755,3035,6787,0.447,454,1244,0.365,2581,5543,0.466,1507,1946,0.774,1046,2460,3506,1840,652,418,1152,1844,8031,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,0.335,0.182,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471
1,2003-04,2004,Melvin Ely,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,LAC,NBA,PF,42,2,12.1,1.6,3.6,.431,0.0,0.0,.000,1.6,3.6,.434,.431,0.6,1.0,.595,1.1,1.3,2.4,0.5,0.2,0.4,0.5,1.6,3.7,510,6.8,15.8,0.431,0.0,0.1,0.0,6.8,15.7,0.434,2.6,4.3,0.595,5.0,5.5,10.5,2.3,0.9,1.8,2.1,7.0,16.2,101,110,510,11.1,0.458,0.007,0.275,10.6,11.9,11.3,7.4,0.9,2.4,10.4,16.6,0.3,0.1,0.4,0.039,-1.9,-1.5,-3.3,-0.2,82.0,19805,2817,6579,0.428,329,1024,0.321,2488,5555,0.448,1808,2302,0.785,1149,2416,3565,1653,594,376,1344,1816,7771,82.0,19805,3075,6687,0.46,452,1256,0.36,2623,5431,0.483,1545,2086,0.741,1033,2358,3391,1874,693,437,1122,1861,8147,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,91.0,0.35,0.156,0.453,15.0,32.8,0.275,0.494,12.9,70.0,0.231,STAPLES Center,665396
2,2004-05,2005,Melvin Ely,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,CHA,NBA,PF,79,17,20.9,2.9,6.7,.432,0.0,0.0,,2.9,6.7,.432,.432,1.5,2.7,.575,1.8,2.3,4.1,1.0,0.4,0.9,1.5,2.5,7.3,1649,7.2,16.6,0.432,0.0,0.0,,7.2,16.6,0.432,3.8,6.7,0.575,4.5,5.8,10.3,2.4,1.0,2.2,3.6,6.3,18.2,92,109,1649,10.5,0.465,0.0,0.403,9.3,13.5,11.3,7.6,1.0,3.1,15.7,19.7,-1.1,1.2,0.1,0.004,-3.4,-1.0,-4.4,-1.0,82.0,19880.0,2961.0,6859.0,0.432,320.0,881.0,0.363,2641.0,5978.0,0.442,1487.0,2096.0,0.709,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1192.0,1894.0,7729.0,82.0,19880.0,3015.0,6507.0,0.463,442.0,1224.0,0.361,2573.0,5283.0,0.487,1748.0,2279.0,0.767,959.0,2586.0,3545.0,1768.0,624.0,446.0,1297.0,1858.0,8220.0,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,591701
3,2005-06,2006,Melvin Ely,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,CHA,NBA,PF,57,22,23.6,3.8,7.5,.508,0.0,0.0,.000,3.8,7.4,.511,.508,2.2,3.4,.667,1.6,3.2,4.9,1.3,0.5,0.8,1.8,2.8,9.8,1348,8.2,16.2,0.508,0.0,0.1,0.0,8.2,16.1,0.511,4.9,7.3,0.667,3.6,7.0,10.6,2.9,1.1,1.7,3.8,6.1,21.3,103,107,1348,14.3,0.55,0.005,0.452,7.6,16.8,11.9,9.7,1.1,2.5,16.4,20.1,0.8,1.2,2.0,0.072,-1.7,-0.2,-1.8,0.1,82.0,19905.0,2961.0,6843.0,0.433,428.0,1261.0,0.339,2533.0,5582.0,0.454,1593.0,2186.0,0.729,990.0,2270.0,3260.0,1717.0,822.0,354.0,1167.0,1960.0,7943.0,82.0,19905.0,3065.0,6410.0,0.478,458.0,1285.0,0.356,2607.0,5125.0,0.509,1683.0,2283.0,0.737,940.0,2667.0,3607.0,1881.0,577.0,441.0,1464.0,1929.0,8271.0,26,56,30,52,-4.0,0.1,-3.9,102.5,106.7,93.4,0.319,0.184,0.464,13.0,27.1,0.233,0.514,16.5,70.7,0.263,Charlotte Bobcats Arena,671011
4,2006-07,2007,Melvin Ely,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,28,CHA,NBA,PF,24,0,10.2,1.0,2.5,.383,0.0,0.0,,1.0,2.5,.383,.383,1.0,1.5,.686,0.5,1.1,1.6,0.6,0.1,0.3,1.0,1.6,2.9,244,4.9,12.8,0.383,0.0,0.0,,4.9,12.8,0.383,5.1,7.5,0.686,2.6,5.8,8.3,3.0,0.4,1.3,4.9,8.3,15.0,84,110,244,4.8,0.464,0.0,0.583,5.7,13.5,9.5,8.9,0.4,1.9,23.4,18.3,-0.4,0.1,-0.2,-0.047,-6.0,-0.3,-6.3,-0.3,82.0,20005.0,2960.0,6643.0,0.446,457.0,1280.0,0.357,2503.0,5363.0,0.467,1568.0,2136.0,0.734,920.0,2346.0,3266.0,1836.0,638.0,369.0,1224.0,1985.0,7945.0,82.0,20005.0,2999.0,6450.0,0.465,452.0,1245.0,0.363,2547.0,5205.0,0.489,1802.0,2404.0,0.75,929.0,2562.0,3491.0,1717.0,603.0,437.0,1296.0,1786.0,8252.0,33,49,30,52,-3.74,-0.22,-3.97,103.6,107.6,92.0,0.322,0.193,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,Charlotte Bobcats Arena,637520
5,2006-07,2007,Melvin Ely,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,28,SAS,NBA,C,6,0,10.8,1.0,3.3,.300,0.0,0.0,,1.0,3.3,.300,.300,1.2,2.0,.583,0.5,1.8,2.3,0.7,0.7,0.3,0.8,2.0,3.2,65,4.9,16.5,0.3,0.0,0.0,,4.9,16.5,0.3,5.8,9.9,0.583,2.5,9.0,11.5,3.3,3.3,1.6,4.1,9.9,15.6,78,94,65,6.7,0.376,0.0,0.6,5.8,19.7,13.0,9.2,3.3,2.3,16.5,22.1,-0.2,0.2,0.0,-0.009,-8.8,1.1,-7.8,-0.1,82.0,19780,2999,6328,0.474,595,1561,0.381,2404,4767,0.504,1486,1980,0.751,761,2577,3338,1814,587,417,1137,1588,8079,82.0,19780,2860,6463,0.443,368,1101,0.334,2492,5362,0.465,1300,1756,0.74,829,2379,3208,1416,580,337,1176,1739,7388,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,89.8,0.313,0.247,0.521,13.6,24.2,0.235,0.471,14.0,75.7,0.201,AT&T Center,764823
6,2007-08,2008,Melvin Ely,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,29,NOH,NBA,C,52,1,11.9,1.6,3.5,.472,0.0,0.0,,1.6,3.5,.472,.472,0.6,1.1,.552,0.5,2.3,2.8,0.4,0.1,0.3,0.8,1.5,3.9,621,7.3,15.5,0.472,0.0,0.0,,7.3,15.5,0.472,2.8,5.0,0.552,2.4,10.1,12.5,1.9,0.6,1.5,3.6,6.8,17.4,91,105,621,9.0,0.491,0.0,0.322,5.1,22.6,13.6,5.4,0.6,2.3,17.0,18.5,-0.5,0.8,0.3,0.022,-5.1,-0.2,-5.2,-0.5,82.0,19805.0,3164.0,6796.0,0.466,630.0,1621.0,0.389,2534.0,5175.0,0.49,1312.0,1707.0,0.769,937.0,2494.0,3431.0,1785.0,637.0,321.0,974.0,1531.0,8270.0,82.0,19805.0,3038.0,6604.0,0.46,544.0,1552.0,0.351,2494.0,5052.0,0.494,1217.0,1579.0,0.771,815.0,2533.0,3348.0,1779.0,470.0,331.0,1136.0,1573.0,7837.0,56,26,56,26,5.28,0.18,5.46,111.5,105.7,89.9,0.251,0.239,0.512,11.4,27.0,0.193,0.501,13.5,75.4,0.184,New Orleans Arena,581432
7,2008-09,2009,Melvin Ely,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,30,NOH,NBA,C,31,4,12.0,1.2,3.1,.389,0.0,0.0,,1.2,3.1,.389,.389,0.7,1.2,.639,1.0,1.1,2.1,0.6,0.1,0.3,0.7,1.9,3.1,373,5.4,13.9,0.389,0.0,0.0,,5.4,13.9,0.389,3.4,5.3,0.639,4.4,5.0,9.4,2.6,0.3,1.3,3.4,8.5,14.2,91,111,373,6.0,0.438,0.0,0.379,9.7,11.0,10.4,7.6,0.3,2.0,17.2,17.3,-0.3,0.3,-0.1,-0.008,-5.9,-1.4,-7.3,-0.5,82.0,19755.0,2911.0,6366.0,0.457,556.0,1526.0,0.364,2355.0,4840.0,0.487,1479.0,1833.0,0.807,802.0,2453.0,3255.0,1609.0,593.0,338.0,1029.0,1665.0,7857.0,82.0,19755.0,2851.0,6329.0,0.45,575.0,1625.0,0.354,2276.0,4704.0,0.484,1453.0,1879.0,0.773,822.0,2459.0,3281.0,1649.0,476.0,290.0,1089.0,1675.0,7730.0,49,33,46,36,1.55,-0.14,1.41,108.7,107.0,87.8,0.288,0.24,0.501,12.5,24.6,0.232,0.496,13.2,74.9,0.23,New Orleans Arena,695727
8,2010-11,2011,Melvin Ely,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,32,DEN,NBA,C,30,2,12.2,0.9,1.7,.549,0.0,0.0,,0.9,1.7,.549,.549,0.4,0.7,.619,0.9,1.6,2.5,0.5,0.1,0.4,0.5,1.7,2.3,366,3.8,7.0,0.549,0.0,0.0,,3.8,7.0,0.549,1.8,2.9,0.619,3.7,6.4,10.2,1.9,0.5,1.5,1.9,6.9,9.5,113,109,366,8.3,0.573,0.0,0.412,8.8,14.4,11.7,5.3,0.5,2.3,18.9,9.0,0.3,0.3,0.6,0.083,-2.9,-0.3,-3.2,-0.1,82.0,19705,3145,6613,0.476,662,1704,0.388,2483,4909,0.506,1859,2429,0.765,791,2652,3443,1813,605,352,1157,1719,8811,82.0,19705,3153,6876,0.459,576,1675,0.344,2577,5201,0.495,1539,2036,0.756,864,2525,3389,1820,611,488,1127,1864,8421,50,32,54,28,4.76,0.05,4.81,112.3,107.3,95.6,0.367,0.258,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,Pepsi Center,696568
9,2013-14,2014,Melvin Ely,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,35,NOP,NBA,C,2,0,13.5,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,0.0,2.5,3.0,27,5.8,11.6,0.5,0.0,0.0,,5.8,11.6,0.5,0.0,0.0,,0.0,1.9,1.9,0.0,0.0,1.9,0.0,9.6,11.6,104,116,27,3.9,0.5,0.0,0.0,0.0,4.4,2.2,0.0,0.0,3.1,0.0,10.1,0.0,0.0,0.0,0.011,-7.5,-2.8,-10.3,-0.1,82.0,19855,3101,6761,0.459,486,1303,0.373,2615,5458,0.479,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177,82.0,19855,3055,6567,0.465,652,1827,0.357,2403,4740,0.507,1637,2176,0.752,881,2538,3419,1845,577,504,1185,1664,8399,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,672029
