,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2002-03,2003,Reggie Evans,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,SEA,NBA,PF,67,60,20.4,1.0,2.1,0.471,0.0,0.0,,1.0,2.1,0.471,0.471,1.2,2.3,0.519,2.5,4.1,6.6,0.5,0.6,0.2,0.8,2.6,3.2,1365,2.6,5.6,0.471,0.0,0.0,,2.6,5.6,0.471,3.2,6.2,0.519,6.7,11.1,17.8,1.4,1.5,0.4,2.1,6.9,8.5,109,102,1365,10.4,0.51,0.0,1.1,14.2,24.3,19.2,3.7,1.5,0.6,20.0,8.9,1.3,1.7,3.0,0.105,-2.4,-0.3,-2.8,-0.3,82.0,19855,2887,6599,0.437,456,1291,0.353,2431,5308,0.458,1325,1780,0.744,963,2385,3348,1775,679,295,1085,1712,7555,82.0,19855,2871,6424,0.447,472,1371,0.344,2399,5053,0.475,1351,1821,0.742,938,2462,3400,1703,500,409,1209,1671,7565,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,88.0,0.27,0.196,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,637194
1,2003-04,2004,Reggie Evans,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,SEA,NBA,PF,75,27,17.1,0.9,2.2,0.406,0.0,0.0,0.0,0.9,2.2,0.414,0.406,1.1,2.0,0.561,2.1,3.4,5.4,0.4,0.7,0.1,0.9,2.3,2.9,1280,2.8,6.9,0.406,0.0,0.1,0.0,2.8,6.8,0.414,3.5,6.2,0.561,6.5,10.5,17.0,1.4,2.3,0.4,2.7,7.3,9.0,101,104,1280,9.9,0.471,0.018,0.897,14.5,23.0,18.8,3.7,2.3,0.6,22.0,10.7,0.7,1.1,1.7,0.065,-2.7,-1.2,-3.9,-0.6,82.0,19805,2939,6590,0.446,723,1936,0.373,2216,4654,0.476,1363,1782,0.765,907,2318,3225,1782,661,387,1188,1784,7964,82.0,19805,2980,6622,0.45,486,1394,0.349,2494,5228,0.477,1570,2028,0.774,1068,2430,3498,1728,629,387,1211,1658,8016,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,89.9,0.27,0.294,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,KeyArena at Seattle Center,625474
2,2004-05,2005,Reggie Evans,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,SEA,NBA,PF,79,79,23.8,1.7,3.5,0.476,0.0,0.0,0.0,1.7,3.5,0.48,0.476,1.6,3.0,0.534,3.2,6.1,9.3,0.7,0.7,0.2,1.3,2.6,4.9,1881,3.8,8.0,0.476,0.0,0.1,0.0,3.8,7.9,0.48,3.6,6.8,0.534,7.4,14.0,21.4,1.7,1.7,0.4,3.0,5.9,11.2,107,105,1881,13.0,0.512,0.007,0.851,16.6,31.2,23.9,4.7,1.7,0.6,21.6,11.8,1.5,2.3,3.8,0.096,-0.4,-0.7,-1.1,0.4,82.0,19755,2882,6498,0.444,666,1824,0.365,2216,4674,0.474,1683,2131,0.79,1041,2311,3352,1487,553,338,1113,1944,8113,82.0,19755,2932,6382,0.459,470,1317,0.357,2462,5065,0.486,1591,2124,0.749,930,2174,3104,1698,508,390,1085,1949,7925,52,30,48,34,2.29,0.3,2.59,112.2,109.6,87.9,0.328,0.281,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,KeyArena at Seattle Center,675490
3,2005-06,2006,Reggie Evans,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,SEA,NBA,PF,41,23,19.2,2.1,4.2,0.509,0.0,0.0,0.0,2.1,4.2,0.512,0.509,1.6,2.9,0.55,2.8,4.0,6.7,0.6,0.6,0.1,1.0,2.3,5.9,788,5.8,11.5,0.509,0.0,0.1,0.0,5.8,11.4,0.512,4.4,8.0,0.55,7.6,10.8,18.3,1.5,1.6,0.3,2.7,6.3,16.1,112,112,788,15.0,0.536,0.006,0.694,17.2,25.2,21.2,4.4,1.6,0.5,15.4,15.2,1.2,0.3,1.5,0.09,0.1,-3.0,-2.9,-0.2,82.0,19830,3077,6711,0.459,605,1631,0.371,2472,5080,0.487,1652,2104,0.785,1013,2233,3246,1696,622,306,1208,1933,8411,82.0,19830,3202,6596,0.485,542,1445,0.375,2660,5151,0.516,1713,2255,0.76,1003,2316,3319,1973,598,399,1194,1820,8659,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,0.314,0.243,0.504,13.7,30.4,0.246,0.527,13.6,69.0,0.26,KeyArena at Seattle Center,664157
4,2005-06,2006,Reggie Evans,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,DEN,NBA,PF,26,2,23.3,1.7,3.7,0.453,0.0,0.0,,1.7,3.7,0.453,0.453,1.9,3.7,0.505,2.2,6.5,8.7,0.6,0.6,0.2,1.7,2.7,5.2,605,3.6,8.0,0.453,0.0,0.0,,3.6,8.0,0.453,4.1,8.2,0.505,4.8,14.3,19.1,1.3,1.4,0.4,3.7,6.0,11.4,91,102,605,9.2,0.49,0.0,1.021,11.1,32.3,21.8,3.5,1.4,0.6,24.2,13.4,-0.4,1.0,0.6,0.048,-4.3,-0.5,-4.9,-0.4,82.0,19930,3078,6672,0.461,350,1076,0.325,2728,5596,0.487,1721,2312,0.744,903,2486,3389,1921,698,463,1216,1863,8227,82.0,19930,3070,6764,0.454,530,1480,0.358,2540,5284,0.481,1538,2090,0.736,965,2469,3434,1959,586,436,1323,1911,8208,44,38,42,40,0.23,0.13,0.36,105.5,105.2,93.9,0.347,0.161,0.488,13.7,26.8,0.258,0.493,14.7,72.0,0.227,Pepsi Center,702555
5,2006-07,2007,Reggie Evans,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,DEN,NBA,PF,66,11,17.1,1.8,3.3,0.544,0.0,0.0,,1.8,3.3,0.544,0.544,1.4,2.8,0.497,2.4,4.6,7.0,0.7,0.6,0.2,1.4,2.2,4.9,1127,5.1,9.4,0.544,0.0,0.0,,5.1,9.4,0.544,4.0,8.0,0.497,6.8,13.3,20.1,2.0,1.8,0.7,4.2,6.3,14.2,101,101,1127,13.5,0.55,0.0,0.851,15.8,29.9,23.0,5.7,1.8,1.0,24.3,14.8,0.4,1.9,2.3,0.096,-2.2,0.0,-2.2,-0.1,82.0,19780,3164,6805,0.465,484,1440,0.336,2680,5365,0.5,1827,2449,0.746,1001,2558,3559,1920,678,435,1352,1756,8639,82.0,19780,3257,7088,0.46,554,1569,0.353,2703,5519,0.49,1438,1945,0.739,1006,2461,3467,2010,680,424,1343,1946,8506,45,37,45,37,1.62,0.07,1.69,107.6,105.9,97.4,0.36,0.212,0.501,14.6,28.9,0.268,0.499,14.5,71.8,0.203,Pepsi Center,706437
6,2007-08,2008,Reggie Evans,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,PHI,NBA,PF,81,61,23.2,1.9,4.3,0.439,0.0,0.0,1.0,1.9,4.3,0.438,0.441,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2,1879,4.3,9.8,0.439,0.0,0.0,1.0,4.3,9.7,0.438,3.4,7.3,0.467,6.3,10.9,17.3,1.8,2.4,0.2,3.1,6.0,12.0,97,103,1879,11.0,0.463,0.003,0.743,14.0,24.7,19.3,5.0,2.4,0.3,19.0,13.6,-0.3,3.0,2.7,0.068,-3.0,0.0,-3.0,-0.5,82.0,19755,3056,6648,0.46,302,952,0.317,2754,5696,0.483,1509,2137,0.706,1067,2370,3437,1673,712,400,1172,1620,7923,82.0,19755,3000,6504,0.461,557,1549,0.36,2443,4955,0.493,1332,1726,0.772,923,2293,3216,1903,550,420,1289,1708,7889,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,90.4,0.321,0.143,0.482,13.4,31.8,0.227,0.504,15.1,72.0,0.205,Wachovia Center,609675
7,2008-09,2009,Reggie Evans,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,PHI,NBA,PF,79,7,14.4,1.0,2.3,0.444,0.0,0.0,0.0,1.0,2.2,0.446,0.444,1.3,2.2,0.594,1.7,2.9,4.6,0.3,0.5,0.1,0.9,2.0,3.3,1137,3.7,8.4,0.444,0.0,0.0,0.0,3.7,8.3,0.446,4.9,8.2,0.594,6.3,10.6,16.9,1.2,1.9,0.4,3.2,7.6,12.3,102,105,1137,10.4,0.514,0.006,0.983,14.1,24.0,19.0,3.3,1.9,0.6,21.3,13.0,0.3,1.6,1.9,0.079,-3.5,-0.6,-4.2,-0.6,82.0,19755,2997,6532,0.459,341,1072,0.318,2656,5460,0.486,1652,2216,0.745,1039,2336,3375,1647,658,415,1157,1650,7987,82.0,19755,2997,6489,0.462,585,1595,0.367,2412,4894,0.493,1402,1792,0.782,935,2285,3220,1799,575,400,1278,1786,7981,41,41,41,41,0.07,0.09,0.16,107.9,107.8,90.0,0.339,0.164,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,Wachovia Center,647898
8,2009-10,2010,Reggie Evans,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,TOR,NBA,PF,28,1,11.1,1.2,2.5,0.493,0.0,0.0,,1.2,2.5,0.493,0.493,1.0,2.1,0.45,1.1,2.7,3.8,0.3,0.5,0.1,0.8,1.6,3.4,311,5.6,11.4,0.493,0.0,0.0,,5.6,11.4,0.493,4.5,10.0,0.45,5.0,12.4,17.4,1.3,2.3,0.7,3.6,7.3,15.8,96,107,311,11.4,0.498,0.0,0.87,11.7,27.7,19.9,3.7,2.3,1.0,18.7,17.2,-0.1,0.3,0.2,0.033,-3.5,-1.1,-4.6,-0.2,82.0,19780.0,3199.0,6631.0,0.482,518.0,1397.0,0.371,2681.0,5234.0,0.512,1618.0,2118.0,0.764,806.0,2507.0,3313.0,1804.0,469.0,384.0,1100.0,1819.0,8534.0,82.0,19780.0,3194.0,6824.0,0.468,609.0,1665.0,0.366,2585.0,5159.0,0.501,1683.0,2146.0,0.784,933.0,2453.0,3386.0,1889.0,580.0,360.0,1040.0,1730.0,8680.0,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,93.1,0.319,0.211,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,Air Canada Centre,733784
9,2010-11,2011,Reggie Evans,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,TOR,NBA,PF,30,18,26.6,1.4,3.4,0.408,0.0,0.0,0.0,1.4,3.4,0.412,0.408,1.6,2.9,0.545,4.0,7.5,11.5,1.3,1.0,0.2,1.3,3.0,4.4,798,2.7,6.7,0.408,0.0,0.1,0.0,2.7,6.6,0.412,3.1,5.7,0.545,7.7,14.6,22.3,2.5,1.9,0.4,2.5,5.8,8.6,106,107,798,12.4,0.466,0.01,0.854,17.2,34.4,25.6,6.4,1.9,0.6,21.6,10.1,0.5,0.8,1.3,0.077,-0.9,-0.6,-1.5,0.1,82.0,19780.0,3144.0,6755.0,0.465,345.0,1091.0,0.316,2799.0,5664.0,0.494,1491.0,1976.0,0.755,963.0,2343.0,3306.0,1795.0,581.0,350.0,1206.0,1807.0,8124.0,82.0,19780.0,3213.0,6668.0,0.482,541.0,1438.0,0.376,2672.0,5230.0,0.511,1672.0,2175.0,0.769,912.0,2457.0,3369.0,1854.0,625.0,456.0,1141.0,1620.0,8639.0,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,92.9,0.293,0.162,0.491,13.7,28.2,0.221,0.522,13.0,72.0,0.251,Air Canada Centre,680255
