,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,CLE,NBA,PF,76,1,19.2,2.9,6.0,.479,0.4,1.1,.415,2.4,5.0,.493,.516,1.3,1.5,.876,1.1,2.6,3.7,1.8,0.4,0.6,1.1,2.3,7.5,1461,7.6,15.9,0.479,1.2,2.8,0.415,6.4,13.1,0.493,3.4,3.9,0.876,2.8,6.9,9.7,4.7,1.0,1.7,2.9,5.9,19.9,111,107,1461,14.0,0.563,0.179,0.246,6.6,14.9,10.9,13.2,1.0,2.0,14.0,18.0,1.8,1.8,3.6,0.118,-0.4,0.2,-0.2,0.7,82.0,19830,3425,6887,0.497,283,742,0.381,3142,6145,0.511,1699,2119,0.802,929,2496,3425,2349,615,536,1120,1580,8832,82.0,19830,3370,7229,0.466,229,695,0.329,3141,6534,0.481,1334,1742,0.766,1115,2379,3494,2109,610,365,1203,1828,8303,54,28,58,24,6.45,-0.15,6.3,112.7,106.0,94.8,0.308,0.108,0.518,12.5,28.1,0.247,0.482,13.1,69.1,0.185,Coliseum at Richfield,751465
1,1993-94,1994,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,CLE,NBA,PF,70,1,13.8,2.1,4.8,.446,0.2,0.7,.275,1.9,4.0,.477,.467,0.5,0.6,.884,0.7,1.3,2.0,1.1,0.4,0.3,0.6,1.6,5.0,965,8.1,18.1,0.446,0.8,2.8,0.275,7.3,15.4,0.477,2.1,2.3,0.884,2.6,5.1,7.7,4.0,1.5,1.2,2.2,6.1,19.0,105,106,965,12.0,0.496,0.153,0.129,5.6,11.3,8.5,12.1,1.5,1.5,10.4,18.3,0.7,1.0,1.7,0.084,-1.4,0.0,-1.3,0.2,82.0,19855,3133,6731,0.465,294,813,0.362,2839,5918,0.48,1736,2254,0.77,1090,2353,3443,2049,705,426,1136,1701,8296,82.0,19855,3131,6741,0.464,258,729,0.354,2873,6012,0.478,1446,1967,0.735,1059,2335,3394,2006,628,461,1293,1797,7966,47,35,52,30,4.02,-0.39,3.64,109.4,105.1,91.7,0.335,0.121,0.487,12.8,31.8,0.258,0.484,14.5,69.0,0.215,Coliseum at Richfield,753686
2,1994-95,1995,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,CLE,NBA,PF,82,6,15.7,2.7,6.1,.446,1.1,2.8,.403,1.6,3.3,.483,.540,0.9,1.0,.881,0.4,1.4,1.7,1.2,0.3,0.3,0.7,1.6,7.5,1290,9.8,21.9,0.446,4.1,10.2,0.403,5.7,11.7,0.483,3.2,3.7,0.881,1.3,5.0,6.3,4.2,1.2,1.0,2.6,5.7,26.9,114,107,1290,16.0,0.572,0.466,0.168,2.8,11.3,6.9,14.4,1.2,1.4,9.9,22.2,2.3,1.5,3.9,0.144,2.2,0.4,2.6,1.5,82.0,19930,2756,6255,0.441,398,1033,0.385,2358,5222,0.452,1507,1982,0.76,1045,2237,3282,1672,630,349,1176,1694,7417,82.0,19930,2803,6083,0.461,396,1108,0.357,2407,4975,0.484,1364,1801,0.757,851,2246,3097,1812,556,433,1213,1770,7366,43,39,43,39,0.62,-0.07,0.55,105.3,104.6,84.8,0.317,0.165,0.472,14.2,31.8,0.241,0.493,15.0,72.4,0.224,Gund Arena,833850
3,1995-96,1996,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,CLE,NBA,PF,82,79,32.7,5.1,11.2,.459,1.7,4.4,.394,3.4,6.8,.502,.537,1.3,1.6,.769,0.9,2.9,3.8,2.3,0.7,0.5,1.5,2.8,13.3,2680,9.2,20.0,0.459,3.1,7.9,0.394,6.1,12.1,0.502,2.2,2.9,0.769,1.5,5.2,6.7,4.2,1.2,0.8,2.7,5.1,23.7,109,109,2680,14.2,0.557,0.395,0.146,3.5,12.0,7.7,13.2,1.2,1.2,11.1,20.7,3.2,2.3,5.5,0.098,0.6,-0.7,-0.1,1.3,82.0,19830,2761,5998,0.46,596,1582,0.377,2165,4416,0.49,1355,1775,0.763,867,2055,2922,1818,674,340,1073,1685,7473,82.0,19830,2674,5787,0.462,513,1322,0.388,2161,4465,0.484,1400,1844,0.759,874,2167,3041,1818,504,336,1282,1667,7261,47,35,49,33,2.59,-0.09,2.49,109.9,106.7,82.3,0.296,0.264,0.51,13.7,28.6,0.226,0.506,16.3,70.2,0.242,Gund Arena,730095
4,1996-97,1997,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,CLE,NBA,PF,82,48,32.1,4.2,9.7,.429,1.4,3.5,.401,2.8,6.2,.445,.501,0.9,1.1,.851,1.0,3.1,4.1,1.8,0.7,0.4,1.1,3.0,10.6,2633,7.5,17.5,0.429,2.5,6.2,0.401,5.0,11.2,0.445,1.6,1.9,0.851,1.8,5.6,7.4,3.3,1.2,0.7,2.1,5.4,19.1,106,105,2633,11.7,0.523,0.358,0.11,4.0,12.8,8.3,10.4,1.2,1.1,10.1,17.6,2.2,3.4,5.6,0.102,-0.6,0.2,-0.4,1.0,82.0,19855,2704,5972,0.453,483,1284,0.376,2221,4688,0.474,1282,1773,0.723,909,2159,3068,1714,655,315,1188,1882,7173,82.0,19855,2488,5638,0.441,459,1230,0.373,2029,4408,0.46,1587,2138,0.742,845,2186,3031,1647,549,350,1331,1748,7022,42,40,47,35,1.84,0.47,2.32,104.6,102.4,82.9,0.297,0.215,0.493,15.0,29.4,0.215,0.482,16.8,71.9,0.281,Gund Arena,692684
5,1997-98,1998,Danny Ferry,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,31,CLE,NBA,PF,69,3,15.0,1.6,4.1,.395,0.5,1.4,.333,1.2,2.7,.428,.453,0.5,0.6,.800,0.3,1.3,1.7,0.9,0.4,0.2,0.8,1.7,4.2,1034,5.8,14.8,0.395,1.7,5.1,0.333,4.1,9.7,0.428,1.7,2.1,0.8,1.2,4.7,5.9,3.0,1.3,0.9,2.7,6.1,15.0,93,102,1034,7.5,0.479,0.346,0.14,2.8,10.6,6.8,9.5,1.3,1.2,14.9,15.9,-0.4,1.4,1.0,0.049,-3.0,0.7,-2.3,-0.1,82.0,19830,2817,6207,0.454,298,801,0.372,2519,5406,0.466,1653,2187,0.756,955,2331,3286,1894,814,419,1418,1939,7585,82.0,19830,2689,6214,0.433,341,992,0.344,2348,5222,0.45,1642,2175,0.755,948,2229,3177,1790,707,455,1444,1904,7361,47,35,49,33,2.73,0.33,3.06,102.2,99.1,89.9,0.352,0.129,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,694629
6,1998-99,1999,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,CLE,NBA,PF,50,10,21.2,2.8,5.9,.476,0.8,1.9,.392,2.1,4.0,.518,.541,0.6,0.7,.879,0.3,1.7,2.0,1.1,0.5,0.2,0.8,2.3,7.0,1058,7.4,15.5,0.476,2.0,5.1,0.392,5.4,10.4,0.518,1.5,1.7,0.879,0.8,4.5,5.4,2.8,1.2,0.5,2.0,5.9,18.3,104,105,1058,11.0,0.562,0.328,0.111,1.9,10.3,6.1,9.7,1.2,0.8,11.2,16.1,1.0,0.7,1.7,0.077,-0.8,-0.7,-1.4,0.2,50.0,12050,1562,3561,0.439,182,534,0.341,1380,3027,0.456,1016,1356,0.749,472,1316,1788,1093,452,203,785,1208,4322,50.0,12050,1597,3664,0.436,236,675,0.35,1361,2989,0.455,978,1316,0.743,591,1405,1996,1056,392,282,821,1198,4408,22,28,22,28,-1.72,0.78,-0.94,99.6,101.6,86.4,0.381,0.15,0.464,15.9,25.1,0.285,0.468,16.2,69.0,0.267,Gund Arena,352992
7,1999-00,2000,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,33,CLE,NBA,PF,63,3,21.0,3.0,6.0,.497,0.5,1.2,.440,2.5,4.8,.511,.541,0.8,0.9,.912,0.9,2.9,3.8,1.1,0.3,0.4,0.9,2.9,7.3,1326,7.1,14.4,0.497,1.2,2.8,0.44,5.9,11.5,0.511,2.0,2.2,0.912,2.1,6.9,9.0,2.5,0.8,0.9,2.1,6.8,17.5,110,106,1326,11.8,0.571,0.197,0.15,4.6,15.6,10.0,8.3,0.8,1.3,12.0,15.1,1.6,1.1,2.7,0.099,-1.1,-0.2,-1.4,0.2,82.0,19855,2977,6734,0.442,343,919,0.373,2634,5815,0.453,1653,2205,0.75,1010,2499,3509,1941,715,363,1427,2219,7950,82.0,19855,2983,6736,0.443,420,1229,0.342,2563,5507,0.465,1851,2385,0.776,1013,2586,3599,1942,659,500,1389,2058,8237,32,50,31,51,-3.5,-0.14,-3.64,100.4,104.0,95.7,0.327,0.136,0.468,15.6,28.1,0.245,0.474,15.1,71.2,0.275,Gund Arena,603702
8,2000-01,2001,Danny Ferry,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,34,SAS,NBA,SF,80,29,21.1,2.2,4.7,.475,0.9,2.0,.449,1.4,2.7,.493,.568,0.3,0.4,.733,0.7,2.1,2.8,0.9,0.4,0.3,0.6,2.1,5.6,1688,5.7,11.9,0.475,2.2,5.0,0.449,3.4,7.0,0.493,0.7,1.0,0.733,1.7,5.3,7.1,2.3,0.9,0.7,1.6,5.4,14.2,112,102,1688,10.1,0.577,0.416,0.08,3.9,10.7,7.5,6.8,0.9,0.9,11.4,12.2,2.1,2.0,4.1,0.117,-0.6,0.6,0.0,0.8,82.0,19830,2884,6262,0.461,445,1094,0.407,2439,5168,0.472,1673,2340,0.715,902,2712,3614,1778,568,576,1145,1551,7886,82.0,19830,2837,6770,0.419,343,1043,0.329,2494,5727,0.435,1233,1664,0.741,967,2432,3399,1617,600,426,1107,1946,7250,58,24,63,19,7.76,0.16,7.92,106.6,98.0,89.6,0.374,0.175,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,Alamodome,913176
9,2001-02,2002,Danny Ferry,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,35,SAS,NBA,SF,50,2,16.0,1.5,3.5,.429,0.9,2.0,.434,0.7,1.6,.423,.551,0.7,0.7,.944,0.3,1.5,1.8,1.0,0.3,0.2,0.4,1.4,4.6,799,5.1,11.8,0.429,2.9,6.6,0.434,2.2,5.2,0.423,2.3,2.4,0.944,1.0,5.0,6.0,3.2,1.1,0.6,1.5,4.7,15.3,119,103,799,11.2,0.594,0.559,0.203,2.2,10.4,6.5,9.4,1.1,0.8,10.2,12.5,1.4,0.9,2.3,0.14,-0.2,0.6,0.4,0.5,82.0,19855,2913,6363,0.458,438,1211,0.362,2475,5152,0.48,1668,2249,0.742,907,2566,3473,1643,625,537,1180,1575,7932,82.0,19855,2883,6775,0.426,374,1108,0.338,2509,5667,0.443,1283,1651,0.777,1003,2429,3432,1543,635,428,1192,1896,7423,58,24,59,23,6.21,0.07,6.28,106.5,99.7,90.0,0.353,0.19,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,906390
