,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2009-10,2010,Alonzo Gee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,WAS,NBA,SG,11,2,16.5,2.5,5.4,0.475,0.6,0.8,0.778,1.9,4.5,0.42,0.534,1.6,2.6,0.621,1.4,1.6,3.0,0.6,0.6,0.1,0.9,1.2,7.4,182,8.1,17.0,0.475,2.0,2.6,0.778,6.0,14.4,0.42,5.2,8.3,0.621,4.3,5.2,9.5,2.0,2.0,0.3,2.9,3.7,23.3,111,110,182,16.2,0.564,0.153,0.492,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,0.3,0.1,0.4,0.108,1.7,-0.1,1.6,0.2,82.0,19830,3008,6700,0.449,432,1225,0.353,2576,5475,0.471,1444,1895,0.762,966,2458,3424,1557,493,421,1219,1752,7892,82.0,19830,3083,6664,0.463,528,1466,0.36,2555,5198,0.492,1590,2088,0.761,935,2530,3465,1772,569,415,1115,1684,8284,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,91.6,0.283,0.183,0.481,13.9,27.6,0.216,0.502,12.8,72.4,0.239,Verizon Center,664398
1,2010-11,2011,Alonzo Gee,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,SAS,NBA,SG,5,0,3.6,0.2,0.6,0.333,0.0,0.0,,0.2,0.6,0.333,0.333,0.0,0.0,,0.4,0.2,0.6,0.0,0.0,0.4,0.6,0.6,0.4,18,2.9,8.7,0.333,0.0,0.0,,2.9,8.7,0.333,0.0,0.0,,5.8,2.9,8.7,0.0,0.0,5.8,8.7,8.7,5.8,52,106,18,-2.1,0.333,0.0,0.0,13.2,6.3,9.7,0.0,0.0,7.9,50.0,15.3,-0.1,0.0,-0.1,-0.175,-8.5,-0.7,-9.2,0.0,82.0,19780,3148,6628,0.475,685,1727,0.397,2463,4901,0.503,1521,1984,0.767,829,2603,3432,1836,602,372,1101,1556,8502,82.0,19780,3127,6860,0.456,479,1305,0.367,2648,5555,0.477,1301,1698,0.766,884,2494,3378,1685,567,374,1095,1701,8034,61,21,56,26,5.71,0.16,5.86,111.8,105.6,92.3,0.299,0.261,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,AT&T Center,750879
2,2010-11,2011,Alonzo Gee,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,WAS,NBA,SG,11,5,11.5,1.1,2.5,0.444,0.0,0.2,0.0,1.1,2.3,0.48,0.444,0.7,1.1,0.667,1.0,1.0,2.0,0.5,0.6,0.0,0.7,0.9,2.9,127,4.8,10.9,0.444,0.0,0.8,0.0,4.8,10.1,0.48,3.2,4.8,0.667,4.4,4.4,8.9,2.0,2.8,0.0,3.2,4.0,12.9,97,110,127,9.9,0.496,0.074,0.444,9.5,10.3,9.9,5.9,2.8,0.0,19.9,14.0,0.0,0.1,0.1,0.023,-2.6,-0.2,-2.8,0.0,82.0,19930,3048,6888,0.443,392,1182,0.332,2656,5706,0.465,1489,1999,0.745,1013,2374,3387,1592,665,502,1258,1850,7977,82.0,19930,3174,6741,0.471,560,1500,0.373,2614,5241,0.499,1676,2202,0.761,994,2607,3601,1898,624,413,1293,1662,8584,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,93.8,0.29,0.172,0.471,13.9,28.0,0.216,0.512,14.4,70.5,0.249,Verizon Center,688466
3,2010-11,2011,Alonzo Gee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,CLE,NBA,SG,40,29,24.3,2.7,5.9,0.462,0.4,1.2,0.347,2.3,4.6,0.492,0.498,1.6,2.0,0.8,1.2,2.7,3.9,0.8,0.8,0.4,1.1,2.0,7.4,973,5.7,12.4,0.462,0.9,2.6,0.347,4.8,9.8,0.492,3.4,4.2,0.8,2.6,5.7,8.3,1.7,1.7,0.8,2.3,4.3,15.7,105,112,973,11.1,0.552,0.209,0.342,5.6,13.1,9.3,5.5,1.7,1.3,14.0,14.6,0.6,0.5,1.0,0.052,-1.9,-0.4,-2.3,-0.1,82.0,19755,2886,6647,0.434,509,1489,0.342,2377,5158,0.461,1546,2075,0.745,856,2449,3305,1720,544,341,1166,1648,7827,82.0,19755,3232,6804,0.475,664,1614,0.411,2568,5190,0.495,1438,1894,0.759,894,2676,3570,1984,619,489,1111,1747,8566,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,93.0,0.312,0.224,0.472,13.4,24.2,0.233,0.524,12.7,73.3,0.211,Quicken Loans Arena,824595
4,2011-12,2012,Alonzo Gee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,CLE,NBA,SG,63,31,29.0,3.6,8.7,0.412,0.7,2.2,0.321,2.9,6.6,0.442,0.452,2.7,3.4,0.788,1.6,3.5,5.1,1.8,1.3,0.3,1.8,2.4,10.6,1827,6.5,15.9,0.412,1.3,3.9,0.321,5.3,11.9,0.442,4.8,6.1,0.788,2.9,6.4,9.3,3.3,2.4,0.5,3.3,4.3,19.1,102,108,1827,13.2,0.516,0.249,0.385,6.1,14.3,10.0,10.6,2.4,0.7,15.0,18.7,1.2,1.2,2.4,0.063,-1.2,-0.2,-1.4,0.3,66.0,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140,66.0,15965,2536,5431,0.467,448,1236,0.362,2088,4195,0.498,1095,1464,0.748,752,2073,2825,1527,524,409,917,1381,6615,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,91.3,0.307,0.238,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,Quicken Loans Arena,525577
5,2012-13,2013,Alonzo Gee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,CLE,NBA,SF,82,82,31.0,3.7,9.1,0.41,0.8,2.7,0.315,2.9,6.4,0.45,0.456,2.0,2.5,0.795,0.9,3.0,3.9,1.6,1.3,0.4,1.6,2.4,10.3,2541,6.2,15.2,0.41,1.4,4.5,0.315,4.8,10.7,0.45,3.3,4.2,0.795,1.5,5.0,6.6,2.7,2.2,0.6,2.7,4.1,17.2,99,110,2541,10.5,0.505,0.294,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,0.5,1.5,1.9,0.036,-2.2,-0.3,-2.6,-0.4,82.0,19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913,82.0,19730,3109,6527,0.476,610,1639,0.372,2499,4888,0.511,1469,1987,0.739,889,2563,3452,1963,624,560,1249,1615,8297,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,92.3,0.265,0.229,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,Quicken Loans Arena,663882
6,2013-14,2014,Alonzo Gee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,CLE,NBA,SF,65,24,15.7,1.5,3.6,0.415,0.3,0.9,0.328,1.2,2.7,0.444,0.456,0.7,0.9,0.705,0.5,1.8,2.3,0.7,0.6,0.2,0.7,1.5,4.0,1020,5.0,11.9,0.415,1.0,2.9,0.328,4.0,9.0,0.444,2.2,3.1,0.705,1.8,5.8,7.5,2.4,2.0,0.8,2.2,4.9,13.0,97,107,1020,8.6,0.491,0.246,0.258,3.8,12.8,8.2,6.9,2.0,1.2,14.3,13.4,-0.1,1.0,0.9,0.041,-3.7,0.6,-3.1,-0.3,82.0,19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054,82.0,19930,3097,6847,0.452,765,2083,0.367,2332,4764,0.49,1365,1803,0.757,841,2648,3489,2037,587,461,1144,1599,8324,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,Quicken Loans Arena,710522
7,2014-15,2015,Alonzo Gee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,DEN,NBA,SF,39,0,13.1,1.7,3.5,0.482,0.3,0.6,0.417,1.4,2.9,0.496,0.518,1.2,1.7,0.738,0.7,1.1,1.8,0.5,0.7,0.2,0.6,1.1,4.9,511,6.5,13.4,0.482,1.0,2.3,0.417,5.5,11.0,0.496,4.7,6.4,0.738,2.8,4.0,6.8,1.9,2.7,0.6,2.4,4.1,18.6,111,108,511,14.0,0.574,0.175,0.474,5.9,9.0,7.4,5.7,2.7,0.9,13.1,16.1,0.7,0.4,1.1,0.1,-0.5,0.7,0.2,0.3,82.0,19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.734,1012,2653,3665,1788,641,367,1166,1882,8320,82.0,19880,3164,6909,0.458,631,1823,0.346,2533,5086,0.498,1652,2208,0.748,899,2798,3697,1894,611,504,1177,1698,8611,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,Pepsi Center,602707
8,2014-15,2015,Alonzo Gee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,POR,NBA,SF,15,2,10.1,1.4,3.3,0.429,0.2,0.7,0.273,1.2,2.5,0.474,0.459,0.4,0.8,0.5,0.5,1.1,1.6,0.4,0.5,0.1,0.5,1.1,3.4,151,7.1,16.5,0.429,1.0,3.7,0.273,6.1,12.8,0.474,2.0,4.0,0.5,2.7,5.4,8.1,2.0,2.4,0.3,2.7,5.4,17.2,93,104,151,9.7,0.47,0.224,0.245,5.8,11.1,8.5,6.0,2.4,0.5,12.8,18.5,-0.1,0.2,0.1,0.039,-3.8,0.6,-3.2,0.0,82.0,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429,82.0,19855,3130,7123,0.439,524,1552,0.338,2606,5571,0.468,1298,1713,0.758,902,2754,3656,1669,655,297,999,1534,8082,51,31,53,29,4.23,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368
9,2015-16,2016,Alonzo Gee,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,NOP,NBA,SF,73,38,22.4,1.8,3.5,0.518,0.2,0.8,0.283,1.6,2.7,0.59,0.551,0.6,0.9,0.667,0.8,2.5,3.4,1.0,0.9,0.2,0.8,2.3,4.5,1632,4.0,7.7,0.518,0.5,1.8,0.283,3.5,5.9,0.59,1.3,2.0,0.667,1.8,5.6,7.4,2.2,1.9,0.4,1.7,5.1,9.9,108,110,1632,8.4,0.572,0.235,0.259,3.9,13.0,8.3,6.2,1.9,0.7,16.2,9.2,1.0,0.9,1.9,0.056,-3.2,0.6,-2.6,-0.2,82.0,19780,3153,7040,0.448,702,1951,0.36,2451,5089,0.482,1415,1823,0.776,782,2712,3494,1818,633,342,1102,1713,8423,82.0,19780,3218,6877,0.468,754,2043,0.369,2464,4834,0.51,1544,1972,0.783,730,2912,3642,1899,602,423,1127,1630,8734,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,96.8,0.259,0.277,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,Smoothie King Center,688549
