,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Kendall Gill,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,CHH,NBA,SG,69,67,35.2,6.7,15.0,0.449,0.2,0.9,0.274,6.5,14.1,0.46,0.457,3.2,4.2,0.772,1.7,3.2,4.9,3.9,1.4,0.5,2.5,2.8,16.9,2430,9.1,20.3,0.449,0.3,1.2,0.274,8.8,19.1,0.46,4.4,5.7,0.772,2.4,4.3,6.7,5.3,1.9,0.7,3.4,3.8,23.0,103,111,2430,14.0,0.503,0.06,0.281,5.6,9.3,7.5,15.8,1.9,0.8,13.0,22.6,1.1,1.7,2.9,0.056,-0.2,-0.6,-0.9,0.7,82.0,19755,3512,7210,0.487,175,537,0.326,3337,6673,0.5,1831,2374,0.771,1095,2508,3603,2161,639,473,1325,1790,9030,82.0,19755,3634,7698,0.472,234,753,0.311,3400,6945,0.49,1548,2080,0.744,1350,2403,3753,2277,599,438,1245,1923,9050,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,100.2,0.329,0.074,0.499,13.8,31.3,0.254,0.487,12.6,65.0,0.201,Charlotte Coliseum,971880
1,1993-94,1994,Kendall Gill,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,25,SEA,NBA,SG,79,77,30.8,5.4,12.3,0.443,0.5,1.5,0.317,4.9,10.7,0.461,0.462,2.7,3.5,0.782,1.2,2.2,3.4,3.5,1.9,0.4,1.8,2.5,14.1,2435,8.9,20.1,0.443,0.8,2.5,0.317,8.1,17.6,0.461,4.5,5.7,0.782,1.9,3.7,5.6,5.7,3.1,0.7,3.0,4.0,23.0,108,103,2435,15.6,0.51,0.124,0.284,4.4,8.6,6.5,16.9,3.1,0.9,11.6,21.7,3.1,3.6,6.7,0.132,0.5,0.9,1.3,2.1,82.0,19730,3338,6901,0.484,242,722,0.335,3096,6179,0.501,1769,2374,0.745,1148,2233,3381,2112,1053,365,1262,1914,8687,82.0,19730,2928,6459,0.453,326,946,0.345,2602,5513,0.472,1760,2374,0.741,1084,2191,3275,1808,686,421,1666,1884,7942,63,19,64,18,9.09,-0.41,8.68,111.1,101.5,95.1,0.344,0.105,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.272,Seattle Center Coliseum,601369
2,1994-95,1995,Kendall Gill,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,26,SEA,NBA,SG,73,58,29.1,5.4,11.8,0.457,0.9,2.3,0.368,4.5,9.4,0.479,0.494,2.1,2.9,0.742,1.4,2.6,4.0,2.6,1.6,0.4,1.9,2.5,13.7,2125,9.3,20.3,0.457,1.5,4.0,0.368,7.8,16.3,0.479,3.7,4.9,0.742,2.3,4.5,6.9,4.5,2.8,0.7,3.3,4.4,23.7,107,107,2125,15.2,0.527,0.199,0.244,5.6,10.5,8.1,13.9,2.8,1.0,12.7,22.2,2.0,2.6,4.6,0.103,0.5,0.0,0.5,1.4,82.0,19830,3310,6741,0.491,491,1305,0.376,2819,5436,0.519,1944,2564,0.758,1068,2337,3405,2115,917,392,1295,2067,9055,82.0,19830,3008,6637,0.453,520,1514,0.343,2488,5123,0.486,1848,2514,0.735,1064,2207,3271,1849,652,493,1485,2024,8384,57,25,61,21,8.18,-0.27,7.91,114.8,106.3,95.5,0.38,0.194,0.527,14.1,32.6,0.288,0.492,16.1,68.7,0.278,Tacoma Dome,633604
3,1995-96,1996,Kendall Gill,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,CHH,NBA,SG,36,36,35.1,5.0,10.3,0.481,0.5,1.5,0.315,4.5,8.8,0.509,0.504,2.5,3.3,0.761,1.6,3.7,5.3,6.3,1.2,0.6,3.1,2.8,12.9,1265,7.4,15.4,0.481,0.7,2.2,0.315,6.7,13.2,0.509,3.7,4.8,0.761,2.3,5.5,7.8,9.3,1.7,0.9,4.6,4.2,19.2,108,112,1265,15.3,0.548,0.145,0.315,5.3,13.0,9.1,27.8,1.7,1.3,20.6,19.1,1.3,0.7,2.0,0.077,1.1,0.2,1.3,1.1,82.0,19880,3108,6618,0.47,584,1520,0.384,2524,5098,0.495,1631,2119,0.77,987,2256,3243,1907,582,277,1241,1815,8431,82.0,19880,3254,6651,0.489,530,1340,0.396,2724,5311,0.513,1440,1957,0.736,953,2358,3311,2049,536,368,1215,1829,8478,41,41,39,43,-0.57,0.09,-0.48,111.2,111.8,91.6,0.32,0.23,0.514,14.1,29.5,0.246,0.529,13.9,70.3,0.217,Charlotte Coliseum,985722
4,1995-96,1996,Kendall Gill,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,NJN,NBA,SG,11,10,38.0,6.1,13.8,0.441,0.8,2.3,0.36,5.3,11.5,0.457,0.47,4.5,5.4,0.831,1.5,2.5,3.9,3.2,2.0,0.2,1.9,2.7,17.5,418,8.5,19.2,0.441,1.1,3.2,0.36,7.3,16.0,0.457,6.2,7.5,0.831,2.0,3.4,5.4,4.4,2.8,0.3,2.7,3.8,24.3,114,108,418,16.2,0.539,0.164,0.388,4.1,7.3,5.7,14.9,2.8,0.4,10.6,20.8,0.7,0.4,1.2,0.133,0.3,1.4,1.6,0.4,82.0,19905,2881,6750,0.427,250,746,0.335,2631,6004,0.438,1672,2244,0.745,1350,2503,3853,1752,627,571,1375,1880,7684,82.0,19905,3006,6625,0.454,543,1415,0.384,2463,5210,0.473,1476,1994,0.74,1028,2355,3383,1876,665,516,1270,1925,8031,30,52,29,53,-4.23,0.09,-4.14,101.9,106.5,90.9,0.332,0.111,0.445,15.1,36.4,0.248,0.495,14.5,70.9,0.223,Brendan Byrne Arena,638144
5,1996-97,1997,Kendall Gill,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,NJN,NBA,SF,82,81,39.0,7.9,17.7,0.443,0.9,2.7,0.336,7.0,15.0,0.462,0.469,5.2,6.5,0.797,2.2,3.9,6.1,4.0,1.9,0.6,2.7,2.7,21.8,3199,10.5,23.6,0.443,1.2,3.6,0.336,9.3,20.0,0.462,6.9,8.7,0.797,3.0,5.1,8.1,5.3,2.5,0.7,3.5,3.7,29.1,112,109,3199,19.6,0.53,0.151,0.369,5.8,11.4,8.4,18.3,2.5,1.1,11.4,25.4,6.6,2.2,8.8,0.132,2.8,0.1,2.9,4.0,82.0,19780,2994,7091,0.422,484,1371,0.353,2510,5720,0.439,1502,2031,0.74,1410,2376,3786,1726,677,481,1290,1865,7974,82.0,19780,3100,6684,0.464,520,1398,0.372,2580,5286,0.488,1628,2185,0.745,1065,2464,3529,1925,675,516,1257,1780,8348,26,56,28,54,-4.56,0.67,-3.89,104.7,109.7,92.4,0.286,0.193,0.456,13.9,36.4,0.212,0.503,14.1,69.0,0.244,Continental Airlines Arena,670628
6,1997-98,1998,Kendall Gill,11T,0.0,1.0,1.0,false,0.0,1.0,500.0,29,NJN,NBA,SF,81,81,33.7,5.2,12.0,0.429,0.3,1.2,0.257,4.8,10.8,0.449,0.443,2.8,4.0,0.688,1.4,3.4,4.8,2.5,1.9,0.8,1.5,3.3,13.4,2733,8.1,18.8,0.429,0.5,1.9,0.257,7.6,16.8,0.449,4.3,6.3,0.688,2.2,5.4,7.5,3.9,3.0,1.2,2.4,5.2,21.0,106,105,2733,14.9,0.486,0.104,0.336,4.5,12.6,8.3,11.9,3.0,1.7,10.0,19.8,2.9,3.0,5.9,0.104,0.0,1.5,1.4,2.3,82.0,19880,3055,6928,0.441,310,937,0.331,2745,5991,0.458,1750,2351,0.744,1344,2137,3481,1685,777,314,1180,1917,8170,82.0,19880,3016,6406,0.471,356,1030,0.346,2660,5376,0.495,1653,2211,0.748,1079,2316,3395,1771,616,515,1482,2023,8041,43,39,46,36,1.57,0.31,1.88,108.3,106.6,91.0,0.339,0.135,0.463,12.9,36.7,0.253,0.499,16.7,66.4,0.258,Continental Airlines Arena,718514
7,1998-99,1999,Kendall Gill,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,30,NJN,NBA,SF,50,47,32.1,4.7,11.9,0.398,0.0,0.3,0.118,4.7,11.5,0.406,0.4,2.3,3.3,0.683,1.2,3.7,4.9,2.5,2.7,0.5,1.4,3.2,11.8,1606,7.7,19.4,0.398,0.1,0.6,0.118,7.6,18.8,0.406,3.7,5.5,0.683,2.0,6.0,8.0,4.0,4.4,0.8,2.3,5.3,19.2,96,100,1606,14.8,0.441,0.029,0.282,4.0,13.3,8.4,13.8,4.4,1.2,9.6,20.3,0.3,2.2,2.6,0.076,-1.8,2.4,0.6,1.1,50.0,12050,1691,4160,0.406,225,679,0.331,1466,3481,0.421,962,1251,0.769,715,1437,2152,923,491,273,750,1134,4569,50.0,12050,1796,3968,0.453,223,654,0.341,1573,3314,0.475,943,1298,0.727,624,1581,2205,968,395,326,813,1084,4758,16,34,18,32,-3.78,0.58,-3.2,99.5,103.6,91.5,0.301,0.163,0.434,13.7,31.1,0.231,0.481,15.2,69.7,0.238,Continental Airlines Arena,400387
8,1999-00,2000,Kendall Gill,8T,0.0,2.0,1.0,false,0.0,1.0,500.0,31,NJN,NBA,SF,76,75,31.0,5.2,12.6,0.414,0.3,1.0,0.256,4.9,11.6,0.428,0.425,2.4,3.4,0.71,1.1,2.6,3.7,2.8,1.8,0.5,1.2,2.8,13.1,2355,8.7,21.1,0.414,0.4,1.7,0.256,8.3,19.3,0.428,4.0,5.6,0.71,1.8,4.4,6.2,4.6,3.1,0.9,2.0,4.6,21.9,101,105,2355,15.2,0.465,0.082,0.267,3.7,9.8,6.7,15.3,3.1,1.2,7.7,21.9,1.6,2.1,3.7,0.076,-0.7,0.7,0.0,1.2,82.0,19830,2979,6881,0.433,477,1374,0.347,2502,5507,0.454,1601,2041,0.784,1040,2315,3355,1688,720,393,1119,1913,8036,82.0,19830,3125,6741,0.464,368,1013,0.363,2757,5728,0.481,1503,2012,0.747,1129,2657,3786,1866,568,469,1366,1869,8121,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,92.5,0.297,0.2,0.468,12.6,28.1,0.233,0.491,15.2,67.2,0.223,Continental Airlines Arena,643631
9,2000-01,2001,Kendall Gill,-1,0.0,2.0,0.0,false,0.0,0.0,500.0,32,NJN,NBA,SG,31,26,28.8,3.5,10.4,0.331,0.1,0.5,0.286,3.3,10.0,0.333,0.337,2.1,2.9,0.722,1.0,3.2,4.2,2.8,1.5,0.2,1.5,2.1,9.1,892,6.3,18.9,0.331,0.2,0.8,0.286,6.0,18.1,0.333,3.8,5.3,0.722,1.9,5.8,7.7,5.1,2.8,0.4,2.8,3.8,16.6,85,105,892,10.1,0.39,0.043,0.279,4.0,13.1,8.4,16.7,2.8,0.6,11.7,20.9,-1.1,0.8,-0.4,-0.021,-3.0,0.3,-2.7,-0.2,82.0,19730,2781,6550,0.425,361,1084,0.333,2420,5466,0.443,1629,2146,0.759,909,2337,3246,1603,649,407,1208,1982,7552,82.0,19730,2937,6452,0.455,428,1189,0.36,2509,5263,0.477,1664,2231,0.746,1001,2622,3623,1840,619,522,1304,1808,7966,26,56,26,56,-5.05,-0.25,-5.3,100.0,105.5,91.8,0.328,0.165,0.452,13.9,25.7,0.249,0.488,14.9,70.0,0.258,Continental Airlines Arena,556573
