,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1998-99,1999,Matt Harpring,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,ORL,NBA,SF,50,22,22.3,3.0,6.4,.463,0.2,0.5,.400,2.8,5.9,.468,.478,2.0,2.9,.713,1.8,2.5,4.3,0.9,0.6,0.1,1.5,2.2,8.2,1114,7.2,15.5,0.463,0.5,1.2,0.4,6.7,14.3,0.468,4.9,6.9,0.713,4.3,6.1,10.4,2.2,1.5,0.3,3.5,5.4,19.8,103,100,1114,13.0,0.533,0.078,0.447,9.0,13.4,11.2,7.1,1.5,0.4,16.0,18.6,1.2,1.5,2.6,0.113,-1.5,-0.3,-1.7,0.1,50.0,12050,1687,3943,0.428,223,675,0.33,1464,3268,0.448,876,1252,0.7,688,1445,2133,1067,496,213,819,935,4473,50.0,12050,1708,3856,0.443,230,667,0.345,1478,3189,0.463,697,986,0.707,595,1424,2019,1039,468,239,863,1111,4343,33,17,30,20,2.6,0.51,3.11,100.3,97.4,88.8,0.318,0.171,0.456,15.4,32.6,0.222,0.473,16.7,70.8,0.181,Orlando Arena,411091
1,1999-00,2000,Matt Harpring,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,ORL,NBA,SF,4,0,15.8,1.0,4.3,.235,0.5,0.5,1.000,0.5,3.8,.133,.294,1.5,1.8,.857,1.3,1.8,3.0,2.0,1.3,0.3,0.3,1.8,4.0,63,3.1,13.3,0.235,1.6,1.6,1.0,1.6,11.7,0.133,4.7,5.5,0.857,3.9,5.5,9.4,6.3,3.9,0.8,0.8,5.5,12.5,110,98,63,14.2,0.398,0.118,0.412,8.7,12.1,10.4,17.2,3.9,1.1,4.7,14.1,0.1,0.1,0.2,0.146,0.2,3.0,3.2,0.1,82.0,19755,3169,7014,0.452,294,870,0.338,2875,6144,0.468,1574,2142,0.735,1145,2540,3685,1709,743,467,1443,1967,8206,82.0,19755,3076,6919,0.445,431,1277,0.338,2645,5642,0.469,1567,2104,0.745,1094,2473,3567,1991,724,475,1488,2008,8150,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,97.3,0.305,0.124,0.473,15.4,31.6,0.224,0.476,15.9,69.9,0.226,TD Waterhouse Centre,576409
2,2000-01,2001,Matt Harpring,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,CLE,NBA,SG,56,55,28.8,4.3,9.4,.454,0.2,0.9,.250,4.0,8.4,.477,.467,2.4,2.9,.812,1.6,2.7,4.3,1.8,0.8,0.3,1.6,2.9,11.1,1615,7.8,17.1,0.454,0.4,1.7,0.25,7.3,15.4,0.477,4.4,5.4,0.812,2.9,5.0,7.9,3.3,1.4,0.6,2.9,5.2,20.3,104,107,1615,13.3,0.522,0.099,0.315,6.5,10.9,8.7,10.9,1.4,0.8,13.1,19.2,1.8,0.8,2.6,0.077,-0.4,-1.0,-1.3,0.3,82.0,19830,2890,6532,0.442,220,659,0.334,2670,5873,0.455,1561,2040,0.765,1015,2440,3455,1708,642,436,1350,1904,7561,82.0,19830,2927,6582,0.445,422,1155,0.365,2505,5427,0.462,1633,2125,0.768,990,2400,3390,1880,694,542,1229,1810,7909,30,52,28,54,-4.24,-0.23,-4.48,100.3,104.9,91.2,0.312,0.101,0.459,15.4,29.7,0.239,0.477,14.1,71.1,0.248,Gund Arena,650775
3,2001-02,2002,Matt Harpring,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,PHI,NBA,SF,81,81,31.4,4.8,10.3,.461,0.3,0.9,.304,4.5,9.5,.475,.473,2.0,2.7,.743,2.5,4.6,7.1,1.3,0.9,0.1,1.6,2.5,11.8,2541,8.2,17.8,0.461,0.4,1.5,0.304,7.8,16.3,0.475,3.5,4.7,0.743,4.3,7.9,12.2,2.3,1.5,0.1,2.7,4.3,20.4,105,102,2541,14.1,0.512,0.082,0.265,9.2,16.3,12.8,7.5,1.5,0.1,12.0,19.1,2.6,3.6,6.1,0.115,-0.5,-0.3,-0.8,0.8,82.0,19730,2804,6436,0.436,214,715,0.299,2590,5721,0.453,1639,2104,0.779,1092,2534,3626,1638,705,363,1256,1645,7461,82.0,19730,2771,6500,0.426,438,1322,0.331,2333,5178,0.451,1350,1798,0.751,981,2348,3329,1768,654,458,1208,1827,7330,43,39,46,36,1.6,-0.33,1.27,102.1,100.3,88.9,0.327,0.111,0.452,14.6,31.7,0.255,0.46,14.2,72.1,0.208,First Union Center,842976
4,2002-03,2003,Matt Harpring,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,UTA,NBA,SF,78,69,32.8,6.7,13.1,.511,0.8,2.1,.413,5.8,11.0,.529,.543,3.4,4.2,.792,2.4,4.2,6.6,1.7,0.9,0.2,2.1,2.8,17.6,2557,11.0,21.4,0.511,1.4,3.4,0.413,9.6,18.1,0.529,5.5,7.0,0.792,4.0,6.8,10.8,2.8,1.5,0.4,3.4,4.6,28.8,113,104,2557,19.3,0.588,0.157,0.325,9.4,14.8,12.2,9.9,1.5,0.5,12.1,23.9,6.4,2.4,8.8,0.166,3.0,-1.1,1.9,2.6,82.0,19780,2894,6189,0.468,224,641,0.349,2670,5548,0.481,1750,2349,0.745,1021,2381,3402,2103,708,467,1374,1837,7762,82.0,19780,2751,6346,0.434,437,1252,0.349,2314,5094,0.454,1627,2143,0.759,1011,2120,3131,1601,723,427,1305,1950,7566,47,35,48,34,2.39,0.37,2.76,105.5,102.8,89.3,0.38,0.104,0.486,16.0,32.5,0.283,0.468,15.2,70.2,0.256,Delta Center,786034
5,2003-04,2004,Matt Harpring,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,UTA,NBA,SF,31,31,36.6,6.2,13.2,.471,0.3,1.1,.242,6.0,12.2,.491,.480,3.5,5.1,.688,2.9,5.0,8.0,2.0,0.7,0.1,2.1,3.3,16.2,1134,9.4,20.0,0.471,0.4,1.6,0.242,9.0,18.4,0.491,5.3,7.7,0.688,4.4,7.6,12.1,3.1,1.1,0.1,3.2,5.0,24.5,107,105,1134,16.1,0.524,0.08,0.383,9.8,17.3,13.5,10.9,1.1,0.1,11.9,22.3,1.9,0.9,2.8,0.116,1.0,-1.8,-0.8,0.3,82.0,19780,2690,6172,0.436,252,786,0.321,2438,5386,0.453,1639,2196,0.746,1103,2272,3375,1671,583,494,1365,2096,7271,82.0,19780,2541,5879,0.432,415,1209,0.343,2126,4670,0.455,1874,2431,0.771,868,2131,2999,1528,666,530,1262,1999,7371,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,86.6,0.356,0.127,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,Delta Center,785330
6,2004-05,2005,Matt Harpring,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,UTA,NBA,SF,78,55,33.1,5.4,11.0,.489,0.1,0.6,.209,5.2,10.4,.504,.494,3.1,4.0,.778,2.5,3.6,6.2,1.8,0.9,0.2,1.7,3.2,14.0,2584,8.8,18.0,0.489,0.2,0.9,0.209,8.6,17.1,0.504,5.2,6.6,0.778,4.1,6.0,10.1,3.0,1.5,0.3,2.8,5.3,22.9,111,111,2584,15.5,0.549,0.05,0.368,9.2,14.0,11.5,9.9,1.5,0.5,11.8,20.1,4.2,1.2,5.5,0.102,0.9,-1.2,-0.3,1.1,82.0,19780,2828,6301,0.449,250,762,0.328,2578,5539,0.465,1719,2272,0.757,1047,2243,3290,1826,541,374,1292,2189,7625,82.0,19780,2731,5965,0.458,486,1297,0.375,2245,4668,0.481,2027,2653,0.764,859,2230,3089,1592,646,474,1182,2058,7975,26,56,29,53,-4.27,0.53,-3.74,104.7,109.5,88.4,0.361,0.121,0.469,15.0,31.9,0.273,0.499,14.2,72.3,0.34,Delta Center,769014
7,2005-06,2006,Matt Harpring,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,29,UTA,NBA,SF,71,32,27.4,4.5,9.5,.475,0.2,0.5,.359,4.3,9.0,.482,.485,3.2,4.4,.725,2.2,3.0,5.2,1.4,0.8,0.2,1.5,2.8,12.5,1944,9.1,19.1,0.475,0.4,1.1,0.359,8.7,18.0,0.482,6.4,8.8,0.725,4.4,5.9,10.3,2.8,1.7,0.4,3.1,5.7,24.9,110,108,1944,16.3,0.542,0.058,0.462,9.8,13.2,11.5,9.6,1.7,0.6,11.8,22.0,3.1,1.6,4.7,0.115,0.6,-1.2,-0.6,0.7,82.0,19880,2744,6207,0.442,311,925,0.336,2433,5282,0.461,1774,2466,0.719,1071,2380,3451,1772,524,492,1290,2032,7573,82.0,19880,2730,6077,0.449,490,1297,0.378,2240,4780,0.469,1839,2466,0.746,871,2237,3108,1511,663,463,1166,2104,7789,41,41,33,49,-2.63,0.14,-2.49,104.1,107.0,87.8,0.397,0.149,0.467,15.0,32.4,0.286,0.49,14.0,73.2,0.303,Delta Center,751621
8,2006-07,2007,Matt Harpring,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,30,UTA,NBA,SF,77,2,25.5,4.2,8.5,.491,0.2,0.5,.333,4.0,8.0,.501,.501,3.1,4.0,.767,1.5,3.1,4.6,1.3,0.7,0.1,1.5,3.0,11.6,1965,8.6,17.5,0.491,0.3,1.0,0.333,8.2,16.5,0.501,6.3,8.2,0.767,3.1,6.3,9.4,2.6,1.4,0.3,3.1,6.2,23.8,111,108,1965,14.7,0.564,0.059,0.471,7.3,14.6,10.9,8.2,1.4,0.5,13.0,20.8,3.1,1.6,4.7,0.115,-0.4,-0.7,-1.0,0.5,82.0,19805,3069,6471,0.474,354,1056,0.335,2715,5415,0.501,1830,2462,0.743,1030,2456,3486,2024,577,339,1277,2067,8322,82.0,19805,2819,6191,0.455,506,1424,0.355,2313,4767,0.485,1943,2534,0.767,813,2223,3036,1552,623,438,1230,2010,8087,51,31,49,33,2.87,0.2,3.06,110.1,107.0,91.6,0.38,0.163,0.502,14.5,31.7,0.283,0.496,14.4,75.1,0.314,EnergySolutions Arena,802214
9,2007-08,2008,Matt Harpring,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,31,UTA,NBA,SF,76,0,18.1,3.1,6.2,.500,0.0,0.1,.200,3.1,6.1,.506,.502,1.9,2.7,.712,1.3,1.9,3.2,1.1,0.6,0.2,1.3,2.1,8.2,1374,8.9,17.8,0.5,0.1,0.4,0.2,8.8,17.4,0.506,5.5,7.7,0.712,3.6,5.4,9.0,3.1,1.7,0.5,3.6,6.1,23.3,107,108,1374,14.1,0.551,0.021,0.432,8.6,12.7,10.7,9.0,1.7,0.8,14.4,21.5,1.4,1.4,2.8,0.096,-1.0,-0.9,-1.9,0.0,82.0,19705,3279,6592,0.497,407,1095,0.372,2872,5497,0.522,1745,2298,0.759,942,2410,3352,2165,717,355,1200,1970,8710,82.0,19705,2896,6286,0.461,506,1419,0.357,2390,4867,0.491,1848,2468,0.749,844,2256,3100,1629,619,420,1305,1891,8146,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,93.2,0.349,0.166,0.528,13.6,29.5,0.265,0.501,15.0,74.1,0.294,EnergySolutions Arena,816211
