,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2011-12,2012,Tobias Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,19,MIL,NBA,SF,42,9,11.4,1.9,4.0,0.467,0.1,0.5,0.261,1.7,3.5,0.5,0.485,1.0,1.3,0.815,0.7,1.7,2.4,0.5,0.3,0.2,0.7,1.1,5.0,479,8.4,18.1,0.467,0.6,2.5,0.261,7.8,15.6,0.5,4.7,5.8,0.815,3.2,7.6,10.8,2.4,1.4,0.7,3.3,4.8,22.2,104,106,479,14.2,0.54,0.136,0.32,6.7,16.8,11.6,7.4,1.4,1.1,13.9,20.6,0.4,0.4,0.9,0.087,-1.0,-0.9,-1.9,0.0,66.0,15865,2502,5652,0.443,436,1265,0.345,2066,4387,0.471,1095,1415,0.774,820,1983,2803,1550,548,335,929,1273,6535,66.0,15865,2449,5453,0.449,438,1247,0.351,2011,4206,0.478,1181,1535,0.769,813,2138,2951,1433,499,297,1049,1278,6517,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,93.7,0.25,0.224,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,Bradley Center,485717
1,2012-13,2013,Tobias Harris,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,20,MIL,NBA,SF,28,14,11.6,1.9,4.1,0.461,0.3,0.8,0.333,1.6,3.4,0.489,0.491,0.8,0.9,0.885,0.6,1.4,2.0,0.5,0.3,0.3,0.6,1.1,4.9,325,8.3,17.9,0.461,1.1,3.3,0.333,7.2,14.7,0.489,3.6,4.1,0.885,2.7,6.2,8.9,2.0,1.2,1.1,2.8,4.8,21.2,104,107,325,13.0,0.538,0.183,0.226,5.4,13.7,9.4,6.4,1.2,1.6,12.5,19.4,0.2,0.3,0.5,0.08,-1.5,-0.6,-2.1,0.0,82.0,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108,82.0,19830,3152,6946,0.454,529,1519,0.348,2623,5427,0.483,1398,1841,0.759,1019,2757,3776,1893,658,362,1310,1567,8231,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,94.7,0.236,0.232,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,BMO Harris Bradley Center,616469
2,2012-13,2013,Tobias Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,20,ORL,NBA,PF,27,20,36.1,6.7,14.7,0.453,1.0,3.2,0.31,5.7,11.5,0.494,0.487,3.0,4.1,0.721,2.1,6.4,8.5,2.1,0.9,1.4,1.8,3.3,17.3,974,9.6,21.2,0.453,1.4,4.7,0.31,8.2,16.6,0.494,4.3,5.9,0.721,3.0,9.3,12.3,3.0,1.3,2.0,2.6,4.8,25.0,105,107,974,17.0,0.524,0.219,0.28,6.5,20.2,13.3,9.6,1.3,2.9,9.7,23.1,1.0,0.9,1.9,0.092,0.5,-0.5,0.0,0.5,82.0,19780,3093,6904,0.448,506,1537,0.329,2587,5367,0.482,1026,1359,0.755,890,2612,3502,1871,528,358,1191,1591,7718,82.0,19780,3169,6842,0.463,617,1721,0.359,2552,5121,0.498,1336,1811,0.738,888,2618,3506,1946,592,430,1020,1353,8291,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,92.2,0.197,0.223,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,Amway Center,722716
3,2013-14,2014,Tobias Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,ORL,NBA,PF,61,36,30.3,5.4,11.7,0.464,0.5,2.1,0.254,4.9,9.7,0.508,0.486,3.2,4.0,0.807,1.4,5.5,7.0,1.3,0.7,0.4,1.3,2.3,14.6,1850,9.2,19.8,0.464,0.9,3.5,0.254,8.3,16.3,0.508,5.5,6.8,0.807,2.4,9.3,11.7,2.3,1.1,0.7,2.2,4.0,24.7,108,107,1850,16.5,0.542,0.176,0.341,5.4,20.6,13.0,7.7,1.1,1.0,8.7,22.2,2.4,1.7,4.1,0.107,0.0,-0.7,-0.7,0.6,82.0,19955,3022,6784,0.445,563,1596,0.353,2459,5188,0.474,1307,1714,0.763,794,2654,3448,1726,630,350,1222,1678,7914,82.0,19955,3126,6861,0.456,659,1778,0.371,2467,5083,0.485,1449,1881,0.77,859,2746,3605,1848,581,445,1146,1500,8360,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211,Amway Center,666046
4,2014-15,2015,Tobias Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,ORL,NBA,SF,68,63,34.8,6.5,14.0,0.466,1.3,3.5,0.364,5.2,10.4,0.5,0.512,2.8,3.6,0.788,1.1,5.3,6.3,1.8,1.0,0.5,1.7,2.0,17.1,2369,9.5,20.5,0.466,1.9,5.2,0.364,7.7,15.3,0.5,4.2,5.3,0.788,1.6,7.7,9.3,2.7,1.5,0.8,2.5,2.9,25.1,107,108,2369,16.7,0.551,0.252,0.258,3.4,17.3,10.3,8.8,1.5,1.2,9.8,22.5,3.0,1.8,4.8,0.098,1.1,-0.6,0.5,1.5,82.0,19755,3076,6792,0.453,554,1598,0.347,2522,5194,0.486,1141,1565,0.729,822,2607,3429,1692,647,314,1221,1714,7847,82.0,19755,3112,6720,0.463,682,1853,0.368,2430,4867,0.499,1410,1878,0.751,825,2739,3564,1921,635,441,1185,1467,8316,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21,Amway Center,688194
5,2015-16,2016,Tobias Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,ORL,NBA,PF,49,49,32.9,5.1,11.0,0.464,1.0,3.1,0.311,4.2,8.0,0.523,0.507,2.4,3.1,0.784,1.4,5.5,7.0,2.0,1.0,0.6,1.6,1.9,13.7,1610,7.8,16.8,0.464,1.5,4.7,0.311,6.3,12.1,0.523,3.7,4.8,0.784,2.2,8.4,10.6,3.1,1.5,0.9,2.4,2.8,20.8,107,107,1610,15.0,0.55,0.279,0.283,4.8,18.9,11.8,9.3,1.5,1.4,11.4,18.9,1.7,1.6,3.3,0.099,0.5,0.1,0.6,1.0,82.0,19905,3242,7120,0.455,636,1818,0.35,2606,5302,0.492,1249,1649,0.757,843,2709,3552,1933,673,417,1155,1701,8369,82.0,19905,3150,6850,0.46,732,2041,0.359,2418,4809,0.503,1470,1971,0.746,832,2800,3632,1899,620,448,1240,1497,8502,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,96.0,0.232,0.255,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,Amway Center,719275
6,2015-16,2016,Tobias Harris,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,DET,NBA,PF,27,25,33.4,6.1,12.9,0.477,1.2,3.3,0.375,4.9,9.6,0.512,0.524,3.0,3.3,0.911,0.9,5.3,6.2,2.6,0.7,0.4,1.1,2.3,16.6,903,9.3,19.5,0.477,1.8,4.9,0.375,7.4,14.5,0.512,4.6,5.0,0.911,1.4,8.0,9.4,3.9,1.0,0.7,1.7,3.5,25.0,120,106,903,18.2,0.577,0.253,0.259,2.9,18.0,10.2,12.9,1.0,1.0,7.2,20.2,2.3,0.9,3.3,0.174,2.4,0.7,3.1,1.2,82.0,19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,1399,2095,0.668,1021,2777,3798,1594,573,304,1110,1557,8361,82.0,19880,3182,6903,0.461,596,1679,0.355,2586,5224,0.495,1351,1726,0.783,725,2763,3488,1766,583,366,1099,1773,8311,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,95.1,0.296,0.303,0.491,12.2,27.0,0.197,0.504,12.5,79.3,0.196,The Palace of Auburn Hills,677138
7,2016-17,2017,Tobias Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,DET,NBA,PF,82,48,31.3,6.2,13.0,0.481,1.3,3.8,0.347,4.9,9.1,0.537,0.532,2.3,2.8,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1,2567,10.1,20.9,0.481,2.1,6.2,0.347,7.9,14.7,0.537,3.7,4.4,0.841,1.2,6.9,8.2,2.8,1.2,0.8,1.9,2.6,26.0,113,108,2567,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4.0,2.8,6.8,0.128,1.3,0.3,1.6,2.3,82.0,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,973,1467,8309,82.0,19805,3144,6830,0.46,767,2098,0.366,2377,4732,0.502,1346,1726,0.78,656,2861,3517,1929,551,339,1046,1434,8401,37,45,38,44,-1.12,-0.17,-1.29,106.0,107.1,95.0,0.218,0.263,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,The Palace of Auburn Hills,655141
8,2017-18,2018,Tobias Harris,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,DET,NBA,PF,48,48,32.6,6.7,14.8,0.451,2.4,5.8,0.409,4.3,9.0,0.478,0.531,2.4,2.8,0.846,0.8,4.3,5.1,2.0,0.7,0.3,1.1,1.9,18.1,1563,10.2,22.6,0.451,3.6,8.8,0.409,6.6,13.8,0.478,3.7,4.3,0.846,1.1,6.6,7.8,3.0,1.1,0.5,1.6,2.9,27.7,113,109,1563,16.7,0.564,0.389,0.192,2.5,15.0,8.6,9.9,1.1,0.9,6.2,23.2,2.6,1.5,4.1,0.125,2.2,-0.5,1.7,1.5,82.0,19805,3208,7129,0.45,886,2373,0.373,2322,4756,0.488,1207,1621,0.745,830,2756,3586,1868,628,317,1103,1508,8509,82.0,19805,3206,6988,0.459,908,2527,0.359,2298,4461,0.515,1201,1548,0.776,756,2833,3589,2064,597,398,1215,1511,8521,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,96.2,0.227,0.333,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,Little Caesars Arena,713945
9,2017-18,2018,Tobias Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,LAC,NBA,PF,32,32,34.5,7.6,16.0,0.473,2.2,5.3,0.414,5.4,10.7,0.501,0.541,2.0,2.5,0.8,0.7,5.3,6.0,3.1,1.2,0.6,1.7,2.3,19.3,1105,10.6,22.5,0.473,3.1,7.4,0.414,7.6,15.1,0.501,2.8,3.5,0.8,1.0,7.5,8.5,4.3,1.6,0.9,2.4,3.2,27.2,111,110,1105,17.7,0.565,0.33,0.156,2.2,16.8,9.6,14.3,1.6,1.5,9.0,23.5,1.6,1.0,2.6,0.112,2.3,-0.2,2.1,1.2,82.0,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1204,1638,8937,82.0,19705,3298,7194,0.458,881,2477,0.356,2417,4717,0.512,1457,1864,0.782,871,2706,3577,2015,699,462,1154,1803,8934,42,40,41,41,0.04,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,697812
