,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2005-06,2006,Chuck Hayes,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,HOU,NBA,PF,40,0,13.4,1.5,2.6,0.562,0.0,0.0,0.0,1.5,2.6,0.567,0.562,0.7,1.1,0.644,1.7,2.8,4.5,0.4,0.7,0.4,0.3,1.9,3.7,535,6.0,10.7,0.562,0.0,0.1,0.0,6.0,10.6,0.567,3.0,4.6,0.644,6.8,11.4,18.2,1.4,2.6,1.4,1.2,7.7,15.0,127,98,535,18.0,0.589,0.01,0.429,14.9,24.1,19.6,4.6,2.6,2.1,8.8,12.2,1.2,1.1,2.4,0.212,0.2,1.6,1.8,0.5,82.0,19830,2708,6252,0.433,469,1414,0.332,2239,4838,0.463,1502,1980,0.759,849,2565,3414,1580,588,320,1193,1863,7387,82.0,19830,2708,6310,0.429,541,1465,0.369,2167,4845,0.447,1560,2135,0.731,874,2477,3351,1647,582,373,1094,1716,7517,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,636110
1,2006-07,2007,Chuck Hayes,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,23,HOU,NBA,PF,78,43,22.0,2.5,4.3,0.573,0.0,0.0,,2.5,4.3,0.573,0.573,0.7,1.1,0.618,2.6,4.1,6.7,0.6,0.9,0.2,0.8,3.6,5.6,1714,5.9,10.3,0.573,0.0,0.0,,5.9,10.3,0.573,1.7,2.7,0.618,6.3,9.8,16.1,1.5,2.2,0.6,2.0,8.7,13.6,119,98,1714,13.9,0.587,0.0,0.266,13.8,21.1,17.5,4.4,2.2,0.8,14.6,11.9,2.9,3.6,6.4,0.179,-2.3,1.6,-0.7,0.6,82.0,19855,2906,6528,0.445,705,1893,0.372,2201,4635,0.475,1436,1906,0.753,880,2673,3553,1704,583,337,1162,1710,7953,82.0,19855,2793,6503,0.429,472,1346,0.351,2321,5157,0.45,1497,2000,0.749,800,2548,3348,1588,571,353,1163,1631,7555,52,30,55,27,4.85,0.19,5.04,106.0,100.7,90.7,0.292,0.29,0.499,13.6,25.7,0.22,0.466,13.6,77.0,0.23,Toyota Center,678362
2,2007-08,2008,Chuck Hayes,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,24,HOU,NBA,PF,79,44,19.9,1.4,2.8,0.511,0.0,0.0,0.0,1.4,2.8,0.518,0.511,0.1,0.3,0.458,1.7,3.7,5.4,1.2,1.1,0.5,0.8,2.7,3.0,1575,3.8,7.5,0.511,0.0,0.1,0.0,3.8,7.4,0.518,0.4,0.8,0.458,4.5,9.9,14.4,3.1,2.9,1.5,2.1,7.2,8.0,107,97,1575,11.2,0.512,0.014,0.109,9.6,20.8,15.3,8.4,2.9,2.0,21.1,8.5,0.8,3.7,4.4,0.136,-3.2,4.1,0.8,1.1,82.0,19730,3003,6698,0.448,583,1707,0.342,2420,4991,0.485,1342,1848,0.726,1002,2659,3661,1757,598,420,1125,1609,7931,82.0,19730,2852,6594,0.433,433,1186,0.365,2419,5408,0.447,1410,1912,0.737,894,2441,3335,1548,622,379,1094,1615,7547,55,27,55,27,4.68,0.15,4.83,106.8,101.6,90.4,0.276,0.255,0.492,13.0,29.1,0.2,0.465,12.8,74.8,0.214,Toyota Center,718524
3,2008-09,2009,Chuck Hayes,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,25,HOU,NBA,C,71,1,12.1,0.6,1.6,0.372,0.0,0.1,0.0,0.6,1.5,0.385,0.372,0.1,0.3,0.368,1.0,2.5,3.5,0.6,0.5,0.3,0.4,1.9,1.3,858,2.6,7.0,0.372,0.0,0.2,0.0,2.6,6.8,0.385,0.4,1.2,0.368,4.6,10.9,15.5,2.6,2.1,1.2,1.6,8.3,5.6,98,100,858,7.8,0.375,0.035,0.168,10.5,23.0,17.0,7.0,2.1,1.6,17.1,7.9,-0.1,1.7,1.6,0.092,-4.1,2.6,-1.5,0.1,82.0,19805,2959,6526,0.453,621,1656,0.375,2338,4870,0.48,1531,1903,0.805,862,2662,3524,1662,548,355,1158,1553,8070,82.0,19805,2991,6735,0.444,464,1298,0.357,2527,5437,0.465,1296,1730,0.749,873,2399,3272,1620,588,435,1012,1689,7742,53,29,53,29,4.0,-0.27,3.73,108.4,104.0,90.2,0.292,0.254,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192,Toyota Center,717669
4,2009-10,2010,Chuck Hayes,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,HOU,NBA,C,82,82,21.6,2.0,4.0,0.489,0.0,0.0,,2.0,4.0,0.489,0.489,0.4,0.8,0.545,1.8,3.8,5.7,1.7,0.9,0.5,0.9,2.7,4.4,1773,4.6,9.5,0.489,0.0,0.0,,4.6,9.5,0.489,1.0,1.9,0.545,4.3,9.0,13.4,4.0,2.1,1.2,2.1,6.3,10.3,108,105,1773,11.7,0.5,0.0,0.201,9.4,21.1,15.0,11.4,2.1,1.8,17.1,10.8,1.2,2.4,3.6,0.098,-2.2,2.0,-0.2,0.8,82.0,19905,3094,6923,0.447,646,1838,0.351,2448,5085,0.481,1561,2022,0.772,971,2471,3442,1790,583,318,1188,1712,8395,82.0,19905,3236,6810,0.475,489,1344,0.364,2747,5466,0.503,1464,1917,0.764,875,2632,3507,1716,597,532,1207,1840,8425,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,94.0,0.292,0.265,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,Toyota Center,677658
5,2010-11,2011,Chuck Hayes,12T,0.0,1.0,2.0,false,0.0,13.0,500.0,27,HOU,NBA,C,74,63,28.1,3.3,6.3,0.527,0.0,0.0,0.0,3.3,6.2,0.529,0.527,1.3,1.9,0.662,3.0,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9,2079,6.0,11.3,0.527,0.0,0.0,0.0,6.0,11.3,0.529,2.3,3.5,0.662,5.4,9.3,14.7,5.0,1.9,1.2,2.1,4.9,14.3,120,106,2079,16.2,0.554,0.004,0.307,11.9,20.7,16.3,14.3,1.9,1.6,14.1,13.0,3.9,2.4,6.3,0.146,0.6,1.3,1.9,2.1,82.0,19880,3170,6975,0.454,677,1843,0.367,2493,5132,0.486,1668,2083,0.801,962,2549,3511,1955,581,371,1110,1641,8685,82.0,19880,3266,6979,0.468,448,1250,0.358,2818,5729,0.492,1526,1954,0.781,955,2552,3507,1707,588,449,1125,1754,8506,43,39,47,35,2.18,0.19,2.37,111.3,109.0,94.2,0.299,0.264,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,Toyota Center,663839
6,2011-12,2012,Chuck Hayes,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,28,SAC,NBA,C,54,9,19.2,1.4,3.1,0.429,0.0,0.0,0.0,1.4,3.1,0.435,0.429,0.5,0.7,0.667,1.3,3.0,4.3,1.4,0.7,0.3,0.9,2.1,3.2,1039,3.6,8.3,0.429,0.0,0.1,0.0,3.6,8.2,0.435,1.3,1.9,0.667,3.5,7.9,11.4,3.8,1.8,0.8,2.4,5.4,8.4,98,109,1039,8.9,0.459,0.012,0.229,7.3,18.0,12.4,10.4,1.8,1.2,21.1,9.9,0.1,0.5,0.6,0.028,-3.2,0.2,-3.0,-0.3,66.0,15915,2490,5712,0.436,411,1301,0.316,2079,4411,0.471,1127,1532,0.736,882,1947,2829,1271,561,323,952,1287,6518,66.0,15915,2668,5609,0.476,439,1236,0.355,2229,4373,0.51,1118,1468,0.762,815,2154,2969,1571,518,423,1014,1313,6893,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,94.7,0.268,0.228,0.472,13.0,29.1,0.197,0.515,13.9,70.5,0.199,Power Balance Pavilion,478764
7,2012-13,2013,Chuck Hayes,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,29,SAC,NBA,C,74,1,16.3,1.1,2.6,0.442,0.0,0.0,0.0,1.1,2.6,0.444,0.442,0.4,0.6,0.625,1.5,2.5,4.0,1.5,0.4,0.2,0.6,1.5,2.7,1209,3.6,8.1,0.442,0.0,0.0,0.0,3.6,8.0,0.444,1.3,2.0,0.625,4.8,7.9,12.7,4.7,1.3,0.8,1.9,4.8,8.4,111,111,1209,10.7,0.469,0.005,0.253,10.5,18.2,14.2,13.1,1.3,1.2,17.2,9.4,1.1,0.4,1.5,0.06,-1.2,-0.2,-1.4,0.2,82.0,19830,3086,6904,0.447,610,1681,0.363,2476,5223,0.474,1437,1869,0.769,943,2385,3328,1708,671,342,1199,1717,8219,82.0,19830,3222,6831,0.472,625,1762,0.355,2597,5069,0.512,1550,1980,0.783,973,2601,3574,2058,624,517,1208,1636,8619,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,0.271,0.243,0.491,13.4,26.6,0.208,0.517,13.6,71.0,0.227,Sleep Train Arena,563743
8,2013-14,2014,Chuck Hayes,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,30,SAC,NBA,C,16,1,11.2,0.9,2.0,0.438,0.0,0.0,,0.9,2.0,0.438,0.438,0.3,0.4,0.714,1.3,1.7,2.9,0.4,0.7,0.1,0.4,1.1,2.1,179,4.0,9.1,0.438,0.0,0.0,,4.0,9.1,0.438,1.4,2.0,0.714,5.7,7.7,13.4,1.7,3.1,0.6,2.0,5.1,9.4,105,105,179,11.4,0.47,0.0,0.219,12.5,17.2,14.8,4.9,3.1,0.9,16.6,10.4,0.1,0.2,0.3,0.081,-2.4,0.8,-1.6,0.0,82.0,19830,3026,6766,0.447,491,1475,0.333,2535,5291,0.479,1698,2237,0.759,990,2656,3646,1547,587,318,1249,1849,8241,82.0,19830,3103,6734,0.461,696,1833,0.38,2407,4901,0.491,1577,2139,0.737,813,2568,3381,1927,637,459,1116,1897,8479,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949
9,2013-14,2014,Chuck Hayes,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,30,TOR,NBA,C,45,0,12.8,0.9,2.2,0.429,0.0,0.0,0.0,0.9,2.2,0.433,0.429,0.3,0.4,0.833,1.1,2.5,3.6,0.6,0.5,0.2,0.6,1.7,2.2,575,3.8,8.9,0.429,0.0,0.1,0.0,3.8,8.8,0.433,1.4,1.6,0.833,4.5,10.4,14.8,2.6,2.1,0.9,2.4,7.0,9.0,101,102,575,9.6,0.467,0.01,0.184,9.9,23.2,16.5,7.5,2.1,1.4,19.7,10.4,0.1,0.9,1.1,0.088,-3.3,1.5,-1.9,0.0,82.0,19955.0,2992.0,6718.0,0.445,713.0,1917.0,0.372,2279.0,4801.0,0.475,1608.0,2055.0,0.782,935.0,2552.0,3487.0,1737.0,577.0,343.0,1159.0,1882.0,8305.0,82.0,19955.0,2957.0,6573.0,0.45,568.0,1578.0,0.36,2389.0,4995.0,0.478,1557.0,2071.0,0.752,854.0,2505.0,3359.0,1719.0,596.0,352.0,1224.0,1815.0,8039.0,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,91.8,0.306,0.285,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,748339
