,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2006-07,2007,Ryan Hollins,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,22,CHA,NBA,C,27,0,6.9,0.7,1.3,0.556,0.0,0.0,,0.7,1.3,0.556,0.556,0.9,1.5,0.6,0.4,0.7,1.1,0.0,0.1,0.3,0.6,1.5,2.4,185,5.6,10.2,0.556,0.0,0.0,,5.6,10.2,0.556,6.8,11.3,0.6,3.1,5.6,8.7,0.3,1.1,2.0,4.5,11.3,18.0,97,108,185,8.5,0.597,0.0,1.111,6.8,13.2,9.9,0.9,1.1,2.9,23.0,17.1,0.0,0.2,0.2,0.04,-6.2,-0.4,-6.7,-0.2,82.0,20005.0,2960.0,6643.0,0.446,457.0,1280.0,0.357,2503.0,5363.0,0.467,1568.0,2136.0,0.734,920.0,2346.0,3266.0,1836.0,638.0,369.0,1224.0,1985.0,7945.0,82.0,20005.0,2999.0,6450.0,0.465,452.0,1245.0,0.363,2547.0,5205.0,0.489,1802.0,2404.0,0.75,929.0,2562.0,3491.0,1717.0,603.0,437.0,1296.0,1786.0,8252.0,33,49,30,52,-3.74,-0.22,-3.97,103.6,107.6,92.0,0.322,0.193,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,Charlotte Bobcats Arena,637520
1,2007-08,2008,Ryan Hollins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,CHA,NBA,PF,60,1,8.9,0.8,1.6,0.489,0.0,0.0,,0.8,1.6,0.489,0.489,0.9,1.4,0.671,0.9,0.9,1.8,0.2,0.2,0.5,0.4,1.6,2.5,532,4.5,9.2,0.489,0.0,0.0,,4.5,9.2,0.489,5.4,8.1,0.671,5.2,5.3,10.5,1.4,1.0,2.9,2.5,9.4,14.4,113,109,532,11.4,0.565,0.0,0.872,11.4,11.7,11.6,4.0,1.0,4.3,16.1,13.3,0.6,0.4,1.1,0.096,-3.9,0.1,-3.8,-0.2,82.0,19880.0,2960.0,6554.0,0.452,529.0,1443.0,0.367,2431.0,5111.0,0.476,1510.0,2115.0,0.714,892.0,2440.0,3332.0,1748.0,614.0,402.0,1204.0,1777.0,7959.0,82.0,19880.0,3115.0,6684.0,0.466,517.0,1456.0,0.355,2598.0,5228.0,0.497,1571.0,2102.0,0.747,999.0,2588.0,3587.0,1785.0,625.0,476.0,1177.0,1721.0,8318.0,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,91.8,0.323,0.22,0.492,13.9,25.6,0.23,0.505,13.4,71.0,0.235,Charlotte Bobcats Arena,603403
2,2008-09,2009,Ryan Hollins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,CHA,NBA,C,18,1,10.2,1.1,1.9,0.543,0.0,0.0,,1.1,1.9,0.543,0.543,1.4,2.2,0.667,1.1,0.9,2.0,0.2,0.2,0.9,0.6,1.9,3.6,184,5.6,10.3,0.543,0.0,0.0,,5.6,10.3,0.543,7.7,11.5,0.667,5.6,5.0,10.6,1.2,0.9,5.0,3.0,10.0,18.9,118,104,184,15.3,0.613,0.0,1.114,12.9,11.4,12.1,3.5,0.9,7.6,16.1,15.9,0.3,0.3,0.6,0.158,-2.7,1.7,-1.0,0.0,82.0,19930.0,2866.0,6299.0,0.455,490.0,1339.0,0.366,2376.0,4960.0,0.479,1455.0,1965.0,0.74,886.0,2366.0,3252.0,1741.0,580.0,397.0,1279.0,1754.0,7677.0,82.0,19930.0,2883.0,6349.0,0.454,558.0,1526.0,0.366,2325.0,4823.0,0.482,1457.0,1928.0,0.756,877.0,2310.0,3187.0,1604.0,626.0,488.0,1206.0,1714.0,7781.0,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,Time Warner Cable Arena,597548
3,2008-09,2009,Ryan Hollins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,DAL,NBA,C,27,2,9.6,1.1,2.2,0.525,0.0,0.0,,1.1,2.2,0.525,0.525,0.6,1.2,0.515,1.0,1.3,2.3,0.1,0.1,0.6,0.5,1.6,2.9,260,6.3,11.9,0.525,0.0,0.0,,6.3,11.9,0.525,3.4,6.7,0.515,5.4,6.9,12.3,0.6,0.8,3.0,2.8,8.9,15.9,105,108,260,11.3,0.537,0.0,0.559,12.0,14.9,13.5,1.7,0.8,4.3,16.0,15.5,0.1,0.3,0.4,0.076,-3.8,-0.1,-3.9,-0.1,82.0,19805,3128,6770,0.462,571,1632,0.35,2557,5138,0.498,1516,1852,0.819,909,2595,3504,1779,591,429,1043,1600,8343,82.0,19805,3071,6752,0.455,517,1379,0.375,2554,5373,0.475,1522,1907,0.798,884,2509,3393,1611,589,334,1064,1645,8181,50,32,47,35,1.98,-0.3,1.68,110.5,108.4,91.5,0.274,0.241,0.504,12.1,26.6,0.224,0.493,12.3,74.6,0.225,American Airlines Center,821723
4,2009-10,2010,Ryan Hollins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,MIN,NBA,C,73,27,16.8,2.3,4.2,0.558,0.0,0.0,0.0,2.3,4.1,0.56,0.558,1.5,2.2,0.69,1.1,1.8,2.8,0.7,0.3,0.5,1.3,2.7,6.1,1223,6.9,12.4,0.558,0.0,0.0,0.0,6.9,12.3,0.56,4.5,6.5,0.69,3.2,5.2,8.5,2.1,0.8,1.6,3.9,8.1,18.3,105,113,1223,11.0,0.6,0.003,0.521,7.1,11.9,9.5,6.4,0.8,2.3,20.3,16.6,0.8,0.5,1.2,0.048,-3.9,-0.7,-4.6,-0.8,82.0,19780,3106,6923,0.449,403,1181,0.341,2703,5742,0.471,1436,1926,0.746,962,2556,3518,1626,597,306,1333,1699,8051,82.0,19780,3343,6961,0.48,618,1690,0.366,2725,5271,0.517,1534,1981,0.774,917,2640,3557,2103,721,442,1173,1686,8838,15,67,17,65,-9.6,0.54,-9.06,101.7,111.6,96.1,0.278,0.171,0.478,14.6,26.7,0.207,0.525,13.0,73.6,0.22,Target Center,619170
5,2010-11,2011,Ryan Hollins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,CLE,NBA,C,70,16,16.9,1.9,3.1,0.598,0.0,0.0,,1.9,3.1,0.598,0.598,1.6,2.3,0.681,1.0,1.7,2.7,0.4,0.3,0.6,1.0,2.8,5.3,1182,5.7,9.6,0.598,0.0,0.0,,5.7,9.6,0.598,4.8,7.1,0.681,3.1,5.1,8.1,1.1,1.0,1.8,2.9,8.7,16.3,112,113,1182,10.7,0.642,0.0,0.744,6.6,11.6,9.0,3.6,1.0,2.7,18.7,13.7,1.3,0.5,1.8,0.072,-4.0,-0.3,-4.3,-0.7,82.0,19755,2886,6647,0.434,509,1489,0.342,2377,5158,0.461,1546,2075,0.745,856,2449,3305,1720,544,341,1166,1648,7827,82.0,19755,3232,6804,0.475,664,1614,0.411,2568,5190,0.495,1438,1894,0.759,894,2676,3570,1984,619,489,1111,1747,8566,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,93.0,0.312,0.224,0.472,13.4,24.2,0.233,0.524,12.7,73.3,0.211,Quicken Loans Arena,824595
6,2011-12,2012,Ryan Hollins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,CLE,NBA,C,24,7,15.1,1.2,2.3,0.5,0.0,0.0,,1.2,2.3,0.5,0.5,1.4,2.3,0.6,1.0,1.3,2.3,0.3,0.2,0.5,1.0,2.3,3.7,362,4.1,8.1,0.5,0.0,0.0,,4.1,8.1,0.5,4.8,8.0,0.6,3.6,4.5,8.1,0.9,0.6,1.7,3.5,8.0,12.9,97,111,362,7.0,0.555,0.0,0.982,7.6,10.1,8.8,2.6,0.6,2.5,23.0,12.9,0.0,0.1,0.1,0.013,-5.8,-1.4,-7.1,-0.5,66.0,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140,66.0,15965,2536,5431,0.467,448,1236,0.362,2088,4195,0.498,1095,1464,0.748,752,2073,2825,1527,524,409,917,1381,6615,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,91.3,0.307,0.238,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,Quicken Loans Arena,525577
7,2011-12,2012,Ryan Hollins,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,27,BOS,NBA,C,15,1,10.7,1.2,1.9,0.643,0.0,0.0,,1.2,1.9,0.643,0.643,0.4,1.3,0.3,0.6,1.1,1.7,0.2,0.1,0.3,0.7,1.5,2.8,160,6.0,9.3,0.643,0.0,0.0,,6.0,9.3,0.643,2.0,6.6,0.3,3.0,5.6,8.6,1.0,0.3,1.7,3.7,7.6,13.9,91,102,160,6.8,0.571,0.0,0.714,7.0,12.0,9.6,3.0,0.3,2.4,23.0,14.3,-0.1,0.2,0.1,0.044,-6.2,-0.2,-6.3,-0.2,66.0,15940,2341,5086,0.46,363,988,0.367,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062,66.0,15940,2207,5262,0.419,344,1117,0.308,1863,4145,0.449,1138,1498,0.76,781,2070,2851,1233,515,304,1035,1217,5896,39,27,39,27,2.52,-0.26,2.26,101.0,98.2,90.4,0.257,0.194,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,TD Garden,614592
8,2012-13,2013,Ryan Hollins,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,LAC,NBA,C,60,0,11.1,1.2,1.9,0.614,0.0,0.0,,1.2,1.9,0.614,0.614,1.1,1.5,0.75,0.8,1.5,2.3,0.2,0.1,0.6,0.7,2.2,3.4,663,5.6,9.1,0.614,0.0,0.0,,5.6,9.1,0.614,5.2,7.0,0.75,4.0,7.1,11.0,0.9,0.5,2.7,3.5,10.6,16.4,115,105,663,11.3,0.674,0.0,0.772,9.1,15.7,12.5,2.4,0.5,4.3,22.4,13.6,1.0,0.8,1.7,0.125,-4.0,0.2,-3.9,-0.3,82.0,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289,82.0,19730,2834,6397,0.443,627,1682,0.373,2207,4715,0.468,1465,1956,0.749,891,2315,3206,1812,606,335,1319,1712,7760,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,0.286,0.265,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,STAPLES Center,788293
9,2013-14,2014,Ryan Hollins,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,29,LAC,NBA,PF,61,0,7.9,0.9,1.2,0.736,0.0,0.0,,0.9,1.2,0.736,0.736,0.6,0.9,0.625,0.5,1.0,1.5,0.1,0.1,0.5,0.5,1.4,2.3,482,5.5,7.5,0.736,0.0,0.0,,5.5,7.5,0.736,3.6,5.8,0.625,3.2,6.1,9.3,0.8,0.9,3.2,3.0,9.0,14.6,117,105,482,11.9,0.73,0.0,0.778,7.4,13.1,10.4,2.4,0.9,4.9,23.1,11.5,0.7,0.6,1.3,0.126,-3.4,1.5,-1.9,0.0,82.0,19755,3208,6761,0.474,693,1966,0.352,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850,82.0,19755,3068,6958,0.441,595,1791,0.332,2473,5167,0.479,1547,2049,0.755,1011,2575,3586,1908,570,284,1261,1919,8278,57,25,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692
10,2014-15,2015,Ryan Hollins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,SAC,NBA,C,46,9,9.6,1.2,1.8,0.646,0.0,0.0,,1.2,1.8,0.646,0.646,0.7,1.2,0.574,0.8,1.5,2.2,0.3,0.1,0.4,0.5,1.4,3.0,441,6.0,9.4,0.646,0.0,0.0,,6.0,9.4,0.646,3.5,6.2,0.574,4.1,7.6,11.8,1.6,0.7,2.2,2.9,7.4,15.6,115,109,441,13.1,0.648,0.0,0.659,9.6,16.6,13.2,5.0,0.7,3.4,19.1,13.1,0.7,0.3,1.0,0.104,-2.1,-0.1,-2.3,0.0,82.0,19855,3010,6617,0.455,461,1350,0.341,2549,5267,0.484,1829,2400,0.762,895,2728,3623,1667,550,324,1333,1696,8310,82.0,19855,3238,7094,0.456,718,2055,0.349,2520,5039,0.5,1420,1898,0.748,898,2479,3377,1912,712,508,1059,1958,8614,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049
