,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2003-04,2004,Josh Howard,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,DAL,NBA,SF,67,29,23.7,3.4,7.9,0.43,0.3,1.0,0.303,3.1,7.0,0.448,0.449,1.4,2.1,0.703,2.2,3.3,5.5,1.4,1.0,0.8,1.0,2.5,8.6,1589,7.4,17.2,0.43,0.6,2.1,0.303,6.8,15.1,0.448,3.1,4.5,0.703,4.8,7.1,11.9,3.1,2.2,1.7,2.2,5.4,18.6,107,105,1589,15.7,0.485,0.124,0.259,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2,2.3,1.2,3.5,0.104,0.2,-0.2,-0.1,0.8,82.0,19805,3322,7230,0.459,507,1456,0.348,2815,5774,0.488,1475,1854,0.796,1174,2538,3712,1963,656,437,1000,1609,8626,82.0,19805,3133,6824,0.459,534,1471,0.363,2599,5353,0.486,1462,1960,0.746,1009,2562,3571,1937,582,382,1242,1690,8262,52,30,53,29,4.44,0.42,4.86,112.1,107.4,93.2,0.256,0.201,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,American Airlines Center,825594
1,2004-05,2005,Josh Howard,18T,0.0,1.0,0.0,false,0.0,2.0,500.0,24,DAL,NBA,SF,76,76,32.2,5.0,10.4,0.475,0.4,1.5,0.296,4.5,8.9,0.506,0.497,2.2,3.1,0.733,2.2,4.1,6.4,1.4,1.5,0.6,1.6,2.8,12.6,2446,8.0,16.8,0.475,0.7,2.4,0.296,7.3,14.4,0.506,3.6,4.9,0.733,3.6,6.7,10.2,2.3,2.5,1.0,2.6,4.5,20.3,108,103,2446,15.8,0.535,0.145,0.293,7.9,14.1,11.1,7.2,2.5,1.5,12.0,18.6,3.0,3.4,6.4,0.126,0.3,0.8,1.2,2.0,82.0,19730,3058,6691,0.457,463,1273,0.364,2595,5418,0.479,1826,2314,0.789,990,2530,3520,1610,708,461,1102,1827,8405,82.0,19730,2941,6712,0.438,451,1366,0.33,2490,5346,0.466,1601,2123,0.754,1072,2467,3539,1714,584,399,1278,1899,7934,58,24,57,25,5.74,0.11,5.86,110.3,104.1,92.7,0.346,0.19,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,American Airlines Center,822533
2,2005-06,2006,Josh Howard,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,25,DAL,NBA,SF,59,58,32.5,5.9,12.6,0.471,0.5,1.1,0.429,5.5,11.5,0.475,0.489,3.3,4.5,0.734,2.1,4.2,6.3,1.9,1.2,0.4,1.3,2.8,15.6,1915,10.0,21.2,0.471,0.8,1.8,0.429,9.2,19.4,0.475,5.6,7.6,0.734,3.5,7.1,10.6,3.2,1.9,0.7,2.3,4.8,26.4,115,105,1915,19.3,0.536,0.085,0.359,7.9,15.3,11.7,10.4,1.9,1.0,8.4,22.9,4.4,2.3,6.7,0.168,2.2,0.0,2.2,2.0,82.0,19880,2948,6375,0.462,416,1113,0.374,2532,5262,0.481,1818,2322,0.783,1030,2431,3461,1473,593,488,1112,1834,8130,82.0,19880,2801,6319,0.443,404,1120,0.361,2397,5199,0.461,1626,2163,0.752,935,2209,3144,1433,536,400,1151,1958,7632,60,22,58,24,6.07,-0.11,5.96,111.8,105.0,87.8,0.364,0.175,0.495,13.1,31.8,0.285,0.475,13.7,72.2,0.257,American Airlines Center,824693
3,2006-07,2007,Josh Howard,18T,0.0,2.0,0.0,false,1.0,5.0,500.0,26,DAL,NBA,SF,70,69,35.1,7.0,15.4,0.459,1.3,3.4,0.385,5.7,11.9,0.48,0.501,3.5,4.2,0.827,1.9,4.9,6.8,1.8,1.2,0.8,1.8,2.6,18.9,2455,10.8,23.5,0.459,2.0,5.2,0.385,8.8,18.3,0.48,5.3,6.4,0.827,2.8,7.5,10.4,2.8,1.8,1.2,2.7,3.9,28.8,112,102,2455,20.0,0.548,0.222,0.273,6.5,16.6,11.7,9.2,1.8,1.7,9.3,25.2,5.0,3.8,8.8,0.173,2.7,0.4,3.1,3.2,82.0,19755,3010,6442,0.467,535,1404,0.381,2475,5038,0.491,1646,2045,0.805,920,2515,3435,1632,560,408,1140,1837,8201,82.0,19755,2790,6241,0.447,375,1074,0.349,2415,5167,0.467,1654,2216,0.746,839,2286,3125,1471,565,312,1190,1811,7609,67,15,61,21,7.22,0.06,7.28,111.3,103.2,89.5,0.317,0.218,0.509,13.4,28.7,0.256,0.477,14.2,75.0,0.265,American Airlines Center,834411
4,2007-08,2008,Josh Howard,-1,0.0,2.0,0.0,false,0.0,0.0,500.0,27,DAL,NBA,SF,76,76,36.3,7.5,16.4,0.455,0.9,2.8,0.319,6.6,13.6,0.482,0.482,4.1,5.1,0.813,1.6,5.4,7.0,2.2,0.8,0.4,1.5,2.7,19.9,2757,10.9,24.1,0.455,1.3,4.1,0.319,9.7,20.0,0.482,6.0,7.4,0.813,2.3,8.0,10.3,3.2,1.1,0.6,2.2,3.9,29.2,111,106,2757,18.3,0.534,0.168,0.308,5.2,16.7,11.2,10.6,1.1,0.9,7.5,25.9,4.8,3.2,8.0,0.14,1.8,-0.6,1.2,2.2,82.0,19730,3025,6515,0.464,494,1403,0.352,2531,5112,0.495,1690,2075,0.814,883,2643,3526,1720,490,402,1037,1786,8234,82.0,19730,2903,6551,0.443,408,1168,0.349,2495,5383,0.463,1648,2168,0.76,882,2419,3301,1547,536,357,999,1739,7862,51,31,54,28,4.54,0.16,4.7,111.1,106.1,90.2,0.318,0.215,0.502,12.3,26.7,0.259,0.474,11.7,75.0,0.252,American Airlines Center,831738
5,2008-09,2009,Josh Howard,-1,0.0,2.0,0.0,false,0.0,0.0,500.0,28,DAL,NBA,SF,52,51,32.0,6.8,15.1,0.451,1.1,3.2,0.345,5.7,11.8,0.48,0.488,3.3,4.2,0.782,1.1,3.9,5.1,1.6,1.1,0.6,1.7,2.6,18.0,1663,11.1,24.7,0.451,1.8,5.3,0.345,9.3,19.4,0.48,5.4,6.9,0.782,1.9,6.4,8.3,2.6,1.7,0.9,2.8,4.3,29.5,106,109,1663,17.0,0.532,0.215,0.281,4.1,14.0,9.1,8.6,1.7,1.3,9.2,26.7,1.5,1.7,3.2,0.091,0.7,-0.7,0.0,0.8,82.0,19805,3128,6770,0.462,571,1632,0.35,2557,5138,0.498,1516,1852,0.819,909,2595,3504,1779,591,429,1043,1600,8343,82.0,19805,3071,6752,0.455,517,1379,0.375,2554,5373,0.475,1522,1907,0.798,884,2509,3393,1611,589,334,1064,1645,8181,50,32,47,35,1.98,-0.3,1.68,110.5,108.4,91.5,0.274,0.241,0.504,12.1,26.6,0.224,0.493,12.3,74.6,0.225,American Airlines Center,821723
6,2009-10,2010,Josh Howard,-1,0.0,2.0,0.0,false,1.0,0.0,500.0,29,DAL,NBA,SF,31,9,26.7,4.4,11.0,0.401,0.6,2.4,0.267,3.8,8.6,0.438,0.43,3.0,3.8,0.79,0.8,2.8,3.6,1.4,0.7,0.3,1.4,2.5,12.5,827,8.6,21.5,0.401,1.3,4.7,0.267,7.3,16.8,0.438,5.9,7.5,0.79,1.6,5.4,7.0,2.8,1.4,0.6,2.7,4.9,24.3,99,108,827,12.0,0.492,0.219,0.348,3.6,11.8,7.8,8.5,1.4,0.8,9.8,24.3,0.0,0.8,0.8,0.045,-2.5,-1.1,-3.7,-0.4,82.0,19880,3140,6760,0.464,558,1498,0.372,2582,5262,0.491,1526,1870,0.816,834,2586,3420,1917,624,449,1059,1563,8364,82.0,19880,3107,6805,0.457,525,1515,0.347,2582,5290,0.488,1402,1849,0.758,922,2592,3514,1659,563,337,1195,1652,8141,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,92.5,0.277,0.222,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,American Airlines Center,819770
7,2009-10,2010,Josh Howard,-1,0.0,2.0,0.0,false,0.0,0.0,500.0,29,WAS,NBA,SF,4,3,22.8,5.0,11.5,0.435,0.8,2.8,0.273,4.3,8.8,0.486,0.467,3.8,5.0,0.75,1.0,2.3,3.3,1.0,0.8,0.5,0.8,3.3,14.5,91,11.5,26.5,0.435,1.7,6.3,0.273,9.8,20.1,0.486,8.6,11.5,0.75,2.3,5.2,7.5,2.3,1.7,1.2,1.7,7.5,33.4,112,109,91,19.2,0.529,0.239,0.435,5.0,11.6,8.2,8.2,1.7,1.7,5.2,28.8,0.2,0.1,0.3,0.139,0.5,-0.9,-0.4,0.0,82.0,19830,3008,6700,0.449,432,1225,0.353,2576,5475,0.471,1444,1895,0.762,966,2458,3424,1557,493,421,1219,1752,7892,82.0,19830,3083,6664,0.463,528,1466,0.36,2555,5198,0.492,1590,2088,0.761,935,2530,3465,1772,569,415,1115,1684,8284,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,91.6,0.283,0.183,0.481,13.9,27.6,0.216,0.502,12.8,72.4,0.239,Verizon Center,664398
8,2010-11,2011,Josh Howard,-1,0.0,2.0,0.0,false,1.0,0.0,500.0,30,WAS,NBA,SF,18,10,22.7,3.2,9.0,0.358,0.4,1.6,0.241,2.8,7.4,0.383,0.38,1.6,2.6,0.617,1.0,3.1,4.1,1.3,0.7,0.3,1.1,1.9,8.4,409,7.3,20.3,0.358,0.9,3.6,0.241,6.4,16.6,0.383,3.6,5.9,0.617,2.3,7.0,9.3,3.0,1.6,0.6,2.5,4.3,19.0,89,111,409,9.2,0.416,0.179,0.29,4.8,16.2,10.3,9.4,1.6,0.9,9.9,21.9,-0.5,0.3,-0.2,-0.027,-3.1,-0.7,-3.8,-0.2,82.0,19930,3048,6888,0.443,392,1182,0.332,2656,5706,0.465,1489,1999,0.745,1013,2374,3387,1592,665,502,1258,1850,7977,82.0,19930,3174,6741,0.471,560,1500,0.373,2614,5241,0.499,1676,2202,0.761,994,2607,3601,1898,624,413,1293,1662,8584,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,93.8,0.29,0.172,0.471,13.9,28.0,0.216,0.512,14.4,70.5,0.249,Verizon Center,688466
9,2011-12,2012,Josh Howard,-1,0.0,2.0,0.0,false,0.0,0.0,500.0,31,UTA,NBA,SF,43,18,23.0,3.3,8.4,0.399,0.2,0.9,0.243,3.1,7.5,0.417,0.411,1.7,2.3,0.773,0.9,2.8,3.7,1.2,0.7,0.2,1.2,2.1,8.7,991,7.6,19.1,0.399,0.5,2.0,0.243,7.2,17.2,0.417,4.0,5.1,0.773,2.1,6.3,8.4,2.6,1.7,0.5,2.8,4.8,19.7,95,107,991,10.5,0.461,0.102,0.269,4.5,13.9,9.2,7.9,1.7,0.8,11.6,20.7,-0.2,0.7,0.5,0.025,-2.8,-0.9,-3.7,-0.4,66.0,16165,2523,5531,0.456,273,845,0.323,2250,4686,0.48,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577,66.0,16165,2403,5310,0.453,428,1259,0.34,1975,4051,0.488,1302,1727,0.754,728,1988,2716,1355,494,375,968,1366,6536,36,30,34,32,0.62,0.3,0.92,106.8,106.1,91.4,0.302,0.153,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,EnergySolutions Arena,637124
10,2012-13,2013,Josh Howard,-1,0.0,2.0,0.0,false,0.0,0.0,500.0,32,MIN,NBA,SF,11,4,18.8,2.8,7.0,0.403,0.5,1.5,0.313,2.4,5.5,0.426,0.435,0.6,1.1,0.583,0.8,2.5,3.3,0.4,0.9,0.3,0.9,1.6,6.7,207,7.7,19.2,0.403,1.2,4.0,0.313,6.5,15.2,0.426,1.7,3.0,0.583,2.2,6.7,9.0,1.0,2.5,0.7,2.5,4.5,18.5,88,104,207,9.5,0.45,0.208,0.156,4.8,15.4,9.9,3.2,2.5,1.1,10.8,20.0,-0.2,0.3,0.0,0.009,-3.9,0.1,-3.8,-0.1,82.0,19730,2943,6702,0.439,450,1475,0.305,2493,5227,0.477,1515,2042,0.742,973,2473,3446,1836,700,387,1214,1509,7851,82.0,19730,3113,6657,0.468,576,1559,0.369,2537,5098,0.498,1243,1652,0.752,871,2583,3454,1832,661,481,1302,1847,8045,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,92.8,0.305,0.22,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187,Target Center,669956
