,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2011-12,2012,Kyrie Irving,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,19,CLE,NBA,PG,51,51,30.5,6.9,14.6,0.469,1.4,3.6,0.399,5.4,11.1,0.491,0.517,3.4,3.8,0.872,0.9,2.9,3.7,5.4,1.1,0.4,3.1,2.2,18.5,1558,11.8,25.2,0.469,2.5,6.2,0.399,9.3,19.0,0.491,5.8,6.6,0.872,1.5,5.0,6.4,9.3,1.8,0.7,5.4,3.7,31.8,109,110,1558,21.4,0.566,0.245,0.262,3.1,11.2,7.0,36.5,1.8,1.0,16.1,28.7,3.4,0.6,4.1,0.125,4.6,-0.5,4.1,2.4,66.0,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140,66.0,15965,2536,5431,0.467,448,1236,0.362,2088,4195,0.498,1095,1464,0.748,752,2073,2825,1527,524,409,917,1381,6615,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,91.3,0.307,0.238,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,Quicken Loans Arena,525577
1,2012-13,2013,Kyrie Irving,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,20,CLE,NBA,PG,59,59,34.7,8.2,18.1,0.452,1.8,4.7,0.391,6.4,13.4,0.474,0.503,4.2,4.9,0.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,22.5,2048,12.3,27.2,0.452,2.8,7.1,0.391,9.5,20.1,0.474,6.3,7.4,0.855,0.9,4.6,5.5,8.9,2.3,0.5,4.9,3.7,33.7,108,110,2048,21.4,0.553,0.261,0.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,4.2,1.1,5.3,0.125,4.3,-0.7,3.7,3.0,82.0,19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913,82.0,19730,3109,6527,0.476,610,1639,0.372,2499,4888,0.511,1469,1987,0.739,889,2563,3452,1963,624,560,1249,1615,8297,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,92.3,0.265,0.229,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,Quicken Loans Arena,663882
2,2013-14,2014,Kyrie Irving,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,CLE,NBA,PG,71,71,35.2,7.5,17.4,0.43,1.7,4.8,0.358,5.8,12.6,0.458,0.48,4.1,4.8,0.861,0.7,2.9,3.6,6.1,1.5,0.3,2.7,2.3,20.8,2496,11.0,25.6,0.43,2.5,7.1,0.358,8.4,18.4,0.458,6.0,7.0,0.861,1.1,4.3,5.4,8.9,2.2,0.5,3.9,3.4,30.5,109,108,2496,20.1,0.533,0.278,0.273,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,4.6,2.1,6.7,0.128,3.6,-0.2,3.4,3.3,82.0,19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054,82.0,19930,3097,6847,0.452,765,2083,0.367,2332,4764,0.49,1365,1803,0.757,841,2648,3489,2037,587,461,1144,1599,8324,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,Quicken Loans Arena,710522
3,2014-15,2015,Kyrie Irving,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,22,CLE,NBA,PG,75,75,36.4,7.7,16.5,0.468,2.1,5.0,0.415,5.6,11.4,0.491,0.532,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7,2730,11.0,23.5,0.468,3.0,7.2,0.415,8.0,16.3,0.491,6.0,7.0,0.863,1.0,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31.0,117,108,2730,21.5,0.583,0.306,0.296,2.3,7.5,5.0,25.0,2.2,0.6,11.8,26.2,8.4,2.0,10.4,0.183,4.4,-0.4,4.1,4.2,82.0,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457,82.0,19780,3121,6850,0.456,634,1848,0.343,2487,5002,0.497,1214,1629,0.745,885,2487,3372,1974,642,368,1092,1685,8090,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,92.3,0.287,0.334,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,843042
4,2015-16,2016,Kyrie Irving,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,CLE,NBA,PG,53,53,31.5,7.4,16.6,0.448,1.6,4.9,0.321,5.8,11.6,0.502,0.496,3.2,3.6,0.885,0.8,2.1,3.0,4.7,1.1,0.3,2.3,2.0,19.6,1667,12.2,27.1,0.448,2.6,8.1,0.321,9.6,19.0,0.502,5.2,5.9,0.885,1.4,3.5,4.8,7.7,1.7,0.6,3.8,3.3,32.1,109,106,1667,19.9,0.54,0.298,0.217,3.0,7.6,5.3,26.6,1.7,0.9,11.4,29.5,3.2,1.7,5.0,0.143,3.2,-0.8,2.3,1.8,82.0,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,82.0,19855,3019,6736,0.448,647,1862,0.347,2372,4874,0.487,1378,1855,0.743,760,2604,3364,1756,590,362,1092,1690,8063,57,25,57,25,6.0,-0.55,5.45,110.9,104.5,93.3,0.259,0.352,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042
5,2016-17,2017,Kyrie Irving,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,24,CLE,NBA,PG,72,72,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,2525,13.3,28.1,0.473,3.5,8.7,0.401,9.8,19.4,0.505,5.9,6.5,0.905,1.0,3.5,4.5,8.3,1.6,0.5,3.6,3.1,35.9,116,112,2525,23.0,0.58,0.311,0.231,2.3,7.5,5.0,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.7,-1.3,3.4,3.4,82.0,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048,82.0,19880,3333,7284,0.458,850,2353,0.361,2483,4931,0.504,1271,1644,0.773,902,2724,3626,2024,598,349,1033,1690,8787,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,Quicken Loans Arena,843042
6,2017-18,2018,Kyrie Irving,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,25,BOS,NBA,PG,60,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,6.1,11.3,0.541,0.568,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,24.4,1931,13.8,28.1,0.491,4.3,10.5,0.408,9.5,17.6,0.541,6.0,6.8,0.889,0.9,5.0,5.9,7.9,1.7,0.4,3.6,3.2,37.9,118,106,1931,25.0,0.61,0.374,0.24,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31.0,6.3,2.7,8.9,0.222,6.4,0.9,7.3,4.5,82.0,19805,3141,6975,0.45,939,2492,0.377,2202,4483,0.491,1308,1697,0.771,767,2878,3645,1842,604,373,1149,1618,8529,82.0,19805,3066,6973,0.44,769,2270,0.339,2297,4703,0.488,1334,1748,0.763,791,2804,3595,1744,594,364,1159,1571,8235,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,96.0,0.243,0.357,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,TD Garden,763584
7,2018-19,2019,Kyrie Irving,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,BOS,NBA,PG,67,67,33.0,9.0,18.5,0.487,2.6,6.5,0.401,6.4,12.0,0.533,0.557,3.2,3.7,0.873,1.1,3.9,5.0,6.9,1.5,0.5,2.6,2.5,23.8,2214,13.1,27.0,0.487,3.8,9.4,0.401,9.4,17.6,0.533,4.7,5.3,0.873,1.5,5.7,7.3,10.1,2.2,0.7,3.7,3.6,34.7,118,108,2214,24.3,0.592,0.35,0.197,3.4,12.7,8.1,35.0,2.2,1.4,11.3,29.6,6.2,2.9,9.1,0.197,6.0,1.1,7.2,5.1,82.0,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,82.0,19780,3239,7222,0.448,944,2748,0.344,2295,4474,0.513,1430,1872,0.764,852,2912,3764,1940,556,317,1241,1602,8852,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,99.6,0.215,0.381,0.534,11.5,21.6,0.173,0.514,13.4,77.0,0.198,TD Garden,763584
8,2019-20,2020,Kyrie Irving,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,BRK,NBA,PG,20,20,32.9,10.0,20.8,0.478,2.8,7.1,0.394,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,658,14.3,29.9,0.478,4.0,10.2,0.394,10.3,19.7,0.522,6.8,7.3,0.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.4,119,109,658,26.2,0.595,0.341,0.245,3.5,12.5,8.1,36.7,1.9,1.3,10.1,32.6,2.1,0.8,2.9,0.21,6.7,0.9,7.7,1.6,72.0,17480,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048,72.0,17480,2981,6688,0.446,877,2505,0.35,2104,4183,0.503,1250,1625,0.769,766,2541,3307,1630,554,379,919,1521,8089,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,101.4,0.267,0.423,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,Barclays Center,524907
9,2020-21,2021,Kyrie Irving,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,BRK,NBA,PG,54,54,34.9,10.2,20.1,0.506,2.8,7.0,0.402,7.4,13.1,0.561,0.576,3.7,4.0,0.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,2.6,26.9,1886,14.0,27.8,0.506,3.9,9.7,0.402,10.2,18.1,0.561,5.1,5.6,0.922,1.3,5.2,6.6,8.3,1.9,0.9,3.3,3.6,37.1,121,114,1886,24.4,0.614,0.348,0.201,3.2,11.4,7.5,28.6,1.9,1.7,9.9,30.4,5.8,1.6,7.4,0.189,5.7,-0.2,5.5,3.6,72.0,17405,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,1305,1623,0.804,640,2559,3199,1929,484,379,975,1371,8537,72.0,17405,3017,6573,0.459,951,2607,0.365,2066,3966,0.521,1228,1584,0.775,753,2348,3101,1729,550,330,908,1361,8213,48,24,46,26,4.5,-0.27,4.24,118.3,113.8,99.5,0.258,0.413,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,30491
