,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,LAC,NBA,PG,82,81,38.0,5.6,11.5,0.486,0.3,1.0,0.268,5.3,10.5,0.506,0.497,2.9,3.7,0.803,1.6,3.2,4.7,8.8,1.7,0.1,2.7,1.9,14.4,3117,7.1,14.7,0.486,0.3,1.3,0.268,6.8,13.4,0.506,3.7,4.7,0.803,2.0,4.0,6.0,11.3,2.1,0.2,3.4,2.5,18.4,114,109,3117,16.6,0.548,0.087,0.317,4.5,9.3,6.9,31.1,2.1,0.2,17.0,17.1,5.3,2.7,7.9,0.122,1.9,0.1,1.9,3.1,82.0,19805,3544,7329,0.484,133,491,0.271,3411,6838,0.499,1562,2177,0.718,1183,2360,3543,2242,847,491,1338,1920,8783,82.0,19805,3311,7051,0.47,275,790,0.348,3036,6261,0.485,1857,2434,0.763,1179,2437,3616,1970,765,453,1445,1772,8754,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,99.1,0.297,0.067,0.493,13.9,32.7,0.213,0.489,15.1,66.7,0.263,Los Angeles Memorial Sports Arena,532625
1,1993-94,1994,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,LAC,NBA,PG,79,79,34.3,4.2,9.3,0.452,0.5,1.6,0.283,3.7,7.7,0.488,0.477,2.1,2.7,0.791,1.4,3.1,4.4,8.6,1.5,0.1,2.9,1.5,10.9,2711,5.9,13.0,0.452,0.6,2.3,0.283,5.2,10.8,0.488,3.0,3.8,0.791,1.9,4.3,6.2,12.1,2.1,0.1,4.1,2.0,15.4,107,111,2711,14.8,0.524,0.173,0.288,4.2,9.4,6.8,34.6,2.1,0.1,22.0,16.1,2.7,1.4,4.1,0.072,0.7,-0.8,-0.1,1.3,82.0,19780,3343,7163,0.467,252,831,0.303,3091,6332,0.488,1509,2128,0.709,1120,2410,3530,2169,807,421,1474,1769,8447,82.0,19780,3512,7421,0.473,308,882,0.349,3204,6539,0.49,1584,2209,0.717,1348,2568,3916,2220,898,476,1364,1788,8916,27,55,26,56,-5.72,0.44,-5.28,102.9,108.6,99.6,0.297,0.116,0.484,15.4,30.4,0.211,0.494,14.0,64.1,0.213,Los Angeles Memorial Sports Arena,471034
2,1994-95,1995,Mark Jackson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,29,IND,NBA,PG,82,67,29.3,2.9,6.9,0.422,0.3,1.1,0.31,2.6,5.8,0.443,0.446,1.5,1.9,0.778,0.9,2.8,3.7,7.5,1.3,0.2,2.6,1.8,7.6,2402,5.3,12.6,0.422,0.6,1.9,0.31,4.7,10.6,0.443,2.6,3.4,0.778,1.6,5.2,6.8,13.7,2.3,0.4,4.7,3.3,13.8,105,106,2402,14.0,0.493,0.154,0.27,3.7,11.5,7.7,39.2,2.3,0.5,24.9,16.1,1.4,3.1,4.5,0.09,0.7,0.5,1.2,1.9,82.0,19780,2983,6248,0.477,374,985,0.38,2609,5263,0.496,1796,2390,0.751,1051,2290,3341,1877,703,363,1340,1939,8136,82.0,19780,2921,6408,0.456,475,1304,0.364,2446,5104,0.479,1516,2089,0.726,1048,2156,3204,1804,691,416,1370,2058,7833,52,30,52,30,3.7,-0.34,3.35,109.6,105.6,90.0,0.383,0.158,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.237,Market Square Arena,654428
3,1995-96,1996,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,IND,NBA,PG,81,81,32.6,3.7,7.7,0.473,0.8,1.8,0.43,2.9,5.9,0.486,0.524,1.9,2.4,0.785,0.8,3.0,3.8,7.8,1.2,0.1,2.5,1.9,10.0,2643,6.0,12.7,0.473,1.3,3.0,0.43,4.7,9.7,0.486,3.1,3.9,0.785,1.3,4.9,6.2,12.9,2.0,0.1,4.1,3.1,16.4,115,108,2643,15.9,0.568,0.238,0.305,3.2,11.0,7.3,37.4,2.0,0.2,22.1,15.8,4.6,2.6,7.2,0.13,2.5,0.2,2.7,3.1,82.0,19755,2979,6205,0.48,363,973,0.373,2616,5232,0.5,1823,2416,0.755,1010,2262,3272,1917,579,323,1335,2031,8144,82.0,19755,2841,6291,0.452,493,1368,0.36,2348,4923,0.477,1703,2302,0.74,1004,2051,3055,1726,663,420,1259,2041,7878,52,30,50,32,3.24,-0.14,3.11,110.8,107.2,89.3,0.389,0.157,0.509,15.5,33.0,0.294,0.491,14.7,69.3,0.271,Market Square Arena,673967
4,1996-97,1997,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,DEN,NBA,PG,52,52,38.5,3.7,8.7,0.425,0.9,2.3,0.397,2.8,6.4,0.435,0.478,2.1,2.6,0.801,1.4,3.8,5.2,12.3,1.0,0.2,3.3,2.0,10.4,2001,5.0,11.7,0.425,1.2,3.1,0.397,3.7,8.6,0.435,2.8,3.5,0.801,1.8,5.2,7.0,16.6,1.3,0.2,4.5,2.7,14.0,114,113,2001,16.2,0.528,0.268,0.301,4.1,11.3,7.7,50.0,1.3,0.3,25.2,15.3,3.6,0.5,4.0,0.097,2.2,-1.4,0.7,1.4,82.0,19930,2934,6687,0.439,636,1711,0.372,2298,4976,0.462,1516,1992,0.761,994,2452,3446,1889,503,487,1359,1784,8020,82.0,19930,3297,7063,0.467,484,1232,0.393,2813,5831,0.482,1457,1943,0.75,1086,2459,3545,1846,724,453,1057,1725,8535,21,61,24,58,-6.28,-0.12,-6.4,104.5,111.2,92.4,0.298,0.256,0.486,15.2,28.8,0.227,0.501,11.8,69.3,0.206,McNichols Sports Arena,340486
5,1996-97,1997,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,IND,NBA,PG,30,30,35.1,3.2,7.6,0.427,0.6,1.9,0.316,2.6,5.7,0.465,0.467,2.0,2.6,0.766,0.7,3.5,4.1,9.8,1.5,0.1,3.4,1.9,9.0,1053,5.0,11.6,0.427,0.9,2.9,0.316,4.0,8.7,0.465,3.0,3.9,0.766,1.0,5.3,6.4,15.1,2.4,0.2,5.2,2.9,13.9,105,105,1053,14.8,0.519,0.251,0.339,2.3,11.6,7.0,44.8,2.4,0.2,28.1,15.9,0.8,1.3,2.1,0.096,1.7,0.1,1.8,1.0,82.0,19930,2851,6254,0.456,430,1130,0.381,2421,5124,0.472,1687,2336,0.722,1029,2390,3419,1750,585,394,1338,1977,7819,82.0,19930,2799,6357,0.44,499,1440,0.347,2300,4917,0.468,1642,2182,0.753,1004,2261,3265,1737,693,418,1289,1952,7739,39,43,44,38,0.98,0.52,1.49,105.8,104.7,89.0,0.374,0.181,0.49,15.5,31.3,0.27,0.48,15.0,70.4,0.258,Market Square Arena,636735
6,1997-98,1998,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,IND,NBA,PG,82,82,29.4,3.0,7.3,0.416,0.5,1.7,0.314,2.5,5.6,0.447,0.452,1.7,2.2,0.761,0.8,3.1,3.9,8.7,1.0,0.0,2.1,1.6,8.3,2413,5.6,13.5,0.416,1.0,3.1,0.314,4.7,10.4,0.447,3.1,4.1,0.761,1.5,5.8,7.3,16.1,1.9,0.0,3.9,3.0,15.3,111,103,2413,17.2,0.501,0.229,0.301,3.5,12.1,8.0,46.7,1.9,0.1,20.4,16.8,4.4,3.1,7.5,0.15,2.9,0.1,3.1,3.1,82.0,19830,2921,6223,0.469,401,1029,0.39,2520,5194,0.485,1631,2136,0.764,874,2348,3222,1889,645,368,1168,1859,7874,82.0,19830,2788,6451,0.432,274,867,0.316,2514,5584,0.45,1525,2096,0.728,1114,2254,3368,1591,644,366,1237,1847,7375,58,24,59,23,6.09,0.16,6.25,108.4,101.6,87.9,0.343,0.165,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,Market Square Arena,645302
7,1998-99,1999,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,33,IND,NBA,PG,49,49,28.2,2.8,6.7,0.419,0.7,2.1,0.311,2.2,4.6,0.469,0.468,1.3,1.6,0.823,0.7,3.1,3.8,7.9,0.9,0.1,2.0,1.2,7.6,1382,5.5,13.2,0.419,1.3,4.1,0.311,4.3,9.1,0.469,2.6,3.2,0.823,1.3,6.1,7.4,15.5,1.7,0.1,4.0,2.3,15.0,112,105,1382,17.9,0.513,0.313,0.24,2.9,12.7,7.9,45.4,1.7,0.2,21.4,16.0,3.0,0.9,3.8,0.134,3.7,-0.7,3.0,1.8,50.0,12100,1731,3866,0.448,294,799,0.368,1437,3067,0.469,977,1228,0.796,574,1452,2026,1005,316,223,649,1082,4733,50.0,12100,1706,3935,0.434,206,634,0.325,1500,3301,0.454,928,1227,0.756,626,1426,2052,955,357,238,652,1127,4546,33,17,32,18,3.74,0.12,3.86,108.7,104.4,86.4,0.318,0.207,0.486,12.8,28.7,0.253,0.46,12.7,69.9,0.236,Market Square Arena,404536
8,1999-00,2000,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,34,IND,NBA,PG,81,81,27.0,3.0,7.0,0.432,1.1,2.7,0.403,1.9,4.3,0.45,0.51,1.0,1.2,0.806,0.8,2.9,3.7,8.0,0.9,0.1,2.1,1.4,8.1,2190,5.8,13.4,0.432,2.1,5.2,0.403,3.7,8.2,0.45,1.9,2.3,0.806,1.5,5.5,7.0,15.3,1.8,0.2,4.1,2.6,15.5,113,105,2190,17.7,0.538,0.388,0.172,3.4,11.5,7.6,45.0,1.8,0.3,22.1,16.3,4.6,2.0,6.7,0.146,3.5,-0.4,3.1,2.8,82.0,19730,3047,6640,0.459,583,1487,0.392,2464,5153,0.478,1629,2008,0.811,842,2612,3454,1857,559,422,1159,1786,8306,82.0,19730,3113,6982,0.446,329,1006,0.327,2784,5976,0.466,1374,1821,0.755,1040,2545,3585,1735,610,323,1126,1910,7929,56,26,54,28,4.6,-0.45,4.15,108.5,103.6,93.1,0.302,0.224,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.197,Conseco Fieldhouse,752145
9,2000-01,2001,Mark Jackson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,35,TOR,NBA,PG,54,54,33.4,3.1,7.5,0.422,1.1,3.1,0.345,2.1,4.4,0.475,0.493,1.2,1.4,0.842,0.8,2.6,3.4,9.2,1.2,0.1,2.2,1.5,8.5,1802,5.0,11.8,0.422,1.7,4.8,0.345,3.3,7.0,0.475,1.9,2.2,0.842,1.2,4.2,5.4,14.6,1.8,0.2,3.4,2.4,13.5,114,106,1802,16.3,0.528,0.409,0.189,2.6,9.2,5.8,41.3,1.8,0.3,21.1,13.7,3.5,1.2,4.7,0.125,2.3,-0.6,1.8,1.7,82.0,19955.0,3048.0,6972.0,0.437,429.0,1164.0,0.369,2619.0,5808.0,0.451,1482.0,1984.0,0.747,1118.0,2529.0,3647.0,2004.0,599.0,519.0,1080.0,1745.0,8007.0,82.0,19955.0,3009.0,6725.0,0.447,379.0,1045.0,0.363,2630.0,5680.0,0.463,1425.0,1890.0,0.754,926.0,2511.0,3437.0,1696.0,561.0,439.0,1156.0,1792.0,7822.0,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,90.9,0.285,0.167,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,Air Canada Centre,793256
