,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1993-94,1994,Ervin Johnson,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,26,SEA,NBA,C,45,3,6.2,1.0,2.4,0.415,0.0,0.0,,1.0,2.4,0.415,0.415,0.6,1.0,0.63,1.1,1.6,2.6,0.2,0.2,0.5,0.5,1.0,2.6,280,7.9,19.1,0.415,0.0,0.0,,7.9,19.1,0.415,5.2,8.3,0.63,8.6,12.6,21.3,1.3,1.8,4.0,4.3,8.1,21.1,98,95,280,16.1,0.463,0.0,0.434,20.3,29.7,25.0,3.6,1.8,5.6,16.0,23.0,0.0,0.7,0.7,0.114,-3.6,-1.1,-4.8,-0.2,82.0,19730,3338,6901,0.484,242,722,0.335,3096,6179,0.501,1769,2374,0.745,1148,2233,3381,2112,1053,365,1262,1914,8687,82.0,19730,2928,6459,0.453,326,946,0.345,2602,5513,0.472,1760,2374,0.741,1084,2191,3275,1808,686,421,1666,1884,7942,63,19,64,18,9.09,-0.41,8.68,111.1,101.5,95.1,0.344,0.105,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.272,Seattle Center Coliseum,601369
1,1994-95,1995,Ervin Johnson,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,27,SEA,NBA,C,64,30,14.2,1.3,3.0,0.443,0.0,0.0,0.0,1.3,3.0,0.445,0.443,0.5,0.7,0.63,1.6,2.9,4.5,0.3,0.3,1.0,0.8,2.5,3.1,907,4.7,10.6,0.443,0.0,0.1,0.0,4.7,10.6,0.445,1.6,2.5,0.63,5.6,10.4,16.0,0.9,0.9,3.7,3.0,9.0,11.0,96,103,907,9.6,0.469,0.005,0.24,13.5,24.2,18.9,2.4,0.9,5.7,20.3,12.7,-0.2,1.5,1.3,0.067,-4.3,0.3,-4.0,-0.5,82.0,19830,3310,6741,0.491,491,1305,0.376,2819,5436,0.519,1944,2564,0.758,1068,2337,3405,2115,917,392,1295,2067,9055,82.0,19830,3008,6637,0.453,520,1514,0.343,2488,5123,0.486,1848,2514,0.735,1064,2207,3271,1849,652,493,1485,2024,8384,57,25,61,21,8.18,-0.27,7.91,114.8,106.3,95.5,0.38,0.194,0.527,14.1,32.6,0.288,0.492,16.1,68.7,0.278,Tacoma Dome,633604
2,1995-96,1996,Ervin Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,SEA,NBA,C,81,60,18.8,2.2,4.3,0.511,0.0,0.0,0.333,2.2,4.3,0.513,0.513,1.0,1.6,0.669,1.6,3.8,5.3,0.6,0.5,1.6,1.2,3.0,5.5,1519,6.1,11.9,0.511,0.0,0.1,0.333,6.0,11.8,0.513,2.9,4.3,0.669,4.3,10.2,14.6,1.6,1.3,4.3,3.3,8.2,15.0,103,98,1519,13.1,0.547,0.009,0.361,10.5,22.6,16.8,4.8,1.3,6.7,19.4,14.9,0.5,3.4,3.9,0.123,-3.2,2.1,-1.1,0.4,82.0,19880,3074,6401,0.48,581,1596,0.364,2493,4805,0.519,1843,2424,0.76,954,2449,3403,1999,882,393,1441,1967,8572,82.0,19880,2873,6553,0.438,533,1531,0.348,2340,5022,0.466,1654,2309,0.716,1074,2255,3329,1776,758,391,1517,2010,7933,64,18,61,21,7.79,-0.4,7.4,110.3,102.1,93.8,0.379,0.249,0.526,16.2,29.7,0.288,0.479,16.7,69.5,0.252,KeyArena at Seattle Center,697301
3,1996-97,1997,Ervin Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,DEN,NBA,C,82,82,31.7,3.0,5.7,0.52,0.0,0.0,0.0,3.0,5.7,0.523,0.52,1.2,1.9,0.615,2.8,8.3,11.1,0.9,0.8,2.8,1.4,3.5,7.1,2599,4.9,9.3,0.52,0.0,0.0,0.0,4.9,9.3,0.523,1.9,3.1,0.615,4.6,13.6,18.2,1.4,1.3,4.5,2.4,5.8,11.6,106,103,2599,14.3,0.543,0.004,0.334,10.3,29.6,20.0,4.3,1.3,6.0,18.1,11.2,1.4,3.8,5.2,0.096,-2.2,1.8,-0.4,1.1,82.0,19930,2934,6687,0.439,636,1711,0.372,2298,4976,0.462,1516,1992,0.761,994,2452,3446,1889,503,487,1359,1784,8020,82.0,19930,3297,7063,0.467,484,1232,0.393,2813,5831,0.482,1457,1943,0.75,1086,2459,3545,1846,724,453,1057,1725,8535,21,61,24,58,-6.28,-0.12,-6.4,104.5,111.2,92.4,0.298,0.256,0.486,15.2,28.8,0.227,0.501,11.8,69.3,0.206,McNichols Sports Arena,340486
4,1997-98,1998,Ervin Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,MIL,NBA,C,81,81,27.9,3.1,5.8,0.537,0.0,0.0,,3.1,5.8,0.537,0.537,1.8,2.9,0.601,3.0,5.5,8.5,0.7,1.0,2.0,1.4,4.0,8.0,2261,6.0,11.1,0.537,0.0,0.0,,6.0,11.1,0.537,3.4,5.6,0.601,5.7,10.4,16.1,1.4,1.9,3.7,2.8,7.6,15.3,110,100,2261,15.6,0.564,0.0,0.505,12.9,24.1,18.5,4.2,1.9,5.2,16.9,14.0,2.7,3.8,6.4,0.136,-1.1,1.5,0.3,1.3,82.0,19930,2918,6399,0.456,249,703,0.354,2669,5696,0.469,1663,2167,0.767,1035,2236,3271,1649,733,357,1383,1915,7748,82.0,19930,2911,6319,0.461,304,929,0.327,2607,5390,0.484,1779,2393,0.743,1001,2260,3261,1746,765,398,1348,1808,7905,36,46,35,47,-1.91,0.58,-1.33,103.5,105.6,90.2,0.339,0.11,0.475,15.8,31.4,0.26,0.485,15.5,69.1,0.282,Bradley Center,638034
5,1998-99,1999,Ervin Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,31,MIL,NBA,C,50,7,20.5,1.9,3.8,0.508,0.0,0.0,,1.9,3.8,0.508,0.508,1.3,2.1,0.61,2.4,4.0,6.4,0.4,0.6,1.1,0.9,3.0,5.1,1027,5.2,10.2,0.508,0.0,0.0,,5.2,10.2,0.508,3.4,5.6,0.61,6.4,10.7,17.2,1.0,1.6,3.1,2.5,8.1,13.8,110,98,1027,14.5,0.544,0.0,0.556,14.3,23.2,18.8,2.9,1.6,4.6,16.7,13.1,1.4,1.6,3.0,0.14,-1.1,0.2,-0.8,0.3,50.0,12050,1753,3818,0.459,231,619,0.373,1522,3199,0.476,847,1155,0.733,570,1369,1939,1030,442,202,719,1142,4584,50.0,12050,1600,3746,0.427,272,814,0.334,1328,2932,0.453,1029,1369,0.752,657,1398,2055,1018,399,194,830,1020,4501,28,22,28,22,1.66,0.0,1.66,104.9,103.0,87.0,0.303,0.162,0.489,14.3,29.0,0.222,0.463,16.0,67.6,0.275,Bradley Center,381948
6,1999-00,2000,Ervin Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,MIL,NBA,C,80,74,26.6,1.8,3.5,0.516,0.0,0.0,0.0,1.8,3.5,0.518,0.516,1.2,2.0,0.605,2.9,5.2,8.1,0.6,1.0,1.6,1.0,3.7,4.8,2129,3.5,6.8,0.516,0.0,0.0,0.0,3.5,6.8,0.518,2.3,3.8,0.605,5.7,10.1,15.8,1.1,2.0,3.1,1.9,7.2,9.3,113,103,2129,12.7,0.55,0.004,0.563,12.8,22.7,17.8,2.8,2.0,4.5,18.7,8.9,2.4,2.6,4.9,0.111,-1.3,0.9,-0.4,0.9,82.0,19855,3174,6827,0.465,394,1069,0.369,2780,5758,0.483,1558,1982,0.786,1016,2373,3389,1852,671,381,1230,2020,8300,82.0,19855,3033,6644,0.457,531,1357,0.391,2502,5287,0.473,1685,2241,0.752,1037,2368,3405,1987,637,340,1303,1870,8282,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,92.7,0.29,0.157,0.494,13.8,30.0,0.228,0.496,14.6,69.6,0.254,Bradley Center,628605
7,2000-01,2001,Ervin Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,33,MIL,NBA,C,82,19,24.2,1.3,2.4,0.545,0.0,0.0,,1.3,2.4,0.545,0.545,0.6,1.1,0.538,2.5,5.0,7.5,0.5,0.5,1.2,0.6,3.1,3.2,1981,2.8,5.2,0.545,0.0,0.0,,2.8,5.2,0.545,1.3,2.4,0.538,5.4,10.7,16.1,1.1,1.2,2.6,1.2,6.8,7.0,122,101,1981,11.2,0.557,0.0,0.47,11.8,23.2,17.5,2.8,1.2,3.6,16.4,6.5,2.6,2.5,5.1,0.123,-1.3,0.5,-0.8,0.6,82.0,19780,3112,6798,0.458,562,1481,0.379,2550,5317,0.48,1474,1874,0.787,975,2500,3475,1844,672,386,1123,1928,8260,82.0,19780,2912,6626,0.439,439,1246,0.352,2473,5380,0.46,1679,2186,0.768,1014,2490,3504,1883,592,350,1273,1778,7942,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,92.1,0.276,0.218,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.253,Bradley Center,683125
8,2001-02,2002,Ervin Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,34,MIL,NBA,C,81,9,20.5,1.1,2.4,0.461,0.0,0.0,0.0,1.1,2.4,0.464,0.461,0.4,0.8,0.455,1.8,4.0,5.8,0.3,0.5,1.0,0.6,2.7,2.6,1660,2.9,6.2,0.461,0.0,0.0,0.0,2.9,6.2,0.464,1.0,2.1,0.455,4.6,10.4,14.9,0.9,1.2,2.6,1.7,7.0,6.7,101,104,1660,8.6,0.468,0.005,0.342,10.4,21.5,16.2,2.3,1.2,3.6,19.0,7.7,0.5,1.9,2.3,0.067,-3.4,-0.1,-3.5,-0.6,82.0,19905,3041,6577,0.462,593,1583,0.375,2448,4994,0.49,1321,1767,0.748,841,2557,3398,1847,596,388,1157,1788,7996,82.0,19905,3016,6846,0.441,493,1377,0.358,2523,5469,0.461,1489,1967,0.757,1050,2438,3488,1883,599,361,1054,1642,8014,41,41,40,42,-0.22,-0.4,-0.62,106.9,107.1,90.2,0.269,0.241,0.507,13.6,25.6,0.201,0.477,12.0,70.9,0.217,Bradley Center,745305
9,2002-03,2003,Ervin Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,35,MIL,NBA,C,69,17,17.0,0.9,2.0,0.452,0.0,0.0,,0.9,2.0,0.452,0.452,0.4,0.6,0.682,1.7,2.6,4.3,0.3,0.5,0.9,0.5,2.6,2.2,1170,2.8,6.1,0.452,0.0,0.0,,2.8,6.1,0.452,1.4,2.0,0.682,5.3,8.0,13.3,1.1,1.5,2.9,1.5,8.1,6.9,111,106,1170,9.4,0.492,0.0,0.326,11.7,17.8,14.7,2.9,1.5,4.0,18.1,7.5,1.0,0.9,1.9,0.079,-2.9,-0.1,-3.0,-0.3,82.0,19905,3045,6670,0.457,585,1526,0.383,2460,5144,0.478,1483,1911,0.776,876,2367,3243,1823,622,344,1044,1820,8158,82.0,19905,3043,6642,0.458,479,1278,0.375,2564,5364,0.478,1574,2114,0.745,1021,2541,3562,1892,543,333,1182,1685,8139,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,90.4,0.287,0.229,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,665966
