,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Joe Kleine,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,BOS,NBA,C,78,3,14.5,1.4,3.4,0.404,0.0,0.1,0.0,1.4,3.3,0.414,0.404,0.5,0.7,0.707,1.4,3.0,4.4,0.5,0.2,0.2,0.5,1.6,3.3,1129,4.8,12.0,0.404,0.0,0.3,0.0,4.8,11.7,0.414,1.8,2.6,0.707,5.1,10.4,15.5,1.7,0.8,0.8,1.7,5.5,11.5,102,107,1129,9.6,0.439,0.022,0.217,11.5,23.1,17.4,4.4,0.8,0.9,11.2,12.7,0.2,1.3,1.5,0.064,-2.5,-1.0,-3.5,-0.4,82.0,19780,3453,7093,0.487,110,383,0.287,3343,6710,0.498,1486,1912,0.777,1076,2436,3512,1999,647,458,1174,1862,8502,82.0,19780,3232,6980,0.463,216,650,0.332,3016,6330,0.476,1749,2269,0.771,1094,2378,3472,1971,637,386,1181,1676,8429,48,34,43,39,0.89,0.04,0.93,108.7,107.8,94.9,0.27,0.054,0.495,12.9,31.2,0.21,0.479,12.9,69.0,0.251,Boston Garden,608495
1,1993-94,1994,Joe Kleine,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,PHO,NBA,C,74,4,11.5,1.7,3.5,0.488,0.1,0.1,0.455,1.6,3.3,0.49,0.498,0.4,0.5,0.769,0.7,1.9,2.6,0.6,0.2,0.3,0.5,1.6,3.9,848,7.3,15.0,0.488,0.3,0.6,0.455,7.0,14.3,0.49,1.8,2.3,0.769,2.9,8.4,11.3,2.6,0.8,1.1,2.0,6.9,16.7,108,107,848,11.2,0.522,0.043,0.152,6.7,18.8,12.8,7.3,0.8,1.4,11.4,15.2,0.8,0.8,1.6,0.089,-2.3,-0.5,-2.8,-0.2,82.0,19705,3429,7080,0.484,344,1042,0.33,3085,6038,0.511,1674,2301,0.728,1220,2453,3673,2261,745,460,1305,1639,8876,82.0,19705,3379,7135,0.474,283,863,0.328,3096,6272,0.494,1438,1998,0.72,1086,2247,3333,2154,748,437,1254,1870,8479,56,26,54,28,4.84,-0.17,4.68,111.7,106.8,96.7,0.325,0.147,0.509,13.9,35.2,0.236,0.493,13.5,69.3,0.202,America West Arena,779952
2,1994-95,1995,Joe Kleine,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,33,PHO,NBA,C,75,42,12.9,1.6,3.5,0.449,0.0,0.0,0.0,1.6,3.5,0.452,0.449,0.6,0.7,0.857,1.1,2.4,3.5,0.5,0.2,0.2,0.5,2.3,3.7,968,6.2,13.7,0.449,0.0,0.1,0.0,6.2,13.6,0.452,2.2,2.5,0.857,4.2,9.1,13.4,2.0,0.7,0.9,1.8,9.0,14.5,107,110,968,9.8,0.489,0.008,0.185,9.7,21.1,15.4,5.6,0.7,1.4,10.9,14.4,0.6,0.8,1.4,0.068,-3.9,-1.2,-5.1,-0.7,82.0,19830,3356,6967,0.482,584,1584,0.369,2772,5383,0.515,1777,2352,0.756,1027,2403,3430,2198,687,312,1167,1839,9073,82.0,19830,3320,6963,0.477,525,1544,0.34,2795,5419,0.516,1590,2138,0.744,1038,2431,3469,2149,658,391,1285,2026,8755,59,23,51,31,3.88,-0.02,3.86,114.5,110.4,95.9,0.338,0.227,0.524,12.7,29.7,0.255,0.515,14.0,69.8,0.228,America West Arena,779943
3,1995-96,1996,Joe Kleine,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,34,PHO,NBA,C,56,9,11.8,1.3,3.0,0.42,0.0,0.1,0.286,1.2,2.9,0.426,0.426,0.4,0.4,0.8,0.6,1.7,2.4,0.8,0.2,0.1,0.7,2.0,2.9,663,5.5,13.1,0.42,0.2,0.5,0.286,5.4,12.6,0.426,1.6,1.9,0.8,2.8,7.5,10.3,3.4,1.0,0.5,2.9,8.8,12.7,93,111,663,6.8,0.456,0.041,0.148,6.4,16.5,11.5,9.7,1.0,0.7,17.1,14.6,-0.3,0.4,0.1,0.007,-5.4,-0.8,-6.1,-0.7,82.0,19955,3159,6673,0.473,327,984,0.332,2832,5689,0.498,1907,2472,0.771,1009,2501,3510,2001,623,331,1207,1776,8552,82.0,19955,3217,6837,0.471,551,1492,0.369,2666,5345,0.499,1540,2083,0.739,1003,2382,3385,2088,586,420,1191,2011,8525,41,41,42,40,0.33,-0.05,0.28,110.3,110.0,93.2,0.37,0.147,0.498,13.5,29.8,0.286,0.511,13.3,71.4,0.225,America West Arena,779943
4,1996-97,1997,Joe Kleine,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,35,PHO,NBA,C,23,10,15.9,1.4,3.5,0.4,0.0,0.0,1.0,1.3,3.4,0.392,0.406,0.6,0.8,0.722,0.9,2.6,3.5,0.5,0.4,0.3,0.9,2.0,3.4,365,4.5,11.3,0.4,0.1,0.1,1.0,4.4,11.1,0.392,1.8,2.5,0.722,3.0,8.3,11.3,1.7,1.3,0.8,2.8,6.6,11.0,88,108,365,6.5,0.444,0.013,0.225,6.8,18.7,12.8,4.7,1.3,1.2,18.5,13.3,-0.3,0.3,0.0,0.001,-5.0,-0.2,-5.2,-0.3,82.0,19855,3143,6705,0.469,527,1428,0.369,2616,5277,0.496,1618,2125,0.761,916,2376,3292,2067,664,322,1180,1727,8431,82.0,19855,3183,6818,0.467,545,1479,0.368,2638,5339,0.494,1466,1984,0.739,1048,2461,3509,1996,662,372,1298,1840,8377,40,42,43,39,0.66,-0.45,0.21,109.3,108.6,93.2,0.317,0.213,0.508,13.4,27.1,0.241,0.507,14.4,69.4,0.215,America West Arena,779940
5,1996-97,1997,Joe Kleine,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,35,LAL,NBA,C,8,0,3.8,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.3,0.3,1.0,0.3,0.9,1.1,0.0,0.0,0.0,0.0,0.8,0.8,30,3.5,14.0,0.25,0.0,0.0,,3.5,14.0,0.25,3.5,3.5,1.0,3.5,12.3,15.8,0.0,0.0,0.0,0.0,10.5,10.5,92,104,30,4.2,0.338,0.0,0.25,7.7,26.4,17.1,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.042,-8.1,-3.3,-11.4,-0.1,82.0,19930,3018,6642,0.454,551,1500,0.367,2467,5142,0.48,1613,2330,0.692,1092,2414,3506,1845,740,575,1222,1818,8200,82.0,19930,2922,6619,0.441,479,1379,0.347,2443,5240,0.466,1527,2126,0.718,1110,2368,3478,1880,620,388,1341,1934,7850,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,91.1,0.351,0.226,0.496,13.7,31.6,0.243,0.478,15.1,68.5,0.231,Great Western Forum,697159
6,1996-97,1997,Joe Kleine,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,35,NJN,NBA,C,28,0,16.2,1.3,2.9,0.427,0.0,0.1,0.5,1.2,2.9,0.425,0.433,0.5,0.6,0.722,1.4,2.7,4.1,0.8,0.3,0.4,0.8,2.0,3.0,453,4.0,9.4,0.427,0.1,0.2,0.5,3.9,9.2,0.425,1.5,2.1,0.722,4.5,8.6,13.1,2.6,0.9,1.4,2.4,6.5,9.6,100,110,453,8.7,0.467,0.024,0.22,8.8,19.0,13.6,7.5,0.9,2.0,18.9,10.4,0.1,0.3,0.4,0.038,-3.9,-0.1,-4.0,-0.2,82.0,19780,2994,7091,0.422,484,1371,0.353,2510,5720,0.439,1502,2031,0.74,1410,2376,3786,1726,677,481,1290,1865,7974,82.0,19780,3100,6684,0.464,520,1398,0.372,2580,5286,0.488,1628,2185,0.745,1065,2464,3529,1925,675,516,1257,1780,8348,26,56,28,54,-4.56,0.67,-3.89,104.7,109.7,92.4,0.286,0.193,0.456,13.9,36.4,0.212,0.503,14.1,69.0,0.244,Continental Airlines Arena,670628
7,1997-98,1998,Joe Kleine,-1.0,0.0,0.0,0.0,false,3.0,0.0,500.0,36,CHI,NBA,C,46,1,8.6,0.8,2.3,0.368,0.0,0.0,,0.8,2.3,0.368,0.368,0.3,0.4,0.833,0.6,1.1,1.7,0.7,0.1,0.1,0.6,1.4,2.0,397,5.3,14.4,0.368,0.0,0.0,,5.3,14.4,0.368,2.0,2.4,0.833,3.7,6.8,10.5,4.1,0.5,0.7,3.8,8.6,12.6,87,103,397,5.5,0.408,0.0,0.17,7.8,14.5,11.1,11.2,0.5,0.9,19.7,16.0,-0.4,0.5,0.1,0.016,-6.3,-0.2,-6.4,-0.4,82.0,19855,3064,6801,0.451,311,962,0.323,2753,5839,0.471,1492,2009,0.743,1243,2438,3681,1952,696,353,1178,1691,7931,82.0,19855,2797,6483,0.431,329,1022,0.322,2468,5461,0.452,1425,1956,0.729,1016,2239,3255,1595,657,356,1268,1774,7348,62,20,61,21,7.11,0.13,7.24,107.7,99.8,89.0,0.295,0.141,0.473,13.3,35.7,0.219,0.457,14.7,70.6,0.22,United Center,983444
8,1998-99,1999,Joe Kleine,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,37,PHO,NBA,C,31,5,12.1,1.0,2.4,0.405,0.0,0.1,0.0,1.0,2.3,0.417,0.405,0.3,0.4,0.667,0.9,1.3,2.2,0.4,0.3,0.0,0.3,1.5,2.2,374,4.3,10.6,0.405,0.0,0.3,0.0,4.3,10.3,0.417,1.1,1.7,0.667,3.9,5.7,9.6,1.7,1.1,0.1,1.4,6.6,9.7,97,106,374,6.6,0.429,0.027,0.162,8.3,12.7,10.4,4.8,1.1,0.2,11.2,11.0,0.1,0.2,0.3,0.037,-4.2,-1.4,-5.6,-0.3,50.0,12050,1797,4004,0.449,261,702,0.372,1536,3302,0.465,924,1215,0.76,598,1418,2016,1249,444,200,681,1022,4779,50.0,12050,1772,3936,0.45,272,755,0.36,1500,3181,0.472,850,1224,0.694,614,1506,2120,1064,410,205,812,1065,4666,27,23,29,21,2.26,-0.11,2.15,105.8,103.3,90.0,0.303,0.175,0.481,13.0,28.4,0.231,0.485,15.4,69.8,0.216,America West Arena,472283
9,1999-00,2000,Joe Kleine,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,38,POR,NBA,C,7,0,4.4,0.6,1.6,0.364,0.0,0.0,,0.6,1.6,0.364,0.364,0.4,0.4,1.0,0.0,0.9,0.9,0.3,0.1,0.0,0.3,1.0,1.6,31,6.9,19.0,0.364,0.0,0.0,,6.9,19.0,0.364,5.2,5.2,1.0,0.0,10.3,10.3,3.4,1.7,0.0,3.4,12.1,19.0,89,99,31,6.8,0.446,0.0,0.273,0.0,21.6,11.4,10.2,1.7,0.0,14.0,21.3,0.0,0.1,0.0,0.04,-6.5,1.0,-5.4,0.0,82.0,19780,3021,6430,0.47,407,1128,0.361,2614,5302,0.493,1542,2029,0.76,966,2560,3526,1925,633,396,1243,1865,7991,82.0,19780,2825,6557,0.431,394,1195,0.33,2431,5362,0.453,1422,1985,0.716,978,2220,3198,1705,652,350,1186,1872,7466,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,89.9,0.316,0.175,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217,Rose Garden Arena,835078
