,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1998-99,1999,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,DEN,NBA,C,12,12,32.3,4.9,10.8,0.457,1.0,2.6,0.387,3.9,8.2,0.48,0.504,3.0,4.0,0.75,2.8,4.8,7.6,0.7,0.8,1.4,0.8,3.2,13.8,387,8.1,17.7,0.457,1.6,4.3,0.387,6.4,13.4,0.48,4.9,6.6,0.75,4.5,8.0,12.5,1.1,1.2,2.3,1.2,5.2,22.8,119,109,387,18.9,0.553,0.24,0.372,9.5,17.9,13.6,3.8,1.2,3.1,5.7,18.6,1.1,0.1,1.2,0.144,2.9,-1.5,1.4,0.3,50.0,12025,1681,3989,0.421,302,922,0.328,1379,3067,0.45,1010,1325,0.762,647,1392,2039,969,376,275,739,1145,4674,50.0,12025,1885,4017,0.469,237,640,0.37,1648,3377,0.488,997,1339,0.745,620,1502,2122,1175,396,274,701,1103,5004,14,36,14,36,-6.6,-0.07,-6.67,103.1,110.4,90.5,0.332,0.231,0.459,13.9,30.1,0.253,0.499,13.2,69.2,0.248,McNichols Sports Arena,296965
1,1999-00,2000,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,DEN,NBA,C,81,80,30.1,4.8,10.9,0.446,0.7,2.3,0.328,4.1,8.6,0.477,0.48,2.0,2.9,0.686,2.1,5.8,7.9,1.2,0.5,2.2,1.2,3.6,12.4,2435,8.2,18.3,0.446,1.2,3.8,0.328,6.9,14.5,0.477,3.4,4.9,0.686,3.5,9.8,13.3,2.0,0.9,3.7,2.0,6.1,20.9,106,103,2435,16.3,0.512,0.208,0.268,7.5,21.2,14.3,6.5,0.9,5.0,8.9,19.3,2.9,3.0,5.9,0.116,-0.2,0.4,0.2,1.4,82.0,19855,3057,6911,0.442,470,1397,0.336,2587,5514,0.469,1531,2116,0.724,1073,2590,3663,1911,554,618,1281,1962,8115,82.0,19855,3129,6953,0.45,399,1126,0.354,2730,5827,0.469,1632,2174,0.751,1027,2606,3633,2003,616,462,1179,1937,8289,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,94.7,0.306,0.202,0.476,14.0,29.2,0.222,0.479,13.0,71.6,0.235,Pepsi Center,637698
2,2000-01,2001,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,DEN,NBA,C,78,74,31.5,5.0,10.4,0.477,0.7,1.8,0.367,4.3,8.6,0.499,0.508,2.3,3.4,0.698,2.2,5.6,7.8,1.4,0.5,2.6,1.2,3.7,12.9,2457,8.2,17.1,0.477,1.1,2.9,0.367,7.1,14.2,0.499,3.9,5.5,0.698,3.6,9.2,12.8,2.3,0.8,4.3,2.0,6.1,21.3,110,103,2457,17.6,0.544,0.171,0.323,7.6,19.4,13.4,7.3,0.8,5.8,9.5,18.6,4.3,2.5,6.8,0.132,0.1,0.7,0.8,1.8,82.0,19780,2979,6877,0.433,512,1444,0.355,2467,5433,0.454,1448,1964,0.737,1044,2583,3627,1970,552,538,1136,1820,7918,82.0,19780,3081,6914,0.446,416,1168,0.356,2665,5746,0.464,1542,2049,0.753,1012,2642,3654,2042,588,497,1075,1758,8120,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,92.6,0.286,0.21,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,Pepsi Center,619300
3,2001-02,2002,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,DEN,NBA,C,51,51,32.7,6.0,12.9,0.466,1.5,3.4,0.434,4.5,9.5,0.477,0.523,1.4,2.1,0.667,2.3,5.1,7.4,1.2,0.6,3.0,1.2,3.4,14.9,1668,9.8,21.0,0.466,2.4,5.5,0.434,7.4,15.5,0.477,2.2,3.3,0.667,3.7,8.3,12.1,1.9,1.0,4.9,1.9,5.5,24.2,110,104,1668,18.9,0.538,0.263,0.159,7.6,18.8,12.9,6.5,1.0,6.8,7.8,20.5,2.7,1.8,4.5,0.129,1.6,0.8,2.4,1.8,82.0,19805,2915,6870,0.424,423,1285,0.329,2492,5585,0.446,1306,1756,0.744,1117,2310,3427,1817,613,462,1205,1873,7559,82.0,19805,3005,6540,0.459,424,1173,0.361,2581,5367,0.481,1602,2144,0.747,995,2529,3524,1968,671,560,1173,1646,8036,27,55,24,58,-5.82,0.63,-5.19,101.4,107.8,90.4,0.256,0.187,0.455,13.6,30.6,0.19,0.492,13.6,69.9,0.245,Pepsi Center,633846
4,2001-02,2002,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,DAL,NBA,C,27,25,29.1,4.2,9.7,0.437,1.1,3.5,0.305,3.1,6.1,0.512,0.492,1.3,1.7,0.761,2.2,5.2,7.4,1.1,0.9,2.2,1.3,4.0,10.8,787,7.5,17.1,0.437,1.9,6.2,0.305,5.6,10.9,0.512,2.3,3.0,0.761,3.9,9.3,13.1,1.9,1.6,3.9,2.2,7.1,19.2,106,103,787,15.8,0.519,0.364,0.176,8.5,19.6,14.1,5.6,1.6,5.5,10.8,18.1,0.9,1.0,1.9,0.115,-0.4,0.9,0.6,0.5,82.0,19880,3200,6930,0.462,621,1645,0.378,2579,5285,0.488,1608,1994,0.806,918,2568,3486,1811,581,392,992,1842,8629,82.0,19880,3094,6851,0.452,452,1293,0.35,2642,5558,0.475,1640,2184,0.751,1065,2600,3665,1865,589,377,1155,1788,8280,57,25,53,29,4.26,0.16,4.41,112.2,107.7,92.8,0.288,0.237,0.507,11.3,26.1,0.232,0.485,12.9,70.7,0.239,American Airlines Center,802783
5,2002-03,2003,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,DAL,NBA,C,69,43,23.3,3.9,7.4,0.518,0.7,1.7,0.405,3.2,5.8,0.55,0.563,0.9,1.3,0.682,1.8,3.0,4.8,0.8,0.5,1.3,0.7,3.8,9.3,1611,8.6,16.5,0.518,1.5,3.7,0.405,7.1,12.8,0.55,1.9,2.8,0.682,4.0,6.6,10.6,1.7,1.1,2.9,1.5,8.5,20.6,118,102,1611,16.5,0.578,0.226,0.171,8.5,14.0,11.3,5.3,1.1,4.2,7.7,16.9,3.8,2.0,5.8,0.173,0.0,0.6,0.6,1.1,82.0,19780,3161,6982,0.453,636,1668,0.381,2525,5314,0.475,1486,1793,0.829,912,2544,3456,1837,665,449,949,1730,8444,82.0,19780,2926,6687,0.438,477,1401,0.34,2449,5286,0.463,1477,2032,0.727,1045,2682,3727,1781,547,322,1316,1746,7806,60,22,62,20,7.78,0.12,7.9,110.7,102.3,92.5,0.257,0.239,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,816429
6,2003-04,2004,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,BOS,NBA,C,17,1,19.3,3.4,7.3,0.46,0.5,2.4,0.2,2.9,4.9,0.583,0.492,0.6,0.8,0.769,1.8,2.9,4.6,1.4,0.5,0.8,0.6,2.8,7.8,328,9.0,19.5,0.46,1.3,6.3,0.2,7.7,13.2,0.583,1.6,2.0,0.769,4.7,7.7,12.4,3.8,1.3,2.0,1.7,7.4,20.7,110,103,328,16.8,0.509,0.323,0.105,10.7,16.8,13.8,13.4,1.3,3.1,7.8,19.5,0.6,0.3,0.9,0.137,0.7,-0.2,0.5,0.2,82.0,19705,2843,6415,0.443,553,1599,0.346,2290,4816,0.475,1572,2095,0.75,851,2440,3291,1683,770,331,1332,1837,7811,82.0,19705,2894,6626,0.437,555,1534,0.362,2339,5092,0.459,1587,2157,0.736,1069,2524,3593,1882,719,408,1406,1819,7930,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,93.2,0.327,0.249,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,FleetCenter,664248
7,2004-05,2005,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,BOS,NBA,PF,80,80,27.5,4.3,8.6,0.496,1.0,2.8,0.364,3.2,5.8,0.559,0.555,1.5,1.9,0.811,1.9,5.0,6.9,1.2,0.5,1.2,0.9,3.3,11.1,2196,8.0,16.1,0.496,1.9,5.3,0.364,6.1,10.8,0.559,2.8,3.5,0.811,3.6,9.3,13.0,2.3,1.0,2.3,1.6,6.1,20.7,120,105,2196,17.3,0.587,0.327,0.215,8.4,20.8,14.7,7.3,1.0,3.4,8.5,16.9,4.9,2.6,7.5,0.165,1.8,0.1,1.8,2.1,82.0,19880,3046,6511,0.468,437,1252,0.349,2609,5259,0.496,1775,2323,0.764,909,2438,3347,1810,667,423,1297,2000,8304,82.0,19880,2960,6664,0.444,488,1370,0.356,2472,5294,0.467,1825,2423,0.753,1039,2427,3466,1859,714,402,1277,1937,8233,45,37,43,39,0.87,-0.52,0.35,107.5,106.6,93.3,0.357,0.192,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,FleetCenter,656081
8,2005-06,2006,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,BOS,NBA,PF,82,63,24.8,2.9,6.7,0.431,1.4,3.5,0.392,1.5,3.2,0.474,0.533,0.6,0.9,0.68,1.0,4.0,5.0,1.4,0.4,0.9,0.8,3.3,7.8,2033,6.1,14.1,0.431,2.9,7.3,0.392,3.2,6.8,0.474,1.3,1.9,0.68,2.0,8.4,10.4,2.9,0.7,1.8,1.7,7.0,16.4,110,106,2033,12.0,0.546,0.518,0.136,4.9,19.1,12.2,9.0,0.7,2.7,10.0,14.7,2.2,2.0,4.3,0.101,-0.4,0.2,-0.1,1.0,82.0,19880,2951,6322,0.467,467,1290,0.362,2484,5032,0.494,1664,2204,0.755,813,2432,3245,1716,578,422,1359,2033,8033,82.0,19880,2944,6462,0.456,446,1265,0.353,2498,5197,0.481,1825,2457,0.743,910,2369,3279,1763,688,404,1210,1837,8159,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,TD Banknorth Garden,692873
9,2006-07,2007,Raef LaFrentz,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,POR,NBA,PF,27,9,13.0,1.4,3.8,0.382,0.1,0.9,0.087,1.4,2.9,0.468,0.392,0.7,1.0,0.769,0.9,1.7,2.6,0.3,0.3,0.4,0.5,2.1,3.7,352,6.0,15.7,0.382,0.3,3.6,0.087,5.7,12.2,0.468,3.1,4.0,0.769,3.9,6.9,10.8,1.2,1.1,1.7,2.0,8.8,15.4,96,110,352,8.7,0.441,0.225,0.255,8.7,16.2,12.4,3.7,1.1,2.5,10.3,16.8,-0.1,0.2,0.2,0.021,-4.2,-1.4,-5.6,-0.3,82.0,19955,2874,6392,0.45,426,1232,0.346,2448,5160,0.474,1543,2006,0.769,923,2299,3222,1513,555,380,1236,1931,7717,82.0,19955,2962,6292,0.471,467,1293,0.361,2495,4999,0.499,1678,2157,0.778,850,2347,3197,1703,539,380,1127,1750,8069,32,50,29,53,-4.29,0.51,-3.78,105.1,109.9,88.3,0.314,0.193,0.483,14.5,28.2,0.241,0.508,13.5,73.0,0.267,Rose Garden Arena,670778
