,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2005-06,2006,David Lee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,NYK,NBA,SF,67,14,16.9,2.0,3.4,0.596,0.0,0.0,,2.0,3.4,0.596,0.596,1.1,1.8,0.577,1.6,2.9,4.5,0.6,0.4,0.3,0.8,1.9,5.1,1129,6.4,10.8,0.596,0.0,0.0,,6.4,10.8,0.596,3.3,5.8,0.577,5.1,9.1,14.2,2.0,1.4,0.9,2.4,5.8,16.2,118,109,1129,15.4,0.607,0.0,0.535,11.6,21.1,16.3,6.5,1.4,1.5,15.2,13.5,2.0,0.8,2.7,0.116,0.7,-0.6,0.1,0.6,82.0,19930,2822,6206,0.455,320,884,0.362,2502,5322,0.47,1878,2587,0.726,1034,2360,3394,1468,555,271,1449,2157,7842,82.0,19930,2967,6359,0.467,565,1495,0.378,2402,4864,0.494,1868,2480,0.753,883,2280,3163,1744,674,437,1154,2079,8367,23,59,24,58,-6.4,0.11,-6.3,104.0,111.0,90.8,0.417,0.142,0.481,16.5,31.2,0.303,0.511,13.4,72.8,0.294,Madison Square Garden (IV),776176
1,2006-07,2007,David Lee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,NYK,NBA,PF,58,12,29.8,4.1,6.9,0.6,0.0,0.0,,4.1,6.9,0.6,0.6,2.4,3.0,0.815,3.4,7.0,10.4,1.8,0.8,0.4,1.6,2.7,10.7,1731,7.3,12.2,0.6,0.0,0.0,,7.3,12.2,0.6,4.3,5.3,0.815,6.0,12.4,18.4,3.2,1.5,0.7,2.8,4.7,19.0,127,105,1731,20.2,0.652,0.0,0.433,13.6,27.6,20.7,10.2,1.5,1.1,16.2,14.9,4.8,2.1,6.9,0.191,2.8,0.2,3.0,2.2,82.0,20005,2903,6356,0.457,474,1370,0.346,2429,4986,0.487,1714,2396,0.715,1032,2516,3548,1532,543,260,1405,1932,7994,82.0,20005,3021,6566,0.46,573,1523,0.376,2448,5043,0.485,1613,2135,0.756,885,2297,3182,1748,616,406,1122,1875,8228,33,49,33,49,-2.85,-0.21,-3.06,105.7,108.8,90.8,0.377,0.216,0.494,15.9,31.0,0.27,0.504,13.0,74.0,0.246,Madison Square Garden (IV),770617
2,2007-08,2008,David Lee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,NYK,NBA,PF,81,29,29.1,4.2,7.6,0.552,0.0,0.0,0.0,4.2,7.6,0.554,0.552,2.4,2.9,0.819,3.0,6.0,8.9,1.2,0.7,0.4,1.2,2.6,10.8,2356,7.6,13.7,0.552,0.0,0.0,0.0,7.6,13.7,0.554,4.3,5.3,0.819,5.4,10.7,16.1,2.1,1.2,0.6,2.2,4.7,19.5,123,110,2356,18.0,0.606,0.003,0.383,11.3,24.1,17.5,6.7,1.2,1.0,11.8,15.6,5.6,1.8,7.4,0.151,1.1,-0.7,0.4,1.4,82.0,19880,2967,6757,0.439,490,1454,0.337,2477,5303,0.467,1524,2095,0.727,1029,2457,3486,1530,521,213,1187,1761,7948,82.0,19880,3184,6711,0.474,587,1592,0.369,2597,5119,0.507,1535,2078,0.739,924,2573,3497,1773,621,429,1046,1665,8490,23,59,23,59,-6.61,0.06,-6.55,104.7,111.9,91.6,0.31,0.215,0.475,13.4,28.6,0.226,0.518,12.1,72.7,0.229,Madison Square Garden (IV),783739
3,2008-09,2009,David Lee,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,NYK,NBA,C,81,74,34.9,6.4,11.7,0.549,0.0,0.0,0.0,6.4,11.7,0.551,0.549,3.1,4.1,0.755,3.2,8.6,11.7,2.1,1.0,0.3,1.9,3.2,16.0,2824,9.2,16.7,0.549,0.0,0.1,0.0,9.2,16.7,0.551,4.4,5.8,0.755,4.5,12.2,16.7,3.1,1.4,0.4,2.6,4.6,22.7,118,108,2824,19.0,0.59,0.003,0.347,9.6,27.9,18.4,10.1,1.4,0.6,12.0,19.2,5.9,3.1,9.0,0.154,1.0,-0.2,0.8,2.0,82.0,19805,3157,7091,0.445,823,2284,0.36,2334,4807,0.486,1490,1900,0.784,911,2545,3456,1738,610,204,1174,1672,8627,82.0,19805,3378,7041,0.48,571,1625,0.351,2807,5416,0.518,1514,1998,0.758,954,2826,3780,1774,654,437,1188,1592,8841,32,50,34,48,-2.61,0.28,-2.33,108.1,110.8,96.7,0.268,0.322,0.503,12.9,24.4,0.21,0.52,13.0,72.7,0.215,Madison Square Garden (IV),790801
4,2009-10,2010,David Lee,17T,0.0,1.0,0.0,false,0.0,1.0,500.0,26,NYK,NBA,C,81,81,37.3,8.5,15.5,0.545,0.0,0.1,0.0,8.5,15.4,0.549,0.545,3.3,4.1,0.812,2.8,8.9,11.7,3.6,1.0,0.5,2.3,3.2,20.2,3019,11.6,21.3,0.545,0.0,0.1,0.0,11.6,21.1,0.549,4.5,5.6,0.812,3.9,12.2,16.1,5.0,1.4,0.7,3.2,4.3,27.7,116,108,3019,22.2,0.584,0.006,0.262,8.4,27.6,17.9,17.5,1.4,1.0,11.9,23.8,7.4,2.9,10.3,0.163,2.6,0.0,2.5,3.5,82.0,19880,3127,6876,0.455,743,2145,0.346,2384,4731,0.504,1376,1759,0.782,836,2477,3313,1772,586,305,1148,1638,8373,82.0,19880,3352,6902,0.486,553,1571,0.352,2799,5331,0.525,1429,1896,0.754,959,2724,3683,1723,585,368,1182,1576,8686,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,94.0,0.256,0.312,0.509,13.0,23.5,0.2,0.526,13.3,72.1,0.207,Madison Square Garden (IV),799550
5,2010-11,2011,David Lee,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,27,GSW,NBA,PF,73,73,36.1,6.8,13.4,0.507,0.0,0.0,0.333,6.8,13.4,0.508,0.508,2.9,3.7,0.787,3.0,6.8,9.8,3.2,1.0,0.4,2.3,2.9,16.5,2634,9.5,18.8,0.507,0.0,0.1,0.333,9.5,18.7,0.508,4.0,5.1,0.787,4.2,9.6,13.7,4.5,1.4,0.6,3.3,4.1,23.1,111,110,2634,17.8,0.549,0.003,0.273,9.1,21.9,15.4,14.0,1.4,0.9,13.4,21.2,4.1,2.0,6.0,0.11,0.5,-0.9,-0.4,1.1,82.0,19830,3251,7047,0.461,685,1749,0.392,2566,5298,0.484,1290,1695,0.761,955,2370,3325,1847,737,406,1198,1806,8477,82.0,19830,3173,6788,0.467,567,1586,0.358,2606,5202,0.501,1755,2262,0.776,1051,2623,3674,2029,672,352,1324,1512,8668,36,46,35,47,-2.33,0.33,-2.0,108.2,110.7,94.8,0.241,0.248,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,Oracle Arena,766398
6,2011-12,2012,David Lee,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,28,GSW,NBA,PF,57,57,37.2,8.1,16.2,0.503,0.0,0.1,0.0,8.1,16.1,0.506,0.503,3.8,4.9,0.782,3.0,6.6,9.6,2.8,0.9,0.4,2.6,3.1,20.1,2121,11.4,22.6,0.503,0.0,0.1,0.0,11.4,22.5,0.506,5.4,6.9,0.782,4.2,9.2,13.4,4.0,1.3,0.5,3.7,4.4,28.1,108,109,2121,19.7,0.549,0.005,0.304,9.2,19.9,14.6,13.6,1.3,0.8,12.5,26.0,3.8,1.2,5.0,0.113,1.2,-1.6,-0.3,0.9,66.0,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453,66.0,15915,2461,5431,0.453,468,1281,0.365,1993,4150,0.48,1288,1725,0.747,869,2157,3026,1527,499,328,978,1095,6678,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,92.3,0.227,0.248,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,Oracle Arena,622311
7,2012-13,2013,David Lee,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,29,GSW,NBA,PF,79,79,36.8,7.6,14.7,0.519,0.0,0.1,0.0,7.6,14.6,0.521,0.519,3.2,4.1,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,18.5,2907,10.5,20.3,0.519,0.0,0.1,0.0,10.5,20.2,0.521,4.5,5.6,0.797,3.8,11.7,15.5,4.9,1.2,0.4,3.6,4.3,25.5,110,104,2907,19.2,0.561,0.003,0.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,5.4,3.7,9.1,0.15,1.4,0.4,1.8,2.8,82.0,19805,3130,6840,0.458,658,1632,0.403,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296,82.0,19805,3051,6954,0.439,657,1896,0.347,2394,5058,0.473,1464,1958,0.748,907,2596,3503,1931,670,399,1110,1571,8223,47,35,44,38,0.89,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211,Oracle Arena,794320
8,2013-14,2014,David Lee,-1,0.0,1.0,0.0,false,2.0,0.0,500.0,30,GSW,NBA,PF,69,67,33.2,7.4,14.2,0.523,0.0,0.0,0.0,7.4,14.2,0.523,0.523,3.3,4.3,0.78,2.6,6.7,9.3,2.1,0.7,0.4,2.2,3.0,18.2,2288,11.2,21.4,0.523,0.0,0.0,0.0,11.2,21.4,0.523,5.0,6.5,0.78,4.0,10.1,14.0,3.2,1.0,0.6,3.3,4.5,27.4,111,103,2288,19.1,0.566,0.001,0.302,8.8,21.6,15.3,10.9,1.0,0.9,12.0,24.3,4.1,3.5,7.6,0.16,1.1,0.3,1.3,1.9,82.0,19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549,82.0,19830,3019,6920,0.436,569,1656,0.344,2450,5264,0.465,1548,2023,0.765,878,2671,3549,1683,649,342,1232,1584,8155,51,31,54,28,4.8,0.34,5.15,107.5,102.6,96.2,0.247,0.291,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,Oracle Arena,803436
9,2014-15,2015,David Lee,-1,0.0,1.0,0.0,false,2.0,0.0,500.0,31,GSW,NBA,PF,49,4,18.4,3.3,6.4,0.511,0.0,0.0,0.0,3.3,6.3,0.514,0.511,1.4,2.1,0.654,1.7,3.6,5.2,1.7,0.6,0.5,1.0,1.7,7.9,904,8.6,16.9,0.511,0.0,0.1,0.0,8.6,16.8,0.514,3.7,5.6,0.654,4.4,9.5,13.9,4.6,1.7,1.4,2.6,4.5,21.0,112,100,904,17.8,0.541,0.006,0.332,10.0,20.3,15.3,13.7,1.7,2.1,12.0,19.6,1.6,1.6,3.2,0.168,0.1,0.8,0.9,0.7,82.0,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,82.0,19730,3031,7084,0.428,592,1757,0.337,2439,5327,0.458,1534,2011,0.763,963,2690,3653,1718,680,293,1329,1541,8188,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,803436
