,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1996-97,1997,Stephon Marbury,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,19,MIN,NBA,PG,67,64,34.7,5.3,13.0,.408,1.5,4.3,.354,3.8,8.7,.434,.466,3.7,5.0,.727,0.8,1.9,2.7,7.8,1.0,0.3,3.1,2.4,15.8,2324,8.1,19.8,0.408,2.3,6.6,0.354,5.8,13.3,0.434,5.6,7.7,0.727,1.2,3.0,4.2,11.9,1.5,0.4,4.8,3.6,24.1,105,111,2324,16.1,0.519,0.331,0.387,2.8,6.6,4.7,38.1,1.5,0.6,17.1,24.2,2.5,1.2,3.7,0.077,2.2,-2.3,0.0,1.2,82.0,19780,2937,6436,0.456,371,1093,0.339,2566,5343,0.48,1637,2180,0.751,957,2302,3259,1874,618,557,1243,1818,7882,82.0,19780,2945,6539,0.45,467,1290,0.362,2478,5249,0.472,1646,2184,0.754,1069,2364,3433,1785,654,445,1283,1829,8003,40,42,37,45,-1.48,-0.35,-1.82,105.5,107.1,90.7,0.339,0.17,0.485,14.4,28.8,0.254,0.486,14.6,68.3,0.252,Target Center,697727
1,1997-98,1998,Stephon Marbury,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,20,MIN,NBA,PG,82,81,38.0,6.3,15.1,.415,1.2,3.7,.313,5.1,11.4,.448,.453,4.0,5.5,.731,0.7,2.1,2.8,8.6,1.3,0.1,3.1,2.7,17.7,3112,8.5,20.6,0.415,1.6,5.1,0.313,7.0,15.5,0.448,5.5,7.5,0.731,1.0,2.9,3.8,11.7,1.7,0.1,4.3,3.7,24.2,105,111,3112,16.3,0.505,0.246,0.364,2.1,6.2,4.2,36.1,1.7,0.2,15.1,24.1,4.2,1.1,5.3,0.082,1.9,-2.0,-0.1,1.5,82.0,19930,3157,6844,0.461,303,873,0.347,2854,5971,0.478,1673,2253,0.743,1063,2429,3492,2068,639,427,1138,1882,8290,82.0,19930,3076,6860,0.448,432,1206,0.358,2644,5654,0.468,1648,2220,0.742,1116,2411,3527,1909,609,412,1228,1863,8232,45,37,43,39,0.71,-0.54,0.17,107.8,107.1,92.6,0.329,0.128,0.483,12.7,30.6,0.244,0.48,13.5,68.5,0.24,Target Center,738590
2,1998-99,1999,Stephon Marbury,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,21,MIN,NBA,PG,18,18,36.7,6.9,16.9,.408,0.4,2.2,.205,6.4,14.7,.438,.421,3.5,4.8,.724,0.9,2.5,3.4,9.3,1.6,0.3,3.1,2.4,17.7,661,9.9,24.3,0.408,0.6,3.1,0.205,9.3,21.1,0.438,5.0,6.9,0.724,1.4,3.6,4.9,13.3,2.3,0.4,4.4,3.5,25.4,101,103,661,18.8,0.466,0.128,0.286,2.7,8.3,5.2,43.8,2.3,0.6,13.8,26.4,0.8,0.6,1.3,0.097,2.8,-0.5,2.3,0.7,50.0,12025,1838,4327,0.425,122,410,0.298,1716,3917,0.438,849,1143,0.743,754,1392,2146,1218,426,272,641,1185,4647,50.0,12025,1680,3823,0.439,213,654,0.326,1467,3169,0.463,1055,1470,0.718,591,1563,2154,1114,363,262,836,1017,4628,25,25,26,24,0.38,-0.55,-0.17,101.9,101.5,91.0,0.264,0.095,0.439,11.7,32.5,0.196,0.467,15.8,70.2,0.276,Target Center,427974
3,1998-99,1999,Stephon Marbury,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,NJN,NBA,PG,31,31,39.8,8.2,18.7,.439,1.9,5.1,.367,6.3,13.6,.466,.489,5.1,6.2,.832,0.6,1.9,2.6,8.7,1.0,0.1,3.5,2.6,23.4,1234,10.8,24.6,0.439,2.5,6.7,0.367,8.3,17.9,0.466,6.8,8.1,0.832,0.9,2.6,3.4,11.5,1.3,0.1,4.6,3.4,30.8,111,109,1234,21.8,0.547,0.273,0.33,1.7,5.7,3.6,44.1,1.3,0.2,14.1,27.6,3.8,0.2,4.0,0.155,5.1,-2.3,2.9,1.5,50.0,12050,1691,4160,0.406,225,679,0.331,1466,3481,0.421,962,1251,0.769,715,1437,2152,923,491,273,750,1134,4569,50.0,12050,1796,3968,0.453,223,654,0.341,1573,3314,0.475,943,1298,0.727,624,1581,2205,968,395,326,813,1084,4758,16,34,18,32,-3.78,0.58,-3.2,99.5,103.6,91.5,0.301,0.163,0.434,13.7,31.1,0.231,0.481,15.2,69.7,0.238,Continental Airlines Arena,400387
4,1999-00,2000,Stephon Marbury,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,22,NJN,NBA,PG,74,74,38.9,7.7,17.8,.432,0.9,3.1,.283,6.8,14.6,.464,.457,5.9,7.2,.813,0.8,2.4,3.2,8.4,1.5,0.2,3.6,2.6,22.2,2881,10.2,23.7,0.432,1.2,4.2,0.283,9.1,19.5,0.464,7.9,9.7,0.813,1.1,3.2,4.3,11.2,2.0,0.3,4.9,3.5,29.5,107,109,2881,20.7,0.528,0.177,0.407,2.3,7.2,4.6,39.0,2.0,0.4,14.8,28.2,6.1,1.2,7.4,0.123,3.8,-1.3,2.4,3.2,82.0,19830,2979,6881,0.433,477,1374,0.347,2502,5507,0.454,1601,2041,0.784,1040,2315,3355,1688,720,393,1119,1913,8036,82.0,19830,3125,6741,0.464,368,1013,0.363,2757,5728,0.481,1503,2012,0.747,1129,2657,3786,1866,568,469,1366,1869,8121,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,92.5,0.297,0.2,0.468,12.6,28.1,0.233,0.491,15.2,67.2,0.223,Continental Airlines Arena,643631
5,2000-01,2001,Stephon Marbury,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,NJN,NBA,PG,67,67,38.2,8.4,19.1,.441,1.6,5.0,.328,6.8,14.1,.481,.484,5.4,6.8,.790,0.8,2.3,3.1,7.6,1.2,0.1,2.9,2.2,23.9,2557,11.5,26.1,0.441,2.2,6.8,0.328,9.3,19.3,0.481,7.4,9.4,0.79,1.1,3.1,4.2,10.3,1.6,0.1,4.0,3.1,32.7,110,109,2557,22.7,0.54,0.262,0.359,2.3,7.0,4.6,40.8,1.6,0.1,11.8,29.7,7.2,0.7,7.8,0.147,5.9,-1.6,4.3,4.1,82.0,19730,2781,6550,0.425,361,1084,0.333,2420,5466,0.443,1629,2146,0.759,909,2337,3246,1603,649,407,1208,1982,7552,82.0,19730,2937,6452,0.455,428,1189,0.36,2509,5263,0.477,1664,2231,0.746,1001,2622,3623,1840,619,522,1304,1808,7966,26,56,26,56,-5.05,-0.25,-5.3,100.0,105.5,91.8,0.328,0.165,0.452,13.9,25.7,0.249,0.488,14.9,70.0,0.258,Continental Airlines Arena,556573
6,2001-02,2002,Stephon Marbury,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,PHO,NBA,PG,82,80,38.9,7.6,17.2,.442,0.9,3.0,.286,6.8,14.2,.476,.467,4.3,5.5,.781,0.9,2.3,3.2,8.1,0.9,0.2,3.5,2.3,20.4,3187,10.3,23.3,0.442,1.2,4.1,0.286,9.1,19.2,0.476,5.8,7.4,0.781,1.2,3.1,4.4,11.0,1.3,0.2,4.7,3.1,27.6,106,109,3187,18.1,0.519,0.176,0.32,2.6,6.9,4.7,35.7,1.3,0.3,15.0,26.6,5.4,1.7,7.1,0.107,2.9,-1.6,1.2,2.6,82.0,19830,3097,6934,0.447,358,1096,0.327,2739,5838,0.469,1250,1630,0.767,1072,2430,3502,1838,668,401,1205,1785,7802,82.0,19830,2957,6663,0.444,433,1208,0.358,2524,5455,0.463,1511,2013,0.751,1030,2493,3523,1821,685,475,1265,1521,7858,36,46,39,43,-0.68,0.39,-0.3,103.3,104.0,91.4,0.235,0.158,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,America West Arena,668939
7,2002-03,2003,Stephon Marbury,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,PHO,NBA,PG,81,81,40.0,8.3,18.9,.439,1.1,3.7,.301,7.2,15.2,.472,.468,4.6,5.8,.803,0.7,2.6,3.2,8.1,1.3,0.2,3.2,2.5,22.3,3240,10.9,24.8,0.439,1.4,4.8,0.301,9.4,20.0,0.472,6.1,7.6,0.803,0.9,3.4,4.3,10.6,1.7,0.3,4.3,3.2,29.2,108,106,3240,20.1,0.52,0.193,0.305,1.8,7.4,4.6,36.6,1.7,0.5,13.2,27.7,7.1,2.5,9.6,0.142,3.7,-0.7,2.9,4.0,82.0,19805,3005,6776,0.443,394,1149,0.343,2611,5627,0.464,1430,1928,0.742,1049,2440,3489,1719,665,404,1208,1801,7834,82.0,19805,2913,6658,0.438,436,1361,0.32,2477,5297,0.468,1479,1932,0.766,1031,2487,3518,1824,639,453,1309,1763,7741,44,38,44,38,1.13,0.43,1.57,103.7,102.5,91.5,0.285,0.17,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,America West Arena,666559
8,2003-04,2004,Stephon Marbury,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,PHO,NBA,PG,34,34,41.6,7.7,17.8,.432,1.1,3.5,.314,6.6,14.4,.461,.463,4.3,5.4,.795,0.6,2.9,3.4,8.3,1.9,0.1,2.9,2.2,20.8,1415,9.6,22.2,0.432,1.4,4.3,0.314,8.2,17.9,0.461,5.4,6.8,0.795,0.7,3.6,4.3,10.3,2.3,0.2,3.6,2.7,25.9,107,108,1415,19.9,0.515,0.195,0.305,1.5,7.9,4.7,35.2,2.3,0.3,12.4,25.0,2.9,0.6,3.5,0.12,3.6,-0.6,3.0,1.8,82.0,19730,2958,6671,0.443,415,1202,0.345,2543,5469,0.465,1392,1865,0.746,924,2406,3330,1586,734,383,1249,1862,7723,82.0,19730,2975,6671,0.446,479,1374,0.349,2496,5297,0.471,1601,2092,0.765,1038,2550,3588,1760,649,431,1304,1589,8030,29,53,30,52,-3.74,0.8,-2.94,101.4,105.5,92.6,0.28,0.18,0.475,14.3,26.6,0.209,0.482,14.7,69.9,0.24,America West Arena,670385
9,2003-04,2004,Stephon Marbury,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,NYK,NBA,PG,47,47,39.1,7.1,16.6,.431,1.1,3.3,.321,6.1,13.3,.458,.463,4.4,5.3,.833,0.8,2.3,3.1,9.3,1.4,0.1,3.2,2.1,19.8,1839,9.8,22.7,0.431,1.5,4.5,0.321,8.3,18.2,0.458,6.1,7.3,0.833,1.1,3.1,4.3,12.8,1.9,0.1,4.4,2.9,27.1,109,107,1839,20.9,0.523,0.2,0.322,2.5,6.6,4.6,44.0,1.9,0.2,14.6,26.3,4.5,1.0,5.5,0.144,4.6,-1.1,3.4,2.5,82.0,19880,2881,6513,0.442,406,1115,0.364,2475,5398,0.459,1374,1732,0.793,950,2543,3493,1695,608,391,1289,1897,7542,82.0,19880,2785,6491,0.429,415,1228,0.338,2370,5263,0.45,1678,2198,0.763,950,2444,3394,1676,675,383,1132,1600,7663,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,89.5,0.266,0.171,0.474,15.1,28.0,0.211,0.461,13.2,72.8,0.259,Madison Square Garden (IV),785739
