,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2009-10,2010,Wesley Matthews,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,UTA,NBA,SG,82,48,24.7,3.3,6.9,0.483,0.8,2.0,0.382,2.6,4.9,0.525,0.539,2.0,2.4,0.829,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4,2025,6.9,14.3,0.483,1.6,4.2,0.382,5.3,10.1,0.525,4.0,4.9,0.829,1.3,3.6,4.8,3.1,1.6,0.4,2.3,3.8,19.4,113,108,2025,12.3,0.592,0.292,0.342,3.0,8.0,5.6,9.0,1.6,0.6,12.5,16.5,2.6,1.9,4.6,0.108,-0.6,0.0,-0.5,0.8,82.0,19755,3227,6575,0.491,439,1207,0.364,2788,5368,0.519,1654,2233,0.741,872,2588,3460,2187,675,400,1246,1859,8547,82.0,19755,2908,6471,0.449,552,1559,0.354,2356,4912,0.48,1741,2286,0.762,837,2376,3213,1628,632,445,1238,1818,8109,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,93.8,0.34,0.184,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,EnergySolutions Arena,794512
1,2010-11,2011,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,POR,NBA,SG,82,69,33.6,5.4,11.9,0.449,1.9,4.6,0.407,3.5,7.3,0.476,0.528,3.2,3.8,0.844,0.6,2.6,3.1,2.0,1.2,0.1,1.7,2.4,15.9,2758,8.7,19.4,0.449,3.0,7.5,0.407,5.7,11.9,0.476,5.3,6.2,0.844,1.0,4.2,5.1,3.2,2.0,0.2,2.7,3.9,25.7,114,109,2758,15.5,0.582,0.386,0.322,2.0,9.7,5.7,10.2,2.0,0.3,11.0,21.3,5.0,2.3,7.2,0.126,1.0,-0.1,0.9,2.0,82.0,19805,2951,6599,0.447,518,1503,0.345,2433,5096,0.477,1476,1835,0.804,996,2230,3226,1736,660,358,1070,1585,7896,82.0,19805,2904,6218,0.467,529,1440,0.367,2375,4778,0.497,1434,1869,0.767,868,2385,3253,1573,566,339,1286,1743,7771,48,34,46,36,1.52,0.32,1.85,108.8,107.1,87.9,0.278,0.228,0.486,12.6,29.5,0.224,0.51,15.4,72.0,0.231,Rose Garden Arena,840924
2,2011-12,2012,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,POR,NBA,SG,66,53,33.8,4.8,11.6,0.412,2.0,5.1,0.383,2.8,6.5,0.434,0.496,2.2,2.6,0.86,0.8,2.5,3.4,1.7,1.5,0.2,1.1,2.2,13.7,2228,7.4,18.0,0.412,3.0,8.0,0.383,4.4,10.1,0.434,3.5,4.0,0.86,1.3,4.0,5.3,2.7,2.3,0.4,1.7,3.5,21.4,110,108,2228,14.1,0.539,0.442,0.224,2.9,9.0,5.9,8.3,2.3,0.5,8.0,18.7,3.4,1.4,4.8,0.104,0.3,0.1,0.3,1.3,66.0,15965,2402,5417,0.443,478,1382,0.346,1924,4035,0.477,1133,1423,0.796,735,1949,2684,1349,528,322,935,1251,6415,66.0,15965,2476,5349,0.463,442,1217,0.363,2034,4132,0.492,1062,1421,0.747,730,2062,2792,1392,499,314,982,1306,6456,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,91.2,0.263,0.255,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,Rose Garden Arena,676384
3,2012-13,2013,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,POR,NBA,SG,69,69,34.8,5.1,11.7,0.436,2.4,6.2,0.398,2.7,5.6,0.478,0.54,2.2,2.7,0.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,14.8,2403,7.7,17.7,0.436,3.7,9.3,0.398,4.0,8.4,0.478,3.3,4.1,0.797,0.8,3.4,4.2,3.8,2.0,0.4,2.4,3.8,22.3,111,111,2403,14.1,0.574,0.526,0.231,1.7,7.6,4.6,11.8,2.0,0.6,10.9,19.1,3.6,1.0,4.7,0.093,0.7,-0.2,0.5,1.5,82.0,19855,3009,6715,0.448,673,1904,0.353,2336,4811,0.486,1304,1680,0.776,874,2474,3348,1784,538,353,1203,1518,7995,82.0,19855,3224,6807,0.474,521,1531,0.34,2703,5276,0.512,1286,1690,0.761,901,2578,3479,1944,691,359,1074,1537,8255,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,91.4,0.25,0.284,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189,Rose Garden Arena,813012
4,2013-14,2014,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,POR,NBA,SG,82,82,33.9,5.4,12.3,0.441,2.5,6.2,0.393,3.0,6.1,0.49,0.541,3.1,3.7,0.837,0.6,2.9,3.5,2.4,0.9,0.2,1.3,2.1,16.4,2780,8.1,18.4,0.441,3.7,9.3,0.393,4.4,9.1,0.49,4.6,5.5,0.837,0.9,4.3,5.3,3.6,1.4,0.3,2.0,3.2,24.4,118,110,2780,15.7,0.588,0.506,0.298,2.0,9.1,5.6,10.9,1.4,0.4,8.8,19.6,6.3,1.9,8.2,0.142,1.9,0.1,1.9,2.7,82.0,19855,3207,7134,0.45,770,2071,0.372,2437,5063,0.481,1569,1926,0.815,1022,2786,3808,1904,454,387,1125,1576,8753,82.0,19855,3248,7203,0.451,534,1504,0.355,2714,5699,0.476,1396,1822,0.766,944,2622,3566,1675,639,304,985,1698,8426,54,28,52,30,3.99,0.45,4.44,111.5,107.4,94.9,0.27,0.29,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,Moda Center,809612
5,2014-15,2015,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,POR,NBA,SG,60,60,33.7,5.6,12.5,0.448,2.9,7.4,0.389,2.7,5.1,0.534,0.563,1.8,2.4,0.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9,2024,8.5,18.9,0.448,4.4,11.2,0.389,4.1,7.7,0.534,2.7,3.7,0.752,1.0,4.6,5.6,3.5,1.9,0.3,2.0,3.3,24.1,114,105,2024,16.1,0.586,0.592,0.193,2.1,9.5,5.9,10.8,1.9,0.4,9.0,19.8,4.0,2.2,6.2,0.147,2.0,1.1,3.1,2.6,82.0,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429,82.0,19855,3130,7123,0.439,524,1552,0.338,2606,5571,0.468,1298,1713,0.758,902,2754,3656,1669,655,297,999,1534,8082,51,31,53,29,4.23,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368
6,2015-16,2016,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,DAL,NBA,SF,78,78,33.9,4.2,10.9,0.388,2.4,6.7,0.36,1.8,4.2,0.432,0.498,1.6,1.9,0.863,0.3,2.7,3.1,1.9,1.0,0.2,1.0,2.3,12.5,2644,6.4,16.4,0.388,3.6,10.1,0.36,2.7,6.3,0.432,2.4,2.8,0.863,0.5,4.1,4.6,2.9,1.5,0.3,1.5,3.4,18.8,105,109,2644,10.9,0.532,0.615,0.171,1.1,8.8,4.9,8.9,1.5,0.5,7.8,17.2,1.9,1.8,3.7,0.067,-0.9,-0.1,-1.0,0.6,82.0,20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388,82.0,20005,3144,6971,0.451,743,2170,0.342,2401,4801,0.5,1382,1873,0.738,868,2887,3755,1800,617,363,1142,1757,8413,42,40,40,42,-0.3,0.29,-0.02,106.7,107.0,94.3,0.265,0.339,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,American Airlines Center,825901
7,2016-17,2017,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,DAL,NBA,SG,73,73,34.2,4.6,11.6,0.393,2.4,6.6,0.363,2.2,5.0,0.432,0.496,2.0,2.5,0.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,13.5,2495,6.9,17.7,0.393,3.6,10.0,0.363,3.3,7.7,0.432,3.0,3.7,0.816,0.4,5.0,5.4,4.4,1.6,0.3,2.1,3.4,20.6,104,110,2495,11.9,0.533,0.566,0.211,0.8,11.8,6.0,13.6,1.6,0.5,9.9,19.4,1.0,2.1,3.1,0.06,-0.8,0.0,-0.8,0.8,82.0,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,647,2516,3163,1705,614,307,972,1567,8029,82.0,19780,3035,6477,0.469,788,2074,0.38,2247,4403,0.51,1411,1827,0.772,727,2923,3650,1743,535,280,1225,1591,8269,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,92.2,0.225,0.366,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,811366
8,2017-18,2018,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,DAL,NBA,SF,63,62,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7,2131,6.7,16.4,0.406,3.6,9.5,0.381,3.1,6.9,0.441,2.0,2.4,0.822,0.7,4.0,4.7,4.1,1.8,0.4,2.0,3.3,18.9,105,111,2131,11.4,0.541,0.577,0.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,1.0,1.6,2.6,0.059,-1.0,0.1,-0.9,0.6,82.0,19805,3128,7042,0.444,967,2688,0.36,2161,4354,0.496,1167,1530,0.763,666,2717,3383,1858,578,310,1008,1578,8390,82.0,19805,3219,6870,0.469,874,2411,0.363,2345,4459,0.526,1327,1754,0.757,725,3027,3752,1929,594,369,1127,1604,8639,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193,American Airlines Center,811453
9,2018-19,2019,Wesley Matthews,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,DAL,NBA,SF,44,44,29.8,4.4,10.7,0.414,2.3,6.0,0.38,2.1,4.7,0.456,0.52,2.0,2.5,0.791,0.5,1.9,2.3,2.3,0.8,0.3,1.3,2.3,13.1,1312,7.2,17.3,0.414,3.7,9.7,0.38,3.5,7.6,0.456,3.2,4.1,0.791,0.7,3.0,3.8,3.7,1.2,0.4,2.1,3.8,21.3,109,114,1312,11.3,0.556,0.561,0.235,1.6,6.6,4.2,11.6,1.2,0.8,10.1,18.9,1.0,0.8,1.8,0.066,-0.8,-0.5,-1.3,0.2,82.0,19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,82.0,19780,3357,7315,0.459,918,2667,0.344,2439,4648,0.525,1400,1802,0.777,836,2840,3676,2011,643,368,1065,1905,9032,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,99.0,0.291,0.422,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,820569
