,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1997-98,1998,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,18,TOR,NBA,SF,64,17,18.4,2.8,6.2,.450,0.2,0.6,.341,2.6,5.6,.462,.467,1.2,1.7,.712,1.6,2.6,4.2,1.5,0.8,1.0,1.0,1.3,7.0,1179,7.9,17.5,0.45,0.6,1.8,0.341,7.3,15.7,0.462,3.5,4.9,0.712,4.6,7.2,11.8,4.3,2.2,2.7,2.9,3.8,19.8,106,109,1179,17.4,0.505,0.103,0.279,9.6,16.2,12.8,14.0,2.2,3.6,12.9,19.1,1.3,0.7,2.0,0.081,1.3,-0.7,0.6,0.8,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16,66,17,65,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685
1,1998-99,1999,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,19,TOR,NBA,SF,49,2,22.6,3.4,7.9,.436,0.2,0.7,.229,3.3,7.1,.457,.447,2.3,3.2,.726,2.4,3.2,5.7,2.3,1.1,1.3,1.6,1.9,9.3,1106,8.2,18.8,0.436,0.4,1.7,0.229,7.8,17.1,0.457,5.6,7.7,0.726,5.9,7.7,13.6,5.5,2.5,3.2,3.9,4.6,22.4,106,100,1106,20.6,0.504,0.091,0.408,12.4,16.7,14.6,19.1,2.5,4.5,15.0,21.9,1.8,1.4,3.3,0.143,2.9,1.1,4.1,1.7,50.0,12075.0,1660.0,3940.0,0.421,226.0,662.0,0.341,1434.0,3278.0,0.437,1011.0,1330.0,0.76,712.0,1447.0,2159.0,1036.0,439.0,321.0,799.0,1139.0,4557.0,50.0,12075.0,1694.0,3855.0,0.439,255.0,686.0,0.372,1439.0,3169.0,0.454,996.0,1368.0,0.728,614.0,1393.0,2007.0,1095.0,446.0,258.0,773.0,1088.0,4639.0,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,88.8,0.338,0.168,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258,Air Canada Centre,439190
2,1999-00,2000,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,20,TOR,NBA,SF,79,34,31.2,5.8,12.9,.451,0.2,0.8,.277,5.6,12.1,.463,.460,3.5,5.0,.707,2.4,4.0,6.3,3.3,1.1,1.9,2.0,2.5,15.4,2462,9.7,21.5,0.451,0.4,1.4,0.277,9.3,20.1,0.463,5.8,8.3,0.707,4.0,6.6,10.6,5.5,1.9,3.2,3.4,4.2,25.6,106,103,2462,20.0,0.509,0.064,0.385,8.3,14.7,11.4,18.8,1.9,4.3,11.8,24.3,3.7,2.9,6.6,0.129,2.6,0.9,3.5,3.4,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496
3,2000-01,2001,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,ORL,NBA,SG,77,77,40.1,10.2,22.4,.457,0.8,2.2,.355,9.5,20.2,.468,.474,5.6,7.6,.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8,3087,13.2,28.8,0.457,1.0,2.8,0.355,12.2,26.0,0.468,7.2,9.8,0.733,3.2,6.5,9.7,5.9,1.9,2.0,3.3,2.7,34.5,109,101,3087,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,8.3,3.9,12.2,0.189,6.5,0.5,7.0,7.0,82.0,19955,3013,6873,0.438,490,1346,0.364,2523,5527,0.456,1476,2068,0.714,1069,2450,3519,1803,674,481,1245,2071,7992,82.0,19955,2830,6499,0.435,366,1059,0.346,2464,5440,0.453,1885,2566,0.735,1061,2609,3670,1793,695,440,1408,1946,7911,43,39,44,38,0.99,-0.6,0.39,103.2,102.1,93.2,0.301,0.196,0.474,13.8,29.1,0.215,0.464,15.6,69.8,0.29,TD Waterhouse Centre,605031
4,2001-02,2002,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,ORL,NBA,SG,76,76,38.3,9.4,20.9,.451,1.4,3.7,.364,8.1,17.1,.470,.483,5.5,7.3,.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,2912,12.6,28.1,0.451,1.8,5.0,0.364,10.8,23.0,0.47,7.3,9.8,0.748,2.7,7.9,10.6,7.1,2.1,1.3,3.3,2.5,34.5,111,103,2912,25.1,0.532,0.178,0.35,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,8.1,3.4,11.5,0.189,6.4,0.4,6.8,6.4,82.0,19830,3087,6893,0.448,620,1660,0.373,2467,5233,0.471,1446,1917,0.754,942,2440,3382,1804,665,384,1119,1700,8240,82.0,19830,3116,6828,0.456,409,1161,0.352,2707,5667,0.478,1470,1994,0.737,1086,2633,3719,1930,659,384,1292,1740,8111,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,93.2,0.278,0.241,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,TD Waterhouse Centre,621121
5,2002-03,2003,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,ORL,NBA,SG,75,74,39.4,11.1,24.2,.457,2.3,6.0,.386,8.7,18.2,.481,.505,7.7,9.7,.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,2954,14.5,31.6,0.457,3.0,7.8,0.386,11.5,23.8,0.481,10.1,12.7,0.793,2.1,6.4,8.5,7.2,2.2,1.0,3.4,2.7,42.0,116,104,2954,30.3,0.564,0.247,0.4,4.6,14.6,9.5,30.0,2.2,1.5,8.4,35.2,13.2,2.9,16.1,0.262,9.8,0.7,10.5,9.3,82.0,19805,2947,6763,0.436,568,1590,0.357,2379,5173,0.46,1616,2079,0.777,958,2392,3350,1676,696,300,1177,1888,8078,82.0,19805,3007,6602,0.455,405,1211,0.334,2602,5391,0.483,1648,2150,0.767,970,2596,3566,1837,643,411,1341,1823,8067,42,40,41,41,0.13,-0.53,-0.39,105.2,105.0,93.1,0.307,0.235,0.478,13.3,27.0,0.239,0.486,15.1,71.1,0.25,TD Waterhouse Centre,605901
6,2003-04,2004,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,ORL,NBA,SG,67,67,39.9,9.7,23.4,.417,2.6,7.7,.339,7.1,15.7,.455,.473,5.9,7.5,.796,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,28.0,2675,12.9,30.9,0.417,3.4,10.1,0.339,9.5,20.8,0.455,7.9,9.9,0.796,1.9,6.1,7.9,7.3,1.8,0.8,3.5,2.5,37.1,110,110,2675,25.3,0.526,0.328,0.319,3.9,13.3,8.5,28.3,1.8,1.1,9.1,33.2,8.1,0.4,8.4,0.151,7.6,-1.2,6.4,5.7,82.0,19830,2904,6768,0.429,429,1248,0.344,2475,5520,0.448,1474,2000,0.737,1003,2350,3353,1584,547,308,1123,1744,7711,82.0,19830,3169,6804,0.466,491,1301,0.377,2678,5503,0.487,1458,1964,0.742,1072,2570,3642,2004,625,450,1111,1691,8287,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,90.8,0.296,0.184,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,TD Waterhouse Centre,589144
7,2004-05,2005,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,HOU,NBA,SF,78,78,40.8,9.2,21.3,.431,1.8,5.6,.326,7.3,15.7,.468,.473,5.5,7.1,.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,3182,12.2,28.2,0.431,2.4,7.4,0.326,9.7,20.8,0.468,7.3,9.5,0.774,1.2,7.0,8.2,7.6,2.3,0.9,3.4,2.8,34.0,109,101,3182,22.9,0.526,0.262,0.336,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,6.5,5.4,12.0,0.18,5.2,1.5,6.7,6.9,82.0,19855,2846,6419,0.443,553,1521,0.364,2293,4898,0.468,1551,1986,0.781,874,2601,3475,1733,563,378,1135,1807,7796,82.0,19855,2720,6423,0.423,454,1343,0.338,2266,5080,0.446,1571,2116,0.742,892,2444,3336,1696,607,335,1087,1773,7465,51,31,53,29,4.04,0.23,4.27,106.2,101.7,88.8,0.309,0.237,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,Toyota Center,663444
8,2005-06,2006,Tracy McGrady,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,HOU,NBA,SF,47,47,37.1,8.7,21.5,.406,1.6,5.0,.312,7.2,16.5,.434,.442,5.4,7.2,.747,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,1745,12.8,31.6,0.406,2.3,7.3,0.312,10.5,24.3,0.434,7.9,10.6,0.747,1.4,8.2,9.6,7.0,1.8,1.3,3.7,2.7,35.8,102,102,1745,21.9,0.494,0.231,0.336,3.1,17.2,10.3,28.8,1.8,1.9,9.4,35.0,1.4,2.7,4.1,0.112,4.8,0.7,5.4,3.3,82.0,19830,2708,6252,0.433,469,1414,0.332,2239,4838,0.463,1502,1980,0.759,849,2565,3414,1580,588,320,1193,1863,7387,82.0,19830,2708,6310,0.429,541,1465,0.369,2167,4845,0.447,1560,2135,0.731,874,2477,3351,1647,582,373,1094,1716,7517,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,636110
9,2006-07,2007,Tracy McGrady,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,27,HOU,NBA,SG,71,71,35.8,9.0,20.8,.431,1.8,5.4,.331,7.2,15.5,.466,.474,4.9,6.9,.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9,24.6,2539,13.3,30.8,0.431,2.6,7.9,0.331,10.7,22.9,0.466,7.2,10.2,0.707,1.2,6.7,7.9,9.5,1.9,0.8,4.4,2.8,36.4,106,100,2539,23.2,0.515,0.257,0.33,2.6,14.5,8.6,37.5,1.9,1.1,11.2,35.0,4.1,4.5,8.6,0.163,4.9,1.2,6.1,5.2,82.0,19855,2906,6528,0.445,705,1893,0.372,2201,4635,0.475,1436,1906,0.753,880,2673,3553,1704,583,337,1162,1710,7953,82.0,19855,2793,6503,0.429,472,1346,0.351,2321,5157,0.45,1497,2000,0.749,800,2548,3348,1588,571,353,1163,1631,7555,52,30,55,27,4.85,0.19,5.04,106.0,100.7,90.7,0.292,0.29,0.499,13.6,25.7,0.22,0.466,13.6,77.0,0.23,Toyota Center,678362
