,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Hakeem Olajuwon,1,1.0,1.0,73.0,false,0.0,73.0,500.0,30,HOU,NBA,C,82,82,39.5,10.3,19.5,0.529,0.0,0.1,0.0,10.3,19.5,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,3242,13.3,25.1,0.529,0.0,0.1,0.0,13.3,25.0,0.532,7.0,8.9,0.779,4.4,12.3,16.7,4.6,2.4,5.4,4.1,4.8,33.6,114,96,3242,27.3,0.577,0.005,0.356,10.5,25.9,18.7,15.8,2.4,6.5,12.4,28.8,7.9,8.0,15.8,0.234,3.9,3.6,7.5,7.8,82.0,19780,3280,6744,0.486,387,1073,0.361,2893,5671,0.51,1584,2090,0.758,985,2532,3517,2115,682,543,1295,1699,8531,82.0,19780,3255,7129,0.457,242,730,0.332,3013,6399,0.471,1432,1877,0.763,1167,2295,3462,1965,717,327,1228,1793,8184,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,94.4,0.31,0.159,0.515,14.5,30.0,0.235,0.474,13.4,68.5,0.201,The Summit,554210
1,1993-94,1994,Hakeem Olajuwon,1,2.0,2.0,23.0,true,0.0,23.0,500.0,31,HOU,NBA,C,80,80,41.0,11.2,21.2,0.528,0.1,0.2,0.421,11.1,20.9,0.529,0.53,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,3277,13.8,26.1,0.528,0.1,0.3,0.421,13.7,25.8,0.529,6.0,8.4,0.716,3.5,11.2,14.7,4.4,2.0,4.6,4.2,4.5,33.7,109,95,3277,25.3,0.565,0.011,0.32,8.2,23.3,16.2,16.4,2.0,5.7,12.3,29.8,6.4,7.9,14.3,0.21,3.5,3.3,6.8,7.3,82.0,19780,3197,6733,0.475,429,1285,0.334,2768,5448,0.508,1469,1978,0.743,926,2619,3545,2087,717,485,1338,1646,8292,82.0,19780,3152,7166,0.44,257,841,0.306,2895,6325,0.458,1377,1871,0.736,1138,2434,3572,1901,767,312,1221,1743,7938,58,24,53,29,4.32,-0.12,4.19,105.9,101.4,95.0,0.294,0.191,0.507,15.0,27.6,0.218,0.458,13.3,69.7,0.192,The Summit,615227
2,1994-95,1995,Hakeem Olajuwon,3,2.0,3.0,13.0,true,0.0,13.0,500.0,32,HOU,NBA,C,72,72,39.6,11.1,21.5,0.517,0.0,0.2,0.188,11.0,21.2,0.52,0.517,5.6,7.5,0.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,2853,14.3,27.6,0.517,0.1,0.3,0.188,14.2,27.3,0.52,7.3,9.6,0.756,3.1,10.8,13.8,4.6,2.4,4.3,4.2,4.5,35.8,110,100,2853,26.0,0.563,0.01,0.348,7.3,23.1,15.6,17.2,2.4,5.9,11.7,31.7,5.1,5.6,10.7,0.181,2.8,2.6,5.4,5.3,82.0,19730,3159,6579,0.48,646,1757,0.368,2513,4822,0.521,1527,2039,0.749,880,2440,3320,2060,721,514,1322,1714,8491,82.0,19730,3202,7061,0.453,506,1345,0.376,2696,5716,0.472,1407,1874,0.751,1165,2386,3551,1940,744,365,1274,1779,8317,47,35,47,35,2.12,0.2,2.32,109.7,107.4,94.2,0.31,0.267,0.529,15.0,26.9,0.232,0.489,13.9,67.7,0.199,The Summit,653389
3,1995-96,1996,Hakeem Olajuwon,5,2.0,4.0,8.0,false,0.0,8.0,500.0,33,HOU,NBA,C,72,72,38.8,10.7,20.8,0.514,0.0,0.2,0.214,10.6,20.6,0.517,0.515,5.5,7.6,0.724,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,2797,14.1,27.5,0.514,0.1,0.3,0.214,14.1,27.2,0.517,7.3,10.1,0.724,3.2,11.2,14.4,4.7,2.1,3.8,4.5,4.5,35.6,108,101,2797,25.5,0.558,0.009,0.367,7.3,24.0,15.9,18.3,2.1,5.3,12.5,31.9,4.5,5.2,9.7,0.166,2.8,2.0,4.9,4.9,82.0,19805,3078,6638,0.464,637,1761,0.362,2441,4877,0.501,1611,2106,0.765,919,2455,3374,1982,645,476,1245,1753,8404,82.0,19805,3178,6910,0.46,482,1344,0.359,2696,5566,0.484,1423,2012,0.707,1126,2499,3625,1945,670,400,1224,1847,8261,48,34,46,36,1.74,-0.12,1.63,109.3,107.4,93.2,0.317,0.265,0.512,14.1,26.9,0.243,0.495,13.6,68.6,0.206,The Summit,667840
4,1996-97,1997,Hakeem Olajuwon,-1,2.0,4.0,0.0,false,1.0,0.0,500.0,34,HOU,NBA,C,78,78,36.6,9.3,18.3,0.51,0.1,0.2,0.313,9.3,18.1,0.512,0.512,4.5,5.7,0.787,2.2,7.0,9.2,3.0,1.5,2.2,3.6,3.2,23.2,2852,13.4,26.2,0.51,0.1,0.3,0.313,13.3,25.9,0.512,6.4,8.2,0.787,3.2,10.0,13.2,4.3,2.1,3.2,5.2,4.6,33.2,105,99,2852,22.7,0.558,0.011,0.313,7.4,21.0,14.5,16.2,2.1,4.5,14.8,30.4,3.5,5.6,9.1,0.154,1.5,2.0,3.5,3.9,82.0,19855,3037,6484,0.468,671,1839,0.365,2366,4645,0.509,1503,1992,0.755,927,2565,3492,2013,685,347,1365,1610,8248,82.0,19855,3030,6845,0.443,519,1547,0.335,2511,5298,0.474,1302,1785,0.729,1029,2332,3361,1835,731,365,1172,1735,7881,57,25,54,28,4.48,-0.62,3.85,108.8,104.0,91.6,0.307,0.284,0.52,15.6,28.4,0.232,0.481,13.3,71.4,0.19,The Summit,667685
5,1997-98,1998,Hakeem Olajuwon,-1,2.0,4.0,0.0,false,0.0,0.0,500.0,35,HOU,NBA,C,47,45,34.7,6.5,13.5,0.483,0.0,0.1,0.0,6.5,13.4,0.486,0.483,3.4,4.5,0.755,2.5,7.3,9.8,3.0,1.8,2.0,2.7,3.2,16.4,1633,9.9,20.4,0.483,0.0,0.1,0.0,9.9,20.4,0.486,5.2,6.8,0.755,3.7,11.1,14.9,4.6,2.7,3.1,4.1,4.9,24.9,105,101,1633,20.8,0.531,0.005,0.335,8.5,24.6,16.7,15.8,2.7,4.1,14.8,23.7,2.0,2.5,4.5,0.131,1.0,2.0,3.0,2.1,82.0,19830,2946,6513,0.452,573,1670,0.343,2373,4843,0.49,1634,2120,0.771,987,2350,3337,1799,686,294,1298,1653,8099,82.0,19830,3173,6769,0.469,409,1120,0.365,2764,5649,0.489,1406,1891,0.744,1041,2326,3367,1914,732,365,1170,1747,8161,41,41,39,43,-0.76,-0.47,-1.23,107.7,108.6,91.0,0.326,0.256,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.208,The Summit,670117
6,1998-99,1999,Hakeem Olajuwon,7T,2.0,5.0,1.0,false,1.0,1.0,500.0,36,HOU,NBA,C,50,50,35.7,7.5,14.5,0.514,0.1,0.3,0.308,7.4,14.2,0.518,0.517,3.9,5.4,0.717,2.1,7.4,9.6,1.8,1.6,2.5,2.8,3.2,18.9,1784,11.3,22.0,0.514,0.1,0.4,0.308,11.2,21.6,0.518,5.9,8.2,0.717,3.2,11.3,14.5,2.7,2.5,3.7,4.2,4.8,28.6,105,96,1784,23.1,0.559,0.018,0.375,7.4,22.8,15.7,9.5,2.5,4.8,14.1,25.9,3.2,3.3,6.5,0.175,1.4,1.8,3.2,2.3,50.0,12075,1755,3798,0.462,336,914,0.368,1419,2884,0.492,865,1187,0.729,536,1540,2076,1058,386,260,812,960,4711,50.0,12075,1793,4136,0.434,230,645,0.357,1563,3491,0.448,779,1062,0.734,664,1391,2055,1034,441,245,653,1030,4595,31,19,29,21,2.32,-0.93,1.39,105.4,102.9,88.8,0.313,0.241,0.506,15.8,27.8,0.228,0.461,12.4,69.9,0.188,Compaq Center,407125
7,1999-00,2000,Hakeem Olajuwon,-1,2.0,5.0,0.0,false,0.0,0.0,500.0,37,HOU,NBA,C,44,28,23.8,4.4,9.6,0.458,0.0,0.0,0.0,4.4,9.5,0.461,0.458,1.6,2.5,0.616,1.5,4.8,6.2,1.4,0.9,1.6,1.7,2.0,10.3,1049,9.4,20.5,0.458,0.0,0.1,0.0,9.4,20.4,0.461,3.4,5.4,0.616,3.2,10.2,13.3,3.0,2.0,3.4,3.5,4.3,22.1,96,100,1049,16.7,0.484,0.005,0.266,7.1,21.9,14.6,10.2,2.0,4.3,13.4,22.7,0.0,1.6,1.6,0.072,-0.9,1.3,0.4,0.6,82.0,19830,3001,6664,0.45,581,1625,0.358,2420,5039,0.48,1573,2145,0.733,1008,2586,3594,1774,613,438,1425,1663,8156,82.0,19830,3226,7074,0.456,350,990,0.354,2876,6084,0.473,1425,1829,0.779,1027,2451,3478,1863,735,433,1126,1833,8227,34,48,39,43,-0.87,0.3,-0.57,104.8,105.7,94.2,0.322,0.244,0.494,15.8,29.1,0.236,0.481,12.5,71.6,0.201,Compaq Center,624594
8,2000-01,2001,Hakeem Olajuwon,-1,2.0,5.0,0.0,false,0.0,0.0,500.0,38,HOU,NBA,C,58,55,26.6,4.9,9.8,0.498,0.0,0.0,0.0,4.9,9.8,0.499,0.498,2.1,3.4,0.621,2.1,5.3,7.4,1.2,1.2,1.5,1.4,2.4,11.9,1545,9.7,19.5,0.498,0.0,0.0,0.0,9.7,19.5,0.499,4.2,6.8,0.621,4.3,10.6,14.8,2.5,2.4,3.0,2.8,4.8,23.7,106,98,1545,20.7,0.526,0.002,0.349,9.5,22.4,16.1,8.3,2.4,4.0,11.0,21.9,2.4,2.6,5.0,0.155,1.3,1.5,2.8,1.9,82.0,19830,2943,6494,0.453,504,1412,0.357,2439,5082,0.48,1582,2086,0.758,919,2524,3443,1613,587,358,1204,1657,7972,82.0,19830,3020,6733,0.449,359,1015,0.354,2661,5718,0.465,1385,1862,0.744,988,2420,3408,1735,605,400,1092,1771,7784,45,37,48,34,2.29,0.42,2.71,106.7,104.2,90.4,0.321,0.217,0.492,14.0,27.5,0.244,0.475,12.6,71.9,0.206,Compaq Center,518555
9,2001-02,2002,Hakeem Olajuwon,-1,2.0,5.0,0.0,false,0.0,0.0,500.0,39,TOR,NBA,C,61,37,22.6,3.2,6.9,0.464,0.0,0.0,0.0,3.2,6.8,0.466,0.464,0.8,1.4,0.56,1.6,4.4,6.0,1.1,1.2,1.5,1.6,2.4,7.1,1378,7.6,16.4,0.464,0.0,0.1,0.0,7.6,16.3,0.466,1.8,3.3,0.56,3.8,10.5,14.4,2.6,2.9,3.5,3.8,5.8,17.1,91,96,1378,14.4,0.478,0.005,0.201,7.9,23.1,15.3,8.0,2.9,4.9,17.7,18.3,-0.8,2.9,2.1,0.074,-2.7,2.4,-0.4,0.6,82.0,19755.0,2919.0,6727.0,0.434,387.0,1109.0,0.349,2532.0,5618.0,0.451,1269.0,1717.0,0.739,1114.0,2336.0,3450.0,1779.0,688.0,454.0,1174.0,1771.0,7494.0,82.0,19755.0,2820.0,6390.0,0.441,377.0,1089.0,0.346,2443.0,5301.0,0.461,1513.0,2011.0,0.752,995.0,2436.0,3431.0,1629.0,628.0,393.0,1250.0,1612.0,7530.0,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,88.8,0.255,0.165,0.463,13.6,31.4,0.189,0.471,14.7,70.1,0.237,Air Canada Centre,810160
