,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1998-99,1999,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,LAC,NBA,C,45,36,28.4,3.8,8.9,0.431,0.0,0.0,,3.8,8.9,0.431,0.431,1.3,2.6,0.483,2.7,5.3,7.9,0.6,0.6,1.2,1.9,3.0,8.9,1279,7.2,16.7,0.431,0.0,0.0,,7.2,16.7,0.431,2.4,4.9,0.483,5.0,9.9,15.0,1.0,1.1,2.3,3.6,5.7,16.8,89,107,1279,11.8,0.445,0.0,0.296,10.5,23.2,16.5,3.4,1.1,3.2,15.9,19.0,-0.8,0.5,-0.3,-0.01,-2.9,-2.1,-5.0,-1.0,50.0,12125,1711,4007,0.427,214,668,0.32,1497,3339,0.448,883,1225,0.721,665,1293,1958,820,424,236,796,1223,4519,50.0,12125,1830,3858,0.474,222,627,0.354,1608,3231,0.498,1078,1445,0.746,640,1506,2146,1101,419,289,782,1042,4960,9,41,11,39,-8.82,-0.12,-8.94,100.0,109.7,89.5,0.306,0.167,0.454,14.9,30.6,0.22,0.503,14.8,66.9,0.279,Los Angeles Memorial Sports Arena,256568
1,1999-00,2000,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,LAC,NBA,C,80,77,31.2,4.1,9.5,0.437,0.0,0.0,,4.1,9.5,0.437,0.437,1.5,2.4,0.651,2.4,5.8,8.2,0.5,0.4,1.8,2.2,3.8,9.8,2493,6.8,15.5,0.437,0.0,0.0,,6.8,15.5,0.437,2.5,3.9,0.651,4.0,9.5,13.4,0.8,0.7,2.9,3.6,6.2,16.0,88,108,2493,10.4,0.467,0.0,0.25,8.4,21.4,14.7,2.6,0.7,3.8,17.4,18.1,-2.2,1.4,-0.8,-0.016,-4.6,-1.4,-6.0,-2.6,82.0,19705,2877,6757,0.426,429,1267,0.339,2448,5490,0.446,1363,1826,0.746,955,2377,3332,1479,578,494,1325,1821,7546,82.0,19705,3281,6879,0.477,417,1077,0.387,2864,5802,0.494,1512,2041,0.741,1038,2699,3737,1975,621,377,1172,1731,8491,15,67,13,69,-11.52,0.8,-10.73,97.8,110.1,93.9,0.27,0.188,0.458,14.9,26.1,0.202,0.507,13.1,69.6,0.22,STAPLES Center,559714
2,2000-01,2001,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,LAC,NBA,C,82,82,25.9,3.8,8.6,0.435,0.0,0.0,,3.8,8.6,0.435,0.435,1.0,1.9,0.545,2.0,4.4,6.4,0.6,0.4,1.3,2.1,3.0,8.5,2127,7.8,17.8,0.435,0.0,0.0,,7.8,17.8,0.435,2.1,3.9,0.545,4.2,9.0,13.2,1.2,0.8,2.7,4.3,6.3,17.6,85,103,2127,10.0,0.451,0.0,0.22,9.3,18.7,14.1,3.7,0.8,3.6,17.9,20.5,-2.6,2.2,-0.4,-0.008,-4.7,-0.8,-5.5,-1.9,82.0,20030,2896,6467,0.448,360,1063,0.339,2536,5404,0.469,1429,2061,0.693,962,2559,3521,1585,490,513,1293,1775,7581,82.0,20030,2995,6800,0.44,354,1075,0.329,2641,5725,0.461,1474,1983,0.743,1042,2439,3481,1791,638,412,1045,1795,7818,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,89.6,0.319,0.164,0.476,14.9,28.3,0.221,0.466,12.0,71.1,0.217,STAPLES Center,601587
3,2001-02,2002,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,LAC,NBA,C,80,79,32.1,4.8,11.1,0.433,0.0,0.0,,4.8,11.1,0.433,0.433,1.5,2.4,0.622,2.1,6.8,8.9,1.1,0.7,1.8,2.2,2.7,11.1,2568,8.0,18.4,0.433,0.0,0.0,,8.0,18.4,0.433,2.4,3.9,0.622,3.4,11.3,14.8,1.9,1.1,3.0,3.6,4.5,18.4,90,102,2568,12.4,0.457,0.0,0.212,7.3,23.8,15.7,5.8,1.1,3.9,15.3,20.1,-1.9,3.5,1.6,0.029,-3.1,0.3,-2.8,-0.5,82.0,19805,2970,6668,0.445,408,1147,0.356,2562,5521,0.464,1498,2026,0.739,1083,2474,3557,1714,510,540,1214,1624,7846,82.0,19805,3074,6866,0.448,407,1145,0.355,2667,5721,0.466,1329,1783,0.745,1064,2379,3443,1859,612,439,1055,1775,7884,39,43,40,42,-0.46,0.38,-0.09,105.5,106.0,90.1,0.304,0.172,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,STAPLES Center,740185
4,2002-03,2003,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,LAC,NBA,C,36,36,38.0,5.2,12.1,0.427,0.0,0.0,,5.2,12.1,0.427,0.427,1.9,2.9,0.657,1.6,7.5,9.1,1.3,0.5,2.2,2.7,3.1,12.3,1369,7.1,16.7,0.427,0.0,0.0,,7.1,16.7,0.427,2.6,4.0,0.657,2.2,10.4,12.6,1.8,0.7,3.0,3.8,4.2,16.9,86,104,1369,10.5,0.457,0.0,0.241,4.7,22.3,13.6,5.9,0.7,4.1,16.9,19.2,-1.5,1.3,-0.2,-0.006,-3.4,0.3,-3.1,-0.4,82.0,19755,2835,6490,0.437,390,1178,0.331,2445,5312,0.46,1633,2177,0.75,1008,2462,3470,1605,574,461,1291,1784,7693,82.0,19755,3035,6787,0.447,454,1244,0.365,2581,5543,0.466,1507,1946,0.774,1046,2460,3506,1840,652,418,1152,1844,8031,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,0.335,0.182,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471
5,2003-04,2004,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,MIN,NBA,C,43,25,21.5,2.8,6.6,0.425,0.0,0.0,,2.8,6.6,0.425,0.425,0.8,1.4,0.59,1.8,3.9,5.7,0.6,0.4,1.6,1.3,3.2,6.5,925,7.1,16.6,0.425,0.0,0.0,,7.1,16.6,0.425,2.1,3.6,0.59,4.5,9.7,14.3,1.4,0.9,4.0,3.1,8.0,16.2,90,96,925,11.2,0.446,0.0,0.214,10.2,19.6,15.1,4.1,0.9,5.3,14.8,18.6,-0.5,1.7,1.2,0.061,-4.6,1.0,-3.5,-0.4,82.0,19755,3033,6571,0.462,326,897,0.363,2707,5674,0.477,1361,1743,0.781,875,2645,3520,1890,561,462,1043,1731,7753,82.0,19755,2741,6625,0.414,395,1181,0.334,2346,5444,0.431,1426,1893,0.753,1001,2400,3401,1701,547,296,1106,1656,7303,58,24,57,25,5.49,0.37,5.86,105.9,99.7,89.0,0.265,0.137,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,Target Center,723071
6,2004-05,2005,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,29,MIN,NBA,C,62,34,19.6,2.6,5.7,0.456,0.0,0.0,,2.6,5.7,0.456,0.456,0.7,1.1,0.667,1.7,3.5,5.2,0.5,0.2,0.9,1.1,3.1,5.9,1215,7.1,15.7,0.456,0.0,0.0,,7.1,15.7,0.456,2.0,3.1,0.667,4.7,9.7,14.4,1.3,0.7,2.5,3.0,8.6,16.3,96,105,1215,10.4,0.48,0.0,0.195,10.4,19.6,15.2,3.7,0.7,3.3,15.1,17.2,-0.3,1.5,1.2,0.048,-4.6,-0.3,-4.9,-0.9,82.0,19755,3045,6629,0.459,395,1145,0.345,2650,5484,0.483,1449,1820,0.796,947,2580,3527,1918,460,447,1079,1774,7934,82.0,19755,2967,6777,0.438,468,1291,0.363,2499,5486,0.456,1413,1880,0.752,1032,2359,3391,1783,540,323,963,1629,7815,44,38,45,37,1.45,0.28,1.73,108.2,106.6,89.1,0.275,0.173,0.489,12.7,28.6,0.219,0.472,11.2,71.4,0.208,Target Center,704438
7,2005-06,2006,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,30,MIN,NBA,C,32,24,23.5,2.7,6.1,0.446,0.0,0.0,,2.7,6.1,0.446,0.446,0.6,1.2,0.487,1.4,4.2,5.6,0.5,0.6,0.8,1.3,3.1,6.0,752,6.3,14.0,0.446,0.0,0.0,,6.3,14.0,0.446,1.4,2.8,0.487,3.2,9.6,12.9,1.2,1.4,1.9,2.9,7.2,13.9,87,102,752,8.6,0.455,0.0,0.2,7.4,20.8,14.3,3.7,1.4,2.7,16.2,16.0,-0.8,1.2,0.4,0.023,-5.2,0.4,-4.9,-0.5,82.0,19855,2888,6340,0.456,310,942,0.329,2578,5398,0.478,1436,1895,0.758,811,2422,3233,1716,559,471,1189,1889,7522,82.0,19855,2852,6474,0.441,447,1229,0.364,2405,5245,0.459,1525,2072,0.736,974,2411,3385,1554,539,374,1139,1736,7676,33,49,35,47,-1.88,0.13,-1.75,102.4,104.5,88.8,0.299,0.149,0.48,14.2,25.2,0.226,0.475,13.4,71.3,0.236,Target Center,662167
8,2005-06,2006,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,BOS,NBA,C,16,0,10.4,1.3,2.8,0.444,0.0,0.0,,1.3,2.8,0.444,0.444,0.3,0.5,0.625,0.3,2.3,2.6,0.4,0.2,0.4,0.9,1.4,2.8,167,6.2,14.0,0.444,0.0,0.0,,6.2,14.0,0.444,1.6,2.5,0.625,1.6,11.2,12.8,1.9,0.9,1.9,4.4,6.9,14.0,79,104,167,6.8,0.464,0.0,0.178,3.7,25.6,15.0,5.8,0.9,2.7,22.4,17.2,-0.3,0.2,-0.1,-0.028,-5.7,0.2,-5.5,-0.2,82.0,19880,2951,6322,0.467,467,1290,0.362,2484,5032,0.494,1664,2204,0.755,813,2432,3245,1716,578,422,1359,2033,8033,82.0,19880,2944,6462,0.456,446,1265,0.353,2498,5197,0.481,1825,2457,0.743,910,2369,3279,1763,688,404,1210,1837,8159,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,TD Banknorth Garden,692873
9,2006-07,2007,Michael Olowokandi,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,BOS,NBA,C,24,0,9.8,0.8,1.9,0.413,0.0,0.0,,0.8,1.9,0.413,0.413,0.1,0.1,0.667,0.6,1.4,2.0,0.2,0.3,0.5,0.7,2.0,1.7,234,4.2,10.3,0.413,0.0,0.0,,4.2,10.3,0.413,0.4,0.7,0.667,3.1,7.6,10.7,1.1,1.8,2.9,3.8,10.7,8.9,75,103,234,4.5,0.423,0.0,0.065,7.0,17.8,12.3,3.3,1.8,4.3,26.4,12.5,-0.4,0.3,-0.1,-0.017,-7.6,2.1,-5.5,-0.2,82.0,19855,2858,6454,0.443,471,1283,0.367,2387,5171,0.462,1670,2178,0.767,918,2391,3309,1630,589,382,1350,1971,7857,82.0,19855,2966,6337,0.468,429,1212,0.354,2537,5125,0.495,1776,2376,0.747,848,2476,3324,1811,604,449,1250,1757,8137,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,92.0,0.337,0.199,0.479,15.4,27.0,0.259,0.502,14.5,73.8,0.28,TD Banknorth Garden,690576
