,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1995-96,1996,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,DAL,NBA,C,64,3,13.6,1.6,3.9,0.409,0.1,0.4,0.269,1.5,3.5,0.425,0.423,0.6,1.0,0.661,1.0,2.3,3.4,0.5,0.4,0.5,0.5,1.6,3.9,869,5.8,14.3,0.409,0.4,1.5,0.269,5.4,12.8,0.425,2.4,3.6,0.661,3.8,8.7,12.5,1.7,1.4,1.9,1.8,5.8,14.5,101,109,869,10.9,0.456,0.105,0.251,7.3,19.9,13.0,5.0,1.4,2.6,10.2,14.6,0.1,0.8,0.9,0.05,-3.8,-0.2,-3.9,-0.4,82.0,19930,3124,7431,0.42,735,2039,0.36,2389,5392,0.443,1426,1975,0.722,1408,2379,3787,1913,642,342,1270,1836,8409,82.0,19930,3403,6921,0.492,470,1193,0.394,2933,5728,0.512,1535,2097,0.732,1087,2726,3813,1978,702,531,1348,1841,8811,26,56,28,54,-4.9,0.19,-4.71,106.1,111.2,95.4,0.266,0.274,0.47,13.3,34.1,0.192,0.526,14.7,68.6,0.222,Reunion Arena,684138
1,1996-97,1997,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,MIN,NBA,PF,76,0,12.6,1.4,2.7,0.51,0.0,0.0,0.0,1.4,2.6,0.512,0.51,0.6,1.0,0.605,1.1,1.5,2.6,0.4,0.5,0.6,0.4,2.0,3.3,961,5.7,11.1,0.51,0.0,0.1,0.0,5.7,11.1,0.512,2.5,4.2,0.605,4.6,6.2,10.7,1.9,2.3,2.6,1.8,8.3,13.9,111,105,961,12.7,0.535,0.005,0.376,10.3,13.7,12.0,5.6,2.3,3.8,12.0,12.7,1.0,1.2,2.2,0.112,-2.5,1.4,-1.1,0.2,82.0,19780,2937,6436,0.456,371,1093,0.339,2566,5343,0.48,1637,2180,0.751,957,2302,3259,1874,618,557,1243,1818,7882,82.0,19780,2945,6539,0.45,467,1290,0.362,2478,5249,0.472,1646,2184,0.754,1069,2364,3433,1785,654,445,1283,1829,8003,40,42,37,45,-1.48,-0.35,-1.82,105.5,107.1,90.7,0.339,0.17,0.485,14.4,28.8,0.254,0.486,14.6,68.3,0.252,Target Center,697727
2,1997-98,1998,Cherokee Parks,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,MIN,NBA,C,79,43,21.6,2.8,5.7,0.499,0.0,0.0,0.0,2.8,5.7,0.5,0.499,1.4,2.1,0.651,1.8,3.8,5.5,0.7,0.5,1.1,0.8,3.0,7.1,1703,6.8,13.7,0.499,0.0,0.0,0.0,6.8,13.6,0.5,3.3,5.1,0.651,4.3,9.0,13.3,1.6,1.1,2.6,2.0,7.2,17.0,109,105,1703,13.6,0.533,0.002,0.376,9.4,19.6,14.6,4.7,1.1,3.6,11.2,15.4,2.0,1.8,3.8,0.108,-2.1,-0.2,-2.3,-0.1,82.0,19930,3157,6844,0.461,303,873,0.347,2854,5971,0.478,1673,2253,0.743,1063,2429,3492,2068,639,427,1138,1882,8290,82.0,19930,3076,6860,0.448,432,1206,0.358,2644,5654,0.468,1648,2220,0.742,1116,2411,3527,1909,609,412,1228,1863,8232,45,37,43,39,0.71,-0.54,0.17,107.8,107.1,92.6,0.329,0.128,0.483,12.7,30.6,0.244,0.48,13.5,68.5,0.24,Target Center,738590
3,1998-99,1999,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,VAN,NBA,C,48,41,23.3,2.5,5.7,0.429,0.0,0.0,0.0,2.5,5.7,0.431,0.429,0.6,1.1,0.545,1.6,3.5,5.1,0.8,0.6,0.6,1.0,2.4,5.5,1118,5.7,13.3,0.429,0.0,0.0,0.0,5.7,13.2,0.431,1.4,2.7,0.545,3.6,8.1,11.7,1.7,1.3,1.3,2.4,5.5,12.8,92,107,1118,9.5,0.445,0.004,0.2,7.8,18.0,12.8,5.7,1.3,1.9,14.1,14.3,-0.2,0.5,0.2,0.01,-3.5,-1.0,-4.5,-0.7,50.0,12175.0,1643.0,3838.0,0.428,148.0,453.0,0.327,1495.0,3385.0,0.442,1009.0,1408.0,0.717,650.0,1359.0,2009.0,964.0,420.0,199.0,848.0,1123.0,4443.0,50.0,12175.0,1813.0,3917.0,0.463,229.0,653.0,0.351,1584.0,3264.0,0.485,1021.0,1400.0,0.729,673.0,1456.0,2129.0,1189.0,490.0,328.0,779.0,1165.0,4876.0,8,42,11,39,-8.66,-0.28,-8.94,98.4,107.9,89.0,0.367,0.118,0.447,16.0,30.9,0.263,0.492,14.7,66.9,0.261,General Motors Place,417966
4,1999-00,2000,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,VAN,NBA,C,56,14,14.4,1.3,2.6,0.497,0.0,0.0,0.0,1.3,2.6,0.5,0.497,0.4,0.7,0.649,1.0,2.3,3.3,0.6,0.5,0.8,0.5,2.1,3.0,808,4.7,9.5,0.497,0.0,0.1,0.0,4.7,9.4,0.5,1.6,2.4,0.649,3.6,8.4,12.0,2.3,1.9,2.9,1.8,7.5,11.0,107,104,808,11.9,0.521,0.007,0.255,8.1,19.1,13.6,6.8,1.9,4.0,14.8,10.7,0.6,0.8,1.4,0.086,-2.1,1.4,-0.6,0.3,82.0,19855.0,2892.0,6441.0,0.449,324.0,898.0,0.361,2568.0,5543.0,0.463,1594.0,2060.0,0.774,1005.0,2324.0,3329.0,1700.0,608.0,346.0,1381.0,1881.0,7702.0,82.0,19855.0,3136.0,6613.0,0.474,361.0,1083.0,0.333,2775.0,5530.0,0.502,1530.0,1989.0,0.769,970.0,2336.0,3306.0,1932.0,725.0,519.0,1234.0,1912.0,8163.0,22,60,25,57,-5.62,0.52,-5.1,102.3,108.5,91.0,0.32,0.139,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,General Motors Place,569864
5,2000-01,2001,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,WAS,NBA,C,13,0,13.7,1.4,2.9,0.474,0.0,0.0,,1.4,2.9,0.474,0.474,0.9,1.3,0.706,1.0,2.1,3.1,0.5,0.5,0.8,0.8,1.5,3.7,178,5.2,11.1,0.474,0.0,0.0,,5.2,11.1,0.474,3.5,4.9,0.706,3.8,7.9,11.6,2.0,1.7,3.2,2.9,5.8,14.0,102,104,178,13.0,0.528,0.0,0.447,8.4,18.1,13.1,6.4,1.7,4.4,18.0,13.9,0.1,0.2,0.3,0.07,-1.5,1.2,-0.4,0.1,82.0,19680,2833,6453,0.439,275,848,0.324,2558,5605,0.456,1704,2245,0.759,1016,2370,3386,1647,630,383,1391,1913,7645,82.0,19680,3100,6596,0.47,433,1093,0.396,2667,5503,0.485,1559,2088,0.747,931,2410,3341,1902,688,511,1230,1974,8192,19,63,23,59,-6.67,-0.08,-6.75,100.6,107.8,92.7,0.348,0.131,0.46,15.7,29.7,0.264,0.503,14.1,71.8,0.236,MCI Center,638653
6,2000-01,2001,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,LAC,NBA,C,52,31,16.8,2.2,4.5,0.492,0.0,0.1,0.0,2.2,4.4,0.504,0.492,0.4,0.5,0.704,1.1,2.5,3.6,0.8,0.4,0.5,0.6,2.0,4.8,876,7.1,14.4,0.492,0.0,0.4,0.0,7.1,14.1,0.504,1.2,1.7,0.704,3.5,8.0,11.6,2.4,1.2,1.5,1.9,6.2,15.3,105,104,876,12.5,0.506,0.025,0.114,7.8,16.6,12.3,7.5,1.2,2.0,11.1,14.7,0.8,0.8,1.6,0.089,-1.7,0.1,-1.7,0.1,82.0,20030,2896,6467,0.448,360,1063,0.339,2536,5404,0.469,1429,2061,0.693,962,2559,3521,1585,490,513,1293,1775,7581,82.0,20030,2995,6800,0.44,354,1075,0.329,2641,5725,0.461,1474,1983,0.743,1042,2439,3481,1791,638,412,1045,1795,7818,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,89.6,0.319,0.164,0.476,14.9,28.3,0.221,0.466,12.0,71.1,0.217,STAPLES Center,601587
7,2001-02,2002,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,SAS,NBA,C,42,1,5.6,0.7,2.0,0.361,0.0,0.0,,0.7,2.0,0.361,0.361,0.1,0.2,0.375,0.6,0.8,1.4,0.2,0.2,0.2,0.3,0.8,1.5,234,6.8,18.9,0.361,0.0,0.0,,6.8,18.9,0.361,0.7,1.8,0.375,5.5,7.7,13.2,2.3,1.6,1.8,3.2,7.7,14.4,82,99,234,7.6,0.364,0.0,0.096,12.2,16.2,14.3,7.1,1.6,2.4,13.9,20.0,-0.4,0.4,0.0,-0.005,-5.5,0.2,-5.4,-0.2,82.0,19855,2913,6363,0.458,438,1211,0.362,2475,5152,0.48,1668,2249,0.742,907,2566,3473,1643,625,537,1180,1575,7932,82.0,19855,2883,6775,0.426,374,1108,0.338,2509,5667,0.443,1283,1651,0.777,1003,2429,3432,1543,635,428,1192,1896,7423,58,24,59,23,6.21,0.07,6.28,106.5,99.7,90.0,0.353,0.19,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,906390
8,2002-03,2003,Cherokee Parks,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,LAC,NBA,PF,30,18,21.6,2.7,5.4,0.503,0.0,0.1,0.5,2.7,5.4,0.503,0.506,0.8,1.3,0.605,1.5,2.9,4.4,0.7,0.5,0.7,0.6,1.7,6.3,648,6.7,13.2,0.503,0.1,0.2,0.5,6.6,13.1,0.503,1.9,3.1,0.605,3.7,7.0,10.7,1.7,1.3,1.6,1.5,4.2,15.2,110,107,648,13.3,0.523,0.012,0.233,8.1,14.9,11.5,5.5,1.3,2.2,9.1,13.8,0.8,0.4,1.2,0.09,-0.4,-0.8,-1.2,0.1,82.0,19755,2835,6490,0.437,390,1178,0.331,2445,5312,0.46,1633,2177,0.75,1008,2462,3470,1605,574,461,1291,1784,7693,82.0,19755,3035,6787,0.447,454,1244,0.365,2581,5543,0.466,1507,1946,0.774,1046,2460,3506,1840,652,418,1152,1844,8031,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,0.335,0.182,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471
9,2003-04,2004,Cherokee Parks,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,31,GSW,NBA,C,12,0,5.3,0.3,0.8,0.4,0.0,0.0,,0.3,0.8,0.4,0.4,0.3,0.5,0.667,0.3,0.5,0.8,0.1,0.0,0.3,0.2,0.6,1.0,64,3.3,8.4,0.4,0.0,0.0,,3.3,8.4,0.4,3.3,5.0,0.667,3.3,5.0,8.4,0.8,0.0,2.5,1.7,5.8,10.0,100,107,64,7.0,0.475,0.0,0.6,7.0,10.6,8.8,2.4,0.0,3.4,13.7,10.5,0.0,0.0,0.1,0.043,-2.7,0.4,-2.3,0.0,82.0,19855,2875,6511,0.442,429,1283,0.334,2446,5228,0.468,1470,2028,0.725,1002,2533,3535,1681,576,389,1211,1691,7649,82.0,19855,2948,6630,0.445,414,1107,0.374,2534,5523,0.459,1399,1875,0.746,981,2532,3513,1762,666,418,1145,1801,7709,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,89.8,0.311,0.197,0.475,14.1,28.4,0.226,0.476,13.3,72.1,0.211,The Arena in Oakland,665648
