,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Sam Perkins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,LAL,NBA,PF,49,49,32.4,4.9,10.8,0.459,0.1,0.6,0.172,4.8,10.2,0.476,0.464,3.8,4.5,0.829,2.3,5.5,7.7,2.6,0.8,1.0,1.6,2.8,13.7,1589,7.6,16.6,0.459,0.2,0.9,0.172,7.4,15.6,0.476,5.8,7.0,0.829,3.5,8.4,11.9,4.0,1.3,1.6,2.4,4.4,21.1,114,108,1589,16.2,0.539,0.055,0.421,7.9,19.4,13.6,11.8,1.3,2.0,10.8,18.9,2.5,1.6,4.2,0.126,0.9,0.4,1.3,1.3,82.0,19830,3309,6994,0.473,187,626,0.299,3122,6368,0.49,1741,2304,0.756,1103,2288,3391,2013,782,431,1266,1778,8546,82.0,19830,3438,7116,0.483,245,726,0.337,3193,6390,0.5,1529,2050,0.746,1158,2411,3569,2130,686,384,1334,1872,8650,39,43,38,44,-1.27,0.06,-1.2,107.6,108.9,96.2,0.329,0.09,0.486,13.7,31.4,0.249,0.5,14.3,66.4,0.215,Great Western Forum,633655
1,1992-93,1993,Sam Perkins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,SEA,NBA,PF,30,13,25.4,4.6,9.1,0.511,0.6,1.4,0.452,4.0,7.7,0.522,0.546,2.2,2.8,0.795,1.7,3.1,4.8,0.9,0.7,1.0,1.1,2.9,12.1,762,9.1,17.8,0.511,1.2,2.8,0.452,7.9,15.1,0.522,4.3,5.4,0.795,3.4,6.1,9.5,1.8,1.3,2.0,2.1,5.6,23.8,121,106,762,16.9,0.588,0.154,0.305,7.8,14.5,11.1,5.3,1.3,2.7,9.4,18.8,1.8,1.0,2.8,0.173,1.7,-0.1,1.6,0.7,82.0,19780,3473,7140,0.486,218,610,0.357,3255,6530,0.498,1720,2259,0.761,1222,2254,3476,1906,944,409,1267,1971,8884,82.0,19780,3143,6707,0.469,272,808,0.337,2871,5899,0.487,1746,2299,0.759,1075,2220,3295,1835,655,406,1516,1853,8304,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,96.0,0.316,0.085,0.502,13.5,35.5,0.241,0.489,16.4,67.7,0.26,Seattle Center Coliseum,646589
2,1993-94,1994,Sam Perkins,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,32,SEA,NBA,PF,81,41,26.8,4.2,9.6,0.438,1.2,3.3,0.367,3.0,6.3,0.475,0.501,2.7,3.4,0.801,1.5,3.0,4.5,1.4,0.8,0.4,1.3,2.4,12.3,2170,7.9,18.1,0.438,2.3,6.3,0.367,5.6,11.8,0.475,5.1,6.3,0.801,2.8,5.7,8.5,2.6,1.6,0.7,2.4,4.6,23.2,115,104,2170,14.9,0.556,0.347,0.349,6.5,13.5,10.0,7.4,1.6,1.0,10.3,19.8,4.2,2.8,7.0,0.155,1.6,-0.6,1.0,1.7,82.0,19730,3338,6901,0.484,242,722,0.335,3096,6179,0.501,1769,2374,0.745,1148,2233,3381,2112,1053,365,1262,1914,8687,82.0,19730,2928,6459,0.453,326,946,0.345,2602,5513,0.472,1760,2374,0.741,1084,2191,3275,1808,686,421,1666,1884,7942,63,19,64,18,9.09,-0.41,8.68,111.1,101.5,95.1,0.344,0.105,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.272,Seattle Center Coliseum,601369
3,1994-95,1995,Sam Perkins,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,33,SEA,NBA,C,82,37,28.7,4.2,9.0,0.466,1.7,4.2,0.397,2.6,4.9,0.526,0.558,2.6,3.3,0.799,1.2,3.7,4.9,1.6,0.9,0.5,0.9,2.3,12.7,2356,7.4,15.8,0.466,2.9,7.3,0.397,4.5,8.5,0.526,4.6,5.7,0.799,2.0,6.4,8.5,2.9,1.5,1.0,1.6,4.0,22.3,126,108,2356,16.2,0.606,0.462,0.363,4.9,14.9,10.0,8.3,1.5,1.5,8.2,17.2,5.9,2.6,8.5,0.173,3.0,-0.1,2.9,2.9,82.0,19830,3310,6741,0.491,491,1305,0.376,2819,5436,0.519,1944,2564,0.758,1068,2337,3405,2115,917,392,1295,2067,9055,82.0,19830,3008,6637,0.453,520,1514,0.343,2488,5123,0.486,1848,2514,0.735,1064,2207,3271,1849,652,493,1485,2024,8384,57,25,61,21,8.18,-0.27,7.91,114.8,106.3,95.5,0.38,0.194,0.527,14.1,32.6,0.288,0.492,16.1,68.7,0.278,Tacoma Dome,633604
4,1995-96,1996,Sam Perkins,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,34,SEA,NBA,PF,82,20,26.5,4.0,9.7,0.408,1.6,4.4,0.355,2.4,5.3,0.452,0.489,2.3,2.9,0.793,1.2,3.2,4.5,1.5,1.0,0.6,1.0,2.1,11.8,2169,7.7,18.8,0.408,3.0,8.6,0.355,4.6,10.2,0.452,4.5,5.7,0.793,2.4,6.3,8.7,2.8,2.0,1.1,1.9,4.1,22.9,113,103,2169,15.4,0.537,0.455,0.302,5.8,13.8,10.0,8.9,2.0,1.8,8.3,20.3,3.4,3.5,6.9,0.153,1.7,0.4,2.0,2.2,82.0,19880,3074,6401,0.48,581,1596,0.364,2493,4805,0.519,1843,2424,0.76,954,2449,3403,1999,882,393,1441,1967,8572,82.0,19880,2873,6553,0.438,533,1531,0.348,2340,5022,0.466,1654,2309,0.716,1074,2255,3329,1776,758,391,1517,2010,7933,64,18,61,21,7.79,-0.4,7.4,110.3,102.1,93.8,0.379,0.249,0.526,16.2,29.7,0.288,0.479,16.7,69.5,0.252,KeyArena at Seattle Center,697301
5,1996-97,1997,Sam Perkins,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,35,SEA,NBA,C,81,4,24.4,3.6,8.2,0.439,1.5,3.8,0.395,2.1,4.3,0.477,0.531,2.3,2.8,0.817,0.9,2.8,3.7,1.3,0.9,0.6,1.0,1.7,11.0,1976,7.8,17.8,0.439,3.3,8.3,0.395,4.5,9.5,0.477,5.0,6.2,0.817,2.0,6.1,8.1,2.8,1.9,1.3,2.1,3.6,23.9,119,104,1976,17.0,0.584,0.467,0.346,4.5,13.8,9.2,8.5,1.9,2.1,9.2,19.4,4.4,2.7,7.1,0.173,3.0,0.3,3.3,2.6,82.0,19780,2995,6415,0.467,559,1583,0.353,2436,4832,0.504,1725,2295,0.752,1010,2271,3281,1931,904,388,1231,1803,8274,82.0,19780,2759,6259,0.441,613,1644,0.373,2146,4615,0.465,1513,2042,0.741,1015,2256,3271,1751,634,423,1535,1927,7644,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,90.3,0.358,0.247,0.51,14.2,30.9,0.269,0.49,17.7,69.1,0.242,KeyArena at Seattle Center,699952
6,1997-98,1998,Sam Perkins,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,36,SEA,NBA,PF,81,0,20.7,2.4,5.8,0.416,1.1,2.7,0.392,1.3,3.1,0.438,0.508,1.2,1.6,0.789,0.7,2.5,3.1,1.4,0.8,0.4,0.8,2.0,7.2,1675,6.3,15.0,0.416,2.8,7.1,0.392,3.5,7.9,0.438,3.2,4.1,0.789,1.7,6.4,8.1,3.6,2.0,0.9,2.0,5.0,18.5,112,104,1675,13.6,0.55,0.471,0.272,3.9,14.2,9.1,10.3,2.0,1.3,10.5,16.3,2.6,2.0,4.5,0.129,0.9,0.5,1.4,1.4,82.0,19755,3052,6458,0.473,621,1569,0.396,2431,4889,0.497,1521,2109,0.721,931,2225,3156,1986,804,376,1145,1812,8246,82.0,19755,2896,6491,0.446,417,1287,0.324,2479,5204,0.476,1449,2001,0.724,1141,2314,3455,1825,640,403,1394,1824,7658,61,21,61,21,7.17,-0.84,6.33,111.6,103.6,89.8,0.327,0.243,0.521,13.4,28.7,0.236,0.478,15.9,66.1,0.223,KeyArena at Seattle Center,699952
7,1998-99,1999,Sam Perkins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,37,IND,NBA,PF,48,0,16.4,1.7,4.2,0.4,0.7,1.9,0.389,0.9,2.3,0.409,0.488,0.9,1.3,0.717,0.8,2.1,2.9,0.5,0.3,0.3,0.5,1.5,5.0,789,5.6,14.1,0.4,2.5,6.3,0.389,3.2,7.7,0.409,3.0,4.2,0.717,2.5,7.2,9.7,1.8,1.1,1.0,1.5,5.2,16.8,110,105,789,12.1,0.526,0.45,0.3,5.5,15.1,10.4,5.2,1.1,1.3,8.9,15.1,1.2,0.5,1.7,0.103,0.9,-0.3,0.7,0.5,50.0,12100,1731,3866,0.448,294,799,0.368,1437,3067,0.469,977,1228,0.796,574,1452,2026,1005,316,223,649,1082,4733,50.0,12100,1706,3935,0.434,206,634,0.325,1500,3301,0.454,928,1227,0.756,626,1426,2052,955,357,238,652,1127,4546,33,17,32,18,3.74,0.12,3.86,108.7,104.4,86.4,0.318,0.207,0.486,12.8,28.7,0.253,0.46,12.7,69.9,0.236,Market Square Arena,404536
8,1999-00,2000,Sam Perkins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,38,IND,NBA,PF,81,0,20.0,2.3,5.4,0.417,1.1,2.7,0.408,1.2,2.8,0.426,0.518,1.0,1.2,0.825,0.8,2.8,3.6,0.8,0.4,0.4,0.8,1.7,6.6,1620,5.9,14.0,0.417,2.8,6.9,0.408,3.0,7.1,0.426,2.5,3.1,0.825,2.0,7.2,9.2,2.2,1.0,1.1,2.0,4.3,17.1,108,105,1620,12.1,0.555,0.494,0.22,4.6,15.0,10.0,6.4,1.0,1.3,11.5,15.3,1.9,1.6,3.5,0.103,0.6,0.1,0.6,1.1,82.0,19730,3047,6640,0.459,583,1487,0.392,2464,5153,0.478,1629,2008,0.811,842,2612,3454,1857,559,422,1159,1786,8306,82.0,19730,3113,6982,0.446,329,1006,0.327,2784,5976,0.466,1374,1821,0.755,1040,2545,3585,1735,610,323,1126,1910,7929,56,26,54,28,4.6,-0.45,4.15,108.5,103.6,93.1,0.302,0.224,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.197,Conseco Fieldhouse,752145
9,2000-01,2001,Sam Perkins,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,39,IND,NBA,PF,64,41,15.6,1.3,3.5,0.381,0.6,1.7,0.345,0.8,1.8,0.414,0.465,0.5,0.6,0.842,0.5,2.1,2.6,0.6,0.5,0.3,0.3,1.0,3.8,999,4.6,12.1,0.381,2.0,5.9,0.345,2.6,6.2,0.414,1.7,2.0,0.842,1.7,7.3,9.0,2.2,1.8,1.0,1.0,3.3,13.0,107,102,999,11.1,0.499,0.487,0.168,3.7,15.0,9.5,6.6,1.8,1.3,7.3,12.2,0.9,1.2,2.0,0.098,0.0,1.0,1.0,0.8,82.0,19980,2828,6431,0.44,396,1159,0.342,2432,5272,0.461,1539,2009,0.766,921,2595,3516,1763,563,487,1244,1926,7591,82.0,19980,2829,6683,0.423,377,1121,0.336,2452,5562,0.441,1572,2074,0.758,1042,2495,3537,1695,589,387,1115,1882,7607,41,41,40,42,-0.2,-0.57,-0.77,102.0,102.2,89.4,0.312,0.18,0.471,14.5,27.0,0.239,0.452,12.8,71.4,0.235,Conseco Fieldhouse,731800
