,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2000-01,2001,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,MIL,NBA,SG,6,0,5.8,0.8,3.2,0.263,0.0,0.5,0.0,0.8,2.7,0.313,0.263,0.5,1.0,0.5,0.5,0.2,0.7,0.2,0.2,0.0,0.2,0.3,2.2,35,7.4,28.3,0.263,0.0,4.5,0.0,7.4,23.8,0.313,4.5,8.9,0.5,4.5,1.5,6.0,1.5,1.5,0.0,1.5,3.0,19.3,74,110,35,3.4,0.3,0.158,0.316,9.8,3.2,6.5,4.4,1.5,0.0,4.4,29.3,-0.1,0.0,-0.1,-0.163,-6.2,-5.2,-11.4,-0.1,82.0,19780,3112,6798,0.458,562,1481,0.379,2550,5317,0.48,1474,1874,0.787,975,2500,3475,1844,672,386,1123,1928,8260,82.0,19780,2912,6626,0.439,439,1246,0.352,2473,5380,0.46,1679,2186,0.768,1014,2490,3504,1883,592,350,1273,1778,7942,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,92.1,0.276,0.218,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.253,Bradley Center,683125
1,2001-02,2002,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,MIL,NBA,SG,67,8,21.1,4.4,9.1,0.483,1.3,3.0,0.444,3.1,6.1,0.501,0.555,1.4,1.7,0.791,1.1,2.2,3.3,1.4,0.6,0.1,0.9,1.4,11.4,1417,11.0,22.9,0.483,3.3,7.4,0.444,7.7,15.4,0.501,3.4,4.3,0.791,2.9,5.5,8.4,3.4,1.6,0.3,2.1,3.6,28.8,116,109,1417,20.0,0.581,0.325,0.189,6.6,11.4,9.1,11.5,1.6,0.4,8.0,23.7,3.9,0.7,4.6,0.155,4.1,-1.6,2.5,1.6,82.0,19905,3041,6577,0.462,593,1583,0.375,2448,4994,0.49,1321,1767,0.748,841,2557,3398,1847,596,388,1157,1788,7996,82.0,19905,3016,6846,0.441,493,1377,0.358,2523,5469,0.461,1489,1967,0.757,1050,2438,3488,1883,599,361,1054,1642,8014,41,41,40,42,-0.22,-0.4,-0.62,106.9,107.1,90.2,0.269,0.241,0.507,13.6,25.6,0.201,0.477,12.0,70.9,0.217,Bradley Center,745305
2,2002-03,2003,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,MIL,NBA,SG,82,14,28.2,5.5,11.8,0.469,2.2,5.1,0.438,3.3,6.8,0.492,0.562,1.8,2.3,0.805,1.2,3.3,4.5,1.4,1.2,0.2,0.9,1.7,15.1,2316,10.4,22.3,0.469,4.2,9.5,0.438,6.3,12.7,0.492,3.4,4.2,0.805,2.2,6.3,8.5,2.7,2.3,0.3,1.7,3.3,28.5,118,108,2316,21.0,0.59,0.428,0.191,4.9,13.9,9.4,8.9,2.3,0.4,6.6,22.6,6.9,1.1,8.0,0.167,5.0,-1.2,3.9,3.4,82.0,19905,3045,6670,0.457,585,1526,0.383,2460,5144,0.478,1483,1911,0.776,876,2367,3243,1823,622,344,1044,1820,8158,82.0,19905,3043,6642,0.458,479,1278,0.375,2564,5364,0.478,1574,2114,0.745,1021,2541,3562,1892,543,333,1182,1685,8139,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,90.4,0.287,0.229,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,665966
3,2003-04,2004,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,MIL,NBA,SG,82,82,36.8,7.7,17.5,0.44,1.5,4.4,0.35,6.2,13.1,0.47,0.484,4.7,5.4,0.868,1.4,3.5,5.0,2.3,1.0,0.1,1.4,1.9,21.7,3021,11.0,25.0,0.44,2.2,6.3,0.35,8.8,18.7,0.47,6.6,7.7,0.868,2.0,5.0,7.1,3.2,1.4,0.1,2.0,2.6,30.8,113,108,3021,19.9,0.544,0.252,0.306,4.4,10.9,7.7,11.3,1.4,0.1,6.6,26.3,8.4,1.3,9.7,0.154,3.8,-1.3,2.5,3.5,82.0,19780,2970,6650,0.447,401,1145,0.35,2569,5505,0.467,1698,2192,0.775,960,2502,3462,1872,554,383,1110,1668,8039,82.0,19780,3034,6719,0.452,456,1296,0.352,2578,5423,0.475,1428,1932,0.739,983,2521,3504,1870,615,406,1164,1878,7952,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,91.6,0.33,0.172,0.477,12.7,27.6,0.255,0.485,13.3,71.8,0.213,Bradley Center,690180
4,2004-05,2005,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,MIL,NBA,SG,75,75,38.0,8.3,18.9,0.441,1.4,3.9,0.355,6.9,15.0,0.463,0.477,4.9,5.8,0.854,1.0,3.2,4.2,2.3,0.8,0.1,1.8,2.0,23.0,2848,11.6,26.3,0.441,1.9,5.4,0.355,9.7,20.9,0.463,6.9,8.0,0.854,1.3,4.5,5.8,3.2,1.2,0.1,2.5,2.8,32.0,110,113,2848,18.3,0.536,0.207,0.305,2.9,10.0,6.4,11.4,1.2,0.2,7.6,27.8,5.5,0.7,6.2,0.105,2.8,-1.8,1.0,2.2,82.0,19780,2964,6580,0.45,325,925,0.351,2639,5655,0.467,1720,2229,0.772,985,2405,3390,1720,529,289,1132,1797,7973,82.0,19780,3098,6678,0.464,463,1349,0.343,2635,5329,0.494,1559,2022,0.771,935,2413,3348,1953,611,370,1067,1953,8218,30,52,32,50,-2.99,-0.1,-3.09,106.6,109.8,90.8,0.339,0.141,0.475,13.0,29.0,0.261,0.499,12.4,72.0,0.233,Bradley Center,637009
5,2005-06,2006,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,MIL,NBA,SG,80,80,39.1,8.5,19.0,0.45,2.0,5.2,0.395,6.5,13.8,0.471,0.504,6.3,7.1,0.877,1.0,3.3,4.3,2.9,1.2,0.1,2.1,2.0,25.4,3130,11.5,25.5,0.45,2.7,6.9,0.395,8.7,18.5,0.471,8.4,9.6,0.877,1.3,4.4,5.7,3.8,1.6,0.1,2.9,2.6,34.1,115,110,3130,21.2,0.574,0.272,0.377,2.9,10.2,6.5,13.8,1.6,0.1,8.8,28.3,8.8,2.0,10.8,0.166,4.7,-0.9,3.8,4.6,82.0,19855,2976,6566,0.453,507,1335,0.38,2469,5231,0.472,1561,2115,0.738,929,2448,3377,1769,597,270,1197,1902,8020,82.0,19855,2972,6383,0.466,490,1385,0.354,2482,4998,0.497,1671,2237,0.747,832,2475,3307,1847,606,414,1182,1937,8105,40,42,38,44,-1.04,-0.04,-1.07,106.3,107.4,91.2,0.322,0.203,0.492,13.8,27.3,0.238,0.504,13.8,74.6,0.262,Bradley Center,681337
6,2006-07,2007,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,MIL,NBA,SF,53,53,38.4,9.0,19.3,0.465,2.2,5.8,0.382,6.8,13.6,0.501,0.522,6.5,7.8,0.829,0.8,2.9,3.7,2.3,1.2,0.2,2.3,1.5,26.7,2036,12.2,26.2,0.465,3.0,7.8,0.382,9.2,18.4,0.501,8.8,10.6,0.829,1.1,3.9,5.0,3.2,1.6,0.2,3.1,2.0,36.2,115,114,2036,22.3,0.586,0.299,0.406,2.4,9.0,5.7,11.0,1.6,0.3,9.2,29.5,5.8,0.3,6.1,0.145,5.0,-2.0,3.0,2.5,82.0,19855,3121,6714,0.465,524,1472,0.356,2597,5242,0.495,1406,1919,0.733,941,2272,3213,1771,587,224,1240,1821,8172,82.0,19855,3201,6673,0.48,565,1537,0.368,2636,5136,0.513,1564,2109,0.742,1062,2468,3530,2077,615,433,1284,1718,8531,28,54,29,53,-4.38,-0.06,-4.43,107.0,111.7,92.3,0.286,0.219,0.504,14.1,27.6,0.209,0.522,14.5,68.1,0.234,Bradley Center,663629
7,2007-08,2008,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,MIL,NBA,SG,72,71,37.5,7.6,17.3,0.442,1.8,5.0,0.362,5.8,12.3,0.475,0.495,5.6,6.8,0.82,1.2,3.1,4.3,3.4,0.9,0.2,2.5,1.7,22.7,2702,10.7,24.2,0.442,2.5,7.0,0.362,8.2,17.2,0.475,7.8,9.5,0.82,1.7,4.4,6.0,4.8,1.3,0.3,3.5,2.3,31.7,112,115,2702,18.8,0.559,0.289,0.394,3.5,10.2,6.7,16.4,1.3,0.4,11.0,27.3,5.6,0.2,5.8,0.104,3.5,-2.1,1.5,2.4,82.0,19855,3026,6745,0.449,452,1313,0.344,2574,5432,0.474,1452,1980,0.733,1055,2363,3418,1760,544,361,1210,1748,7956,82.0,19855,3147,6562,0.48,588,1530,0.384,2559,5032,0.509,1639,2141,0.766,872,2464,3336,1913,647,404,1125,1727,8521,26,56,23,59,-6.89,-0.03,-6.92,105.3,112.8,91.3,0.294,0.195,0.482,13.7,30.0,0.215,0.524,13.0,73.0,0.25,Bradley Center,639421
8,2008-09,2009,Michael Redd,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,MIL,NBA,SG,33,32,36.5,7.5,16.6,0.455,2.1,5.8,0.366,5.4,10.8,0.503,0.519,4.0,4.9,0.814,0.7,2.5,3.2,2.7,1.1,0.1,1.6,1.4,21.2,1203,10.7,23.6,0.455,3.0,8.2,0.366,7.7,15.3,0.503,5.6,6.9,0.814,1.0,3.6,4.6,3.8,1.5,0.1,2.3,1.9,30.1,114,111,1203,17.9,0.566,0.349,0.294,2.3,8.5,5.3,13.2,1.5,0.1,7.9,25.0,2.3,0.9,3.2,0.128,3.2,-1.1,2.2,1.3,82.0,19780,3009,6755,0.445,511,1408,0.363,2498,5347,0.467,1613,2067,0.78,973,2367,3340,1802,609,308,1154,1986,8142,82.0,19780,2854,6233,0.458,562,1486,0.378,2292,4747,0.483,1961,2480,0.791,831,2527,3358,1730,616,376,1350,1842,8231,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,92.6,0.306,0.208,0.483,13.1,27.8,0.239,0.503,15.6,74.0,0.315,Bradley Center,630976
9,2009-10,2010,Michael Redd,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,30,MIL,NBA,SG,18,12,27.3,4.2,11.8,0.352,1.0,3.3,0.3,3.2,8.5,0.373,0.394,2.6,3.7,0.712,0.6,2.4,3.0,2.2,1.1,0.1,0.8,1.3,11.9,492,8.0,22.7,0.352,1.9,6.4,0.3,6.1,16.3,0.373,5.0,7.0,0.712,1.2,4.6,5.7,4.1,2.0,0.2,1.6,2.6,22.9,98,104,492,12.1,0.444,0.282,0.31,2.4,10.4,6.2,13.0,2.0,0.3,5.8,23.7,-0.1,0.7,0.6,0.059,-0.9,1.0,0.1,0.2,82.0,19980,3050,6998,0.436,645,1813,0.356,2405,5185,0.464,1264,1675,0.755,965,2560,3525,1740,580,385,1085,1823,8009,82.0,19980,2870,6361,0.451,438,1276,0.343,2432,5085,0.478,1692,2211,0.765,790,2722,3512,1581,573,421,1254,1664,7870,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,91.7,0.239,0.259,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,Bradley Center,619453
