,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2006-07,2007,J.J. Redick,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,22,ORL,NBA,PG,42,0,14.8,1.9,4.6,0.41,0.9,2.3,0.388,1.0,2.3,0.433,0.508,1.3,1.4,0.9,0.2,1.0,1.2,0.9,0.3,0.0,0.5,1.2,6.0,622,6.9,16.7,0.41,3.3,8.4,0.388,3.6,8.3,0.433,4.6,5.2,0.9,0.9,3.6,4.5,3.1,1.0,0.0,1.8,4.5,21.6,117,108,622,13.0,0.569,0.503,0.308,2.0,8.1,5.2,9.7,1.0,0.0,8.7,18.1,1.2,0.5,1.7,0.134,0.8,-0.7,0.1,0.3,82.0,19780,2875,6090,0.472,342,962,0.356,2533,5128,0.494,1679,2393,0.702,920,2418,3338,1525,565,416,1392,1904,7771,82.0,19780,2739,6191,0.442,461,1306,0.353,2278,4885,0.466,1768,2327,0.76,865,2217,3082,1609,678,376,1232,1921,7707,40,42,43,39,0.78,-0.43,0.35,104.9,104.1,89.9,0.393,0.158,0.5,16.3,29.3,0.276,0.48,14.6,73.7,0.286,Amway Arena,700887
1,2007-08,2008,J.J. Redick,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,ORL,NBA,SG,34,0,8.1,1.4,3.2,0.444,0.5,1.3,0.395,0.9,1.9,0.477,0.523,0.8,1.0,0.794,0.0,0.6,0.7,0.5,0.1,0.0,0.4,0.9,4.1,276,8.9,20.1,0.444,3.2,8.0,0.395,5.8,12.1,0.477,5.0,6.3,0.794,0.2,4.1,4.3,3.0,0.7,0.0,2.8,5.4,26.1,108,110,276,12.7,0.569,0.398,0.315,0.4,8.8,4.8,9.7,0.7,0.0,10.9,22.9,0.3,0.2,0.5,0.091,-1.0,-1.4,-2.4,0.0,82.0,19780,3058,6446,0.474,801,2074,0.386,2257,4372,0.516,1650,2288,0.721,768,2677,3445,1706,520,333,1173,1688,8567,82.0,19780,3057,6855,0.446,516,1441,0.358,2541,5414,0.469,1489,1975,0.754,900,2519,3419,1764,581,344,1081,1898,8119,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,93.4,0.355,0.322,0.537,13.6,23.4,0.256,0.484,12.3,74.8,0.217,Amway Arena,709346
2,2008-09,2009,J.J. Redick,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,24,ORL,NBA,SG,64,5,17.4,1.8,4.7,0.391,1.0,2.8,0.374,0.8,1.9,0.417,0.503,1.3,1.5,0.871,0.1,1.6,1.7,1.1,0.3,0.0,0.8,1.1,6.0,1111,5.5,14.0,0.391,3.1,8.4,0.374,2.3,5.6,0.417,3.8,4.4,0.871,0.4,4.7,5.1,3.4,1.0,0.0,2.5,3.4,17.9,107,106,1111,9.9,0.562,0.599,0.311,0.8,10.0,5.5,10.3,1.0,0.1,13.7,16.4,0.8,1.5,2.3,0.098,-1.3,0.3,-1.0,0.3,82.0,19730,2929,6416,0.457,817,2147,0.381,2112,4269,0.495,1611,2253,0.715,819,2728,3547,1593,570,439,1142,1664,8286,82.0,19730,2936,6785,0.433,444,1297,0.342,2492,5488,0.454,1421,1882,0.755,864,2591,3455,1488,564,308,1072,1840,7737,59,23,59,23,6.7,-0.21,6.48,109.2,101.9,92.3,0.351,0.335,0.52,13.4,24.0,0.251,0.465,12.3,75.9,0.209,Amway Arena,698768
3,2009-10,2010,J.J. Redick,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,25,ORL,NBA,SG,82,9,22.0,3.0,6.7,0.439,1.4,3.3,0.405,1.6,3.4,0.473,0.54,2.3,2.7,0.86,0.2,1.7,1.9,1.9,0.3,0.0,0.8,1.4,9.6,1808,7.0,16.0,0.439,3.2,7.9,0.405,3.8,8.0,0.473,5.5,6.4,0.86,0.5,4.0,4.5,4.6,0.8,0.1,1.8,3.4,22.7,123,108,1808,15.0,0.606,0.495,0.401,1.1,8.5,5.0,13.9,0.8,0.2,8.8,18.3,4.7,1.8,6.5,0.173,1.8,0.1,1.8,1.8,82.0,19730,3005,6394,0.47,841,2241,0.375,2164,4153,0.521,1575,2176,0.724,810,2736,3546,1615,512,456,1155,1629,8426,82.0,19730,2955,6739,0.438,522,1437,0.363,2433,5302,0.459,1380,1830,0.754,800,2481,3281,1550,551,288,1050,1819,7812,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,92.0,0.34,0.35,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,Amway Arena,715901
4,2010-11,2011,J.J. Redick,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,ORL,NBA,SG,59,5,25.6,3.3,7.6,0.441,1.5,3.7,0.397,1.9,3.9,0.482,0.538,1.9,2.2,0.875,0.1,1.8,1.9,1.7,0.5,0.1,0.9,1.4,10.1,1513,6.9,15.5,0.441,3.0,7.6,0.397,3.8,7.9,0.482,3.9,4.5,0.875,0.2,3.7,3.9,3.5,1.0,0.1,1.8,2.8,20.6,117,106,1513,12.8,0.589,0.49,0.286,0.5,8.1,4.4,11.0,1.0,0.2,9.5,17.0,2.7,1.8,4.5,0.142,0.4,0.7,1.1,1.2,82.0,19830,2956,6411,0.461,770,2103,0.366,2186,4308,0.507,1453,2101,0.692,864,2679,3543,1636,548,384,1224,1640,8135,82.0,19830,2865,6569,0.436,516,1476,0.35,2349,5093,0.461,1441,1940,0.743,805,2450,3255,1646,606,310,1136,1791,7687,52,30,56,26,5.46,-0.54,4.92,107.9,102.0,91.2,0.328,0.328,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.219,Amway Center,777852
5,2011-12,2012,J.J. Redick,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,ORL,NBA,SG,65,22,27.2,3.8,9.0,0.425,1.7,4.1,0.418,2.1,4.9,0.43,0.521,2.2,2.4,0.911,0.3,2.0,2.3,2.5,0.4,0.1,1.0,1.4,11.6,1765,7.6,17.8,0.425,3.4,8.2,0.418,4.2,9.7,0.43,4.4,4.8,0.911,0.5,4.0,4.6,5.0,0.8,0.2,2.1,2.8,22.9,117,109,1765,15.1,0.575,0.459,0.269,1.2,8.8,4.9,16.2,0.8,0.3,9.4,19.2,4.2,1.0,5.2,0.142,1.6,-0.6,1.0,1.3,66.0,15965,2275,5162,0.441,670,1785,0.375,1605,3377,0.475,995,1508,0.66,742,2060,2802,1321,451,275,984,1168,6215,66.0,15965,2372,5287,0.449,414,1192,0.347,1958,4095,0.478,1005,1302,0.772,667,2061,2728,1350,495,273,867,1308,6163,37,29,35,31,0.79,-0.33,0.46,105.0,104.1,89.0,0.292,0.346,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,Amway Center,623587
6,2012-13,2013,J.J. Redick,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,ORL,NBA,SG,50,11,31.5,5.2,11.6,0.45,2.3,6.0,0.39,2.9,5.6,0.514,0.551,2.3,2.6,0.891,0.2,2.2,2.4,4.4,0.6,0.1,2.1,1.4,15.1,1575,8.7,19.2,0.45,3.9,9.9,0.39,4.8,9.3,0.514,3.8,4.3,0.891,0.3,3.6,3.9,7.3,1.0,0.2,3.5,2.3,25.0,112,113,1575,16.1,0.592,0.515,0.222,0.6,7.9,4.3,22.7,1.0,0.2,14.1,21.5,3.0,0.2,3.2,0.097,2.2,-1.8,0.4,0.9,82.0,19780,3093,6904,0.448,506,1537,0.329,2587,5367,0.482,1026,1359,0.755,890,2612,3502,1871,528,358,1191,1591,7718,82.0,19780,3169,6842,0.463,617,1721,0.359,2552,5121,0.498,1336,1811,0.738,888,2618,3506,1946,592,430,1020,1353,8291,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,92.2,0.197,0.223,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,Amway Center,722716
7,2012-13,2013,J.J. Redick,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,MIL,NBA,SG,28,2,28.7,4.3,10.6,0.403,1.7,5.4,0.318,2.6,5.3,0.49,0.483,2.0,2.2,0.918,0.3,1.6,1.9,2.7,0.3,0.1,1.2,1.7,12.3,804,7.6,18.8,0.403,3.0,9.5,0.318,4.5,9.3,0.49,3.5,3.8,0.918,0.5,2.8,3.3,4.8,0.6,0.3,2.1,3.0,21.7,109,112,804,11.9,0.529,0.507,0.205,1.0,6.1,3.5,14.8,0.6,0.4,9.2,19.4,1.0,0.3,1.3,0.078,-0.5,-1.5,-2.0,0.0,82.0,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108,82.0,19830,3152,6946,0.454,529,1519,0.348,2623,5427,0.483,1398,1841,0.759,1019,2757,3776,1893,658,362,1310,1567,8231,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,94.7,0.236,0.232,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,BMO Harris Bradley Center,616469
8,2013-14,2014,J.J. Redick,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,29,LAC,NBA,SG,35,34,28.2,5.2,11.4,0.455,2.1,5.3,0.395,3.1,6.1,0.507,0.546,2.8,3.0,0.915,0.3,1.9,2.1,2.2,0.8,0.1,1.2,1.9,15.2,987,9.2,20.2,0.455,3.7,9.4,0.395,5.5,10.8,0.507,4.9,5.4,0.915,0.5,3.3,3.8,4.0,1.4,0.2,2.1,3.3,27.0,117,109,987,16.6,0.598,0.465,0.266,1.0,7.1,4.2,12.6,1.4,0.2,8.6,21.8,2.3,0.7,3.0,0.147,2.5,-0.8,1.7,0.9,82.0,19755,3208,6761,0.474,693,1966,0.352,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850,82.0,19755,3068,6958,0.441,595,1791,0.332,2473,5167,0.479,1547,2049,0.755,1011,2575,3586,1908,570,284,1261,1919,8278,57,25,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692
9,2014-15,2015,J.J. Redick,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,30,LAC,NBA,SG,78,78,30.9,5.7,12.0,0.477,2.6,5.9,0.437,3.2,6.2,0.515,0.583,2.3,2.6,0.901,0.3,1.9,2.1,1.8,0.5,0.1,1.2,1.7,16.4,2409,9.4,19.7,0.477,4.2,9.6,0.437,5.2,10.1,0.515,3.9,4.3,0.901,0.5,3.1,3.5,2.9,0.8,0.2,2.0,2.8,26.9,118,111,2409,16.2,0.622,0.488,0.216,1.0,6.6,3.9,9.0,0.8,0.3,8.5,21.0,5.8,0.9,6.7,0.134,2.9,-1.6,1.3,2.0,82.0,19730,3228,6830,0.473,827,2202,0.376,2401,4628,0.519,1468,2067,0.71,784,2711,3495,2031,640,409,1012,1749,8751,82.0,19730,2984,6745,0.442,683,1959,0.349,2301,4786,0.481,1560,2105,0.741,868,2649,3517,1904,548,245,1171,1766,8211,56,26,58,24,6.59,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892
