,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Dennis Scott,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,ORL,NBA,SF,54,43,32.6,6.1,14.1,0.431,2.0,5.0,0.403,4.1,9.2,0.446,0.502,1.7,2.2,0.786,0.7,2.7,3.4,2.5,1.1,0.3,1.9,2.4,15.9,1759,9.3,21.6,0.431,3.1,7.6,0.403,6.3,14.0,0.446,2.6,3.3,0.786,1.1,4.2,5.3,3.9,1.6,0.5,2.9,3.7,24.3,105,109,1759,13.2,0.527,0.351,0.153,2.6,9.0,6.0,12.2,1.6,0.6,11.3,22.5,1.2,1.6,2.8,0.076,0.6,-0.1,0.5,1.1,82.0,19880,3257,6708,0.486,317,889,0.357,2940,5819,0.505,1821,2495,0.73,1040,2566,3606,1952,542,467,1429,1925,8652,82.0,19880,3307,7255,0.456,248,754,0.329,3059,6501,0.471,1682,2306,0.729,1166,2271,3437,2091,715,401,1119,1975,8544,41,41,45,37,1.32,0.03,1.35,108.5,107.1,96.3,0.372,0.133,0.509,15.5,31.4,0.271,0.473,11.9,68.8,0.232,Orlando Arena,621191
1,1993-94,1994,Dennis Scott,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,ORL,NBA,SF,82,37,27.8,4.7,11.6,0.405,1.9,4.7,0.399,2.8,6.8,0.408,0.486,1.5,1.9,0.774,0.7,2.0,2.7,2.6,1.0,0.4,1.1,2.0,12.8,2283,8.5,21.0,0.405,3.4,8.6,0.399,5.1,12.4,0.408,2.7,3.5,0.774,1.2,3.6,4.8,4.8,1.8,0.7,2.1,3.6,23.1,111,109,2283,14.1,0.513,0.409,0.168,2.7,8.0,5.4,13.9,1.8,0.9,8.4,20.8,3.4,1.5,5.0,0.104,1.3,-0.4,0.8,1.6,82.0,19730,3341,6883,0.485,394,1137,0.347,2947,5746,0.513,1590,2346,0.678,1177,2356,3533,2070,683,456,1327,1713,8666,82.0,19730,3263,7125,0.458,296,847,0.349,2967,6278,0.473,1525,2047,0.745,1197,2305,3502,2103,756,442,1228,1844,8347,50,32,52,30,3.89,-0.21,3.68,110.8,106.7,95.2,0.341,0.165,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.214,Orlando Arena,626931
2,1994-95,1995,Dennis Scott,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,ORL,NBA,SF,62,10,24.2,4.6,10.4,0.439,2.4,5.7,0.426,2.1,4.7,0.454,0.555,1.4,1.8,0.754,0.4,2.0,2.4,2.1,0.7,0.2,0.9,1.9,12.9,1499,9.5,21.7,0.439,5.1,11.9,0.426,4.5,9.9,0.454,2.9,3.8,0.754,0.8,4.1,4.9,4.4,1.5,0.5,1.9,4.0,27.0,120,111,1499,16.3,0.577,0.546,0.177,2.0,9.0,5.6,12.9,1.5,0.6,7.6,21.6,3.5,1.1,4.6,0.147,3.2,-0.8,2.5,1.7,82.0,19930,3460,6899,0.502,523,1412,0.37,2937,5487,0.535,1648,2465,0.669,1149,2457,3606,2281,672,488,1297,1726,9091,82.0,19930,3242,7093,0.457,468,1239,0.378,2774,5854,0.474,1560,2106,0.741,1136,2226,3362,1986,700,367,1234,1954,8512,57,25,59,23,7.06,-0.62,6.44,115.1,107.8,95.1,0.357,0.205,0.539,14.0,34.0,0.239,0.49,13.3,68.4,0.22,Orlando Arena,656410
3,1995-96,1996,Dennis Scott,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,ORL,NBA,SF,82,82,37.1,6.0,13.6,0.44,3.3,7.7,0.425,2.7,6.0,0.458,0.559,2.2,2.7,0.82,0.8,3.0,3.8,3.0,1.1,0.4,1.5,2.1,17.5,3041,8.4,19.2,0.44,4.6,10.8,0.425,3.9,8.4,0.458,3.1,3.8,0.82,1.1,4.2,5.3,4.2,1.5,0.5,2.1,2.9,24.6,118,110,3041,16.1,0.589,0.562,0.199,2.5,9.2,5.9,12.4,1.5,0.7,9.1,19.9,6.4,2.4,8.8,0.138,2.9,-0.6,2.3,3.3,82.0,19855,3203,6640,0.482,622,1645,0.378,2581,4995,0.517,1543,2232,0.691,966,2401,3367,2080,663,406,1160,1709,8571,82.0,19855,3060,6736,0.454,496,1357,0.366,2564,5379,0.477,1499,2037,0.736,1087,2365,3452,1869,644,324,1238,1827,8115,60,22,56,26,5.56,-0.16,5.4,112.9,106.9,91.8,0.336,0.248,0.529,13.2,29.0,0.232,0.491,14.0,68.8,0.223,Orlando Arena,707168
4,1996-97,1997,Dennis Scott,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,ORL,NBA,SF,66,62,32.8,4.5,11.3,0.398,2.2,5.7,0.394,2.3,5.7,0.402,0.496,1.2,1.5,0.792,0.6,2.5,3.1,2.1,1.1,0.3,1.2,2.1,12.5,2166,7.5,18.8,0.398,3.7,9.4,0.394,3.8,9.4,0.402,2.0,2.5,0.792,1.0,4.1,5.1,3.5,1.9,0.5,2.0,3.5,20.6,107,108,2166,12.4,0.519,0.498,0.135,2.1,9.1,5.5,11.1,1.9,0.7,9.3,18.6,2.0,1.8,3.8,0.084,0.2,-0.1,0.0,1.1,82.0,19855,2839,6497,0.437,567,1662,0.341,2272,4835,0.47,1474,1975,0.746,1071,2221,3292,1689,694,363,1250,1643,7719,82.0,19855,2966,6450,0.46,455,1327,0.343,2511,5123,0.49,1361,1860,0.732,1080,2398,3478,1798,704,417,1314,1769,7748,45,37,40,42,-0.35,0.28,-0.07,105.6,106.0,88.3,0.304,0.256,0.481,14.5,30.9,0.227,0.495,15.3,67.3,0.211,Orlando Arena,711311
5,1997-98,1998,Dennis Scott,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,DAL,NBA,SF,52,42,34.6,5.0,12.8,0.387,1.8,5.3,0.344,3.2,7.6,0.417,0.458,1.9,2.3,0.822,0.8,3.0,3.8,2.5,0.8,0.6,1.8,2.3,13.6,1797,7.7,19.8,0.387,2.8,8.1,0.344,4.9,11.7,0.417,2.9,3.5,0.822,1.2,4.7,5.9,3.8,1.3,1.0,2.7,3.6,21.0,99,110,1797,12.2,0.492,0.41,0.177,2.4,10.0,6.1,12.4,1.3,1.2,11.4,20.6,0.5,0.8,1.3,0.036,-0.2,-1.1,-1.3,0.3,82.0,19905,2882,6754,0.427,422,1183,0.357,2460,5571,0.442,1308,1738,0.753,1008,2280,3288,1535,646,466,1182,1643,7494,82.0,19905,3138,6819,0.46,386,1130,0.342,2752,5689,0.484,1333,1868,0.714,1223,2644,3867,1882,658,374,1240,1608,7995,20,62,24,58,-6.11,-0.22,-6.33,100.5,107.2,89.9,0.257,0.175,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936
6,1997-98,1998,Dennis Scott,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,PHO,NBA,SF,29,3,17.0,2.4,5.6,0.438,1.1,2.4,0.449,1.4,3.2,0.43,0.534,0.3,0.4,0.667,0.3,1.4,1.7,0.8,0.3,0.2,0.4,1.1,6.2,493,7.6,17.3,0.438,3.3,7.3,0.449,4.3,9.9,0.43,0.9,1.3,0.667,0.9,4.5,5.3,2.6,1.1,0.7,1.3,3.3,19.3,109,106,493,11.9,0.541,0.426,0.074,1.9,9.7,5.9,7.6,1.1,1.0,6.7,16.5,0.6,0.5,1.0,0.101,0.1,-0.7,-0.6,0.2,82.0,19955,3138,6710,0.468,431,1211,0.356,2707,5499,0.492,1459,1948,0.749,991,2452,3443,2124,756,429,1236,1765,8166,82.0,19955,2923,6618,0.442,394,1091,0.361,2529,5527,0.458,1501,2051,0.732,1051,2343,3394,1803,720,323,1363,1769,7741,56,26,56,26,5.18,-0.75,4.44,107.4,101.8,91.4,0.29,0.18,0.5,14.0,29.7,0.217,0.471,15.3,70.0,0.227,America West Arena,779943
7,1998-99,1999,Dennis Scott,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,NYK,NBA,SF,15,0,13.7,1.1,3.7,0.304,0.5,1.9,0.276,0.6,1.8,0.333,0.375,0.1,0.3,0.25,0.2,1.1,1.3,0.5,0.2,0.1,0.3,1.1,2.9,206,4.6,15.0,0.304,2.1,7.8,0.276,2.4,7.2,0.333,0.3,1.1,0.25,0.8,4.6,5.4,2.1,0.8,0.3,1.3,4.6,11.5,81,102,206,3.9,0.372,0.518,0.071,1.8,9.4,5.7,6.7,0.8,0.4,8.0,14.6,-0.2,0.2,0.0,-0.006,-3.8,-0.5,-4.3,-0.1,50.0,12100,1610,3704,0.435,208,589,0.353,1402,3115,0.45,892,1218,0.732,551,1510,2061,963,395,262,804,1140,4320,50.0,12100,1528,3790,0.403,234,662,0.353,1294,3128,0.414,979,1335,0.733,616,1426,2042,923,425,215,766,1035,4269,27,23,27,23,1.02,0.43,1.45,98.6,97.5,86.9,0.329,0.159,0.463,15.9,27.9,0.241,0.434,14.9,71.0,0.258,Madison Square Garden (IV),494075
8,1998-99,1999,Dennis Scott,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,30,MIN,NBA,SF,21,9,25.3,3.3,7.5,0.446,1.4,3.2,0.426,2.0,4.2,0.461,0.538,1.0,1.3,0.815,0.2,1.6,1.8,1.5,0.6,0.1,0.7,1.5,9.1,532,6.9,15.6,0.446,2.9,6.7,0.426,4.1,8.8,0.461,2.2,2.7,0.815,0.5,3.3,3.8,3.2,1.2,0.2,1.4,3.2,18.9,115,106,532,12.4,0.565,0.433,0.172,1.0,7.5,4.0,9.5,1.2,0.3,7.7,15.1,1.0,0.3,1.3,0.113,-0.1,-0.7,-0.8,0.2,50.0,12025,1838,4327,0.425,122,410,0.298,1716,3917,0.438,849,1143,0.743,754,1392,2146,1218,426,272,641,1185,4647,50.0,12025,1680,3823,0.439,213,654,0.326,1467,3169,0.463,1055,1470,0.718,591,1563,2154,1114,363,262,836,1017,4628,25,25,26,24,0.38,-0.55,-0.17,101.9,101.5,91.0,0.264,0.095,0.439,11.7,32.5,0.196,0.467,15.8,70.2,0.276,Target Center,427974
9,1999-00,2000,Dennis Scott,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,VAN,NBA,SF,66,0,19.1,1.9,5.0,0.375,1.1,2.9,0.376,0.8,2.2,0.375,0.482,0.7,0.9,0.842,0.2,1.4,1.6,1.0,0.4,0.1,0.5,1.6,5.6,1263,5.2,13.9,0.375,3.0,7.9,0.376,2.3,6.0,0.375,2.0,2.4,0.842,0.7,3.8,4.4,2.9,1.2,0.4,1.3,4.3,15.4,109,112,1263,9.4,0.515,0.568,0.171,1.5,8.6,5.0,8.7,1.2,0.5,7.7,14.0,1.4,0.1,1.5,0.057,-1.0,-1.1,-2.2,-0.1,82.0,19855.0,2892.0,6441.0,0.449,324.0,898.0,0.361,2568.0,5543.0,0.463,1594.0,2060.0,0.774,1005.0,2324.0,3329.0,1700.0,608.0,346.0,1381.0,1881.0,7702.0,82.0,19855.0,3136.0,6613.0,0.474,361.0,1083.0,0.333,2775.0,5530.0,0.502,1530.0,1989.0,0.769,970.0,2336.0,3306.0,1932.0,725.0,519.0,1234.0,1912.0,8163.0,22,60,25,57,-5.62,0.52,-5.1,102.3,108.5,91.0,0.32,0.139,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,General Motors Place,569864
