,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1995-96,1996,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,PHI,NBA,SG,72,71,37.5,6.3,15.2,0.414,1.3,4.1,0.318,5.0,11.1,0.449,0.457,5.4,7.2,0.747,1.3,2.4,3.7,3.9,1.1,1.1,3.5,2.5,19.2,2701,8.7,21.0,0.414,1.8,5.6,0.318,6.9,15.4,0.449,7.5,10.0,0.747,1.7,3.4,5.1,5.4,1.5,1.5,4.9,3.4,26.7,101,115,2701,14.8,0.525,0.268,0.475,3.7,7.7,5.7,19.0,1.5,2.1,16.0,26.0,0.8,0.4,1.2,0.021,0.7,-1.7,-1.0,0.7,82.0,19730,2796,6418,0.436,492,1438,0.342,2304,4980,0.463,1662,2263,0.734,1031,2161,3192,1629,643,420,1414,1777,7746,82.0,19730,3284,6796,0.483,526,1421,0.37,2758,5375,0.513,1472,1986,0.741,1164,2478,3642,2109,723,469,1288,1912,8566,18,64,16,66,-10.0,0.55,-9.45,102.2,113.0,92.2,0.353,0.224,0.474,16.0,29.4,0.259,0.522,14.4,65.0,0.217,CoreStates Spectrum,476016
1,1996-97,1997,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,PHI,NBA,SG,81,81,39.1,6.6,16.1,0.407,1.3,4.2,0.298,5.3,11.9,0.446,0.446,6.3,8.2,0.766,1.9,2.2,4.2,3.1,1.1,0.8,3.9,2.7,20.7,3166,8.5,20.8,0.407,1.6,5.4,0.298,6.9,15.4,0.446,8.1,10.6,0.766,2.5,2.9,5.4,4.0,1.5,1.0,5.0,3.5,26.7,102,115,3166,14.1,0.524,0.261,0.51,5.2,6.4,5.8,13.5,1.5,1.4,16.5,25.6,1.9,0.2,2.1,0.032,-0.1,-2.2,-2.2,-0.2,82.0,19780,3003,6850,0.438,433,1356,0.319,2570,5494,0.468,1776,2450,0.725,1267,2355,3622,1695,683,394,1437,1733,8215,82.0,19780,3314,7045,0.47,558,1529,0.365,2756,5516,0.5,1565,2134,0.733,1186,2453,3639,2066,822,494,1278,2008,8751,22,60,24,58,-6.54,0.65,-5.89,104.6,111.4,95.3,0.358,0.198,0.47,15.3,34.1,0.259,0.51,13.8,66.5,0.222,CoreStates Center,610974
2,1997-98,1998,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,PHI,NBA,SF,22,22,34.0,5.8,12.9,0.452,0.7,2.1,0.348,5.1,10.8,0.473,0.481,3.7,4.6,0.802,1.3,2.2,3.5,3.0,1.4,1.0,3.4,2.5,16.0,748,9.1,20.1,0.452,1.1,3.3,0.348,7.9,16.8,0.473,5.7,7.2,0.802,2.0,3.4,5.4,4.8,2.2,1.5,5.3,4.0,25.0,99,107,748,14.9,0.539,0.163,0.357,4.3,7.4,5.8,16.4,2.2,2.1,18.4,24.1,0.3,0.6,0.9,0.056,0.2,-0.5,-0.3,0.3,82.0,19755,2837,6409,0.443,243,810,0.3,2594,5599,0.463,1734,2352,0.737,1125,2294,3419,1729,729,490,1354,1878,7651,82.0,19755,2906,6440,0.451,384,1115,0.344,2522,5325,0.474,1651,2262,0.73,1115,2341,3456,1927,766,508,1318,1904,7847,31,51,34,48,-2.39,0.5,-1.89,102.8,105.4,90.4,0.367,0.126,0.462,15.4,32.5,0.271,0.481,15.1,67.3,0.256,CoreStates Center,655417
3,1997-98,1998,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,DET,NBA,SG,57,15,31.5,5.2,12.1,0.428,0.5,2.6,0.208,4.6,9.5,0.488,0.45,4.8,6.1,0.782,1.4,2.0,3.3,3.1,1.0,0.7,2.6,2.1,15.7,1797,9.0,21.0,0.428,0.9,4.5,0.208,8.0,16.4,0.488,8.3,10.6,0.782,2.3,3.4,5.8,5.3,1.8,1.2,4.5,3.6,27.1,104,106,1797,16.8,0.53,0.215,0.504,5.1,7.5,6.3,17.5,1.8,1.6,15.1,25.8,2.2,1.7,3.8,0.103,1.6,-0.7,0.9,1.3,82.0,19955,2862,6373,0.449,293,938,0.312,2569,5435,0.473,1704,2288,0.745,1044,2338,3382,1597,678,344,1198,1805,7721,82.0,19955,2840,6377,0.445,363,1100,0.33,2477,5277,0.469,1549,2077,0.746,991,2334,3325,1753,648,382,1263,1874,7592,37,45,46,36,1.57,0.37,1.95,105.3,103.5,88.2,0.359,0.147,0.472,14.0,30.9,0.267,0.474,14.8,70.2,0.243,The Palace of Auburn Hills,794567
4,1998-99,1999,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,DET,NBA,SG,42,9,28.3,4.3,11.6,0.371,0.8,3.0,0.278,3.5,8.6,0.403,0.407,5.0,5.9,0.85,0.6,1.9,2.5,2.8,0.8,0.5,2.9,1.9,14.5,1188,8.5,22.8,0.371,1.6,5.9,0.278,6.8,16.9,0.403,9.8,11.6,0.85,1.2,3.8,5.0,5.5,1.6,0.9,5.7,3.7,28.4,98,104,1188,15.2,0.509,0.258,0.506,2.7,8.4,5.5,18.5,1.6,1.3,16.9,28.7,0.9,1.0,1.9,0.076,0.5,-1.3,-0.8,0.4,50.0,12050,1660,3716,0.447,248,679,0.365,1412,3037,0.465,950,1283,0.74,605,1412,2017,1009,444,208,790,1139,4518,50.0,12050,1585,3639,0.436,236,682,0.346,1349,2957,0.456,941,1317,0.715,548,1377,1925,1043,424,225,770,1113,4347,29,21,32,18,3.42,0.55,3.97,104.2,100.3,86.3,0.345,0.183,0.48,15.6,30.5,0.256,0.468,15.4,72.0,0.259,The Palace of Auburn Hills,444585
5,1999-00,2000,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,DET,NBA,SG,82,82,38.4,7.5,17.6,0.428,1.0,3.5,0.288,6.5,14.1,0.462,0.456,7.5,9.2,0.815,1.4,2.4,3.8,4.5,1.3,0.4,3.8,2.3,23.6,3148,9.9,23.1,0.428,1.3,4.6,0.288,8.5,18.5,0.462,9.9,12.1,0.815,1.9,3.1,5.0,5.8,1.6,0.6,5.0,3.0,30.9,106,108,3148,18.9,0.545,0.199,0.524,4.3,7.2,5.8,20.3,1.6,0.8,14.9,29.2,5.7,1.6,7.3,0.111,2.8,-1.7,1.0,2.4,82.0,19830,3044,6635,0.459,439,1223,0.359,2605,5412,0.481,1956,2506,0.781,917,2458,3375,1707,665,273,1288,2011,8483,82.0,19830,3119,6706,0.465,458,1234,0.371,2661,5472,0.486,1669,2237,0.746,973,2504,3477,1893,652,396,1400,2219,8365,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,95.7,0.378,0.184,0.492,14.3,26.8,0.295,0.499,15.4,71.6,0.249,The Palace of Auburn Hills,678470
6,2000-01,2001,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,DET,NBA,SG,80,80,40.2,9.7,24.1,0.402,2.1,5.9,0.351,7.6,18.2,0.418,0.445,8.3,10.1,0.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8,3215,12.2,30.4,0.402,2.6,7.5,0.351,9.6,22.9,0.418,10.5,12.8,0.822,1.6,3.4,5.0,6.5,1.5,0.9,5.1,2.5,37.5,104,105,3215,21.8,0.521,0.245,0.42,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,0.137,5.8,-0.7,5.1,5.8,82.0,19855,2919,6880,0.424,389,1112,0.35,2530,5768,0.439,1610,2233,0.721,1108,2626,3734,1629,613,447,1304,1955,7837,82.0,19855,2976,6850,0.434,428,1229,0.348,2548,5621,0.453,1596,2169,0.736,1012,2671,3683,1860,669,397,1274,2062,7976,32,50,36,46,-1.7,-0.39,-2.08,100.0,101.8,94.7,0.325,0.162,0.453,14.2,29.3,0.234,0.466,14.0,72.2,0.233,The Palace of Auburn Hills,607323
7,2001-02,2002,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,DET,NBA,SF,76,76,35.3,6.9,17.4,0.397,1.1,3.9,0.287,5.8,13.4,0.43,0.43,6.5,7.6,0.858,1.0,3.1,4.1,5.3,1.0,0.5,3.5,2.1,21.4,2685,10.4,26.2,0.397,1.7,6.0,0.287,8.7,20.2,0.43,9.8,11.5,0.858,1.5,4.7,6.3,8.0,1.5,0.7,5.3,3.2,32.4,102,105,2685,19.0,0.518,0.227,0.437,3.4,10.4,6.9,28.4,1.5,1.0,14.5,32.3,3.2,2.6,5.8,0.104,2.6,-1.2,1.5,2.4,82.0,19680,2845,6300,0.452,567,1509,0.376,2278,4791,0.475,1478,1954,0.756,810,2366,3176,1765,648,565,1193,1695,7735,82.0,19680,2926,6546,0.447,359,993,0.362,2567,5553,0.462,1349,1787,0.755,991,2511,3502,1638,651,335,1273,1874,7560,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,90.0,0.31,0.24,0.497,14.3,24.4,0.235,0.474,14.8,70.5,0.206,The Palace of Auburn Hills,760807
8,2002-03,2003,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,WAS,NBA,SG,70,70,39.2,7.0,17.2,0.409,1.0,3.5,0.29,6.0,13.7,0.439,0.438,6.5,7.4,0.878,0.9,2.8,3.7,4.5,0.9,0.4,2.8,1.9,21.5,2747,9.7,23.8,0.409,1.4,4.9,0.29,8.3,18.9,0.439,9.0,10.3,0.878,1.2,3.9,5.1,6.3,1.3,0.6,3.8,2.6,29.9,106,108,2747,18.7,0.528,0.204,0.431,2.6,8.5,5.6,21.7,1.3,0.8,11.9,27.9,5.1,1.4,6.5,0.114,2.9,-1.6,1.3,2.3,82.0,19830,2816,6394,0.44,253,811,0.312,2563,5583,0.459,1617,2077,0.779,917,2395,3312,1612,621,390,1095,1644,7502,82.0,19830,2877,6507,0.442,449,1242,0.362,2428,5265,0.461,1382,1792,0.771,949,2447,3396,1776,612,358,1171,1804,7585,37,45,38,44,-1.01,-0.46,-1.47,103.0,104.1,88.2,0.325,0.127,0.46,13.0,27.3,0.253,0.477,13.8,71.6,0.212,MCI Center,827093
9,2003-04,2004,Jerry Stackhouse,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,WAS,NBA,SF,26,17,29.8,4.9,12.3,0.399,0.9,2.5,0.354,4.0,9.8,0.41,0.435,3.2,4.0,0.806,0.6,3.0,3.6,4.0,0.9,0.1,3.4,1.9,13.9,774,8.6,21.6,0.399,1.5,4.4,0.354,7.1,17.2,0.41,5.6,6.9,0.806,1.1,5.2,6.3,6.9,1.6,0.2,5.9,3.3,24.3,93,107,774,13.2,0.494,0.202,0.321,2.3,11.6,6.8,25.1,1.6,0.3,19.4,26.0,-0.2,0.4,0.2,0.013,-1.2,-2.5,-3.7,-0.3,82.0,19830,2758,6556,0.421,433,1269,0.341,2325,5287,0.44,1579,2211,0.714,1115,2392,3507,1537,733,406,1439,1712,7528,82.0,19830,3061,6740,0.454,424,1238,0.342,2637,5502,0.479,1444,1874,0.771,1048,2520,3568,1966,786,448,1321,1783,7990,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,92.2,0.337,0.194,0.454,16.0,30.7,0.241,0.486,14.9,69.5,0.214,MCI Center,645363
