,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1995-96,1996,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,WSB,NBA,PF,65,51,27.5,4.2,8.7,.487,0.4,1.3,.329,3.8,7.4,.513,.511,1.2,1.8,.650,1.4,3.2,4.7,1.3,0.6,0.8,1.6,3.2,10.1,1788,7.9,16.2,0.487,0.8,2.3,0.329,7.1,13.8,0.513,2.2,3.4,0.65,2.7,6.0,8.7,2.4,1.2,1.5,2.9,5.9,18.8,102,108,1788,11.8,0.53,0.145,0.212,6.2,13.6,10.0,7.3,1.2,2.2,14.3,18.0,0.6,1.8,2.3,0.063,-1.6,0.2,-1.4,0.3,82.0,19805,3202,6618,0.484,493,1212,0.407,2709,5406,0.501,1511,2076,0.728,930,2327,3257,1815,592,506,1327,1981,8408,82.0,19805,3061,6650,0.46,377,1103,0.342,2684,5547,0.484,1822,2378,0.766,1105,2370,3475,1690,696,390,1362,1891,8321,39,43,44,38,1.06,-0.07,0.99,108.7,107.6,93.7,0.314,0.183,0.521,15.0,28.2,0.228,0.489,15.0,67.8,0.274,USAir Arena,669598
1,1996-97,1997,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,POR,NBA,PF,62,56,30.5,6.1,11.0,.558,0.1,0.5,.273,6.0,10.5,.573,.565,2.7,4.3,.638,2.0,4.8,6.8,1.2,0.8,1.0,1.8,3.2,15.1,1892,10.6,19.0,0.558,0.3,0.9,0.273,10.4,18.1,0.573,4.7,7.4,0.638,3.4,8.3,11.7,2.1,1.3,1.6,3.2,5.5,26.2,113,103,1892,18.4,0.588,0.048,0.389,7.9,18.1,13.1,7.1,1.3,2.4,12.5,21.7,3.5,2.9,6.4,0.163,0.7,0.6,1.3,1.6,82.0,19855,3000,6465,0.464,501,1401,0.358,2499,5064,0.493,1613,2261,0.713,1058,2494,3552,1710,640,435,1357,1928,8114,82.0,19855,2798,6423,0.436,457,1279,0.357,2341,5144,0.455,1719,2327,0.739,952,2197,3149,1703,656,428,1242,1887,7772,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,90.9,0.35,0.217,0.503,15.4,32.5,0.249,0.471,14.3,72.4,0.268,Rose Garden Arena,852798
2,1997-98,1998,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,POR,NBA,PF,77,77,37.6,6.1,11.4,.533,0.1,0.5,.205,5.9,10.9,.548,.537,2.4,3.6,.662,1.7,4.5,6.2,2.5,1.0,1.1,2.2,3.5,14.6,2896,8.6,16.1,0.533,0.1,0.7,0.205,8.4,15.4,0.548,3.4,5.1,0.662,2.4,6.4,8.8,3.6,1.4,1.6,3.1,4.9,20.7,109,103,2896,14.9,0.564,0.045,0.318,5.5,13.4,9.6,11.9,1.4,2.2,14.3,18.2,3.8,3.8,7.6,0.125,0.1,1.1,1.2,2.4,82.0,19830,2885,6397,0.451,324,1047,0.309,2561,5350,0.479,1640,2226,0.737,1086,2522,3608,1766,585,464,1383,1859,7734,82.0,19830,2810,6520,0.431,373,1087,0.343,2437,5433,0.449,1626,2253,0.722,1011,2201,3212,1764,770,445,1160,1823,7619,46,36,45,37,1.4,-0.57,0.83,104.0,102.4,90.0,0.348,0.164,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559
3,1998-99,1999,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,POR,NBA,PF,49,18,28.9,4.9,9.7,.508,0.3,0.6,.419,4.7,9.1,.515,.522,2.7,3.7,.732,1.2,3.8,4.9,1.2,1.0,1.1,1.6,3.6,12.8,1414,9.2,18.1,0.508,0.5,1.2,0.419,8.7,16.9,0.515,5.0,6.8,0.732,2.2,7.0,9.2,2.3,1.8,2.1,3.0,6.7,23.9,109,97,1414,16.7,0.566,0.065,0.376,4.8,14.5,9.8,7.8,1.8,2.9,12.6,20.5,2.6,2.4,5.0,0.169,0.2,1.8,2.0,1.4,50.0,12175,1747,3956,0.442,246,675,0.364,1501,3281,0.457,1002,1349,0.743,646,1570,2216,1073,411,290,771,1126,4742,50.0,12175,1644,3939,0.417,220,691,0.318,1424,3248,0.438,916,1263,0.725,616,1388,2004,962,411,244,785,1142,4424,35,15,36,14,6.36,-0.69,5.67,104.8,97.7,89.2,0.341,0.171,0.473,14.5,31.8,0.253,0.445,14.9,71.8,0.233,Rose Garden Arena,486556
4,1999-00,2000,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,POR,NBA,PF,81,77,35.1,6.7,12.9,.519,0.1,0.6,.160,6.6,12.3,.537,.522,2.9,4.1,.704,1.6,5.4,7.0,1.8,1.1,1.3,1.9,2.7,16.4,2845,10.2,19.6,0.519,0.2,0.9,0.16,10.0,18.7,0.537,4.4,6.2,0.704,2.4,8.2,10.6,2.7,1.6,2.0,2.9,4.1,24.9,108,99,2845,18.1,0.556,0.048,0.317,5.6,17.2,11.7,8.7,1.6,2.8,11.6,21.9,4.6,4.7,9.3,0.156,1.2,1.0,2.2,3.0,82.0,19780,3021,6430,0.47,407,1128,0.361,2614,5302,0.493,1542,2029,0.76,966,2560,3526,1925,633,396,1243,1865,7991,82.0,19780,2825,6557,0.431,394,1195,0.33,2431,5362,0.453,1422,1985,0.716,978,2220,3198,1705,652,350,1186,1872,7466,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,89.9,0.316,0.175,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217,Rose Garden Arena,835078
5,2000-01,2001,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,POR,NBA,PF,77,75,38.2,7.7,15.3,.501,0.7,2.1,.321,7.0,13.2,.530,.523,3.2,4.2,.766,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2,2940,10.8,21.6,0.501,1.0,3.0,0.321,9.9,18.6,0.53,4.5,5.9,0.766,2.7,8.3,11.0,3.9,1.6,2.5,2.9,3.8,27.1,111,100,2940,20.9,0.56,0.138,0.272,6.2,17.9,12.2,12.9,1.6,3.4,10.7,23.4,6.8,4.2,11.0,0.18,3.3,1.1,4.4,4.8,82.0,19780,3004,6417,0.468,369,1057,0.349,2635,5360,0.492,1447,1899,0.762,960,2481,3441,1963,672,419,1257,1745,7824,82.0,19780,2819,6436,0.438,406,1103,0.368,2413,5333,0.452,1436,1930,0.744,946,2238,3184,1745,646,324,1216,1738,7480,50,32,53,29,4.2,0.33,4.52,106.5,101.8,89.1,0.296,0.165,0.497,14.8,30.0,0.225,0.47,14.3,72.4,0.223,Rose Garden Arena,831376
6,2001-02,2002,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,POR,NBA,PF,79,79,37.5,7.6,16.3,.469,1.4,4.0,.360,6.2,12.3,.504,.513,2.5,3.5,.734,1.7,6.4,8.2,1.9,1.3,1.3,1.7,2.7,19.3,2963,10.9,23.3,0.469,2.1,5.7,0.36,8.9,17.6,0.504,3.6,5.0,0.734,2.5,9.2,11.7,2.8,1.8,1.8,2.4,3.8,27.6,110,102,2963,19.3,0.54,0.246,0.213,5.3,20.4,12.8,9.3,1.8,2.6,8.5,23.7,5.6,4.1,9.7,0.158,2.4,0.5,3.0,3.7,82.0,19830,3004,6671,0.45,466,1318,0.354,2538,5353,0.474,1451,1901,0.763,1085,2444,3529,1926,702,368,1172,1613,7925,82.0,19830,2951,6508,0.453,466,1285,0.363,2485,5223,0.476,1312,1771,0.741,890,2328,3218,1945,612,410,1208,1651,7680,49,33,50,32,2.99,0.22,3.21,107.4,104.0,89.3,0.285,0.198,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,Rose Garden Arena,797821
7,2002-03,2003,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,POR,NBA,PF,74,74,36.3,7.0,14.8,.471,1.5,4.1,.358,5.5,10.6,.515,.521,2.7,3.7,.735,1.5,5.9,7.4,2.1,0.9,1.0,1.9,3.0,18.1,2684,10.3,21.9,0.471,2.2,6.1,0.358,8.1,15.7,0.515,4.0,5.4,0.735,2.3,8.7,11.0,3.1,1.4,1.5,2.8,4.5,26.8,109,102,2684,18.5,0.552,0.281,0.249,5.1,19.6,12.3,10.2,1.4,2.2,10.3,23.3,5.1,3.4,8.5,0.151,2.3,0.2,2.5,3.1,82.0,19855,2987,6491,0.46,379,1150,0.33,2608,5341,0.488,1450,1947,0.745,992,2378,3370,1860,725,316,1248,1634,7803,82.0,19855,2942,6540,0.45,438,1285,0.341,2504,5255,0.476,1267,1659,0.764,912,2292,3204,1863,683,391,1270,1670,7589,50,32,49,33,2.61,0.36,2.97,105.5,102.6,89.4,0.3,0.177,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,796258
8,2003-04,2004,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,POR,NBA,PF,45,44,37.2,6.6,14.9,.442,1.3,3.8,.341,5.3,11.0,.478,.487,2.6,3.4,.742,1.5,5.1,6.6,2.5,0.8,1.6,1.9,2.9,17.0,1675,9.8,22.2,0.442,2.0,5.8,0.341,7.9,16.5,0.478,3.8,5.2,0.742,2.3,7.6,9.9,3.8,1.2,2.4,2.9,4.4,25.5,105,105,1675,17.5,0.52,0.259,0.232,4.9,16.1,10.6,12.4,1.2,3.2,10.6,23.3,2.5,1.4,3.9,0.111,1.7,-0.2,1.5,1.5,82.0,19980,2898,6467,0.448,381,1102,0.346,2517,5365,0.469,1263,1728,0.731,1040,2376,3416,1768,613,443,1213,1554,7440,82.0,19980,2954,6567,0.45,417,1222,0.341,2537,5345,0.475,1219,1618,0.753,1016,2292,3308,1912,657,390,1120,1534,7544,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,86.2,0.267,0.17,0.478,14.4,31.2,0.195,0.482,13.3,70.0,0.186,Rose Garden Arena,684038
9,2003-04,2004,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,ATL,NBA,PF,1,1,42.0,8.0,24.0,.333,1.0,6.0,.167,7.0,18.0,.389,.354,3.0,3.0,1.000,1.0,5.0,6.0,2.0,1.0,5.0,3.0,0.0,20.0,42,10.1,30.2,0.333,1.3,7.5,0.167,8.8,22.6,0.389,3.8,3.8,1.0,1.3,6.3,7.5,2.5,1.3,6.3,3.8,0.0,25.2,81,103,42,13.7,0.395,0.25,0.125,2.7,13.3,8.1,9.2,1.3,8.8,10.6,30.7,-0.1,0.0,-0.1,-0.068,-2.3,-1.0,-3.3,0.0,82.0,19905,2829,6529,0.433,419,1249,0.335,2410,5280,0.456,1534,1976,0.776,996,2507,3503,1648,627,408,1350,1826,7611,82.0,19905,2968,6740,0.44,482,1345,0.358,2486,5395,0.461,1574,2072,0.76,1048,2485,3533,1803,731,416,1151,1699,7992,28,54,28,54,-4.65,-0.36,-5.0,101.0,106.1,90.8,0.303,0.191,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,Philips Arena,565728
10,2003-04,2004,Rasheed Wallace,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,29,DET,NBA,PF,22,21,30.6,5.5,12.8,.431,1.0,3.1,.319,4.5,9.6,.467,.470,1.7,2.5,.704,1.5,5.6,7.0,1.8,1.1,2.0,1.3,2.7,13.7,673,9.8,22.8,0.431,1.8,5.6,0.319,8.0,17.2,0.467,3.1,4.4,0.704,2.6,10.0,12.6,3.2,1.9,3.7,2.4,4.8,24.5,102,91,673,18.8,0.495,0.246,0.192,5.6,20.8,13.3,11.5,1.9,5.1,8.7,23.2,0.7,1.7,2.4,0.171,1.4,3.2,4.6,1.1,82.0,19780,2747,6314,0.435,333,968,0.344,2414,5346,0.452,1561,2074,0.753,1014,2492,3506,1702,659,570,1241,1664,7388,82.0,19780,2633,6378,0.413,356,1180,0.302,2277,5198,0.438,1287,1730,0.744,980,2353,3333,1561,649,410,1310,1877,6909,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,87.9,0.328,0.153,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,The Palace of Auburn Hills,872902
11,2004-05,2005,Rasheed Wallace,16T,0.0,1.0,0.0,false,2.0,3.0,500.0,30,DET,NBA,PF,79,79,34.0,5.9,13.4,.440,0.9,3.0,.318,5.0,10.5,.475,.475,1.7,2.5,.697,2.2,5.9,8.2,1.8,0.8,1.5,1.6,3.0,14.5,2687,9.6,21.8,0.44,1.5,4.8,0.318,8.0,16.9,0.475,2.8,4.0,0.697,3.6,9.6,13.2,2.9,1.3,2.4,2.6,4.8,23.5,103,99,2687,16.4,0.499,0.222,0.184,7.7,20.3,14.0,9.8,1.3,3.2,10.0,22.3,2.0,5.1,7.1,0.127,0.3,1.2,1.5,2.3,82.0,19955,2851,6421,0.444,363,1053,0.345,2488,5368,0.463,1588,2150,0.739,1054,2507,3561,1787,576,497,1133,1638,7653,82.0,19955,2791,6496,0.43,410,1213,0.338,2381,5283,0.451,1344,1790,0.751,928,2321,3249,1618,610,367,1135,1851,7336,54,28,53,29,3.87,-0.55,3.31,105.6,101.2,87.2,0.335,0.164,0.472,13.3,31.2,0.247,0.461,13.5,73.0,0.207,The Palace of Auburn Hills,905116
