,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1993-94,1994,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,20,GSW,NBA,C,76,76,32.1,7.5,13.6,0.552,0.0,0.2,0.0,7.5,13.5,0.559,0.552,2.5,4.7,0.532,4.0,5.1,9.1,3.6,1.2,2.2,2.7,3.3,17.5,2438,11.4,20.6,0.552,0.0,0.3,0.0,11.4,20.3,0.559,3.8,7.1,0.532,6.1,7.7,13.8,5.4,1.8,3.3,4.1,4.9,26.5,110,104,2438,21.7,0.559,0.014,0.342,13.8,17.0,15.4,17.1,1.8,4.1,14.7,23.7,4.6,3.2,7.8,0.154,2.9,1.1,4.0,3.6,82.0,19780,3512,7145,0.492,291,859,0.339,3221,6286,0.512,1529,2304,0.664,1183,2396,3579,2198,804,511,1433,1789,8844,82.0,19780,3428,7332,0.468,305,869,0.351,3123,6463,0.483,1540,2108,0.731,1324,2408,3732,2184,842,408,1426,1870,8701,50,32,46,36,1.74,0.01,1.76,108.3,106.5,99.1,0.322,0.12,0.512,14.9,32.9,0.214,0.488,14.7,64.4,0.21,Oakland-Alameda County Coliseum Arena,616025
1,1994-95,1995,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,WSB,NBA,PF,54,52,38.3,8.6,17.4,0.495,0.7,2.7,0.276,7.9,14.7,0.535,0.516,2.2,4.3,0.502,3.7,5.9,9.6,4.7,1.5,1.6,3.1,3.4,20.1,2067,11.4,23.0,0.495,1.0,3.6,0.276,10.4,19.5,0.535,2.9,5.7,0.502,4.9,7.8,12.7,6.3,2.0,2.1,4.1,4.6,26.7,105,108,2067,20.1,0.521,0.155,0.248,10.8,18.4,14.4,21.5,2.0,2.9,13.8,25.5,1.9,2.2,4.0,0.093,2.9,0.5,3.5,2.9,82.0,19855,3176,6899,0.46,433,1264,0.343,2743,5635,0.487,1457,2013,0.724,1044,2219,3263,1749,648,404,1301,1949,8242,82.0,19855,3246,6768,0.48,438,1145,0.383,2808,5623,0.499,1771,2315,0.765,1107,2521,3628,1959,701,446,1359,1775,8701,21,61,26,56,-5.6,0.04,-5.56,105.4,111.3,94.5,0.292,0.183,0.492,14.3,29.3,0.211,0.512,14.9,66.7,0.262,USAir Arena,689463
2,1995-96,1996,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,WSB,NBA,PF,15,15,37.2,10.0,18.4,0.543,1.0,2.3,0.441,9.0,16.1,0.558,0.571,2.7,4.6,0.594,2.5,5.1,7.6,5.0,1.8,0.6,3.3,3.4,23.7,558,13.8,25.3,0.543,1.4,3.1,0.441,12.4,22.2,0.558,3.8,6.3,0.594,3.4,7.1,10.5,6.9,2.5,0.8,4.5,4.7,32.7,112,105,558,23.6,0.581,0.123,0.25,8.0,15.9,12.0,24.9,2.5,1.2,13.8,28.5,1.2,0.7,1.9,0.165,5.1,0.6,5.7,1.1,82.0,19805,3202,6618,0.484,493,1212,0.407,2709,5406,0.501,1511,2076,0.728,930,2327,3257,1815,592,506,1327,1981,8408,82.0,19805,3061,6650,0.46,377,1103,0.342,2684,5547,0.484,1822,2378,0.766,1105,2370,3475,1690,696,390,1362,1891,8321,39,43,44,38,1.06,-0.07,0.99,108.7,107.6,93.7,0.314,0.183,0.521,15.0,28.2,0.228,0.489,15.0,67.8,0.274,USAir Arena,669598
3,1996-97,1997,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,WSB,NBA,PF,72,72,39.0,8.4,16.2,0.518,0.8,2.1,0.397,7.6,14.1,0.535,0.543,2.5,4.3,0.565,3.3,7.0,10.3,4.6,1.7,1.9,3.2,3.6,20.1,2806,11.2,21.6,0.518,1.1,2.8,0.397,10.1,18.8,0.535,3.3,5.8,0.565,4.4,9.4,13.8,6.1,2.3,2.5,4.3,4.8,26.8,108,101,2806,21.8,0.554,0.129,0.268,10.1,20.8,15.5,19.9,2.3,3.7,15.0,24.6,4.3,5.0,9.3,0.159,3.1,2.2,5.3,5.1,82.0,19855,3208,6678,0.48,331,1001,0.331,2877,5677,0.507,1400,1979,0.707,1010,2420,3430,1921,712,402,1289,1815,8147,82.0,19855,3011,6637,0.454,492,1327,0.371,2519,5310,0.474,1500,2004,0.749,1022,2336,3358,1671,665,334,1356,1769,8014,44,38,46,36,1.62,0.15,1.77,106.6,104.9,92.4,0.296,0.15,0.505,14.6,30.2,0.21,0.491,15.3,70.3,0.226,US Airways Arena,700646
4,1997-98,1998,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,WAS,NBA,C,71,71,39.6,9.1,18.9,0.482,0.9,2.9,0.317,8.2,16.0,0.512,0.507,2.8,4.7,0.589,2.5,7.0,9.5,3.8,1.6,1.7,2.6,3.8,21.9,2809,12.0,25.0,0.482,1.2,3.8,0.317,10.8,21.1,0.512,3.6,6.2,0.589,3.3,9.3,12.5,5.1,2.1,2.3,3.4,5.0,28.9,106,101,2809,20.9,0.523,0.153,0.248,6.9,20.8,13.7,17.8,2.1,3.1,11.1,26.5,3.9,4.4,8.3,0.142,2.9,1.7,4.6,4.7,82.0,19805,3080,6811,0.452,320,944,0.339,2760,5867,0.47,1489,2156,0.691,1121,2341,3462,1900,689,379,1156,1839,7969,82.0,19805,2975,6540,0.455,348,977,0.356,2627,5563,0.472,1623,2172,0.747,1029,2468,3497,1725,632,372,1328,1924,7921,42,40,43,39,0.59,0.53,1.11,105.2,104.5,91.8,0.317,0.139,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240
5,1998-99,1999,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,SAC,NBA,PF,42,42,40.9,9.0,18.5,0.486,0.1,0.8,0.118,8.9,17.7,0.503,0.488,1.9,4.1,0.454,3.5,9.4,13.0,4.1,1.4,2.1,3.5,3.5,20.0,1719,11.0,22.6,0.486,0.1,1.0,0.118,10.9,21.6,0.503,2.3,5.1,0.454,4.3,11.5,15.9,5.0,1.7,2.6,4.3,4.2,24.4,98,98,1719,19.5,0.491,0.044,0.224,9.2,24.2,16.7,17.8,1.7,3.3,14.8,24.9,1.0,2.7,3.6,0.102,0.8,1.1,1.9,1.7,50.0,12200,1918,4307,0.445,290,943,0.308,1628,3364,0.484,883,1293,0.683,706,1573,2279,1129,444,232,842,1016,5009,50.0,12200,2009,4500,0.446,219,652,0.336,1790,3848,0.465,793,1113,0.712,750,1598,2348,1165,490,221,790,1102,5030,27,23,24,26,-0.42,-0.47,-0.89,102.7,103.1,96.0,0.3,0.219,0.479,14.7,30.6,0.205,0.471,13.7,67.7,0.176,ARCO Arena (II),418751
6,1999-00,2000,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,SAC,NBA,PF,75,75,38.4,10.0,20.6,0.483,0.4,1.3,0.284,9.6,19.4,0.496,0.492,4.1,5.5,0.751,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5,24.5,2880,12.6,26.0,0.483,0.5,1.6,0.284,12.1,24.4,0.496,5.2,6.9,0.751,3.2,10.0,13.2,5.8,2.0,2.1,3.7,4.4,30.8,107,98,2880,23.4,0.53,0.061,0.267,6.8,21.8,14.3,21.1,2.0,2.9,11.2,28.2,5.7,5.0,10.7,0.179,3.6,2.1,5.7,5.6,82.0,19805,3276,7288,0.45,534,1656,0.322,2742,5632,0.487,1521,2016,0.754,1056,2635,3691,1953,787,381,1325,1729,8607,82.0,19805,3269,7239,0.452,396,1123,0.353,2873,6116,0.47,1434,1910,0.751,1143,2761,3904,1950,753,404,1437,1943,8368,44,38,49,33,2.91,0.12,3.04,105.0,102.1,99.3,0.277,0.227,0.486,13.9,27.7,0.209,0.479,15.1,69.7,0.198,ARCO Arena (II),720033
7,2000-01,2001,Chris Webber,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,SAC,NBA,PF,70,70,40.5,11.2,23.4,0.481,0.0,0.4,0.071,11.2,23.0,0.488,0.481,4.6,6.6,0.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,2836,14.1,29.3,0.481,0.0,0.5,0.071,14.1,28.8,0.488,5.8,8.3,0.703,3.2,10.7,13.9,5.3,1.7,2.1,3.5,4.1,34.0,105,97,2836,24.7,0.516,0.017,0.282,7.0,22.1,14.8,20.6,1.7,2.8,9.6,31.6,5.8,5.2,11.0,0.186,4.0,1.4,5.5,5.3,82.0,20080,3132,6969,0.449,479,1353,0.354,2653,5616,0.472,1600,2075,0.771,987,2705,3692,1852,793,432,1221,1596,8343,82.0,20080,3087,7139,0.432,401,1131,0.355,2686,6008,0.447,1291,1724,0.749,1121,2643,3764,1816,666,476,1334,1766,7866,55,27,57,25,5.82,0.25,6.07,105.6,99.6,94.4,0.298,0.194,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,ARCO Arena (II),709997
8,2001-02,2002,Chris Webber,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,SAC,NBA,PF,54,54,38.4,9.9,19.9,0.495,0.1,0.4,0.263,9.8,19.6,0.499,0.497,4.7,6.3,0.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4,24.5,2071,12.9,26.1,0.495,0.1,0.5,0.263,12.8,25.6,0.499,6.1,8.2,0.749,3.6,9.6,13.2,6.3,2.2,1.8,3.8,4.4,32.1,109,98,2071,24.4,0.54,0.018,0.314,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29.0,4.8,3.9,8.6,0.2,3.8,1.6,5.4,3.9,82.0,19755,3267,7003,0.467,426,1160,0.367,2841,5843,0.486,1618,2154,0.751,1013,2702,3715,1958,741,375,1128,1560,8578,82.0,19755,3128,7108,0.44,386,1145,0.337,2742,5963,0.46,1312,1764,0.744,1065,2617,3682,1839,633,387,1246,1827,7954,61,21,61,21,7.61,0.0,7.61,109.0,101.1,95.6,0.308,0.166,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,ARCO Arena (II),709997
9,2002-03,2003,Chris Webber,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,29,SAC,NBA,PF,67,67,39.1,9.9,21.4,0.461,0.1,0.3,0.238,9.8,21.1,0.465,0.463,3.2,5.3,0.607,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0,2622,12.7,27.5,0.461,0.1,0.4,0.238,12.6,27.1,0.465,4.1,6.8,0.607,3.1,10.4,13.5,7.0,2.0,1.7,4.1,3.9,29.6,99,96,2622,20.9,0.485,0.015,0.247,6.9,21.1,14.4,24.6,2.0,2.2,11.9,30.4,1.7,5.3,6.9,0.127,2.0,1.5,3.5,3.6,82.0,19830,3242,6990,0.464,491,1288,0.381,2751,5702,0.482,1367,1832,0.746,900,2751,3651,2034,736,457,1192,1666,8342,82.0,19830,2991,7125,0.42,373,1166,0.32,2618,5959,0.439,1454,1962,0.741,1145,2614,3759,1759,684,356,1262,1635,7809,59,23,59,23,6.5,0.18,6.68,105.9,99.1,95.4,0.262,0.184,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997
