,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2005-06,2006,Deron Williams,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,21,UTA,NBA,PG,80,47,28.8,4.2,10.1,0.421,1.1,2.7,0.416,3.1,7.3,0.423,0.478,1.2,1.7,0.704,0.4,2.0,2.4,4.5,0.8,0.2,1.8,2.9,10.8,2307,8.0,19.1,0.421,2.2,5.2,0.416,5.9,13.9,0.423,2.2,3.2,0.704,0.8,3.8,4.6,8.5,1.4,0.4,3.4,5.5,20.5,103,110,2307,12.4,0.5,0.272,0.168,1.8,8.4,5.1,28.6,1.4,0.6,14.4,20.3,1.5,1.3,2.8,0.059,-0.5,-1.2,-1.7,0.2,82.0,19880,2744,6207,0.442,311,925,0.336,2433,5282,0.461,1774,2466,0.719,1071,2380,3451,1772,524,492,1290,2032,7573,82.0,19880,2730,6077,0.449,490,1297,0.378,2240,4780,0.469,1839,2466,0.746,871,2237,3108,1511,663,463,1166,2104,7789,41,41,33,49,-2.63,0.14,-2.49,104.1,107.0,87.8,0.397,0.149,0.467,15.0,32.4,0.286,0.49,14.0,73.2,0.303,Delta Center,751621
1,2006-07,2007,Deron Williams,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,22,UTA,NBA,PG,80,80,36.9,6.2,13.5,0.456,1.0,3.2,0.322,5.2,10.4,0.498,0.494,2.8,3.7,0.767,0.5,2.8,3.3,9.3,1.0,0.2,3.1,3.2,16.2,2950,8.8,19.2,0.456,1.5,4.5,0.322,7.3,14.7,0.498,4.0,5.3,0.767,0.7,4.0,4.7,13.2,1.4,0.2,4.4,4.5,23.0,111,110,2950,17.1,0.535,0.235,0.273,1.7,9.3,5.5,41.6,1.4,0.4,16.9,22.2,5.3,1.9,7.2,0.117,2.6,-1.3,1.3,2.4,82.0,19805,3069,6471,0.474,354,1056,0.335,2715,5415,0.501,1830,2462,0.743,1030,2456,3486,2024,577,339,1277,2067,8322,82.0,19805,2819,6191,0.455,506,1424,0.355,2313,4767,0.485,1943,2534,0.767,813,2223,3036,1552,623,438,1230,2010,8087,51,31,49,33,2.87,0.2,3.06,110.1,107.0,91.6,0.38,0.163,0.502,14.5,31.7,0.283,0.496,14.4,75.1,0.314,EnergySolutions Arena,802214
2,2007-08,2008,Deron Williams,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,UTA,NBA,PG,82,82,37.3,6.9,13.6,0.507,1.0,2.6,0.395,5.9,11.1,0.533,0.544,4.0,5.0,0.803,0.4,2.5,3.0,10.5,1.1,0.3,3.4,2.4,18.8,3059,9.5,18.8,0.507,1.4,3.5,0.395,8.1,15.3,0.533,5.6,6.9,0.803,0.6,3.5,4.1,14.5,1.5,0.4,4.7,3.4,26.0,118,110,3059,20.8,0.595,0.188,0.368,1.4,8.3,4.9,43.6,1.5,0.6,17.7,23.1,8.9,2.3,11.3,0.177,4.9,-1.1,3.8,4.5,82.0,19705,3279,6592,0.497,407,1095,0.372,2872,5497,0.522,1745,2298,0.759,942,2410,3352,2165,717,355,1200,1970,8710,82.0,19705,2896,6286,0.461,506,1419,0.357,2390,4867,0.491,1848,2468,0.749,844,2256,3100,1629,619,420,1305,1891,8146,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,93.2,0.349,0.166,0.528,13.6,29.5,0.265,0.501,15.0,74.1,0.294,EnergySolutions Arena,816211
3,2008-09,2009,Deron Williams,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,UTA,NBA,PG,68,68,36.8,6.8,14.5,0.471,1.0,3.3,0.31,5.8,11.1,0.518,0.506,4.8,5.6,0.849,0.4,2.5,2.9,10.7,1.1,0.3,3.4,2.0,19.4,2505,9.5,20.2,0.471,1.4,4.6,0.31,8.1,15.6,0.518,6.7,7.9,0.849,0.5,3.5,4.0,14.9,1.5,0.4,4.7,2.8,27.2,116,111,2505,21.1,0.573,0.23,0.39,1.1,8.1,4.6,47.8,1.5,0.6,16.5,24.7,6.5,1.9,8.4,0.16,4.8,-0.9,4.0,3.8,82.0,19880,3143,6623,0.475,392,1122,0.349,2751,5501,0.5,1814,2352,0.771,940,2423,3363,2024,719,374,1210,1830,8492,82.0,19880,3019,6509,0.464,534,1479,0.361,2485,5030,0.494,1703,2233,0.763,908,2393,3301,1640,658,424,1323,1972,8275,48,34,48,34,2.65,-0.34,2.31,110.1,107.3,93.1,0.355,0.169,0.504,13.6,28.2,0.274,0.505,15.0,72.7,0.262,EnergySolutions Arena,816042
4,2009-10,2010,Deron Williams,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,UTA,NBA,PG,76,76,36.9,6.5,13.9,0.469,1.3,3.4,0.371,5.2,10.4,0.501,0.515,4.4,5.5,0.801,0.7,3.3,4.0,10.5,1.3,0.2,3.3,2.7,18.7,2802,9.0,19.2,0.469,1.8,4.7,0.371,7.3,14.5,0.501,6.1,7.6,0.801,0.9,4.6,5.5,14.6,1.8,0.3,4.6,3.8,25.9,116,107,2802,20.6,0.574,0.246,0.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,7.4,3.0,10.3,0.177,4.2,-0.4,3.8,4.1,82.0,19755,3227,6575,0.491,439,1207,0.364,2788,5368,0.519,1654,2233,0.741,872,2588,3460,2187,675,400,1246,1859,8547,82.0,19755,2908,6471,0.449,552,1559,0.354,2356,4912,0.48,1741,2286,0.762,837,2376,3213,1628,632,445,1238,1818,8109,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,93.8,0.34,0.184,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,EnergySolutions Arena,794512
5,2010-11,2011,Deron Williams,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,UTA,NBA,PG,53,53,37.9,7.0,15.2,0.458,1.7,4.9,0.345,5.3,10.3,0.511,0.513,5.7,6.7,0.853,0.6,3.3,3.9,9.7,1.2,0.2,3.5,2.9,21.3,2009,9.7,21.2,0.458,2.3,6.8,0.345,7.3,14.4,0.511,7.9,9.3,0.853,0.8,4.5,5.4,13.5,1.7,0.3,4.9,4.0,29.6,116,113,2009,22.1,0.587,0.32,0.439,1.9,10.5,6.2,43.6,1.7,0.5,16.3,26.2,5.9,0.8,6.7,0.159,5.0,-1.2,3.7,2.9,82.0,19880,3064,6590,0.465,435,1256,0.346,2629,5334,0.493,1590,2061,0.771,898,2338,3236,1921,629,484,1175,1865,8153,82.0,19880,2967,6460,0.459,592,1573,0.376,2375,4887,0.486,1777,2285,0.778,925,2426,3351,1700,609,411,1199,1802,8303,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,91.0,0.313,0.191,0.498,13.5,27.0,0.241,0.505,13.8,71.7,0.275,EnergySolutions Arena,799982
6,2010-11,2011,Deron Williams,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,NJN,NBA,PG,12,12,38.0,4.9,14.1,0.349,1.3,4.9,0.271,3.6,9.2,0.391,0.396,3.8,4.8,0.793,0.7,3.9,4.6,12.8,1.3,0.3,3.6,3.2,15.0,456,6.9,19.8,0.349,1.9,6.9,0.271,5.0,12.9,0.391,5.4,6.8,0.793,0.9,5.5,6.4,17.9,1.8,0.4,5.0,4.4,21.1,103,110,456,17.0,0.463,0.349,0.343,2.0,12.5,7.1,55.9,1.8,0.5,18.1,24.2,0.3,0.3,0.6,0.066,1.4,-1.5,-0.1,0.2,82.0,20005,2918,6638,0.44,459,1337,0.343,2459,5301,0.464,1427,1881,0.759,909,2440,3349,1723,458,384,1152,1807,7722,82.0,20005,3069,6602,0.465,507,1393,0.364,2562,5209,0.492,1589,2115,0.751,849,2575,3424,1824,561,375,1010,1638,8234,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,89.9,0.283,0.201,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241,Prudential Center,581378
7,2011-12,2012,Deron Williams,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,NJN,NBA,PG,55,55,36.3,7.1,17.5,0.407,2.1,6.2,0.336,5.0,11.3,0.446,0.467,4.7,5.5,0.843,0.4,2.9,3.3,8.7,1.2,0.4,4.0,2.2,21.0,1999,10.4,25.6,0.407,3.1,9.1,0.336,7.4,16.5,0.446,6.8,8.1,0.843,0.6,4.3,4.9,12.8,1.8,0.5,5.8,3.2,30.7,106,111,1999,20.3,0.527,0.356,0.317,1.3,9.6,5.3,46.6,1.8,0.8,16.7,30.1,3.7,0.4,4.1,0.099,4.2,-1.9,2.3,2.2,66.0,15890,2262,5320,0.425,507,1481,0.342,1755,3839,0.457,1113,1433,0.777,783,1879,2662,1311,493,260,995,1268,6144,66.0,15890,2501,5294,0.472,431,1151,0.374,2070,4143,0.5,1106,1494,0.74,780,2032,2812,1539,525,330,943,1274,6539,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,90.1,0.269,0.278,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,Prudential Center,460719
8,2012-13,2013,Deron Williams,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,BRK,NBA,PG,78,78,36.4,6.3,14.4,0.44,2.2,5.7,0.378,4.2,8.7,0.482,0.516,4.1,4.7,0.859,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,18.9,2842,9.4,21.4,0.44,3.2,8.5,0.378,6.2,12.9,0.482,6.0,7.0,0.859,0.6,3.9,4.4,11.5,1.4,0.6,4.1,3.7,28.1,118,109,2842,20.3,0.574,0.398,0.328,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,9.1,1.8,10.9,0.184,4.5,-0.7,3.8,4.2,82.0,19855,2942,6544,0.45,628,1760,0.357,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944,82.0,19855,3066,6614,0.464,518,1415,0.366,2548,5199,0.49,1148,1571,0.731,878,2336,3214,1756,614,390,1102,1751,7798,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,0.299,0.269,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,Barclays Center,704702
9,2013-14,2014,Deron Williams,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,BRK,NBA,PG,64,58,32.2,5.0,11.2,0.45,1.5,4.2,0.366,3.5,7.0,0.5,0.518,2.7,3.4,0.801,0.2,2.4,2.6,6.1,1.5,0.2,2.2,2.3,14.3,2059,8.2,18.3,0.45,2.5,6.8,0.366,5.7,11.4,0.5,4.4,5.5,0.801,0.4,3.9,4.3,10.0,2.4,0.3,3.6,3.8,23.3,112,109,2059,17.6,0.564,0.374,0.302,0.9,8.9,4.9,32.8,2.4,0.5,15.0,21.8,3.8,1.5,5.4,0.125,1.9,-0.7,1.2,1.7,82.0,19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.497,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079,82.0,19880,2980,6511,0.458,662,1802,0.367,2318,4709,0.492,1539,2026,0.76,921,2594,3515,1723,608,337,1296,1704,8161,44,38,38,44,-1.0,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,Barclays Center,707331
