,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba
0,2000-01,2001.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22.0,NJN,NBA,SF,77.0,40.0,21.6,3.2,7.4,0.425,0.7,2.0,0.335,2.5,5.4,0.458,0.47,1.3,1.8,0.719,0.5,2.2,2.7,1.8,1.1,0.2,1.7,2.2,8.2,1660.0,7.7,18.0,0.425,1.6,4.9,0.335,6.0,13.1,0.458,3.1,4.3,0.719,1.3,5.3,6.5,4.4,2.7,0.4,4.1,5.2,20.0,93.0,105.0,1660.0,12.1,0.503,0.271,0.236,2.8,11.9,7.2,15.1,2.7,0.6,17.1,20.8,-0.4,1.3,0.9,0.026,-1.6,0.1,-1.6,0.2,82.0,19730.0,2781.0,6550.0,0.425,361.0,1084.0,0.333,2420.0,5466.0,0.443,1629.0,2146.0,0.759,909.0,2337.0,3246.0,1603.0,649.0,407.0,1208.0,1982.0,7552.0,82.0,19730.0,2937.0,6452.0,0.455,428.0,1189.0,0.36,2509.0,5263.0,0.477,1664.0,2231.0,0.746,1001.0,2622.0,3623.0,1840.0,619.0,522.0,1304.0,1808.0,7966.0,26.0,56.0,26.0,56.0,-5.05,-0.25,-5.3,100.0,105.5,91.8,0.328,0.165,0.452,13.9,25.7,0.249,0.488,14.9,70.0,0.258,Continental Airlines Arena,556573.0,77,21.6,-0.98,-0.24,-1.22,1.8,3211.0,1660.0,-1.985123952,0.148337573,-1.836786379,0.779242505,0.779242505,0.0,-1.701063251,-0.322645069,-2.02370832,0.693982439,77.0,25.0,52.0,21.6,100.0,2.2,10.3,16.5,1.1,29.9,0.2,7.4,7.7,6.2,6.2,16.8,0.068
1,2001-02,2002.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23.0,SAS,NBA,SF,23.0,1.0,9.9,1.5,4.0,0.374,0.4,1.6,0.25,1.1,2.4,0.455,0.423,0.5,0.7,0.706,0.1,1.0,1.1,0.5,0.7,0.1,1.0,1.3,3.9,227.0,8.0,21.4,0.374,2.1,8.5,0.25,5.9,12.9,0.455,2.8,4.0,0.706,0.7,5.4,6.1,2.6,3.5,0.7,5.4,6.8,20.9,80.0,98.0,227.0,7.9,0.452,0.396,0.187,1.6,11.3,6.6,8.3,3.5,0.9,18.9,24.9,-0.5,0.4,-0.1,-0.024,-4.9,1.6,-3.3,-0.1,82.0,19855.0,2913.0,6363.0,0.458,438.0,1211.0,0.362,2475.0,5152.0,0.48,1668.0,2249.0,0.742,907.0,2566.0,3473.0,1643.0,625.0,537.0,1180.0,1575.0,7932.0,82.0,19855.0,2883.0,6775.0,0.426,374.0,1108.0,0.338,2509.0,5667.0,0.443,1283.0,1651.0,0.777,1003.0,2429.0,3432.0,1543.0,635.0,428.0,1192.0,1896.0,7423.0,58.0,24.0,59.0,23.0,6.21,0.07,6.28,106.5,99.7,90.0,0.353,0.19,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,906390.0,23,9.9,-1.59,-0.65,-2.24,0.06,431.0,227.0,-4.037078637,0.413936612,-3.623142026,-0.103387727,-0.103387727,0.0,-2.979147145,0.083907599,-2.895239546,2.05525241,23.0,14.0,9.0,9.8,95.1,1.0,9.5,16.4,0.7,31.9,0.1,10.0,3.4,3.0,2.0,6.2,0.053
2,2002-03,2003.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24.0,SAS,NBA,SG,80.0,58.0,28.2,4.5,10.2,0.435,1.2,3.7,0.32,3.3,6.5,0.501,0.493,1.7,2.3,0.76,0.8,2.8,3.6,2.3,1.6,0.4,2.2,2.5,11.8,2254.0,8.4,19.4,0.435,2.2,7.0,0.32,6.2,12.3,0.501,3.3,4.3,0.76,1.6,5.2,6.8,4.3,3.0,0.7,4.2,4.8,22.4,99.0,99.0,2254.0,14.5,0.526,0.363,0.224,3.6,10.8,7.4,14.1,3.0,0.9,16.4,22.1,1.2,3.6,4.8,0.102,-0.5,1.4,0.9,1.7,82.0,19830.0,2908.0,6297.0,0.462,449.0,1270.0,0.354,2459.0,5027.0,0.489,1591.0,2194.0,0.725,939.0,2556.0,3495.0,1636.0,629.0,529.0,1295.0,1672.0,7856.0,82.0,19830.0,2862.0,6703.0,0.427,354.0,1043.0,0.339,2508.0,5660.0,0.443,1334.0,1737.0,0.768,1029.0,2322.0,3351.0,1559.0,665.0,422.0,1231.0,1915.0,7412.0,60.0,22.0,57.0,25.0,5.41,0.23,5.65,105.6,99.7,90.0,0.348,0.202,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,SBC Center,735970.0,80,28.2,0.64,-1.74,-1.1,2.97,5830.0,3065.0,0.613271659,-0.318205163,0.295066497,4.827934708,3.879502458,0.948432251,1.039082384,0.201457101,1.240539485,0.607067514,80.0,59.0,21.0,28.1,99.7,2.8,9.7,15.4,1.6,36.3,0.4,10.2,9.9,7.9,7.6,22.6,0.096
3,2003-04,2004.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25.0,ATL,NBA,SF,80.0,78.0,36.8,6.7,15.8,0.425,1.8,5.3,0.34,4.9,10.4,0.469,0.483,2.9,3.7,0.785,1.2,3.4,4.6,3.1,1.8,0.3,2.8,2.7,18.1,2940.0,9.6,22.7,0.425,2.6,7.7,0.34,7.0,15.0,0.469,4.2,5.3,0.785,1.7,4.9,6.7,4.4,2.6,0.4,4.0,3.9,26.1,101.0,106.0,2940.0,16.1,0.521,0.339,0.236,3.8,10.4,7.1,15.7,2.6,0.5,13.8,25.0,2.7,1.8,4.4,0.072,1.0,-0.8,0.1,1.5,82.0,19905.0,2829.0,6529.0,0.433,419.0,1249.0,0.335,2410.0,5280.0,0.456,1534.0,1976.0,0.776,996.0,2507.0,3503.0,1648.0,627.0,408.0,1350.0,1826.0,7611.0,82.0,19905.0,2968.0,6740.0,0.44,482.0,1345.0,0.358,2486.0,5395.0,0.461,1574.0,2072.0,0.76,1048.0,2485.0,3533.0,1803.0,731.0,416.0,1151.0,1699.0,7992.0,28.0,54.0,28.0,54.0,-4.65,-0.36,-5.0,101.0,106.1,90.8,0.303,0.191,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,Philips Arena,565728.0,80,36.8,1.58,-2.9,-1.32,4.22,5625.0,2940.0,1.150000606,-0.693525777,0.456474829,4.830634947,4.830634947,0.0,1.592051652,-0.353349781,1.238701872,0.39738467,80.0,27.0,53.0,36.8,103.9,3.4,9.0,14.6,1.8,30.3,0.3,6.7,13.8,11.0,10.2,31.2,0.067
4,2004-05,2005.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26.0,IND,NBA,SF,51.0,49.0,35.4,6.5,16.1,0.403,2.0,5.6,0.36,4.5,10.5,0.426,0.466,3.7,4.5,0.83,0.9,4.0,4.9,2.3,1.3,0.3,2.4,3.0,18.7,1806.0,10.1,25.0,0.403,3.1,8.7,0.36,6.9,16.2,0.426,5.8,7.0,0.83,1.3,6.3,7.6,3.6,2.0,0.4,3.7,4.7,29.1,101.0,105.0,1806.0,15.9,0.518,0.349,0.28,3.0,13.4,8.3,13.5,2.0,0.6,11.8,27.7,1.0,2.1,3.1,0.082,0.9,-0.6,0.3,1.1,82.0,19905.0,2668.0,6169.0,0.432,542.0,1575.0,0.344,2126.0,4594.0,0.463,1748.0,2206.0,0.792,868.0,2418.0,3286.0,1489.0,615.0,357.0,1173.0,1890.0,7626.0,82.0,19905.0,2768.0,6284.0,0.44,391.0,1071.0,0.365,2377.0,5213.0,0.456,1637.0,2202.0,0.743,972.0,2416.0,3388.0,1540.0,549.0,398.0,1142.0,1883.0,7564.0,44.0,38.0,43.0,39.0,0.76,-0.27,0.49,105.5,104.6,87.2,0.358,0.255,0.476,14.1,26.4,0.283,0.472,13.6,71.3,0.261,Conseco Fieldhouse,696764.0,51,35.4,0.97,0.28,1.25,5.13,4167.0,2278.0,0.542967075,0.576948957,1.119916032,4.559720541,3.476829311,1.082891229,1.025816539,0.822999905,1.848816444,0.53303481,51.0,30.0,21.0,35.2,101.4,4.0,12.0,18.4,1.3,23.5,0.3,8.8,10.0,9.7,7.9,25.6,0.127
5,2005-06,2006.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27.0,IND,NBA,SG,81.0,81.0,35.9,5.8,14.2,0.411,1.4,4.2,0.345,4.4,10.0,0.439,0.462,3.3,4.2,0.786,0.6,3.3,3.9,2.8,1.3,0.5,2.5,2.4,16.4,2910.0,8.7,21.1,0.411,2.2,6.2,0.345,6.5,14.9,0.439,4.9,6.3,0.786,0.9,4.9,5.7,4.1,1.9,0.8,3.7,3.6,24.5,99.0,104.0,2910.0,13.6,0.512,0.295,0.297,2.0,10.1,6.2,14.2,1.9,1.1,13.5,24.0,0.5,3.9,4.4,0.073,-0.6,0.5,-0.1,1.4,82.0,19730.0,2786.0,6274.0,0.444,536.0,1536.0,0.349,2250.0,4738.0,0.475,1591.0,2158.0,0.737,898.0,2559.0,3457.0,1631.0,598.0,409.0,1254.0,1821.0,7699.0,82.0,19730.0,2831.0,6504.0,0.435,371.0,1083.0,0.343,2460.0,5421.0,0.454,1511.0,2060.0,0.733,968.0,2416.0,3384.0,1520.0,661.0,399.0,1112.0,1800.0,7544.0,41.0,41.0,47.0,35.0,1.89,-0.27,1.62,104.5,102.4,89.7,0.344,0.245,0.487,14.8,27.1,0.254,0.464,13.0,72.6,0.232,Conseco Fieldhouse,663368.0,51,35.4,0.97,0.28,1.25,5.13,5915.0,3137.0,-0.857652001,0.343879642,-0.51377236,3.56751822,3.657546273,-0.090028053,-0.547702132,0.519794908,-0.027907224,0.139034366,81.0,41.0,40.0,35.9,101.8,3.3,9.2,14.2,1.3,23.7,0.5,14.5,12.6,9.8,8.3,29.0,0.128
6,2006-07,2007.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28.0,IND,NBA,SG,37.0,32.0,32.1,4.9,11.6,0.419,1.1,3.7,0.297,3.8,7.9,0.476,0.466,3.2,3.9,0.822,0.5,2.1,2.6,3.1,0.9,0.5,2.2,2.4,14.1,1186.0,7.9,18.8,0.419,1.8,6.0,0.297,6.1,12.8,0.476,5.3,6.4,0.822,0.7,3.4,4.2,5.0,1.4,0.9,3.5,3.8,22.8,103.0,108.0,1186.0,13.1,0.527,0.321,0.34,1.6,7.8,4.6,16.7,1.4,1.3,14.1,21.7,0.7,1.0,1.7,0.069,-0.5,-0.4,-0.9,0.3,82.0,19780.0,2872.0,6561.0,0.438,481.0,1389.0,0.346,2391.0,5172.0,0.462,1615.0,2125.0,0.76,990.0,2441.0,3431.0,1680.0,599.0,447.0,1335.0,1912.0,7840.0,82.0,19780.0,2931.0,6416.0,0.457,437.0,1175.0,0.372,2494.0,5241.0,0.476,1741.0,2311.0,0.753,915.0,2499.0,3414.0,1642.0,644.0,410.0,1289.0,1942.0,8040.0,35.0,47.0,34.0,48.0,-2.44,-0.18,-2.62,102.9,105.5,92.4,0.324,0.212,0.474,15.1,28.4,0.246,0.491,14.8,72.7,0.271,Conseco Fieldhouse,629750.0,81,35.9,-0.31,-0.33,-0.64,4.46,5924.0,2933.0,1.205294162,0.306596144,1.511890306,6.448567507,5.06978615,1.378781357,1.24855724,0.149618829,1.398176069,0.91804854,75.0,43.0,32.0,33.0,103.0,2.1,6.6,10.4,1.1,17.9,0.5,11.5,12.5,10.2,9.1,28.0,0.106
7,2006-07,2007.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28.0,GSW,NBA,SF,38.0,37.0,34.0,6.0,13.5,0.446,1.6,4.6,0.341,4.5,9.0,0.499,0.503,3.2,4.0,0.804,1.2,2.2,3.3,4.6,1.3,0.4,2.7,3.0,16.8,1293.0,8.6,19.2,0.446,2.2,6.5,0.341,6.4,12.8,0.499,4.6,5.7,0.804,1.6,3.1,4.8,6.5,1.9,0.5,3.8,4.2,24.0,107.0,110.0,1293.0,15.7,0.55,0.337,0.298,3.7,7.2,5.4,20.6,1.9,0.8,14.9,22.5,1.6,0.8,2.4,0.089,0.6,-0.9,-0.3,0.5,82.0,19755.0,3261.0,7048.0,0.463,700.0,1967.0,0.356,2561.0,5081.0,0.504,1515.0,2113.0,0.717,940.0,2456.0,3396.0,1950.0,750.0,466.0,1309.0,1933.0,8737.0,82.0,19755.0,3171.0,6871.0,0.462,609.0,1664.0,0.366,2562.0,5207.0,0.492,1814.0,2419.0,0.75,1074.0,2733.0,3807.0,2023.0,680.0,399.0,1525.0,1832.0,8765.0,42.0,40.0,40.0,42.0,-0.34,0.34,0.0,107.0,107.4,99.2,0.3,0.279,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,Oracle Arena,742267.0,75,33.1,1.61,-1.13,0.48,6.36,5924.0,2933.0,1.205294162,0.306596144,1.511890306,6.448567507,5.06978615,1.378781357,1.24855724,0.149618829,1.398176069,0.91804854,75.0,43.0,32.0,33.0,103.0,2.1,6.6,10.4,1.1,17.9,0.5,11.5,12.5,10.2,9.1,28.0,0.106
8,2007-08,2008.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29.0,GSW,NBA,SF,73.0,73.0,39.1,6.7,16.5,0.405,2.5,6.9,0.363,4.2,9.6,0.435,0.481,4.2,5.1,0.832,0.9,3.4,4.4,4.1,1.3,0.4,2.7,2.3,20.1,2855.0,8.3,20.5,0.405,3.1,8.5,0.363,5.2,12.0,0.435,5.2,6.3,0.832,1.1,4.3,5.4,5.1,1.6,0.5,3.4,2.9,24.9,107.0,112.0,2855.0,14.9,0.536,0.416,0.307,2.4,9.8,6.0,15.2,1.6,0.7,12.6,23.1,3.2,1.4,4.6,0.077,1.1,-1.2,-0.2,1.3,82.0,19780.0,3403.0,7406.0,0.459,761.0,2185.0,0.348,2642.0,5221.0,0.506,1538.0,2044.0,0.752,1045.0,2496.0,3541.0,1833.0,744.0,377.0,1082.0,1875.0,9105.0,82.0,19780.0,3273.0,6998.0,0.468,572.0,1556.0,0.368,2701.0,5442.0,0.496,1806.0,2378.0,0.759,1053.0,2803.0,3856.0,1939.0,567.0,413.0,1384.0,1736.0,8924.0,48.0,34.0,47.0,35.0,2.21,0.17,2.38,111.8,109.5,98.8,0.276,0.295,0.511,11.5,27.2,0.208,0.509,14.7,70.3,0.258,Oracle Arena,804864.0,75,33.1,1.61,-1.13,0.48,6.36,5944.0,2855.0,1.015189708,-0.58473654,0.430453168,4.630545855,4.630545855,0.0,1.50177329,-0.770484908,0.731288383,-0.043801312,73.0,46.0,27.0,39.1,107.5,3.4,8.6,13.8,1.3,16.8,0.4,11.3,12.7,12.7,12.1,37.3,0.087
9,2008-09,2009.0,Stephen Jackson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30.0,GSW,NBA,SF,59.0,59.0,39.6,7.0,16.9,0.414,1.7,5.2,0.338,5.3,11.7,0.448,0.466,5.0,6.0,0.826,1.2,3.9,5.1,6.5,1.5,0.5,3.9,2.6,20.7,2339.0,8.6,20.8,0.414,2.2,6.4,0.338,6.5,14.5,0.448,6.1,7.4,0.826,1.5,4.9,6.3,8.0,1.8,0.6,4.8,3.2,25.6,104.0,114.0,2339.0,16.1,0.53,0.306,0.357,3.3,10.8,7.1,25.6,1.8,0.9,16.6,25.2,1.5,0.7,2.2,0.045,1.4,-1.7,-0.3,1.0,82.0,19880.0,3231.0,7055.0,0.458,550.0,1475.0,0.373,2681.0,5580.0,0.48,1893.0,2392.0,0.791,953.0,2492.0,3445.0,1711.0,638.0,527.0,1201.0,1842.0,8905.0,82.0,19880.0,3401.0,7273.0,0.468,582.0,1531.0,0.38,2819.0,5742.0,0.491,1828.0,2346.0,0.779,1165.0,2695.0,3860.0,1980.0,647.0,414.0,1229.0,1927.0,9212.0,29.0,53.0,31.0,51.0,-3.74,-0.06,-3.8,109.5,113.3,98.2,0.339,0.209,0.497,12.9,26.1,0.268,0.508,12.9,68.1,0.251,Oracle Arena,776660.0,73,39.1,1.85,-1.09,0.76,7.26,4840.0,2339.0,1.954223677,-1.364185167,0.59003851,3.982973477,3.982973477,0.0,2.341659243,-1.342928587,0.998730656,-0.067230232,59.0,21.0,38.0,39.6,111.8,3.9,9.8,16.0,1.5,23.7,0.5,10.1,15.5,13.9,14.8,40.7,0.044
