,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,Malik Allen,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIA,NBA,PF,12,2,13.4,1.8,4.3,0.431,0.0,0.1,0.0,1.8,4.2,0.44,0.431,0.7,0.8,0.8,1.3,1.9,3.2,0.4,0.3,0.7,0.2,1.3,4.3,161,7.5,17.4,0.431,0.0,0.3,0.0,7.5,17.1,0.44,2.7,3.4,0.8,5.1,7.8,13.0,1.7,1.0,2.7,0.7,5.5,17.7,108,99,161,15.0,0.469,0.02,0.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.2,0.3,0.5,0.141,-1.4,0.3,-1.1,0.0,82.0,19930.0,2801.0,6382.0,0.439,312.0,899.0,0.347,2489.0,5483.0,0.454,1236.0,1708.0,0.724,902.0,2544.0,3446.0,1664.0,547.0,448.0,1217.0,1846.0,7150.0,82.0,19930.0,2666.0,6279.0,0.425,379.0,1109.0,0.342,2287.0,5170.0,0.442,1565.0,2127.0,0.736,894.0,2484.0,3378.0,1461.0,620.0,353.0,1134.0,1709.0,7276.0,36,46,36,46,-1.54,-0.31,-1.84,98.5,100.2,87.4,0.268,0.141,0.463,14.6,26.6,0.194,0.455,13.6,74.0,0.249,AmericanAirlines Arena,655549,12,13.4,-1.13,1.39,0.26,0.29,297,161,-1.041714199,0.287633241,-0.754080958,0.162898917,0.162898917,0.0,-1.552709227,-0.280763832,-1.833473059,-0.587957383,12,4,8,13.4,94.2,1.9,13.4,20.2,0.3,12.0,0.7,50.0,4.9,3.3,2.9,8.5,0.076,0.0
1,2002-03,2003,Malik Allen,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MIA,NBA,PF,80,73,29.0,4.2,9.9,0.424,0.0,0.1,0.0,4.2,9.8,0.426,0.424,1.2,1.5,0.802,1.7,3.6,5.3,0.7,0.5,1.0,1.6,2.9,9.6,2318,7.9,18.6,0.424,0.0,0.1,0.0,7.9,18.5,0.426,2.3,2.9,0.802,3.2,6.9,10.0,1.3,0.9,1.8,3.0,5.5,18.1,89,103,2318,9.9,0.455,0.005,0.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,-1.7,2.6,0.9,0.018,-3.9,-0.4,-4.4,-1.4,82.0,19830.0,2688.0,6517.0,0.412,348.0,1100.0,0.316,2340.0,5417.0,0.432,1292.0,1689.0,0.765,948.0,2464.0,3412.0,1501.0,592.0,324.0,1167.0,1856.0,7016.0,82.0,19830.0,2713.0,6208.0,0.437,406.0,1149.0,0.353,2307.0,5059.0,0.456,1598.0,2129.0,0.751,872.0,2587.0,3459.0,1482.0,626.0,436.0,1173.0,1671.0,7430.0,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,0.259,0.169,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242,80,29.0,-4.07,-0.13,-4.2,-1.61,4289,2318,-4.722089379,-0.738316421,-5.460405799,-3.19988899,-3.19988899,0.0,-4.63120019,-0.791151352,-5.422351541,-0.159580676,80,24,56,29.0,102.0,3.6,13.5,20.2,0.5,11.1,1.0,40.8,9.0,7.1,6.5,21.7,0.078,0.0
2,2003-04,2004,Malik Allen,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,MIA,NBA,PF,45,6,13.7,1.8,4.4,0.419,0.0,0.0,,1.8,4.4,0.419,0.419,0.6,0.7,0.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,616,7.4,17.5,0.419,0.0,0.0,,7.4,17.5,0.419,2.2,2.9,0.758,3.7,6.8,10.5,1.4,1.1,2.5,2.4,7.2,16.9,93,101,616,10.5,0.449,0.0,0.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,-0.1,0.8,0.7,0.051,-3.7,-0.1,-3.8,-0.3,82.0,19755.0,2729.0,6417.0,0.425,485.0,1357.0,0.357,2244.0,5060.0,0.443,1459.0,1915.0,0.762,940.0,2459.0,3399.0,1565.0,590.0,313.0,1137.0,1812.0,7402.0,82.0,19755.0,2658.0,6205.0,0.428,431.0,1256.0,0.343,2227.0,4949.0,0.45,1612.0,2100.0,0.768,892.0,2486.0,3378.0,1526.0,578.0,439.0,1207.0,1729.0,7359.0,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,88.0,0.298,0.211,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,AmericanAirlines Arena,624809,45,13.7,-3.0,-0.0,-3.0,0.17,1393,754,-2.924804273,-0.80074952,-3.725553794,-0.364762038,-0.564060398,0.199298359,-3.193101927,-1.339537381,-4.532639308,0.031062919,45,20,25,13.7,100.5,1.7,12.7,20.0,0.3,14.6,0.6,41.8,4.5,4.3,3.0,9.6,0.04,0.0
3,2004-05,2005,Malik Allen,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26,MIA,NBA,PF,14,0,17.7,2.5,5.4,0.461,0.0,0.0,,2.5,5.4,0.461,0.461,0.9,1.0,0.929,1.7,2.0,3.7,0.8,0.3,0.8,0.8,2.1,5.9,248,7.5,16.2,0.461,0.0,0.0,,7.5,16.2,0.461,2.8,3.0,0.929,5.1,6.0,11.1,2.3,0.9,2.3,2.3,6.2,17.7,107,104,248,13.6,0.505,0.0,0.184,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,0.3,0.3,0.6,0.113,-1.3,-0.3,-1.6,0.0,82.0,19980.0,3097.0,6368.0,0.486,475.0,1260.0,0.377,2622.0,5108.0,0.513,1658.0,2466.0,0.672,887.0,2639.0,3526.0,1790.0,528.0,474.0,1127.0,1814.0,8327.0,82.0,19980.0,2865.0,6705.0,0.427,441.0,1269.0,0.348,2424.0,5436.0,0.446,1621.0,2134.0,0.76,922.0,2397.0,3319.0,1620.0,611.0,264.0,1085.0,2020.0,7792.0,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,90.8,0.387,0.198,0.524,13.1,27.0,0.26,0.46,12.4,74.1,0.242,AmericanAirlines Arena,815143,36,14.4,-1.56,-1.2,-2.76,0.15,1002,519,-1.714954747,-2.18280192,-3.897756667,-0.30173692,-0.30173692,0.0,-2.055703359,-2.615097599,-4.670800957,-0.424596767,36,13,23,14.3,106.6,1.6,11.7,19.6,0.3,11.1,0.6,37.3,4.6,4.3,2.9,9.9,0.028,0.0
4,2004-05,2005,Malik Allen,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,CHA,NBA,PF,22,1,12.3,2.2,4.6,0.485,0.0,0.0,,2.2,4.6,0.485,0.485,0.6,0.6,0.929,0.7,1.4,2.1,0.3,0.2,0.5,0.3,1.1,5.0,271,9.4,19.4,0.485,0.0,0.0,,9.4,19.4,0.485,2.5,2.7,0.929,3.1,6.0,9.0,1.3,1.0,2.1,1.3,4.6,21.3,108,109,271,14.8,0.518,0.0,0.139,6.4,13.8,9.9,4.6,1.0,3.1,6.1,18.7,0.3,0.2,0.5,0.088,-0.8,-1.2,-2.0,0.0,82.0,19880.0,2961.0,6859.0,0.432,320.0,881.0,0.363,2641.0,5978.0,0.442,1487.0,2096.0,0.709,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1192.0,1894.0,7729.0,82.0,19880.0,3015.0,6507.0,0.463,442.0,1224.0,0.361,2573.0,5283.0,0.487,1748.0,2279.0,0.767,959.0,2586.0,3545.0,1768.0,624.0,446.0,1297.0,1858.0,8220.0,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,591701,36,14.4,-1.56,-1.2,-2.76,0.15,1002,519,-1.714954747,-2.18280192,-3.897756667,-0.30173692,-0.30173692,0.0,-2.055703359,-2.615097599,-4.670800957,-0.424596767,36,13,23,14.3,106.6,1.6,11.7,19.6,0.3,11.1,0.6,37.3,4.6,4.3,2.9,9.9,0.028,0.0
5,2005-06,2006,Malik Allen,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,CHI,NBA,PF,54,20,13.0,2.2,4.6,0.49,0.0,0.0,1.0,2.2,4.6,0.488,0.492,0.4,0.7,0.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7,4.9,701,8.9,18.2,0.49,0.1,0.1,1.0,8.8,18.1,0.488,1.7,2.8,0.605,3.2,7.1,10.3,1.5,1.0,1.2,2.5,6.8,19.6,98,104,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,0.0,1.0,1.0,0.068,-3.0,0.3,-2.7,-0.1,82.0,19905.0,3004.0,6737.0,0.446,560.0,1477.0,0.379,2444.0,5260.0,0.465,1452.0,1967.0,0.738,906.0,2602.0,3508.0,1804.0,508.0,345.0,1224.0,2038.0,8020.0,82.0,19905.0,2773.0,6515.0,0.426,501.0,1428.0,0.351,2272.0,5087.0,0.447,1921.0,2472.0,0.777,881.0,2541.0,3422.0,1652.0,611.0,420.0,1228.0,1883.0,7968.0,41,41,43,39,0.63,-0.12,0.51,104.0,103.4,92.9,0.292,0.219,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,United Center,868720,54,13.0,-1.52,0.88,-0.64,1.11,1603,817,-3.570615034,0.6010827,-2.969532334,-0.093188278,0.002883512,-0.09607179,-3.748246948,-0.105089405,-3.853336353,0.122784749,54,28,26,13.0,96.3,1.8,13.1,19.5,0.3,14.9,0.3,27.1,3.5,3.0,3.6,8.4,0.071,0.0
6,2006-07,2007,Malik Allen,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,28,CHI,NBA,PF,60,1,10.6,1.8,4.3,0.415,0.0,0.0,0.0,1.8,4.3,0.416,0.415,0.5,0.6,0.824,0.7,1.3,2.0,0.3,0.3,0.3,0.4,1.4,4.0,638,8.6,20.7,0.415,0.0,0.1,0.0,8.6,20.6,0.416,2.2,2.7,0.824,3.4,6.2,9.6,1.3,1.4,1.3,1.7,6.8,19.4,96,100,638,10.4,0.443,0.004,0.132,7.6,13.7,10.6,4.2,1.4,2.0,7.1,20.5,-0.2,1.1,1.0,0.073,-3.9,0.5,-3.4,-0.2,82.0,19780.0,3046.0,6663.0,0.457,480.0,1237.0,0.388,2566.0,5426.0,0.473,1528.0,2083.0,0.734,984.0,2597.0,3581.0,1832.0,639.0,445.0,1310.0,1908.0,8100.0,82.0,19780.0,2793.0,6416.0,0.435,484.0,1387.0,0.349,2309.0,5029.0,0.459,1619.0,2219.0,0.73,897.0,2456.0,3353.0,1675.0,614.0,433.0,1429.0,1900.0,7689.0,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,93.6,0.313,0.186,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,United Center,912364,60,10.6,-2.06,-0.15,-2.21,0.41,1322,672,-3.926302411,0.001277369,-3.925025041,-0.418101309,-0.229939042,-0.188162267,-4.021567929,-0.378934817,-4.400502746,0.126281381,60,35,25,10.6,98.0,1.3,12.2,19.5,0.3,14.0,0.3,24.6,4.0,2.9,2.0,7.0,0.051,0.0
7,2007-08,2008,Malik Allen,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NJN,NBA,PF,48,12,15.9,2.6,5.4,0.475,0.0,0.0,0.5,2.6,5.4,0.475,0.477,0.3,0.3,0.923,0.9,1.8,2.7,0.6,0.3,0.4,0.7,1.9,5.4,763,8.5,17.9,0.475,0.1,0.1,0.5,8.5,17.8,0.475,0.8,0.9,0.923,2.9,5.9,8.8,2.0,1.0,1.4,2.2,6.1,17.9,97,110,763,10.1,0.489,0.008,0.05,6.4,13.1,9.7,6.8,1.0,2.1,10.7,17.9,-0.2,0.5,0.4,0.023,-3.3,-0.3,-3.6,-0.3,82.0,19830.0,2856.0,6450.0,0.443,498.0,1430.0,0.348,2358.0,5020.0,0.47,1647.0,2237.0,0.736,913.0,2520.0,3433.0,1925.0,521.0,390.0,1229.0,1855.0,7857.0,82.0,19830.0,2982.0,6543.0,0.456,534.0,1448.0,0.369,2448.0,5095.0,0.48,1774.0,2311.0,0.768,896.0,2517.0,3413.0,1810.0,662.0,362.0,1098.0,1836.0,8272.0,34,48,27,55,-5.06,-0.09,-5.15,104.0,109.4,91.5,0.347,0.222,0.481,14.2,26.6,0.255,0.497,12.7,73.8,0.271,Izod Center,641921,73,15.0,-3.47,2.71,-0.76,1.39,2137,1114,-3.087112949,-1.24086093,-4.32797388,-0.903701248,-0.820194908,-0.08350634,-3.396435204,-1.361278723,-4.757713928,0.308543456,73,34,39,15.0,102.5,1.8,12.5,18.7,0.3,15.1,0.4,32.3,4.6,4.2,3.6,10.3,0.056,0.0
8,2007-08,2008,Malik Allen,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,DAL,NBA,PF,25,4,13.3,1.3,2.6,0.5,0.0,0.0,,1.3,2.6,0.5,0.5,0.4,0.5,0.917,1.0,1.8,2.7,0.6,0.2,0.4,0.5,2.4,3.1,333,5.3,10.6,0.5,0.0,0.0,,5.3,10.6,0.5,1.8,1.9,0.917,3.8,7.0,10.9,2.4,0.6,1.6,2.1,9.6,12.3,110,107,333,9.1,0.54,0.0,0.182,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,0.3,0.4,0.7,0.096,-3.8,0.5,-3.3,-0.1,82.0,19730.0,3025.0,6515.0,0.464,494.0,1403.0,0.352,2531.0,5112.0,0.495,1690.0,2075.0,0.814,883.0,2643.0,3526.0,1720.0,490.0,402.0,1037.0,1786.0,8234.0,82.0,19730.0,2903.0,6551.0,0.443,408.0,1168.0,0.349,2495.0,5383.0,0.463,1648.0,2168.0,0.76,882.0,2419.0,3301.0,1547.0,536.0,357.0,999.0,1739.0,7862.0,51,31,54,28,4.54,0.16,4.7,111.1,106.1,90.2,0.318,0.215,0.502,12.3,26.7,0.259,0.474,11.7,75.0,0.252,American Airlines Center,831738,73,15.0,-3.47,2.71,-0.76,1.39,2137,1114,-3.087112949,-1.24086093,-4.32797388,-0.903701248,-0.820194908,-0.08350634,-3.396435204,-1.361278723,-4.757713928,0.308543456,73,34,39,15.0,102.5,1.8,12.5,18.7,0.3,15.1,0.4,32.3,4.6,4.2,3.6,10.3,0.056,0.0
9,2008-09,2009,Malik Allen,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,MIL,NBA,PF,49,3,11.8,1.5,3.5,0.429,0.0,0.0,0.0,1.5,3.4,0.432,0.429,0.2,0.4,0.476,0.7,1.4,2.1,0.7,0.1,0.2,0.4,1.8,3.2,579,6.5,15.2,0.429,0.0,0.1,0.0,6.5,15.1,0.432,0.9,1.9,0.476,3.1,6.1,9.2,3.1,0.6,1.1,1.8,8.0,14.0,96,110,579,7.3,0.435,0.006,0.124,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,-0.2,0.5,0.3,0.024,-4.2,-0.2,-4.5,-0.4,82.0,19780.0,3009.0,6755.0,0.445,511.0,1408.0,0.363,2498.0,5347.0,0.467,1613.0,2067.0,0.78,973.0,2367.0,3340.0,1802.0,609.0,308.0,1154.0,1986.0,8142.0,82.0,19780.0,2854.0,6233.0,0.458,562.0,1486.0,0.378,2292.0,4747.0,0.483,1961.0,2480.0,0.791,831.0,2527.0,3358.0,1730.0,616.0,376.0,1350.0,1842.0,8231.0,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,92.6,0.306,0.208,0.483,13.1,27.8,0.239,0.503,15.6,74.0,0.315,Bradley Center,630976,49,11.8,-3.04,0.32,-2.72,0.06,1130,579,-3.825968404,-0.315454109,-4.141422514,-0.412587964,-0.412587964,0.0,-4.150492735,-0.779811081,-4.930303815,0.350787929,49,18,31,11.8,102.0,1.4,12.3,19.4,0.1,9.2,0.2,27.9,3.0,3.7,3.1,8.0,0.049,0.0
