,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2006-07,2007,Lou Amundson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,UTA,NBA,PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,116,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.004,-4.1,-3.1,-7.3,0.0,82.0,19805.0,3069.0,6471.0,0.474,354.0,1056.0,0.335,2715.0,5415.0,0.501,1830.0,2462.0,0.743,1030.0,2456.0,3486.0,2024.0,577.0,339.0,1277.0,2067.0,8322.0,82.0,19805.0,2819.0,6191.0,0.455,506.0,1424.0,0.355,2313.0,4767.0,0.485,1943.0,2534.0,0.767,813.0,2223.0,3036.0,1552.0,623.0,438.0,1230.0,2010.0,8087.0,51,31,49,33,2.87,0.2,3.06,110.1,107.0,91.6,0.38,0.163,0.502,14.5,31.7,0.283,0.496,14.4,75.1,0.314,EnergySolutions Arena,802214,11,8.1,-3.07,0.58,-2.49,0.04,170,89,-3.063408392,-1.746743692,-4.810152084,-0.093914337,-0.093914337,0.0,-3.415369294,-2.010707282,-5.426076576,0.610615256,11,6,5,8.1,102.3,1.4,16.1,27.3,0.1,9.1,0.7,80.0,3.0,1.8,1.6,5.8,0.029,0.0
1,2006-07,2007,Lou Amundson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,PHI,NBA,PF,10,0,8.7,0.6,1.5,0.4,0.0,0.0,,0.6,1.5,0.4,0.4,0.4,1.0,0.4,1.3,1.5,2.8,0.1,0.1,0.8,0.5,1.5,1.6,87,3.6,9.1,0.4,0.0,0.0,,3.6,9.1,0.4,2.4,6.1,0.4,7.9,9.1,17.0,0.6,0.6,4.9,3.0,9.1,9.7,91.0,103,87,9.8,0.412,0.0,0.667,18.0,20.6,19.3,1.7,0.6,7.1,20.5,13.0,-0.1,0.1,0.1,0.04,-4.6,-0.2,-4.8,-0.1,82.0,19880.0,2932.0,6408.0,0.458,284.0,823.0,0.345,2648.0,5585.0,0.474,1637.0,2135.0,0.767,899.0,2353.0,3252.0,1669.0,590.0,390.0,1258.0,1671.0,7785.0,82.0,19880.0,3039.0,6570.0,0.463,503.0,1424.0,0.353,2536.0,5146.0,0.493,1452.0,1926.0,0.754,969.0,2404.0,3373.0,1825.0,606.0,320.0,1280.0,1801.0,8033.0,35,47,32,50,-3.02,-0.23,-3.26,103.6,106.9,90.7,0.333,0.128,0.48,14.6,27.2,0.255,0.501,14.7,70.8,0.221,Wachovia Center,608603,11,8.1,-3.07,0.58,-2.49,0.04,170,89,-3.063408392,-1.746743692,-4.810152084,-0.093914337,-0.093914337,0.0,-3.415369294,-2.010707282,-5.426076576,0.610615256,11,6,5,8.1,102.3,1.4,16.1,27.3,0.1,9.1,0.7,80.0,3.0,1.8,1.6,5.8,0.029,0.0
2,2007-08,2008,Lou Amundson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,PHI,NBA,PF,16,0,4.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.1,0.4,0.286,0.4,0.3,0.8,0.0,0.1,0.1,0.1,0.8,1.1,64,6.6,13.3,0.5,0.0,0.0,,6.6,13.3,0.5,1.7,5.8,0.286,5.8,4.1,10.0,0.0,0.8,0.8,1.7,10.8,14.9,101.0,110,64,7.4,0.472,0.0,0.438,12.9,9.4,11.1,0.0,0.8,1.2,9.5,14.9,0.0,0.0,0.1,0.043,-6.3,-2.1,-8.5,-0.1,82.0,19755.0,3056.0,6648.0,0.46,302.0,952.0,0.317,2754.0,5696.0,0.483,1509.0,2137.0,0.706,1067.0,2370.0,3437.0,1673.0,712.0,400.0,1172.0,1620.0,7923.0,82.0,19755.0,3000.0,6504.0,0.461,557.0,1549.0,0.36,2443.0,4955.0,0.493,1332.0,1726.0,0.772,923.0,2293.0,3216.0,1903.0,550.0,420.0,1289.0,1708.0,7889.0,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,90.4,0.321,0.143,0.482,13.4,31.8,0.227,0.504,15.1,72.0,0.205,Wachovia Center,609675,16,4.0,-1.83,-0.5,-2.33,0.03,140,74,-0.605904261,-2.051556979,-2.657461241,0.009236205,-0.088221674,0.097457879,-1.20606148,-1.863514707,-3.069576188,0.975643092,16,7,9,4.0,98.4,0.3,7.5,10.6,0.1,12.5,0.1,100.0,1.3,1.3,0.4,2.6,0.021,0.0
3,2008-09,2009,Lou Amundson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,PHO,NBA,PF,76,0,13.7,1.8,3.3,0.536,0.0,0.0,0.0,1.8,3.3,0.538,0.536,0.7,1.6,0.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2.0,4.2,1044,6.4,12.0,0.536,0.0,0.0,0.0,6.4,11.9,0.538,2.5,5.7,0.442,6.1,6.8,12.9,1.3,1.5,3.1,2.7,7.4,15.4,108.0,109,1044,13.3,0.53,0.004,0.48,14.9,15.3,15.1,3.7,1.5,4.6,15.6,15.1,0.8,1.0,1.8,0.082,-2.2,-0.3,-2.5,-0.1,82.0,19755.0,3373.0,6695.0,0.504,553.0,1445.0,0.383,2820.0,5250.0,0.537,1675.0,2251.0,0.744,900.0,2520.0,3420.0,1905.0,589.0,420.0,1288.0,1691.0,8974.0,82.0,19755.0,3278.0,7025.0,0.467,626.0,1635.0,0.383,2652.0,5390.0,0.492,1634.0,2108.0,0.775,993.0,2352.0,3345.0,1741.0,706.0,369.0,1165.0,1877.0,8816.0,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,96.0,0.336,0.216,0.545,14.4,27.7,0.25,0.511,12.8,71.7,0.233,US Airways Center,755302,76,13.7,-0.55,0.02,-0.53,1.73,2112,1044,-1.89610372,0.209033968,-1.687069752,0.567452804,0.567452804,0.0,-1.842013589,0.020829118,-1.821184471,0.210511274,76,41,35,13.7,105.6,1.9,13.2,22.2,0.4,18.2,0.9,47.4,5.6,4.5,3.6,11.3,0.043,0.0
4,2009-10,2010,Lou Amundson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,PHO,NBA,PF,79,0,14.8,1.9,3.5,0.551,0.0,0.0,0.0,1.9,3.5,0.553,0.551,0.8,1.6,0.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7,1168,6.6,11.9,0.551,0.0,0.0,0.0,6.6,11.9,0.553,2.9,5.3,0.545,5.5,9.4,14.9,1.3,1.0,3.1,2.5,7.3,16.0,113.0,107,1168,14.4,0.562,0.004,0.446,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,1.5,1.3,2.9,0.118,-1.5,0.4,-1.1,0.3,82.0,19730.0,3339.0,6788.0,0.492,730.0,1770.0,0.412,2609.0,5018.0,0.52,1631.0,2117.0,0.77,910.0,2616.0,3526.0,1912.0,479.0,418.0,1210.0,1713.0,9039.0,82.0,19730.0,3235.0,7165.0,0.452,561.0,1582.0,0.355,2674.0,5583.0,0.479,1606.0,2114.0,0.76,1081.0,2391.0,3472.0,1704.0,646.0,365.0,1065.0,1789.0,8637.0,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,95.3,0.312,0.261,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,US Airways Center,723582,79,14.8,-0.97,0.05,-0.92,1.56,2718,1362,-1.720400077,1.035106854,-0.685293223,1.451497781,1.122679765,0.328818016,-1.723926153,0.767427418,-0.956498735,0.091151075,79,53,26,14.8,104.5,2.8,18.6,29.3,0.3,13.8,0.9,50.7,5.8,4.5,5.3,12.8,0.049,1.65
5,2010-11,2011,Lou Amundson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,GSW,NBA,PF,46,7,15.0,1.8,4.0,0.454,0.0,0.0,,1.8,4.0,0.454,0.454,0.7,1.9,0.391,1.8,2.3,4.0,0.4,0.3,0.7,0.5,1.9,4.3,691,6.1,13.4,0.454,0.0,0.0,,6.1,13.4,0.454,2.5,6.4,0.391,5.9,7.6,13.6,1.2,1.0,2.4,1.8,6.4,14.7,101.0,110,691,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0.2,0.5,0.6,0.044,-3.1,-1.4,-4.5,-0.4,82.0,19830.0,3251.0,7047.0,0.461,685.0,1749.0,0.392,2566.0,5298.0,0.484,1290.0,1695.0,0.761,955.0,2370.0,3325.0,1847.0,737.0,406.0,1198.0,1806.0,8477.0,82.0,19830.0,3173.0,6788.0,0.467,567.0,1586.0,0.358,2606.0,5202.0,0.501,1755.0,2262.0,0.776,1051.0,2623.0,3674.0,2029.0,672.0,352.0,1324.0,1512.0,8668.0,36,46,35,47,-2.33,0.33,-2.0,108.2,110.7,94.8,0.241,0.248,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,Oracle Arena,766398,46,15.0,-2.06,-0.17,-2.23,0.4,1380,691,-3.471361795,-0.695245457,-4.166607252,-0.49902456,-0.49902456,0.0,-3.66833887,-1.241592609,-4.909931479,-0.074226892,46,20,26,15.0,107.3,2.3,14.5,23.9,0.3,12.3,0.7,45.8,5.0,3.8,7.0,14.3,0.035,0.16
6,2011-12,2012,Lou Amundson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,IND,NBA,PF,60,0,12.6,1.5,3.5,0.43,0.0,0.0,,1.5,3.5,0.43,0.43,0.6,1.4,0.427,1.6,2.1,3.7,0.2,0.5,0.7,0.8,2.1,3.6,753,6.3,14.5,0.43,0.0,0.0,,6.3,14.5,0.43,2.5,5.8,0.427,6.6,9.0,15.6,1.0,1.9,3.1,3.2,8.8,15.0,92.0,99,753,11.5,0.438,0.0,0.396,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,-0.3,1.3,1.0,0.062,-4.0,0.1,-4.0,-0.4,66.0,15990.0,2354.0,5375.0,0.438,392.0,1064.0,0.368,1962.0,4311.0,0.455,1349.0,1724.0,0.782,826.0,2070.0,2896.0,1228.0,523.0,357.0,925.0,1430.0,6449.0,66.0,15990.0,2305.0,5304.0,0.435,442.0,1259.0,0.351,1863.0,4045.0,0.461,1179.0,1617.0,0.729,794.0,1998.0,2792.0,1292.0,433.0,398.0,985.0,1428.0,6231.0,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,90.7,0.321,0.198,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,Bankers Life Fieldhouse,467561,60,12.6,-2.5,0.31,-2.19,0.08,1613,847,-3.293019978,0.340552809,-2.952467168,-0.084651662,-0.13705344,0.052401778,-3.11195383,0.372183167,-2.739770663,0.709085092,60,38,22,12.5,100.9,2.1,17.5,28.3,0.5,19.6,0.7,66.7,4.5,3.7,3.1,8.9,0.044,1.23
7,2012-13,2013,Lou Amundson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,MIN,NBA,PF,20,0,8.1,0.7,1.9,0.368,0.0,0.0,,0.7,1.9,0.368,0.368,0.2,1.0,0.2,1.2,1.2,2.4,0.2,0.4,0.3,0.6,1.3,1.6,161,4.5,12.2,0.368,0.0,0.0,,4.5,12.2,0.368,1.3,6.4,0.2,7.4,7.7,15.1,1.0,2.2,1.9,3.5,8.3,10.3,77.0,103,161,6.3,0.342,0.0,0.526,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,-0.4,0.2,-0.1,-0.038,-6.9,-1.0,-7.9,-0.2,82.0,19730.0,2943.0,6702.0,0.439,450.0,1475.0,0.305,2493.0,5227.0,0.477,1515.0,2042.0,0.742,973.0,2473.0,3446.0,1836.0,700.0,387.0,1214.0,1509.0,7851.0,82.0,19730.0,3113.0,6657.0,0.468,576.0,1559.0,0.369,2537.0,5098.0,0.498,1243.0,1652.0,0.752,871.0,2583.0,3454.0,1832.0,661.0,481.0,1302.0,1847.0,8045.0,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,92.8,0.305,0.22,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187,Target Center,669956,39,9.5,-3.77,1.03,-2.73,-0.05,709,372,-3.692234049,-0.972022494,-4.664256543,-0.356808951,-0.356808951,0.0,-3.576396124,-0.673682526,-4.25007865,0.64564624,39,11,28,9.5,104.2,1.5,17.7,27.6,0.4,28.1,0.3,28.6,3.4,2.8,2.6,7.0,0.027,0.4
8,2012-13,2013,Lou Amundson,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,30,CHI,NBA,PF,1,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,26.9,0.0,0.0,0.0,,0.0,26.9,0.0,0.0,0.0,,26.9,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,59.0,113,2,0.0,0.0,0.0,0.0,56.7,0.0,28.7,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-0.274,-4.7,-18.2,-22.8,0.0,82.0,19830.0,2926.0,6698.0,0.437,446.0,1265.0,0.353,2480.0,5433.0,0.456,1343.0,1738.0,0.773,1026.0,2514.0,3540.0,1886.0,588.0,417.0,1171.0,1617.0,7641.0,82.0,19830.0,2906.0,6565.0,0.443,453.0,1309.0,0.346,2453.0,5256.0,0.467,1350.0,1826.0,0.739,901.0,2469.0,3370.0,1545.0,600.0,477.0,1123.0,1609.0,7615.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,89.3,0.259,0.189,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,United Center,896944,39,9.5,-3.77,1.03,-2.73,-0.05,709,372,-3.692234049,-0.972022494,-4.664256543,-0.356808951,-0.356808951,0.0,-3.576396124,-0.673682526,-4.25007865,0.64564624,39,11,28,9.5,104.2,1.5,17.7,27.6,0.4,28.1,0.3,28.6,3.4,2.8,2.6,7.0,0.027,0.4
9,2012-13,2013,Lou Amundson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NOH,NBA,PF,18,0,11.6,1.0,2.3,0.429,0.0,0.0,,1.0,2.3,0.429,0.429,0.4,0.9,0.5,1.3,1.9,3.2,0.4,0.5,0.3,0.4,1.5,2.4,209,4.7,10.9,0.429,0.0,0.0,,4.7,10.9,0.429,2.1,4.2,0.5,6.2,8.8,15.0,2.1,2.3,1.6,2.1,7.0,11.4,102.0,106,209,11.7,0.449,0.0,0.381,13.4,19.7,16.5,5.8,2.3,2.4,14.0,12.7,0.1,0.2,0.3,0.065,-2.1,1.0,-1.1,0.0,82.0,19780.0,2955.0,6589.0,0.448,535.0,1474.0,0.363,2420.0,5115.0,0.473,1269.0,1636.0,0.776,988.0,2426.0,3414.0,1721.0,520.0,440.0,1193.0,1673.0,7714.0,82.0,19780.0,3030.0,6435.0,0.471,632.0,1688.0,0.374,2398.0,4747.0,0.505,1339.0,1764.0,0.759,835.0,2391.0,3226.0,1915.0,648.0,492.0,1086.0,1534.0,8031.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,39,9.5,-3.77,1.03,-2.73,-0.05,709,372,-3.692234049,-0.972022494,-4.664256543,-0.356808951,-0.356808951,0.0,-3.576396124,-0.673682526,-4.25007865,0.64564624,39,11,28,9.5,104.2,1.5,17.7,27.6,0.4,28.1,0.3,28.6,3.4,2.8,2.6,7.0,0.027,0.4
