,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1997-98,1998,Derek Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,CLE,NBA,SF,66,13,27.9,3.6,8.9,0.408,0.3,1.3,0.202,3.4,7.6,0.442,0.422,4.2,4.8,0.873,0.8,2.0,2.8,3.4,1.3,0.2,1.9,2.1,11.7,1839,6.9,17.0,0.408,0.5,2.4,0.202,6.4,14.6,0.442,8.0,9.1,0.873,1.6,3.8,5.4,6.6,2.5,0.4,3.7,4.0,22.4,107,101,1839,15.3,0.531,0.143,0.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,2.6,2.8,5.3,0.139,0.3,1.4,1.7,1.7,82.0,19830.0,2817.0,6207.0,0.454,298.0,801.0,0.372,2519.0,5406.0,0.466,1653.0,2187.0,0.756,955.0,2331.0,3286.0,1894.0,814.0,419.0,1418.0,1939.0,7585.0,82.0,19830.0,2689.0,6214.0,0.433,341.0,992.0,0.344,2348.0,5222.0,0.45,1642.0,2175.0,0.755,948.0,2229.0,3177.0,1790.0,707.0,455.0,1444.0,1904.0,7361.0,47,35,49,33,2.73,0.33,3.06,102.2,99.1,89.9,0.352,0.129,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,694629,66,27.9,-0.27,2.03,1.75,5.74,3663,1942,0.967409262,0.762080523,1.729489784,4.438292291,4.241122174,0.197170117,0.675985801,0.270850478,0.946836279,-0.045818887,66,40,26,27.8,95.0,2.0,7.7,12.7,1.3,22.7,0.2,7.0,10.7,7.0,7.6,20.7,0.148,0
1,1998-99,1999,Derek Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,CLE,NBA,SG,38,13,25.7,3.3,8.3,0.398,0.6,1.8,0.304,2.7,6.4,0.424,0.432,3.6,4.3,0.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8,978,7.1,17.8,0.398,1.2,3.9,0.304,5.9,13.9,0.424,7.8,9.4,0.836,1.1,5.1,6.2,8.2,2.7,0.2,4.7,4.1,23.2,101,102,978,16.5,0.529,0.22,0.525,2.6,11.5,7.1,28.5,2.7,0.3,17.5,23.4,1.1,1.0,2.1,0.105,1.3,0.3,1.6,0.9,50.0,12050.0,1562.0,3561.0,0.439,182.0,534.0,0.341,1380.0,3027.0,0.456,1016.0,1356.0,0.749,472.0,1316.0,1788.0,1093.0,452.0,203.0,785.0,1208.0,4322.0,50.0,12050.0,1597.0,3664.0,0.436,236.0,675.0,0.35,1361.0,2989.0,0.455,978.0,1316.0,0.743,591.0,1405.0,1996.0,1056.0,392.0,282.0,821.0,1198.0,4408.0,22,28,22,28,-1.72,0.78,-0.94,99.6,101.6,86.4,0.381,0.15,0.464,15.9,25.1,0.285,0.468,16.2,69.0,0.267,Gund Arena,352992,38,25.7,0.13,1.62,1.75,3.12,1781,978,1.393334804,-0.050162476,1.343172328,2.045432133,2.045432133,0.0,1.273417737,-0.396684389,0.876733348,0.133912824,38,16,22,25.8,97.2,2.3,10.0,16.7,1.3,26.8,0.1,5.6,9.6,7.0,5.7,19.3,0.095,0
2,1999-00,2000,Derek Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,LAC,NBA,SG,64,58,34.4,5.9,13.4,0.438,0.9,2.8,0.309,5.0,10.7,0.472,0.47,4.2,4.8,0.877,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9,2201,8.8,20.0,0.438,1.3,4.1,0.309,7.5,15.8,0.472,6.3,7.2,0.877,1.9,4.1,6.0,5.1,2.1,0.3,3.9,3.5,25.1,105,111,2201,16.9,0.542,0.207,0.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,3.1,0.3,3.3,0.073,1.2,-1.2,-0.1,1.1,82.0,19705.0,2877.0,6757.0,0.426,429.0,1267.0,0.339,2448.0,5490.0,0.446,1363.0,1826.0,0.746,955.0,2377.0,3332.0,1479.0,578.0,494.0,1325.0,1821.0,7546.0,82.0,19705.0,3281.0,6879.0,0.477,417.0,1077.0,0.387,2864.0,5802.0,0.494,1512.0,2041.0,0.741,1038.0,2699.0,3737.0,1975.0,621.0,377.0,1172.0,1731.0,8491.0,15,67,13,69,-11.52,0.8,-10.73,97.8,110.1,93.9,0.27,0.188,0.458,14.9,26.1,0.202,0.507,13.1,69.6,0.22,STAPLES Center,559714,64,34.4,0.61,-2.92,-2.31,0.17,4355,2201,1.264910871,-1.524056829,-0.259145959,2.794489178,2.794489178,0.0,0.934457174,-1.171984088,-0.237526914,-0.088113942,64,7,57,34.4,107.8,2.8,8.6,13.7,1.4,26.9,0.2,4.3,13.4,9.8,11.2,35.8,0.03,0
3,2000-01,2001,Derek Anderson,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26,SAS,NBA,SG,82,82,34.9,5.0,12.1,0.416,1.2,3.1,0.399,3.8,9.0,0.422,0.467,4.2,4.9,0.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5,2859,7.7,18.6,0.416,1.9,4.7,0.399,5.8,13.9,0.422,6.4,7.5,0.851,1.4,5.4,6.8,5.6,2.2,0.3,3.1,3.5,23.8,109,99,2859,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,1.2,1.2,2.4,3.2,82.0,19830.0,2884.0,6262.0,0.461,445.0,1094.0,0.407,2439.0,5168.0,0.472,1673.0,2340.0,0.715,902.0,2712.0,3614.0,1778.0,568.0,576.0,1145.0,1551.0,7886.0,82.0,19830.0,2837.0,6770.0,0.419,343.0,1043.0,0.329,2494.0,5727.0,0.435,1233.0,1664.0,0.741,967.0,2432.0,3399.0,1617.0,600.0,426.0,1107.0,1946.0,7250.0,58,24,63,19,7.76,0.16,7.92,106.6,98.0,89.6,0.374,0.175,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,Alamodome,913176,82,34.9,1.27,0.54,1.8,8.74,5764,3053,2.846767675,1.286243719,4.133011394,10.69165634,10.92458393,-0.232927591,2.949353621,1.641209987,4.590563608,-0.163135644,82,58,24,34.9,94.3,3.5,9.6,14.3,1.5,28.9,0.2,3.3,10.5,8.1,8.3,23.2,0.173,0
4,2001-02,2002,Derek Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,POR,NBA,SG,70,27,26.6,3.5,8.7,0.404,1.2,3.3,0.373,2.3,5.5,0.422,0.473,2.5,3.0,0.856,0.7,2.0,2.7,3.1,1.0,0.1,1.2,1.6,10.8,1860,7.1,17.7,0.404,2.5,6.6,0.373,4.7,11.1,0.422,5.1,6.0,0.856,1.4,4.1,5.5,6.2,2.0,0.2,2.5,3.3,21.9,114,107,1860,15.5,0.538,0.373,0.34,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,3.8,1.5,5.3,0.137,1.4,0.2,1.6,1.7,82.0,19830.0,3004.0,6671.0,0.45,466.0,1318.0,0.354,2538.0,5353.0,0.474,1451.0,1901.0,0.763,1085.0,2444.0,3529.0,1926.0,702.0,368.0,1172.0,1613.0,7925.0,82.0,19830.0,2951.0,6508.0,0.453,466.0,1285.0,0.363,2485.0,5223.0,0.476,1312.0,1771.0,0.741,890.0,2328.0,3218.0,1945.0,612.0,410.0,1208.0,1651.0,7680.0,49,33,50,32,2.99,0.22,3.21,107.4,104.0,89.3,0.285,0.198,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,Rose Garden Arena,797821,70,26.6,1.4,0.7,2.1,5.75,3647,1936,2.19089485,0.233921236,2.424816086,5.106756965,4.864181743,0.242575222,1.971896136,-0.157387855,1.814508281,-0.191442612,70,45,25,26.5,99.7,2.0,8.1,12.8,1.0,19.3,0.1,4.9,8.2,7.1,6.1,20.0,0.098,0
5,2002-03,2003,Derek Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,POR,NBA,PG,76,76,33.6,4.7,10.9,0.427,1.5,4.4,0.35,3.1,6.6,0.477,0.496,3.0,3.5,0.859,0.7,2.8,3.5,4.3,1.2,0.2,1.7,1.9,13.9,2556,7.5,17.5,0.427,2.4,7.0,0.35,5.0,10.5,0.477,4.9,5.7,0.859,1.1,4.4,5.5,6.8,1.9,0.3,2.7,3.0,22.2,115,105,2556,16.9,0.556,0.398,0.323,2.5,10.0,6.2,20.7,1.9,0.5,11.9,19.5,5.9,2.2,8.1,0.153,2.2,0.1,2.3,2.8,82.0,19855.0,2987.0,6491.0,0.46,379.0,1150.0,0.33,2608.0,5341.0,0.488,1450.0,1947.0,0.745,992.0,2378.0,3370.0,1860.0,725.0,316.0,1248.0,1634.0,7803.0,82.0,19855.0,2942.0,6540.0,0.45,438.0,1285.0,0.341,2504.0,5255.0,0.476,1267.0,1659.0,0.764,912.0,2292.0,3204.0,1863.0,683.0,391.0,1270.0,1670.0,7589.0,50,32,49,33,2.61,0.36,2.97,105.5,102.6,89.4,0.3,0.177,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,796258,76,33.6,1.94,-0.06,1.88,8.34,4856,2578,2.308319865,-0.075254507,2.233065358,6.534019596,6.666144044,-0.132124448,2.349544358,0.30397413,2.653518488,-0.199054941,76,47,29,33.6,99.9,2.8,8.6,13.5,1.2,19.4,0.2,7.5,12.1,8.9,8.8,26.1,0.113,0
6,2003-04,2004,Derek Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,POR,NBA,SG,51,46,35.5,4.5,12.0,0.376,1.5,5.1,0.305,3.0,6.9,0.428,0.44,3.0,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6,1810,7.1,18.8,0.376,2.4,8.0,0.305,4.6,10.9,0.428,4.8,5.8,0.824,0.8,4.8,5.6,7.0,2.0,0.1,2.8,2.4,21.3,107,107,1810,15.1,0.499,0.423,0.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,0.097,0.8,-0.5,0.3,1.0,82.0,19980.0,2898.0,6467.0,0.448,381.0,1102.0,0.346,2517.0,5365.0,0.469,1263.0,1728.0,0.731,1040.0,2376.0,3416.0,1768.0,613.0,443.0,1213.0,1554.0,7440.0,82.0,19980.0,2954.0,6567.0,0.45,417.0,1222.0,0.341,2537.0,5345.0,0.475,1219.0,1618.0,0.753,1016.0,2292.0,3308.0,1912.0,657.0,390.0,1120.0,1534.0,7544.0,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,86.2,0.267,0.17,0.478,14.4,31.2,0.195,0.482,13.3,70.0,0.186,Rose Garden Arena,684038,51,35.5,1.08,1.56,2.63,6.97,3288,1810,2.451024678,0.39032304,2.841347718,5.159543532,5.159543532,0.0,2.471466595,0.357139329,2.828605924,-0.068052428,51,26,25,35.5,99.8,3.1,8.8,14.0,1.3,22.1,0.1,1.2,12.1,9.8,8.7,27.3,0.113,0
7,2004-05,2005,Derek Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,POR,NBA,SG,47,32,26.4,3.2,8.3,0.389,1.2,3.2,0.384,2.0,5.1,0.392,0.463,1.5,1.9,0.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2,1239,6.6,16.9,0.389,2.5,6.5,0.384,4.1,10.4,0.392,3.0,3.8,0.805,1.1,4.4,5.5,6.2,1.6,0.2,3.0,3.8,18.6,103,111,1239,11.7,0.503,0.386,0.223,2.4,9.2,6.0,18.9,1.6,0.2,14.0,18.5,0.7,0.6,1.3,0.052,-0.6,-0.6,-1.2,0.2,82.0,19730.0,2896.0,6422.0,0.451,420.0,1161.0,0.362,2476.0,5261.0,0.471,1409.0,1944.0,0.725,970.0,2404.0,3374.0,1722.0,583.0,544.0,1308.0,1703.0,7621.0,82.0,19730.0,3056.0,6842.0,0.447,440.0,1283.0,0.343,2616.0,5559.0,0.471,1397.0,1851.0,0.755,1149.0,2312.0,3461.0,1923.0,700.0,414.0,1102.0,1670.0,7949.0,27,55,29,53,-4.0,0.55,-3.45,103.2,107.7,89.8,0.303,0.181,0.484,15.2,29.6,0.219,0.479,12.6,67.7,0.204,Rose Garden Arena,680374,47,26.4,-0.87,-0.6,-1.47,1.41,2345,1239,-0.081012622,-0.970534242,-1.051546864,1.072380185,1.072380185,0.0,-0.234473185,-1.066903454,-1.301376639,-0.109398997,47,16,31,26.3,104.3,2.2,8.4,13.8,0.8,20.1,0.1,2.8,9.3,8.2,7.1,22.3,0.07,0
8,2005-06,2006,Derek Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,HOU,NBA,SG,20,8,29.1,3.4,8.7,0.393,1.0,3.4,0.284,2.5,5.3,0.462,0.448,3.1,3.7,0.836,0.6,3.6,4.2,2.7,0.8,0.2,1.9,2.5,10.8,582,6.4,16.2,0.393,1.8,6.3,0.284,4.6,9.9,0.462,5.7,6.8,0.836,1.1,6.7,7.8,5.0,1.4,0.4,3.5,4.6,20.2,102,105,582,12.5,0.527,0.387,0.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,0.3,0.7,1.0,0.084,-0.4,0.7,0.3,0.3,82.0,19830.0,2708.0,6252.0,0.433,469.0,1414.0,0.332,2239.0,4838.0,0.463,1502.0,1980.0,0.759,849.0,2565.0,3414.0,1580.0,588.0,320.0,1193.0,1863.0,7387.0,82.0,19830.0,2708.0,6310.0,0.429,541.0,1465.0,0.369,2167.0,4845.0,0.447,1560.0,2135.0,0.731,874.0,2477.0,3351.0,1647.0,582.0,373.0,1094.0,1716.0,7517.0,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,636110,43,24.3,-1.01,0.33,-0.68,1.5,2103,1113,-0.549544434,-0.985128223,-1.534672657,0.710751323,0.590647543,0.120103779,-0.734582205,-1.00713994,-1.741722145,1.219372048,43,22,21,24.3,103.3,2.8,12.0,18.0,0.5,17.4,0.1,6.1,8.4,6.4,4.9,16.2,0.073,0
9,2005-06,2006,Derek Anderson,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,31,MIA,NBA,SG,23,3,20.2,1.7,5.7,0.308,0.9,2.9,0.313,0.8,2.7,0.302,0.388,1.4,1.7,0.842,0.4,2.2,2.6,2.1,0.3,0.1,0.7,2.1,5.8,465,4.5,14.7,0.308,2.4,7.6,0.313,2.1,7.1,0.302,3.6,4.3,0.842,1.0,5.7,6.8,5.4,0.9,0.2,1.9,5.5,15.0,102,107,465,8.7,0.453,0.515,0.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,0.2,0.4,0.6,0.061,-2.4,-0.7,-3.1,-0.1,82.0,19755.0,3039.0,6355.0,0.478,497.0,1441.0,0.345,2542.0,4914.0,0.517,1616.0,2310.0,0.7,858.0,2675.0,3533.0,1692.0,522.0,442.0,1186.0,1871.0,8191.0,82.0,19755.0,2871.0,6529.0,0.44,490.0,1359.0,0.361,2381.0,5170.0,0.461,1642.0,2223.0,0.739,826.0,2359.0,3185.0,1596.0,560.0,298.0,1063.0,1938.0,7874.0,52,30,52,30,3.87,-0.27,3.59,108.7,104.5,91.6,0.363,0.227,0.517,13.9,26.7,0.254,0.477,12.4,76.4,0.251,AmericanAirlines Arena,818149,43,24.3,-1.01,0.33,-0.68,1.5,2103,1113,-0.549544434,-0.985128223,-1.534672657,0.710751323,0.590647543,0.120103779,-0.734582205,-1.00713994,-1.741722145,1.219372048,43,22,21,24.3,103.3,2.8,12.0,18.0,0.5,17.4,0.1,6.1,8.4,6.4,4.9,16.2,0.073,0
