,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,NJN,NBA,PG,55,55,36.5,6.7,15.5,0.435,0.1,0.5,0.28,6.6,15.0,0.44,0.439,3.3,4.2,0.776,0.9,3.2,4.1,8.2,1.7,0.2,2.8,2.5,16.9,2010,9.2,21.1,0.435,0.2,0.6,0.28,9.0,20.5,0.44,4.5,5.8,0.776,1.3,4.4,5.6,11.2,2.4,0.3,3.8,3.5,23.1,106,106,2010,16.6,0.487,0.029,0.273,2.8,9.5,6.1,34.7,2.4,0.3,13.8,23.1,1.9,2.5,4.4,0.106,1.1,0.5,1.6,1.8,82.0,19780.0,3272.0,7084.0,0.462,155.0,488.0,0.318,3117.0,6596.0,0.473,1732.0,2258.0,0.767,1291.0,2506.0,3797.0,1872.0,693.0,526.0,1355.0,1892.0,8431.0,82.0,19780.0,3231.0,6945.0,0.465,201.0,618.0,0.325,3030.0,6327.0,0.479,1665.0,2248.0,0.741,1102.0,2345.0,3447.0,1786.0,780.0,416.0,1304.0,1881.0,8328.0,43,39,45,37,1.26,-0.05,1.2,106.5,105.2,96.0,0.319,0.069,0.473,14.4,35.5,0.244,0.48,14.1,69.5,0.24,Brendan Byrne Arena,620416,0,0,0.0,0.0,0.0,0.0,4066,2010,1.159416479,0.554244752,1.713661232,4.562998943,4.562998943,0.0,1.248115555,1.068535362,2.316650917,-0.310113657,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,NJN,NBA,PG,82,82,38.2,7.0,16.8,0.417,0.5,1.6,0.303,6.5,15.2,0.429,0.432,4.2,5.2,0.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8,3135,9.2,22.1,0.417,0.6,2.1,0.303,8.6,20.0,0.429,5.5,6.8,0.818,1.4,3.7,5.2,12.6,2.5,0.2,4.3,3.2,24.6,106,106,3135,18.2,0.491,0.096,0.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,4.3,3.2,7.5,0.114,2.5,-0.1,2.4,3.4,82.0,19830.0,3169.0,7115.0,0.445,223.0,683.0,0.327,2946.0,6432.0,0.458,1900.0,2495.0,0.762,1300.0,2556.0,3856.0,1900.0,696.0,576.0,1196.0,1693.0,8461.0,82.0,19830.0,3266.0,7125.0,0.458,235.0,739.0,0.318,3031.0,6386.0,0.475,1514.0,2038.0,0.743,1142.0,2528.0,3670.0,1919.0,715.0,582.0,1248.0,1901.0,8281.0,45,37,47,35,2.2,-0.08,2.11,107.2,104.9,95.5,0.351,0.096,0.461,12.7,34.0,0.267,0.475,13.5,69.1,0.212,Brendan Byrne Arena,658304,0,0,0.0,0.0,0.0,0.0,6649,3316,2.761213326,0.142728975,2.903942301,9.548093717,9.033254756,0.514838961,2.927427746,0.776060817,3.703488563,-0.317374177,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,NJN,NBA,PG,72,70,37.3,5.7,14.3,0.399,1.3,4.1,0.33,4.4,10.2,0.426,0.446,4.8,5.8,0.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6,2689,8.0,19.9,0.399,1.9,5.7,0.33,6.1,14.3,0.426,6.7,8.0,0.841,1.4,3.4,4.8,13.2,2.0,0.3,4.4,3.6,24.5,112,111,2689,18.0,0.522,0.285,0.402,3.0,7.2,5.1,43.1,2.0,0.4,15.6,23.5,4.8,2.0,6.8,0.122,3.0,-0.7,2.2,2.8,82.0,19880.0,2939.0,6738.0,0.436,414.0,1297.0,0.319,2525.0,5441.0,0.464,1750.0,2305.0,0.759,1213.0,2569.0,3782.0,1884.0,544.0,548.0,1300.0,1844.0,8042.0,82.0,19880.0,3182.0,6904.0,0.461,440.0,1176.0,0.374,2742.0,5728.0,0.479,1495.0,2073.0,0.721,1056.0,2435.0,3491.0,1826.0,733.0,440.0,1104.0,1911.0,8299.0,30,52,32,50,-3.13,-0.14,-3.28,105.2,108.6,92.3,0.342,0.192,0.467,14.4,33.3,0.26,0.493,12.4,70.9,0.217,Brendan Byrne Arena,684102,0,0,0.0,0.0,0.0,0.0,5230,2689,3.503903937,-0.729520017,2.774383921,7.553963551,7.553963551,0.0,3.33808865,-0.104403031,3.233685619,-0.311357838,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,NJN,NBA,PG,31,28,33.6,4.6,12.3,0.376,1.2,3.2,0.364,3.5,9.1,0.381,0.424,4.9,6.1,0.803,1.2,2.1,3.3,8.0,1.7,0.3,1.9,2.4,15.3,1042,7.2,19.3,0.376,1.8,5.0,0.364,5.4,14.2,0.381,7.7,9.5,0.803,1.9,3.2,5.1,12.5,2.6,0.4,2.9,3.7,24.0,118,108,1042,19.8,0.511,0.261,0.495,3.8,6.9,5.3,40.4,2.6,0.6,11.1,21.8,2.7,1.0,3.7,0.172,4.2,1.2,5.4,1.9,82.0,19905.0,2881.0,6750.0,0.427,250.0,746.0,0.335,2631.0,6004.0,0.438,1672.0,2244.0,0.745,1350.0,2503.0,3853.0,1752.0,627.0,571.0,1375.0,1880.0,7684.0,82.0,19905.0,3006.0,6625.0,0.454,543.0,1415.0,0.384,2463.0,5210.0,0.473,1476.0,1994.0,0.74,1028.0,2355.0,3383.0,1876.0,665.0,516.0,1270.0,1925.0,8031.0,30,52,29,53,-4.23,0.09,-4.14,101.9,106.5,90.9,0.332,0.111,0.445,15.1,36.4,0.248,0.495,14.5,70.9,0.223,Brendan Byrne Arena,638144,0,0,0.0,0.0,0.0,0.0,4509,2344,4.33466058,0.019327653,4.353988232,8.552100077,8.552100077,0.0,4.20960288,0.590230493,4.799833373,0.610240443,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1995-96,1996,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,CHH,NBA,PG,38,36,34.3,5.4,11.9,0.454,1.5,4.1,0.357,3.9,7.8,0.505,0.515,2.9,3.9,0.727,0.7,2.0,2.7,8.6,1.6,0.2,2.3,2.8,15.2,1302,8.3,18.3,0.454,2.3,6.3,0.357,6.0,12.0,0.505,4.4,6.0,0.727,1.0,3.1,4.1,13.2,2.4,0.2,3.5,4.2,23.2,118,113,1302,19.2,0.555,0.346,0.33,2.4,7.2,4.8,40.4,2.4,0.3,14.5,21.1,3.4,0.6,4.0,0.148,4.1,-0.6,3.4,1.8,82.0,19880.0,3108.0,6618.0,0.47,584.0,1520.0,0.384,2524.0,5098.0,0.495,1631.0,2119.0,0.77,987.0,2256.0,3243.0,1907.0,582.0,277.0,1241.0,1815.0,8431.0,82.0,19880.0,3254.0,6651.0,0.489,530.0,1340.0,0.396,2724.0,5311.0,0.513,1440.0,1957.0,0.736,953.0,2358.0,3311.0,2049.0,536.0,368.0,1215.0,1829.0,8478.0,41,41,39,43,-0.57,0.09,-0.48,111.2,111.8,91.6,0.32,0.23,0.514,14.1,29.5,0.246,0.529,13.9,70.3,0.217,Charlotte Coliseum,985722,0,0,0.0,0.0,0.0,0.0,4509,2344,4.33466058,0.019327653,4.353988232,8.552100077,8.552100077,0.0,4.20960288,0.590230493,4.799833373,0.610240443,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1996-97,1997,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,POR,NBA,PG,82,81,37.6,5.9,13.9,0.427,1.6,4.5,0.361,4.3,9.4,0.458,0.485,4.1,5.3,0.768,1.1,3.3,4.4,7.1,2.0,0.2,2.4,2.7,17.5,3081,8.3,19.5,0.427,2.3,6.3,0.361,6.0,13.2,0.458,5.7,7.5,0.768,1.6,4.7,6.2,10.0,2.8,0.3,3.3,3.8,24.6,117,104,3081,19.5,0.54,0.322,0.383,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,8.0,4.4,12.4,0.193,3.2,1.2,4.4,5.0,82.0,19855.0,3000.0,6465.0,0.464,501.0,1401.0,0.358,2499.0,5064.0,0.493,1613.0,2261.0,0.713,1058.0,2494.0,3552.0,1710.0,640.0,435.0,1357.0,1928.0,8114.0,82.0,19855.0,2798.0,6423.0,0.436,457.0,1279.0,0.357,2341.0,5144.0,0.455,1719.0,2327.0,0.739,952.0,2197.0,3149.0,1703.0,656.0,428.0,1242.0,1887.0,7772.0,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,90.9,0.35,0.217,0.503,15.4,32.5,0.249,0.471,14.3,72.4,0.268,Rose Garden Arena,852798,82,37.6,3.28,0.13,3.42,13.43,6209,3250,4.394836174,1.633762141,6.028598315,14.55679322,13.9175148,0.639278418,4.47983355,2.184469187,6.664302737,-0.073503061,82,49,33,37.6,102.3,3.3,9.0,14.1,2.0,32.5,0.2,4.3,13.6,9.6,9.7,31.0,0.129,0
6,1997-98,1998,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,POR,NBA,PG,45,40,32.7,4.5,11.7,0.387,1.0,3.0,0.353,3.5,8.8,0.398,0.432,2.5,3.2,0.772,0.8,2.2,3.0,5.4,1.4,0.0,2.5,2.2,12.6,1472,7.4,19.1,0.387,1.7,4.8,0.353,5.7,14.3,0.398,4.1,5.3,0.772,1.3,3.6,4.9,8.9,2.2,0.0,4.1,3.6,20.5,100,105,1472,13.3,0.48,0.252,0.275,3.0,7.5,5.3,28.3,2.2,0.0,16.2,21.7,0.8,1.6,2.3,0.076,-0.2,0.0,-0.2,0.7,82.0,19830.0,2885.0,6397.0,0.451,324.0,1047.0,0.309,2561.0,5350.0,0.479,1640.0,2226.0,0.737,1086.0,2522.0,3608.0,1766.0,585.0,464.0,1383.0,1859.0,7734.0,82.0,19830.0,2810.0,6520.0,0.431,373.0,1087.0,0.343,2437.0,5433.0,0.449,1626.0,2253.0,0.722,1011.0,2201.0,3212.0,1764.0,770.0,445.0,1160.0,1823.0,7619.0,46,36,45,37,1.4,-0.57,0.83,104.0,102.4,90.0,0.348,0.164,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,61,30.5,1.06,-1.62,-0.56,2.98,3551,1858,0.550339661,0.147071738,0.697411399,3.269698086,3.269698086,0.0,0.69845409,0.347441013,1.045895103,0.589608566,61,33,28,30.5,100.6,2.2,7.2,11.4,1.4,28.2,0.0,0.5,11.2,8.0,9.0,25.5,0.104,0
7,1997-98,1998,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,BOS,NBA,PG,16,16,24.1,4.0,9.2,0.435,0.6,1.7,0.37,3.4,7.5,0.45,0.469,2.6,3.1,0.837,0.2,2.3,2.4,6.3,1.6,0.0,1.8,2.3,11.2,386,8.5,19.6,0.435,1.3,3.6,0.37,7.2,16.0,0.45,5.5,6.5,0.837,0.4,4.8,5.2,13.3,3.5,0.0,3.9,4.8,23.9,114,105,386,20.4,0.531,0.184,0.333,0.8,12.0,5.9,43.4,3.5,0.0,14.7,22.1,1.0,0.4,1.4,0.171,2.1,0.2,2.4,0.4,82.0,19730.0,3012.0,6934.0,0.434,415.0,1249.0,0.332,2597.0,5685.0,0.457,1425.0,1964.0,0.726,1196.0,2044.0,3240.0,1816.0,987.0,366.0,1330.0,2203.0,7864.0,82.0,19730.0,2864.0,5981.0,0.479,299.0,940.0,0.318,2565.0,5041.0,0.509,2052.0,2756.0,0.745,1015.0,2446.0,3461.0,1826.0,696.0,406.0,1688.0,1719.0,8079.0,36,46,33,49,-2.62,0.66,-1.96,102.6,105.4,93.3,0.283,0.18,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422,61,30.5,1.06,-1.62,-0.56,2.98,3551,1858,0.550339661,0.147071738,0.697411399,3.269698086,3.269698086,0.0,0.69845409,0.347441013,1.045895103,0.589608566,61,33,28,30.5,100.6,2.2,7.2,11.4,1.4,28.2,0.0,0.5,11.2,8.0,9.0,25.5,0.104,0
8,1998-99,1999,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,BOS,NBA,PG,34,33,29.7,4.7,10.5,0.451,0.2,0.7,0.25,4.6,9.8,0.465,0.459,2.5,3.0,0.832,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1,1010,8.4,18.5,0.451,0.3,1.2,0.25,8.1,17.3,0.465,4.4,5.2,0.832,1.2,4.1,5.4,10.0,1.7,0.1,3.7,4.1,21.4,107,106,1010,16.7,0.513,0.067,0.283,2.6,9.1,5.7,32.5,1.7,0.1,15.0,20.9,1.8,0.6,2.4,0.116,1.1,-1.0,0.1,0.5,50.0,12150.0,1816.0,4164.0,0.436,273.0,758.0,0.36,1543.0,3406.0,0.453,745.0,1077.0,0.692,680.0,1458.0,2138.0,1073.0,453.0,255.0,807.0,1193.0,4650.0,50.0,12150.0,1725.0,3896.0,0.443,175.0,561.0,0.312,1550.0,3335.0,0.465,1118.0,1506.0,0.742,642.0,1544.0,2186.0,1018.0,461.0,253.0,841.0,1001.0,4743.0,19,31,22,28,-1.86,0.11,-1.75,100.4,102.4,91.5,0.259,0.182,0.469,14.8,30.6,0.179,0.465,15.6,69.4,0.287,FleetCenter,440602,34,29.7,1.31,-2.69,-1.38,1.36,1947,1010,1.518024764,-1.564457489,-0.046432725,1.386995954,1.386995954,0.0,0.960664206,-1.306446708,-0.345782502,-0.397782996,34,12,22,29.7,104.1,2.3,8.2,13.7,1.0,17.2,0.1,1.9,11.6,10.6,9.9,29.1,0.043,0
9,1999-00,2000,Kenny Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,BOS,NBA,PG,82,82,31.6,5.3,12.0,0.44,1.0,2.7,0.386,4.3,9.3,0.456,0.483,2.4,3.1,0.775,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14.0,2593,8.5,19.3,0.44,1.7,4.3,0.386,6.8,15.0,0.456,3.8,5.0,0.775,1.1,3.3,4.4,8.2,2.7,0.2,2.5,4.5,22.5,112,107,2593,17.4,0.524,0.223,0.257,2.3,7.9,4.9,26.7,2.7,0.2,10.6,20.5,5.4,1.9,7.3,0.136,1.7,0.1,1.8,2.5,82.0,19730.0,3054.0,6880.0,0.444,417.0,1260.0,0.331,2637.0,5620.0,0.469,1621.0,2175.0,0.745,1108.0,2420.0,3528.0,1741.0,795.0,286.0,1259.0,2223.0,8146.0,82.0,19730.0,2960.0,6304.0,0.47,359.0,995.0,0.361,2601.0,5309.0,0.49,1929.0,2563.0,0.753,857.0,2534.0,3391.0,1798.0,638.0,473.0,1395.0,1928.0,8208.0,35,47,39,43,-0.76,-0.24,-1.0,104.8,105.6,94.6,0.316,0.183,0.474,13.8,30.4,0.236,0.498,15.8,73.8,0.306,FleetCenter,683608,82,31.6,2.63,-0.4,2.23,8.61,5169,2593,2.578603024,0.073582203,2.652185227,7.151690051,7.151690051,0.0,2.515774841,0.640175155,3.155949997,0.06429077,82,35,47,31.6,102.8,2.1,7.1,10.5,1.7,24.3,0.1,4.8,10.5,8.3,9.3,25.6,0.079,0
