,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2008-09,2009,Ryan Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,NJN,NBA,PF,66,30,19.9,2.4,6.2,0.393,1.0,2.9,0.365,1.4,3.3,0.417,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4,1312,6.5,16.6,0.393,2.8,7.7,0.365,3.7,8.9,0.417,4.0,4.7,0.845,4.2,8.4,12.7,2.1,1.8,0.8,2.6,6.4,19.8,108,109,1312,13.6,0.532,0.464,0.285,9.3,19.0,14.1,6.4,1.8,1.2,12.1,18.6,1.3,1.2,2.5,0.09,-0.3,-0.9,-1.1,0.3,82.0,19830.0,2925.0,6536.0,0.448,652.0,1735.0,0.376,2273.0,4801.0,0.473,1542.0,1980.0,0.779,850.0,2415.0,3265.0,1636.0,559.0,391.0,1075.0,1838.0,8044.0,82.0,19830.0,2953.0,6385.0,0.462,600.0,1536.0,0.391,2353.0,4849.0,0.485,1738.0,2281.0,0.762,872.0,2523.0,3395.0,1793.0,567.0,393.0,1103.0,1680.0,8244.0,34,48,34,48,-2.44,0.13,-2.31,108.3,111.0,89.9,0.303,0.265,0.497,12.7,25.2,0.236,0.509,13.0,73.5,0.272,Izod Center,621062,66,19.9,-0.54,0.52,-0.03,2.45,2485,1312,-0.286081087,0.03173083,-0.254350257,1.679258754,1.679258754,0.0,0.077630974,-0.024296396,0.053334578,0.484124089,66,28,38,19.9,105.6,3.1,16.7,25.3,0.7,22.7,0.3,15.6,6.6,5.1,5.7,15.7,0.062,0.0
1,2009-10,2010,Ryan Anderson,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,21,ORL,NBA,PF,63,6,14.5,2.7,6.2,0.436,1.2,3.3,0.37,1.4,2.8,0.514,0.536,1.1,1.3,0.866,1.1,2.1,3.2,0.6,0.4,0.2,0.9,1.3,7.7,911,9.7,22.2,0.436,4.5,12.1,0.37,5.2,10.1,0.514,4.1,4.7,0.866,4.0,7.6,11.6,2.1,1.4,0.8,3.2,4.6,27.9,112,103,911,18.1,0.574,0.544,0.211,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,1.7,1.4,3.1,0.161,2.6,-0.3,2.3,1.0,82.0,19730.0,3005.0,6394.0,0.47,841.0,2241.0,0.375,2164.0,4153.0,0.521,1575.0,2176.0,0.724,810.0,2736.0,3546.0,1615.0,512.0,456.0,1155.0,1629.0,8426.0,82.0,19730.0,2955.0,6739.0,0.438,522.0,1437.0,0.363,2433.0,5302.0,0.459,1380.0,1830.0,0.754,800.0,2481.0,3281.0,1550.0,551.0,288.0,1050.0,1819.0,7812.0,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,92.0,0.34,0.35,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,Amway Arena,715901,63,14.5,3.19,-1.03,2.17,3.07,1928,1000,1.704229287,0.134550838,1.838780124,2.337648733,2.324680707,0.012968026,2.201006574,-0.507671729,1.693334844,0.363751763,63,46,17,14.5,101.2,2.1,14.4,20.9,0.4,21.0,0.2,15.1,5.2,3.2,3.4,10.7,0.063,-0.43
2,2010-11,2011,Ryan Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,ORL,NBA,PF,64,14,22.3,3.5,8.2,0.43,2.1,5.3,0.393,1.4,2.9,0.5,0.558,1.5,1.8,0.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,1424,8.3,19.4,0.43,5.0,12.6,0.393,3.4,6.8,0.5,3.5,4.3,0.812,4.8,8.3,13.1,1.9,1.1,1.4,1.8,5.1,25.2,122,102,1424,19.0,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,4.0,2.5,6.4,0.216,4.2,0.4,4.6,2.4,82.0,19830.0,2956.0,6411.0,0.461,770.0,2103.0,0.366,2186.0,4308.0,0.507,1453.0,2101.0,0.692,864.0,2679.0,3543.0,1636.0,548.0,384.0,1224.0,1640.0,8135.0,82.0,19830.0,2865.0,6569.0,0.436,516.0,1476.0,0.35,2349.0,5093.0,0.461,1441.0,1940.0,0.743,805.0,2450.0,3255.0,1646.0,606.0,310.0,1136.0,1791.0,7687.0,52,30,56,26,5.46,-0.54,4.92,107.9,102.0,91.2,0.328,0.328,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.219,Amway Center,777852,64,22.3,3.03,3.1,6.13,8.71,3005,1571,3.881000785,1.107862219,4.988863004,6.201026539,5.889267345,0.311759194,3.977624299,0.948636612,4.926260911,0.062612753,64,43,21,22.3,99.5,3.5,16.1,23.5,0.5,14.6,0.6,28.8,7.2,4.6,4.7,16.6,0.106,0.1
3,2011-12,2012,Ryan Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,ORL,NBA,PF,61,61,32.2,5.4,12.4,0.439,2.7,6.9,0.393,2.7,5.5,0.496,0.548,2.5,2.8,0.877,3.7,4.0,7.7,0.9,0.8,0.4,0.9,2.4,16.1,1964,9.1,20.8,0.439,4.6,11.6,0.393,4.6,9.2,0.496,4.1,4.7,0.877,6.1,6.8,12.9,1.5,1.4,0.7,1.6,4.0,26.9,124,105,1964,21.2,0.589,0.557,0.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,7.0,1.9,8.9,0.219,5.2,-1.1,4.0,3.0,66.0,15965.0,2275.0,5162.0,0.441,670.0,1785.0,0.375,1605.0,3377.0,0.475,995.0,1508.0,0.66,742.0,2060.0,2802.0,1321.0,451.0,275.0,984.0,1168.0,6215.0,66.0,15965.0,2372.0,5287.0,0.449,414.0,1192.0,0.347,1958.0,4095.0,0.478,1005.0,1302.0,0.772,667.0,2061.0,2728.0,1350.0,495.0,273.0,867.0,1308.0,6163.0,37,29,35,31,0.79,-0.33,0.46,105.0,104.1,89.0,0.292,0.346,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,Amway Center,623587,61,32.2,3.71,1.74,5.45,10.0,3997,2136,5.325460345,0.022699248,5.348159592,8.78034368,8.763291549,0.017052131,5.410571009,0.547679057,5.958250066,-0.206673635,61,36,25,32.2,101.9,4.0,13.3,19.5,0.8,17.0,0.4,16.0,10.3,7.5,7.7,25.2,0.101,-0.42
4,2012-13,2013,Ryan Anderson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,NOH,NBA,PF,81,22,30.9,5.8,13.8,0.423,2.6,6.9,0.382,3.2,6.9,0.464,0.519,1.9,2.2,0.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2,2503,10.2,24.2,0.423,4.6,12.1,0.382,5.6,12.1,0.464,3.3,3.9,0.844,4.1,7.1,11.2,2.1,0.9,0.7,2.1,3.9,28.4,114,112,2503,18.1,0.548,0.5,0.161,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,5.7,0.8,6.5,0.125,4.1,-2.1,2.0,2.5,82.0,19780.0,2955.0,6589.0,0.448,535.0,1474.0,0.363,2420.0,5115.0,0.473,1269.0,1636.0,0.776,988.0,2426.0,3414.0,1721.0,520.0,440.0,1193.0,1673.0,7714.0,82.0,19780.0,3030.0,6435.0,0.471,632.0,1688.0,0.374,2398.0,4747.0,0.505,1339.0,1764.0,0.759,835.0,2391.0,3226.0,1915.0,648.0,492.0,1086.0,1534.0,8031.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,81,30.9,2.68,-0.94,1.74,6.92,4668,2503,3.017537643,-3.257991763,-0.240454121,3.202271197,3.202271197,0.0,3.551147314,-2.56161889,0.989528425,-0.072502894,81,27,54,30.9,110.0,4.0,14.4,21.7,0.5,13.7,0.4,11.7,11.2,8.7,8.1,27.8,0.03,-2.64
5,2013-14,2014,Ryan Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,NOP,NBA,PF,22,14,36.1,7.0,16.1,0.438,3.0,7.5,0.409,4.0,8.6,0.463,0.532,2.7,2.8,0.952,3.0,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8,795,10.2,23.2,0.438,4.4,10.7,0.409,5.8,12.4,0.463,3.9,4.1,0.952,4.3,5.0,9.3,1.1,0.7,0.5,1.3,3.1,28.6,120,115,795,18.8,0.572,0.463,0.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,2.2,0.1,2.3,0.138,4.5,-3.2,1.4,0.6,82.0,19855.0,3101.0,6761.0,0.459,486.0,1303.0,0.373,2615.0,5458.0,0.479,1489.0,1936.0,0.769,933.0,2486.0,3419.0,1745.0,647.0,523.0,1129.0,1857.0,8177.0,82.0,19855.0,3055.0,6567.0,0.465,652.0,1827.0,0.357,2403.0,4740.0,0.507,1637.0,2176.0,0.752,881.0,2538.0,3419.0,1845.0,577.0,504.0,1185.0,1664.0,8399.0,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,672029,22,36.1,2.43,0.41,2.84,3.01,1571,795,3.904641047,-3.257882887,0.64675816,1.367284635,1.367284635,0.0,3.638971158,-2.223769577,1.415201581,-0.728960451,22,12,10,36.1,110.3,3.5,9.8,15.4,0.5,8.2,0.3,7.6,11.7,10.6,9.6,33.0,0.043,-2.45
6,2014-15,2015,Ryan Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,NOP,NBA,PF,61,5,27.5,4.8,12.0,0.399,2.0,5.9,0.34,2.8,6.1,0.457,0.483,2.1,2.5,0.854,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,13.7,1675,9.1,22.9,0.399,3.8,11.3,0.34,5.3,11.6,0.457,4.0,4.7,0.854,3.4,5.9,9.3,1.7,1.0,0.6,1.9,3.5,26.1,109,110,1675,15.6,0.524,0.492,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,2.6,0.9,3.5,0.1,1.8,-2.1,-0.3,0.7,82.0,19780.0,3108.0,6795.0,0.457,586.0,1583.0,0.37,2522.0,5212.0,0.484,1345.0,1790.0,0.751,942.0,2621.0,3563.0,1806.0,553.0,510.0,1087.0,1530.0,8147.0,82.0,19780.0,3108.0,6814.0,0.456,537.0,1605.0,0.335,2571.0,5209.0,0.494,1329.0,1751.0,0.759,870.0,2537.0,3407.0,1700.0,555.0,475.0,1003.0,1533.0,8082.0,45,37,43,39,0.79,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,683757,61,27.5,1.8,-2.51,-0.71,2.27,3472,1770,1.747884252,-1.693287517,0.054596735,2.528884993,2.069681473,0.45920352,2.274176494,-1.362515793,0.911660701,-0.253994876,61,33,28,27.5,108.4,3.1,11.4,17.4,0.5,14.2,0.3,9.9,8.2,7.5,7.9,27.5,0.041,-3.1
7,2015-16,2016,Ryan Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,NOP,NBA,PF,66,7,30.4,6.0,14.1,0.427,2.0,5.4,0.366,4.0,8.7,0.466,0.498,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0,2008,9.8,22.9,0.427,3.2,8.8,0.366,6.6,14.1,0.466,4.9,5.6,0.873,3.2,6.5,9.8,1.8,0.9,0.6,2.2,2.7,27.8,108,112,2008,17.2,0.546,0.385,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,3.1,0.8,3.9,0.092,2.2,-2.4,-0.2,0.9,82.0,19780.0,3153.0,7040.0,0.448,702.0,1951.0,0.36,2451.0,5089.0,0.482,1415.0,1823.0,0.776,782.0,2712.0,3494.0,1818.0,633.0,342.0,1102.0,1713.0,8423.0,82.0,19780.0,3218.0,6877.0,0.468,754.0,2043.0,0.369,2464.0,4834.0,0.51,1544.0,1972.0,0.783,730.0,2912.0,3642.0,1899.0,602.0,423.0,1127.0,1630.0,8734.0,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,96.8,0.259,0.277,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,Smoothie King Center,688549,66,30.4,1.19,-0.06,1.13,5.0,4154,2008,1.971410252,0.294975642,2.266385895,5.151366157,5.151366157,0.0,1.526434809,-0.078163304,1.448271505,0.231404425,66,24,42,30.4,106.9,4.0,13.6,19.6,0.6,11.7,0.4,12.9,9.3,7.6,7.2,28.5,0.067,-1.61
8,2016-17,2017,Ryan Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,HOU,NBA,PF,72,72,29.4,4.5,10.7,0.418,2.8,7.0,0.403,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6,2116,7.3,17.5,0.418,4.6,11.5,0.403,2.7,6.1,0.446,2.9,3.4,0.86,2.5,4.9,7.5,1.5,0.7,0.3,1.2,3.2,22.2,119,113,2116,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,0.117,1.7,-2.0,-0.4,0.9,82.0,19780.0,3305.0,7152.0,0.462,1181.0,3306.0,0.357,2124.0,3846.0,0.552,1667.0,2177.0,0.766,892.0,2746.0,3638.0,2070.0,670.0,352.0,1240.0,1634.0,9458.0,82.0,19780.0,3375.0,7286.0,0.463,820.0,2389.0,0.343,2555.0,4897.0,0.522,1415.0,1819.0,0.778,878.0,2735.0,3613.0,1979.0,697.0,409.0,1235.0,1674.0,8985.0,55,27,55,27,5.77,0.08,5.84,114.7,109.0,100.0,0.304,0.462,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,Toyota Center,695903,72,29.4,1.43,0.3,1.73,5.46,5094,2452,0.6852407,-0.441393565,0.243847135,3.743713308,3.231499239,0.51221407,1.31294914,-0.643147141,0.669801999,-0.434023213,72,50,22,29.4,107.0,3.0,10.3,14.8,0.4,8.5,0.2,7.7,10.5,8.0,8.3,30.3,0.086,-0.61
9,2017-18,2018,Ryan Anderson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,HOU,NBA,PF,66,50,26.1,3.1,7.3,0.431,2.0,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,1725,5.9,13.7,0.431,3.7,9.7,0.386,2.2,4.0,0.539,2.1,2.7,0.774,2.7,6.8,9.4,1.7,0.7,0.6,1.2,3.6,17.6,121,109,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9,82.0,19755.0,3174.0,6906.0,0.46,1256.0,3470.0,0.362,1918.0,3436.0,0.558,1609.0,2061.0,0.781,739.0,2825.0,3564.0,1767.0,699.0,392.0,1135.0,1597.0,9213.0,82.0,19755.0,3244.0,7017.0,0.462,829.0,2365.0,0.351,2415.0,4652.0,0.519,1201.0,1610.0,0.746,710.0,2738.0,3448.0,1837.0,609.0,363.0,1194.0,1670.0,8518.0,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,97.6,0.298,0.502,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,732722,66,26.1,0.78,-0.84,-0.06,1.76,3780,1820,-0.075239761,0.176852786,0.101613024,2.652481683,2.746514786,-0.094033102,0.516368131,-0.128649254,0.387718877,0.021423583,66,52,14,26.1,106.9,3.6,13.9,19.3,0.4,8.7,0.3,13.5,8.8,6.1,7.2,27.5,0.077,-0.93
