,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,CHI,NBA,PG,82,74,30.4,5.0,10.0,0.499,0.8,1.7,0.453,4.2,8.3,0.508,0.537,1.6,1.8,0.861,0.3,1.5,1.8,4.0,0.8,0.1,1.0,2.1,12.3,2492,8.5,17.0,0.499,1.3,2.9,0.453,7.2,14.1,0.508,2.7,3.1,0.861,0.6,2.5,3.1,6.9,1.4,0.1,1.7,3.5,21.0,123,111,2492,14.7,0.57,0.17,0.185,1.2,5.8,3.4,18.6,1.4,0.2,8.6,16.8,5.7,1.7,7.5,0.144,0.8,-0.6,0.2,1.4,82.0,19830,3475,7205,0.482,244,669,0.365,3231,6536,0.494,1431,1952,0.733,1290,2283,3573,2133,783,410,1103,1804,8625,82.0,19830,3139,6622,0.474,247,685,0.361,2892,5937,0.487,1584,2033,0.779,1039,2265,3304,1918,595,357,1372,1731,8109,57,25,58,24,6.29,-0.1,6.19,112.9,106.1,92.5,0.271,0.093,0.499,12.0,36.3,0.199,0.493,15.4,68.7,0.239,Chicago Stadium,759656,0,0,0.0,0.0,0.0,0.0,6056,3135,1.934570107,-1.114189283,0.820380824,5.757237952,4.122832122,1.63440583,1.666852162,-0.711968638,0.954883524,-0.368976656,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26,CHI,NBA,PG,82,82,33.8,5.8,12.3,0.476,0.7,1.6,0.444,5.1,10.6,0.481,0.505,2.4,2.8,0.855,0.3,1.7,2.1,3.9,1.0,0.1,1.6,1.8,14.8,2770,9.0,19.0,0.476,1.1,2.5,0.444,7.9,16.4,0.481,3.7,4.3,0.855,0.5,2.7,3.2,6.1,1.5,0.2,2.5,2.8,22.9,113,107,2770,14.5,0.547,0.134,0.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,4.9,2.6,7.5,0.13,0.3,-0.4,-0.1,1.3,82.0,19780,3245,6815,0.476,233,659,0.354,3012,6156,0.489,1310,1859,0.705,1143,2391,3534,2102,740,354,1306,1750,8033,82.0,19780,3029,6542,0.463,252,780,0.323,2777,5762,0.482,1470,1987,0.74,985,2240,3225,1840,730,374,1335,1725,7780,55,27,50,32,3.09,-0.22,2.87,106.1,102.7,91.9,0.273,0.097,0.493,14.6,33.8,0.192,0.482,15.3,70.8,0.225,Chicago Stadium,760816,0,0,0.0,0.0,0.0,0.0,6010,3130,0.981705171,-0.654052223,0.327652948,4.945056115,3.98190163,0.963154484,0.761894926,-0.305981433,0.455913492,-0.496979209,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,CHI,NBA,PG,82,82,31.4,5.1,10.9,0.468,1.3,3.1,0.427,3.8,7.8,0.484,0.528,2.5,2.8,0.884,0.3,2.0,2.3,3.0,1.0,0.1,1.3,1.9,14.0,2577,8.5,18.1,0.468,2.2,5.1,0.427,6.3,13.0,0.484,4.2,4.7,0.884,0.5,3.3,3.8,4.9,1.7,0.2,2.1,3.2,23.3,119,108,2577,15.1,0.577,0.283,0.261,1.1,7.4,4.3,14.7,1.7,0.2,9.4,19.0,5.4,2.8,8.1,0.152,1.0,-0.1,1.0,1.9,82.0,19830,3191,6710,0.476,443,1187,0.373,2748,5523,0.498,1500,2065,0.726,1106,2294,3400,1970,797,352,1297,1962,8325,82.0,19830,2923,6399,0.457,401,1150,0.349,2522,5249,0.48,1682,2280,0.738,1068,2252,3320,1713,687,369,1485,1892,7929,47,35,54,28,4.83,-0.51,4.32,109.5,104.3,92.0,0.308,0.177,0.509,14.5,32.9,0.224,0.488,16.7,68.2,0.263,United Center,926218,0,0,0.0,0.0,0.0,0.0,5527,2865,1.394398578,-0.307841444,1.086557135,5.602803024,4.999918603,0.602884421,1.241515091,-0.017446903,1.224068189,-0.410747151,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,GSW,NBA,PG,82,64,27.6,4.1,8.9,0.468,1.2,2.5,0.473,3.0,6.3,0.465,0.535,2.9,3.4,0.839,0.3,2.0,2.2,4.9,0.8,0.1,1.6,1.8,12.3,2262,7.7,16.5,0.468,2.2,4.7,0.473,5.5,11.8,0.465,5.3,6.3,0.839,0.5,3.7,4.2,9.1,1.5,0.1,2.9,3.3,23.0,123,113,2262,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,6.2,0.8,7.0,0.149,2.7,-0.8,1.8,2.2,82.0,19755,3056,6700,0.456,447,1199,0.373,2609,5501,0.474,1775,2340,0.759,1173,2285,3458,1889,706,470,1343,1835,8334,82.0,19755,3206,6753,0.475,477,1308,0.365,2729,5445,0.501,1564,2097,0.746,1114,2292,3406,2098,698,385,1375,1959,8453,36,46,37,45,-1.45,0.03,-1.42,108.4,109.9,93.4,0.349,0.179,0.489,14.8,33.9,0.265,0.51,15.2,67.2,0.232,Oakland-Alameda County Coliseum Arena,616025,0,0,0.0,0.0,0.0,0.0,4452,2262,2.934618801,-1.747920531,1.186698271,4.513252152,4.513252152,0.0,2.420717485,-1.591157215,0.82956027,-0.61333083,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,GSW,NBA,PG,49,17,20.8,3.0,6.7,0.453,0.5,1.8,0.278,2.5,4.8,0.519,0.491,1.4,1.6,0.861,0.1,1.4,1.5,2.6,0.5,0.0,1.1,1.1,7.9,1020,7.6,16.7,0.453,1.3,4.6,0.278,6.3,12.1,0.519,3.5,4.0,0.861,0.4,3.4,3.8,6.5,1.3,0.1,2.7,2.9,19.9,110,116,1020,12.9,0.538,0.275,0.242,0.8,7.8,4.3,20.3,1.3,0.2,12.8,18.1,1.4,-0.1,1.3,0.061,-0.5,-1.8,-2.3,-0.1,82.0,19905,2997,6567,0.456,481,1363,0.353,2516,5204,0.483,1696,2180,0.778,1086,2259,3345,1822,611,359,1410,1787,8171,82.0,19905,3199,6735,0.475,581,1558,0.373,2618,5177,0.506,1578,2103,0.75,1089,2272,3361,2159,824,395,1288,1886,8557,30,52,28,54,-4.71,-0.2,-4.9,107.2,112.2,91.9,0.332,0.208,0.493,15.8,32.3,0.258,0.518,14.4,67.5,0.234,San Jose Arena,621844,49,20.8,0.03,-1.33,-1.3,1.18,1975,1020,-0.151093463,-2.51397108,-2.665064543,0.044052174,0.044052174,0.0,-0.515418058,-2.715942051,-3.231360109,-0.306742411,49,19,30,20.8,109.8,1.3,6.8,11.7,0.5,17.2,0.0,2.2,7.7,6.5,5.1,18.3,0.023,0
5,1997-98,1998,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,GSW,NBA,PG,4,0,14.8,1.5,4.8,0.316,0.0,0.3,0.0,1.5,4.5,0.333,0.316,1.3,1.8,0.714,1.0,0.8,1.8,1.5,1.0,0.0,1.8,1.5,4.3,59,5.3,16.9,0.316,0.0,0.9,0.0,5.3,16.0,0.333,4.4,6.2,0.714,3.6,2.7,6.2,5.3,3.6,0.0,6.2,5.3,15.1,76,106,59,6.3,0.385,0.053,0.368,7.0,5.6,6.3,16.5,3.6,0.0,24.1,21.5,-0.2,0.1,-0.1,-0.092,-6.7,0.3,-6.4,-0.1,82.0,19830,2845,6883,0.413,189,696,0.272,2656,6187,0.429,1358,1912,0.71,1288,2473,3761,1708,621,448,1369,1859,7237,82.0,19830,2992,6742,0.444,334,962,0.347,2658,5780,0.46,1667,2286,0.729,1134,2535,3669,2011,757,478,1154,1638,7985,19,63,17,65,-9.12,-0.08,-9.2,95.8,105.7,91.4,0.278,0.101,0.427,15.1,33.7,0.197,0.469,13.0,68.6,0.247,The Arena in Oakland,444922,66,12.6,1.36,-2.07,-0.71,1.22,1825,977,0.743138309,-1.075606816,-0.332468507,1.208879615,1.091077408,0.117802207,0.085682427,-1.510518623,-1.424836197,0.062365343,66,36,30,12.6,103.3,0.9,7.5,12.1,0.4,19.7,0.0,0.0,4.9,3.9,4.2,10.8,0.034,0
6,1997-98,1998,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,CHH,NBA,PG,62,0,12.5,1.6,3.1,0.51,0.1,0.5,0.265,1.5,2.6,0.563,0.534,0.6,0.7,0.86,0.2,0.9,1.1,2.3,0.4,0.0,0.6,1.1,3.9,772,6.9,13.5,0.51,0.6,2.4,0.265,6.3,11.1,0.563,2.6,3.0,0.86,0.8,4.0,4.8,10.0,1.7,0.0,2.4,4.7,17.0,120,108,772,15.2,0.573,0.175,0.222,1.9,8.8,5.4,30.0,1.7,0.0,14.1,14.9,1.8,0.5,2.3,0.141,0.5,0.1,0.6,0.5,82.0,19780,2968,6344,0.468,346,904,0.383,2622,5440,0.482,1641,2186,0.751,985,2341,3326,1941,691,312,1247,1757,7923,82.0,19780,2977,6417,0.464,369,1063,0.347,2608,5354,0.487,1436,1964,0.731,965,2259,3224,1806,582,372,1240,1902,7759,51,31,47,35,2.0,0.45,2.45,107.5,105.3,89.4,0.345,0.142,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,66,12.6,1.36,-2.07,-0.71,1.22,1825,977,0.743138309,-1.075606816,-0.332468507,1.208879615,1.091077408,0.117802207,0.085682427,-1.510518623,-1.424836197,0.062365343,66,36,30,12.6,103.3,0.9,7.5,12.1,0.4,19.7,0.0,0.0,4.9,3.9,4.2,10.8,0.034,0
7,1998-99,1999,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,CHH,NBA,PG,10,1,17.8,2.1,4.3,0.488,0.6,0.8,0.75,1.5,3.5,0.429,0.558,0.9,1.0,0.9,0.1,1.5,1.6,2.7,0.3,0.0,1.0,1.6,5.7,178,6.3,12.9,0.488,1.8,2.4,0.75,4.5,10.5,0.429,2.7,3.0,0.9,0.3,4.5,4.8,8.1,0.9,0.0,3.0,4.8,17.1,113,107,178,13.3,0.601,0.186,0.233,0.7,9.5,5.3,26.6,0.9,0.0,17.4,15.3,0.3,0.1,0.4,0.114,0.2,-0.7,-0.5,0.1,50.0,12150,1671,3718,0.449,268,735,0.365,1403,2983,0.47,1034,1384,0.747,480,1493,1973,1110,443,247,796,1101,4644,50.0,12150,1739,4003,0.434,212,637,0.333,1527,3366,0.454,959,1306,0.734,655,1491,2146,1092,443,232,762,1151,4649,26,24,25,25,-0.1,0.73,0.63,102.3,102.4,89.7,0.372,0.198,0.485,15.5,24.4,0.278,0.461,14.3,69.5,0.24,Charlotte Coliseum,480807,32,11.2,-0.73,-1.1,-1.82,0.34,679,361,-0.894496003,-1.403840781,-2.298336784,0.083933062,0.131842159,-0.047909097,-1.560434416,-1.891725379,-3.452159795,0.274516683,32,18,14,11.1,95.8,1.2,9.8,15.1,0.4,27.9,0.0,0.0,4.0,2.8,2.6,8.3,0.047,0
8,1998-99,1999,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,ORL,NBA,PG,22,0,8.2,0.9,2.0,0.422,0.0,0.3,0.143,0.8,1.7,0.474,0.433,0.4,0.5,0.818,0.0,1.0,1.0,1.5,0.4,0.0,0.7,0.7,2.2,180,5.7,13.5,0.422,0.3,2.1,0.143,5.4,11.4,0.474,2.7,3.3,0.818,0.3,6.6,6.9,10.2,2.7,0.0,4.5,4.5,14.4,96,97,180,12.4,0.482,0.156,0.244,0.6,14.4,7.4,31.8,2.7,0.0,23.1,16.3,0.0,0.3,0.3,0.087,-3.3,1.4,-1.9,0.0,50.0,12050,1687,3943,0.428,223,675,0.33,1464,3268,0.448,876,1252,0.7,688,1445,2133,1067,496,213,819,935,4473,50.0,12050,1708,3856,0.443,230,667,0.345,1478,3189,0.463,697,986,0.707,595,1424,2019,1039,468,239,863,1111,4343,33,17,30,20,2.6,0.51,3.11,100.3,97.4,88.8,0.318,0.171,0.456,15.4,32.6,0.222,0.473,16.7,70.8,0.181,Orlando Arena,411091,32,11.2,-0.73,-1.1,-1.82,0.34,679,361,-0.894496003,-1.403840781,-2.298336784,0.083933062,0.131842159,-0.047909097,-1.560434416,-1.891725379,-3.452159795,0.274516683,32,18,14,11.1,95.8,1.2,9.8,15.1,0.4,27.9,0.0,0.0,4.0,2.8,2.6,8.3,0.047,0
9,1999-00,2000,B.J. Armstrong,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,CHI,NBA,PG,27,18,21.6,3.1,6.9,0.446,0.5,1.1,0.448,2.6,5.8,0.446,0.481,0.8,0.9,0.88,0.1,1.7,1.7,2.9,0.3,0.0,1.5,1.3,7.4,583,7.6,17.1,0.446,1.2,2.7,0.448,6.4,14.5,0.446,2.0,2.3,0.88,0.2,4.1,4.3,7.2,0.6,0.1,3.7,3.1,18.5,98,110,583,10.7,0.51,0.156,0.134,0.4,9.2,4.7,26.5,0.6,0.1,16.9,18.6,0.2,0.2,0.4,0.03,-1.8,-2.0,-3.8,-0.3,82.0,19805,2565,6180,0.415,340,1032,0.329,2225,5148,0.432,1482,2089,0.709,1032,2323,3355,1645,646,383,1557,1908,6952,82.0,19805,2916,6396,0.456,358,1049,0.341,2558,5347,0.478,1533,2070,0.741,1000,2416,3416,1902,853,461,1244,1966,7723,17,65,15,67,-9.4,0.17,-9.23,94.2,104.6,89.4,0.338,0.167,0.443,18.0,29.9,0.24,0.484,14.5,69.9,0.24,United Center,907064,27,21.6,-2.13,-1.1,-3.22,-0.3,1098,583,-1.851366968,-2.907208706,-4.758575674,-0.594066204,-0.594066204,0.0,-2.608208577,-3.232529697,-5.840738274,-0.532690328,27,5,22,21.6,99.7,1.7,8.1,12.5,0.3,7.8,0.0,2.0,10.0,5.3,5.5,15.4,0.075,0
