,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Stacey Augmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,ATL,NBA,SG,73,66,28.9,5.4,10.8,0.501,0.0,0.1,0.0,5.4,10.8,0.504,0.501,3.1,4.2,0.739,1.9,2.0,3.9,2.3,1.2,0.2,2.2,1.9,14.0,2112,9.2,18.4,0.501,0.0,0.1,0.0,9.2,18.4,0.504,5.3,7.2,0.739,3.3,3.4,6.7,4.0,2.1,0.4,3.7,3.3,23.8,109,112,2112,15.2,0.551,0.005,0.388,7.2,8.0,7.6,12.1,2.1,0.5,14.5,21.2,2.5,1.2,3.7,0.084,0.2,-0.6,-0.4,0.8,82.0,19830.0,3392.0,7272.0,0.466,382.0,1076.0,0.355,3010.0,6196.0,0.486,1648.0,2221.0,0.742,1290.0,2344.0,3634.0,2084.0,806.0,278.0,1339.0,1807.0,8814.0,82.0,19830.0,3509.0,7074.0,0.496,281.0,833.0,0.337,3228.0,6241.0,0.517,1586.0,2092.0,0.758,1080.0,2413.0,3493.0,2189.0,735.0,363.0,1363.0,1881.0,8885.0,43,39,39,43,-0.87,0.2,-0.67,109.3,110.2,97.6,0.305,0.148,0.493,14.0,34.8,0.227,0.516,14.6,68.5,0.224,Omni Coliseum,491229,0,0,0.0,0.0,0.0,0.0,4523,2205,-0.022413076,-1.066890496,-1.089303572,1.863665522,1.800329407,0.063336115,-0.269549075,-1.096425609,-1.365974684,-0.281574644,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Stacey Augmon,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,ATL,NBA,SG,82,82,31.8,5.4,10.5,0.51,0.0,0.1,0.143,5.3,10.4,0.513,0.51,4.1,5.3,0.764,2.2,2.6,4.8,2.3,1.8,0.5,1.8,2.2,14.8,2605,8.6,16.8,0.51,0.0,0.1,0.143,8.6,16.7,0.513,6.5,8.5,0.764,3.5,4.2,7.7,3.7,2.9,0.9,2.9,3.5,23.7,116,102,2605,17.9,0.576,0.008,0.506,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,5.7,4.0,9.7,0.179,1.3,1.4,2.7,3.1,82.0,19755.0,3247.0,7039.0,0.461,268.0,830.0,0.323,2979.0,6209.0,0.48,1556.0,2070.0,0.752,1250.0,2423.0,3673.0,2056.0,915.0,449.0,1252.0,1625.0,8318.0,82.0,19755.0,3163.0,6954.0,0.455,275.0,872.0,0.315,2888.0,6082.0,0.475,1285.0,1732.0,0.742,1157.0,2358.0,3515.0,1897.0,641.0,338.0,1465.0,1722.0,7886.0,57,25,56,26,5.27,-0.33,4.94,107.2,101.7,94.2,0.294,0.118,0.48,13.6,34.6,0.221,0.475,16.0,67.7,0.185,Omni Coliseum,537547,0,0,0.0,0.0,0.0,0.0,5773,2929,1.627368303,1.105113729,2.732482032,8.152314147,7.702749468,0.449564679,1.212014417,1.170059828,2.382074245,-0.289401685,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Stacey Augmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,ATL,NBA,SG,76,76,31.1,5.2,11.5,0.453,0.1,0.3,0.269,5.1,11.2,0.459,0.457,3.3,4.6,0.728,2.1,2.8,4.8,2.6,1.3,0.6,2.0,2.1,13.9,2362,9.0,19.8,0.453,0.2,0.6,0.269,8.8,19.2,0.459,5.7,7.8,0.728,3.6,4.8,8.3,4.5,2.3,1.1,3.4,3.7,23.8,106,106,2362,16.0,0.512,0.03,0.395,7.6,10.7,9.1,14.3,2.3,1.5,12.9,22.7,1.9,3.2,5.1,0.103,0.1,0.6,0.7,1.6,82.0,19855.0,2986.0,6680.0,0.447,539.0,1580.0,0.341,2447.0,5100.0,0.48,1410.0,1948.0,0.724,1104.0,2272.0,3376.0,1757.0,738.0,412.0,1221.0,1804.0,7921.0,82.0,19855.0,3001.0,6485.0,0.463,420.0,1212.0,0.347,2581.0,5273.0,0.489,1394.0,1919.0,0.726,1051.0,2391.0,3442.0,1733.0,608.0,320.0,1359.0,1815.0,7816.0,42,40,45,37,1.28,-0.22,1.06,106.6,105.2,89.8,0.292,0.237,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,Omni Coliseum,504807,0,0,0.0,0.0,0.0,0.0,4566,2414,-0.495186944,0.587078628,0.091891685,3.491956214,3.34152768,0.150428534,-0.739774899,0.424074503,-0.315700396,-0.412442644,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Stacey Augmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,ATL,NBA,SF,77,49,29.8,4.7,9.6,0.491,0.0,0.1,0.25,4.7,9.5,0.492,0.491,3.3,4.1,0.792,1.8,2.2,3.9,1.8,1.4,0.4,1.8,2.4,12.7,2294,8.4,17.2,0.491,0.0,0.1,0.25,8.4,17.1,0.492,5.9,7.4,0.792,3.2,3.9,7.1,3.2,2.5,0.7,3.2,4.4,22.8,112,109,2294,15.9,0.556,0.005,0.43,6.8,9.0,7.8,10.0,2.5,1.0,13.6,19.9,3.5,2.1,5.6,0.117,0.1,0.3,0.4,1.4,82.0,19730.0,2985.0,6665.0,0.448,566.0,1595.0,0.355,2419.0,5070.0,0.477,1523.0,2012.0,0.757,1182.0,2148.0,3330.0,1609.0,771.0,319.0,1228.0,1714.0,8059.0,82.0,19730.0,3044.0,6419.0,0.474,479.0,1329.0,0.36,2565.0,5090.0,0.504,1392.0,1865.0,0.746,1054.0,2292.0,3346.0,1841.0,580.0,338.0,1405.0,1807.0,7959.0,46,36,45,37,1.22,0.07,1.29,109.4,108.0,89.6,0.302,0.239,0.49,14.0,34.0,0.229,0.512,16.3,67.1,0.217,Omni Coliseum,496668,0,0,0.0,0.0,0.0,0.0,4893,2608,-0.024036518,0.37193155,0.347895032,4.121899834,3.656178923,0.465720911,-0.368927996,0.164137248,-0.204790747,-0.271232133,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Stacey Augmon,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,DET,NBA,SG,20,3,14.6,1.6,3.9,0.403,0.0,0.0,,1.6,3.9,0.403,0.403,1.4,2.1,0.683,0.7,1.8,2.5,0.8,0.5,0.5,1.4,1.5,4.5,292,6.0,15.0,0.403,0.0,0.0,,6.0,15.0,0.403,5.4,8.0,0.683,2.7,6.8,9.5,2.9,1.9,1.9,5.3,5.6,17.5,87,103,292,9.6,0.473,0.0,0.532,6.1,14.6,10.4,8.5,1.9,2.8,22.1,20.7,-0.4,0.4,0.0,0.003,-4.4,1.1,-3.3,-0.1,82.0,19830.0,2827.0,6095.0,0.464,582.0,1499.0,0.388,2245.0,4596.0,0.488,1487.0,1995.0,0.745,858.0,2292.0,3150.0,1554.0,632.0,283.0,1041.0,1652.0,7723.0,82.0,19830.0,2768.0,6231.0,0.444,528.0,1430.0,0.369,2240.0,4801.0,0.467,1229.0,1668.0,0.737,964.0,2264.0,3228.0,1795.0,488.0,282.0,1195.0,1784.0,7293.0,54,28,57,25,5.24,0.2,5.45,110.6,104.4,84.5,0.327,0.246,0.512,13.0,27.5,0.244,0.487,14.6,70.4,0.197,The Palace of Auburn Hills,784234,60,15.7,-2.47,0.92,-1.54,0.97,1829,977,-2.506632496,0.016738396,-2.4898941,0.081391039,0.098567294,-0.017176255,-2.874142629,-0.509717691,-3.38386032,0.101914838,60,41,19,15.7,97.6,1.5,9.6,15.3,0.7,23.7,0.3,17.2,5.1,3.8,3.6,11.0,0.078,0
5,1996-97,1997,Stacey Augmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,POR,NBA,SG,40,7,16.3,1.9,3.6,0.517,0.0,0.0,,1.9,3.6,0.517,0.517,1.0,1.4,0.732,0.8,1.4,2.2,1.0,0.8,0.2,0.9,1.5,4.7,650,6.0,11.6,0.517,0.0,0.0,,6.0,11.6,0.517,3.3,4.5,0.732,2.7,4.5,7.2,3.3,2.6,0.6,3.0,4.7,15.3,108,104,650,12.1,0.564,0.0,0.392,6.2,9.9,8.1,9.8,2.6,0.8,18.1,14.2,0.6,0.9,1.5,0.109,-1.8,1.6,-0.2,0.3,82.0,19855.0,3000.0,6465.0,0.464,501.0,1401.0,0.358,2499.0,5064.0,0.493,1613.0,2261.0,0.713,1058.0,2494.0,3552.0,1710.0,640.0,435.0,1357.0,1928.0,8114.0,82.0,19855.0,2798.0,6423.0,0.436,457.0,1279.0,0.357,2341.0,5144.0,0.455,1719.0,2327.0,0.739,952.0,2197.0,3149.0,1703.0,656.0,428.0,1242.0,1887.0,7772.0,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,90.9,0.35,0.217,0.503,15.4,32.5,0.249,0.471,14.3,72.4,0.268,Rose Garden Arena,852798,60,15.7,-2.47,0.92,-1.54,0.97,1829,977,-2.506632496,0.016738396,-2.4898941,0.081391039,0.098567294,-0.017176255,-2.874142629,-0.509717691,-3.38386032,0.101914838,60,41,19,15.7,97.6,1.5,9.6,15.3,0.7,23.7,0.3,17.2,5.1,3.8,3.6,11.0,0.078,0
6,1997-98,1998,Stacey Augmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,POR,NBA,SG,71,23,20.4,2.2,5.2,0.414,0.0,0.1,0.143,2.2,5.1,0.419,0.415,1.3,2.2,0.603,1.5,1.8,3.3,1.2,0.8,0.5,1.1,2.0,5.7,1445,5.7,13.7,0.414,0.0,0.3,0.143,5.6,13.5,0.419,3.5,5.8,0.603,3.8,4.8,8.7,3.2,2.1,1.2,3.0,5.3,14.9,96,103,1445,10.3,0.457,0.019,0.419,8.7,10.2,9.5,9.8,2.1,1.6,15.5,16.3,-0.1,1.9,1.8,0.059,-2.5,0.9,-1.6,0.2,82.0,19830.0,2885.0,6397.0,0.451,324.0,1047.0,0.309,2561.0,5350.0,0.479,1640.0,2226.0,0.737,1086.0,2522.0,3608.0,1766.0,585.0,464.0,1383.0,1859.0,7734.0,82.0,19830.0,2810.0,6520.0,0.431,373.0,1087.0,0.343,2437.0,5433.0,0.449,1626.0,2253.0,0.722,1011.0,2201.0,3212.0,1764.0,770.0,445.0,1160.0,1823.0,7619.0,46,36,45,37,1.4,-0.57,0.83,104.0,102.4,90.0,0.348,0.164,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,71,20.4,-2.6,0.51,-2.09,0.77,2794,1473,-2.30971696,0.722380929,-1.587336031,0.873926773,0.873250556,0.000676217,-2.550996718,0.465488292,-2.085508427,-0.015371635,71,39,32,20.4,99.5,1.8,8.7,14.2,0.8,27.3,0.5,15.8,6.9,5.8,5.4,15.9,0.079,0
7,1998-99,1999,Stacey Augmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,POR,NBA,SF,48,21,18.2,1.6,3.6,0.448,0.0,0.0,0.0,1.6,3.6,0.453,0.448,1.1,1.6,0.684,1.0,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3,874,4.8,10.7,0.448,0.0,0.1,0.0,4.8,10.6,0.453,3.2,4.7,0.684,2.9,4.8,7.7,3.6,3.5,1.1,1.8,5.0,12.8,108,96,874,13.0,0.501,0.011,0.437,6.4,9.9,8.3,10.6,3.5,1.5,12.6,12.4,1.0,1.6,2.6,0.142,-1.0,3.7,2.7,1.0,50.0,12175.0,1747.0,3956.0,0.442,246.0,675.0,0.364,1501.0,3281.0,0.457,1002.0,1349.0,0.743,646.0,1570.0,2216.0,1073.0,411.0,290.0,771.0,1126.0,4742.0,50.0,12175.0,1644.0,3939.0,0.417,220.0,691.0,0.318,1424.0,3248.0,0.438,916.0,1263.0,0.725,616.0,1388.0,2004.0,962.0,411.0,244.0,785.0,1142.0,4424.0,35,15,36,14,6.36,-0.69,5.67,104.8,97.7,89.2,0.341,0.171,0.473,14.5,31.8,0.253,0.445,14.9,71.8,0.233,Rose Garden Arena,486556,48,18.2,-2.16,3.27,1.11,2.44,1956,1050,-0.335630493,3.194306698,2.858676206,3.012324162,2.556065177,0.456258985,-0.622234904,2.742348047,2.120113144,-0.092576593,48,33,15,18.1,91.8,1.6,9.0,14.1,1.2,32.8,0.4,17.5,5.5,5.0,3.5,12.6,0.099,0
8,1999-00,2000,Stacey Augmon,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,31,POR,NBA,SG,59,0,11.7,1.4,3.0,0.474,0.0,0.0,0.0,1.4,2.9,0.48,0.474,0.6,0.9,0.673,0.7,1.3,2.0,0.9,0.5,0.2,0.6,1.2,3.4,692,6.4,13.5,0.474,0.0,0.2,0.0,6.4,13.4,0.48,2.9,4.2,0.673,3.2,5.7,9.0,4.1,2.1,0.8,2.9,5.3,15.7,103,101,692,12.2,0.51,0.011,0.314,7.5,12.0,9.9,11.9,2.1,1.2,16.0,15.8,0.5,1.0,1.5,0.102,-1.5,1.0,-0.5,0.3,82.0,19780.0,3021.0,6430.0,0.47,407.0,1128.0,0.361,2614.0,5302.0,0.493,1542.0,2029.0,0.76,966.0,2560.0,3526.0,1925.0,633.0,396.0,1243.0,1865.0,7991.0,82.0,19780.0,2825.0,6557.0,0.431,394.0,1195.0,0.33,2431.0,5362.0,0.453,1422.0,1985.0,0.716,978.0,2220.0,3198.0,1705.0,652.0,350.0,1186.0,1872.0,7466.0,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,89.9,0.316,0.175,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217,Rose Garden Arena,835078,59,11.7,-2.04,-1.45,-3.48,-0.47,1373,726,-1.744304761,0.275189183,-1.469115578,0.464356359,0.582736518,-0.118380159,-2.142623003,-0.345558189,-2.488181192,0.030229553,59,42,17,11.7,102.7,1.3,10.7,17.5,0.5,24.3,0.2,14.9,4.6,3.7,3.3,9.2,0.03,0
9,2000-01,2001,Stacey Augmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,POR,NBA,SG,66,23,17.9,1.9,4.0,0.477,0.0,0.1,0.0,1.9,4.0,0.485,0.477,0.9,1.3,0.655,0.9,1.5,2.4,1.5,0.7,0.3,0.7,1.6,4.7,1182,5.8,12.1,0.477,0.0,0.2,0.0,5.8,11.9,0.485,2.6,4.0,0.655,2.7,4.5,7.2,4.5,2.2,1.0,2.2,4.8,14.2,107,103,1182,12.3,0.511,0.015,0.327,6.3,9.7,8.0,12.7,2.2,1.3,13.6,13.9,1.3,1.2,2.5,0.102,-1.1,1.3,0.2,0.7,82.0,19780.0,3004.0,6417.0,0.468,369.0,1057.0,0.349,2635.0,5360.0,0.492,1447.0,1899.0,0.762,960.0,2481.0,3441.0,1963.0,672.0,419.0,1257.0,1745.0,7824.0,82.0,19780.0,2819.0,6436.0,0.438,406.0,1103.0,0.368,2413.0,5333.0,0.452,1436.0,1930.0,0.744,946.0,2238.0,3184.0,1745.0,646.0,324.0,1216.0,1738.0,7480.0,50,32,53,29,4.2,0.33,4.52,106.5,101.8,89.1,0.296,0.165,0.497,14.8,30.0,0.225,0.47,14.3,72.4,0.223,Rose Garden Arena,831376,66,17.9,-1.94,0.24,-1.7,0.86,2273,1210,-1.109750233,1.44233592,0.332585687,1.901157606,1.855654486,0.04550312,-1.54431143,0.92117434,-0.62313709,-0.156692249,66,43,23,17.9,96.7,1.5,8.3,13.0,0.7,21.7,0.3,14.3,6.0,4.5,4.2,13.6,0.076,0
