,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,Shane Battier,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MEM,NBA,SF,78,78,39.7,5.3,12.3,0.429,1.3,3.5,0.373,4.0,8.8,0.451,0.482,2.5,3.6,0.7,2.3,3.1,5.4,2.8,1.6,1.0,2.0,2.8,14.4,3097,7.0,16.3,0.429,1.8,4.7,0.373,5.3,11.7,0.451,3.4,4.8,0.7,3.1,4.0,7.1,3.7,2.1,1.4,2.6,3.7,19.1,104,107,3097,13.9,0.518,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,2.7,2.1,4.8,0.074,0.2,0.3,0.5,1.9,82.0,19780,2851,6535,0.436,336,1096,0.307,2515,5439,0.462,1334,1883,0.708,984,2413,3397,1785,646,488,1344,1571,7372,82.0,19780,3119,6829,0.457,398,1112,0.358,2721,5717,0.476,1346,1788,0.753,1135,2560,3695,1961,781,457,1207,1784,7982,23,59,20,62,-7.44,0.7,-6.74,98.2,106.3,91.1,0.288,0.168,0.462,15.4,27.8,0.204,0.486,13.7,68.0,0.197,Pyramid Arena,591030,78,39.7,-0.13,1.34,1.21,8.0,5945,3097,0.847033967,2.022409599,2.869443566,8.861488006,8.861488006,0.0,0.626730043,2.215415467,2.84214551,-0.183323424,78,23,55,39.7,102.6,3.1,7.8,12.4,1.6,23.5,1.0,21.1,13.9,11.2,11.2,34.7,0.11,0.0
1,2002-03,2003,Shane Battier,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MEM,NBA,SF,78,47,30.6,3.5,7.3,0.483,1.1,2.8,0.398,2.4,4.5,0.535,0.559,1.5,1.9,0.828,1.6,2.8,4.4,1.3,1.3,1.1,0.9,2.7,9.7,2383,6.0,12.4,0.483,1.9,4.7,0.398,4.1,7.7,0.535,2.6,3.2,0.828,2.8,4.7,7.5,2.3,2.2,1.9,1.5,4.5,16.4,120,107,2383,15.0,0.597,0.38,0.255,6.1,10.1,8.1,6.8,2.2,2.5,9.7,13.2,4.8,1.5,6.2,0.126,1.4,0.8,2.3,2.5,82.0,19930,3049,6743,0.452,467,1279,0.365,2582,5464,0.473,1430,1936,0.739,943,2466,3409,1892,651,500,1262,1678,7995,82.0,19930,3224,7008,0.46,431,1188,0.363,2793,5820,0.48,1381,1819,0.759,1126,2555,3681,1991,714,430,1213,1782,8260,28,54,32,50,-3.23,0.63,-2.6,103.9,107.3,92.7,0.287,0.19,0.487,14.2,27.0,0.212,0.491,13.4,68.7,0.197,Pyramid Arena,611322,78,30.6,0.45,1.14,1.59,7.59,4655,2383,1.659193824,1.920939982,3.580133806,7.681129121,7.681129121,0.0,1.4109421,2.126283284,3.537225384,-0.180538934,78,25,53,30.5,104.1,2.8,8.8,14.5,1.3,26.6,1.1,27.8,10.1,10.2,8.7,28.2,0.061,0.0
2,2003-04,2004,Shane Battier,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,MEM,NBA,SF,79,1,24.6,3.1,6.9,0.446,0.8,2.4,0.349,2.2,4.5,0.496,0.506,1.5,2.1,0.732,1.3,2.5,3.8,1.3,1.3,0.7,0.7,2.4,8.5,1947,6.5,14.7,0.446,1.8,5.0,0.349,4.8,9.6,0.496,3.2,4.4,0.732,2.8,5.4,8.2,2.7,2.7,1.6,1.5,5.0,18.1,114,102,1947,15.3,0.544,0.343,0.302,5.9,11.8,8.8,8.4,2.7,2.2,8.3,15.5,3.5,2.3,5.9,0.145,1.1,1.5,2.6,2.3,82.0,19880,2963,6657,0.445,447,1314,0.34,2516,5343,0.471,1557,2143,0.727,1047,2381,3428,1915,795,565,1226,1903,7930,82.0,19880,2859,6550,0.436,369,1091,0.338,2490,5459,0.456,1643,2150,0.764,1099,2508,3607,1674,673,461,1395,1891,7730,50,32,48,34,2.44,0.52,2.95,104.8,102.2,91.4,0.322,0.197,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251,Pyramid Arena,622723,79,24.6,0.72,1.76,2.48,7.85,3875,2016,1.892376469,1.798347859,3.690724328,6.616327773,6.686295357,-0.069967584,1.708864017,1.914797057,3.623661074,0.222725872,79,48,31,24.7,97.7,2.5,9.9,16.8,1.3,25.4,0.7,20.2,8.3,7.9,6.2,18.6,0.096,0.0
3,2004-05,2005,Shane Battier,21T,0.0,1.0,0.0,False,0.0,1.0,500.0,26,MEM,NBA,SG,80,72,31.5,3.4,7.7,0.442,0.9,2.2,0.395,2.5,5.5,0.461,0.499,2.3,2.9,0.789,2.0,3.2,5.2,1.6,1.1,1.0,0.9,2.5,9.9,2516,5.8,13.2,0.442,1.5,3.8,0.395,4.3,9.4,0.461,3.9,4.9,0.789,3.4,5.5,8.9,2.7,2.0,1.7,1.6,4.3,17.1,117,103,2516,14.8,0.555,0.289,0.372,7.6,12.1,9.8,8.3,2.0,2.4,9.5,14.8,4.4,3.4,7.8,0.149,1.1,1.3,2.4,2.8,82.0,19705,2802,6271,0.447,531,1486,0.357,2271,4785,0.475,1526,2024,0.754,887,2307,3194,1716,699,476,1197,1910,7661,82.0,19705,2684,6215,0.432,426,1215,0.351,2258,5000,0.452,1679,2179,0.771,993,2387,3380,1633,612,476,1303,1853,7473,45,37,48,34,2.29,0.34,2.64,105.5,102.9,88.5,0.323,0.237,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,FedEx Forum,691362,80,31.5,-0.95,3.51,2.56,9.23,4922,2635,1.587963166,3.275692414,4.863655579,10.20636198,10.03674681,0.169615171,1.13903651,3.218507465,4.357543975,-0.389177161,80,44,36,31.5,98.6,3.2,10.5,16.8,1.1,21.1,1.0,25.8,10.0,9.1,8.4,22.5,0.141,0.0
4,2005-06,2006,Shane Battier,10T,0.0,2.0,0.0,False,1.0,3.0,500.0,27,MEM,NBA,SF,81,81,35.0,3.7,7.7,0.488,0.8,2.0,0.394,2.9,5.6,0.522,0.54,1.8,2.6,0.707,2.0,3.3,5.3,1.7,1.1,1.4,1.1,2.8,10.1,2839,5.9,12.2,0.488,1.3,3.2,0.394,4.7,8.9,0.522,2.9,4.1,0.707,3.2,5.2,8.4,2.7,1.8,2.2,1.8,4.4,16.0,117,102,2839,14.7,0.574,0.266,0.335,7.1,11.2,9.2,8.2,1.8,3.2,11.2,13.7,4.6,4.5,9.1,0.153,0.8,1.8,2.6,3.3,82.0,19855,2746,6125,0.448,590,1578,0.374,2156,4547,0.474,1476,2077,0.711,834,2379,3213,1586,600,442,1134,1757,7558,82.0,19855,2691,6172,0.436,408,1223,0.334,2283,4949,0.461,1465,1942,0.754,927,2404,3331,1605,597,456,1213,1867,7255,49,33,52,30,3.7,0.05,3.74,105.9,101.6,86.3,0.339,0.258,0.496,13.9,25.8,0.241,0.469,14.7,72.0,0.237,FedEx Forum,647533,81,35.0,-1.79,5.22,3.43,11.33,5388,2968,0.772794595,4.311636474,5.084431069,11.80894092,11.53101427,0.277926653,0.502457766,4.013636893,4.516094659,-0.384019166,81,49,32,35.1,97.9,3.3,9.7,15.3,1.1,21.9,1.4,32.7,10.6,9.1,9.4,25.6,0.168,0.0
5,2006-07,2007,Shane Battier,5,0.0,3.0,7.0,False,1.0,86.0,500.0,28,HOU,NBA,SF,82,82,36.4,3.6,8.0,0.446,1.9,4.5,0.421,1.6,3.4,0.48,0.567,1.1,1.4,0.779,0.8,3.3,4.1,2.1,1.0,0.7,0.9,2.3,10.1,2988,5.2,11.6,0.446,2.8,6.6,0.421,2.4,5.0,0.48,1.6,2.0,0.779,1.2,4.8,6.0,3.1,1.4,1.1,1.3,3.4,14.7,119,102,2988,12.0,0.589,0.57,0.173,2.6,10.4,6.5,9.2,1.4,1.5,9.3,12.1,4.4,4.6,9.0,0.144,0.3,2.0,2.3,3.2,82.0,19855,2906,6528,0.445,705,1893,0.372,2201,4635,0.475,1436,1906,0.753,880,2673,3553,1704,583,337,1162,1710,7953,82.0,19855,2793,6503,0.429,472,1346,0.351,2321,5157,0.45,1497,2000,0.749,800,2548,3348,1588,571,353,1163,1631,7555,52,30,55,27,4.85,0.19,5.04,106.0,100.7,90.7,0.292,0.29,0.499,13.6,25.7,0.22,0.466,13.6,77.0,0.23,Toyota Center,678362,82,36.4,-1.58,2.93,1.35,8.88,6213,3260,0.222903015,2.630566476,2.853469491,9.328186984,8.196918121,1.131268862,0.062898452,2.576979239,2.639877691,-0.382568832,82,52,30,36.4,98.4,3.3,9.1,13.4,1.0,18.5,0.7,22.5,10.9,8.5,7.1,24.7,0.172,0.0
6,2007-08,2008,Shane Battier,3,0.0,4.0,11.0,False,0.0,175.0,500.0,29,HOU,NBA,SF,80,78,36.3,3.3,7.7,0.428,1.7,4.6,0.377,1.6,3.1,0.504,0.54,0.9,1.3,0.743,1.6,3.5,5.1,1.9,1.0,1.1,1.0,2.5,9.3,2907,4.8,11.3,0.428,2.5,6.7,0.377,2.3,4.6,0.504,1.4,1.8,0.743,2.4,5.0,7.4,2.8,1.4,1.6,1.4,3.6,13.6,117,103,2907,11.7,0.561,0.596,0.163,5.2,10.5,7.9,8.0,1.4,2.3,10.5,11.7,3.6,4.6,8.2,0.135,0.0,1.9,2.0,2.9,82.0,19730,3003,6698,0.448,583,1707,0.342,2420,4991,0.485,1342,1848,0.726,1002,2659,3661,1757,598,420,1125,1609,7931,82.0,19730,2852,6594,0.433,433,1186,0.365,2419,5408,0.447,1410,1912,0.737,894,2441,3335,1548,622,379,1094,1615,7547,55,27,55,27,4.68,0.15,4.83,106.8,101.6,90.4,0.276,0.255,0.492,13.0,29.1,0.2,0.465,12.8,74.8,0.214,Toyota Center,718524,80,36.3,-1.46,2.06,0.59,6.34,5978,3153,0.914554457,2.142530879,3.057085336,9.316941507,8.755530753,0.561410754,0.70870986,2.248366905,2.957076766,-0.304258505,80,54,26,36.3,99.8,3.5,9.2,13.9,1.0,16.9,1.1,26.6,11.1,9.8,9.8,26.8,0.166,0.0
7,2008-09,2009,Shane Battier,4,0.0,5.0,2.0,False,1.0,71.0,500.0,30,HOU,NBA,SG,60,59,33.9,2.4,5.9,0.41,1.5,4.0,0.384,0.9,2.0,0.462,0.538,0.9,1.1,0.821,0.9,3.9,4.8,2.3,0.8,0.9,0.8,1.9,7.3,2031,3.8,9.3,0.41,2.4,6.2,0.384,1.4,3.1,0.462,1.4,1.8,0.821,1.4,6.1,7.5,3.6,1.3,1.4,1.3,3.0,11.4,118,105,2031,10.7,0.568,0.669,0.189,3.1,12.9,8.2,10.0,1.3,1.9,11.3,9.9,2.3,2.9,5.2,0.123,0.1,1.9,2.0,2.0,82.0,19805,2959,6526,0.453,621,1656,0.375,2338,4870,0.48,1531,1903,0.805,862,2662,3524,1662,548,355,1158,1553,8070,82.0,19805,2991,6735,0.444,464,1298,0.357,2527,5437,0.465,1296,1730,0.749,873,2399,3272,1620,588,435,1012,1689,7742,53,29,53,29,4.0,-0.27,3.73,108.4,104.0,90.2,0.292,0.254,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192,Toyota Center,717669,60,33.9,-2.06,1.69,-0.37,3.34,4774,2527,0.48230136,2.124405278,2.606706638,6.943997661,5.069023176,1.874974485,0.157311989,2.201630937,2.358942925,-0.459588388,60,40,20,33.9,101.4,3.9,11.1,16.4,0.8,18.7,0.9,25.4,10.7,8.5,7.3,25.2,0.146,0.0
8,2009-10,2010,Shane Battier,15,0.0,6.0,0.0,False,0.0,5.0,500.0,31,HOU,NBA,SG,67,62,32.4,2.7,6.7,0.398,1.5,4.2,0.362,1.1,2.5,0.458,0.511,1.1,1.6,0.726,1.1,3.6,4.7,2.4,0.8,1.1,1.0,2.1,8.0,2168,4.2,10.5,0.398,2.4,6.6,0.362,1.8,4.0,0.458,1.8,2.5,0.726,1.7,5.6,7.3,3.9,1.2,1.8,1.5,3.3,12.6,114,108,2168,11.1,0.541,0.624,0.237,3.8,13.1,8.2,10.9,1.2,2.6,11.5,11.4,2.2,2.1,4.3,0.095,0.1,1.4,1.5,1.9,82.0,19905,3094,6923,0.447,646,1838,0.351,2448,5085,0.481,1561,2022,0.772,971,2471,3442,1790,583,318,1188,1712,8395,82.0,19905,3236,6810,0.475,489,1344,0.364,2747,5466,0.503,1464,1917,0.764,875,2632,3507,1716,597,532,1207,1840,8425,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,94.0,0.292,0.265,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,Toyota Center,677658,67,32.4,-1.83,2.0,0.17,4.37,4294,2168,0.083122616,1.205962576,1.289085192,4.450473256,4.450473256,0.0,-0.205514518,1.121654648,0.91614013,-0.36167127,67,36,31,32.4,105.4,3.6,11.3,17.3,0.8,17.7,1.1,39.4,10.9,9.2,9.0,28.6,0.095,0.95
9,2010-11,2011,Shane Battier,-1,0.0,6.0,0.0,False,1.0,0.0,500.0,32,HOU,NBA,SF,59,59,30.8,3.2,6.9,0.456,1.5,3.8,0.391,1.7,3.1,0.536,0.564,0.8,1.3,0.645,1.0,3.8,4.8,2.6,0.9,1.2,1.1,2.2,8.6,1818,5.2,11.4,0.456,2.5,6.3,0.391,2.7,5.1,0.536,1.4,2.1,0.645,1.6,6.3,7.9,4.3,1.5,2.0,1.8,3.6,14.3,116,108,1818,12.9,0.577,0.551,0.186,3.6,13.9,8.8,12.1,1.5,2.7,12.5,12.3,2.3,1.7,4.0,0.105,0.8,1.1,1.9,1.8,82.0,19880,3170,6975,0.454,677,1843,0.367,2493,5132,0.486,1668,2083,0.801,962,2549,3511,1955,581,371,1110,1641,8685,82.0,19880,3266,6979,0.468,448,1250,0.358,2818,5729,0.492,1526,1954,0.781,955,2552,3507,1707,588,449,1125,1754,8506,43,39,47,35,2.18,0.19,2.37,111.3,109.0,94.2,0.299,0.264,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,Toyota Center,663839,82,29.0,-0.11,-0.02,-0.13,4.82,5331,2714,0.894790781,0.63533877,1.530129551,5.994985486,4.977895802,1.017089684,0.670366992,0.447153581,1.117520573,0.493596686,82,42,40,29.0,107.1,3.5,12.3,19.0,0.8,17.7,1.0,32.0,8.5,8.2,9.1,26.0,0.07,0.86
