,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1998-99,1999,Mike Bibby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,VAN,NBA,PG,50,50,35.2,5.2,12.1,0.43,0.3,1.5,0.203,4.9,10.6,0.461,0.442,2.5,3.4,0.751,0.6,2.1,2.7,6.5,1.6,0.1,2.9,2.4,13.2,1758,8.0,18.6,0.43,0.5,2.3,0.203,7.5,16.3,0.461,3.9,5.2,0.751,0.9,3.3,4.2,10.0,2.4,0.2,4.5,3.7,20.3,99,110,1758,14.8,0.487,0.122,0.279,2.0,7.2,4.6,35.1,2.4,0.2,17.7,21.5,1.1,0.2,1.3,0.035,-0.2,-1.6,-1.8,0.1,50.0,12175.0,1643.0,3838.0,0.428,148.0,453.0,0.327,1495.0,3385.0,0.442,1009.0,1408.0,0.717,650.0,1359.0,2009.0,964.0,420.0,199.0,848.0,1123.0,4443.0,50.0,12175.0,1813.0,3917.0,0.463,229.0,653.0,0.351,1584.0,3264.0,0.485,1021.0,1400.0,0.729,673.0,1456.0,2129.0,1189.0,490.0,328.0,779.0,1165.0,4876.0,8,42,11,39,-8.66,-0.28,-8.94,98.4,107.9,89.0,0.367,0.118,0.447,16.0,30.9,0.263,0.492,14.7,66.9,0.261,General Motors Place,417966,50,35.2,0.16,-2.01,-1.85,1.71,3297,1758,0.415265963,-1.418633697,-1.003367733,1.565659366,1.565659366,0.0,0.349056282,-0.816899897,-0.467843615,-0.054592415,50,8,42,35.1,106.8,2.1,6.4,10.6,1.6,26.9,0.1,3.6,14.5,11.2,13.5,32.2,0.019,0.0
1,1999-00,2000,Mike Bibby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,VAN,NBA,PG,82,82,38.5,5.6,12.6,0.445,0.9,2.6,0.363,4.7,10.0,0.466,0.483,2.4,3.0,0.78,0.9,2.8,3.7,8.1,1.6,0.2,3.0,2.1,14.5,3155,7.7,17.2,0.445,1.3,3.5,0.363,6.4,13.7,0.466,3.3,4.2,0.78,1.2,3.9,5.1,11.1,2.2,0.3,4.1,2.9,19.9,107,110,3155,16.7,0.521,0.206,0.242,2.8,8.9,5.8,36.2,2.2,0.3,17.8,20.0,4.5,1.1,5.6,0.086,1.9,-1.3,0.6,2.1,82.0,19855.0,2892.0,6441.0,0.449,324.0,898.0,0.361,2568.0,5543.0,0.463,1594.0,2060.0,0.774,1005.0,2324.0,3329.0,1700.0,608.0,346.0,1381.0,1881.0,7702.0,82.0,19855.0,3136.0,6613.0,0.474,361.0,1083.0,0.333,2775.0,5530.0,0.502,1530.0,1989.0,0.769,970.0,2336.0,3306.0,1932.0,725.0,519.0,1234.0,1912.0,8163.0,22,60,25,57,-5.62,0.52,-5.1,102.3,108.5,91.0,0.32,0.139,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,General Motors Place,569864,82,38.5,1.17,-3.39,-2.23,0.42,6050,3155,2.328621078,-0.827293692,1.501327386,6.810468275,6.810468275,0.0,2.301697563,-0.442210773,1.85948679,-0.451767209,82,22,60,38.5,108.1,2.8,7.9,12.7,1.6,28.8,0.2,5.4,15.1,11.5,13.7,36.1,0.029,0.0
2,2000-01,2001,Mike Bibby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,VAN,NBA,PG,82,82,38.9,6.4,14.1,0.454,1.3,3.5,0.379,5.1,10.6,0.478,0.5,1.7,2.3,0.761,0.6,3.1,3.7,8.4,1.3,0.1,3.0,1.8,15.9,3190,8.6,19.0,0.454,1.8,4.7,0.379,6.8,14.3,0.478,2.3,3.1,0.761,0.8,4.2,5.0,11.2,1.8,0.2,4.1,2.4,21.4,104,108,3190,16.8,0.525,0.246,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,4.0,1.4,5.3,0.081,2.0,-1.2,0.7,2.2,82.0,19780.0,2870.0,6539.0,0.439,325.0,947.0,0.343,2545.0,5592.0,0.455,1457.0,1892.0,0.77,894.0,2431.0,3325.0,1899.0,586.0,359.0,1291.0,1733.0,7522.0,82.0,19780.0,3143.0,6791.0,0.463,389.0,1075.0,0.362,2754.0,5716.0,0.482,1317.0,1798.0,0.732,1052.0,2534.0,3586.0,1935.0,710.0,476.0,1217.0,1768.0,7992.0,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,91.7,0.289,0.145,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,General Motors Place,563218,82,38.9,1.86,-3.01,-1.15,3.63,6164,3190,2.505724274,-1.345189892,1.160534382,6.327821566,6.327821566,0.0,2.373328023,-0.953824895,1.419503128,-0.532782587,82,23,59,38.9,104.7,3.1,8.2,13.2,1.3,22.6,0.1,4.3,14.7,12.0,12.0,35.0,0.063,0.0
3,2001-02,2002,Mike Bibby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,SAC,NBA,PG,80,80,33.2,5.6,12.3,0.453,0.6,1.7,0.37,4.9,10.6,0.466,0.479,1.9,2.4,0.803,0.5,2.3,2.8,5.0,1.1,0.2,1.7,1.7,13.7,2659,8.4,18.6,0.453,1.0,2.6,0.37,7.5,16.0,0.466,2.9,3.6,0.803,0.7,3.5,4.2,7.6,1.6,0.3,2.5,2.5,20.7,107,105,2659,14.9,0.513,0.14,0.196,1.5,7.3,4.5,23.0,1.6,0.4,11.1,19.7,3.7,2.6,6.3,0.113,0.3,0.0,0.4,1.6,82.0,19755.0,3267.0,7003.0,0.467,426.0,1160.0,0.367,2841.0,5843.0,0.486,1618.0,2154.0,0.751,1013.0,2702.0,3715.0,1958.0,741.0,375.0,1128.0,1560.0,8578.0,82.0,19755.0,3128.0,7108.0,0.44,386.0,1145.0,0.337,2742.0,5963.0,0.46,1312.0,1764.0,0.744,1065.0,2617.0,3682.0,1839.0,633.0,387.0,1246.0,1827.0,7954.0,61,21,61,21,7.61,0.0,7.61,109.0,101.1,95.6,0.308,0.166,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,ARCO Arena (II),709997,80,33.2,1.08,-2.45,-1.37,2.35,6665,3320,1.152465667,-0.582302837,0.57016283,5.662414982,3.645845012,2.01656997,1.16125734,-0.361672161,0.799585179,-0.594273212,80,59,21,33.2,99.5,2.3,6.4,9.9,1.1,18.0,0.2,5.7,10.3,10.0,9.2,29.1,0.127,0.0
4,2002-03,2003,Mike Bibby,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,SAC,NBA,PG,55,55,33.4,6.0,12.7,0.47,1.0,2.5,0.409,5.0,10.2,0.485,0.51,2.9,3.4,0.861,0.6,2.1,2.7,5.2,1.3,0.1,2.3,1.7,15.9,1835,9.0,19.2,0.47,1.5,3.8,0.409,7.5,15.4,0.485,4.4,5.1,0.861,0.9,3.1,4.0,7.8,2.0,0.2,3.5,2.6,24.0,109,103,1835,17.6,0.559,0.196,0.267,2.1,6.3,4.3,24.3,2.0,0.3,14.0,21.9,3.5,2.0,5.6,0.146,1.8,-0.1,1.8,1.8,82.0,19830.0,3242.0,6990.0,0.464,491.0,1288.0,0.381,2751.0,5702.0,0.482,1367.0,1832.0,0.746,900.0,2751.0,3651.0,2034.0,736.0,457.0,1192.0,1666.0,8342.0,82.0,19830.0,2991.0,7125.0,0.42,373.0,1166.0,0.32,2618.0,5959.0,0.439,1454.0,1962.0,0.741,1145.0,2614.0,3759.0,1759.0,684.0,356.0,1262.0,1635.0,7809.0,59,23,59,23,6.5,0.18,6.68,105.9,99.1,95.4,0.262,0.184,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997,55,33.4,2.34,-1.22,1.12,5.43,4495,2239,2.38803941,-0.625492122,1.762547287,5.161981106,4.11910891,1.042872196,2.303480334,-0.358714194,1.94476614,-0.456325782,55,38,17,33.4,98.1,2.1,5.5,8.6,1.3,20.6,0.1,4.0,10.5,9.7,8.3,27.0,0.132,0.0
5,2003-04,2004,Mike Bibby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,SAC,NBA,PG,82,82,36.3,6.4,14.3,0.45,1.8,4.6,0.392,4.6,9.7,0.479,0.514,3.7,4.5,0.815,0.8,2.6,3.4,5.4,1.4,0.2,2.1,1.8,18.4,2980,9.1,20.3,0.45,2.6,6.6,0.392,6.6,13.7,0.479,5.3,6.5,0.815,1.2,3.6,4.8,7.7,1.9,0.3,3.0,2.5,26.1,113,108,2980,19.3,0.564,0.323,0.319,2.6,7.8,5.3,24.5,1.9,0.4,11.6,22.9,8.0,1.3,9.3,0.151,3.4,-1.0,2.4,3.3,82.0,19780.0,3103.0,6711.0,0.462,601.0,1498.0,0.401,2502.0,5213.0,0.48,1626.0,2044.0,0.795,888.0,2492.0,3380.0,2152.0,710.0,325.0,1137.0,1586.0,8433.0,82.0,19780.0,3140.0,6920.0,0.454,409.0,1205.0,0.339,2731.0,5715.0,0.478,1333.0,1780.0,0.749,1080.0,2521.0,3601.0,1743.0,651.0,413.0,1225.0,1817.0,8022.0,55,27,55,27,5.01,0.4,5.41,110.3,104.9,92.8,0.305,0.223,0.507,13.0,26.0,0.242,0.483,13.7,69.8,0.193,ARCO Arena (II),709997,82,36.3,3.13,-2.22,0.91,8.9,6805,3477,3.695033309,-1.155758282,2.539275027,9.389776985,7.641467013,1.748309972,3.90101298,-0.724927142,3.176085839,-0.43267708,82,55,27,36.4,103.9,2.6,6.9,11.1,1.4,22.0,0.2,7.0,11.7,10.3,10.3,32.8,0.066,0.0
6,2004-05,2005,Mike Bibby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,SAC,NBA,PG,80,80,38.6,7.0,15.8,0.443,1.6,4.6,0.36,5.4,11.3,0.477,0.495,4.0,5.2,0.775,1.0,3.2,4.2,6.8,1.6,0.4,2.5,2.4,19.6,3084,9.4,21.1,0.443,2.2,6.1,0.36,7.2,15.1,0.477,5.4,6.9,0.775,1.3,4.3,5.6,9.0,2.1,0.5,3.4,3.2,26.3,112,110,3084,19.2,0.543,0.288,0.327,2.8,9.2,6.0,28.1,2.1,0.7,12.3,23.8,6.6,1.9,8.5,0.133,3.1,-0.5,2.6,3.6,82.0,19855.0,3203.0,6978.0,0.459,522.0,1396.0,0.374,2681.0,5582.0,0.48,1577.0,2004.0,0.787,1023.0,2455.0,3478.0,2005.0,674.0,316.0,1073.0,1685.0,8505.0,82.0,19855.0,3186.0,6941.0,0.459,471.0,1318.0,0.357,2715.0,5623.0,0.483,1485.0,2011.0,0.738,1102.0,2532.0,3634.0,1766.0,622.0,365.0,1204.0,1762.0,8328.0,50,32,47,35,2.16,0.4,2.56,110.5,108.2,93.0,0.287,0.2,0.496,12.0,28.8,0.226,0.493,13.3,69.0,0.214,ARCO Arena (II),709997,80,38.6,3.4,-1.92,1.48,9.75,6425,3284,3.496011327,-0.157417415,3.338593913,10.18171416,9.708503877,0.473210285,3.762976733,0.21976744,3.982744173,-0.263219525,80,48,32,38.6,106.0,3.2,8.0,13.2,1.6,23.5,0.4,12.2,11.7,12.1,10.7,35.9,0.084,0.0
7,2005-06,2006,Mike Bibby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,SAC,NBA,PG,82,82,38.6,7.3,16.9,0.432,2.3,6.1,0.386,4.9,10.8,0.458,0.501,4.2,4.9,0.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1,21.1,3167,9.8,22.8,0.432,3.2,8.2,0.386,6.7,14.6,0.458,5.6,6.6,0.849,0.5,3.5,4.0,7.3,1.4,0.2,3.3,2.8,28.5,110,109,3167,17.9,0.554,0.36,0.292,1.1,7.7,4.4,25.2,1.4,0.2,11.3,25.4,6.0,2.4,8.4,0.127,2.7,-1.2,1.5,2.8,82.0,19830.0,2954.0,6500.0,0.454,494.0,1408.0,0.351,2460.0,5092.0,0.483,1704.0,2173.0,0.784,852.0,2473.0,3325.0,1825.0,608.0,299.0,1199.0,1672.0,8106.0,82.0,19830.0,3053.0,6726.0,0.454,462.0,1316.0,0.351,2591.0,5410.0,0.479,1412.0,1891.0,0.747,953.0,2503.0,3456.0,1733.0,656.0,403.0,1199.0,1886.0,7980.0,44,38,45,37,1.54,0.07,1.61,106.7,105.0,91.9,0.334,0.217,0.492,13.9,25.4,0.262,0.488,13.7,72.2,0.21,ARCO Arena (II),709997,82,38.6,2.57,-1.46,1.11,8.58,6605,3422,2.590820842,-1.624138745,0.966682096,6.449737473,6.365864886,0.083872587,2.808154999,-1.174275809,1.63387919,-0.330594671,82,44,38,38.6,103.9,2.6,6.7,10.6,1.0,17.7,0.1,4.3,13.1,10.3,10.0,32.4,0.114,0.0
8,2006-07,2007,Mike Bibby,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,SAC,NBA,PG,82,82,34.0,5.7,14.2,0.404,2.1,5.9,0.36,3.6,8.4,0.435,0.478,3.5,4.2,0.83,0.5,2.7,3.2,4.7,1.1,0.1,2.4,1.7,17.1,2784,8.6,21.2,0.404,3.1,8.7,0.36,5.4,12.5,0.435,5.2,6.3,0.83,0.7,4.1,4.8,7.1,1.6,0.1,3.6,2.5,25.5,105,110,2784,16.0,0.532,0.413,0.298,1.6,9.6,5.5,24.3,1.6,0.2,13.0,24.5,2.9,1.5,4.4,0.076,1.8,-1.4,0.4,1.7,82.0,19805.0,2941.0,6532.0,0.45,530.0,1513.0,0.35,2411.0,5019.0,0.48,1891.0,2473.0,0.765,797.0,2396.0,3193.0,1665.0,671.0,265.0,1194.0,1792.0,8303.0,82.0,19805.0,3147.0,6671.0,0.472,557.0,1524.0,0.365,2590.0,5147.0,0.503,1600.0,2115.0,0.757,907.0,2648.0,3555.0,1840.0,572.0,405.0,1335.0,1990.0,8451.0,33,49,36,46,-1.8,0.46,-1.35,106.2,108.0,94.8,0.379,0.232,0.491,13.5,23.1,0.289,0.513,14.9,72.5,0.24,ARCO Arena (II),709997,82,34.0,2.14,-1.0,1.14,8.26,5562,2784,1.688872682,-0.482027332,1.20684535,5.610372255,5.610372255,0.0,1.995818187,-0.545195968,1.450622219,-0.164192558,82,33,49,33.9,106.2,2.7,8.4,13.0,1.1,18.0,0.1,3.5,10.4,9.2,8.9,30.5,0.079,0.0
9,2007-08,2008,Mike Bibby,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,SAC,NBA,PG,15,12,31.5,5.2,12.8,0.406,1.6,4.1,0.393,3.6,8.7,0.412,0.469,1.5,2.1,0.742,0.7,3.0,3.7,5.0,1.3,0.1,2.5,2.3,13.5,473,8.4,20.6,0.406,2.6,6.5,0.393,5.8,14.0,0.412,2.5,3.3,0.742,1.2,4.8,6.0,8.0,2.0,0.2,4.1,3.6,21.8,100,111,473,13.5,0.494,0.318,0.161,2.8,11.0,7.0,26.3,2.0,0.3,15.6,23.0,0.0,0.3,0.3,0.035,-0.2,-1.0,-1.2,0.1,82.0,19830.0,3043.0,6558.0,0.464,510.0,1367.0,0.373,2533.0,5191.0,0.488,1812.0,2272.0,0.798,829.0,2456.0,3285.0,1567.0,651.0,334.0,1317.0,1839.0,8408.0,82.0,19830.0,3137.0,6732.0,0.466,597.0,1600.0,0.373,2540.0,5132.0,0.495,1722.0,2287.0,0.753,970.0,2465.0,3435.0,1878.0,661.0,452.0,1250.0,1892.0,8593.0,38,44,35,47,-2.26,0.4,-1.86,107.5,109.9,94.7,0.346,0.208,0.503,14.8,25.2,0.276,0.51,13.9,71.7,0.256,ARCO Arena (II),580181,48,32.8,1.78,-3.87,-2.08,0.72,3512,1825,1.020562009,-2.470277678,-1.449715669,1.22987911,1.185842826,0.044036285,1.302295055,-2.055284639,-0.752989585,1.022529974,48,24,24,32.8,110.9,3.0,9.3,14.0,1.1,22.9,0.1,2.9,11.9,9.9,9.0,29.8,0.04,0.0
