,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2003-04,2004,Steve Blake,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,WAS,NBA,PG,75,14,18.6,2.1,5.4,0.386,1.0,2.7,0.371,1.1,2.7,0.4,0.478,0.7,0.9,0.821,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1.3,5.9,1392,5.9,15.2,0.386,2.8,7.6,0.371,3.1,7.7,0.4,2.1,2.5,0.821,0.7,3.7,4.4,7.8,2.1,0.3,4.8,3.7,16.6,95,107,1392,10.9,0.509,0.496,0.165,1.4,8.2,4.7,25.8,2.1,0.4,22.7,17.9,0.1,0.7,0.7,0.026,-1.5,-1.2,-2.7,-0.2,82.0,19830,2758,6556,0.421,433,1269,0.341,2325,5287,0.44,1579,2211,0.714,1115,2392,3507,1537,733,406,1439,1712,7528,82.0,19830,3061,6740,0.454,424,1238,0.342,2637,5502,0.479,1444,1874,0.771,1048,2520,3568,1966,786,448,1321,1783,7990,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,92.2,0.337,0.194,0.454,16.0,30.7,0.241,0.486,14.9,69.5,0.214,MCI Center,645363,75,18.6,-0.4,-0.34,-0.74,2.46,2705,1392,-0.704596685,-0.96489226,-1.669488944,0.769099997,0.769099997,0.0,-0.79517135,-1.519120444,-2.314291794,0.204705906,75,22,53,18.5,99.2,1.3,7.4,11.8,0.8,20.8,0.1,4.9,7.4,4.6,5.7,15.0,0.062,0.0
1,2004-05,2005,Steve Blake,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,WAS,NBA,PG,44,1,14.7,1.4,4.2,0.328,0.8,2.1,0.387,0.6,2.1,0.269,0.425,0.8,0.9,0.805,0.4,1.2,1.6,1.6,0.3,0.0,0.9,1.1,4.3,648,4.8,14.8,0.328,2.9,7.4,0.387,2.0,7.4,0.269,2.6,3.3,0.805,1.4,4.2,5.6,5.5,1.0,0.0,3.1,3.7,15.2,98,112,648,8.4,0.468,0.5,0.22,3.0,9.5,6.2,16.2,1.0,0.0,16.0,16.4,0.0,0.2,0.3,0.02,-2.1,-1.9,-4.0,-0.3,82.0,19780,2966,6794,0.437,514,1498,0.343,2452,5296,0.463,1795,2476,0.725,1133,2374,3507,1563,716,347,1172,1807,8241,82.0,19780,3099,6748,0.459,521,1432,0.364,2578,5316,0.485,1549,2034,0.762,1017,2510,3527,1885,586,412,1306,1995,8268,45,37,40,42,-0.33,-0.38,-0.71,107.2,107.5,93.3,0.364,0.22,0.474,12.9,31.1,0.264,0.498,14.6,70.0,0.23,MCI Center,705069,44,14.7,-2.02,-1.95,-3.98,-0.34,1308,665,-2.244624613,-2.101809803,-4.346434416,-0.54290215,-0.475852915,-0.067049235,-2.398973961,-3.123600493,-5.522574453,-0.1248872,44,23,21,14.7,106.6,1.2,8.4,13.7,0.3,11.9,0.0,0.0,5.3,4.8,3.5,12.2,0.029,0.0
2,2005-06,2006,Steve Blake,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,POR,NBA,PG,68,57,26.2,3.0,6.9,0.438,1.1,2.7,0.413,1.9,4.2,0.455,0.519,1.1,1.3,0.791,0.4,1.8,2.1,4.5,0.6,0.1,1.2,1.6,8.2,1781,6.3,14.5,0.438,2.3,5.7,0.413,4.0,8.8,0.455,2.2,2.8,0.791,0.8,3.7,4.5,9.4,1.3,0.2,2.6,3.3,17.2,114,115,1781,14.5,0.549,0.391,0.194,1.7,8.2,4.9,29.0,1.3,0.2,14.0,15.8,3.0,-0.2,2.8,0.076,1.0,-2.0,-1.0,0.4,82.0,19730,2791,6267,0.445,364,1042,0.349,2427,5225,0.464,1339,1944,0.689,886,2203,3089,1490,529,435,1205,1828,7285,82.0,19730,3032,6472,0.468,498,1306,0.381,2534,5166,0.491,1498,1971,0.76,1029,2445,3474,1737,592,403,1060,1704,8060,21,61,16,66,-9.45,0.54,-8.91,101.1,111.9,87.6,0.31,0.166,0.474,14.5,26.6,0.214,0.507,12.6,68.2,0.231,Rose Garden Arena,617019,68,26.2,0.33,-1.78,-1.46,1.68,3288,1781,2.042336227,-2.868329032,-0.825992805,1.737405543,1.737405543,0.0,1.498065645,-2.523902648,-1.025837003,-0.56996455,68,16,52,26.2,112.4,1.8,7.4,12.0,0.6,18.3,0.1,2.8,9.6,7.7,6.6,21.7,0.007,0.0
3,2006-07,2007,Steve Blake,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIL,NBA,PG,33,2,17.7,1.4,3.9,0.349,0.6,2.1,0.279,0.8,1.8,0.426,0.422,0.3,0.6,0.55,0.2,1.2,1.4,2.5,0.3,0.1,0.8,1.5,3.6,583,4.0,11.5,0.349,1.7,6.1,0.279,2.3,5.4,0.426,1.0,1.8,0.55,0.6,3.4,4.0,7.5,0.9,0.3,2.5,4.4,10.7,96,115,583,6.8,0.435,0.527,0.155,1.4,7.8,4.5,20.3,0.9,0.4,16.9,12.8,-0.1,0.0,-0.1,-0.008,-2.8,-1.4,-4.2,-0.3,82.0,19855,3121,6714,0.465,524,1472,0.356,2597,5242,0.495,1406,1919,0.733,941,2272,3213,1771,587,224,1240,1821,8172,82.0,19855,3201,6673,0.48,565,1537,0.368,2636,5136,0.513,1564,2109,0.742,1062,2468,3530,2077,615,433,1284,1718,8531,28,54,29,53,-4.38,-0.06,-4.43,107.0,111.7,92.3,0.286,0.219,0.504,14.1,27.6,0.209,0.522,14.5,68.1,0.234,Bradley Center,663629,82,27.1,-0.25,-1.66,-1.9,1.92,4836,2405,-0.281063408,-1.697461965,-1.978525373,0.908094318,0.620509043,0.287585275,-0.514683277,-1.644147631,-2.158830908,0.105463376,82,43,39,27.1,106.6,1.8,6.8,10.9,0.7,17.2,0.1,3.4,9.7,8.2,7.2,24.1,0.059,0.0
4,2006-07,2007,Steve Blake,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,DEN,NBA,PG,49,40,33.5,3.3,7.8,0.432,1.0,2.9,0.343,2.4,4.9,0.483,0.495,0.7,0.9,0.727,0.3,2.2,2.5,6.6,1.0,0.1,2.1,1.5,8.3,1642,4.9,11.4,0.432,1.4,4.2,0.343,3.5,7.2,0.483,1.0,1.3,0.727,0.4,3.3,3.7,9.7,1.5,0.1,3.0,2.2,12.2,106,110,1642,11.0,0.511,0.368,0.116,1.0,7.4,4.3,28.2,1.5,0.2,20.2,13.1,1.1,1.1,2.2,0.064,-0.8,-0.5,-1.2,0.3,82.0,19780,3164,6805,0.465,484,1440,0.336,2680,5365,0.5,1827,2449,0.746,1001,2558,3559,1920,678,435,1352,1756,8639,82.0,19780,3257,7088,0.46,554,1569,0.353,2703,5519,0.49,1438,1945,0.739,1006,2461,3467,2010,680,424,1343,1946,8506,45,37,45,37,1.62,0.07,1.69,107.6,105.9,97.4,0.36,0.212,0.501,14.6,28.9,0.268,0.499,14.5,71.8,0.203,Pepsi Center,706437,82,27.1,-0.25,-1.66,-1.9,1.92,4836,2405,-0.281063408,-1.697461965,-1.978525373,0.908094318,0.620509043,0.287585275,-0.514683277,-1.644147631,-2.158830908,0.105463376,82,43,39,27.1,106.6,1.8,6.8,10.9,0.7,17.2,0.1,3.4,9.7,8.2,7.2,24.1,0.059,0.0
5,2007-08,2008,Steve Blake,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,POR,NBA,PG,81,78,29.9,3.2,7.9,0.408,1.5,3.7,0.406,1.7,4.2,0.409,0.502,0.6,0.8,0.766,0.4,2.0,2.4,5.1,0.7,0.0,1.4,1.6,8.5,2424,5.9,14.4,0.408,2.7,6.7,0.406,3.2,7.7,0.409,1.1,1.4,0.766,0.7,3.7,4.4,9.3,1.2,0.1,2.5,3.0,15.6,109,112,2424,12.0,0.518,0.466,0.1,1.5,7.9,4.7,27.1,1.2,0.1,14.5,15.3,2.5,1.3,3.8,0.075,0.1,-0.6,-0.5,0.9,82.0,19905,2935,6546,0.448,538,1426,0.377,2397,5120,0.468,1412,1841,0.767,901,2438,3339,1733,455,360,1056,1642,7820,82.0,19905,2983,6616,0.451,533,1499,0.356,2450,5117,0.479,1401,1828,0.766,957,2465,3422,1714,488,301,1026,1656,7900,41,41,38,44,-0.98,0.45,-0.52,107.3,108.4,87.9,0.281,0.218,0.489,12.6,26.8,0.216,0.491,12.1,71.8,0.212,Rose Garden Arena,801566,81,29.9,-0.93,0.41,-0.53,3.43,4490,2424,1.416922975,-0.365100358,1.051822617,4.67888727,4.67888727,0.0,1.257431436,-0.335522426,0.92190901,-0.456067079,81,41,40,29.9,105.6,2.0,7.1,10.9,0.7,20.4,0.0,1.7,8.7,8.1,8.0,26.0,0.084,0.0
6,2008-09,2009,Steve Blake,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,POR,NBA,PG,69,69,31.7,4.0,9.4,0.428,2.0,4.8,0.427,2.0,4.6,0.429,0.536,0.9,1.1,0.84,0.4,2.1,2.5,5.0,1.0,0.1,1.6,1.8,11.0,2188,7.0,16.4,0.428,3.5,8.3,0.427,3.5,8.1,0.429,1.6,1.9,0.84,0.7,3.7,4.4,8.8,1.7,0.1,2.7,3.2,19.2,118,110,2188,14.4,0.557,0.507,0.116,1.6,8.4,4.9,25.1,1.7,0.1,13.7,17.0,4.1,1.7,5.8,0.128,1.7,-0.2,1.5,1.9,82.0,19830,3018,6494,0.465,596,1555,0.383,2422,4939,0.49,1521,1988,0.765,1060,2360,3420,1667,550,402,1055,1671,8153,82.0,19830,2899,6302,0.46,487,1301,0.374,2412,5001,0.482,1430,1780,0.803,786,2190,2976,1590,514,319,1082,1733,7715,54,28,56,26,5.34,-0.35,5.0,113.9,107.8,86.6,0.306,0.239,0.511,12.5,32.6,0.234,0.499,13.2,75.0,0.227,Rose Garden Arena,841499,69,31.7,0.37,0.53,0.9,5.22,4401,2419,2.612236808,-0.57885144,2.033385367,5.903716362,5.214671452,0.68904491,2.749668613,-0.269603325,2.480065288,-0.370029164,69,46,23,31.7,105.2,2.1,7.5,11.2,1.0,22.8,0.1,1.7,8.6,7.9,6.2,25.2,0.099,0.0
7,2009-10,2010,Steve Blake,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,POR,NBA,PG,51,28,27.4,2.8,7.0,0.403,1.5,4.1,0.377,1.3,2.9,0.439,0.513,0.5,0.6,0.75,0.3,2.0,2.3,4.0,0.7,0.0,1.3,1.6,7.6,1397,5.6,13.9,0.403,3.1,8.1,0.377,2.5,5.8,0.439,0.9,1.3,0.75,0.6,4.0,4.6,8.0,1.4,0.1,2.5,3.3,15.2,109,110,1397,11.2,0.526,0.583,0.09,1.3,9.2,5.2,22.5,1.4,0.1,15.0,14.8,1.3,1.1,2.4,0.082,0.1,0.1,0.2,0.8,82.0,19855,2974,6453,0.461,491,1388,0.354,2483,5065,0.49,1606,2033,0.79,913,2383,3296,1674,523,350,1012,1715,8045,82.0,19855,2950,6352,0.464,480,1399,0.343,2470,4953,0.499,1394,1870,0.745,801,2322,3123,1583,485,333,1104,1767,7774,50,32,51,31,3.3,-0.13,3.18,110.8,107.1,87.7,0.315,0.215,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,Rose Garden Arena,840371,80,27.0,-0.64,-1.5,-2.15,1.0,4069,2159,0.335779311,-1.003095653,-0.667316342,2.333877,2.333877,0.0,0.303149876,-1.111646524,-0.808496648,0.852492555,80,37,43,27.0,107.8,2.1,8.2,12.3,0.7,23.2,0.1,2.8,9.7,7.3,7.1,23.9,0.059,-0.71
8,2009-10,2010,Steve Blake,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,LAC,NBA,PG,29,10,26.3,2.6,5.8,0.443,1.3,3.0,0.437,1.2,2.8,0.45,0.557,0.4,0.6,0.75,0.2,2.2,2.4,6.1,0.7,0.1,2.2,1.3,6.8,762,5.0,11.4,0.443,2.6,5.9,0.437,2.4,5.4,0.45,0.8,1.1,0.75,0.4,4.3,4.7,12.0,1.4,0.3,4.3,2.7,13.5,107,113,762,12.3,0.569,0.521,0.096,0.9,9.6,5.2,34.9,1.4,0.4,26.6,14.1,0.6,0.3,0.9,0.058,-0.5,-1.3,-1.8,0.0,82.0,19705,3002,6601,0.455,483,1457,0.332,2519,5144,0.49,1362,1867,0.73,927,2502,3429,1810,532,466,1285,1581,7849,82.0,19705,3193,6792,0.47,529,1457,0.363,2664,5335,0.499,1455,1910,0.762,879,2490,3369,1926,686,363,1059,1588,8370,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,92.6,0.283,0.221,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,STAPLES Center,670063,80,27.0,-0.64,-1.5,-2.15,1.0,4069,2159,0.335779311,-1.003095653,-0.667316342,2.333877,2.333877,0.0,0.303149876,-1.111646524,-0.808496648,0.852492555,80,37,43,27.0,107.8,2.1,8.2,12.3,0.7,23.2,0.1,2.8,9.7,7.3,7.1,23.9,0.059,-0.71
9,2010-11,2011,Steve Blake,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,30,LAL,NBA,PG,79,0,20.0,1.4,3.9,0.359,0.9,2.4,0.378,0.5,1.4,0.327,0.479,0.3,0.4,0.867,0.2,1.7,2.0,2.2,0.5,0.0,0.9,1.3,4.0,1581,3.7,10.2,0.359,2.4,6.5,0.378,1.2,3.8,0.327,0.9,1.0,0.867,0.6,4.6,5.2,5.7,1.3,0.1,2.4,3.3,10.7,101,108,1581,7.5,0.5,0.631,0.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,0.3,1.5,1.8,0.055,-2.6,0.2,-2.3,-0.1,82.0,19830,3128,6757,0.463,524,1487,0.352,2604,5270,0.494,1541,1979,0.779,989,2616,3605,1801,602,422,1073,1555,8321,82.0,19830,3008,6888,0.437,558,1668,0.335,2450,5220,0.469,1246,1628,0.765,1002,2399,3401,1827,585,372,1116,1700,7820,57,25,58,24,6.11,-0.1,6.01,111.0,104.3,90.7,0.293,0.22,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,STAPLES Center,778877,79,20.0,-3.57,-0.42,-3.99,-0.93,3286,1726,-1.898587049,-0.802442174,-2.701029223,0.054523888,-0.096829838,0.151353726,-1.953605242,-1.168858966,-3.122464208,-0.193695916,79,55,24,20.0,101.7,1.7,8.3,13.0,0.5,19.6,0.0,1.8,6.2,6.2,5.8,16.3,0.081,-0.84
