,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2003-04,2004,Keith Bogans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,ORL,NBA,SF,73,36,24.5,2.5,6.2,0.403,0.9,2.6,0.358,1.6,3.7,0.434,0.477,0.9,1.4,0.631,1.5,2.9,4.3,1.3,0.6,0.1,1.0,1.8,6.8,1787,5.4,13.4,0.403,2.0,5.5,0.358,3.4,7.9,0.434,1.9,3.0,0.631,3.1,6.2,9.4,2.9,1.4,0.3,2.2,3.8,14.7,103,111,1787,11.0,0.499,0.412,0.227,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,1.3,0.0,1.3,0.034,-0.5,-2.0,-2.4,-0.2,82.0,19830.0,2904.0,6768.0,0.429,429.0,1248.0,0.344,2475.0,5520.0,0.448,1474.0,2000.0,0.737,1003.0,2350.0,3353.0,1584.0,547.0,308.0,1123.0,1744.0,7711.0,82.0,19830.0,3169.0,6804.0,0.466,491.0,1301.0,0.377,2678.0,5503.0,0.487,1458.0,1964.0,0.742,1072.0,2570.0,3642.0,2004.0,625.0,450.0,1111.0,1691.0,8287.0,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,90.8,0.296,0.184,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,TD Waterhouse Centre,589144,73,24.5,-0.25,-2.66,-2.91,0.64,3419,1787,0.01995032,-1.979263523,-1.959313203,0.71944652,0.71944652,0.0,-0.158892681,-2.21877908,-2.37767176,-0.182683023,73,19,54,24.5,109.1,2.9,12.2,20.0,0.6,18.5,0.1,8.2,8.8,8.1,7.6,22.5,0.003,0.0
1,2004-05,2005,Keith Bogans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,CHA,NBA,SG,74,42,24.2,3.5,9.3,0.381,0.8,2.3,0.329,2.8,7.0,0.398,0.422,1.8,2.5,0.727,1.0,2.0,3.1,1.8,0.9,0.1,1.6,2.3,9.6,1791,7.6,20.0,0.381,1.7,5.0,0.329,6.0,15.0,0.398,3.9,5.3,0.727,2.2,4.4,6.6,3.9,2.0,0.2,3.5,4.9,20.7,93,110,1791,10.4,0.465,0.251,0.266,4.6,10.1,7.2,12.6,2.0,0.3,13.7,22.0,-1.0,1.1,0.1,0.002,-2.6,-1.3,-3.9,-0.9,82.0,19880.0,2961.0,6859.0,0.432,320.0,881.0,0.363,2641.0,5978.0,0.442,1487.0,2096.0,0.709,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1192.0,1894.0,7729.0,82.0,19880.0,3015.0,6507.0,0.463,442.0,1224.0,0.361,2573.0,5283.0,0.487,1748.0,2279.0,0.767,959.0,2586.0,3545.0,1768.0,624.0,446.0,1297.0,1858.0,8220.0,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,591701,74,24.2,-0.13,-3.32,-3.45,-0.31,3483,1791,-1.329895877,-1.787189388,-3.117085266,-0.336626999,-0.336626999,0.0,-1.326843115,-1.725358011,-3.052201126,0.328193419,74,15,59,24.3,105.8,2.0,9.0,14.6,0.9,20.7,0.1,4.0,9.1,6.7,7.4,20.8,0.055,0.0
2,2005-06,2006,Keith Bogans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,CHA,NBA,SG,39,9,21.7,2.9,7.4,0.396,0.8,2.5,0.337,2.1,4.9,0.426,0.453,2.1,2.7,0.762,0.7,2.0,2.7,1.2,1.0,0.1,1.1,2.0,8.7,848,6.9,17.4,0.396,2.0,5.9,0.337,4.9,11.5,0.426,4.8,6.4,0.762,1.8,4.7,6.4,2.7,2.4,0.2,2.5,4.7,20.7,102,108,848,12.4,0.51,0.34,0.365,3.7,11.3,7.2,8.7,2.4,0.3,10.9,19.6,0.4,0.7,1.2,0.066,-1.1,0.0,-1.0,0.2,82.0,19905.0,2961.0,6843.0,0.433,428.0,1261.0,0.339,2533.0,5582.0,0.454,1593.0,2186.0,0.729,990.0,2270.0,3260.0,1717.0,822.0,354.0,1167.0,1960.0,7943.0,82.0,19905.0,3065.0,6410.0,0.478,458.0,1285.0,0.356,2607.0,5125.0,0.509,1683.0,2283.0,0.737,940.0,2667.0,3607.0,1881.0,577.0,441.0,1464.0,1929.0,8271.0,26,56,30,52,-4.0,0.1,-3.9,102.5,106.7,93.4,0.319,0.184,0.464,13.0,27.1,0.233,0.514,16.5,70.7,0.263,Charlotte Bobcats Arena,671011,72,26.6,-1.54,-0.5,-2.04,1.14,3642,1912,-1.321060641,-0.072446157,-1.393506798,1.331778631,1.331778631,0.0,-1.382515131,-0.092028222,-1.474543353,1.05981163,72,25,47,26.6,102.4,2.8,10.9,17.1,1.0,21.3,0.1,5.1,9.0,6.5,6.4,19.5,0.093,0.0
3,2005-06,2006,Keith Bogans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,HOU,NBA,SF,33,22,32.2,3.1,7.8,0.395,1.0,3.1,0.314,2.1,4.7,0.448,0.457,1.4,2.5,0.58,0.8,3.7,4.5,2.5,1.0,0.2,1.5,2.7,8.5,1064,5.2,13.1,0.395,1.6,5.2,0.314,3.5,7.9,0.448,2.4,4.2,0.58,1.3,6.3,7.6,4.3,1.6,0.3,2.5,4.6,14.4,96,105,1064,9.3,0.482,0.398,0.316,2.9,13.3,8.2,13.3,1.6,0.5,14.4,15.3,-0.1,1.3,1.2,0.053,-2.5,0.9,-1.6,0.1,82.0,19830.0,2708.0,6252.0,0.433,469.0,1414.0,0.332,2239.0,4838.0,0.463,1502.0,1980.0,0.759,849.0,2565.0,3414.0,1580.0,588.0,320.0,1193.0,1863.0,7387.0,82.0,19830.0,2708.0,6310.0,0.429,541.0,1465.0,0.369,2167.0,4845.0,0.447,1560.0,2135.0,0.731,874.0,2477.0,3351.0,1647.0,582.0,373.0,1094.0,1716.0,7517.0,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,636110,72,26.6,-1.54,-0.5,-2.04,1.14,3642,1912,-1.321060641,-0.072446157,-1.393506798,1.331778631,1.331778631,0.0,-1.382515131,-0.092028222,-1.474543353,1.05981163,72,25,47,26.6,102.4,2.8,10.9,17.1,1.0,21.3,0.1,5.1,9.0,6.5,6.4,19.5,0.093,0.0
4,2006-07,2007,Keith Bogans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,ORL,NBA,SG,59,18,16.8,1.7,4.2,0.404,0.9,2.3,0.387,0.8,1.8,0.426,0.512,0.8,1.1,0.746,0.3,1.3,1.6,1.0,0.5,0.0,0.8,1.7,5.1,990,5.3,13.2,0.404,2.9,7.4,0.387,2.5,5.8,0.426,2.5,3.4,0.746,0.9,4.2,5.0,3.2,1.5,0.1,2.5,5.3,16.1,106,107,990,9.2,0.546,0.559,0.257,2.0,9.4,5.8,9.5,1.5,0.2,14.4,14.9,0.7,1.0,1.7,0.08,-1.6,0.1,-1.5,0.1,82.0,19780.0,2875.0,6090.0,0.472,342.0,962.0,0.356,2533.0,5128.0,0.494,1679.0,2393.0,0.702,920.0,2418.0,3338.0,1525.0,565.0,416.0,1392.0,1904.0,7771.0,82.0,19780.0,2739.0,6191.0,0.442,461.0,1306.0,0.353,2278.0,4885.0,0.466,1768.0,2327.0,0.76,865.0,2217.0,3082.0,1609.0,678.0,376.0,1232.0,1921.0,7707.0,40,42,43,39,0.78,-0.43,0.35,104.9,104.1,89.9,0.393,0.158,0.5,16.3,29.3,0.276,0.48,14.6,73.7,0.286,Amway Arena,700887,59,16.8,-1.15,0.51,-0.65,1.6,1875,990,-0.022545052,0.072153113,0.049608061,1.421150089,1.421150089,0.0,-0.283203067,-0.281770556,-0.564973623,0.465424953,59,29,30,16.8,101.1,1.3,8.4,12.8,0.5,20.1,0.0,2.2,5.8,3.9,5.1,11.1,0.066,0.0
5,2007-08,2008,Keith Bogans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,ORL,NBA,SG,82,35,26.8,2.9,7.2,0.41,1.8,5.0,0.362,1.1,2.2,0.52,0.536,1.0,1.3,0.736,0.5,2.7,3.2,1.3,0.7,0.1,0.6,2.0,8.7,2198,5.6,13.8,0.41,3.5,9.6,0.362,2.2,4.2,0.52,1.9,2.6,0.736,1.0,5.2,6.2,2.4,1.4,0.2,1.2,3.8,16.6,113,107,2198,10.9,0.559,0.696,0.187,2.3,11.3,7.0,7.1,1.4,0.3,7.7,14.4,2.6,2.3,4.9,0.106,0.1,0.5,0.6,1.4,82.0,19780.0,3058.0,6446.0,0.474,801.0,2074.0,0.386,2257.0,4372.0,0.516,1650.0,2288.0,0.721,768.0,2677.0,3445.0,1706.0,520.0,333.0,1173.0,1688.0,8567.0,82.0,19780.0,3057.0,6855.0,0.446,516.0,1441.0,0.358,2541.0,5414.0,0.469,1489.0,1975.0,0.754,900.0,2519.0,3419.0,1764.0,581.0,344.0,1081.0,1898.0,8119.0,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,93.4,0.355,0.322,0.537,13.6,23.4,0.256,0.484,12.3,74.8,0.217,Amway Arena,709346,82,26.8,0.71,0.36,1.08,5.81,4866,2491,0.988609598,0.580258649,1.568868247,5.502094365,5.07495374,0.427140625,0.906200352,0.597952584,1.504152936,0.261854795,82,52,30,26.8,103.3,2.7,9.8,14.8,0.7,20.8,0.1,5.7,8.8,7.3,7.0,20.5,0.095,0.0
6,2008-09,2009,Keith Bogans,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,28,ORL,NBA,SG,36,15,21.9,1.8,4.9,0.36,1.2,3.5,0.333,0.6,1.4,0.429,0.48,0.6,0.7,0.875,0.4,2.7,3.1,0.9,0.6,0.1,0.5,1.7,5.3,787,4.2,11.6,0.36,2.8,8.3,0.333,1.4,3.2,0.429,1.4,1.6,0.875,1.0,6.3,7.3,2.0,1.5,0.1,1.3,4.0,12.5,105,104,787,8.0,0.509,0.72,0.137,2.2,13.4,7.9,5.9,1.5,0.2,9.3,12.0,0.3,1.2,1.5,0.093,-2.1,1.5,-0.6,0.3,82.0,19730.0,2929.0,6416.0,0.457,817.0,2147.0,0.381,2112.0,4269.0,0.495,1611.0,2253.0,0.715,819.0,2728.0,3547.0,1593.0,570.0,439.0,1142.0,1664.0,8286.0,82.0,19730.0,2936.0,6785.0,0.433,444.0,1297.0,0.342,2492.0,5488.0,0.454,1421.0,1882.0,0.755,864.0,2591.0,3455.0,1488.0,564.0,308.0,1072.0,1840.0,7737.0,59,23,59,23,6.7,-0.21,6.48,109.2,101.9,92.3,0.351,0.335,0.52,13.4,24.0,0.251,0.465,12.3,75.9,0.209,Amway Arena,698768,65,19.6,-0.87,-0.03,-0.9,1.72,2477,1272,-0.712077649,-0.093358727,-0.805436376,1.283830156,1.283830156,0.0,-0.810888344,-0.146999866,-0.957888209,1.570672499,65,37,28,19.6,103.0,2.6,13.5,20.6,0.7,23.6,0.1,3.5,6.1,5.0,5.3,14.4,0.076,0.0
7,2008-09,2009,Keith Bogans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,MIL,NBA,SG,29,0,16.7,1.9,5.1,0.376,1.1,3.2,0.348,0.8,2.0,0.421,0.483,1.1,1.1,0.939,0.6,2.6,3.1,1.1,0.7,0.1,0.8,1.5,6.0,485,6.0,15.9,0.376,3.4,9.8,0.348,2.6,6.1,0.421,3.3,3.5,0.939,1.7,8.0,9.7,3.5,2.1,0.2,2.4,4.7,18.7,108,106,485,12.5,0.535,0.617,0.221,3.7,19.1,11.1,10.5,2.1,0.3,11.9,17.2,0.4,0.6,1.0,0.101,-0.3,0.3,0.0,0.2,82.0,19780.0,3009.0,6755.0,0.445,511.0,1408.0,0.363,2498.0,5347.0,0.467,1613.0,2067.0,0.78,973.0,2367.0,3340.0,1802.0,609.0,308.0,1154.0,1986.0,8142.0,82.0,19780.0,2854.0,6233.0,0.458,562.0,1486.0,0.378,2292.0,4747.0,0.483,1961.0,2480.0,0.791,831.0,2527.0,3358.0,1730.0,616.0,376.0,1350.0,1842.0,8231.0,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,92.6,0.306,0.208,0.483,13.1,27.8,0.239,0.503,15.6,74.0,0.315,Bradley Center,630976,65,19.6,-0.87,-0.03,-0.9,1.72,2477,1272,-0.712077649,-0.093358727,-0.805436376,1.283830156,1.283830156,0.0,-0.810888344,-0.146999866,-0.957888209,1.570672499,65,37,28,19.6,103.0,2.6,13.5,20.6,0.7,23.6,0.1,3.5,6.1,5.0,5.3,14.4,0.076,0.0
8,2009-10,2010,Keith Bogans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,SAS,NBA,SF,79,50,19.7,1.5,3.8,0.403,0.9,2.5,0.357,0.6,1.3,0.49,0.52,0.5,0.6,0.74,0.3,1.9,2.2,1.2,0.6,0.2,0.7,2.0,4.4,1559,4.0,10.0,0.403,2.4,6.6,0.357,1.7,3.4,0.49,1.2,1.7,0.74,0.8,5.1,5.9,3.2,1.5,0.4,1.8,5.2,11.7,106,106,1559,7.7,0.542,0.658,0.168,1.9,11.2,6.6,8.5,1.5,0.6,14.2,11.0,0.7,1.9,2.6,0.081,-2.7,1.5,-1.2,0.3,82.0,19780.0,3150.0,6659.0,0.473,554.0,1547.0,0.358,2596.0,5112.0,0.508,1458.0,1969.0,0.74,887.0,2621.0,3508.0,1829.0,516.0,381.0,1116.0,1669.0,8312.0,82.0,19780.0,3025.0,6691.0,0.452,412.0,1200.0,0.343,2613.0,5491.0,0.476,1433.0,1896.0,0.756,814.0,2427.0,3241.0,1576.0,567.0,417.0,1032.0,1672.0,7895.0,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,91.7,0.296,0.232,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,AT&T Center,741676,79,19.7,-1.83,-0.91,-2.74,0.12,3118,1614,-1.676675695,0.631296542,-1.045379152,1.405488854,1.484640923,-0.079152069,-1.6593768,0.555287668,-1.104089132,0.486161607,79,50,29,19.7,102.9,1.9,9.8,14.7,0.6,21.5,0.2,8.5,6.5,5.4,6.5,17.4,0.076,0.21
9,2010-11,2011,Keith Bogans,19T,0.0,1.0,1.0,False,2.0,5.0,500.0,30,CHI,NBA,SG,82,82,17.8,1.5,3.7,0.404,1.1,2.9,0.38,0.4,0.9,0.486,0.55,0.3,0.4,0.656,0.2,1.6,1.8,1.2,0.5,0.1,0.5,1.4,4.4,1461,4.5,11.2,0.404,3.3,8.6,0.38,1.2,2.5,0.486,0.8,1.2,0.656,0.7,4.7,5.4,3.7,1.4,0.3,1.5,4.1,13.1,113,103,1461,9.0,0.559,0.772,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,1.4,2.2,3.6,0.118,-1.5,1.4,-0.2,0.7,82.0,19830.0,3042.0,6587.0,0.462,511.0,1415.0,0.361,2531.0,5172.0,0.489,1492.0,2008.0,0.743,967.0,2654.0,3621.0,1827.0,592.0,468.0,1161.0,1639.0,8087.0,82.0,19830.0,2805.0,6523.0,0.43,427.0,1308.0,0.326,2378.0,5215.0,0.456,1450.0,1898.0,0.764,828.0,2322.0,3150.0,1556.0,568.0,477.0,1159.0,1645.0,7487.0,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,90.4,0.305,0.215,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,United Center,893462,82,17.8,-1.56,1.37,-0.19,2.69,3345,1768,-0.355101995,0.770069055,0.41496706,2.887211186,2.20864951,0.678561676,-0.587686126,0.316294545,-0.271391581,0.16215968,82,62,20,17.8,101.6,1.6,9.3,13.6,0.5,18.0,0.1,6.3,5.7,4.5,5.1,13.9,0.072,0.79
