,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHH,NBA,PG,81,80,35.0,4.1,9.0,0.453,0.1,0.3,0.231,4.0,8.7,0.462,0.458,1.7,2.1,0.833,0.6,3.0,3.7,8.8,2.0,0.1,1.9,2.2,10.0,2833,5.6,12.3,0.453,0.1,0.4,0.231,5.5,11.9,0.462,2.4,2.8,0.833,0.9,4.2,5.0,12.0,2.7,0.1,2.6,3.0,13.7,113,110,2833,14.5,0.503,0.036,0.23,2.0,8.9,5.6,32.5,2.7,0.1,16.1,13.9,3.6,2.3,5.9,0.1,0.1,0.6,0.8,2.0,82.0,19755.0,3512.0,7210.0,0.487,175.0,537.0,0.326,3337.0,6673.0,0.5,1831.0,2374.0,0.771,1095.0,2508.0,3603.0,2161.0,639.0,473.0,1325.0,1790.0,9030.0,82.0,19755.0,3634.0,7698.0,0.472,234.0,753.0,0.311,3400.0,6945.0,0.49,1548.0,2080.0,0.744,1350.0,2403.0,3753.0,2277.0,599.0,438.0,1245.0,1923.0,9050.0,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,100.2,0.329,0.074,0.499,13.8,31.3,0.254,0.487,12.6,65.0,0.201,Charlotte Coliseum,971880,0,0,0,0,0,0,6652,3179,1.952931706,0.957490242,2.910421948,9.206216669,7.830302767,1.375913902,1.843076291,1.485710455,3.328786746,-0.482619699,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,CHH,NBA,PG,77,77,35.7,4.6,9.8,0.471,0.0,0.2,0.167,4.6,9.6,0.476,0.473,1.6,2.0,0.806,1.0,3.1,4.1,10.1,1.7,0.0,2.2,1.9,10.8,2746,6.3,13.5,0.471,0.0,0.2,0.167,6.3,13.2,0.476,2.2,2.8,0.806,1.4,4.2,5.6,14.0,2.4,0.0,3.1,2.6,15.0,114,110,2746,16.2,0.51,0.016,0.206,3.2,9.2,6.3,39.2,2.4,0.0,17.3,15.4,4.8,1.7,6.4,0.112,1.4,-0.4,1.1,2.1,82.0,19830.0,3382.0,7100.0,0.476,336.0,916.0,0.367,3046.0,6184.0,0.493,1632.0,2135.0,0.764,1019.0,2475.0,3494.0,2214.0,724.0,394.0,1266.0,1747.0,8732.0,82.0,19830.0,3463.0,7359.0,0.471,317.0,916.0,0.346,3146.0,6443.0,0.488,1507.0,2036.0,0.74,1217.0,2467.0,3684.0,2116.0,629.0,430.0,1260.0,1761.0,8750.0,41,41,40,42,-0.22,-0.01,-0.23,108.4,108.6,97.5,0.301,0.129,0.5,13.6,29.2,0.23,0.492,13.2,67.0,0.205,Charlotte Coliseum,971609,0,0,0,0,0,0,5642,2746,3.019288662,-0.221327407,2.797961255,7.708203714,7.708203714,0.0,2.730168083,0.324642282,3.054810366,-0.799122774,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,CHH,NBA,PG,78,78,33.7,4.5,9.4,0.477,0.1,0.4,0.2,4.4,9.0,0.489,0.481,2.1,2.3,0.889,0.7,2.6,3.3,8.7,1.3,0.0,1.7,1.9,11.1,2629,7.0,14.6,0.477,0.1,0.6,0.2,6.8,14.0,0.489,3.2,3.6,0.889,1.0,4.1,5.1,13.5,2.1,0.0,2.6,3.0,17.3,119,108,2629,16.9,0.533,0.041,0.247,2.4,8.9,5.8,40.3,2.1,0.0,14.0,16.6,5.8,2.8,8.6,0.157,1.2,0.3,1.5,2.3,82.0,19805.0,3051.0,6438.0,0.474,560.0,1409.0,0.397,2491.0,5029.0,0.495,1587.0,2042.0,0.777,832.0,2395.0,3227.0,2072.0,620.0,399.0,1224.0,1685.0,8249.0,82.0,19805.0,3088.0,6807.0,0.454,429.0,1289.0,0.333,2659.0,5518.0,0.482,1375.0,1859.0,0.74,1102.0,2365.0,3467.0,1898.0,535.0,368.0,1216.0,1859.0,7980.0,50,32,50,32,3.28,-0.41,2.87,109.6,106.1,91.2,0.317,0.219,0.517,14.3,26.0,0.247,0.485,13.8,68.5,0.202,Charlotte Coliseum,971618,0,0,0,0,0,0,5311,2774,2.634288118,0.09462018,2.728908298,7.643739381,7.734862892,-0.091123511,2.110015382,0.420014778,2.53003016,-0.884164474,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,CHH,NBA,PG,6,0,12.8,1.0,2.7,0.375,0.0,0.2,0.0,1.0,2.5,0.4,0.375,0.3,0.3,1.0,1.0,0.2,1.2,3.2,0.3,0.0,1.0,0.7,2.3,77,4.1,10.9,0.375,0.0,0.7,0.0,4.1,10.2,0.4,1.4,1.4,1.0,4.1,0.7,4.8,12.9,1.4,0.0,4.1,2.7,9.5,104,117,77,10.6,0.415,0.063,0.125,9.3,1.6,5.5,35.1,1.4,0.0,26.2,13.4,0.0,0.0,0.0,0.02,0.1,-3.0,-2.9,0.0,82.0,19880.0,3108.0,6618.0,0.47,584.0,1520.0,0.384,2524.0,5098.0,0.495,1631.0,2119.0,0.77,987.0,2256.0,3243.0,1907.0,582.0,277.0,1241.0,1815.0,8431.0,82.0,19880.0,3254.0,6651.0,0.489,530.0,1340.0,0.396,2724.0,5311.0,0.513,1440.0,1957.0,0.736,953.0,2358.0,3311.0,2049.0,536.0,368.0,1215.0,1829.0,8478.0,41,41,39,43,-0.57,0.09,-0.48,111.2,111.8,91.6,0.32,0.23,0.514,14.1,29.5,0.246,0.529,13.9,70.3,0.217,Charlotte Coliseum,985722,0,0,0,0,0,0,149,77,-0.840506521,-3.222421398,-4.062927919,-0.050916639,-0.050916639,0.0,-1.482144355,-4.294241096,-5.776385451,-1.193289166,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,CHH,NBA,PG,65,65,28.9,3.1,6.8,0.46,0.9,2.2,0.417,2.2,4.6,0.482,0.528,0.8,1.0,0.844,0.4,1.8,2.2,7.2,1.3,0.0,1.7,1.8,8.0,1880,5.9,12.8,0.46,1.7,4.2,0.417,4.2,8.6,0.482,1.6,1.8,0.844,0.7,3.3,4.1,13.5,2.4,0.1,3.1,3.3,15.0,119,111,1880,15.7,0.554,0.325,0.144,1.7,7.2,4.5,38.6,2.4,0.1,18.6,14.5,3.9,1.1,5.0,0.127,1.9,-0.4,1.5,1.6,82.0,19805.0,2988.0,6342.0,0.471,591.0,1382.0,0.428,2397.0,4960.0,0.483,1541.0,1984.0,0.777,910.0,2298.0,3208.0,2021.0,597.0,349.0,1203.0,1702.0,8108.0,82.0,19805.0,3056.0,6650.0,0.46,487.0,1364.0,0.357,2569.0,5286.0,0.486,1356.0,1857.0,0.73,1077.0,2256.0,3333.0,1783.0,532.0,335.0,1143.0,1781.0,7955.0,54,28,46,36,1.87,0.26,2.13,110.9,108.9,88.6,0.313,0.218,0.518,14.3,28.7,0.243,0.496,13.3,68.1,0.204,Charlotte Coliseum,985722,0,0,0,0,0,0,3616,1938,3.07809313,-0.56205467,2.51603846,5.170189869,5.123815321,0.046374547,2.773797828,-0.498679374,2.275118454,-0.645871421,65,46,19,28.9,105.8,1.8,6.5,10.8,1.3,29.0,0.0,1.2,8.6,9.2,5.3,24.7,0.068,0
5,1997-98,1998,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,33,CHH,NBA,PG,2,0,8.0,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,1.0,1.0,1.0,0.0,0.5,0.5,2.0,1.0,0.0,0.5,1.0,3.0,16,6.7,16.8,0.4,0.0,0.0,,6.7,16.8,0.4,6.7,6.7,1.0,0.0,3.4,3.4,13.4,6.7,0.0,3.4,6.7,20.1,113,98,16,20.6,0.51,0.0,0.4,0.0,7.5,3.8,40.0,6.7,0.0,14.5,19.9,0.0,0.0,0.1,0.193,0.6,5.4,6.0,0.0,82.0,19780.0,2968.0,6344.0,0.468,346.0,904.0,0.383,2622.0,5440.0,0.482,1641.0,2186.0,0.751,985.0,2341.0,3326.0,1941.0,691.0,312.0,1247.0,1757.0,7923.0,82.0,19780.0,2977.0,6417.0,0.464,369.0,1063.0,0.347,2608.0,5354.0,0.487,1436.0,1964.0,0.731,965.0,2259.0,3224.0,1806.0,582.0,372.0,1240.0,1902.0,7759.0,51,31,47,35,2.0,0.45,2.45,107.5,105.3,89.4,0.345,0.142,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,0,0,0,0,0,0,3023,1570,-0.045609678,-0.678948067,-0.724557745,1.609668753,1.609668753,0.0,-0.890790914,-1.049165473,-1.939956387,-0.876763094,61,19,42,25.7,99.8,1.7,6.6,10.5,1.1,26.0,0.0,2.0,9.5,7.2,7.0,21.3,0.096,0
6,1997-98,1998,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,GSW,NBA,PG,59,31,26.3,2.4,5.4,0.437,0.1,0.3,0.25,2.3,5.1,0.447,0.443,1.0,1.1,0.894,0.5,1.7,2.2,5.5,1.1,0.1,1.8,0.9,5.8,1554,4.7,10.7,0.437,0.1,0.5,0.25,4.6,10.2,0.447,2.0,2.2,0.894,1.0,3.4,4.4,11.0,2.2,0.1,3.5,1.9,11.5,101,108,1554,12.3,0.491,0.05,0.208,2.0,7.1,4.5,33.5,2.2,0.1,23.1,12.7,0.7,1.0,1.7,0.051,-1.5,0.1,-1.4,0.2,82.0,19830.0,2845.0,6883.0,0.413,189.0,696.0,0.272,2656.0,6187.0,0.429,1358.0,1912.0,0.71,1288.0,2473.0,3761.0,1708.0,621.0,448.0,1369.0,1859.0,7237.0,82.0,19830.0,2992.0,6742.0,0.444,334.0,962.0,0.347,2658.0,5780.0,0.46,1667.0,2286.0,0.729,1134.0,2535.0,3669.0,2011.0,757.0,478.0,1154.0,1638.0,7985.0,19,63,17,65,-9.12,-0.08,-9.2,95.8,105.7,91.4,0.278,0.101,0.427,15.1,33.7,0.197,0.469,13.0,68.6,0.247,The Arena in Oakland,444922,0,0,0,0,0,0,3023,1570,-0.045609678,-0.678948067,-0.724557745,1.609668753,1.609668753,0.0,-0.890790914,-1.049165473,-1.939956387,-0.876763094,61,19,42,25.7,99.8,1.7,6.6,10.5,1.1,26.0,0.0,2.0,9.5,7.2,7.0,21.3,0.096,0
7,1998-99,1999,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,34,GSW,NBA,PG,36,5,19.8,2.1,4.3,0.494,0.0,0.2,0.0,2.1,4.1,0.514,0.494,0.9,1.0,0.861,0.4,1.6,2.0,3.7,1.2,0.0,1.3,1.2,5.1,714,5.7,11.6,0.494,0.0,0.5,0.0,5.7,11.2,0.514,2.3,2.7,0.861,1.2,4.3,5.5,10.1,3.3,0.1,3.6,3.3,13.8,107,101,714,15.3,0.539,0.039,0.234,2.3,8.7,5.5,30.9,3.3,0.1,21.7,13.5,0.9,0.8,1.7,0.117,-0.7,2.2,1.5,0.6,50.0,12125.0,1730.0,4173.0,0.415,162.0,565.0,0.287,1568.0,3608.0,0.435,794.0,1175.0,0.676,816.0,1559.0,2375.0,1037.0,414.0,221.0,768.0,1270.0,4416.0,50.0,12125.0,1617.0,3848.0,0.42,193.0,575.0,0.336,1424.0,3273.0,0.435,1114.0,1531.0,0.728,656.0,1503.0,2159.0,1023.0,400.0,304.0,735.0,1027.0,4541.0,21,29,20,30,-2.5,-0.13,-2.63,98.4,101.1,88.9,0.282,0.135,0.434,14.1,35.2,0.19,0.445,14.0,70.4,0.29,The Arena in Oakland,335837,0,0,0,0,0,0,1338,714,0.779015064,0.995084258,1.774099322,1.640869093,1.640869093,0.0,0.134503371,0.53840473,0.672908101,-0.392222206,36,15,21,19.9,93.3,1.6,8.2,12.9,1.2,30.9,0.0,2.0,6.3,5.1,3.5,14.6,0.097,0
8,1999-00,2000,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,35,TOR,NBA,PG,80,5,21.6,2.0,4.5,0.439,0.2,0.6,0.333,1.8,3.8,0.456,0.462,1.0,1.1,0.908,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1,1731,4.7,10.7,0.439,0.5,1.5,0.333,4.2,9.2,0.456,2.4,2.6,0.908,0.7,3.3,4.0,9.0,1.9,0.1,1.8,3.6,12.3,116,108,1731,12.5,0.517,0.142,0.243,1.6,7.4,4.4,26.0,1.9,0.2,13.0,11.6,2.7,0.9,3.7,0.102,-1.5,-0.1,-1.6,0.2,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496,0,0,0,0,0,0,3532,1818,0.349586451,-1.068610613,-0.719024162,1.862029714,1.913199083,-0.051169369,-0.272937037,-1.126649494,-1.399586531,-0.50771099,80,45,35,21.6,100.7,1.4,6.6,10.6,0.8,22.6,0.1,1.7,6.4,6.1,7.6,17.0,0.067,0
9,2000-01,2001,Muggsy Bogues,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,36,TOR,NBA,PG,3,0,11.3,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.7,0.7,0.0,1.3,1.0,0.0,34,0.0,3.1,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.0,0.0,,0.0,4.7,4.7,7.8,3.1,0.0,6.2,4.7,0.0,36,103,34,-0.5,0.0,0.5,0.0,0.0,10.2,5.0,19.3,3.1,0.0,66.7,7.9,-0.1,0.0,-0.1,-0.128,-8.9,1.7,-7.2,0.0,82.0,19955.0,3048.0,6972.0,0.437,429.0,1164.0,0.369,2619.0,5808.0,0.451,1482.0,1984.0,0.747,1118.0,2529.0,3647.0,2004.0,599.0,519.0,1080.0,1745.0,8007.0,82.0,19955.0,3009.0,6725.0,0.447,379.0,1045.0,0.363,2630.0,5680.0,0.463,1425.0,1890.0,0.754,926.0,2511.0,3437.0,1696.0,561.0,439.0,1156.0,1792.0,7822.0,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,90.9,0.285,0.167,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,Air Canada Centre,793256,0,0,0,0,0,0,65,34,-6.245762906,-1.396467666,-7.642230571,-0.085554732,-0.085554732,0.0,-6.10507178,-2.121410982,-8.226482762,0.750989927,3,1,2,11.2,103.0,1.0,10.3,16.7,0.7,50.0,0.0,0.0,7.0,3.0,2.0,6.7,0.025,0
