,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,BOS,NBA,PG,80,48,28.2,4.1,8.8,0.468,0.3,1.0,0.317,3.8,7.7,0.488,0.486,2.4,3.0,0.793,0.6,2.5,3.1,5.8,1.7,0.4,1.7,2.5,10.9,2254,7.4,15.7,0.468,0.6,1.8,0.317,6.8,13.9,0.488,4.3,5.4,0.793,1.0,4.5,5.5,10.3,3.1,0.7,3.1,4.6,19.6,113,107,2254,17.2,0.541,0.117,0.345,2.3,10.0,6.2,28.1,3.1,0.9,14.4,18.2,3.6,2.7,6.4,0.135,1.1,1.9,3.0,2.8,82.0,19780.0,3453.0,7093.0,0.487,110.0,383.0,0.287,3343.0,6710.0,0.498,1486.0,1912.0,0.777,1076.0,2436.0,3512.0,1999.0,647.0,458.0,1174.0,1862.0,8502.0,82.0,19780.0,3232.0,6980.0,0.463,216.0,650.0,0.332,3016.0,6330.0,0.476,1749.0,2269.0,0.771,1094.0,2378.0,3472.0,1971.0,637.0,386.0,1181.0,1676.0,8429.0,48,34,43,39,0.89,0.04,0.93,108.7,107.8,94.9,0.27,0.054,0.495,12.9,31.2,0.21,0.479,12.9,69.0,0.251,Boston Garden,608495,0,0,0.0,0.0,0.0,0.0,4757,2387,2.163116781,1.432647878,3.595764659,7.716008422,7.628967855,0.087040567,2.134626973,1.784960045,3.919587019,0.08442896,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,BOS,NBA,SG,77,76,37.2,6.4,13.3,0.48,0.4,1.2,0.313,6.0,12.0,0.497,0.495,2.4,2.8,0.831,0.8,3.1,3.9,4.5,2.0,0.6,1.6,2.7,15.5,2867,8.6,17.9,0.48,0.5,1.7,0.313,8.1,16.2,0.497,3.2,3.8,0.831,1.1,4.1,5.3,6.1,2.7,0.8,2.2,3.6,20.9,111,108,2867,16.0,0.533,0.094,0.214,2.5,9.4,5.9,18.2,2.7,1.0,10.1,18.8,4.1,2.3,6.4,0.108,0.4,1.2,1.5,2.5,82.0,19905.0,3333.0,7057.0,0.472,138.0,477.0,0.289,3195.0,6580.0,0.486,1463.0,2003.0,0.73,1037.0,2380.0,3417.0,1928.0,674.0,440.0,1242.0,1849.0,8267.0,82.0,19905.0,3357.0,7034.0,0.477,231.0,665.0,0.347,3126.0,6369.0,0.491,1673.0,2218.0,0.754,1131.0,2508.0,3639.0,2089.0,690.0,414.0,1273.0,1738.0,8618.0,32,50,29,53,-4.28,0.01,-4.28,104.2,108.7,95.6,0.284,0.068,0.482,13.5,29.3,0.207,0.494,13.7,67.8,0.238,Boston Garden,604867,0,0,0.0,0.0,0.0,0.0,5776,2867,1.587231435,0.849107812,2.436339247,7.574806893,7.574806893,0.0,1.461391594,1.532485856,2.99387745,-0.145591655,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,BOS,NBA,SG,79,69,35.3,5.5,12.4,0.447,1.6,4.1,0.385,3.9,8.2,0.478,0.512,3.0,3.5,0.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,2.3,15.6,2792,8.0,17.9,0.447,2.3,6.0,0.385,5.7,11.9,0.478,4.3,5.1,0.852,1.2,3.4,4.6,5.5,2.0,0.9,2.7,3.3,22.6,116,112,2792,15.7,0.562,0.335,0.284,2.6,7.8,5.1,16.7,2.0,1.2,11.7,19.3,5.0,1.8,6.8,0.117,1.8,0.3,2.1,2.9,82.0,19805.0,3179.0,6847.0,0.464,362.0,984.0,0.368,2817.0,5863.0,0.48,1708.0,2268.0,0.753,1156.0,2320.0,3476.0,1783.0,612.0,361.0,1305.0,1975.0,8428.0,82.0,19805.0,3303.0,6820.0,0.484,375.0,1047.0,0.358,2928.0,5773.0,0.507,1601.0,2225.0,0.72,1064.0,2335.0,3399.0,1999.0,653.0,454.0,1232.0,1922.0,8582.0,35,47,36,46,-1.88,-0.04,-1.92,108.6,110.6,94.0,0.331,0.144,0.491,14.3,33.1,0.249,0.512,13.6,68.6,0.235,Boston Garden,606070,0,0,0.0,0.0,0.0,0.0,5846,2964,2.628905255,-0.020147164,2.608758091,8.113410854,7.441163431,0.672247423,2.52235039,0.277239869,2.799590259,-0.281092456,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,BOS,NBA,PG,65,23,24.5,3.8,9.5,0.399,1.0,3.4,0.309,2.7,6.1,0.449,0.455,2.1,2.4,0.854,0.6,1.5,2.1,2.2,1.2,0.2,1.1,1.8,10.7,1591,7.7,19.3,0.399,2.1,6.9,0.309,5.6,12.4,0.449,4.2,5.0,0.854,1.1,3.1,4.3,4.6,2.5,0.4,2.3,3.7,21.8,106,111,1591,13.7,0.507,0.357,0.256,2.5,7.2,4.8,14.3,2.5,0.5,9.7,20.5,1.4,1.0,2.4,0.073,-0.5,0.0,-0.5,0.6,82.0,19905.0,3163.0,6942.0,0.456,539.0,1453.0,0.371,2624.0,5489.0,0.478,1630.0,2284.0,0.714,1050.0,2427.0,3477.0,1792.0,653.0,406.0,1302.0,2041.0,8495.0,82.0,19905.0,3296.0,6856.0,0.481,415.0,1162.0,0.357,2881.0,5694.0,0.506,1767.0,2366.0,0.747,1040.0,2590.0,3630.0,1916.0,667.0,489.0,1314.0,1965.0,8774.0,33,49,32,50,-3.4,0.03,-3.37,106.4,109.9,96.2,0.329,0.209,0.494,14.1,28.8,0.235,0.511,14.3,70.0,0.258,FleetCenter,730842,0,0,0.0,0.0,0.0,0.0,3225,1591,0.184959272,0.164528769,0.349488041,2.520873293,2.520873293,0.0,0.388192671,0.299429579,0.68762225,0.182164271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Dee Brown,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,BOS,NBA,PG,21,2,24.9,2.9,7.9,0.367,1.0,3.1,0.308,2.0,4.8,0.406,0.428,0.9,1.0,0.818,0.4,1.9,2.3,3.2,1.5,0.3,1.1,2.1,7.6,522,5.9,15.9,0.367,1.9,6.2,0.308,3.9,9.7,0.406,1.7,2.1,0.818,0.8,3.8,4.6,6.4,3.0,0.7,2.3,4.3,15.4,99,111,522,11.3,0.455,0.392,0.133,1.6,9.6,5.3,19.6,3.0,1.0,12.0,16.4,0.1,0.3,0.3,0.03,-1.7,0.7,-1.0,0.1,82.0,19905.0,3066.0,6967.0,0.44,467.0,1331.0,0.351,2599.0,5636.0,0.461,1649.0,2199.0,0.75,1095.0,2188.0,3283.0,1792.0,810.0,315.0,1342.0,1915.0,8248.0,82.0,19905.0,3365.0,6696.0,0.503,493.0,1351.0,0.365,2872.0,5345.0,0.537,1626.0,2257.0,0.72,1005.0,2628.0,3633.0,2130.0,720.0,557.0,1446.0,1827.0,8849.0,15,67,22,60,-7.33,0.71,-6.62,103.9,111.4,95.8,0.316,0.191,0.474,14.5,29.4,0.237,0.539,15.8,68.5,0.243,FleetCenter,664022,21,24.9,-0.39,1.48,1.09,1.58,1054,522,-0.887898957,0.046543601,-0.841355356,0.509944386,0.509944386,0.0,-0.829880762,0.20723922,-0.622641542,0.291854633,21,4,17,24.9,104.4,1.9,8.4,13.7,1.5,24.6,0.3,16.3,8.9,8.2,5.3,25.1,0.071,0
5,1997-98,1998,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,BOS,NBA,SG,41,10,19.8,2.7,6.2,0.427,1.0,2.8,0.381,1.6,3.5,0.465,0.512,0.5,0.7,0.679,0.2,1.3,1.5,1.3,1.1,0.1,0.8,1.9,6.8,811,6.9,16.2,0.427,2.7,7.2,0.381,4.2,9.0,0.465,1.2,1.8,0.679,0.6,3.3,3.9,3.4,2.8,0.4,2.0,4.8,17.8,106,107,811,11.4,0.524,0.443,0.11,1.3,8.3,4.5,10.4,2.8,0.6,10.7,16.0,0.7,0.7,1.3,0.078,-1.2,0.3,-0.8,0.2,82.0,19730.0,3012.0,6934.0,0.434,415.0,1249.0,0.332,2597.0,5685.0,0.457,1425.0,1964.0,0.726,1196.0,2044.0,3240.0,1816.0,987.0,366.0,1330.0,2203.0,7864.0,82.0,19730.0,2864.0,5981.0,0.479,299.0,940.0,0.318,2565.0,5041.0,0.509,2052.0,2756.0,0.745,1015.0,2446.0,3461.0,1826.0,696.0,406.0,1688.0,1719.0,8079.0,36,46,33,49,-2.62,0.66,-1.96,102.6,105.4,93.3,0.283,0.18,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422,72,23.9,1.34,-1.61,-0.28,3.14,3366,1719,1.308574738,-1.254806908,0.053767831,2.496909184,2.496909184,0.0,1.035204114,-1.266323765,-0.231119651,1.370691755,72,21,51,23.9,106.5,1.8,7.8,13.8,1.1,21.2,0.3,9.5,9.1,7.4,8.6,22.3,0.04,0
6,1997-98,1998,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,TOR,NBA,SG,31,2,29.3,4.4,9.9,0.446,2.1,5.1,0.411,2.3,4.8,0.483,0.552,1.3,1.4,0.907,0.5,2.5,2.9,3.3,1.2,0.5,1.3,1.5,12.2,908,7.8,17.5,0.446,3.7,9.0,0.411,4.1,8.5,0.483,2.2,2.5,0.907,0.8,4.3,5.1,5.8,2.2,1.0,2.3,2.7,21.6,117,112,908,16.8,0.58,0.515,0.14,1.7,9.8,5.6,18.8,2.2,1.3,11.2,17.7,2.0,0.1,2.1,0.11,2.7,-1.2,1.6,0.8,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16,66,17,65,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,72,23.9,1.34,-1.61,-0.28,3.14,3366,1719,1.308574738,-1.254806908,0.053767831,2.496909184,2.496909184,0.0,1.035204114,-1.266323765,-0.231119651,1.370691755,72,21,51,23.9,106.5,1.8,7.8,13.8,1.1,21.2,0.3,9.5,9.1,7.4,8.6,22.3,0.04,0
7,1998-99,1999,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,TOR,NBA,PG,49,0,28.1,3.8,10.1,0.378,2.8,7.1,0.387,1.1,3.0,0.356,0.514,0.8,1.1,0.727,0.3,1.8,2.1,2.9,1.1,0.2,1.6,1.5,11.2,1377,7.3,19.4,0.378,5.3,13.7,0.387,2.0,5.7,0.356,1.6,2.2,0.727,0.6,3.5,4.0,5.6,2.2,0.3,3.1,2.9,21.6,105,107,1377,13.9,0.529,0.705,0.111,1.2,7.5,4.3,18.8,2.2,0.4,13.4,19.7,1.8,0.6,2.5,0.086,2.0,-1.3,0.7,1.0,50.0,12075.0,1660.0,3940.0,0.421,226.0,662.0,0.341,1434.0,3278.0,0.437,1011.0,1330.0,0.76,712.0,1447.0,2159.0,1036.0,439.0,321.0,799.0,1139.0,4557.0,50.0,12075.0,1694.0,3855.0,0.439,255.0,686.0,0.372,1439.0,3169.0,0.454,996.0,1368.0,0.728,614.0,1393.0,2007.0,1095.0,446.0,258.0,773.0,1088.0,4639.0,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,88.8,0.338,0.168,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258,Air Canada Centre,439190,49,28.1,1.93,-2.11,-0.18,2.88,2577,1377,2.306727491,-1.231155066,1.075572425,2.694075613,2.694075613,0.0,2.805124893,-1.135902872,1.669222021,0.215556897,49,23,26,28.2,103.0,1.8,6.5,10.5,1.1,23.9,0.2,3.8,10.8,7.6,9.7,20.0,0.051,0
8,1999-00,2000,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,TOR,NBA,PG,38,12,17.7,2.4,6.8,0.36,1.8,4.9,0.358,0.7,1.9,0.366,0.49,0.3,0.4,0.688,0.2,1.2,1.4,2.3,0.6,0.1,1.0,1.6,6.9,673,7.2,19.9,0.36,5.2,14.4,0.358,2.0,5.5,0.366,0.8,1.2,0.688,0.7,3.5,4.2,6.6,1.9,0.4,3.0,4.8,20.4,101,108,673,11.8,0.498,0.725,0.062,1.4,7.7,4.5,20.7,1.9,0.5,12.8,20.0,0.4,0.4,0.8,0.057,0.4,-0.9,-0.5,0.3,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496,38,17.7,2.3,-0.37,1.94,2.03,1346,692,0.925203274,-1.440599415,-0.515396142,0.79479528,0.788562414,0.006232866,1.421773194,-1.58353982,-0.161766625,0.890628689,38,20,18,17.7,99.4,1.2,6.8,10.2,0.6,21.4,0.1,5.9,5.9,4.7,6.4,15.6,0.064,0
9,2000-01,2001,Dee Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,ORL,NBA,PG,7,0,22.1,2.3,6.3,0.364,1.7,4.6,0.375,0.6,1.7,0.333,0.5,0.6,0.7,0.8,0.0,1.6,1.6,1.7,0.6,0.0,1.0,1.4,6.9,155,5.3,14.6,0.364,4.0,10.6,0.375,1.3,4.0,0.333,1.3,1.7,0.8,0.0,3.7,3.7,4.0,1.3,0.0,2.3,3.3,16.0,102,106,155,9.0,0.519,0.727,0.114,0.0,8.1,3.9,11.9,1.3,0.0,13.2,15.2,0.1,0.1,0.2,0.059,-1.4,-1.0,-2.4,0.0,82.0,19955.0,3013.0,6873.0,0.438,490.0,1346.0,0.364,2523.0,5527.0,0.456,1476.0,2068.0,0.714,1069.0,2450.0,3519.0,1803.0,674.0,481.0,1245.0,2071.0,7992.0,82.0,19955.0,2830.0,6499.0,0.435,366.0,1059.0,0.346,2464.0,5440.0,0.453,1885.0,2566.0,0.735,1061.0,2609.0,3670.0,1793.0,695.0,440.0,1408.0,1946.0,7911.0,43,39,44,38,0.99,-0.6,0.39,103.2,102.1,93.2,0.301,0.196,0.474,13.8,29.1,0.215,0.464,15.6,69.8,0.29,TD Waterhouse Centre,605031,7,22.1,-0.48,-0.67,-1.15,0.18,410,209,-0.099510161,-1.875306353,-1.974816514,0.08439358,0.011172951,0.073220629,-0.077472914,-2.16243375,-2.239906664,0.012637444,7,2,5,22.3,100.7,1.6,7.1,12.5,0.6,21.1,0.0,0.0,7.9,5.9,6.7,18.0,0.063,0
