,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2006-07,2007,Shannon Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,CLE,NBA,SG,23,5,8.8,1.2,3.2,0.378,0.3,1.1,0.28,0.9,2.1,0.429,0.426,0.4,0.6,0.714,0.3,0.7,0.9,0.4,0.3,0.1,0.6,1.0,3.2,202,7.3,19.4,0.378,1.8,6.5,0.28,5.5,12.8,0.429,2.6,3.7,0.714,1.6,3.9,5.5,2.6,1.8,0.8,3.7,6.3,19.1,88,103,202,7.5,0.455,0.338,0.189,3.4,8.9,6.0,8.1,1.8,1.2,14.9,21.1,-0.2,0.3,0.1,0.015,-5.5,-0.2,-5.7,-0.2,82.0,19880.0,2978.0,6658.0,0.447,494.0,1404.0,0.352,2484.0,5254.0,0.473,1484.0,2133.0,0.696,1039.0,2529.0,3568.0,1708.0,625.0,353.0,1177.0,1781.0,7934.0,82.0,19880.0,2838.0,6337.0,0.448,405.0,1231.0,0.329,2433.0,5106.0,0.476,1539.0,2096.0,0.734,807.0,2461.0,3268.0,1649.0,540.0,349.0,1254.0,1804.0,7620.0,50,32,52,30,3.83,-0.5,3.33,105.5,101.3,90.8,0.32,0.211,0.484,13.4,29.7,0.223,0.48,14.7,75.8,0.243,Quicken Loans Arena,837883,23,8.8,-1.3,-2.64,-3.94,-0.11,388,202,-2.581754632,-1.647766776,-4.229521408,-0.153131204,-0.153131204,0.0,-2.636703084,-2.170495699,-4.807198783,1.005668805,23,16,7,8.8,110.8,0.7,7.9,12.8,0.3,24.1,0.1,16.7,3.3,3.3,1.8,9.0,0.008,0.0
1,2007-08,2008,Shannon Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,CLE,NBA,SG,15,4,14.5,2.7,7.4,0.369,0.6,1.9,0.31,2.1,5.5,0.39,0.41,0.9,1.5,0.609,0.3,0.9,1.2,1.1,0.7,0.1,1.3,1.8,7.0,218,10.0,27.1,0.369,2.2,7.1,0.31,7.8,20.0,0.39,3.4,5.6,0.609,1.2,3.2,4.4,4.2,2.4,0.2,4.6,6.6,25.6,86,108,218,8.1,0.433,0.261,0.207,2.5,7.0,4.7,14.1,2.4,0.4,13.6,29.2,-0.5,0.2,-0.2,-0.052,-4.4,-1.5,-5.9,-0.2,82.0,19855.0,2937.0,6697.0,0.439,552.0,1544.0,0.358,2385.0,5153.0,0.463,1477.0,2061.0,0.717,1092.0,2563.0,3655.0,1640.0,579.0,427.0,1145.0,1712.0,7903.0,82.0,19855.0,2939.0,6462.0,0.455,506.0,1419.0,0.357,2433.0,5043.0,0.482,1548.0,2070.0,0.748,814.0,2500.0,3314.0,1721.0,559.0,388.0,1092.0,1666.0,7932.0,45,37,40,42,-0.35,-0.17,-0.53,106.0,106.4,90.2,0.308,0.231,0.48,13.1,30.4,0.221,0.494,12.9,75.9,0.24,Quicken Loans Arena,839074,21,11.4,-1.34,-1.19,-2.53,0.04,457,240,-5.749728629,-1.514312828,-7.264041457,-0.558308527,-0.558308527,0.0,-4.897988164,-1.888922815,-6.786910979,2.292569382,21,5,16,11.4,108.0,0.7,6.5,10.4,0.5,40.7,0.1,11.1,4.2,2.8,3.4,8.6,0.023,0.0
2,2007-08,2008,Shannon Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,CHI,NBA,SG,6,0,3.7,0.5,2.5,0.2,0.0,0.2,0.0,0.5,2.3,0.214,0.2,0.5,1.0,0.5,0.2,0.2,0.3,0.0,0.2,0.3,0.8,0.3,1.5,22,7.0,35.2,0.2,0.0,2.3,0.0,7.0,32.8,0.214,7.0,14.1,0.5,2.3,2.3,4.7,0.0,2.3,4.7,11.7,4.7,21.1,46,105,22,-11.8,0.255,0.067,0.4,5.0,5.3,5.1,0.0,2.3,7.1,22.1,45.5,-0.3,0.0,-0.3,-0.592,-19.0,-8.4,-27.4,-0.1,82.0,19805.0,2987.0,6861.0,0.435,474.0,1305.0,0.363,2513.0,5556.0,0.452,1533.0,2029.0,0.756,1050.0,2478.0,3528.0,1811.0,635.0,429.0,1197.0,1784.0,7981.0,82.0,19805.0,2982.0,6583.0,0.453,571.0,1522.0,0.375,2411.0,5061.0,0.476,1699.0,2217.0,0.766,914.0,2582.0,3496.0,1794.0,648.0,465.0,1254.0,1746.0,8234.0,33,49,32,50,-3.09,-0.11,-3.19,103.9,107.2,93.0,0.296,0.19,0.47,13.4,28.9,0.223,0.496,14.2,73.1,0.258,United Center,901502,21,11.4,-1.34,-1.19,-2.53,0.04,457,240,-5.749728629,-1.514312828,-7.264041457,-0.558308527,-0.558308527,0.0,-4.897988164,-1.888922815,-6.786910979,2.292569382,21,5,16,11.4,108.0,0.7,6.5,10.4,0.5,40.7,0.1,11.1,4.2,2.8,3.4,8.6,0.023,0.0
3,2008-09,2009,Shannon Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CHA,NBA,SG,30,0,11.4,1.9,4.1,0.455,0.3,0.9,0.286,1.6,3.2,0.505,0.488,0.8,1.0,0.8,0.3,0.5,0.8,0.9,0.6,0.2,1.0,1.1,4.8,341,8.9,19.6,0.455,1.3,4.5,0.286,7.6,15.1,0.505,3.8,4.8,0.8,1.3,2.5,3.8,4.5,2.9,0.8,4.6,5.3,22.9,97,106,341,12.1,0.529,0.228,0.244,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,-0.1,0.4,0.3,0.041,-1.8,1.1,-0.7,0.1,82.0,19930.0,2866.0,6299.0,0.455,490.0,1339.0,0.366,2376.0,4960.0,0.479,1455.0,1965.0,0.74,886.0,2366.0,3252.0,1741.0,580.0,397.0,1279.0,1754.0,7677.0,82.0,19930.0,2883.0,6349.0,0.454,558.0,1526.0,0.366,2325.0,4823.0,0.482,1457.0,1928.0,0.756,877.0,2310.0,3187.0,1604.0,626.0,488.0,1206.0,1714.0,7781.0,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,Time Warner Cable Arena,597548,48,9.9,-0.84,-0.59,-1.43,0.46,1435,753,-1.108174059,-0.986277306,-2.094451365,0.259928872,-0.096178743,0.356107615,-1.345501063,-1.676890033,-3.022391095,0.633153751,48,25,23,9.9,102.4,0.7,7.1,12.0,0.5,26.8,0.1,14.6,4.1,3.1,2.4,8.0,0.04,0.0
4,2008-09,2009,Shannon Brown,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,LAL,NBA,SG,18,0,7.6,1.2,2.3,0.524,0.3,0.5,0.667,0.9,1.8,0.485,0.595,0.4,0.5,0.889,0.2,0.9,1.1,0.6,0.2,0.1,0.5,0.5,3.2,136,8.2,15.7,0.524,2.2,3.4,0.667,6.0,12.4,0.485,3.0,3.4,0.889,1.1,6.4,7.5,3.7,1.5,0.7,3.4,3.4,21.7,114,106,136,15.0,0.631,0.214,0.214,2.5,13.9,8.3,10.9,1.5,1.1,16.4,17.8,0.2,0.2,0.4,0.131,0.8,0.4,1.2,0.1,82.0,19780.0,3307.0,6981.0,0.474,547.0,1516.0,0.361,2760.0,5465.0,0.505,1607.0,2087.0,0.77,1015.0,2587.0,3602.0,1908.0,718.0,420.0,1103.0,1698.0,8768.0,82.0,19780.0,3050.0,6825.0,0.447,586.0,1700.0,0.345,2464.0,5125.0,0.481,1454.0,1931.0,0.753,959.0,2440.0,3399.0,1854.0,635.0,392.0,1275.0,1816.0,8140.0,65,17,61,21,7.66,-0.55,7.11,112.8,104.7,94.3,0.299,0.217,0.513,12.3,29.4,0.23,0.49,14.2,73.0,0.213,STAPLES Center,778877,48,9.9,-0.84,-0.59,-1.43,0.46,1435,753,-1.108174059,-0.986277306,-2.094451365,0.259928872,-0.096178743,0.356107615,-1.345501063,-1.676890033,-3.022391095,0.633153751,48,25,23,9.9,102.4,0.7,7.1,12.0,0.5,26.8,0.1,14.6,4.1,3.1,2.4,8.0,0.04,0.0
5,2009-10,2010,Shannon Brown,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,LAL,NBA,SG,82,7,20.7,3.1,7.2,0.427,0.8,2.3,0.328,2.3,4.9,0.474,0.48,1.2,1.5,0.818,0.4,1.9,2.2,1.3,0.7,0.4,0.8,1.6,8.1,1700,7.7,18.0,0.427,1.9,5.8,0.328,5.8,12.3,0.474,3.0,3.7,0.818,0.9,4.7,5.6,3.3,1.7,0.9,2.0,3.9,20.3,105,105,1700,12.4,0.517,0.319,0.204,2.0,10.0,6.0,9.9,1.7,1.4,9.4,18.8,1.1,2.3,3.4,0.096,-1.2,0.8,-0.4,0.7,82.0,19830.0,3144.0,6875.0,0.457,532.0,1562.0,0.341,2612.0,5313.0,0.492,1519.0,1985.0,0.765,973.0,2662.0,3635.0,1730.0,612.0,400.0,1096.0,1592.0,8339.0,82.0,19830.0,3050.0,6840.0,0.446,520.0,1585.0,0.328,2530.0,5255.0,0.481,1332.0,1776.0,0.75,914.0,2546.0,3460.0,1792.0,573.0,363.0,1159.0,1737.0,7952.0,57,25,54,28,4.72,0.06,4.78,108.8,103.7,92.8,0.289,0.227,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,STAPLES Center,778877,82,20.7,-1.18,0.59,-0.58,2.58,3936,2024,-1.332977275,-0.224293702,-1.557270976,1.222636368,1.277966947,-0.055330578,-1.407962903,-0.513613489,-1.921576392,0.186764593,82,57,25,20.7,101.1,1.9,8.8,13.4,0.7,23.5,0.4,17.7,6.2,5.9,5.4,17.5,0.09,-0.51
6,2010-11,2011,Shannon Brown,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,25,LAL,NBA,SG,82,0,19.1,3.3,7.8,0.425,0.9,2.6,0.349,2.4,5.3,0.462,0.482,1.1,1.2,0.911,0.4,1.5,1.9,1.2,0.8,0.2,0.9,1.5,8.7,1568,9.2,21.7,0.425,2.5,7.2,0.349,6.7,14.5,0.462,3.1,3.4,0.911,1.2,4.1,5.3,3.2,2.3,0.5,2.5,4.2,24.0,105,106,1568,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,1.1,1.9,3.1,0.093,-0.9,0.2,-0.8,0.5,82.0,19830.0,3128.0,6757.0,0.463,524.0,1487.0,0.352,2604.0,5270.0,0.494,1541.0,1979.0,0.779,989.0,2616.0,3605.0,1801.0,602.0,422.0,1073.0,1555.0,8321.0,82.0,19830.0,3008.0,6888.0,0.437,558.0,1668.0,0.335,2450.0,5220.0,0.469,1246.0,1628.0,0.765,1002.0,2399.0,3401.0,1827.0,585.0,372.0,1116.0,1700.0,7820.0,57,25,58,24,6.11,-0.1,6.01,111.0,104.3,90.7,0.293,0.22,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,STAPLES Center,778877,82,19.1,-0.15,1.36,1.21,4.41,3300,1734,-0.237704674,-0.220850996,-0.45855567,2.041036594,1.821846741,0.219189853,-0.002643758,-0.460550029,-0.463193787,0.287990493,82,57,25,19.1,100.0,1.5,7.3,11.7,0.8,29.4,0.2,9.2,5.7,6.0,4.9,15.0,0.088,-0.53
7,2011-12,2012,Shannon Brown,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,PHO,NBA,SG,59,19,23.7,4.3,10.1,0.42,1.2,3.2,0.362,3.1,6.9,0.446,0.477,1.4,1.7,0.808,0.6,2.0,2.7,1.2,0.7,0.3,1.1,1.1,11.0,1400,9.3,22.1,0.42,2.5,7.0,0.362,6.8,15.2,0.446,3.0,3.7,0.808,1.4,4.4,5.8,2.6,1.6,0.6,2.4,2.4,24.1,101,108,1400,13.6,0.507,0.314,0.166,3.1,9.5,6.3,8.1,1.6,0.8,9.1,22.8,0.8,0.8,1.6,0.054,-0.2,-0.9,-1.0,0.3,66.0,15840.0,2495.0,5445.0,0.458,444.0,1295.0,0.343,2051.0,4150.0,0.494,1058.0,1397.0,0.757,717.0,2035.0,2752.0,1486.0,431.0,366.0,928.0,1233.0,6492.0,66.0,15840.0,2505.0,5510.0,0.455,398.0,1131.0,0.352,2107.0,4379.0,0.481,1100.0,1444.0,0.762,802.0,2064.0,2866.0,1416.0,526.0,288.0,929.0,1293.0,6508.0,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,92.6,0.257,0.238,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,US Airways Center,514718,59,23.7,0.02,-0.96,-0.95,1.3,2732,1400,-0.409149814,-1.336595039,-1.745744853,0.71596674,0.71596674,0.0,-0.17576781,-1.379992788,-1.555760598,-0.174142977,59,29,30,23.7,105.1,2.0,8.3,13.5,0.7,23.0,0.3,9.3,7.5,7.3,6.9,22.5,0.05,-2.1
8,2012-13,2013,Shannon Brown,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,PHO,NBA,SG,59,22,23.8,4.1,9.7,0.42,0.7,2.4,0.277,3.4,7.3,0.467,0.454,1.7,2.1,0.784,0.7,1.8,2.5,1.8,1.0,0.3,1.3,1.6,10.5,1402,8.8,20.9,0.42,1.4,5.2,0.277,7.4,15.8,0.467,3.6,4.6,0.784,1.6,3.8,5.5,4.0,2.2,0.5,2.7,3.4,22.6,99,110,1402,13.1,0.493,0.247,0.219,3.5,8.7,6.0,12.8,2.2,0.8,10.6,22.2,0.4,0.8,1.2,0.041,-1.1,-0.5,-1.6,0.2,82.0,19805.0,3061.0,6917.0,0.443,480.0,1455.0,0.33,2581.0,5462.0,0.473,1203.0,1618.0,0.744,959.0,2454.0,3413.0,1855.0,659.0,434.0,1278.0,1688.0,7805.0,82.0,19805.0,3181.0,6771.0,0.47,568.0,1464.0,0.388,2613.0,5307.0,0.492,1405.0,1855.0,0.757,958.0,2598.0,3556.0,1870.0,684.0,421.0,1258.0,1511.0,8335.0,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,93.4,0.234,0.21,0.477,14.3,27.0,0.174,0.512,14.2,71.9,0.208,US Airways Center,632913,59,23.8,0.09,-1.53,-1.43,1.03,2759,1402,-0.654306628,-1.378705459,-2.033012088,0.513622901,0.513622901,0.0,-0.749687482,-1.194755777,-1.944443259,0.138177808,59,17,42,23.8,107.5,1.8,7.8,12.8,1.0,25.5,0.3,10.1,8.4,7.1,5.8,22.5,0.042,-1.6
9,2013-14,2014,Shannon Brown,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,28,SAS,NBA,SG,10,1,10.3,0.8,2.8,0.286,0.0,0.2,0.0,0.8,2.6,0.308,0.286,0.7,0.9,0.778,0.1,1.2,1.3,0.5,0.1,0.0,0.8,1.2,2.3,103,3.9,13.7,0.286,0.0,1.0,0.0,3.9,12.8,0.308,3.4,4.4,0.778,0.5,5.9,6.4,2.5,0.5,0.0,3.9,5.9,11.3,68,107,103,-0.5,0.36,0.071,0.321,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,-0.3,0.1,-0.2,-0.102,-8.8,-1.5,-10.3,-0.2,82.0,19755.0,3326.0,6844.0,0.486,698.0,1757.0,0.397,2628.0,5087.0,0.517,1289.0,1642.0,0.785,762.0,2786.0,3548.0,2064.0,604.0,420.0,1180.0,1495.0,8639.0,82.0,19755.0,3096.0,6976.0,0.444,529.0,1500.0,0.353,2567.0,5476.0,0.469,1285.0,1691.0,0.76,862.0,2600.0,3462.0,1669.0,628.0,379.0,1137.0,1585.0,8006.0,62,20,61,21,7.72,0.28,8.0,110.5,102.4,95.0,0.24,0.257,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,AT&T Center,755031,29,8.7,-3.49,-2.95,-6.45,-0.64,522,251,-7.638674698,-1.386526392,-9.02520109,-0.807508321,-0.807508321,0.0,-6.83935303,-1.709778272,-8.549131303,0.365992673,29,19,10,8.7,105.6,0.7,8.4,14.2,0.4,33.3,0.0,0.0,3.9,3.3,2.3,8.8,0.025,-0.68
