,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2002-03,2003,Rasual Butler,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIA,NBA,SG,72,28,21.0,2.9,7.9,0.362,0.7,2.4,0.292,2.2,5.6,0.392,0.406,1.1,1.4,0.731,0.4,2.2,2.6,1.3,0.3,0.6,1.1,1.5,7.5,1514,7.5,20.6,0.362,1.8,6.2,0.292,5.7,14.5,0.392,2.7,3.8,0.731,1.0,5.7,6.7,3.4,0.8,1.6,2.8,3.8,19.5,88,104,1514,9.5,0.437,0.299,0.182,2.1,12.3,7.1,11.4,0.8,2.2,11.1,21.6,-1.4,1.4,0.1,0.002,-1.9,-0.6,-2.5,-0.2,82.0,19830.0,2688.0,6517.0,0.412,348.0,1100.0,0.316,2340.0,5417.0,0.432,1292.0,1689.0,0.765,948.0,2464.0,3412.0,1501.0,592.0,324.0,1167.0,1856.0,7016.0,82.0,19830.0,2713.0,6208.0,0.437,406.0,1149.0,0.353,2307.0,5059.0,0.456,1598.0,2129.0,0.751,872.0,2587.0,3459.0,1482.0,626.0,436.0,1173.0,1671.0,7430.0,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,0.259,0.169,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242,72,21.0,-2.02,-0.46,-2.48,0.59,2801,1514,-3.002911882,-1.092907836,-4.095819718,-1.040470881,-1.040470881,0.0,-3.146559686,-1.907314969,-5.053874655,0.079908655,72,19,53,21.0,99.5,2.2,10.4,16.3,0.3,9.7,0.6,26.5,7.2,5.7,4.9,15.5,0.074,0.0
1,2003-04,2004,Rasual Butler,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MIA,NBA,SF,45,0,15.0,2.6,5.6,0.476,1.1,2.4,0.463,1.5,3.2,0.486,0.576,0.4,0.5,0.762,0.1,1.3,1.4,0.5,0.2,0.3,0.6,1.6,6.8,675,9.6,20.2,0.476,4.0,8.7,0.463,5.6,11.5,0.486,1.3,1.7,0.762,0.3,4.6,4.9,1.9,0.8,1.1,2.3,5.8,24.6,108,105,675,14.0,0.586,0.432,0.084,0.7,10.0,5.3,6.6,0.8,1.5,9.7,20.0,1.0,0.5,1.6,0.113,0.8,-0.7,0.1,0.4,82.0,19755.0,2729.0,6417.0,0.425,485.0,1357.0,0.357,2244.0,5060.0,0.443,1459.0,1915.0,0.762,940.0,2459.0,3399.0,1565.0,590.0,313.0,1137.0,1812.0,7402.0,82.0,19755.0,2658.0,6205.0,0.428,431.0,1256.0,0.343,2227.0,4949.0,0.45,1612.0,2100.0,0.768,892.0,2486.0,3378.0,1526.0,578.0,439.0,1207.0,1729.0,7359.0,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,88.0,0.298,0.211,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,AmericanAirlines Arena,624809,45,15.0,0.58,0.63,1.2,2.0,1358,733,0.802307397,-1.301817688,-0.499510291,0.847595564,0.781310017,0.066285547,0.369369816,-2.114528811,-1.745158995,0.436741184,45,28,17,15.0,97.3,1.3,8.2,13.3,0.2,11.4,0.3,18.3,4.6,4.4,2.8,9.8,0.061,0.0
2,2004-05,2005,Rasual Butler,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,MIA,NBA,SF,65,15,18.5,2.5,6.3,0.399,0.9,2.4,0.373,1.6,3.9,0.414,0.468,0.6,0.7,0.771,0.2,2.1,2.3,1.0,0.3,0.4,0.6,1.6,6.5,1203,7.2,18.0,0.399,2.5,6.7,0.373,4.7,11.3,0.414,1.6,2.1,0.771,0.7,6.0,6.6,2.7,0.8,1.3,1.6,4.6,18.5,100,105,1203,10.3,0.488,0.374,0.117,1.5,12.7,7.3,8.1,0.8,1.8,7.9,18.1,0.3,1.4,1.7,0.068,-1.3,-0.2,-1.5,0.1,82.0,19980.0,3097.0,6368.0,0.486,475.0,1260.0,0.377,2622.0,5108.0,0.513,1658.0,2466.0,0.672,887.0,2639.0,3526.0,1790.0,528.0,474.0,1127.0,1814.0,8327.0,82.0,19980.0,2865.0,6705.0,0.427,441.0,1269.0,0.348,2424.0,5436.0,0.446,1621.0,2134.0,0.76,922.0,2397.0,3319.0,1620.0,611.0,264.0,1085.0,2020.0,7792.0,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,90.8,0.387,0.198,0.524,13.1,27.0,0.26,0.46,12.4,74.1,0.242,AmericanAirlines Arena,815143,65,18.5,-1.24,2.11,0.87,3.13,2648,1385,-2.118724357,-0.011412355,-2.130136712,0.440100732,0.380968361,0.059132371,-1.992181638,-0.775799029,-2.767980668,0.060916981,65,48,17,18.4,97.5,2.1,10.8,16.9,0.3,12.2,0.4,17.6,5.4,4.7,4.0,11.7,0.088,0.0
3,2005-06,2006,Rasual Butler,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,NOK,NBA,SF,79,20,23.7,3.3,8.0,0.406,1.2,3.1,0.38,2.1,4.9,0.422,0.479,1.0,1.4,0.693,0.6,2.3,2.9,0.5,0.4,0.6,0.8,1.8,8.7,1875,7.4,18.2,0.406,2.6,7.0,0.38,4.7,11.3,0.422,2.3,3.3,0.693,1.5,5.2,6.7,1.2,0.9,1.3,1.9,4.1,19.7,100,109,1875,10.8,0.501,0.382,0.18,3.2,11.8,7.4,3.7,0.9,2.0,8.7,18.6,0.4,1.3,1.7,0.045,-0.9,-1.1,-2.0,0.0,82.0,19805.0,2831.0,6428.0,0.44,300.0,885.0,0.339,2531.0,5543.0,0.457,1649.0,2176.0,0.758,918.0,2379.0,3297.0,1519.0,611.0,311.0,1095.0,1786.0,7611.0,82.0,19805.0,2883.0,6286.0,0.459,546.0,1486.0,0.367,2337.0,4800.0,0.487,1530.0,2014.0,0.76,860.0,2498.0,3358.0,1584.0,527.0,432.0,1197.0,1910.0,7842.0,38,44,33,49,-2.82,0.31,-2.51,103.7,106.8,89.0,0.339,0.138,0.464,12.9,26.9,0.257,0.502,14.3,73.4,0.243,Ford Center,744920,79,23.7,-0.84,0.56,-0.28,3.21,3516,1875,-1.133398252,-1.117915837,-2.25131409,0.476657527,0.476657527,0.0,-1.148408964,-1.604204258,-2.752613223,-0.076423154,79,36,43,23.7,104.1,2.3,10.6,16.6,0.4,11.5,0.6,27.8,6.8,6.3,5.2,17.5,0.067,0.0
4,2006-07,2007,Rasual Butler,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,NOK,NBA,SF,81,38,27.4,3.9,9.7,0.398,1.7,4.5,0.369,2.2,5.2,0.424,0.484,0.7,1.1,0.644,0.5,2.6,3.2,0.8,0.5,0.7,0.8,1.8,10.1,2223,7.5,18.9,0.398,3.2,8.7,0.369,4.3,10.2,0.424,1.3,2.1,0.644,1.0,5.1,6.1,1.5,1.0,1.3,1.6,3.5,19.6,102,108,2223,10.8,0.495,0.461,0.11,2.1,11.4,6.7,4.7,1.0,1.9,7.5,18.3,0.8,1.8,2.6,0.056,-0.5,-0.4,-0.9,0.6,82.0,19880.0,2971.0,6674.0,0.445,455.0,1256.0,0.362,2516.0,5418.0,0.464,1436.0,1941.0,0.74,1025.0,2512.0,3537.0,1537.0,522.0,347.0,1187.0,1620.0,7833.0,82.0,19880.0,3004.0,6579.0,0.457,559.0,1575.0,0.355,2445.0,5004.0,0.489,1395.0,1839.0,0.759,853.0,2493.0,3346.0,1703.0,554.0,392.0,1119.0,1733.0,7962.0,39,43,36,46,-1.57,0.38,-1.19,104.8,106.5,90.2,0.291,0.188,0.479,13.6,29.1,0.215,0.499,13.2,74.7,0.212,Ford Center,731165,81,27.4,-1.19,2.06,0.87,5.76,4225,2223,-1.448655027,0.835063093,-0.613591934,2.422204667,2.422204667,0.0,-1.230224762,0.353475691,-0.876749071,-0.032834461,81,39,42,27.4,103.0,2.6,9.9,15.0,0.5,14.3,0.7,25.5,8.8,7.6,6.3,20.6,0.09,0.0
5,2007-08,2008,Rasual Butler,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,28,NOH,NBA,SF,51,8,17.2,1.8,5.1,0.35,0.9,2.6,0.331,0.9,2.5,0.37,0.435,0.5,0.6,0.839,0.3,1.6,2.0,0.7,0.3,0.4,0.2,1.3,4.9,875,5.6,15.9,0.35,2.7,8.1,0.331,2.9,7.8,0.37,1.6,1.9,0.839,1.0,5.1,6.1,2.2,0.9,1.3,0.6,4.0,15.4,103,108,875,8.8,0.46,0.512,0.119,2.1,11.5,6.7,5.9,0.9,1.9,3.5,15.1,0.3,0.8,1.2,0.063,-1.8,-0.1,-1.9,0.0,82.0,19805.0,3164.0,6796.0,0.466,630.0,1621.0,0.389,2534.0,5175.0,0.49,1312.0,1707.0,0.769,937.0,2494.0,3431.0,1785.0,637.0,321.0,974.0,1531.0,8270.0,82.0,19805.0,3038.0,6604.0,0.46,544.0,1552.0,0.351,2494.0,5052.0,0.494,1217.0,1579.0,0.771,815.0,2533.0,3348.0,1779.0,470.0,331.0,1136.0,1573.0,7837.0,56,26,56,26,5.28,0.18,5.46,111.5,105.7,89.9,0.251,0.239,0.512,11.4,27.0,0.193,0.501,13.5,75.4,0.184,New Orleans Arena,581432,51,17.2,-2.37,1.47,-0.9,1.05,1658,875,-2.31438254,0.483653448,-1.830729092,0.410635566,0.410635566,0.0,-2.27964488,-0.392991141,-2.672636022,0.057002785,51,37,14,17.2,98.3,1.6,9.6,14.5,0.3,10.4,0.4,21.4,4.8,4.2,3.6,12.9,0.087,0.0
6,2008-09,2009,Rasual Butler,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,NOH,NBA,SF,82,74,31.9,4.2,9.8,0.433,1.7,4.4,0.39,2.5,5.4,0.468,0.521,1.0,1.3,0.782,0.6,2.7,3.3,0.9,0.6,0.7,0.7,1.9,11.2,2614,7.3,16.8,0.433,2.9,7.5,0.39,4.4,9.3,0.468,1.8,2.3,0.782,1.0,4.6,5.7,1.6,1.1,1.3,1.2,3.3,19.3,109,109,2614,11.8,0.541,0.447,0.137,2.3,10.2,6.3,4.8,1.1,2.0,6.5,16.8,2.2,2.4,4.6,0.084,0.0,-0.5,-0.5,1.0,82.0,19755.0,2911.0,6366.0,0.457,556.0,1526.0,0.364,2355.0,4840.0,0.487,1479.0,1833.0,0.807,802.0,2453.0,3255.0,1609.0,593.0,338.0,1029.0,1665.0,7857.0,82.0,19755.0,2851.0,6329.0,0.45,575.0,1625.0,0.354,2276.0,4704.0,0.484,1453.0,1879.0,0.773,822.0,2459.0,3281.0,1649.0,476.0,290.0,1089.0,1675.0,7730.0,49,33,46,36,1.55,-0.14,1.41,108.7,107.0,87.8,0.288,0.24,0.501,12.5,24.6,0.232,0.496,13.2,74.9,0.23,New Orleans Arena,695727,82,31.9,-2.13,0.09,-2.04,1.39,5135,2772,-1.238148305,-1.061875975,-2.300024279,0.63484643,0.770426813,-0.135580384,-1.126642806,-1.087090133,-2.213732939,-0.249614575,82,49,33,31.9,106.4,2.7,9.0,13.6,0.6,13.3,0.7,26.1,8.9,8.3,7.7,24.5,0.09,0.0
7,2009-10,2010,Rasual Butler,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,LAC,NBA,SF,82,64,33.0,4.3,10.6,0.409,1.8,5.3,0.336,2.6,5.3,0.482,0.493,1.5,1.8,0.841,0.5,2.5,2.9,1.4,0.4,0.8,1.0,1.5,11.9,2702,6.8,16.7,0.409,2.8,8.3,0.336,4.0,8.4,0.482,2.3,2.8,0.841,0.7,3.9,4.6,2.2,0.7,1.3,1.5,2.3,18.8,106,113,2702,10.7,0.524,0.497,0.167,1.7,8.7,5.1,6.8,0.7,1.9,7.8,17.0,1.8,0.9,2.7,0.048,-0.8,-1.1,-1.9,0.1,82.0,19705.0,3002.0,6601.0,0.455,483.0,1457.0,0.332,2519.0,5144.0,0.49,1362.0,1867.0,0.73,927.0,2502.0,3429.0,1810.0,532.0,466.0,1285.0,1581.0,7849.0,82.0,19705.0,3193.0,6792.0,0.47,529.0,1457.0,0.363,2664.0,5335.0,0.499,1455.0,1910.0,0.762,879.0,2490.0,3369.0,1926.0,686.0,363.0,1059.0,1588.0,8370.0,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,92.6,0.283,0.221,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,STAPLES Center,670063,82,33.0,-0.6,-0.85,-1.45,2.57,5272,2702,-0.756300744,-0.80474092,-1.561041664,1.633641237,1.633641237,0.0,-0.864153001,-0.98370375,-1.847856751,-0.309810385,82,29,53,33.0,107.9,2.5,7.5,11.4,0.4,9.9,0.8,20.7,12.9,9.7,9.7,30.5,0.073,-0.85
8,2010-11,2011,Rasual Butler,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,LAC,NBA,SG,41,2,18.1,1.8,5.5,0.323,1.0,3.1,0.326,0.8,2.4,0.32,0.416,0.4,0.7,0.667,0.2,1.6,1.9,0.7,0.2,0.4,0.5,0.8,5.0,744,5.1,15.7,0.323,2.9,9.0,0.326,2.2,6.7,0.32,1.3,1.9,0.667,0.7,4.6,5.3,1.9,0.6,1.0,1.5,2.4,14.3,91,112,744,5.9,0.433,0.571,0.119,1.6,10.3,6.0,5.5,0.6,1.6,8.5,15.6,-0.5,0.3,-0.2,-0.013,-2.5,-1.5,-4.0,-0.4,82.0,19855.0,3015.0,6594.0,0.457,513.0,1519.0,0.338,2502.0,5075.0,0.493,1546.0,2187.0,0.707,955.0,2501.0,3456.0,1813.0,585.0,402.0,1343.0,1733.0,8089.0,82.0,19855.0,3046.0,6688.0,0.455,584.0,1598.0,0.365,2462.0,5090.0,0.484,1670.0,2167.0,0.771,914.0,2410.0,3324.0,1827.0,659.0,404.0,1125.0,1811.0,8346.0,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,92.8,0.332,0.23,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,STAPLES Center,727462,47,16.4,-2.73,0.56,-2.17,0.47,1518,777,-3.811726384,-1.087160704,-4.898887088,-0.859396607,-0.888146509,0.028749902,-3.806471154,-2.091963277,-5.898434431,1.087983176,47,17,30,16.4,101.9,1.4,8.8,13.6,0.2,6.8,0.3,21.4,6.1,4.3,4.7,12.1,0.067,0.11
9,2010-11,2011,Rasual Butler,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,31,CHI,NBA,SG,6,0,4.3,1.0,1.8,0.545,0.7,1.2,0.571,0.3,0.7,0.5,0.727,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.5,2.7,26,12.3,22.5,0.545,8.2,14.3,0.571,4.1,8.2,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,4.1,6.1,32.7,110,108,26,14.5,0.727,0.636,0.0,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,0.0,0.0,0.1,0.107,2.5,-2.4,0.1,0.0,82.0,19830.0,3042.0,6587.0,0.462,511.0,1415.0,0.361,2531.0,5172.0,0.489,1492.0,2008.0,0.743,967.0,2654.0,3621.0,1827.0,592.0,468.0,1161.0,1639.0,8087.0,82.0,19830.0,2805.0,6523.0,0.43,427.0,1308.0,0.326,2378.0,5215.0,0.456,1450.0,1898.0,0.764,828.0,2322.0,3150.0,1556.0,568.0,477.0,1159.0,1645.0,7487.0,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,90.4,0.305,0.215,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,United Center,893462,47,16.4,-2.73,0.56,-2.17,0.47,1518,777,-3.811726384,-1.087160704,-4.898887088,-0.859396607,-0.888146509,0.028749902,-3.806471154,-2.091963277,-5.898434431,1.087983176,47,17,30,16.4,101.9,1.4,8.8,13.6,0.2,6.8,0.3,21.4,6.1,4.3,4.7,12.1,0.067,0.11
