,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1996-97,1997,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,TOR,NBA,C,63,38,30.1,6.0,12.3,0.482,0.0,0.2,0.143,5.9,12.1,0.488,0.483,2.9,4.2,0.693,2.1,4.2,6.3,1.5,1.0,2.1,2.1,3.4,14.8,1897,10.5,21.7,0.482,0.1,0.4,0.143,10.4,21.3,0.488,5.1,7.4,0.693,3.7,7.3,11.0,2.7,1.8,3.6,3.7,6.0,26.1,103,105,1897,17.8,0.523,0.018,0.339,7.9,16.7,12.2,9.6,1.8,5.5,13.0,24.3,1.4,2.3,3.7,0.095,-0.7,0.6,-0.1,0.9,82.0,19830.0,2897.0,6632.0,0.437,589.0,1624.0,0.363,2308.0,5008.0,0.461,1446.0,2008.0,0.72,1135.0,2254.0,3389.0,1714.0,722.0,517.0,1347.0,1883.0,7829.0,82.0,19830.0,2971.0,6390.0,0.465,497.0,1427.0,0.348,2474.0,4963.0,0.498,1646.0,2274.0,0.724,1033.0,2352.0,3385.0,1967.0,675.0,442.0,1338.0,1799.0,8085.0,30,52,32,50,-3.12,0.57,-2.56,104.6,108.0,90.6,0.303,0.245,0.481,15.2,32.5,0.218,0.504,15.3,68.6,0.258,SkyDome,744550,63,30.1,-0.41,-0.01,-0.42,3.41,3622,1897,-2.531134764,1.373482234,-1.15765253,1.540206121,1.540206121,0.0,-2.254284201,1.126390278,-1.127893924,-0.056038866,63,24,39,30.1,104.3,4.2,14.5,23.9,1.0,18.3,2.1,44.7,11.5,9.4,11.1,26.9,0.087,0.0
1,1997-98,1998,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,TOR,NBA,C,63,58,31.8,4.9,11.9,0.412,0.0,0.0,0.0,4.9,11.8,0.413,0.412,2.4,3.9,0.611,3.2,4.2,7.4,1.8,1.1,3.7,2.1,3.2,12.1,2002,8.0,19.3,0.412,0.0,0.1,0.0,8.0,19.3,0.413,3.9,6.3,0.611,5.3,6.8,12.1,2.9,1.8,6.0,3.5,5.2,19.8,94,107,2002,15.9,0.448,0.003,0.327,10.9,15.3,13.0,9.4,1.8,7.9,13.6,21.6,-0.6,1.5,0.9,0.022,-2.0,0.4,-1.6,0.2,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16,66,17,65,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,63,31.8,-1.03,-1.05,-2.08,1.12,3907,2002,-3.642851812,0.956083617,-2.686768195,0.064140701,0.064140701,0.0,-3.142998382,0.761254092,-2.381744291,-0.630222881,63,16,47,31.7,106.6,4.2,13.2,24.2,1.1,17.2,3.7,53.7,11.8,12.3,15.1,31.3,0.051,0.0
2,1998-99,1999,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,NYK,NBA,C,46,0,20.5,3.0,5.7,0.521,0.0,0.0,,3.0,5.7,0.521,0.521,1.2,2.2,0.553,2.2,3.3,5.5,0.3,0.6,1.6,0.8,2.8,7.2,945,8.0,15.3,0.521,0.0,0.0,,8.0,15.3,0.521,3.3,6.0,0.553,6.0,8.8,14.8,0.7,1.7,4.3,2.3,7.7,19.2,108,93,945,17.6,0.537,0.0,0.395,13.2,18.2,15.8,2.4,1.7,6.1,11.3,17.5,1.4,2.0,3.5,0.176,-0.4,1.8,1.4,0.8,50.0,12100.0,1610.0,3704.0,0.435,208.0,589.0,0.353,1402.0,3115.0,0.45,892.0,1218.0,0.732,551.0,1510.0,2061.0,963.0,395.0,262.0,804.0,1140.0,4320.0,50.0,12100.0,1528.0,3790.0,0.403,234.0,662.0,0.353,1294.0,3128.0,0.414,979.0,1335.0,0.733,616.0,1426.0,2042.0,923.0,425.0,215.0,766.0,1035.0,4269.0,27,23,27,23,1.02,0.43,1.45,98.6,97.5,86.9,0.329,0.159,0.463,15.9,27.9,0.241,0.434,14.9,71.0,0.258,Madison Square Garden (IV),494075,46,20.5,-0.32,0.84,0.52,2.28,2641,1454,0.361798613,4.923521917,5.28532053,6.094031646,2.800521347,3.293510299,0.211692883,4.434789149,4.646482031,0.093608446,46,27,19,20.6,98.3,3.3,16.2,28.4,0.6,19.1,1.6,56.1,6.5,6.3,3.0,12.5,0.068,0.0
3,1999-00,2000,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,NYK,NBA,C,59,11,26.2,3.8,8.0,0.48,0.0,0.0,0.5,3.8,7.9,0.48,0.481,2.5,3.7,0.67,2.9,4.9,7.8,0.8,0.7,2.0,1.2,3.5,10.2,1548,7.9,16.4,0.48,0.0,0.1,0.5,7.8,16.3,0.48,5.1,7.7,0.67,6.1,10.0,16.0,1.7,1.5,4.0,2.5,7.1,20.9,109,96,1548,19.0,0.529,0.004,0.469,13.7,21.3,17.7,5.4,1.5,5.7,11.2,19.6,2.6,3.2,5.9,0.182,0.5,1.9,2.3,1.7,82.0,19830.0,2897.0,6374.0,0.455,351.0,937.0,0.375,2546.0,5437.0,0.468,1410.0,1805.0,0.781,802.0,2521.0,3323.0,1588.0,515.0,349.0,1201.0,1983.0,7555.0,82.0,19830.0,2711.0,6398.0,0.424,404.0,1197.0,0.338,2307.0,5201.0,0.444,1609.0,2153.0,0.747,927.0,2441.0,3368.0,1609.0,603.0,354.0,1161.0,1799.0,7435.0,50,32,46,36,1.46,-0.16,1.3,102.5,100.9,89.2,0.283,0.147,0.482,14.4,24.7,0.221,0.455,13.6,73.1,0.251,Madison Square Garden (IV),810103,59,26.2,0.07,1.55,1.62,4.08,3593,1934,-1.046554181,3.881000152,2.834445972,5.484231335,4.955263857,0.528967478,-0.964844791,3.400660121,2.43581533,-0.126404271,59,38,21,26.2,97.5,4.9,18.0,29.4,0.7,20.6,2.0,63.0,7.9,7.3,5.5,17.4,0.111,0.0
4,2000-01,2001,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NYK,NBA,C,63,63,33.8,4.8,9.2,0.524,0.0,0.1,0.125,4.8,9.1,0.53,0.525,2.4,3.6,0.667,3.1,8.4,11.5,0.8,1.0,2.2,1.0,3.3,12.0,2127,7.9,15.1,0.524,0.0,0.2,0.125,7.9,14.9,0.53,3.9,5.9,0.667,5.1,13.7,18.8,1.4,1.7,3.5,1.6,5.3,19.8,116,91,2127,20.9,0.559,0.014,0.388,11.5,29.0,20.5,4.5,1.7,5.2,8.5,17.0,4.8,5.5,10.3,0.233,2.0,2.5,4.6,3.5,82.0,19905.0,2755.0,6198.0,0.444,391.0,1115.0,0.351,2364.0,5083.0,0.465,1374.0,1727.0,0.796,773.0,2524.0,3297.0,1520.0,545.0,346.0,1189.0,1863.0,7275.0,82.0,19905.0,2568.0,6159.0,0.417,445.0,1266.0,0.352,2123.0,4893.0,0.434,1478.0,2015.0,0.733,872.0,2418.0,3290.0,1573.0,596.0,338.0,1216.0,1754.0,7059.0,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,86.7,0.279,0.18,0.476,14.6,24.2,0.222,0.453,14.7,74.3,0.24,Madison Square Garden (IV),810283,63,33.8,-0.46,1.71,1.26,5.48,4147,2268,0.080318513,3.183739168,3.264057681,6.928033948,7.038448079,-0.11041413,0.108129552,3.491528825,3.599658378,-0.407503157,63,38,25,33.8,97.7,8.4,25.6,38.7,1.0,23.1,2.2,63.8,11.0,8.0,5.0,21.5,0.131,0.0
5,2001-02,2002,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NYK,NBA,C,29,29,34.7,4.5,10.0,0.448,0.0,0.0,0.0,4.5,10.0,0.45,0.448,2.1,3.4,0.626,3.1,8.0,11.1,1.1,1.2,1.7,1.4,3.7,11.1,1007,6.9,15.4,0.448,0.0,0.1,0.0,6.9,15.4,0.45,3.3,5.3,0.626,4.7,12.4,17.1,1.8,1.8,2.7,2.2,5.7,17.1,100,100,1007,15.1,0.483,0.003,0.341,10.2,26.8,18.5,5.6,1.8,3.7,11.2,17.4,0.5,1.7,2.1,0.102,-1.0,1.3,0.4,0.6,82.0,19805.0,2817.0,6520.0,0.432,474.0,1344.0,0.353,2343.0,5176.0,0.453,1406.0,1786.0,0.787,876.0,2458.0,3334.0,1720.0,558.0,288.0,1192.0,1800.0,7514.0,82.0,19805.0,2924.0,6570.0,0.445,443.0,1256.0,0.353,2481.0,5314.0,0.467,1550.0,2047.0,0.757,959.0,2540.0,3499.0,1762.0,686.0,385.0,1103.0,1670.0,7841.0,30,52,29,53,-3.99,-0.16,-4.15,101.5,105.9,89.7,0.274,0.206,0.468,14.0,25.6,0.216,0.479,12.9,71.9,0.236,Madison Square Garden (IV),810283,29,34.7,-2.07,2.12,0.06,1.8,1903,1007,-2.444284469,1.74905442,-0.695230049,1.05403292,1.05403292,0.0,-2.099614844,2.329797528,0.230182684,-0.14337534,29,11,18,34.8,104.3,8.0,23.8,36.4,1.2,25.4,1.7,58.1,12.9,9.1,8.6,25.9,0.079,0.0
6,2002-03,2003,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,DEN,NBA,C,29,9,21.2,3.2,7.8,0.41,0.1,0.2,0.4,3.1,7.7,0.41,0.414,1.1,1.7,0.66,2.6,4.6,7.2,1.6,0.7,1.4,0.9,2.4,7.6,616,8.0,19.4,0.41,0.2,0.4,0.4,7.8,19.0,0.41,2.8,4.3,0.66,6.4,11.4,17.8,4.0,1.7,3.4,2.3,5.9,18.9,99,96,616,17.5,0.444,0.022,0.22,13.5,26.4,19.7,14.4,1.7,5.2,9.8,19.9,0.3,1.2,1.5,0.119,-0.4,1.0,0.6,0.4,82.0,19730.0,2689.0,6544.0,0.411,229.0,824.0,0.278,2460.0,5720.0,0.43,1294.0,1850.0,0.699,1112.0,2363.0,3475.0,1737.0,712.0,422.0,1514.0,2056.0,6901.0,82.0,19730.0,2696.0,6087.0,0.443,420.0,1134.0,0.37,2276.0,4953.0,0.46,1768.0,2337.0,0.757,861.0,2443.0,3304.0,1764.0,742.0,538.0,1405.0,1789.0,7580.0,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,91.0,0.283,0.126,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,607813,29,21.2,-0.21,0.84,0.63,1.55,1181,616,-1.046096425,1.584395688,0.538299263,1.027440915,1.027440915,0.0,-1.235860359,1.610527026,0.374666667,-0.536062025,29,6,23,21.2,101.1,4.6,22.4,34.4,0.7,20.0,1.4,47.6,8.1,4.9,7.3,16.8,0.064,0.0
7,2003-04,2004,Marcus Camby,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,DEN,NBA,C,72,72,30.0,3.6,7.6,0.477,0.0,0.0,0.0,3.6,7.6,0.479,0.477,1.4,1.9,0.721,2.9,7.2,10.1,1.8,1.2,2.6,1.4,3.3,8.6,2162,6.2,13.1,0.477,0.0,0.0,0.0,6.2,13.0,0.479,2.3,3.2,0.721,5.0,12.3,17.3,3.1,2.0,4.4,2.3,5.7,14.8,108,95,2162,17.8,0.511,0.004,0.248,10.9,27.4,19.0,9.6,2.0,6.1,13.9,14.3,2.6,4.3,6.9,0.154,-0.1,2.5,2.5,2.5,82.0,19730.0,2993.0,6763.0,0.443,331.0,985.0,0.336,2662.0,5778.0,0.461,1655.0,2159.0,0.767,1083.0,2387.0,3470.0,1794.0,745.0,520.0,1278.0,1804.0,7972.0,82.0,19730.0,3019.0,6662.0,0.453,376.0,1056.0,0.356,2643.0,5606.0,0.471,1470.0,2020.0,0.728,1056.0,2465.0,3521.0,1931.0,664.0,479.0,1399.0,1895.0,7884.0,43,39,44,38,1.07,0.58,1.65,103.9,102.7,93.3,0.319,0.146,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,Pepsi Center,721476,72,30.0,-1.21,-0.85,-2.06,2.03,4625,2356,-0.830906255,2.650053289,1.819147034,5.468223621,5.123531329,0.344692291,-0.611475001,2.994090912,2.382615911,-0.533823055,72,36,36,30.1,101.6,7.2,24.4,39.4,1.2,20.4,2.6,64.3,10.4,8.8,9.0,26.5,0.077,0.0
8,2004-05,2005,Marcus Camby,3,0.0,1.0,19.0,False,0.0,168.0,500.0,30,DEN,NBA,C,66,66,30.5,4.2,9.1,0.465,0.0,0.1,0.0,4.2,9.0,0.468,0.465,1.9,2.6,0.723,2.0,8.0,10.0,2.3,0.9,3.0,1.6,2.7,10.3,2015,7.1,15.3,0.465,0.0,0.1,0.0,7.1,15.2,0.468,3.2,4.4,0.723,3.3,13.5,16.8,3.9,1.6,5.1,2.6,4.5,17.4,103,96,2015,18.0,0.505,0.007,0.288,7.5,30.1,18.9,12.0,1.6,7.4,13.2,17.2,1.2,4.5,5.8,0.138,-0.2,3.3,3.1,2.6,82.0,19755.0,3038.0,6615.0,0.459,320.0,940.0,0.34,2718.0,5675.0,0.479,1765.0,2313.0,0.763,967.0,2473.0,3440.0,1958.0,750.0,489.0,1224.0,1878.0,8161.0,82.0,19755.0,2950.0,6606.0,0.447,463.0,1342.0,0.345,2487.0,5264.0,0.472,1632.0,2189.0,0.746,975.0,2441.0,3416.0,1778.0,636.0,458.0,1342.0,1960.0,7995.0,49,33,47,35,2.02,0.2,2.23,106.0,103.9,93.5,0.35,0.142,0.483,13.8,28.4,0.267,0.482,15.1,71.7,0.247,Pepsi Center,723949,66,30.5,-1.19,1.31,0.12,4.51,4322,2199,-2.164622476,3.403807339,1.239184863,4.434048538,4.302930587,0.131117952,-1.888377231,3.087178638,1.198801408,-0.759835127,66,43,23,30.6,102.0,8.0,25.7,40.8,0.9,17.8,3.0,66.8,10.1,9.2,7.7,23.8,0.102,0.0
9,2005-06,2006,Marcus Camby,5,0.0,2.0,3.0,False,0.0,55.0,500.0,31,DEN,NBA,C,56,54,33.2,5.4,11.6,0.465,0.0,0.2,0.091,5.4,11.4,0.472,0.466,2.0,2.8,0.712,2.4,9.6,11.9,2.1,1.4,3.3,1.6,2.8,12.8,1857,8.3,17.9,0.465,0.0,0.3,0.091,8.3,17.6,0.472,3.1,4.3,0.712,3.6,14.7,18.4,3.2,2.2,5.1,2.5,4.3,19.7,102,95,1857,19.9,0.499,0.017,0.24,8.4,33.3,21.0,10.2,2.2,7.5,11.4,19.5,1.0,4.5,5.5,0.141,0.1,3.3,3.5,2.6,82.0,19930.0,3078.0,6672.0,0.461,350.0,1076.0,0.325,2728.0,5596.0,0.487,1721.0,2312.0,0.744,903.0,2486.0,3389.0,1921.0,698.0,463.0,1216.0,1863.0,8227.0,82.0,19930.0,3070.0,6764.0,0.454,530.0,1480.0,0.358,2540.0,5284.0,0.481,1538.0,2090.0,0.736,965.0,2469.0,3434.0,1959.0,586.0,436.0,1323.0,1911.0,8208.0,44,38,42,40,0.23,0.13,0.36,105.5,105.2,93.9,0.347,0.161,0.488,13.7,26.8,0.258,0.493,14.7,72.0,0.227,Pepsi Center,702555,56,33.2,-0.65,2.96,2.32,6.79,4013,2032,-2.56842707,4.249295004,1.680867934,4.568194072,4.150103621,0.418090452,-2.037942668,4.142952005,2.105009337,-0.763269317,56,29,27,33.2,101.8,9.6,27.6,43.5,1.4,23.9,3.3,66.2,11.4,10.4,9.7,27.8,0.12,0.0
