,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2009-10,2010,DeMarre Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MEM,NBA,SF,71,1,11.2,1.2,3.1,0.396,0.0,0.1,0.0,1.2,3.0,0.407,0.396,0.5,0.7,0.623,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1.5,2.9,795,5.7,14.3,0.396,0.0,0.4,0.0,5.7,13.9,0.407,2.1,3.4,0.623,3.4,6.3,9.7,2.1,1.8,0.6,1.5,6.9,13.5,98,110,795,8.5,0.426,0.027,0.239,7.8,14.3,11.0,5.9,1.8,0.9,8.9,14.8,-0.1,0.6,0.5,0.031,-3.8,-0.4,-4.2,-0.4,82.0,19905.0,3223.0,6875.0,0.469,344.0,1020.0,0.337,2879.0,5855.0,0.492,1614.0,2202.0,0.733,1070.0,2496.0,3566.0,1543.0,645.0,399.0,1248.0,1655.0,8404.0,82.0,19905.0,3277.0,6849.0,0.478,572.0,1618.0,0.354,2705.0,5231.0,0.517,1402.0,1858.0,0.755,907.0,2349.0,3256.0,1875.0,635.0,501.0,1165.0,1840.0,8528.0,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,93.6,0.32,0.148,0.494,13.7,31.3,0.235,0.52,13.2,73.3,0.205,FedEx Forum,552914,71,11.2,-2.71,-0.96,-3.67,-0.46,1568,795,-2.787398612,-0.26960452,-3.057003132,-0.125037232,-0.125037232,0.0,-3.199224731,-0.583422494,-3.782647225,0.387464016,71,34,37,11.2,104.4,1.4,11.8,18.4,0.4,21.5,0.1,11.4,4.7,3.0,4.1,10.7,0.039,-0.04
1,2010-11,2011,DeMarre Carroll,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,MEM,NBA,PF,7,0,5.6,0.6,1.3,0.444,0.0,0.0,,0.6,1.3,0.444,0.444,0.3,0.3,1.0,0.3,0.9,1.1,0.3,0.1,0.1,0.0,0.7,1.4,39,5.4,12.1,0.444,0.0,0.0,,5.4,12.1,0.444,2.7,2.7,1.0,2.7,8.0,10.7,2.7,1.3,1.3,0.0,6.7,13.4,124,105,39,12.4,0.506,0.0,0.222,6.1,18.6,12.3,7.3,1.3,2.1,0.0,11.4,0.1,0.0,0.1,0.145,-1.5,0.1,-1.4,0.0,82.0,19880.0,3200.0,6801.0,0.471,309.0,926.0,0.334,2891.0,5875.0,0.492,1486.0,1981.0,0.75,970.0,2391.0,3361.0,1691.0,771.0,441.0,1145.0,1705.0,8195.0,82.0,19880.0,2967.0,6489.0,0.457,587.0,1592.0,0.369,2380.0,4897.0,0.486,1482.0,1948.0,0.761,905.0,2387.0,3292.0,1724.0,613.0,505.0,1367.0,1754.0,8003.0,46,36,48,34,2.34,0.2,2.55,107.6,105.1,91.9,0.291,0.136,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,FedEx Forum,600687,12,4.2,-3.11,-0.52,-3.62,-0.02,98,50,-2.687908412,-1.04781759,-3.735726002,-0.022323344,-0.022323344,0.0,-3.405483719,-1.905776191,-5.31125991,-0.480551347,12,7,5,4.2,98.1,0.5,13.3,21.4,0.1,9.1,0.1,16.7,0.8,0.8,1.4,4.3,0.023,-0.46
2,2010-11,2011,DeMarre Carroll,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,HOU,NBA,PF,5,0,2.2,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,11,0.0,13.9,0.0,0.0,0.0,,0.0,13.9,0.0,0.0,0.0,,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,40,118,11,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-0.214,-8.0,-2.8,-10.8,0.0,82.0,19880.0,3170.0,6975.0,0.454,677.0,1843.0,0.367,2493.0,5132.0,0.486,1668.0,2083.0,0.801,962.0,2549.0,3511.0,1955.0,581.0,371.0,1110.0,1641.0,8685.0,82.0,19880.0,3266.0,6979.0,0.468,448.0,1250.0,0.358,2818.0,5729.0,0.492,1526.0,1954.0,0.781,955.0,2552.0,3507.0,1707.0,588.0,449.0,1125.0,1754.0,8506.0,43,39,47,35,2.18,0.19,2.37,111.3,109.0,94.2,0.299,0.264,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,Toyota Center,663839,12,4.2,-3.11,-0.52,-3.62,-0.02,98,50,-2.687908412,-1.04781759,-3.735726002,-0.022323344,-0.022323344,0.0,-3.405483719,-1.905776191,-5.31125991,-0.480551347,12,7,5,4.2,98.1,0.5,13.3,21.4,0.1,9.1,0.1,16.7,0.8,0.8,1.4,4.3,0.023,-0.46
3,2011-12,2012,DeMarre Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DEN,NBA,PF,4,0,5.3,1.5,1.5,1.0,0.0,0.0,,1.5,1.5,1.0,1.0,0.0,0.0,,0.0,0.8,0.8,0.8,0.0,0.0,0.5,0.3,3.0,21,14.6,14.6,1.0,0.0,0.0,,14.6,14.6,1.0,0.0,0.0,,0.0,7.3,7.3,7.3,0.0,0.0,4.9,2.4,29.1,139,111,21,25.2,1.0,0.0,0.0,0.0,16.2,8.3,27.7,0.0,0.0,25.0,17.0,0.1,0.0,0.1,0.211,6.7,2.6,9.3,0.1,66.0,16040.0,2572.0,5404.0,0.476,435.0,1311.0,0.332,2137.0,4093.0,0.522,1293.0,1760.0,0.735,738.0,2105.0,2843.0,1581.0,540.0,330.0,1015.0,1297.0,6872.0,66.0,16040.0,2541.0,5569.0,0.456,571.0,1489.0,0.383,1970.0,4080.0,0.483,1029.0,1356.0,0.759,730.0,1928.0,2658.0,1528.0,524.0,439.0,1028.0,1452.0,6682.0,38,28,39,27,2.88,0.29,3.16,109.2,106.2,94.2,0.326,0.243,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,Pepsi Center,561966,24,14.5,-1.73,-1.09,-2.82,-0.11,813,421,0.002949903,-1.048326501,-1.045376598,0.371597221,0.218012771,0.153584449,-0.36658378,-1.085578102,-1.452161881,0.41710521,24,16,8,14.5,107.9,1.0,8.1,12.2,0.5,19.0,0.0,2.9,4.8,3.0,4.5,13.1,0.017,0.0
4,2011-12,2012,DeMarre Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,UTA,NBA,SF,20,9,16.4,1.9,5.0,0.374,0.4,1.0,0.368,1.5,4.0,0.375,0.409,0.7,0.8,0.875,1.4,1.1,2.5,0.8,0.6,0.1,0.5,1.8,4.8,327,5.9,15.9,0.374,1.1,3.1,0.368,4.8,12.8,0.375,2.2,2.6,0.875,4.5,3.5,8.0,2.4,1.9,0.2,1.4,5.8,15.3,104,109,327,10.1,0.448,0.192,0.162,9.7,7.8,8.8,6.9,1.9,0.2,7.8,15.8,0.2,0.2,0.4,0.06,-1.9,-0.8,-2.6,-0.1,66.0,16165.0,2523.0,5531.0,0.456,273.0,845.0,0.323,2250.0,4686.0,0.48,1258.0,1668.0,0.754,861.0,2055.0,2916.0,1439.0,545.0,385.0,936.0,1441.0,6577.0,66.0,16165.0,2403.0,5310.0,0.453,428.0,1259.0,0.34,1975.0,4051.0,0.488,1302.0,1727.0,0.754,728.0,1988.0,2716.0,1355.0,494.0,375.0,968.0,1366.0,6536.0,36,30,34,32,0.62,0.3,0.92,106.8,106.1,91.4,0.302,0.153,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,EnergySolutions Arena,637124,24,14.5,-1.73,-1.09,-2.82,-0.11,813,421,0.002949903,-1.048326501,-1.045376598,0.371597221,0.218012771,0.153584449,-0.36658378,-1.085578102,-1.452161881,0.41710521,24,16,8,14.5,107.9,1.0,8.1,12.2,0.5,19.0,0.0,2.9,4.8,3.0,4.5,13.1,0.017,0.0
5,2012-13,2013,DeMarre Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,UTA,NBA,SF,66,12,16.8,2.3,4.9,0.46,0.3,1.1,0.286,2.0,3.8,0.508,0.491,1.1,1.5,0.765,1.3,1.5,2.8,0.9,0.9,0.4,0.5,1.8,6.0,1111,7.1,15.4,0.46,1.0,3.3,0.286,6.1,12.1,0.508,3.6,4.7,0.765,4.1,4.8,8.9,2.9,2.8,1.1,1.6,5.7,18.7,115,106,1111,15.5,0.535,0.216,0.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,2.0,1.1,3.1,0.134,0.4,0.9,1.3,0.9,82.0,19880.0,3046.0,6710.0,0.454,507.0,1385.0,0.366,2539.0,5325.0,0.477,1439.0,1883.0,0.764,989.0,2457.0,3446.0,1859.0,690.0,515.0,1210.0,1750.0,8038.0,82.0,19880.0,3003.0,6550.0,0.458,560.0,1513.0,0.37,2443.0,5037.0,0.485,1479.0,1953.0,0.757,901.0,2446.0,3347.0,1689.0,640.0,480.0,1206.0,1670.0,8045.0,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,90.9,0.281,0.206,0.492,13.8,28.8,0.214,0.501,14.0,73.2,0.226,EnergySolutions Arena,763915,66,16.8,0.13,2.28,2.42,3.6,2128,1111,1.575181343,1.760183311,3.335364654,3.458714497,3.458714497,0.0,1.216116274,1.641873649,2.857989923,0.251931594,66,34,32,16.8,100.4,1.5,9.6,14.7,0.9,26.7,0.4,15.6,6.4,4.2,4.3,14.6,0.068,0.53
6,2013-14,2014,DeMarre Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,ATL,NBA,SF,73,73,32.1,4.1,8.8,0.47,1.3,3.7,0.362,2.8,5.1,0.548,0.546,1.5,1.9,0.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1,2341,6.5,13.9,0.47,2.1,5.8,0.362,4.4,8.1,0.548,2.4,3.1,0.773,2.3,6.4,8.7,2.9,2.3,0.5,1.7,4.1,17.6,113,106,2341,13.9,0.575,0.417,0.22,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,3.2,2.6,5.8,0.119,-0.1,0.7,0.7,1.6,82.0,19830.0,3061.0,6688.0,0.458,768.0,2116.0,0.363,2293.0,4572.0,0.502,1392.0,1782.0,0.781,713.0,2565.0,3278.0,2041.0,680.0,326.0,1251.0,1577.0,8282.0,82.0,19830.0,3163.0,6843.0,0.462,654.0,1793.0,0.365,2509.0,5050.0,0.497,1341.0,1793.0,0.748,882.0,2688.0,3570.0,1901.0,672.0,354.0,1247.0,1643.0,8321.0,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,94.6,0.266,0.316,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,Philips Arena,587927,73,32.1,0.19,1.32,1.51,6.88,5151,2587,0.715569752,2.086226968,2.80179672,7.267875133,7.185512721,0.082362412,1.061291364,1.976433522,3.037724886,-0.514323637,73,37,36,32.1,103.2,4.1,12.7,19.3,1.5,26.0,0.3,10.0,11.2,9.2,8.4,28.3,0.108,1.09
7,2014-15,2015,DeMarre Carroll,15T,0.0,1.0,0.0,False,0.0,1.0,500.0,28,ATL,NBA,SF,70,69,31.3,4.5,9.3,0.487,1.7,4.3,0.395,2.8,5.0,0.567,0.579,1.8,2.6,0.702,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,2189,7.4,15.2,0.487,2.8,7.1,0.395,4.6,8.1,0.567,3.0,4.2,0.702,2.3,6.4,8.7,2.8,2.2,0.4,1.8,3.6,20.6,117,104,2189,15.9,0.603,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,4.3,2.8,7.0,0.154,1.2,0.4,1.7,2.0,82.0,19730.0,3121.0,6699.0,0.466,818.0,2152.0,0.38,2303.0,4547.0,0.506,1349.0,1735.0,0.778,715.0,2611.0,3326.0,2111.0,744.0,380.0,1167.0,1457.0,8409.0,82.0,19730.0,2991.0,6815.0,0.439,720.0,2112.0,0.341,2271.0,4703.0,0.483,1262.0,1651.0,0.764,948.0,2631.0,3579.0,1931.0,604.0,404.0,1317.0,1611.0,7964.0,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,713909,70,31.3,1.03,-0.02,1.01,5.71,5484,2747,2.075836595,0.636607147,2.712443742,7.696745749,6.279015721,1.417730028,1.893775791,1.093114315,2.986890107,-0.015690304,70,53,17,31.3,102.9,3.9,12.5,19.3,1.3,20.8,0.2,7.7,10.5,10.0,7.4,27.9,0.1,-0.18
8,2015-16,2016,DeMarre Carroll,-1,0.0,1.0,0.0,False,1.0,0.0,500.0,29,TOR,NBA,SF,26,22,30.2,4.0,10.4,0.389,1.8,4.5,0.39,2.3,5.8,0.388,0.474,1.2,1.9,0.6,1.2,3.5,4.7,1.0,1.7,0.2,1.1,2.4,11.0,786,6.9,17.8,0.389,3.0,7.8,0.39,3.9,10.0,0.388,2.0,3.3,0.6,2.0,6.0,8.0,1.8,2.9,0.4,1.8,4.1,18.8,100,104,786,11.9,0.49,0.437,0.185,4.6,13.1,8.9,5.5,2.9,0.6,8.8,18.5,0.2,1.0,1.2,0.074,-0.8,1.1,0.3,0.5,82.0,19780.0,3006.0,6669.0,0.451,708.0,1915.0,0.37,2298.0,4754.0,0.483,1702.0,2190.0,0.777,836.0,2724.0,3560.0,1536.0,636.0,449.0,1073.0,1610.0,8422.0,82.0,19780.0,2991.0,6732.0,0.444,717.0,1922.0,0.373,2274.0,4810.0,0.473,1354.0,1809.0,0.748,782.0,2561.0,3343.0,1781.0,534.0,442.0,1094.0,1801.0,8053.0,56,26,53,29,4.5,-0.42,4.08,110.0,105.2,92.9,0.328,0.287,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,26,30.2,-0.96,1.36,0.4,1.48,2698,1382,-0.072059387,2.151026262,2.078966874,3.429677673,2.107175098,1.322502575,0.372213298,2.331648698,2.703861996,-0.180036611,26,16,10,30.2,103.1,3.5,11.8,16.8,1.7,30.8,0.2,9.0,9.6,6.1,8.2,24.0,0.104,0.43
9,2016-17,2017,DeMarre Carroll,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,30,TOR,NBA,SF,72,72,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.761,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,1882,5.9,14.8,0.4,2.9,8.6,0.341,3.0,6.2,0.483,2.4,3.2,0.761,1.7,5.7,7.4,2.0,2.2,0.7,1.5,3.9,17.2,110,108,1882,11.9,0.53,0.582,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,1.7,2.1,3.8,0.097,-0.4,0.4,0.0,1.0,82.0,19780.0,3211.0,6918.0,0.464,725.0,1996.0,0.363,2486.0,4922.0,0.505,1615.0,2028.0,0.796,871.0,2676.0,3547.0,1517.0,677.0,400.0,1041.0,1708.0,8762.0,82.0,19780.0,3052.0,6801.0,0.449,794.0,2240.0,0.354,2258.0,4561.0,0.495,1519.0,1948.0,0.78,831.0,2619.0,3450.0,1786.0,547.0,392.0,1200.0,1666.0,8417.0,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,72,26.1,0.26,1.27,1.53,4.33,4051,2037,-0.586612683,1.736151265,1.149538581,4.013975173,4.223790902,-0.209815729,-0.069588657,2.174791305,2.105202647,-0.406768689,72,44,28,26.1,107.8,2.9,11.3,16.8,1.1,25.6,0.4,14.4,8.2,7.1,6.2,23.3,0.071,0.94
