,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2009-10,2010,Darren Collison,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,NOH,NBA,PG,76,37,27.8,4.9,10.4,0.477,0.6,1.5,0.4,4.3,8.9,0.49,0.506,1.9,2.3,0.851,0.5,2.0,2.5,5.7,1.0,0.1,2.7,1.2,12.4,2109,9.2,19.4,0.477,1.1,2.8,0.4,8.1,16.6,0.49,3.6,4.3,0.851,1.0,3.7,4.7,10.6,1.9,0.1,5.0,2.3,23.2,105,112,2109,16.5,0.546,0.146,0.221,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,1.9,1.1,2.9,0.067,0.9,-1.8,-0.8,0.6,82.0,19830.0,3178.0,6842.0,0.464,571.0,1572.0,0.363,2607.0,5270.0,0.495,1293.0,1661.0,0.778,852.0,2450.0,3302.0,1828.0,625.0,300.0,1103.0,1606.0,8220.0,82.0,19830.0,3250.0,6730.0,0.483,539.0,1517.0,0.355,2711.0,5213.0,0.52,1383.0,1841.0,0.751,870.0,2586.0,3456.0,1925.0,574.0,367.0,1177.0,1597.0,8422.0,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,92.6,0.243,0.23,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,New Orleans Arena,617366,76,27.8,0.81,-1.83,-1.02,2.63,4115,2109,0.40445723,-1.414404667,-1.009947437,1.86029069,1.86029069,0.0,0.298193711,-1.837947437,-1.539753726,-0.602942796,76,34,42,27.8,108.8,2.0,7.7,11.8,1.0,22.9,0.1,2.4,9.3,7.6,9.0,27.2,0.054,-2.28
1,2010-11,2011,Darren Collison,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,IND,NBA,PG,79,79,29.9,5.0,11.0,0.457,0.5,1.6,0.331,4.5,9.4,0.479,0.481,2.6,2.9,0.871,0.5,2.3,2.8,5.1,1.1,0.2,2.5,1.4,13.2,2360,8.5,18.7,0.457,0.9,2.7,0.331,7.7,16.0,0.479,4.3,5.0,0.871,0.9,4.0,4.8,8.7,1.9,0.3,4.2,2.3,22.3,105,108,2360,15.6,0.534,0.143,0.267,1.9,8.6,5.3,28.9,1.9,0.4,16.6,21.9,2.1,2.2,4.3,0.087,0.4,-0.7,-0.3,1.0,82.0,19780.0,3003.0,6787.0,0.442,585.0,1653.0,0.354,2418.0,5134.0,0.471,1592.0,2035.0,0.782,914.0,2657.0,3571.0,1611.0,584.0,456.0,1262.0,1782.0,8183.0,82.0,19780.0,3071.0,6837.0,0.449,511.0,1423.0,0.359,2560.0,5414.0,0.473,1618.0,2157.0,0.75,931.0,2618.0,3549.0,1670.0,615.0,467.0,1143.0,1758.0,8271.0,37,45,38,44,-1.07,-0.3,-1.38,104.8,106.0,94.7,0.3,0.244,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,Conseco Fieldhouse,555077,79,29.9,0.59,-2.93,-2.35,1.2,4987,2506,0.035745253,-1.434252673,-1.39850742,1.716907271,1.657193622,0.059713649,-0.086187478,-1.286254782,-1.37244226,-0.586864072,79,36,43,29.9,106.7,2.3,7.6,11.6,1.1,26.2,0.2,4.8,11.8,8.5,9.5,26.4,0.075,-1.18
2,2011-12,2012,Darren Collison,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,IND,NBA,PG,60,56,31.3,3.8,8.7,0.44,0.6,1.6,0.362,3.3,7.2,0.457,0.472,2.1,2.6,0.83,0.5,2.6,3.1,4.8,0.8,0.2,1.9,1.7,10.4,1878,6.5,14.7,0.44,1.0,2.6,0.362,5.5,12.1,0.457,3.6,4.3,0.83,0.8,4.4,5.3,8.1,1.4,0.4,3.2,2.8,17.5,108,107,1878,13.6,0.526,0.18,0.293,1.8,9.3,5.6,24.9,1.4,0.6,16.2,17.0,2.3,1.5,3.8,0.098,0.3,-0.5,-0.2,0.9,66.0,15990.0,2354.0,5375.0,0.438,392.0,1064.0,0.368,1962.0,4311.0,0.455,1349.0,1724.0,0.782,826.0,2070.0,2896.0,1228.0,523.0,357.0,925.0,1430.0,6449.0,66.0,15990.0,2305.0,5304.0,0.435,442.0,1259.0,0.351,1863.0,4045.0,0.461,1179.0,1617.0,0.729,794.0,1998.0,2792.0,1292.0,433.0,398.0,985.0,1428.0,6231.0,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,90.7,0.321,0.198,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,Bankers Life Fieldhouse,467561,60,31.3,-0.25,-1.82,-2.07,0.33,3969,2083,0.51385381,-1.708412606,-1.194558796,1.700933893,0.703935181,0.996998712,0.343411782,-1.465847224,-1.122435442,-0.474292621,60,36,24,31.3,102.0,2.6,8.2,12.6,0.8,16.4,0.2,6.1,10.0,8.6,8.9,26.1,0.097,-0.75
3,2012-13,2013,Darren Collison,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DAL,NBA,PG,81,47,29.3,4.2,8.9,0.471,0.6,1.7,0.353,3.6,7.3,0.498,0.504,3.0,3.4,0.88,0.4,2.3,2.7,5.1,1.2,0.1,2.1,1.7,12.0,2372,7.3,15.6,0.471,1.0,2.9,0.353,6.3,12.7,0.498,5.2,5.9,0.88,0.7,4.0,4.7,8.9,2.2,0.2,3.7,3.0,20.9,111,109,2372,16.3,0.575,0.188,0.38,1.5,8.7,5.1,26.8,2.2,0.3,17.0,19.6,4.0,1.7,5.6,0.114,0.4,-0.3,0.1,1.3,82.0,19980.0,3182.0,6892.0,0.462,606.0,1628.0,0.372,2576.0,5264.0,0.489,1323.0,1669.0,0.793,767.0,2670.0,3437.0,1906.0,648.0,454.0,1144.0,1698.0,8293.0,82.0,19980.0,3067.0,6890.0,0.445,642.0,1789.0,0.359,2425.0,5101.0,0.475,1566.0,2079.0,0.753,985.0,2752.0,3737.0,1805.0,698.0,340.0,1202.0,1547.0,8342.0,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,94.1,0.242,0.236,0.506,13.0,21.8,0.192,0.492,13.3,73.1,0.227,American Airlines Center,821490,81,29.3,0.89,-3.04,-2.15,0.63,4704,2372,1.35329598,-1.354652845,-0.001356865,3.3142187,3.3142187,0.0,1.105247443,-0.952019728,0.153227715,-0.340734445,81,41,40,29.3,105.7,2.3,7.8,11.8,1.2,25.5,0.1,2.9,10.8,8.2,8.9,26.0,0.069,-1.17
4,2013-14,2014,Darren Collison,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26,LAC,NBA,PG,80,35,25.9,4.1,8.7,0.467,0.9,2.4,0.376,3.2,6.3,0.501,0.518,2.4,2.8,0.857,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,11.4,2069,7.8,16.8,0.467,1.7,4.6,0.376,6.1,12.2,0.501,4.6,5.4,0.857,1.1,3.4,4.5,7.2,2.2,0.4,3.2,3.6,22.0,113,107,2069,16.2,0.575,0.272,0.323,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,3.8,2.0,5.9,0.136,1.1,0.4,1.5,1.8,82.0,19755.0,3208.0,6761.0,0.474,693.0,1966.0,0.352,2515.0,4795.0,0.525,1741.0,2384.0,0.73,858.0,2668.0,3526.0,2016.0,703.0,397.0,1136.0,1767.0,8850.0,82.0,19755.0,3068.0,6958.0,0.441,595.0,1791.0,0.332,2473.0,5167.0,0.479,1547.0,2049.0,0.755,1011.0,2575.0,3586.0,1908.0,570.0,284.0,1261.0,1919.0,8278.0,57,25,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692,80,25.9,0.95,-0.29,0.67,4.93,4692,2318,0.81432653,1.261470042,2.075796572,5.702531322,5.746560505,-0.044029183,1.046091294,1.520441652,2.566532947,-0.298065799,80,56,24,25.9,103.9,1.8,6.4,10.3,1.2,25.7,0.2,7.2,8.2,8.1,5.8,24.2,0.082,-0.98
5,2014-15,2015,Darren Collison,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,SAC,NBA,PG,45,45,34.8,5.8,12.2,0.473,1.3,3.6,0.373,4.4,8.6,0.514,0.527,3.2,4.1,0.788,0.4,2.8,3.2,5.6,1.5,0.3,2.5,2.1,16.1,1565,8.4,17.7,0.473,1.9,5.2,0.373,6.4,12.5,0.514,4.7,5.9,0.788,0.6,4.0,4.6,8.1,2.2,0.5,3.6,3.1,23.3,112,110,1565,17.5,0.575,0.293,0.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,3.0,0.8,3.8,0.116,2.3,-0.2,2.1,1.6,82.0,19855.0,3010.0,6617.0,0.455,461.0,1350.0,0.341,2549.0,5267.0,0.484,1829.0,2400.0,0.762,895.0,2728.0,3623.0,1667.0,550.0,324.0,1333.0,1696.0,8310.0,82.0,19855.0,3238.0,7094.0,0.456,718.0,2055.0,0.349,2520.0,5039.0,0.5,1420.0,1898.0,0.748,898.0,2479.0,3377.0,1912.0,712.0,508.0,1059.0,1958.0,8614.0,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049,45,34.8,1.88,0.23,2.11,5.31,3186,1565,1.739739139,2.308093162,4.047832301,5.409458342,5.409458342,0.0,1.138648721,1.550956286,2.689605006,-0.32435687,45,16,29,34.8,105.7,2.8,7.6,11.4,1.5,28.9,0.3,11.3,13.2,9.6,11.3,29.9,0.081,0.18
6,2015-16,2016,Darren Collison,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,SAC,NBA,PG,74,15,30.0,5.1,10.5,0.486,1.2,2.9,0.401,3.9,7.6,0.519,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1.0,0.1,1.8,1.9,14.0,2219,8.2,16.8,0.486,1.9,4.7,0.401,6.3,12.1,0.519,4.2,4.9,0.858,0.6,3.1,3.7,6.9,1.6,0.1,2.8,3.1,22.4,115,112,2219,15.9,0.591,0.28,0.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,4.5,0.7,5.2,0.113,0.9,-0.8,0.1,1.2,82.0,19805.0,3283.0,7083.0,0.464,660.0,1839.0,0.359,2623.0,5244.0,0.5,1514.0,2089.0,0.725,868.0,2760.0,3628.0,2009.0,733.0,368.0,1326.0,1676.0,8740.0,82.0,19805.0,3327.0,7194.0,0.462,839.0,2293.0,0.366,2488.0,4901.0,0.508,1450.0,1902.0,0.762,926.0,2765.0,3691.0,1986.0,722.0,437.0,1308.0,1800.0,8943.0,33,49,34,48,-2.48,0.16,-2.32,106.0,108.4,100.0,0.295,0.26,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.202,Sleep Train Arena,707526,74,30.0,2.5,-1.36,1.14,5.6,4666,2219,1.757578741,-1.664983374,0.092595367,3.196430131,3.196430131,0.0,0.964226215,-1.703931271,-0.739705056,-0.660914982,74,29,45,30.0,107.5,1.9,6.2,9.4,1.0,18.2,0.1,2.0,10.2,8.5,8.5,27.1,0.06,-1.56
7,2016-17,2017,Darren Collison,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,SAC,NBA,PG,68,64,30.3,5.0,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2,2063,8.3,17.5,0.476,1.8,4.3,0.417,6.5,13.2,0.495,3.6,4.2,0.86,0.6,3.2,3.7,7.7,1.6,0.2,2.8,2.9,22.1,113,114,2063,15.3,0.57,0.245,0.239,1.3,7.1,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,0.091,0.3,-1.2,-0.9,0.6,82.0,19880.0,3105.0,6734.0,0.461,737.0,1960.0,0.376,2368.0,4774.0,0.496,1483.0,1913.0,0.775,715.0,2652.0,3367.0,1844.0,627.0,324.0,1201.0,1667.0,8430.0,82.0,19880.0,3153.0,6824.0,0.462,896.0,2462.0,0.364,2257.0,4362.0,0.517,1546.0,1988.0,0.778,826.0,2689.0,3515.0,1941.0,694.0,420.0,1145.0,1646.0,8748.0,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,94.9,0.284,0.291,0.516,13.7,21.0,0.22,0.528,12.9,76.3,0.227,Golden 1 Center,721928,68,30.3,0.04,1.12,1.16,4.26,4094,2063,1.058136956,-1.742249269,-0.684112314,2.14333903,2.14333903,0.0,0.564322055,-1.52401557,-0.959693515,-1.402759026,68,26,42,30.3,111.2,1.9,6.6,9.6,1.0,19.8,0.1,5.1,10.0,7.4,9.0,25.9,0.051,-0.76
8,2017-18,2018,Darren Collison,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,IND,NBA,PG,69,64,29.2,4.6,9.2,0.495,1.4,3.0,0.468,3.2,6.3,0.508,0.571,1.8,2.1,0.882,0.5,2.0,2.6,5.3,1.3,0.2,1.2,1.8,12.4,2018,7.8,15.8,0.495,2.4,5.1,0.468,5.4,10.7,0.508,3.1,3.6,0.882,0.9,3.5,4.4,9.1,2.3,0.4,2.1,3.0,21.2,126,110,2018,18.8,0.61,0.321,0.226,2.1,7.8,5.0,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.181,2.4,0.3,2.7,2.4,82.0,19755.0,3345.0,7083.0,0.472,741.0,2010.0,0.369,2604.0,5073.0,0.513,1225.0,1573.0,0.779,788.0,2684.0,3472.0,1819.0,721.0,340.0,1089.0,1544.0,8656.0,82.0,19755.0,3230.0,6953.0,0.465,870.0,2496.0,0.349,2360.0,4457.0,0.53,1213.0,1602.0,0.757,838.0,2686.0,3524.0,1905.0,577.0,428.0,1271.0,1514.0,8543.0,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,96.0,0.222,0.284,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,658119,69,29.2,1.47,-0.16,1.31,3.89,4542,2232,2.347930869,1.414647887,3.762578756,7.37388626,6.761400565,0.612485694,1.241226708,1.280151915,2.521378623,-0.744873238,69,39,30,29.3,107.5,2.0,7.2,10.5,1.3,23.0,0.2,7.8,8.7,7.9,7.5,27.6,0.08,-0.24
9,2018-19,2019,Darren Collison,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,31,IND,NBA,PG,76,76,28.2,4.1,8.7,0.467,1.0,2.6,0.407,3.0,6.1,0.492,0.527,2.1,2.5,0.832,0.5,2.6,3.1,6.0,1.4,0.1,1.6,1.8,11.2,2143,7.0,15.0,0.467,1.8,4.4,0.407,5.2,10.6,0.492,3.6,4.3,0.832,0.8,4.5,5.3,10.5,2.5,0.2,2.9,3.1,19.5,118,108,2143,16.7,0.574,0.294,0.288,1.9,9.9,6.0,29.9,2.5,0.4,14.4,17.7,3.9,2.9,6.8,0.153,0.8,1.0,1.8,2.1,82.0,19705.0,3390.0,7135.0,0.475,779.0,2081.0,0.374,2611.0,5054.0,0.517,1298.0,1727.0,0.752,762.0,2766.0,3528.0,2128.0,713.0,404.0,1122.0,1594.0,8857.0,82.0,19705.0,3177.0,7059.0,0.45,932.0,2633.0,0.354,2245.0,4426.0,0.507,1298.0,1718.0,0.756,862.0,2718.0,3580.0,2006.0,608.0,425.0,1284.0,1642.0,8584.0,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,98.1,0.242,0.292,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,689310,76,28.2,0.26,0.4,0.66,2.95,4658,2260,0.658529968,0.113142955,0.771672923,4.035394771,3.919106146,0.116288626,0.116896682,0.623990613,0.740887295,-0.672100519,76,45,31,28.2,107.4,2.6,8.9,13.5,1.4,25.8,0.1,3.9,9.2,8.4,8.4,26.4,0.092,0.57
