,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2009-10,2010,Dante Cunningham,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,POR,NBA,PF,63,2,11.2,1.7,3.4,0.495,0.0,0.0,0.0,1.7,3.4,0.5,0.495,0.5,0.8,0.646,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9,707,8.2,16.6,0.495,0.0,0.2,0.0,8.2,16.4,0.5,2.4,3.7,0.646,4.2,8.2,12.4,1.1,1.9,1.7,1.2,7.5,18.8,112,104,707,14.3,0.517,0.009,0.224,9.4,18.7,14.0,3.3,1.9,2.5,6.0,16.8,0.9,1.0,1.9,0.129,-2.0,0.2,-1.8,0.0,82.0,19855.0,2974.0,6453.0,0.461,491.0,1388.0,0.354,2483.0,5065.0,0.49,1606.0,2033.0,0.79,913.0,2383.0,3296.0,1674.0,523.0,350.0,1012.0,1715.0,8045.0,82.0,19855.0,2950.0,6352.0,0.464,480.0,1399.0,0.343,2470.0,4953.0,0.499,1394.0,1870.0,0.745,801.0,2322.0,3123.0,1583.0,485.0,333.0,1104.0,1767.0,7774.0,50,32,51,31,3.3,-0.13,3.18,110.8,107.1,87.7,0.315,0.215,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,Rose Garden Arena,840371,63,11.2,-1.84,0.63,-1.21,0.76,1384,749,-1.235990163,0.283546387,-0.952443776,0.705590952,0.439741796,0.265849156,-1.327471035,0.463884629,-0.863586406,0.456912165,63,37,26,11.2,103.5,1.7,16.3,25.5,0.4,21.8,0.3,36.1,3.0,3.2,2.4,10.1,0.042,0.31
1,2010-11,2011,Dante Cunningham,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,POR,NBA,PF,56,9,19.8,2.3,5.2,0.433,0.0,0.1,0.0,2.3,5.1,0.439,0.433,0.6,0.8,0.711,1.3,2.1,3.4,0.5,0.7,0.6,0.6,2.5,5.1,1108,6.2,14.3,0.433,0.0,0.2,0.0,6.2,14.1,0.439,1.6,2.2,0.711,3.6,5.7,9.3,1.5,1.9,1.6,1.6,6.8,14.0,100,107,1108,9.5,0.457,0.014,0.155,7.7,13.4,10.4,4.3,1.9,2.4,9.6,14.5,0.1,1.2,1.3,0.057,-3.9,0.4,-3.5,-0.4,82.0,19805.0,2951.0,6599.0,0.447,518.0,1503.0,0.345,2433.0,5096.0,0.477,1476.0,1835.0,0.804,996.0,2230.0,3226.0,1736.0,660.0,358.0,1070.0,1585.0,7896.0,82.0,19805.0,2904.0,6218.0,0.467,529.0,1440.0,0.367,2375.0,4778.0,0.497,1434.0,1869.0,0.767,868.0,2385.0,3253.0,1573.0,566.0,339.0,1286.0,1743.0,7771.0,48,34,46,36,1.52,0.32,1.85,108.8,107.1,87.9,0.278,0.228,0.486,12.6,29.5,0.224,0.51,15.4,72.0,0.231,Rose Garden Arena,840924,78,21.0,-3.85,0.78,-3.07,0.01,3051,1637,-3.296375927,-0.477896635,-3.774272563,-0.86469104,-0.86469104,0.0,-3.257059962,-0.298366035,-3.555425996,0.148664632,78,39,39,21.0,105.4,2.3,12.6,20.1,0.7,19.9,0.6,27.7,6.8,5.8,4.9,17.6,0.061,0.36
2,2010-11,2011,Dante Cunningham,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CHA,NBA,PF,22,9,24.0,4.2,8.2,0.508,0.0,0.4,0.111,4.1,7.8,0.529,0.511,0.6,0.8,0.765,1.0,3.0,4.0,0.6,0.7,0.5,0.8,1.7,9.0,529,9.3,18.3,0.508,0.1,0.9,0.111,9.2,17.4,0.529,1.3,1.7,0.765,2.3,6.6,8.9,1.3,1.5,1.1,1.8,3.8,20.0,103,108,529,13.1,0.525,0.05,0.094,5.2,15.0,10.1,4.5,1.5,1.7,8.7,18.3,0.2,0.5,0.7,0.065,-1.8,-1.1,-2.8,-0.1,82.0,19805.0,2873.0,6365.0,0.451,393.0,1203.0,0.327,2480.0,5162.0,0.48,1511.0,1999.0,0.756,848.0,2444.0,3292.0,1728.0,524.0,433.0,1192.0,1637.0,7650.0,82.0,19805.0,2956.0,6492.0,0.455,577.0,1609.0,0.359,2379.0,4883.0,0.487,1489.0,1908.0,0.78,804.0,2446.0,3250.0,1777.0,601.0,496.0,1082.0,1730.0,7978.0,34,48,29,53,-4.0,-0.08,-4.08,103.4,107.8,89.6,0.314,0.189,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229,Time Warner Cable Arena,649694,78,21.0,-3.85,0.78,-3.07,0.01,3051,1637,-3.296375927,-0.477896635,-3.774272563,-0.86469104,-0.86469104,0.0,-3.257059962,-0.298366035,-3.555425996,0.148664632,78,39,39,21.0,105.4,2.3,12.6,20.1,0.7,19.9,0.6,27.7,6.8,5.8,4.9,17.6,0.061,0.36
3,2011-12,2012,Dante Cunningham,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,24,MEM,NBA,PF,64,5,17.6,2.3,4.4,0.516,0.0,0.0,0.0,2.3,4.3,0.52,0.516,0.7,1.1,0.652,1.4,2.4,3.8,0.6,0.7,0.5,0.5,1.5,5.2,1124,6.8,13.1,0.516,0.0,0.1,0.0,6.8,13.0,0.52,2.1,3.2,0.652,4.3,7.3,11.6,1.7,2.0,1.6,1.4,4.6,15.7,115,101,1124,14.9,0.538,0.007,0.247,9.3,16.4,12.8,5.2,2.0,2.5,8.6,13.6,1.8,1.7,3.4,0.147,-0.3,1.0,0.8,0.8,66.0,15940.0,2425.0,5422.0,0.447,277.0,849.0,0.326,2148.0,4573.0,0.47,1142.0,1504.0,0.759,831.0,1944.0,2775.0,1290.0,631.0,345.0,955.0,1316.0,6269.0,66.0,15940.0,2278.0,5132.0,0.444,417.0,1209.0,0.345,1861.0,3923.0,0.474,1163.0,1522.0,0.764,729.0,1954.0,2683.0,1274.0,518.0,363.0,1130.0,1275.0,6136.0,41,25,38,28,2.02,0.42,2.43,104.0,101.8,90.8,0.277,0.157,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,FedEx Forum,518446,64,17.6,-1.94,0.83,-1.11,0.93,2242,1173,-1.529576251,0.361033197,-1.168543054,0.94026336,0.966012071,-0.025748711,-1.817034151,-0.006889906,-1.823924056,-0.402163242,64,39,25,17.6,98.8,2.4,14.2,22.6,0.7,18.8,0.5,25.8,5.7,4.5,4.4,14.4,0.073,0.36
4,2012-13,2013,Dante Cunningham,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,MIN,NBA,PF,80,9,25.1,3.9,8.4,0.468,0.0,0.1,0.0,3.9,8.3,0.472,0.468,0.8,1.3,0.65,1.8,3.3,5.1,0.8,1.1,0.5,0.7,1.9,8.7,2010,8.1,17.3,0.468,0.0,0.2,0.0,8.1,17.1,0.472,1.7,2.6,0.65,3.7,6.8,10.5,1.7,2.2,1.0,1.4,3.9,17.9,103,105,2010,13.3,0.485,0.009,0.154,7.8,15.6,11.6,5.7,2.2,1.5,7.3,17.2,1.1,2.4,3.5,0.084,-1.8,0.4,-1.4,0.3,82.0,19730.0,2943.0,6702.0,0.439,450.0,1475.0,0.305,2493.0,5227.0,0.477,1515.0,2042.0,0.742,973.0,2473.0,3446.0,1836.0,700.0,387.0,1214.0,1509.0,7851.0,82.0,19730.0,3113.0,6657.0,0.468,576.0,1559.0,0.369,2537.0,5098.0,0.498,1243.0,1652.0,0.752,871.0,2583.0,3454.0,1832.0,661.0,481.0,1302.0,1847.0,8045.0,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,92.8,0.305,0.22,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187,Target Center,669956,80,25.1,-2.76,1.16,-1.6,1.26,3931,2010,-2.311247076,0.321273999,-1.989973077,0.776066875,0.776066875,0.0,-2.283380078,0.615017269,-1.668362809,-0.399242127,80,30,50,25.1,102.5,3.3,13.9,21.3,1.1,23.9,0.5,17.4,8.4,6.8,6.6,22.0,0.083,0.31
5,2013-14,2014,Dante Cunningham,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIN,NBA,PF,81,7,20.2,2.9,6.3,0.464,0.0,0.1,0.0,2.9,6.2,0.468,0.464,0.5,0.8,0.567,1.4,2.7,4.1,1.0,0.8,0.7,0.5,1.8,6.3,1635,7.1,15.4,0.464,0.0,0.2,0.0,7.1,15.2,0.468,1.1,2.0,0.567,3.4,6.6,10.0,2.5,1.9,1.7,1.3,4.4,15.4,104,105,1635,12.6,0.474,0.01,0.132,7.3,14.9,11.0,7.7,1.9,2.7,7.2,15.1,0.9,2.0,2.9,0.085,-1.7,0.9,-0.8,0.5,82.0,19855.0,3189.0,7175.0,0.444,600.0,1757.0,0.341,2589.0,5418.0,0.478,1790.0,2301.0,0.778,1024.0,2644.0,3668.0,1963.0,718.0,297.0,1142.0,1504.0,8768.0,82.0,19855.0,3321.0,7048.0,0.471,663.0,1820.0,0.364,2658.0,5228.0,0.508,1244.0,1645.0,0.756,908.0,2717.0,3625.0,1875.0,644.0,457.0,1346.0,1936.0,8549.0,40,42,48,34,2.67,0.43,3.1,108.9,106.2,97.3,0.321,0.245,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,Target Center,597157,81,20.2,-1.46,-0.38,-1.84,1.04,3341,1635,-1.521634791,0.210000972,-1.311633819,1.182832861,1.182832861,0.0,-1.573397617,0.260911354,-1.312486263,-1.360490952,81,39,42,20.2,104.8,2.7,13.4,20.6,0.8,21.8,0.7,37.9,6.0,6.0,5.8,19.2,0.057,0.35
6,2014-15,2015,Dante Cunningham,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,NOP,NBA,PF,66,27,25.0,2.3,5.1,0.457,0.0,0.2,0.1,2.3,5.0,0.468,0.459,0.4,0.7,0.617,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2,1652,4.9,10.8,0.457,0.0,0.3,0.1,4.9,10.5,0.468,0.9,1.5,0.617,2.2,5.9,8.1,1.6,1.5,1.2,1.1,3.2,10.8,102,108,1652,8.9,0.473,0.029,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,0.5,1.2,1.6,0.047,-2.8,0.4,-2.5,-0.2,82.0,19780.0,3108.0,6795.0,0.457,586.0,1583.0,0.37,2522.0,5212.0,0.484,1345.0,1790.0,0.751,942.0,2621.0,3563.0,1806.0,553.0,510.0,1087.0,1530.0,8147.0,82.0,19780.0,3108.0,6814.0,0.456,537.0,1605.0,0.335,2571.0,5209.0,0.494,1329.0,1751.0,0.759,870.0,2537.0,3407.0,1700.0,555.0,475.0,1003.0,1533.0,8082.0,45,37,43,39,0.79,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,683757,66,25.0,-4.17,0.62,-3.55,-0.91,3325,1727,-2.304443092,0.159936066,-2.144507026,0.522444979,-0.007618657,0.530063636,-2.227101527,0.099842815,-2.127258712,-1.519843022,66,37,29,25.0,104.5,2.8,11.3,16.7,0.7,21.1,0.6,17.9,7.5,6.9,6.9,24.7,0.067,-0.61
7,2015-16,2016,Dante Cunningham,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,NOP,NBA,SF,80,46,24.6,2.3,5.2,0.451,0.7,2.2,0.316,1.6,3.0,0.55,0.518,0.7,1.0,0.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1,1971,4.7,10.4,0.451,1.4,4.4,0.316,3.3,6.0,0.55,1.4,2.1,0.695,1.4,4.5,5.9,1.9,1.1,0.8,1.0,4.4,12.2,109,112,1971,8.6,0.54,0.422,0.199,3.1,10.4,6.6,5.6,1.1,1.4,8.4,11.0,1.5,0.7,2.1,0.052,-2.3,-0.5,-2.8,-0.4,82.0,19780.0,3153.0,7040.0,0.448,702.0,1951.0,0.36,2451.0,5089.0,0.482,1415.0,1823.0,0.776,782.0,2712.0,3494.0,1818.0,633.0,342.0,1102.0,1713.0,8423.0,82.0,19780.0,3218.0,6877.0,0.468,754.0,2043.0,0.369,2464.0,4834.0,0.51,1544.0,1972.0,0.783,730.0,2912.0,3642.0,1899.0,602.0,423.0,1127.0,1630.0,8734.0,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,96.8,0.259,0.277,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,Smoothie King Center,688549,80,24.6,-1.46,-1.58,-3.04,-1.03,4034,1971,-1.957407963,-2.67745574,-4.634863704,-1.884683847,-1.884683847,0.0,-2.289206825,-2.473725837,-4.762932661,-0.55380332,80,28,52,24.6,109.3,2.2,9.7,13.4,0.5,13.2,0.4,23.1,7.8,4.9,5.5,22.5,0.036,-0.44
8,2016-17,2017,Dante Cunningham,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NOP,NBA,PF,66,35,25.0,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,1649,5.2,10.7,0.485,2.1,5.4,0.392,3.1,5.3,0.579,0.5,0.8,0.593,1.7,6.6,8.2,1.1,1.2,0.8,0.8,3.0,12.9,114,109,1649,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.2,1.2,1.4,7.0,10.7,1.4,1.6,3.0,0.088,-1.9,0.3,-1.6,0.2,82.0,19905.0,3210.0,7130.0,0.45,768.0,2196.0,0.35,2442.0,4934.0,0.495,1368.0,1825.0,0.75,703.0,2879.0,3582.0,1869.0,638.0,453.0,1054.0,1490.0,8556.0,82.0,19905.0,3286.0,7299.0,0.45,863.0,2445.0,0.353,2423.0,4854.0,0.499,1293.0,1697.0,0.762,872.0,3091.0,3963.0,1921.0,603.0,348.0,1144.0,1581.0,8728.0,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,98.0,0.256,0.308,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,663099,66,25.0,-0.77,-0.65,-1.42,0.51,3421,1649,-1.374112552,0.208168806,-1.165943746,1.324776682,1.324776682,0.0,-1.829762445,-0.03209777,-1.861860215,-0.58302606,66,28,38,25.0,106.6,3.3,12.9,18.6,0.6,14.2,0.4,14.9,7.5,5.6,7.2,23.1,0.078,-0.19
9,2017-18,2018,Dante Cunningham,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,30,NOP,NBA,SF,51,24,21.9,1.9,4.4,0.44,0.7,2.1,0.324,1.3,2.3,0.547,0.518,0.4,0.7,0.556,1.0,2.8,3.8,0.5,0.5,0.3,0.3,1.5,5.0,1115,4.2,9.6,0.44,1.5,4.6,0.324,2.7,5.0,0.547,0.9,1.5,0.556,2.1,6.1,8.3,1.1,1.2,0.7,0.7,3.2,10.8,110,111,1115,8.4,0.525,0.48,0.16,5.0,13.4,9.4,3.0,1.2,1.1,6.2,10.0,0.7,0.9,1.6,0.067,-1.9,-0.1,-2.0,0.0,82.0,19955.0,3500.0,7241.0,0.483,837.0,2312.0,0.362,2663.0,4929.0,0.54,1324.0,1716.0,0.772,712.0,2924.0,3636.0,2195.0,657.0,485.0,1223.0,1570.0,9161.0,82.0,19955.0,3423.0,7539.0,0.454,891.0,2509.0,0.355,2532.0,5030.0,0.503,1317.0,1679.0,0.784,887.0,2843.0,3730.0,1947.0,670.0,344.0,1186.0,1669.0,9054.0,48,34,44,38,1.3,0.18,1.48,109.6,108.3,100.5,0.237,0.319,0.541,13.3,20.0,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,673920,73,21.4,-1.71,-1.18,-2.89,-1.56,3323,1562,-2.449907768,-0.575964535,-3.025872303,-0.216846519,-0.216846519,0.0,-2.362955583,-0.63672874,-2.999684324,-0.304877249,73,34,39,21.4,107.3,3.0,13.3,19.7,0.5,15.9,0.4,18.3,7.9,5.7,6.6,21.8,0.061,-0.14
