,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1997-98,1998,Antonio Daniels,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,VAN,NBA,SG,74,50,26.4,3.1,7.4,0.416,0.1,0.7,0.212,2.9,6.7,0.438,0.426,1.5,2.3,0.659,0.3,1.6,1.9,4.5,0.7,0.1,2.2,1.2,7.8,1956,6.1,14.6,0.416,0.3,1.4,0.212,5.8,13.2,0.438,3.0,4.5,0.659,0.6,3.2,3.8,8.9,1.5,0.3,4.4,2.3,15.4,93,115,1956,9.9,0.465,0.095,0.31,1.3,7.1,4.2,26.6,1.5,0.4,20.8,17.9,-0.9,-0.4,-1.3,-0.032,-2.4,-2.6,-5.0,-1.5,82.0,19830.0,3006.0,6567.0,0.458,325.0,898.0,0.362,2681.0,5669.0,0.473,1586.0,2145.0,0.739,1081.0,2313.0,3394.0,1960.0,614.0,349.0,1405.0,1809.0,7923.0,82.0,19830.0,3230.0,6797.0,0.475,428.0,1111.0,0.385,2802.0,5686.0,0.493,1634.0,2233.0,0.732,1146.0,2356.0,3502.0,2101.0,836.0,538.0,1163.0,1832.0,8522.0,19,63,22,60,-7.3,-0.17,-7.47,104.1,112.0,92.1,0.327,0.137,0.482,15.8,31.5,0.242,0.507,13.0,66.9,0.24,General Motors Place,660457,74,26.4,-1.83,-5.59,-7.42,-6.09,3796,1956,-1.906258878,-2.940659398,-4.846918276,-2.080964893,-2.080964893,0.0,-2.092804157,-3.303549116,-5.396353273,-0.508906056,74,17,57,26.4,111.6,1.6,6.3,10.3,0.7,20.8,0.1,6.1,11.3,8.5,10.5,24.5,0.0,0.0
1,1998-99,1999,Antonio Daniels,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,SAS,NBA,PG,47,0,13.1,1.8,3.9,0.454,0.1,0.4,0.294,1.7,3.5,0.47,0.467,1.0,1.4,0.754,0.3,0.9,1.1,2.3,0.6,0.1,0.9,0.8,4.7,614,7.3,16.1,0.454,0.4,1.5,0.294,6.9,14.6,0.47,4.3,5.7,0.754,1.1,3.6,4.8,9.3,2.6,0.5,3.9,3.4,19.4,105,97,614,16.1,0.52,0.093,0.355,2.5,7.1,4.9,29.5,2.6,0.7,17.2,19.4,0.8,1.0,1.8,0.143,0.2,1.4,1.6,0.6,50.0,12075.0,1740.0,3812.0,0.456,172.0,521.0,0.33,1568.0,3291.0,0.476,988.0,1415.0,0.698,614.0,1584.0,2198.0,1101.0,421.0,351.0,759.0,1010.0,4640.0,50.0,12075.0,1631.0,4061.0,0.402,170.0,559.0,0.304,1461.0,3502.0,0.417,805.0,1148.0,0.701,696.0,1407.0,2103.0,941.0,437.0,243.0,730.0,1148.0,4237.0,37,13,39,11,8.06,-0.94,7.12,104.0,95.0,88.6,0.371,0.137,0.479,14.6,30.4,0.259,0.423,13.8,69.5,0.198,Alamodome,527357,47,13.1,0.31,0.2,0.51,1.48,1337,720,-0.170615085,0.506819498,0.336204414,1.125365803,1.101504255,0.023861548,-0.478038419,-0.407511141,-0.88554956,-0.361780875,47,36,11,13.1,88.9,0.9,6.2,10.4,0.6,22.6,0.1,7.9,5.2,4.3,2.7,9.5,0.085,0.0
2,1999-00,2000,Antonio Daniels,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,SAS,NBA,SG,68,1,17.6,2.4,5.1,0.474,0.3,1.0,0.333,2.1,4.1,0.507,0.506,1.1,1.5,0.713,0.2,1.0,1.3,2.6,0.8,0.1,0.9,1.1,6.2,1195,7.2,15.2,0.474,1.0,2.9,0.333,6.2,12.3,0.507,3.2,4.5,0.713,0.7,3.1,3.8,7.8,2.4,0.2,2.6,3.2,18.6,110,101,1195,15.2,0.541,0.192,0.294,1.6,6.4,4.1,24.4,2.4,0.3,13.0,17.2,1.9,1.7,3.6,0.144,0.3,1.2,1.5,1.0,82.0,19855.0,2952.0,6393.0,0.462,330.0,882.0,0.374,2622.0,5511.0,0.476,1652.0,2214.0,0.746,927.0,2666.0,3593.0,1819.0,614.0,551.0,1233.0,1716.0,7886.0,82.0,19855.0,2884.0,6781.0,0.425,355.0,1036.0,0.343,2529.0,5745.0,0.44,1276.0,1726.0,0.739,986.0,2410.0,3396.0,1667.0,645.0,429.0,1181.0,1893.0,7399.0,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,90.8,0.346,0.138,0.488,14.3,27.8,0.258,0.451,13.5,73.0,0.188,Alamodome,884450,68,17.6,0.84,-0.58,0.26,2.09,2444,1277,1.589935311,0.921812171,2.511747481,3.433749018,3.093904381,0.339844637,1.196915671,0.391049075,1.587964746,-0.159841483,68,45,23,17.5,98.0,1.0,5.8,9.0,0.8,29.9,0.1,3.1,5.3,4.5,4.2,12.8,0.071,0.0
3,2000-01,2001,Antonio Daniels,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,SAS,NBA,PG,79,23,26.1,3.5,7.4,0.468,0.9,2.3,0.404,2.5,5.1,0.496,0.531,1.5,2.0,0.776,0.3,1.7,2.1,3.8,0.8,0.2,1.4,1.5,9.4,2060,7.2,15.3,0.468,1.9,4.8,0.404,5.2,10.5,0.496,3.1,4.1,0.776,0.7,3.6,4.2,7.9,1.6,0.4,2.8,3.1,19.4,113,102,2060,15.5,0.567,0.311,0.265,1.5,7.2,4.5,24.9,1.6,0.5,14.2,17.5,4.1,2.4,6.6,0.153,1.3,0.4,1.7,1.9,82.0,19830.0,2884.0,6262.0,0.461,445.0,1094.0,0.407,2439.0,5168.0,0.472,1673.0,2340.0,0.715,902.0,2712.0,3614.0,1778.0,568.0,576.0,1145.0,1551.0,7886.0,82.0,19830.0,2837.0,6770.0,0.419,343.0,1043.0,0.329,2494.0,5727.0,0.435,1233.0,1664.0,0.741,967.0,2432.0,3399.0,1617.0,600.0,426.0,1107.0,1946.0,7250.0,58,24,63,19,7.76,0.16,7.92,106.6,98.0,89.6,0.374,0.175,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,Alamodome,913176,79,26.1,1.11,-3.62,-2.51,0.44,4656,2466,2.431810465,-2.353159287,0.078651177,3.56800017,2.756125313,0.811874857,2.209817424,-1.83895144,0.370865984,-0.396509377,79,55,24,26.1,99.8,1.7,6.5,10.3,0.8,20.7,0.2,4.6,8.2,6.6,7.4,19.6,0.084,0.0
4,2001-02,2002,Antonio Daniels,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,SAS,NBA,SG,82,13,26.5,3.3,7.5,0.44,0.7,2.4,0.291,2.6,5.1,0.51,0.486,1.9,2.6,0.752,0.3,1.9,2.1,2.8,0.6,0.1,0.9,1.3,9.2,2175,6.6,15.0,0.44,1.4,4.8,0.291,5.2,10.2,0.51,3.9,5.1,0.752,0.6,3.8,4.3,5.6,1.2,0.3,1.7,2.5,18.5,113,104,2175,13.4,0.534,0.32,0.343,1.3,7.8,4.7,17.2,1.2,0.4,9.0,16.6,3.7,2.3,5.9,0.131,0.2,0.2,0.4,1.3,82.0,19855.0,2913.0,6363.0,0.458,438.0,1211.0,0.362,2475.0,5152.0,0.48,1668.0,2249.0,0.742,907.0,2566.0,3473.0,1643.0,625.0,537.0,1180.0,1575.0,7932.0,82.0,19855.0,2883.0,6775.0,0.426,374.0,1108.0,0.338,2509.0,5667.0,0.443,1283.0,1651.0,0.777,1003.0,2429.0,3432.0,1543.0,635.0,428.0,1192.0,1896.0,7423.0,58,24,59,23,6.21,0.07,6.28,106.5,99.7,90.0,0.353,0.19,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,906390,82,26.5,0.66,-0.6,0.06,3.87,4530,2399,1.504484254,-0.698597095,0.805887159,4.370919226,3.677350066,0.693569161,1.098811706,-0.860851173,0.237960533,-0.302132845,82,58,24,26.5,98.1,1.9,6.8,10.9,0.6,15.0,0.1,4.2,8.2,7.6,6.7,20.4,0.112,0.0
5,2002-03,2003,Antonio Daniels,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,POR,NBA,SG,67,2,13.0,1.3,2.8,0.452,0.3,0.9,0.305,1.0,1.9,0.52,0.5,1.0,1.1,0.855,0.2,0.9,1.1,1.3,0.5,0.1,0.5,0.6,3.7,872,5.2,11.5,0.452,1.1,3.6,0.305,4.1,7.8,0.52,4.0,4.7,0.855,0.7,3.8,4.4,5.2,2.0,0.6,2.0,2.6,15.5,117,105,872,13.3,0.572,0.317,0.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,1.6,0.8,2.3,0.128,0.1,0.9,1.0,0.7,82.0,19855.0,2987.0,6491.0,0.46,379.0,1150.0,0.33,2608.0,5341.0,0.488,1450.0,1947.0,0.745,992.0,2378.0,3370.0,1860.0,725.0,316.0,1248.0,1634.0,7803.0,82.0,19855.0,2942.0,6540.0,0.45,438.0,1285.0,0.341,2504.0,5255.0,0.476,1267.0,1659.0,0.764,912.0,2292.0,3204.0,1863.0,683.0,391.0,1270.0,1670.0,7589.0,50,32,49,33,2.61,0.36,2.97,105.5,102.6,89.4,0.3,0.177,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,796258,67,13.0,-0.25,-0.85,-1.1,1.11,1825,970,0.512852964,-1.129519412,-0.616666449,1.051847734,1.002599327,0.049248407,-0.192642527,-1.955970192,-2.148612719,-0.448136364,67,39,28,13.0,100.8,0.9,7.4,12.6,0.5,19.6,0.1,12.9,4.3,3.6,3.7,10.6,0.041,0.0
6,2003-04,2004,Antonio Daniels,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,SEA,NBA,PG,71,32,21.3,2.6,5.6,0.47,0.6,1.6,0.362,2.0,4.0,0.514,0.523,2.2,2.6,0.842,0.3,1.7,2.0,4.2,0.6,0.1,0.9,0.9,8.0,1512,6.6,14.0,0.47,1.5,4.1,0.362,5.1,10.0,0.514,5.5,6.5,0.842,0.8,4.2,5.0,10.5,1.6,0.2,2.2,2.3,20.2,129,111,1512,19.7,0.596,0.291,0.462,1.8,9.2,5.5,31.9,1.6,0.3,11.3,16.5,5.8,0.0,5.8,0.184,3.9,-1.0,2.9,1.9,82.0,19805.0,2939.0,6590.0,0.446,723.0,1936.0,0.373,2216.0,4654.0,0.476,1363.0,1782.0,0.765,907.0,2318.0,3225.0,1782.0,661.0,387.0,1188.0,1784.0,7964.0,82.0,19805.0,2980.0,6622.0,0.45,486.0,1394.0,0.349,2494.0,5228.0,0.477,1570.0,2028.0,0.774,1068.0,2430.0,3498.0,1728.0,629.0,387.0,1211.0,1658.0,8016.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,89.9,0.27,0.294,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,KeyArena at Seattle Center,625474,71,21.3,2.49,0.04,2.53,5.96,2864,1512,4.674731973,-1.994883264,2.679848709,4.149873496,4.149873496,0.0,3.719615414,-2.347147706,1.372467708,-0.845350333,71,29,42,21.3,106.1,1.7,7.9,13.5,0.6,18.8,0.1,4.4,7.1,7.1,5.7,17.2,0.023,0.0
7,2004-05,2005,Antonio Daniels,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,SEA,NBA,PG,75,2,27.0,3.6,8.3,0.438,0.7,2.2,0.297,3.0,6.1,0.489,0.478,3.3,4.1,0.816,0.3,2.0,2.3,4.1,0.7,0.0,1.0,1.0,11.2,2026,7.4,16.8,0.438,1.3,4.4,0.297,6.0,12.3,0.489,6.7,8.2,0.816,0.5,4.0,4.6,8.3,1.4,0.1,2.1,2.1,22.7,124,113,2026,18.0,0.557,0.265,0.488,1.2,9.0,5.1,25.6,1.4,0.1,9.3,19.0,6.3,0.5,6.8,0.16,3.0,-0.8,2.2,2.2,82.0,19755.0,2882.0,6498.0,0.444,666.0,1824.0,0.365,2216.0,4674.0,0.474,1683.0,2131.0,0.79,1041.0,2311.0,3352.0,1487.0,553.0,338.0,1113.0,1944.0,8113.0,82.0,19755.0,2932.0,6382.0,0.459,470.0,1317.0,0.357,2462.0,5065.0,0.486,1591.0,2124.0,0.749,930.0,2174.0,3104.0,1698.0,508.0,390.0,1085.0,1949.0,7925.0,52,30,48,34,2.29,0.3,2.59,112.2,109.6,87.9,0.328,0.281,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,KeyArena at Seattle Center,675490,75,27.0,1.52,-0.66,0.86,5.25,4372,2357,3.386548433,-1.095454647,2.291093786,6.054267866,4.593421158,1.460846708,2.942028474,-1.501623638,1.440404836,-0.688531631,75,50,25,27.0,106.2,2.0,7.7,12.6,0.7,18.5,0.0,1.9,8.8,8.0,6.2,22.5,0.057,0.0
8,2005-06,2006,Antonio Daniels,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,WAS,NBA,SG,80,17,28.5,2.9,6.9,0.418,0.3,1.3,0.228,2.6,5.6,0.461,0.439,3.6,4.2,0.845,0.2,1.9,2.2,3.6,0.7,0.1,1.1,1.2,9.6,2283,5.2,12.5,0.418,0.5,2.3,0.228,4.7,10.2,0.461,6.5,7.7,0.845,0.4,3.5,3.9,6.5,1.2,0.2,2.0,2.2,17.5,118,111,2283,13.7,0.55,0.184,0.611,0.9,8.0,4.4,19.2,1.2,0.3,11.3,15.4,4.3,0.9,5.3,0.111,0.1,-0.8,-0.7,0.8,82.0,19830.0,2975.0,6656.0,0.447,497.0,1394.0,0.357,2478.0,5262.0,0.471,1889.0,2496.0,0.757,1035.0,2344.0,3379.0,1523.0,658.0,339.0,1143.0,1855.0,8336.0,82.0,19830.0,3014.0,6477.0,0.465,501.0,1379.0,0.363,2513.0,5098.0,0.493,1655.0,2222.0,0.745,964.0,2477.0,3441.0,1766.0,537.0,341.0,1326.0,2075.0,8184.0,42,40,46,36,1.85,-0.29,1.57,109.3,107.3,92.3,0.375,0.209,0.484,12.8,29.5,0.284,0.504,15.1,70.9,0.256,MCI Center,705062,80,28.5,-0.16,-1.84,-2.01,1.43,4849,2499,1.559391898,-1.874862747,-0.315470849,3.089034747,2.753902622,0.335132126,0.814418217,-2.399198912,-1.584780695,-0.779787926,80,42,38,28.5,105.6,1.9,7.2,11.6,0.7,13.6,0.1,4.1,9.8,8.0,7.4,25.2,0.067,0.0
9,2006-07,2007,Antonio Daniels,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,31,WAS,NBA,SG,80,8,22.0,2.2,4.9,0.442,0.2,0.8,0.302,1.9,4.1,0.469,0.467,2.6,3.1,0.832,0.2,1.7,1.9,3.6,0.5,0.1,0.9,1.0,7.1,1761,5.0,11.3,0.442,0.6,1.8,0.302,4.4,9.4,0.469,6.0,7.2,0.832,0.5,3.9,4.4,8.4,1.1,0.3,2.0,2.3,16.5,123,114,1761,15.0,0.572,0.162,0.643,1.1,8.9,4.9,24.3,1.1,0.4,12.1,14.2,4.1,0.2,4.3,0.116,1.0,-1.2,-0.3,0.8,82.0,19830.0,3070.0,6820.0,0.45,561.0,1614.0,0.348,2509.0,5206.0,0.482,1855.0,2425.0,0.765,998.0,2379.0,3377.0,1660.0,635.0,375.0,1133.0,1823.0,8556.0,82.0,19830.0,3166.0,6700.0,0.473,598.0,1585.0,0.377,2568.0,5115.0,0.502,1668.0,2146.0,0.777,973.0,2551.0,3524.0,1942.0,519.0,380.0,1291.0,1927.0,8598.0,41,41,40,42,-0.51,-0.28,-0.8,110.1,110.6,94.1,0.356,0.237,0.491,12.6,28.1,0.272,0.517,14.4,71.0,0.249,Verizon Center,753283,80,22.0,-0.18,-1.21,-1.39,2.11,3820,1937,2.164008304,-1.862605774,0.30140253,3.042646053,2.174018008,0.868628045,1.23976368,-2.547684502,-1.307920822,-0.934060252,80,41,39,22.0,107.9,1.7,8.0,12.8,0.5,15.5,0.1,5.3,7.7,6.6,5.8,18.0,0.039,0.0
